index,n_registered_negotiations_before,n_contracts_dropped,n_contracts_nullified_now,n_bankrupt,trading_price_0,sold_quantity_0,unit_price_0,trading_price_1,sold_quantity_1,unit_price_1,trading_price_2,sold_quantity_2,unit_price_2,trading_price_3,sold_quantity_3,unit_price_3,trading_price_4,sold_quantity_4,unit_price_4,spot_market_quantity_00Ran@0,spot_market_loss_00Ran@0,balance_00Ran@0,inventory_00Ran@0_input,inventory_00Ran@0_output,productivity_00Ran@0,assets_00Ran@0,bankrupt_00Ran@0,score_00Ran@0,spot_market_quantity_01Ran@0,spot_market_loss_01Ran@0,balance_01Ran@0,inventory_01Ran@0_input,inventory_01Ran@0_output,productivity_01Ran@0,assets_01Ran@0,bankrupt_01Ran@0,score_01Ran@0,spot_market_quantity_02Dec@1,spot_market_loss_02Dec@1,balance_02Dec@1,inventory_02Dec@1_input,inventory_02Dec@1_output,productivity_02Dec@1,assets_02Dec@1,bankrupt_02Dec@1,score_02Dec@1,spot_market_quantity_03Buy@1,spot_market_loss_03Buy@1,balance_03Buy@1,inventory_03Buy@1_input,inventory_03Buy@1_output,productivity_03Buy@1,assets_03Buy@1,bankrupt_03Buy@1,score_03Buy@1,spot_market_quantity_04Ind@2,spot_market_loss_04Ind@2,balance_04Ind@2,inventory_04Ind@2_input,inventory_04Ind@2_output,productivity_04Ind@2,assets_04Ind@2,bankrupt_04Ind@2,score_04Ind@2,spot_market_quantity_05MyA@2,spot_market_loss_05MyA@2,balance_05MyA@2,inventory_05MyA@2_input,inventory_05MyA@2_output,productivity_05MyA@2,assets_05MyA@2,bankrupt_05MyA@2,score_05MyA@2,spot_market_quantity_06Ran@3,spot_market_loss_06Ran@3,balance_06Ran@3,inventory_06Ran@3_input,inventory_06Ran@3_output,productivity_06Ran@3,assets_06Ran@3,bankrupt_06Ran@3,score_06Ran@3,spot_market_quantity_07Buy@3,spot_market_loss_07Buy@3,balance_07Buy@3,inventory_07Buy@3_input,inventory_07Buy@3_output,productivity_07Buy@3,assets_07Buy@3,bankrupt_07Buy@3,score_07Buy@3,productivity,market_size,production_failures,bankruptcy,n_contracts_executed,n_contracts_erred,n_contracts_nullified,n_contracts_cancelled,n_breaches,breach_level,n_contracts_signed,n_contracts_concluded,n_negotiations,n_negotiation_rounds_successful,n_negotiation_rounds_failed,n_negotiation_successful,n_negotiation_failed,n_registered_negotiations_after,activity_level,step_time,total_time
10,25,0,0,0,10.000000000000002,20,10.0,6.356312390246453,6,3.5,18.74055066214805,1,36.0,36.68484911980849,3,63.666666666666664,53.99999999999999,20,54.0,5,0.6010000000000001,9874,121,0,0.0,1210.0000000000002,False,-0.12426876149089086,1,0.49800000000000005,10325,99,0,0.0,990.0000000000002,False,-0.09577135216446599,0,0.2,17673,0,57,1.0,1068.2113877424388,False,0.049400904545891695,0,0.6950000000000001,16347,0,0,0.0,0.0,False,-0.05780979827089337,0,0.2,26223,0,12,0.1,440.2181894377019,False,0.0364969071307169,0,0.2,25937,0,3,0.0,110.05454735942547,False,0.01881574449983194,11,0.8050000000000002,35365,18,0,0.0,660.3272841565529,False,-0.05508355458284958,9,0.8750000000000002,35180,42,0,0.0,1540.7636630319566,False,-0.04832746104627328,0.1375,176924,0.0,0.0,10,0,0,9,8,8.0,18,27,24,203.0,33.0,14,11,24,427,1.2667929390445352,19.564412026666105
11,24,0,0,0,10.000000000000002,20,10.0,5.9963945335796724,5,1.0,18.46173728761683,7,16.285714285714285,36.92939402587491,1,53.0,53.99999999999999,20,54.0,5,0.6460000000000001,9704,128,0,0.0,1280.0000000000002,False,-0.13555072706000335,0,0.4970000000000001,10195,112,0,0.0,1120.0000000000002,False,-0.10120340966070533,0,0.2,17704,0,61,0.5,1126.1659745446268,False,0.052857809064686546,6,0.7550000000000001,16251,0,0,0.0,0.0,False,-0.06334293948126801,0,0.2,26162,0,18,0.7,664.7290924657484,False,0.03850597939137955,0,0.2,25937,0,3,0.0,110.78818207762474,False,0.01883012272808137,11,0.9040000000000001,35160,18,0,0.0,664.7290924657484,False,-0.060452018577062915,9,0.9560000000000002,34969,43,0,0.0,1587.9639431126213,False,-0.05328827902487523,0.15,176082,0.0,0.0,8,0,0,10,8,8.0,16,26,24,181.0,29.0,14,10,24,289,1.2712378865107894,20.835649913176894
12,24,0,0,0,10.000000000000002,20,10.0,5.4777525585594535,12,2.5833333333333335,18.46173728761683,0,,36.92939402587491,0,,53.99999999999999,20,54.0,4,0.6810000000000003,9548,136,0,0.0,1360.0000000000002,False,-0.1452448604379074,8,0.5770000000000001,9918,124,0,0.0,1240.0000000000002,False,-0.11933812468661206,0,0.2,17673,2,71,1.0,1321.738852537914,False,0.05670717154287936,0,0.7490000000000001,16251,0,0,0.0,0.0,False,-0.06334293948126801,0,0.2,26162,0,18,0.0,664.7290924657484,False,0.03850597939137955,0,0.2,25937,0,3,0.0,110.78818207762474,False,0.01883012272808137,10,0.9930000000000001,34972,18,0,0.0,664.7290924657484,False,-0.0654287233631705,10,1.0470000000000002,34780,43,0,0.0,1587.9639431126213,False,-0.058291455644951466,0.125,175241,0.0,0.0,7,0,0,9,10,10.0,17,26,24,179.0,33.0,13,11,24,200,1.1212184047326446,21.95686831790954
13,24,0,0,0,10.000000000000002,20,10.0,5.492046557155008,2,6.0,18.513007619871654,12,18.75,37.078862384098784,13,37.76923076923077,54.00000000000001,20,54.0,1,0.687,9388,150,0,0.0,1500.0000000000002,False,-0.15276617081731572,1,0.5790000000000001,9848,130,0,0.0,1300.0000000000002,False,-0.12268092929968244,0,0.2,17769,0,72,0.4,1332.936548630759,False,0.06256301292884028,9,0.8390000000000002,16107,0,0,0.0,0.0,False,-0.07164265129682997,0,0.2,26500,0,15,1.0,556.1829357614818,False,0.04962729177958381,0,0.2,25865,0,5,0.2,185.39431192049392,False,0.017470098618698894,5,1.0330000000000001,34627,27,0,0.0,1001.1292843706672,False,-0.07010894106879154,15,1.1870000000000003,34184,47,0,0.0,1742.7065320526428,False,-0.07202050862912106,0.2,174288,0.0,0.0,12,0,0,7,10,10.0,18,25,26,202.0,33.0,13,11,26,799,1.0477938298135996,23.00466214772314
14,26,0,0,0,10.000000000000002,20,10.0,5.19206117755328,9,3.0,18.79632623225307,1,36.0,31.26270504264551,28,17.607142857142858,54.00000000000001,20,54.0,3,0.7160000000000002,9224,161,0,0.0,1610.0000000000002,False,-0.16187531338793248,6,0.6380000000000001,9650,139,0,0.0,1390.0000000000002,False,-0.1354671569446766,0,0.2,17778,0,80,0.9,1503.7060985802455,False,0.06800305759597249,0,0.8300000000000003,16107,0,0,0.0,0.0,False,-0.07164265129682997,13,0.33000000000000007,26411,0,1,0.1,31.26270504264551,False,0.03585102510666834,0,0.2,25865,0,5,0.0,156.31352521322756,False,0.016900155323244494,11,1.1380000000000001,34411,27,0,0.0,844.0930361514288,False,-0.07790537595098167,9,1.2620000000000002,33529,75,0,0.0,2344.702878198413,False,-0.08139158621613707,0.125,172975,0.0,0.0,8,0,0,8,10,9.866666666666667,18,26,27,188.0,36.0,14,12,27,444,1.2618708200752735,24.266532967798412
15,27,0,0,0,10.000000000000002,20,10.0,4.763051103777407,9,1.5555555555555556,17.988160543790578,9,13.0,29.300865954856672,15,18.266666666666666,54.0,20,54.0,8,0.7930000000000001,8936,173,0,0.0,1730.0000000000002,False,-0.18092929968243357,1,0.6420000000000001,9551,147,0,0.0,1470.0000000000002,False,-0.14039779374895536,0,0.2,17764,0,89,0.9,1600.9462883973615,False,0.06999845211519773,9,0.9200000000000002,15939,0,0,0.0,0.0,False,-0.08132564841498559,14,0.4570000000000001,25954,0,9,0.9,263.70779359371005,False,0.02249348921279618,0,0.2,25865,0,5,0.0,146.50432977428335,False,0.016707908626808588,9,1.217,34183,29,0,0.0,849.7251126908435,False,-0.0838664083983106,11,1.3630000000000002,33105,88,0,0.0,2578.476204027387,False,-0.08952143948502499,0.225,171297,0.0,0.0,7,0,0,6,13,12.5,18,24,25,167.0,62.0,12,15,25,200,1.1468464517965913,25.413379419595003
16,25,0,0,0,10.000000000000002,20,10.0,4.519115985591406,13,3.230769230769231,17.894003805514195,5,16.8,29.300865954856672,0,,54.00000000000001,20,54.0,6,0.8450000000000002,8788,178,0,0.0,1780.0000000000002,False,-0.19120842386762493,7,0.7110000000000001,9259,162,0,0.0,1620.0000000000002,False,-0.1585325087748621,0,0.2,17758,3,98,1.0,1767.1697208971655,False,0.07444293143795871,4,0.9510000000000001,15871,0,0,0.0,0.0,False,-0.08524495677233429,0,0.44300000000000006,25870,0,14,0.5,410.2121233679934,False,0.02207220373486974,0,0.2,25865,0,5,0.0,146.50432977428335,False,0.016707908626808588,9,1.2980000000000003,34026,29,0,0.0,849.7251126908435,False,-0.0880224863313898,11,1.4620000000000004,32889,88,0,0.0,2578.476204027387,False,-0.09523935562225497,0.1875,170326,0.0,0.0,8,0,0,6,11,11.0,20,26,23,197.0,43.0,14,11,23,236,1.1790538160130382,26.59243323560804
17,23,0,0,0,10.000000000000002,20,10.0,4.157517989097593,10,1.5,17.505594644973513,10,15.3,29.739871840297297,1,69.0,54.00000000000001,20,54.0,5,0.8890000000000002,8603,187,0,0.0,1870.0000000000002,False,-0.2029082400133712,5,0.7540000000000002,9049,173,0,0.0,1730.0000000000002,False,-0.17148587665050977,0,0.2,17779,3,107,1.0,1885.5711809794586,False,0.07906545190142535,9,1.0370000000000004,15703,0,0,0.0,0.0,False,-0.09492795389048991,0,0.44300000000000006,25717,0,24,1.0,713.7569241671351,False,0.022024085218076535,0,0.2,25934,0,4,0.0,118.95948736118919,False,0.018872677315796213,10,1.3890000000000002,33776,30,0,0.0,892.196155208919,False,-0.09407830163054691,10,1.5510000000000004,32701,88,0,0.0,2617.1087219461624,False,-0.09970472360829412,0.25,169262,0.0,0.0,8,0,0,8,10,10.0,19,27,21,205.0,24.0,15,8,21,305,1.1034170566126704,27.69585029222071
18,21,0,0,0,10.000000000000002,20,10.0,4.157517989097593,0,,17.505594644973513,0,,29.739871840297297,0,,54.00000000000001,20,54.0,0,0.8840000000000001,8483,199,0,0.0,1990.0000000000005,False,-0.20792244693297676,0,0.7490000000000001,8969,181,0,0.0,1810.0000000000002,False,-0.17482868126358014,0,0.2,17779,0,110,0.3,1925.6154109470865,False,0.08021946429242328,0,1.0280000000000002,15703,0,0,0.0,0.0,False,-0.09492795389048991,0,0.44300000000000006,25717,0,24,0.0,713.7569241671351,False,0.022024085218076535,0,0.2,25934,0,4,0.0,118.95948736118919,False,0.018872677315796213,7,1.449,33673,30,0,0.0,892.196155208919,False,-0.09680490052931862,13,1.6710000000000005,32406,88,0,0.0,2617.1087219461624,False,-0.10751391462904804,0.0375,168664,0.0,0.0,7,0,0,6,6,6.0,14,20,23,133.0,45.0,9,12,23,200,0.9840943673625588,28.67994465958327
19,23,0,0,0,10.000000000000002,20,10.0,3.96148956718776,7,1.8571428571428572,18.00421526541169,7,22.285714285714285,29.964917820662638,9,32.0,54.000000000000014,20,54.0,1,0.8940000000000001,8375,208,0,0.0,2080.0000000000005,False,-0.2131873641985626,6,0.8090000000000002,8737,192,0,0.0,1920.0000000000005,False,-0.1896205916764165,0,0.2,17874,0,114,0.7,2052.4805402569327,False,0.0893510242148972,4,1.0680000000000003,15635,0,0,0.0,0.0,False,-0.09884726224783862,0,0.44300000000000006,25885,0,21,0.6,629.2632742339154,False,0.026953262665293038,0,0.2,25898,0,5,0.1,149.8245891033132,False,0.018066490065524358,7,1.512,33287,39,0,0.0,1168.6317950058428,False,-0.10336414926135848,13,1.7880000000000005,32107,88,0,0.0,2636.912768218312,False,-0.11516686827326454,0.175,167798,0.0,0.0,10,0,0,5,10,10.0,19,24,21,171.0,35.0,11,12,21,596,0.8571739364415407,29.53711859602481
20,21,0,0,0,10.000000000000002,20,10.0,3.8094817120682967,4,1.0,17.620072639197893,10,15.3,28.555364018103294,12,19.0,54.000000000000014,20,54.0,4,0.933,8205,217,0,0.0,2170.0000000000005,False,-0.2236336286144075,0,0.8030000000000002,8627,203,0,0.0,2030.0000000000005,False,-0.19421694801938827,0,0.2,17906,0,117,0.4,2061.5484987861537,False,0.09145672907164716,9,1.1540000000000004,15467,0,0,0.0,0.0,False,-0.10853025936599424,0,0.44300000000000006,25960,0,19,1.0,542.5519163439626,False,0.02819363272859753,0,0.2,25898,0,5,0.0,142.77682009051648,False,0.017928363516982584,13,1.6350000000000002,33017,39,0,0.0,1113.6591967060285,False,-0.11123915718040524,7,1.8450000000000002,31791,100,0,0.0,2855.5364018103296,False,-0.12063828354232412,0.175,166871,0.0,0.0,8,0,0,3,9,9.0,18,21,22,114.0,39.0,8,13,22,464,0.9518596949055791,30.48897829093039
21,22,0,0,0,10.000000000000002,20,10.0,3.8094817120682967,0,,17.90566808916555,1,36.0,30.119437598239788,5,56.4,54.000000000000014,20,54.0,0,0.9290000000000003,8085,229,0,0.0,2290.0000000000005,False,-0.22864783553401305,0,0.8030000000000002,8547,211,0,0.0,2110.0000000000005,False,-0.19755975263245865,0,0.2,17942,0,116,0.0,2077.057498343204,False,0.09397860225772915,0,1.1450000000000002,15467,0,0,0.0,0.0,False,-0.10853025936599424,0,0.44300000000000006,26206,0,15,0.1,451.7915639735968,False,0.036057376214596946,0,0.2,25898,0,5,0.0,150.59718799119895,False,0.018081631937739023,5,1.6720000000000004,32830,41,0,0.0,1234.8969415278314,False,-0.11458469740671556,15,1.9880000000000004,31247,103,0,0.0,3102.3020726186983,False,-0.131772791287872,0.0125,166222,0.0,0.0,10,0,0,4,7,7.0,19,23,20,140.0,36.0,10,12,20,518,0.9240144519135356,31.412992742843926
22,20,0,0,0,10.000000000000002,20,10.0,3.7593137324302486,2,2.0,18.509609064938008,2,36.0,31.87626126836111,6,55.333333333333336,54.00000000000002,20,54.0,1,0.9390000000000003,7965,239,0,0.0,2390.0000000000005,False,-0.2344977436068862,1,0.8130000000000002,8429,221,0,0.0,2210.0000000000005,False,-0.20324252047467825,0,0.2,18010,0,116,0.2,2147.114651532809,False,0.09991684874734315,0,1.1450000000000002,15467,0,0,0.0,0.0,False,-0.10853025936599424,0,0.44300000000000006,26466,0,11,0.2,350.6388739519722,False,0.04426620558858528,0,0.2,25898,0,5,0.0,159.38130634180555,False,0.018253788537586343,7,1.7370000000000003,32500,45,0,0.0,1434.4317570762498,False,-0.1206793763622902,13,2.103,30902,105,0,0.0,3347.0074331779165,False,-0.13766667416907669,0.05,165637,0.0,0.0,10,0,0,3,7,7.0,16,19,22,108.0,52.0,7,13,22,604,0.7504053972661495,32.163398140110075
23,22,0,0,0,10.000000000000002,20,10.0,3.619209088840838,5,1.8,18.284659502143697,11,17.181818181818183,31.87626126836111,0,,54.00000000000002,20,54.0,4,0.9780000000000002,7789,249,0,0.0,2490.0000000000005,False,-0.24502757813805784,1,0.8220000000000001,8309,231,0,0.0,2310.0000000000005,False,-0.2090924285475514,0,0.2,18073,0,119,0.5,2175.8744807550997,False,0.10437678618890771,9,1.235,15299,0,0,0.0,0.0,False,-0.11821325648414986,0,0.44300000000000006,26277,1,21,1.0,687.686146137727,False,0.04346358862766005,0,0.2,25898,0,5,0.0,159.38130634180555,False,0.018253788537586343,9,1.8200000000000003,32340,45,0,0.0,1434.4317570762498,False,-0.12491486979727538,11,2.2000000000000006,30683,105,0,0.0,3347.0074331779165,False,-0.14346400580821264,0.1875,164668,0.0,0.0,8,0,0,7,10,10.0,17,24,22,162.0,40.0,12,10,22,272,1.0058658393099904,33.169263979420066
24,22,0,0,0,10.000000000000002,20,10.0,3.492978175689449,8,2.5,18.284659502143697,0,,32.68439868091633,2,64.0,54.00000000000002,20,54.0,3,1.0040000000000002,7621,260,0,0.0,2600.0000000000005,False,-0.2544710011699816,5,0.8710000000000002,8129,240,0,0.0,2400.0000000000005,False,-0.22037439411666387,0,0.2,18053,0,127,0.8,2322.1517567722494,False,0.10743953189545383,0,1.2260000000000002,15299,0,0,0.0,0.0,False,-0.11821325648414986,0,0.44300000000000006,26405,0,20,0.1,653.6879736183266,False,0.04781451814084207,0,0.2,25898,0,5,0.0,163.42199340458166,False,0.018332980428907634,7,1.8810000000000004,32109,47,0,0.0,1536.1667380030676,False,-0.12968330768208558,13,2.3190000000000004,30410,105,0,0.0,3431.8618614962147,False,-0.1495676903126824,0.1125,163924,0.0,0.0,7,0,0,5,9,9.0,20,25,22,172.0,29.0,12,10,22,328,0.8354381117969751,34.00470209121704
