index,n_registered_negotiations_before,n_contracts_dropped,n_contracts_nullified_now,n_bankrupt,trading_price_0,sold_quantity_0,unit_price_0,trading_price_1,sold_quantity_1,unit_price_1,trading_price_2,sold_quantity_2,unit_price_2,trading_price_3,sold_quantity_3,unit_price_3,trading_price_4,sold_quantity_4,unit_price_4,spot_market_quantity_00Dec@0,spot_market_loss_00Dec@0,balance_00Dec@0,inventory_00Dec@0_input,inventory_00Dec@0_output,productivity_00Dec@0,assets_00Dec@0,bankrupt_00Dec@0,score_00Dec@0,spot_market_quantity_01Dec@0,spot_market_loss_01Dec@0,balance_01Dec@0,inventory_01Dec@0_input,inventory_01Dec@0_output,productivity_01Dec@0,assets_01Dec@0,bankrupt_01Dec@0,score_01Dec@0,spot_market_quantity_02Buy@1,spot_market_loss_02Buy@1,balance_02Buy@1,inventory_02Buy@1_input,inventory_02Buy@1_output,productivity_02Buy@1,assets_02Buy@1,bankrupt_02Buy@1,score_02Buy@1,spot_market_quantity_03Ran@1,spot_market_loss_03Ran@1,balance_03Ran@1,inventory_03Ran@1_input,inventory_03Ran@1_output,productivity_03Ran@1,assets_03Ran@1,bankrupt_03Ran@1,score_03Ran@1,spot_market_quantity_04MyA@2,spot_market_loss_04MyA@2,balance_04MyA@2,inventory_04MyA@2_input,inventory_04MyA@2_output,productivity_04MyA@2,assets_04MyA@2,bankrupt_04MyA@2,score_04MyA@2,spot_market_quantity_05Ind@2,spot_market_loss_05Ind@2,balance_05Ind@2,inventory_05Ind@2_input,inventory_05Ind@2_output,productivity_05Ind@2,assets_05Ind@2,bankrupt_05Ind@2,score_05Ind@2,spot_market_quantity_06Dec@3,spot_market_loss_06Dec@3,balance_06Dec@3,inventory_06Dec@3_input,inventory_06Dec@3_output,productivity_06Dec@3,assets_06Dec@3,bankrupt_06Dec@3,score_06Dec@3,spot_market_quantity_07Dec@3,spot_market_loss_07Dec@3,balance_07Dec@3,inventory_07Dec@3_input,inventory_07Dec@3_output,productivity_07Dec@3,assets_07Dec@3,bankrupt_07Dec@3,score_07Dec@3,productivity,market_size,production_failures,bankruptcy,n_contracts_executed,n_contracts_erred,n_contracts_nullified,n_contracts_cancelled,n_breaches,breach_level,n_contracts_signed,n_contracts_concluded,n_negotiations,n_negotiation_rounds_successful,n_negotiation_rounds_failed,n_negotiation_successful,n_negotiation_failed,n_registered_negotiations_after,activity_level,step_time,total_time
11,13,0,0,0,10.000000000000002,20,10.0,33.53829321679328,12,33.666666666666664,15.467343417420471,5,14.0,43.731800973359526,3,56.0,51.99999999999999,20,52.0,0,0.29900000000000004,48349,2,11,1.0,388.9212253847261,False,0.05892981572994985,0,0.43400000000000005,48083,6,30,1.0,1066.1487965037984,False,0.06051381698555687,5,0.43900000000000006,60035.0,108,0,0.0,3622.135667413674,False,-0.03443970783571413,0,0.533,58075.0,120,0,0.0,4024.5951860151936,False,-0.06189818283570225,0,0.2,75440,0,15,0.0,655.9770146003929,False,0.00508043387013588,0,0.30800000000000005,76675,0,7,0.5,306.12260681351665,False,0.019142552277067914,5,0.6100000000000001,107800,0,0,0.0,0.0,False,-0.005213860563835187,8,0.7930000000000001,107167,0,3,0.3,155.99999999999997,False,-0.010335440409726388,0.35,581624,0.0,0.0,17,0,0,15,9,8.5,18,33,14,166.0,18.0,11,2,14,1084,2.202406612050254,34.3160021979711
12,14,0,0,0,10.000000000000002,20,10.0,34.3007745677406,47,36.808510638297875,15.18847523330263,6,12.833333333333334,46.50154692271908,15,56.0,51.99999999999999,20,52.0,20,0.49900000000000005,48817,0,9,0.9,308.70697110966546,False,0.06826389523918754,0,0.43400000000000005,48537,9,24,1.0,913.2185896257745,False,0.06874938473044122,5,0.48400000000000004,59386.0,125,0,0.0,4287.596820967576,False,-0.03937740569406437,1,0.543,56861.0,150,0,0.0,5145.1161851610905,False,-0.07210456984043359,0,0.2,76280,0,0,0.0,0.0,False,0.011872388406181602,0,0.30800000000000005,76598,0,13,0.6,604.520109995348,False,0.020100285932183826,11,0.7150000000000001,107586,0,0,0.0,0.0,False,-0.007188667927836479,6,0.8450000000000002,106387,5,10,1.0,752.5077346135953,False,-0.014781028308893048,0.4375,580452,0.0,0.0,17,0,0,15,14,13.5,16,31,8,181.0,9.0,11,3,8,2146,1.9966302000102587,36.31263239798136
13,8,0,0,0,10.000000000000002,20,10.0,34.32515588572647,11,34.72727272727273,14.585466936693383,3,4.333333333333333,46.50154692271908,0,,52.0,20,52.0,0,0.47900000000000004,48853,0,15,0.9,514.877338285897,False,0.07129790735881825,0,0.43400000000000005,48683,10,26,1.0,992.4540530288881,False,0.07279846050596499,0,0.47900000000000004,59130.0,133,0,0.0,4565.24573280162,False,-0.04120678719788908,3,0.5720000000000001,56641.0,153,0,0.0,5251.748850516149,False,-0.0747068877590384,0,0.2,76280,0,0,0.0,0.0,False,0.011872388406181602,0,0.30800000000000005,76585,0,16,0.3,744.0247507635053,False,0.020853118994252785,10,0.804,107383,0,0,0.0,0.0,False,-0.009061966502099386,0,0.8390000000000002,106907,0,5,0.5,260.0,False,-0.012254879342961288,0.3375,580462,0.0,0.0,17,0,0,11,8,8.0,15,26,10,63.0,9.0,5,3,10,1102,1.8040654149954207,38.11669781297678
14,10,0,0,0,10.000000000000002,20,10.0,34.61684085505586,17,37.588235294117645,14.340368210542039,35,14.0,43.37435219638813,8,20.0,52.0,20,52.0,0,0.47900000000000004,48839,1,22,1.0,771.570498811229,False,0.07379227017594375,0,0.43400000000000005,49136,9,22,1.0,851.570498811229,False,0.08114360737763651,15,0.629,58749.0,136,0,0.0,4707.890356287598,False,-0.046041572813592134,20,0.7690000000000001,55543.0,167,0,0.0,5781.012422794329,False,-0.08771769481987814,0,0.2,76280,0,0,0.0,0.0,False,0.011872388406181602,0,0.30800000000000005,76255,25,18,1.0,1139.2475447985373,False,0.019096952608599418,9,0.8840000000000001,107209,0,0,0.0,0.0,False,-0.010667650994324736,6,0.8990000000000002,106919,0,8,0.8,416.0,False,-0.011424352881465418,0.475,578930,0.0,0.0,18,0,0,11,12,12.0,16,27,9,115.0,9.0,7,3,9,1259,1.6606644879793748,39.777362300956156
15,9,0,0,0,10.000000000000002,20,10.0,34.45882000289373,11,32.0,14.319159882734636,5,14.0,44.12035411240567,4,55.5,52.0,20,52.0,0,0.47900000000000004,49051,5,21,1.0,773.6352200607683,False,0.0784393702288378,0,0.43400000000000005,49076,5,32,1.0,1152.6822400925994,False,0.08311899829951358,5,0.6640000000000001,58292.0,147,0,0.0,5065.446540425379,False,-0.05038526087846292,0,0.7490000000000001,55543.0,167,0,0.0,5754.622940483253,False,-0.08792369527506358,0,0.2,76280,0,0,0.0,0.0,False,0.011872388406181602,0,0.30800000000000005,76407,20,24,1.0,1345.271696352429,False,0.022479748599538562,10,0.9750000000000001,106840,0,3,0.3,156.0,False,-0.013353019886494717,2,0.9130000000000003,107259,0,1,0.1,52.0,False,-0.009966317537950445,0.425,578748,0.0,0.0,21,0,0,12,9,9.0,14,26,10,98.0,9.0,6,3,10,1190,1.750463196018245,41.5278254969744
16,10,0,0,0,10.000000000000002,20,10.0,34.638001604528675,48,35.25,14.298494152569438,5,14.0,39.68853565904903,15,22.4,52.0,20,52.0,0,0.47900000000000004,49206,7,23,1.0,866.6740369041595,False,0.08283532608638547,8,0.514,50213,3,10,1.0,376.38001604528677,False,0.09945443060997863,5,0.7090000000000001,57429.0,172,0,0.0,5957.736275978932,False,-0.056893334509625464,0,0.7490000000000001,54609.0,190,0,0.0,6581.220304860448,False,-0.09605304826656122,0,0.2,76280,0,0,0.0,0.0,False,0.011872388406181602,0,0.30800000000000005,76673,15,19,1.0,968.5595898104732,False,0.02350971406652826,5,1.0150000000000001,106643,4,10,1.0,678.7541426361961,False,-0.012758943650458172,11,1.0210000000000001,107024,0,1,0.1,52.0,False,-0.012134914409634106,0.5125,578077,0.0,0.0,18,0,0,15,12,10.488095238095237,14,29,13,86.0,24.0,6,4,13,1654,2.1231091099907644,43.650934606965166
17,13,0,0,0,10.000000000000002,20,10.0,34.638001604528675,0,,13.76443978266307,8,9.125,39.68853565904903,0,,52.0,20,52.0,0,0.47900000000000004,49116,6,33,1.0,1203.0540529494463,False,0.0845409673765264,0,0.506,50103,4,20,1.0,732.7600320905735,False,0.10094193133033655,5,0.754,57324.0,172,0,0.0,5957.736275978932,False,-0.05853262758400253,3,0.7790000000000001,54507.0,190,0,0.0,6581.220304860448,False,-0.09764550439595608,0,0.2,76280,0,0,0.0,0.0,False,0.011872388406181602,0,0.30800000000000005,76600,13,29,1.0,1329.9052512870417,False,0.02493801984006792,2,1.0300000000000002,107143,0,4,0.4,208.0,False,-0.01031698426613759,7,1.08,106965,0,0,0.0,0.0,False,-0.012919300512157984,0.425,578038,0.0,0.0,16,0,0,12,6,6.0,17,29,14,117.0,41.0,8,5,14,772,2.25286106497515,45.903795671940316
18,14,0,0,0,10.000000000000002,20,10.0,34.4461310148654,26,33.03846153846154,13.181821425802111,9,8.666666666666666,41.04474394991339,6,56.0,52.0,20,52.0,0,0.47900000000000004,49547,10,26,1.0,995.5994063865004,False,0.09168011219391069,0,0.506,50331,0,21,1.0,723.3687513121735,False,0.10581310535439302,5,0.7990000000000002,56675.0,189,0,0.0,6510.318761809561,False,-0.06435147410065607,4,0.8160000000000003,54060.0,199,0,0.0,6854.780071958215,False,-0.1024887585714871,0,0.2,76280,0,0,0.0,0.0,False,0.011872388406181602,0,0.30800000000000005,76858,12,33,1.0,1512.6584074567672,False,0.029572583454644592,9,1.118,107010,0,3,0.3,156.0,False,-0.011784247681446963,7,1.1430000000000002,106681,0,3,0.3,156.0,False,-0.014820283301804089,0.45,577442,0.0,0.0,20,0,0,18,12,12.0,16,34,13,198.0,12.0,13,1,13,1603,2.3235027799964882,48.227298451936804
19,13,0,0,0,10.000000000000002,20,10.0,34.71151409479424,20,37.3,12.847491655697294,2,1.0,42.30950927359117,6,56.0,52.0,20,52.0,0,0.47900000000000004,49965,8,22,1.0,843.6533100854733,False,0.09914110760967532,0,0.506,50459,2,25,1.0,887.787852369856,False,0.11039862846701562,0,0.794,56387.0,198,0,0.0,6872.87979076926,False,-0.06601761232460139,2,0.8320000000000001,53534.0,210,0,0.0,7289.41795990679,False,-0.1073079844508619,0,0.2,76280,0,0,0.0,0.0,False,0.011872388406181602,0,0.30800000000000005,77192,4,37,1.0,1616.8418097456624,False,0.034694181931058395,7,1.1790000000000003,106901,0,3,0.3,156.0,False,-0.012790107507036404,7,1.2060000000000002,106556,0,3,0.3,156.0,False,-0.015973792276103908,0.45,577274,0.0,0.0,23,0,0,14,8,8.0,16,30,13,165.0,21.0,10,3,13,1594,3.499230974004604,51.72652942594141
20,13,0,0,0,10.000000000000002,20,10.0,34.80576679779679,27,35.48148148148148,12.759672729437169,1,7.0,42.30950927359117,0,,52.00000000000001,20,52.0,0,0.47900000000000004,50352,12,18,1.0,746.5038023603422,False,0.10652353521181822,0,0.506,50830,0,20,0.8,696.1153359559358,False,0.11640106600885584,0,0.794,55912.0,213,0,0.0,7413.628327930717,False,-0.06921229369941044,1,0.8400000000000001,53023.0,222,0,0.0,7726.880229110888,False,-0.11187097804041335,0,0.2,76280,0,0,0.0,0.0,False,0.011872388406181602,0,0.30800000000000005,77185,0,42,0.5,1776.9993894908291,False,0.03566358950381933,8,1.2520000000000002,106919,0,0,0.0,0.0,False,-0.013343791814700318,6,1.2590000000000003,106621,0,0,0.0,0.0,False,-0.01609375720943109,0.2875,577122,0.0,0.0,19,0,0,15,9,9.0,18,33,8,203.0,0.0,13,0,8,1470,2.272336573980283,53.99886599992169
21,8,0,0,0,10.000000000000002,20,10.0,34.99753898988597,28,36.357142857142854,12.8551894960444,5,14.0,42.30950927359117,0,,52.000000000000014,20,52.0,2,0.49900000000000005,50888,14,10,1.0,489.9753898988597,False,0.11541790704920005,0,0.506,51062,0,20,0.8,699.9507797977194,False,0.12150376052307614,5,0.8440000000000001,55519.0,222,0,0.0,7769.453655754684,False,-0.07257030494165145,0,0.8390000000000002,52293.0,241,0,0.0,8434.406896562517,False,-0.1177449033866037,0,0.2,76280,0,0,0.0,0.0,False,0.011872388406181602,0,0.30800000000000005,77115,0,47,0.5,1988.546935858785,False,0.036138137135098405,9,1.334,106746,0,0,0.0,0.0,False,-0.01494024823513127,11,1.3630000000000002,106393,0,0,0.0,0.0,False,-0.01819775757855396,0.2875,576296,0.0,0.0,14,0,0,17,13,12.222222222222221,12,29,11,101.0,16.0,7,1,11,930,1.9459764669882134,55.944842466909904
22,11,0,0,0,10.000000000000002,20,10.0,34.49968938876269,27,30.74074074074074,12.8551894960444,0,,43.39956307667449,6,55.0,52.000000000000014,20,52.0,7,0.5670000000000002,51083,18,10,1.0,524.9968938876269,False,0.1200536287017105,0,0.506,51322,0,16,0.6,551.995030220203,False,0.12556165776166184,0,0.8390000000000002,54689.0,249,0,0.0,8590.42265780191,False,-0.07911991305656407,0,0.8390000000000002,52293.0,241,0,0.0,8314.425142691809,False,-0.11868149985408882,0,0.2,76280,0,0,0.0,0.0,False,0.011872388406181602,0,0.30800000000000005,77445,0,41,0.0,1779.382086143654,False,0.039128355018529244,14,1.4650000000000003,106230,0,3,0.3,156.00000000000006,False,-0.01898214368107784,6,1.4120000000000001,106139,0,3,0.3,156.00000000000006,False,-0.019821898214368108,0.275,575481,0.0,0.0,13,0,0,16,12,11.411764705882353,17,33,11,145.0,3.0,10,1,11,850,1.948692507983651,57.893534974893555
23,11,0,0,0,10.000000000000002,20,10.0,34.363202478609246,12,32.0,12.853154297288922,6,12.833333333333334,43.92791863651458,3,55.0,52.000000000000014,20,52.0,0,0.56,50983,18,20,1.0,867.264049572185,False,0.12160534062183354,0,0.506,51606,0,14,1.0,481.0848347005294,False,0.13098343042079885,5,0.8890000000000002,54200.0,261,0,0.0,8968.795846917013,False,-0.08380069438177565,1,0.8490000000000002,52265.0,241,0,0.0,8281.53179734483,False,-0.11937541530830555,0,0.2,76280,0,0,0.0,0.0,False,0.011872388406181602,0,0.30800000000000005,77533,0,44,0.6,1932.8284200066416,False,0.041313447104905754,2,1.4710000000000005,106366,0,0,0.0,0.0,False,-0.018446915517002723,12,1.5260000000000002,105856,0,3,0.3,156.00000000000006,False,-0.0224334425321829,0.3625,575089,0.0,0.0,17,0,0,14,10,9.5,17,31,7,137.0,6.0,9,2,7,1009,1.9575415730359964,59.85107654792955
24,7,0,0,0,10.000000000000002,20,10.0,34.4462669267462,8,36.5,10.896786396214496,15,3.3333333333333335,43.92791863651458,0,,52.00000000000002,20,52.0,0,0.56,50873,19,30,1.0,1223.388007802386,False,0.12309004851230727,0,0.506,51808,0,15,0.9,516.694003901193,False,0.1357782601533659,0,0.8840000000000001,54107.0,264,0,0.0,9093.814468660996,False,-0.08427672462482824,15,0.9980000000000002,51521.0,246,0,0.0,8473.781663979564,False,-0.12949024492615716,0,0.2,76280,0,0,0.0,0.0,False,0.011872388406181602,0,0.30800000000000005,77483,5,54,1.0,2426.59153835286,False,0.04392512793229995,10,1.5690000000000002,106160,0,0,0.0,0.0,False,-0.020347898306648824,7,1.5840000000000003,105907,0,0,0.0,0.0,False,-0.022682600470631663,0.3625,574139,0.0,0.0,15,0,0,14,11,10.666666666666666,13,27,9,87.0,6.0,5,2,9,596,1.7107780749793164,61.56185462290887
