index,n_registered_negotiations_before,n_contracts_dropped,n_contracts_nullified_now,n_bankrupt,trading_price_0,sold_quantity_0,unit_price_0,trading_price_1,sold_quantity_1,unit_price_1,trading_price_2,sold_quantity_2,unit_price_2,trading_price_3,sold_quantity_3,unit_price_3,trading_price_4,sold_quantity_4,unit_price_4,spot_market_quantity_00Buy@0,spot_market_loss_00Buy@0,balance_00Buy@0,inventory_00Buy@0_input,inventory_00Buy@0_output,productivity_00Buy@0,assets_00Buy@0,bankrupt_00Buy@0,score_00Buy@0,spot_market_quantity_01Dec@0,spot_market_loss_01Dec@0,balance_01Dec@0,inventory_01Dec@0_input,inventory_01Dec@0_output,productivity_01Dec@0,assets_01Dec@0,bankrupt_01Dec@0,score_01Dec@0,spot_market_quantity_02Dec@1,spot_market_loss_02Dec@1,balance_02Dec@1,inventory_02Dec@1_input,inventory_02Dec@1_output,productivity_02Dec@1,assets_02Dec@1,bankrupt_02Dec@1,score_02Dec@1,spot_market_quantity_03Buy@1,spot_market_loss_03Buy@1,balance_03Buy@1,inventory_03Buy@1_input,inventory_03Buy@1_output,productivity_03Buy@1,assets_03Buy@1,bankrupt_03Buy@1,score_03Buy@1,spot_market_quantity_04Ind@2,spot_market_loss_04Ind@2,balance_04Ind@2,inventory_04Ind@2_input,inventory_04Ind@2_output,productivity_04Ind@2,assets_04Ind@2,bankrupt_04Ind@2,score_04Ind@2,spot_market_quantity_05Dec@2,spot_market_loss_05Dec@2,balance_05Dec@2,inventory_05Dec@2_input,inventory_05Dec@2_output,productivity_05Dec@2,assets_05Dec@2,bankrupt_05Dec@2,score_05Dec@2,spot_market_quantity_06MyA@3,spot_market_loss_06MyA@3,balance_06MyA@3,inventory_06MyA@3_input,inventory_06MyA@3_output,productivity_06MyA@3,assets_06MyA@3,bankrupt_06MyA@3,score_06MyA@3,spot_market_quantity_07Dec@3,spot_market_loss_07Dec@3,balance_07Dec@3,inventory_07Dec@3_input,inventory_07Dec@3_output,productivity_07Dec@3,assets_07Dec@3,bankrupt_07Dec@3,score_07Dec@3,productivity,market_size,production_failures,bankruptcy,n_contracts_executed,n_contracts_erred,n_contracts_nullified,n_contracts_cancelled,n_breaches,breach_level,n_contracts_signed,n_contracts_concluded,n_negotiations,n_negotiation_rounds_successful,n_negotiation_rounds_failed,n_negotiation_successful,n_negotiation_failed,n_registered_negotiations_after,activity_level,step_time,total_time
10,21,0,0,0,10.000000000000002,20,10.0,15.09207812105072,52,13.923076923076923,27.0282919813095,41,28.365853658536587,28.88053536795561,14,33.57142857142857,38.00000000000001,8,38.0,23,1.4380000000000004,23089,110,0,0.0,1100.0000000000002,False,-0.07703420271747619,12,0.392,26476,2,10,1.0,170.92078121050722,False,0.03707091951449533,11,0.382,38518,55,10,1.0,1100.3472164708846,False,0.014336213735472014,20,0.8860000000000001,36135,129,0,0.0,1946.878077615543,False,-0.036544837501096335,0,0.37100000000000005,47598,0,3,0.0,86.64160610386682,False,-0.004860241403435459,0,0.24500000000000002,44875,78,32,1.0,3032.3839063167206,False,-0.030973138798546965,0,0.2,68757,0,0,0.0,0.0,False,0.0,0,0.3350000000000001,68634,5,12,1.0,600.4026768397782,False,0.0025772116063803607,0.5,354082,0.0,0.0,21,0,0,17,4,3.3541666666666665,12,29,26,183.0,75.0,11,10,26,1402,1.5461326950462535,24.280924555961974
11,26,0,0,0,10.000000000000002,20,10.0,15.599402819306391,48,17.604166666666668,28.09977253625669,26,33.76923076923077,29.900411486403055,13,35.0,38.0,13,38.0,28,1.6950000000000003,22795,121,0,0.0,1210.0000000000002,False,-0.0863657660471654,10,0.48000000000000004,26645,1,10,1.0,165.9940281930639,False,0.043573208421698054,16,0.5310000000000001,38257,86,10,1.0,1622.5463678229164,False,0.014338799042254043,0,0.8660000000000003,35981,136,0,0.0,2121.5187834256694,False,-0.03827605691886924,2,0.39100000000000007,46857,16,10,1.0,748.6004754441376,False,-0.01342481852942998,0,0.24500000000000002,45125,68,34,1.0,2927.398523003159,False,-0.02684757359941561,0,0.2,68757,0,0,0.0,0.0,False,0.0,1,0.34500000000000003,68628,8,10,1.0,619.2032918912245,False,0.0026266655896216387,0.625,353045,0.0,0.0,20,0,0,17,7,5.130769230769231,19,36,31,240.0,93.0,15,11,31,1218,1.7396528619574383,26.020577417919412
12,31,0,0,0,10.000000000000002,20,10.0,15.417733316431532,26,13.923076923076923,27.740946887588215,47,26.617021276595743,30.638392633792588,5,41.0,38.0,8,38.0,26,1.9270000000000005,22521,131,0,0.0,1310.0000000000002,False,-0.09511166640637202,0,0.4700000000000001,26545,1,20,1.0,318.3546663286306,False,0.04264318808231752,7,0.5850000000000001,38260,102,10,1.0,1850.0182671518983,False,0.017369642059817992,30,1.1660000000000004,35831,136,0,0.0,2096.8117310346884,False,-0.04249127984428957,0,0.389,46501,23,15,1.0,1097.6176679214177,False,-0.0172158408747816,0,0.24500000000000002,44435,88,44,1.0,3789.292601994637,False,-0.03225871452150821,0,0.2,68757,0,0,0.0,0.0,False,0.0,0,0.34400000000000003,68727,3,12,1.0,547.9151779013778,False,0.003548112758711054,0.625,351577,0.0,0.0,18,0,0,23,4,3.411764705882353,19,42,39,249.0,129.0,18,13,39,709,2.1938826179830357,28.214460035902448
13,39,0,0,0,10.000000000000002,20,10.0,15.696751301412872,14,20.0,27.254180362883698,20,23.0,28.15304182301013,21,20.142857142857142,38.0,6,38.0,2,1.9210000000000005,22401,141,0,0.0,1410.0000000000002,False,-0.09784476026862408,0,0.4700000000000001,26709,1,18,1.0,292.5415234254317,False,0.04854250982792114,0,0.5780000000000001,37980,106,20,1.0,2208.9392452074385,False,0.014759311003316011,20,1.3360000000000003,35731,136,0,0.0,2134.7581769921508,False,-0.04459499718309076,6,0.44900000000000007,46715,13,10,1.0,635.8347629475893,False,-0.01756867231746261,0,0.24500000000000002,43975,98,54,1.0,4191.17393400515,False,-0.03766998857412016,0,0.2,68757,0,0,0.0,0.0,False,0.0,0,0.3440000000000001,68532,14,16,1.0,1002.1425855221419,False,0.004015173622483136,0.625,350800,0.0,0.0,17,0,0,20,4,3.090909090909091,20,40,40,330.0,147.0,20,19,40,897,2.1243362050154246,30.338796240917873
14,40,0,0,0,10.000000000000002,20,10.0,15.969444457101655,14,20.0,27.16766329589394,1,12.0,30.282040030167572,57,33.26315789473684,38.0,10,38.0,2,1.9390000000000007,22251,154,0,0.0,1540.0000000000002,False,-0.10116351710135874,0,0.47000000000000003,26903,0,14,0.8,223.57222239942317,False,0.05477065872246258,0,0.5780000000000001,37964,98,30,1.0,2380.0354556727807,False,0.016565004876840577,1,1.3260000000000005,35451,148,0,0.0,2363.477779651045,False,-0.04889555276182565,22,0.663,46851,4,10,1.0,411.4910534852515,False,-0.017070946093022794,0,0.24500000000000002,44975,88,39,1.0,3571.753931215202,False,-0.023251097347044246,0,0.2,68757,0,0,0.0,0.0,False,0.0,0,0.3440000000000001,67016,61,16,1.0,2455.204441840222,False,-0.007466843798884211,0.6,350168,0.0,0.0,19,0,0,22,3,2.6875,17,39,34,276.0,128.0,17,23,34,1844,1.9053527259966359,32.24414896691451
15,34,0,0,0,10.000000000000002,20,10.0,15.890081338983695,2,8.0,26.97887305642086,2,12.0,31.44591785991121,15,41.0,38.00000000000001,11,38.0,2,1.957,22151,162,0,0.0,1620.0000000000002,False,-0.10350616898328908,0,0.4700000000000001,26783,2,24,1.0,401.3619521356087,False,0.05355618366655491,0,0.5780000000000001,37960,90,39,1.0,2482.283369708946,False,0.017788495296875997,1,1.3350000000000002,35435,148,0,0.0,2351.7320381695868,False,-0.04946344326812766,0,0.6410000000000002,46827,0,16,0.6,503.13468575857934,False,-0.016615128402070287,0,0.24500000000000002,45590,78,34,1.0,3173.513305637808,False,-0.014564133917807047,0,0.2,68757,0,0,0.0,0.0,False,0.0,0,0.3440000000000001,66819,66,15,1.0,2645.43057875414,False,-0.008948684652078058,0.575,350322,0.0,0.0,18,0,0,23,2,2.0,16,39,36,276.0,81.0,17,17,36,1245,1.9428818590240553,34.187030825938564
16,36,0,0,0,10.000000000000002,20,10.0,16.415329615677198,17,22.0,26.980366467867167,11,27.0,31.994045983475722,24,34.833333333333336,38.00000000000001,8,38.0,0,1.9550000000000003,22081,169,0,0.0,1690.0000000000002,False,-0.10487271591441512,0,0.4700000000000001,27027,5,17,1.0,329.06060346651236,False,0.061671493898690276,0,0.5780000000000001,38245,80,39,1.0,2365.4606615009952,False,0.02367146979827861,1,1.3439999999999999,35045,165,0,0.0,2708.5293865867375,False,-0.054957298439781616,0,0.6410000000000002,46932,0,9,0.0,287.9464138512815,False,-0.016669315141295014,0,0.24500000000000002,46024,79,27,1.0,2995.288192515351,False,-0.007360068173587451,0,0.2,68757,0,0,0.0,0.0,False,0.0,0,0.34400000000000003,66287,80,17,1.0,3205.523678678058,False,-0.012613089004188238,0.5,350398,0.0,0.0,20,0,0,19,1,1.0,18,37,36,228.0,134.0,16,20,36,1999,1.965243685990572,36.152274511929136
17,36,0,0,0,10.000000000000002,20,10.0,16.649145403533495,16,19.25,27.723947752235926,15,34.666666666666664,31.994045983475722,0,,38.00000000000001,14,38.0,2,1.9750000000000003,21961,179,0,0.0,1790.0000000000002,False,-0.10760580977666719,0,0.4700000000000001,27219,5,13,1.0,266.43889024593545,False,0.06794547263481829,0,0.5780000000000001,38457,86,34,1.0,2374.440728279902,False,0.029292251639317524,0,1.343,35045,165,0,0.0,2747.1089915830266,False,-0.05445647274401517,0,0.6410000000000001,46412,5,19,1.0,746.5066124472183,False,-0.022741920327868766,0,0.24500000000000002,46024,69,37,1.0,3096.7320962928807,False,-0.006300579685289731,0,0.2,68757,0,0,0.0,0.0,False,0.0,0,0.34400000000000003,66819,70,13,1.0,2733.5832188433005,False,-0.008307639812358757,0.625,350694,0.0,0.0,25,0,0,20,1,1.0,18,38,44,220.0,113.0,16,20,44,1544,1.8395559099735692,37.991830421902705
18,44,0,0,0,10.000000000000002,20,10.0,16.312906719939352,31,14.419354838709678,27.61207150985277,1,12.0,31.994045983475722,0,,38.0,11,38.0,0,1.9730000000000003,21841,191,0,0.0,1910.0000000000002,False,-0.10994846165859753,18,0.6500000000000001,27262,3,10,1.0,193.12906719939352,False,0.06819321152583539,0,0.5780000000000001,38457,76,44,1.0,2454.7120571489127,False,0.030334303369364768,1,1.3530000000000002,34582,196,0,0.0,3197.329717108113,False,-0.06063285755130197,0,0.6410000000000002,46412,0,24,0.5,767.8571036034173,False,-0.022518934039317668,0,0.24500000000000002,46012,60,47,1.0,3160.444451814525,False,-0.005885820572601706,0,0.2,68757,0,0,0.0,0.0,False,0.0,0,0.3440000000000001,67237,60,12,1.0,2375.642759008543,False,-0.004831197121685524,0.5625,350560,0.0,0.0,18,0,0,24,2,1.9473684210526314,17,41,38,312.0,120.0,19,25,38,894,3.0971423069713637,41.08897272887407
19,38,0,0,0,10.000000000000002,20,10.0,16.87921131277309,23,21.434782608695652,27.594198800806588,24,27.5,31.994045983475722,0,,38.0,10,38.0,2,1.9930000000000003,21711,202,0,0.0,2020.0000000000005,False,-0.11287677651101047,11,0.742,27421,2,10,1.0,188.79211312773091,False,0.07431657256613565,0,0.5780000000000001,38427,81,45,1.0,2608.955062370917,False,0.031557730065049874,15,1.502,34359,204,0,0.0,3443.3591078057107,False,-0.06322879961826634,0,0.6410000000000001,46097,0,33,0.9,1055.8035174546987,False,-0.026091369872428702,0,0.24500000000000002,45667,65,57,1.0,3617.2835431105445,False,-0.008320972311583024,0,0.2,68757,0,0,0.0,0.0,False,0.0,0,0.3440000000000001,67617,50,12,1.0,2055.702299173786,False,-0.0016310899313977062,0.6125,350056,0.0,0.0,18,0,0,18,5,4.166666666666667,17,35,35,178.0,116.0,13,25,35,895,1.9043118209810928,42.99328454985516
20,35,0,0,0,10.000000000000002,20,10.0,17.218879885062382,11,23.0,24.633990297961258,63,18.26984126984127,31.994045983475722,0,,38.0,10,38.0,0,1.9910000000000005,21571,216,0,0.0,2160.0000000000005,False,-0.11560987037326254,1,0.7410000000000001,27596,0,8,0.8,137.75103908049905,False,0.08015287832032829,0,0.5780000000000001,38796,82,37,1.0,2323.405791599682,False,0.03743127260878183,45,1.9370000000000003,33096,204,0,0.0,3512.651496552726,False,-0.09512083943617287,0,0.6410000000000001,45121,48,43,1.0,2558.1755115915967,False,-0.030787321807331725,0,0.24500000000000002,45492,60,67,1.0,3621.640498770549,False,-0.011930896741753912,0,0.2,68757,0,0,0.0,0.0,False,0.0,0,0.34400000000000003,67997,40,12,1.0,1735.761839339029,False,0.0015690172588901118,0.6,348426,0.0,0.0,19,0,0,12,3,2.090909090909091,23,35,38,186.0,144.0,12,23,38,1202,1.8092459189938381,44.802530468849
21,38,0,0,0,10.000000000000002,20,10.0,16.548056484463697,14,8.0,25.00287312023879,41,26.609756097560975,33.06414962820393,18,41.0,38.0,7,38.0,10,2.0910000000000006,21361,225,0,0.0,2250.0000000000005,False,-0.12205216304857099,0,0.74,27518,1,14,1.0,241.67279078249175,False,0.07913620160047029,0,0.5780000000000001,39260,86,31,1.0,2198.2219243912805,False,0.04785312499209788,25,2.142000000000001,32796,204,0,0.0,3375.803522830594,False,-0.10468631837638129,0,0.6410000000000001,45283,54,35,1.0,2507.400385480032,False,-0.027933738715377607,0,0.24500000000000002,44977,75,77,1.0,4421.155005389612,False,-0.014338106222692838,0,0.2,68757,0,0,0.0,0.0,False,0.0,0,0.3440000000000001,67525,48,15,1.0,2157.0791821537887,False,-0.0022319241520586956,0.625,347477,0.0,0.0,22,0,0,16,4,4.0,17,33,32,258.0,109.0,16,22,32,1812,1.8285187919973396,46.63104926084634
22,32,0,0,0,10.000000000000002,20,10.0,16.64090442169868,3,22.0,25.569479960089996,65,27.29230769230769,29.762680579552196,29,14.241379310344827,38.0,11,38.0,0,2.081000000000001,21251,236,0,0.0,2360.0000000000005,False,-0.12419959394034047,0,0.7400000000000002,27494,0,21,1.0,349.45899285567225,False,0.08030335375713873,3,0.6080000000000001,40298,76,10,1.0,1520.4035356499994,False,0.06600378460445004,31,2.427000000000001,32336,207,0,0.0,3444.6672152916262,False,-0.11573544481135595,0,0.6410000000000001,45000,61,25,1.0,2303.805292054295,False,-0.035971453272608325,0,0.24500000000000002,43899,113,78,1.0,5210.840320695241,False,-0.02860800935063672,0,0.2,68757,0,0,0.0,0.0,False,0.0,0,0.3440000000000001,67530,67,14,1.0,2526.0995988299974,False,0.0005243073347439805,0.625,346565,0.0,0.0,21,0,0,11,4,3.1764705882352944,23,34,31,168.0,78.0,11,21,31,1658,1.638305414991919,48.26935467583826
23,31,0,0,0,10.000000000000002,20,10.0,16.64090442169868,0,,25.25419681871085,6,12.833333333333334,30.64631172025526,24,36.125,38.0,10,38.0,0,2.081000000000001,21121,249,0,0.0,2490.0000000000005,False,-0.12673746681243167,0,0.74,27424,0,28,0.7,465.945323807563,False,0.07984431758175008,0,0.6050000000000001,40298,66,20,1.0,1603.3836282063298,False,0.06708100047001671,6,2.4560000000000004,32240,207,0,0.0,3444.6672152916262,False,-0.1182279154728992,0,0.6410000000000002,45252,51,26,1.0,2084.7681424808898,False,-0.032995277786680835,0,0.24500000000000002,44437,109,73,1.0,4989.888208818116,False,-0.019677818765738056,0,0.2,68757,0,0,0.0,0.0,False,0.0,0,0.3440000000000001,67043,81,14,1.0,3014.351249340676,False,-0.0030080482762432277,0.5875,346572,0.0,0.0,21,0,0,19,2,2.0,14,33,32,186.0,132.0,12,19,32,1447,1.8091959099983796,50.07855058583664
24,32,0,0,0,10.000000000000002,20,10.0,16.836323701095196,6,22.0,25.19371344797206,1,12.0,30.424971232989968,41,29.585365853658537,38.0,12,38.0,0,2.081000000000001,21001,261,0,0.0,2610.0000000000005,False,-0.129080118694362,0,0.7400000000000002,27476,0,30,0.8,505.0897110328559,False,0.08263879648275924,0,0.6050000000000001,40298,56,30,1.0,1698.6455307004926,False,0.06831765410089956,1,2.4600000000000004,32092,213,0,0.0,3586.136948333277,False,-0.12023396837245194,15,0.7910000000000001,45943,42,10,1.0,1362.385677144726,False,-0.026106177913431804,0,0.24500000000000002,44437,99,83,1.0,5019.450243687401,False,-0.01936907043815638,0,0.2,68757,0,0,0.0,0.0,False,0.0,0,0.34400000000000003,66286,112,12,1.0,3863.5967780948763,False,-0.007842134051115633,0.6,346290,0.0,0.0,20,0,0,21,2,1.4166666666666667,15,36,32,231.0,77.0,17,15,32,993,2.0527189290151,52.13126951485174
