index,n_registered_negotiations_before,n_contracts_dropped,n_contracts_nullified_now,n_bankrupt,trading_price_0,sold_quantity_0,unit_price_0,trading_price_1,sold_quantity_1,unit_price_1,trading_price_2,sold_quantity_2,unit_price_2,trading_price_3,sold_quantity_3,unit_price_3,trading_price_4,sold_quantity_4,unit_price_4,spot_market_quantity_00MyA@0,spot_market_loss_00MyA@0,balance_00MyA@0,inventory_00MyA@0_input,inventory_00MyA@0_output,productivity_00MyA@0,assets_00MyA@0,bankrupt_00MyA@0,score_00MyA@0,spot_market_quantity_01Ran@0,spot_market_loss_01Ran@0,balance_01Ran@0,inventory_01Ran@0_input,inventory_01Ran@0_output,productivity_01Ran@0,assets_01Ran@0,bankrupt_01Ran@0,score_01Ran@0,spot_market_quantity_02Ran@1,spot_market_loss_02Ran@1,balance_02Ran@1,inventory_02Ran@1_input,inventory_02Ran@1_output,productivity_02Ran@1,assets_02Ran@1,bankrupt_02Ran@1,score_02Ran@1,spot_market_quantity_03Ran@1,spot_market_loss_03Ran@1,balance_03Ran@1,inventory_03Ran@1_input,inventory_03Ran@1_output,productivity_03Ran@1,assets_03Ran@1,bankrupt_03Ran@1,score_03Ran@1,spot_market_quantity_04Dec@2,spot_market_loss_04Dec@2,balance_04Dec@2,inventory_04Dec@2_input,inventory_04Dec@2_output,productivity_04Dec@2,assets_04Dec@2,bankrupt_04Dec@2,score_04Dec@2,spot_market_quantity_05Dec@2,spot_market_loss_05Dec@2,balance_05Dec@2,inventory_05Dec@2_input,inventory_05Dec@2_output,productivity_05Dec@2,assets_05Dec@2,bankrupt_05Dec@2,score_05Dec@2,spot_market_quantity_06Ind@3,spot_market_loss_06Ind@3,balance_06Ind@3,inventory_06Ind@3_input,inventory_06Ind@3_output,productivity_06Ind@3,assets_06Ind@3,bankrupt_06Ind@3,score_06Ind@3,spot_market_quantity_07Dec@3,spot_market_loss_07Dec@3,balance_07Dec@3,inventory_07Dec@3_input,inventory_07Dec@3_output,productivity_07Dec@3,assets_07Dec@3,bankrupt_07Dec@3,score_07Dec@3,productivity,market_size,production_failures,bankruptcy,n_contracts_executed,n_contracts_erred,n_contracts_nullified,n_contracts_cancelled,n_breaches,breach_level,n_contracts_signed,n_contracts_concluded,n_negotiations,n_negotiation_rounds_successful,n_negotiation_rounds_failed,n_negotiation_successful,n_negotiation_failed,n_registered_negotiations_after,activity_level,step_time,total_time
10,28,0,0,0,10.0,8,10.0,23.579581172402953,0,,7.914968602183284,18,2.7777777777777777,43.037584776095706,5,53.0,47.0,20,47.0,0,0.2,33851,0,1,0.0,23.579581172402953,False,0.014250750010069925,0,0.2,32367,102,0,0.0,1020.0,False,-0.015275406595381435,6,0.7010000000000001,51836,14,0,0.0,330.11413641364135,False,-0.039685003357214754,12,0.7970000000000002,51685,6,0,0.0,141.47748703441772,False,-0.04421535099691217,0,0.29900000000000004,68603,0,13,0.7,559.4886020892442,False,0.025178138456707223,0,0.2,68480,7,32,1.0,1432.6074930503455,False,0.02984482663638239,8,0.6040000000000001,85540,0,0,0.0,0.0,False,-0.006227055160555788,2,0.4,85590,0,5,0.5,235.0,False,-0.004281100422882104,0.275,477952,0.0,0.0,5,0,0,13,8,7.833333333333333,13,26,29,224.0,97.0,16,12,29,768,1.2572812540456653,15.417571787722409
11,29,0,0,0,10.0,6,10.0,23.823536322778,1,35.0,6.990965138184256,21,2.8095238095238093,43.037584776095706,0,,47.0,20,47.0,0,0.2,33886,0,0,0.0,0.0,False,0.014945937041363405,0,0.2,32307,108,0,0.0,1080.0,False,-0.01617395992452152,9,0.7850000000000001,51521,14,0,0.0,333.529508518892,False,-0.04547064165725855,12,0.9050000000000002,51206,7,0,0.0,166.764754259446,False,-0.05282765693204571,0,0.29900000000000004,68556,7,23,1.0,1038.801205817491,False,0.028045431723128796,0,0.2,68468,1,42,1.0,1814.5695257342038,False,0.03250859137186678,8,0.676,85433,0,0,0.0,0.0,False,-0.0074701426646219616,7,0.4680000000000001,85738,0,0,0.0,0.0,False,-0.00392676239602212,0.25,477115,0.0,0.0,3,0,0,13,11,11.0,13,26,26,255.0,129.0,16,13,26,330,1.2260348051786423,16.64360659290105
12,26,0,0,0,10.0,11,10.0,23.823536322778,0,,6.314350418652049,18,2.388888888888889,45.533686781099924,20,55.0,46.99999999999999,20,47.0,0,0.2,33886,0,0,0.0,0.0,False,0.014945937041363405,0,0.2,32197,119,0,0.0,1190.0,False,-0.017821307694611675,11,0.8860000000000001,51109,14,0,0.0,333.529508518892,False,-0.05307913657877286,7,0.9630000000000001,50972,7,0,0.0,166.764754259446,False,-0.05714898657193491,0,0.29900000000000004,69077,8,23,1.0,1097.7895993145146,False,0.036238406924398406,0,0.2,69004,0,40,0.8,1821.347471243997,False,0.04053628812820164,8,0.748,84500,5,10,1.0,697.6684339054996,False,-0.014256770563772178,12,0.581,85250,0,5,0.5,234.99999999999997,False,-0.008231098099354059,0.4125,475995,0.0,0.0,7,0,0,10,12,12.0,13,23,29,179.0,125.0,13,13,29,1210,1.0962457209825516,17.739852313883603
13,29,0,0,0,10.0,10,10.0,23.823536322778,0,,6.162040603216197,11,4.636363636363637,47.12713739759585,20,54.0,47.0,20,47.0,0,0.2,33886,0,0,0.0,0.0,False,0.014945937041363405,0,0.2,32097,129,0,0.0,1290.0,False,-0.019318896576511816,1,0.8850000000000002,51080,14,0,0.0,333.529508518892,False,-0.05361468597858819,10,1.0560000000000003,50630,7,0,0.0,166.764754259446,False,-0.06346477604561912,0,0.29900000000000004,69589,5,23,1.0,1114.7343631607855,False,0.043984569087830175,0,0.2,69521,0,34,0.4,1602.322671518259,False,0.04660090392700104,0,0.7400000000000002,84061,10,12,1.0,1035.2713739759586,False,-0.017395839874204403,7,0.639,85132,0,5,0.5,235.0,False,-0.009601979645894326,0.3625,475996,0.0,0.0,9,0,0,8,7,7.0,15,23,33,186.0,147.0,13,16,33,1791,1.1981766019016504,18.938028915785253
14,33,0,0,0,10.000000000000002,15,10.0,23.823536322778,0,,5.799065870038248,12,2.5,47.923367760130766,15,53.0,47.0,20,47.0,0,0.2,33886,0,0,0.0,0.0,False,0.014945937041363405,0,0.2,31947,144,0,0.0,1440.0000000000002,False,-0.021565279899362026,3,0.9140000000000001,50990,14,0,0.0,333.529508518892,False,-0.05527673584008404,9,1.1360000000000001,50311,7,0,0.0,166.764754259446,False,-0.06935581944358772,0,0.29900000000000004,69844,0,28,1.0,1341.8542972836615,False,0.04946982703995817,0,0.2,70031,0,31,0.7,1485.6244005640538,False,0.05332279918861203,0,0.7400000000000002,83907,10,14,1.0,1137.2336776013076,False,-0.01859267578883024,7,0.7020000000000002,85015,0,5,0.5,235.0,False,-0.010961243552209675,0.4,475931,0.0,0.0,10,0,0,9,7,7.0,18,27,30,236.0,141.0,17,16,30,1556,1.250007406808436,20.18803632259369
15,30,0,0,0,10.000000000000002,12,10.0,23.823536322778,0,,4.971696369001826,30,1.9666666666666666,47.923367760130766,0,,46.99999999999999,20,47.0,0,0.2,33886,0,0,0.0,0.0,False,0.014945937041363405,0,0.2,31827,156,0,0.0,1560.0000000000002,False,-0.023362386557642195,23,1.1410000000000002,49953,14,0,0.0,333.529508518892,False,-0.07442724368865282,7,1.1970000000000003,50082,7,0,0.0,166.764754259446,False,-0.07358481298006049,0,0.29900000000000004,69797,9,38,1.0,1865.8332422059855,False,0.05266950367017897,0,0.2,70019,1,41,1.0,1969.8297745343632,False,0.05674740496892708,0,0.7400000000000002,84518,0,11,1.0,516.9999999999999,False,-0.01509712347228031,2,0.7150000000000001,85232,0,0,0.0,0.0,False,-0.009805288349830382,0.375,475314,0.0,0.0,7,0,0,11,9,9.0,13,24,36,186.0,124.0,15,15,36,966,1.243056159466505,21.431092482060194
16,36,0,0,0,10.000000000000002,10,10.0,23.823536322778,0,,4.693521579052851,17,2.6470588235294117,47.923367760130766,0,,46.99999999999999,20,47.0,0,0.2,33886,0,0,0.0,0.0,False,0.014945937041363405,0,0.2,31727,166,0,0.0,1660.0000000000002,False,-0.024859975439542336,6,1.1780000000000004,49748,14,0,0.0,333.529508518892,False,-0.0782130239287267,11,1.3000000000000003,49686,7,0,0.0,166.764754259446,False,-0.0808978323706422,0,0.29900000000000004,69758,13,48,1.0,2361.337433013964,False,0.05577634975676785,0,0.2,70013,0,45,0.4,2156.5515492058844,False,0.058047592305560836,0,0.7400000000000002,84847,0,4,0.0,187.99999999999997,False,-0.013186021655281379,13,0.8430000000000002,84992,0,0,0.0,0.0,False,-0.012593522003810587,0.175,474657,0.0,0.0,4,0,0,9,10,10.0,14,23,32,179.0,155.0,13,23,32,429,1.2187069822102785,22.649799464270473
17,32,0,0,0,10.000000000000002,14,10.0,23.823536322778,0,,4.512289300407895,14,2.857142857142857,47.712588147208464,7,44.714285714285715,46.99999999999999,20,47.0,0,0.2,33886,0,0,0.0,0.0,False,0.014945937041363405,0,0.2,31587,180,0,0.0,1800.0000000000002,False,-0.026956599874202535,6,1.2320000000000002,49540,14,0,0.0,333.529508518892,False,-0.08205420583085042,8,1.3690000000000002,49416,7,0,0.0,166.764754259446,False,-0.08588398195512974,0,0.29900000000000004,69758,3,58,1.0,2780.8669804393144,False,0.05889826747956805,0,0.2,70286,4,48,1.0,2308.253388267638,False,0.0632395215748214,6,0.8,84658,0,7,0.7,328.99999999999994,False,-0.014562712021934104,10,0.9300000000000002,84842,0,0,0.0,0.0,False,-0.014336168037548213,0.3375,473973,0.0,0.0,5,0,0,7,10,9.2,11,18,23,149.0,159.0,10,22,23,453,1.1297047110274434,23.779504175297916
18,23,0,0,0,10.0,12,10.0,23.823536322778,0,,4.327898252163107,23,3.3043478260869565,48.30620851174897,10,54.0,47.0,20,47.0,0,0.2,33886,0,0,0.0,0.0,False,0.014945937041363405,0,0.2,31467,192,0,0.0,1920.0,False,-0.028753706532482704,20,1.4260000000000004,48847,14,0,0.0,333.529508518892,False,-0.09485198976436843,3,1.3910000000000002,49335,7,0,0.0,166.764754259446,False,-0.087379826830476,0,0.29900000000000004,69957,16,63,1.0,3112.5375082747946,False,0.064328090877311,0,0.2,70551,0,47,0.4,2270.3918000522017,False,0.06690175618797306,3,0.8240000000000001,84420,0,10,1.0,470.0,False,-0.016508666759607788,10,1.0200000000000002,84692,0,0,0.0,0.0,False,-0.016078814071285842,0.3,473155,0.0,0.0,6,0,0,11,6,6.0,12,23,28,189.0,87.0,14,9,28,989,1.0561723625287414,24.835676537826657
19,28,0,0,0,10.0,7,10.0,23.823536322778,0,,4.299156948054482,3,3.0,48.944386970856975,15,53.0,47.0,20,47.0,0,0.2,33886,0,0,0.0,0.0,False,0.014945937041363405,0,0.2,31397,199,0,0.0,1990.0,False,-0.0298020187498128,3,1.4360000000000004,48754,14,0,0.0,333.529508518892,False,-0.09656944128791413,0,1.3880000000000001,49335,7,0,0.0,166.764754259446,False,-0.087379826830476,0,0.29900000000000004,70213,9,68,1.0,3366.9107265507646,False,0.07003103634825172,0,0.2,71081,0,37,0.0,1810.942317921708,False,0.07137073654151373,0,0.8210000000000002,84048,5,11,1.0,761.7219348542849,False,-0.019135868680850144,11,1.12,84502,0,0,0.0,0.0,False,-0.01828616571402017,0.25,473216,0.0,0.0,7,0,0,7,4,4.0,14,21,26,213.0,135.0,13,15,26,1288,1.122533392161131,25.958209929987788
20,26,0,0,0,10.0,10,10.0,23.823536322778,0,,4.185149723750682,12,3.0,49.40696435446729,10,54.0,47.00000000000001,20,47.0,0,0.2,33886,0,0,0.0,0.0,False,0.014945937041363405,0,0.2,31297,209,0,0.0,2090.0,False,-0.03129960763171294,4,1.4730000000000003,48632,14,0,0.0,333.529508518892,False,-0.09882244221127517,8,1.468,49059,7,0,0.0,166.764754259446,False,-0.09247677973906325,0,0.29900000000000004,70470,3,73,1.0,3619.2638470473644,False,0.07573383226211379,0,0.2,71328,0,40,0.8,1976.2785741786915,False,0.07627716936925104,2,0.841,84272,0,10,1.0,470.00000000000006,False,-0.01822807751289558,7,1.1790000000000003,84150,0,5,0.5,235.00000000000003,False,-0.021010502346763327,0.4125,473094,0.0,0.0,6,0,0,6,8,7.333333333333333,14,20,31,184.0,150.0,11,15,31,969,1.1303069591522217,27.08851688914001
21,31,0,0,0,10.000000000000002,12,10.0,23.823536322778,0,,4.98478173208956,27,8.62962962962963,49.40696435446729,0,,47.00000000000001,0,,0,0.2,33886,0,0,0.0,0.0,False,0.014945937041363405,0,0.2,31177,221,0,0.0,2210.0000000000005,False,-0.03309671428999311,3,1.4990000000000003,48539,14,0,0.0,333.529508518892,False,-0.10053989373482088,24,1.7,48212,7,0,0.0,166.764754259446,False,-0.10811851565780749,0,0.29900000000000004,70326,5,83,1.0,4125.701950081233,False,0.07735933346788443,0,0.2,71239,5,50,1.0,2495.2721263838125,False,0.07881466361851898,0,0.8390000000000002,84272,0,10,0.0,470.00000000000006,False,-0.01822807751289558,0,1.1720000000000002,84150,0,5,0.0,235.00000000000003,False,-0.021010502346763327,0.25,471801,0.0,0.0,3,0,0,13,5,5.0,13,26,23,235.0,172.0,16,15,23,120,1.1971696354448795,28.28568652458489
22,23,0,0,0,10.000000000000002,13,10.0,23.823536322778,0,,4.79305101423462,15,3.066666666666667,49.40696435446729,0,,47.00000000000001,0,,0,0.2,33886,0,0,0.0,0.0,False,0.014945937041363405,0,0.2,31047,234,0,0.0,2340.0000000000005,False,-0.03504357983646329,6,1.5560000000000005,48343,14,0,0.0,333.529508518892,False,-0.10415946898874516,9,1.766,47901,7,0,0.0,166.764754259446,False,-0.11386182129030979,0,0.29900000000000004,70286,8,93,1.0,4633.192093079335,False,0.08054048974624077,0,0.2,71233,0,57,0.7,2816.1969682046356,False,0.0811135194312083,0,0.8390000000000002,84272,0,10,0.0,470.00000000000006,False,-0.01822807751289558,0,1.1720000000000002,84150,0,5,0.0,235.00000000000003,False,-0.021010502346763327,0.2125,471118,0.0,0.0,3,0,0,13,6,6.0,10,23,23,187.0,104.0,13,10,23,130,2.0456890389323235,30.331375563517213
23,23,0,0,0,10.0,6,10.0,23.823536322778,0,,4.745520200522935,18,4.388888888888889,48.43170713407709,23,44.26086956521739,47.00000000000001,0,,0,0.2,33886,0,0,0.0,0.0,False,0.014945937041363405,0,0.2,30987,240,0,0.0,2400.0,False,-0.03594213316560338,12,1.6700000000000002,47920,14,0,0.0,333.529508518892,False,-0.11197110333777563,6,1.8170000000000004,47718,7,0,0.0,166.764754259446,False,-0.11724132267535134,0,0.29900000000000004,70984,5,85,1.0,4140.422707399167,False,0.08726185580955172,0,0.2,71474,1,62,1.0,3007.5113625133026,False,0.08612397019327957,0,0.8390000000000002,83722,0,20,1.0,940.0000000000001,False,-0.0218876341837446,0,1.1720000000000002,83682,3,15,1.0,850.2951214022314,False,-0.022873419295725766,0.5,470373,0.0,0.0,5,0,0,9,5,5.0,12,21,31,150.0,80.0,11,12,31,1078,1.1174172749742866,31.4487928384915
24,31,0,0,0,10.0,8,10.0,23.823536322778,0,,4.562659672630906,11,2.272727272727273,48.71921832206447,5,55.0,47.00000000000001,0,,0,0.2,33886,0,0,0.0,0.0,False,0.014945937041363405,0,0.2,30907,248,0,0.0,2480.0,False,-0.03714020427112349,10,1.7580000000000005,47562,14,0,0.0,333.529508518892,False,-0.11858236834239244,1,1.8210000000000002,47685,7,0,0.0,166.764754259446,False,-0.11785074095789982,0,0.29900000000000004,70968,1,95,1.0,4632.8884002687555,False,0.09068839874587922,0,0.2,71740,0,63,0.6,3069.3107542900616,False,0.09054271222552168,0,0.8390000000000002,83447,0,25,0.5,1175.0000000000002,False,-0.023717412519169107,0,1.1720000000000004,83682,0,18,0.3,846.0000000000001,False,-0.022898368883312422,0.30000000000000004,469877,0.0,0.0,3,0,0,12,4,4.0,9,21,32,176.0,141.0,12,19,32,355,1.301057388074696,32.749850226566195
25,32,0,0,0,10.0,10,10.0,23.823536322778,0,,4.230572098074589,15,1.2666666666666666,47.847398788365766,9,37.888888888888886,47.00000000000001,0,,0,0.2,33886,0,0,0.0,0.0,False,0.014945937041363405,0,0.2,30807,258,0,0.0,2580.0,False,-0.03863779315302363,8,1.8280000000000003,47278,14,0,0.0,333.529508518892,False,-0.12382705901644599,7,1.8900000000000003,47444,7,0,0.0,166.764754259446,False,-0.12230134114257203,0,0.29900000000000004,70982,0,100,0.6,4784.739878836576,False,0.09202675863461314,0,0.2,72048,0,65,1.0,3110.080921243775,False,0.09543004956946458,0,0.839,83163,0,31,0.6,1457.0000000000002,False,-0.02537873507133231,0,1.1720000000000002,83625,0,21,0.3,987.0000000000001,False,-0.022741530740276034,0.3125,469233,0.0,0.0,5,0,0,9,4,4.0,12,21,34,176.0,145.0,11,21,34,441,1.3079022839665413,34.05775251053274
