index,n_registered_negotiations_before,n_contracts_dropped,n_contracts_nullified_now,n_bankrupt,trading_price_0,sold_quantity_0,unit_price_0,trading_price_1,sold_quantity_1,unit_price_1,trading_price_2,sold_quantity_2,unit_price_2,trading_price_3,sold_quantity_3,unit_price_3,trading_price_4,sold_quantity_4,unit_price_4,spot_market_quantity_00MyA@0,spot_market_loss_00MyA@0,balance_00MyA@0,inventory_00MyA@0_input,inventory_00MyA@0_output,productivity_00MyA@0,assets_00MyA@0,bankrupt_00MyA@0,score_00MyA@0,spot_market_quantity_01Ind@0,spot_market_loss_01Ind@0,balance_01Ind@0,inventory_01Ind@0_input,inventory_01Ind@0_output,productivity_01Ind@0,assets_01Ind@0,bankrupt_01Ind@0,score_01Ind@0,spot_market_quantity_02Buy@1,spot_market_loss_02Buy@1,balance_02Buy@1,inventory_02Buy@1_input,inventory_02Buy@1_output,productivity_02Buy@1,assets_02Buy@1,bankrupt_02Buy@1,score_02Buy@1,spot_market_quantity_03Buy@1,spot_market_loss_03Buy@1,balance_03Buy@1,inventory_03Buy@1_input,inventory_03Buy@1_output,productivity_03Buy@1,assets_03Buy@1,bankrupt_03Buy@1,score_03Buy@1,spot_market_quantity_04Dec@2,spot_market_loss_04Dec@2,balance_04Dec@2,inventory_04Dec@2_input,inventory_04Dec@2_output,productivity_04Dec@2,assets_04Dec@2,bankrupt_04Dec@2,score_04Dec@2,spot_market_quantity_05Ran@2,spot_market_loss_05Ran@2,balance_05Ran@2,inventory_05Ran@2_input,inventory_05Ran@2_output,productivity_05Ran@2,assets_05Ran@2,bankrupt_05Ran@2,score_05Ran@2,spot_market_quantity_06Dec@3,spot_market_loss_06Dec@3,balance_06Dec@3,inventory_06Dec@3_input,inventory_06Dec@3_output,productivity_06Dec@3,assets_06Dec@3,bankrupt_06Dec@3,score_06Dec@3,spot_market_quantity_07Buy@3,spot_market_loss_07Buy@3,balance_07Buy@3,inventory_07Buy@3_input,inventory_07Buy@3_output,productivity_07Buy@3,assets_07Buy@3,bankrupt_07Buy@3,score_07Buy@3,productivity,market_size,production_failures,bankruptcy,n_contracts_executed,n_contracts_erred,n_contracts_nullified,n_contracts_cancelled,n_breaches,breach_level,n_contracts_signed,n_contracts_concluded,n_negotiations,n_negotiation_rounds_successful,n_negotiation_rounds_failed,n_negotiation_successful,n_negotiation_failed,n_registered_negotiations_after,activity_level,step_time,total_time
10,32,0,0,0,10.0,9,10.0,16.194074251515037,18,6.277777777777778,15.011593857288817,59,14.016949152542374,11.376124160388999,43,13.046511627906977,33.99999999999999,20,34.0,0,0.2,40576,0,0,0.0,0.0,False,0.004008511901816203,8,0.5410000000000001,40963,10,10,1.0,261.94074251515036,False,0.016825119296718264,49,2.2650000000000006,49080,96,0,0.0,1554.6311281454437,False,-0.098306918342779,10,1.3260000000000003,52377,58,0,0.0,939.2563065878721,False,-0.04424378938936322,0,0.2,88506,60,50,1.0,1469.501839456779,False,0.005801579240903392,38,2.6680000000000006,74338.0,203,0,0.0,3047.35355302963,False,-0.14498932920998567,0,0.2,112678,21,14,1.0,714.8986073681689,False,0.008749714905038479,11,0.9040000000000001,109899,207,0,0.0,2354.8577012005226,False,-0.00873295390120688,0.375,568417,0.0,0.0,8,0,0,19,15,14.615384615384615,18,37,33,347.0,135.0,22,10,33,621,12.60311385098612,70.41245624300791
11,33,0,0,0,10.0,11,10.0,16.663233751272593,22,19.0,14.951946479393618,65,14.738461538461538,12.67264083698781,104,15.076923076923075,33.99999999999999,20,34.0,0,0.2,40576,0,0,0.0,0.0,False,0.004008511901816203,12,0.653,41079,11,10,1.0,276.63233751272594,False,0.019877175452970814,23,2.4460000000000006,48451,107,0,0.0,1782.9660113861673,False,-0.10761790813135333,42,1.7360000000000002,51414,69,0,0.0,1149.7631288378088,False,-0.0597565412544282,0,0.2,88726,65,50,1.0,1605.5085630099757,False,0.009047565330399002,94,3.5700000000000003,68164.0,253,0,0.0,3782.8424592865854,False,-0.21042962345148777,0,0.2,111487,78,17,1.0,1566.465985285049,False,0.001920779908460399,13,1.0230000000000004,109573,244,0,0.0,3092.1243642250256,False,-0.008352485992481284,0.375,559470,0.0,0.0,9,0,0,15,19,18.09090909090909,20,35,38,331.0,142.0,21,12,38,728,5.859293485991657,76.27174972899957
12,38,0,0,0,10.0,13,10.0,15.845545337026206,27,12.25925925925926,15.250512921081103,40,17.25,11.93595631303123,34,6.147058823529412,33.99999999999999,20,34.0,0,0.2,40576,0,0,0.0,0.0,False,0.004008511901816203,17,0.8110000000000002,40980,14,10,1.0,298.45545337026203,False,0.01769752379584131,20,2.6230000000000007,48004,120,0,0.0,1901.4654404431446,False,-0.11463055503912657,20,1.8940000000000003,51110,83,0,0.0,1315.180262973175,False,-0.06375870125537439,0,0.2,88803,65,47,1.0,1552.2732865827395,False,0.00961540747121885,21,3.6860000000000004,66790.0,283,0,0.0,4315.8951566659525,False,-0.22291157520531785,0,0.2,111815,74,17,1.0,1461.260767164311,False,0.00437847827925715,10,1.1100000000000003,109246,272,0,0.0,3246.5801171444946,False,-0.010581499633463453,0.375,557324,0.0,0.0,10,0,0,15,13,12.23076923076923,21,36,39,345.0,194.0,23,15,39,652,2.2021302559878677,78.47387998498743
13,39,0,0,0,10.0,12,10.0,15.345687974889756,7,6.0,15.278831281153687,40,15.475,11.161752717704932,30,4.166666666666667,34.0,20,34.0,0,0.2,40576,0,0,0.0,0.0,False,0.004008511901816203,0,0.794,40902,16,13,1.0,359.49394367356683,False,0.016522664716107947,12,2.7230000000000008,47821,120,0,0.0,1841.4825569867708,False,-0.11848260578204503,28,2.1540000000000004,50718,90,0,0.0,1381.111917740078,False,-0.0702520037098721,0,0.2,88693,65,57,1.0,1629.3439381841708,False,0.008809953892794528,30,3.9650000000000003,65071.0,313,0,0.0,4782.274191001105,False,-0.23965763028311257,0,0.2,112035,72,20,1.0,1483.646195674755,False,0.006441685760005139,13,1.2300000000000002,108949,294,0,0.0,3281.55529900525,False,-0.013075921203849724,0.375,554765,0.0,0.0,9,0,0,22,15,15.0,17,39,38,385.0,206.0,25,14,38,400,2.2219181920518167,80.69579817703925
14,38,0,0,0,9.999999999999998,11,10.0,15.022435394854359,5,7.0,15.048306987893097,37,13.27027027027027,11.535579057647677,20,16.6,34.0,20,34.0,0,0.2,40576,0,0,0.0,0.0,False,0.004008511901816203,0,0.7940000000000003,40827,17,18,1.0,440.4038371073784,False,0.015667885350464986,17,2.8810000000000002,47519,125,0,0.0,1877.804424356795,False,-0.12361596925147125,20,2.3260000000000005,50343,90,0,0.0,1352.0191855368923,False,-0.07729713358348353,0,0.2,88423,80,67,1.0,1976.748355893842,False,0.007724614858631375,20,4.135,64465.0,325,0,0.0,4890.699771065257,False,-0.24587663271721216,0,0.2,111907,82,24,1.0,1761.9174827271095,False,0.006541062347628932,14,1.3570000000000004,108735,294,0,0.0,3391.460242948417,False,-0.01449529140623619,0.375,552795,0.0,0.0,7,0,0,16,14,14.0,18,34,35,302.0,170.0,20,18,35,349,1.7712567829876207,82.46705496002687
15,35,0,0,0,10.0,11,10.0,14.582266813264393,26,12.615384615384615,15.119044312701279,46,15.565217391304348,11.221303530665976,42,9.261904761904763,34.0,20,34.0,0,0.2,40576,0,0,0.0,0.0,False,0.004008511901816203,8,0.8740000000000001,40917,18,10,1.0,325.8226681326439,False,0.016477243877525718,20,3.0640000000000005,47184,125,0,0.0,1822.7833516580492,False,-0.13017214338471378,26,2.5660000000000007,49570,116,0,0.0,1691.5429503386697,False,-0.0882069796326961,0,0.2,88263,85,77,1.0,2149.159138440889,False,0.006892901395537284,42,4.535000000000002,62185.0,356,0,0.0,5382.379775321655,False,-0.2688029451608229,0,0.2,111997,88,23,1.0,1769.474710698606,False,0.007377960424339021,9,1.4330000000000003,108525,320,0,0.0,3590.8171298131124,False,-0.01547982182940027,0.375,549217,0.0,0.0,10,0,0,15,18,17.57142857142857,20,35,23,307.0,147.0,20,15,23,700,1.7548602790338919,84.22191523906076
16,23,0,0,0,10.000000000000002,10,10.0,14.327841639651998,20,12.7,15.139636746068309,27,15.37037037037037,10.982683496609813,43,9.465116279069768,33.99999999999999,20,34.0,0,0.2,40576,0,0,0.0,0.0,False,0.004008511901816203,10,0.9660000000000002,40895,18,10,1.0,323.27841639652,False,0.01590140070763258,20,3.2440000000000007,46821,131,0,0.0,1876.9472547944117,False,-0.13624737982389798,7,2.6100000000000008,49300,130,0,0.0,1862.6194131547597,False,-0.09154305777264073,0,0.2,88343,85,82,1.0,2187.449170137811,False,0.008010330512689706,38,4.873000000000002,60284.0,373,0,0.0,5647.084506283479,False,-0.2887367597644237,0,0.2,112163,86,25,1.0,1794.5107807084437,False,0.00897108911118851,12,1.5440000000000003,108046,355,0,0.0,3898.8526412964834,False,-0.018380024803460418,0.375,546428,0.0,0.0,9,0,0,10,19,19.0,18,28,26,205.0,86.0,14,9,26,747,1.6756349900388159,85.89755022909958
17,26,0,0,0,10.0,8,10.0,13.851213971177001,17,10.117647058823529,14.794215071063935,27,11.0,10.838350685586487,55,10.090909090909092,33.99999999999999,20,34.0,0,0.2,40576,0,0,0.0,0.0,False,0.004008511901816203,7,1.026,40875,16,10,1.0,298.51213971177003,False,0.015100115550450047,10,3.324000000000001,46584,143,0,0.0,1980.7235978783112,False,-0.13959521460331042,17,2.7730000000000006,48884,135,0,0.0,1869.9138861088952,False,-0.09900065210687699,0,0.2,88263,100,87,1.0,2422.358016752418,False,0.008432466338798126,50,5.335000000000001,57986.0,375,0,0.0,5547.830651648976,False,-0.315196049344899,0,0.2,112212,103,23,1.0,1898.3501206154083,False,0.009871715321116496,8,1.612,107766,383,0,0.0,4151.0883125796245,False,-0.019753298324128286,0.375,543146,0.0,0.0,9,0,0,16,15,14.583333333333334,15,31,30,279.0,102.0,17,9,30,773,1.7167007980169728,87.61425102711655
18,30,0,0,0,10.0,12,10.0,15.10824275844983,38,19.57894736842105,14.714259198565502,41,14.146341463414634,11.087385341511661,21,14.714285714285714,33.99999999999999,20,34.0,0,0.2,40576,0,0,0.0,0.0,False,0.004008511901816203,28,1.2990000000000002,40886,18,10,1.0,331.0824275844983,False,0.015775256440645487,29,3.6040000000000005,45657,162,0,0.0,2447.5353268688723,False,-0.15213919187900027,12,2.876000000000001,48365,154,0,0.0,2326.6693848012737,False,-0.10425669266632956,0,0.2,88343,100,92,1.0,2491.465371275623,False,0.009723561139212923,16,5.445000000000001,57085.0,406,0,0.0,5973.989234617594,False,-0.3229493652671281,0,0.2,112586,93,22,1.0,1779.1268367605844,False,0.012677376452458974,9,1.6940000000000004,107349,404,0,0.0,4479.303677970711,False,-0.02201015716402339,0.375,540847,0.0,0.0,10,0,0,20,13,12.75,12,32,34,276.0,115.0,17,13,34,831,5.025286866002716,92.63953789311927
19,34,0,0,0,10.0,11,10.0,15.58969404019492,22,19.0,14.783124948233679,35,15.371428571428572,10.662314447054362,68,8.823529411764707,33.99999999999999,20,34.0,0,0.2,40576,0,0,0.0,0.0,False,0.004008511901816203,12,1.3910000000000005,41002,19,10,1.0,345.8969404019492,False,0.018828833330058203,18,3.7550000000000003,45174,173,0,0.0,2697.0170689537213,False,-0.15861847730315123,17,3.0340000000000007,47923,165,0,0.0,2572.299516632162,False,-0.11002930283551116,0,0.2,88613,100,92,1.0,2459.245423952369,False,0.012585067646193784,58,6.009000000000002,53877.0,431,0,0.0,6371.526852688716,False,-0.35686536723909157,0,0.2,112759,126,22,1.0,2091.4516203288495,False,0.015614883853147344,10,1.7850000000000004,106789,429,0,0.0,4574.132897786321,False,-0.026584566071186783,0.375,536713,0.0,0.0,10,0,0,19,19,18.09090909090909,18,37,28,340.0,126.0,22,12,28,830,1.8269576950115152,94.46649558813078
20,28,0,0,0,10.000000000000002,10,10.0,15.58969404019492,0,,14.77999799117522,23,14.73913043478261,10.61772998332422,30,10.133333333333333,33.99999999999999,20,34.0,0,0.2,40576,0,0,0.0,0.0,False,0.004008511901816203,0,1.3790000000000002,40902,19,20,1.0,501.79388080389845,False,0.01828319246800494,0,3.7370000000000005,45174,173,0,0.0,2697.0170689537213,False,-0.15861847730315123,23,3.2470000000000008,47555,165,0,0.0,2572.299516632162,False,-0.11668475650957479,0,0.2,88698,100,97,1.0,2507.919607499971,False,0.01381736811926585,25,6.201000000000001,52820.0,444,0,0.0,6562.319108081798,False,-0.36770327126162683,0,0.2,112873,135,21,1.0,2147.3935477487694,False,0.016881859567840652,9,1.8650000000000002,106645,440,0,0.0,4671.801192662657,False,-0.02743384412715787,0.375,535243,0.0,0.0,8,0,0,14,8,8.0,14,28,33,222.0,144.0,15,13,33,664,1.5561565409880131,96.0226521291188
21,33,0,0,0,10.0,10,10.0,15.58969404019492,0,,14.772250011611089,34,14.705882352941176,10.83657139091415,19,14.526315789473685,33.99999999999999,20,34.0,0,0.2,40576,0,0,0.0,0.0,False,0.004008511901816203,0,1.379,40802,19,30,1.0,657.6908212058477,False,0.0177375516059515,15,3.887000000000001,44904,173,0,0.0,2697.0170689537213,False,-0.1635015547270566,19,3.4140000000000006,47364,165,0,0.0,2572.299516632162,False,-0.12013908165018933,0,0.2,88668,110,102,1.0,2730.277783150463,False,0.014732309487356944,14,6.316000000000002,52118.0,458,0,0.0,6765.690505317879,False,-0.3744692057270818,0,0.2,112993,138,20,1.0,2175.4468519461525,False,0.018077938744126328,9,1.946,106518,446,0,0.0,4833.110840347711,False,-0.027847437239089234,0.375,533943,0.0,0.0,9,0,0,15,12,12.0,17,32,33,270.0,150.0,18,15,33,664,1.8466569369775243,97.86930906609632
22,33,0,0,0,10.0,12,10.0,16.040486320001587,21,19.476190476190474,14.901877357233046,30,16.166666666666668,10.548832371466077,18,5.666666666666667,33.99999999999999,20,34.0,0,0.2,40576,0,0,0.0,0.0,False,0.004008511901816203,0,1.3790000000000002,41091,21,19,1.0,514.7692400800302,False,0.023120320187064256,18,4.0520000000000005,44245,194,0,0.0,3111.854346080308,False,-0.1716686167681234,12,3.515000000000001,47222,165,0,0.0,2646.680242800262,False,-0.1220346133977153,0,0.2,88558,110,112,1.0,2820.6757348998353,False,0.01400195959977809,18,6.482000000000003,51181.0,478,0,0.0,7123.097376757396,False,-0.38301570353246295,0,0.2,113183,138,24,1.0,2271.7388672623183,False,0.020203198729473563,14,2.0770000000000004,106216,454,0,0.0,4789.169896645599,False,-0.030738610964947625,0.375,532272,0.0,0.0,9,0,0,15,15,15.0,20,35,30,290.0,144.0,20,13,30,733,1.7754380170372315,99.64474708313355
23,30,0,0,0,10.0,7,10.0,16.040486320001587,0,,14.707305550515956,29,12.758620689655173,10.30431025232158,17,6.117647058823529,33.99999999999999,20,34.0,0,0.2,40576,0,0,0.0,0.0,False,0.004008511901816203,0,1.3790000000000002,41021,18,29,1.0,645.174103280046,False,0.023001609631316488,9,4.1240000000000006,44144,194,0,0.0,3111.854346080308,False,-0.17349524943410283,20,3.703000000000001,46827,165,0,0.0,2646.680242800262,False,-0.12917837481416947,0,0.2,88343,120,122,1.0,3022.0025168451475,False,0.012713311300211628,17,6.634000000000001,50543.0,487,0,0.0,7162.457803101271,False,-0.3899845715849849,0,0.2,113361,134,27,1.0,2298.7775738110913,False,0.021912353637995156,13,2.1930000000000005,105973,465,0,0.0,4791.504267329535,False,-0.032896772712821716,0.375,530788,0.0,0.0,6,0,0,18,13,13.0,13,31,29,241.0,142.0,17,13,29,308,1.5475784750306047,101.19232555816416
24,29,0,0,0,9.999999999999998,12,10.0,16.227640133250965,11,19.0,14.582689386653094,10,11.0,10.888286227542919,44,14.568181818181818,33.99999999999999,20,34.0,0,0.2,40576,0,0,0.0,0.0,False,0.004008511901816203,0,1.3790000000000002,41110,20,28,1.0,654.373923731027,False,0.025317636508771984,5,4.165000000000001,43870,205,0,0.0,3326.666227316448,False,-0.17650818162049034,5,3.733000000000001,46762,165,0,0.0,2677.5606219864094,False,-0.1300746873746549,0,0.2,88233,120,132,1.0,3187.1765084340364,False,0.012404348829170872,44,7.057,48933.0,487,0,0.0,7101.769731300056,False,-0.4084723207892836,0,0.2,113289,142,28,1.0,2498.136644311094,False,0.022159371042394824,11,2.2900000000000005,105565,491,0,0.0,5346.148537723573,False,-0.03406296667831163,0.375,528338,0.0,0.0,9,0,0,12,11,11.0,20,32,20,265.0,110.0,17,12,20,635,1.4117630399996415,102.6040885981638
