index,n_registered_negotiations_before,n_contracts_dropped,n_contracts_nullified_now,n_bankrupt,trading_price_0,sold_quantity_0,unit_price_0,trading_price_1,sold_quantity_1,unit_price_1,trading_price_2,sold_quantity_2,unit_price_2,trading_price_3,sold_quantity_3,unit_price_3,trading_price_4,sold_quantity_4,unit_price_4,spot_market_quantity_00Dec@0,spot_market_loss_00Dec@0,balance_00Dec@0,inventory_00Dec@0_input,inventory_00Dec@0_output,productivity_00Dec@0,assets_00Dec@0,bankrupt_00Dec@0,score_00Dec@0,spot_market_quantity_01Ran@0,spot_market_loss_01Ran@0,balance_01Ran@0,inventory_01Ran@0_input,inventory_01Ran@0_output,productivity_01Ran@0,assets_01Ran@0,bankrupt_01Ran@0,score_01Ran@0,spot_market_quantity_02MyA@1,spot_market_loss_02MyA@1,balance_02MyA@1,inventory_02MyA@1_input,inventory_02MyA@1_output,productivity_02MyA@1,assets_02MyA@1,bankrupt_02MyA@1,score_02MyA@1,spot_market_quantity_03Ran@1,spot_market_loss_03Ran@1,balance_03Ran@1,inventory_03Ran@1_input,inventory_03Ran@1_output,productivity_03Ran@1,assets_03Ran@1,bankrupt_03Ran@1,score_03Ran@1,spot_market_quantity_04Ind@2,spot_market_loss_04Ind@2,balance_04Ind@2,inventory_04Ind@2_input,inventory_04Ind@2_output,productivity_04Ind@2,assets_04Ind@2,bankrupt_04Ind@2,score_04Ind@2,spot_market_quantity_05Ran@2,spot_market_loss_05Ran@2,balance_05Ran@2,inventory_05Ran@2_input,inventory_05Ran@2_output,productivity_05Ran@2,assets_05Ran@2,bankrupt_05Ran@2,score_05Ran@2,spot_market_quantity_06Buy@3,spot_market_loss_06Buy@3,balance_06Buy@3,inventory_06Buy@3_input,inventory_06Buy@3_output,productivity_06Buy@3,assets_06Buy@3,bankrupt_06Buy@3,score_06Buy@3,spot_market_quantity_07Dec@3,spot_market_loss_07Dec@3,balance_07Dec@3,inventory_07Dec@3_input,inventory_07Dec@3_output,productivity_07Dec@3,assets_07Dec@3,bankrupt_07Dec@3,score_07Dec@3,productivity,market_size,production_failures,bankruptcy,n_contracts_executed,n_contracts_erred,n_contracts_nullified,n_contracts_cancelled,n_breaches,breach_level,n_contracts_signed,n_contracts_concluded,n_negotiations,n_negotiation_rounds_successful,n_negotiation_rounds_failed,n_negotiation_successful,n_negotiation_failed,n_registered_negotiations_after,activity_level,step_time,total_time
10,22,0,0,0,10.000000000000002,20,10.0,19.65307801048974,12,32.0,16.558590827697547,3,6.333333333333333,15.456649564667035,69,19.10144927536232,49.0,20,49.0,0,0.2,17825,5,63,1.0,1288.1439146608536,False,0.04842597396289889,0,0.5780000000000001,15856,109,0,0.0,1090.0000000000002,False,-0.06897138964577657,0,0.2,28883,0,0,0.0,0.0,False,0.03631014315955653,3,1.3640000000000003,22234.0,60,0,0.0,1179.1846806293843,False,-0.18109890781404717,0,0.2,38378,0,13,0.2,200.93644434067147,False,0.007579884840407796,51,3.4100000000000006,15113.0,89,0,0.0,1473.7145836650816,False,-0.584962756504948,11,0.8050000000000002,50144,237,0,0.0,3663.2259468260872,False,-0.02233483863941003,0,0.272,53167,89,11,1.0,1914.641811255366,False,0.018082518022453264,0.275,241600,0.0,0.0,12,0,0,10,11,11.0,18,28,27,140.0,53.0,15,7,27,1349,1.706452420912683,31.86185797955841
11,27,0,0,0,10.000000000000002,20,10.0,19.909584709135355,9,22.22222222222222,16.46911239853388,22,16.045454545454547,13.97292806257118,50,5.9,49.0,20,49.0,0,0.2,17865,7,68,1.0,1423.8517602212041,False,0.054548471850056804,4,0.6180000000000001,15732,117,0,0.0,1170.0000000000002,False,-0.07373978201634877,0,0.2,28883,0,0,0.0,0.0,False,0.03631014315955653,22,1.5810000000000002,21464.0,69,0,0.0,1373.7613449303394,False,-0.20523552536811848,0,0.2,38537,0,5,0.1,69.8646403128559,False,0.010027293727419563,41,3.769000000000001,11803.0,110,0,0.0,1811.602363838727,False,-0.6672130408777563,15,0.9440000000000002,49522,284,0,0.0,3968.311569770215,False,-0.03116536341280387,0,0.272,53393,82,16,1.0,1929.7801011308368,False,0.022475971080740675,0.2625,237199,0.0,0.0,11,0,0,14,17,17.0,19,33,27,273.0,36.0,21,6,27,767,1.7744809426367283,33.63633892219514
12,27,0,0,0,10.000000000000002,20,10.0,20.4953597935091,5,30.0,16.30973206916548,10,14.5,13.80575815453304,44,12.704545454545455,49.00000000000001,20,49.0,0,0.2,17915,7,73,1.0,1566.1612649261642,False,0.061426012287868016,0,0.6140000000000001,15632,127,0,0.0,1270.0000000000002,False,-0.07657811080835604,0,0.2,28883,0,0,0.0,0.0,False,0.03631014315955653,10,1.659,21126.0,74,0,0.0,1516.6566247196733,False,-0.21479931425640136,18,0.38000000000000006,37986,0,1,0.1,13.80575815453304,False,-0.005134911124217326,21,3.938000000000001,10612.0,119,0,0.0,1940.8581162306923,False,-0.6967077153600423,10,1.0290000000000001,48883,319,0,0.0,4404.0368512960395,False,-0.03908698858890543,0,0.272,53798,81,16,1.0,1902.2664105171762,False,0.029835284036991625,0.2625,234835,0.0,0.0,10,0,0,13,10,9.583333333333334,19,32,22,253.0,51.0,20,7,22,840,1.6943993363529444,35.33073825854808
13,22,0,0,0,10.000000000000002,20,10.0,22.291291400799892,13,33.0,15.925040252345674,3,1.6666666666666667,13.63230164587882,16,10.375,49.000000000000014,20,49.0,0,0.2,18224,9,70,1.0,1650.3903980559924,False,0.0813575839593549,0,0.6140000000000001,15552,135,0,0.0,1350.0000000000002,False,-0.07884877384196186,0,0.2,28883,0,0,0.0,0.0,False,0.03631014315955653,3,1.6790000000000003,20602.0,87,0,0.0,1939.3423518695906,False,-0.2260173235285854,7,0.43200000000000005,37812,0,1,0.1,13.63230164587882,False,-0.00969346799280058,8,3.997000000000001,10234.0,121,0,0.0,1926.9298705338265,False,-0.7067882129600954,13,1.149,48448,331,0,0.0,4512.291844785889,False,-0.04625122881716717,0,0.272,54137,75,19,1.0,1953.4226234409118,False,0.03669302544477281,0.2625,233892,0.0,0.0,9,0,0,13,10,9.875,15,28,26,195.0,21.0,15,7,26,972,3.067966097034514,38.398704355582595
14,26,0,0,0,10.000000000000002,20,10.0,23.24153416764121,19,27.31578947368421,15.501730507160847,3,1.0,11.769499401986375,54,1.9444444444444444,49.00000000000001,20,49.0,0,0.2,18628,9,64,1.0,1577.4581867290374,False,0.10222122464603314,3,0.6440000000000001,15404,145,0,0.0,1450.0000000000002,False,-0.0844118982742961,0,0.2,28883,0,0,0.0,0.0,False,0.03631014315955653,3,1.7060000000000002,19990.0,106,0,0.0,2463.602621769968,False,-0.23857051017598993,0,0.42500000000000004,37809,0,4,0.3,47.0779976079455,False,-0.009334127659693233,54,4.529000000000002,5588.0,121,0,0.0,1875.7093913664626,False,-0.8291169002675317,13,1.266,48157,353,0,0.0,4154.63328890119,False,-0.05508875262023228,0,0.272,54397,97,22,1.0,2219.6414419926787,False,0.044087442789088965,0.2875,228856,0.0,0.0,10,0,0,15,13,13.0,16,31,24,199.0,46.0,18,8,24,1047,1.757172723300755,40.15587707888335
15,24,0,0,0,10.000000000000002,20,10.0,24.072459460832537,12,30.333333333333332,17.28967874514314,20,25.8,11.393252480289036,40,8.525,49.00000000000001,20,49.0,0,0.2,18912,7,62,1.0,1562.4924865716173,False,0.1179181564081408,0,0.6410000000000002,15284,157,0,0.0,1570.0000000000002,False,-0.08781789282470481,0,0.2,28883,0,0,0.0,0.0,False,0.03631014315955653,20,1.9030000000000005,19366.0,118,0,0.0,2840.5502163782394,False,-0.2541970109364889,10,0.5250000000000001,37583,0,0,0.0,0.0,False,-0.01586844379271518,26,4.735000000000001,3506.0,141,0,0.0,2437.8447030651823,False,-0.876275305676174,9,1.3430000000000002,47698,388,0,0.0,4420.581962352146,False,-0.06122131969271718,0,0.272,54921,92,21,1.0,2077.1792281865914,False,0.05260405947921104,0.25,226153,0.0,0.0,12,0,0,12,11,10.428571428571429,19,31,20,229.0,18.0,17,7,20,1103,1.6153671005740762,41.771244179457426
16,20,0,0,0,10.000000000000002,20,10.0,24.179005488740284,1,34.0,16.56265140464546,6,4.0,10.670190211361186,38,4.7631578947368425,49.0,20,49.0,0,0.2,18846,7,71,1.0,1786.7093897005602,False,0.12053557532074709,0,0.6410000000000002,15184,167,0,0.0,1670.0000000000002,False,-0.09065622161671208,0,0.2,28883,0,0,0.0,0.0,False,0.03631014315955653,6,1.9430000000000005,19164.0,119,0,0.0,2877.301653160094,False,-0.2607853745262083,0,0.5150000000000001,37559,0,6,0.6,64.02114126816711,False,-0.015658682588334763,38,5.089000000000001,900.0,141,0,0.0,2335.33384805501,False,-0.9458570026963914,9,1.4240000000000002,47417,411,0,0.0,4385.448176869448,False,-0.0668373852409622,0,0.272,55419,97,20,1.0,2015.008450502035,False,0.06138675818240162,0.325,223372,0.0,0.0,11,0,0,13,9,9.0,16,29,23,142.0,36.0,16,4,23,773,1.5984284477308393,43.369672627188265
17,23,0,0,0,10.000000000000002,20,10.0,24.808900119269932,20,27.45,15.960767043231272,15,12.0,10.245241564015638,50,7.58,49.0,20,49.0,0,0.2,19263,9,64,1.0,1677.7696076332757,False,0.14111516824572184,3,0.671,15053,175,0,0.0,1750.0000000000002,False,-0.0958219800181653,0,0.2,28883,0,0,0.0,0.0,False,0.03631014315955653,15,2.087,18201.0,139,0,0.0,3448.4371165785205,False,-0.28509136527970796,1,0.5250000000000001,37628,0,8,0.8,81.9619325121251,False,-0.01361698483186086,43,5.481000000000002,-2395.0,148,0,0.0,2362.193522398228,False,-1.0317867249417603,5,1.4650000000000003,47102,448,0,0.0,4589.868220679005,False,-0.07083998061923696,0,0.272,56030,100,15,1.0,1759.5241564015637,False,0.07047687448414837,0.35,219765,0.0,0.0,15,0,0,12,15,14.142857142857142,17,29,22,224.0,29.0,17,6,22,1472,1.4981262050569057,44.86779883224517
18,22,0,0,0,10.000000000000002,20,10.0,24.874433391294914,1,31.0,15.697208819010095,10,13.0,10.453742885349516,59,11.610169491525424,48.99999999999999,20,49.0,0,0.2,19204,8,73,1.0,1895.8336375645288,False,0.1439553144177035,0,0.6680000000000001,14943,186,0,0.0,1860.0000000000002,False,-0.0989441416893733,0,0.2,28883,0,0,0.0,0.0,False,0.03631014315955653,10,2.172,17945.0,140,0,0.0,3482.420674781288,False,-0.29366688179862066,0,0.524,37748,0,2,0.0,20.907485770699033,False,-0.01127409089304902,53,5.968000000000002,-15888.0,158,0,0.0,2480.158993403595,False,-1.3835638666447982,10,1.5600000000000003,46813,454,0,0.0,4745.99926994868,False,-0.0748076738525979,0,0.272,55955,143,15,1.0,2229.885232604981,False,0.07348988236748286,0.25,205603,0.0,0.0,12,0,0,14,8,134.22,16,30,24,194.0,29.0,16,6,24,841,1.5265365606173873,46.39433539286256
19,24,0,0,0,10.000000000000002,20,10.0,25.003719079050022,2,30.5,15.366215766832621,4,7.0,10.508121093695506,12,12.083333333333334,48.999999999999986,20,49.0,0,0.2,19175,7,81,1.0,2095.301245403052,False,0.14797063026234827,0,0.6680000000000001,14833,197,0,0.0,1970.0000000000005,False,-0.10206630336058128,0,0.2,28883,0,0,0.0,0.0,False,0.03631014315955653,4,2.202000000000001,17784.0,142,0,0.0,3550.528109225103,False,-0.29822166213582035,5,0.5740000000000001,37635,0,4,0.4,42.03248437478202,False,-0.01395647327273848,5,5.965000000000002,-17379.0,158,0,0.0,2427.862091159554,False,-1.4232912345026114,9,1.6400000000000003,46526,461,0,0.0,4844.243824193628,False,-0.07928217158368007,0,0.272,56489,138,14,1.0,2136.1207109299794,False,0.08265260341713196,0.3,203946,0.0,0.0,13,0,0,16,6,5.714285714285714,17,33,26,228.0,25.0,20,4,26,800,1.7660975512117147,48.16043294407427
20,26,0,0,1,10.000000000000002,20,10.0,26.022287182728046,10,34.0,14.241273850841836,10,3.6,10.508121093695506,0,,48.99999999999999,20,49.0,0,0.2,19425,6,81,1.0,2167.805261800972,False,0.16422017659516847,0,0.6680000000000001,14723,208,0,0.0,2080.0000000000005,False,-0.10518846503178929,0,0.2,28883,0,0,0.0,0.0,False,0.03631014315955653,12,2.3180000000000005,17032.0,152,2,0.0,3983.870199476347,False,-0.31742904453596305,0,0.5690000000000001,37599,0,14,1.0,147.11369531173708,False,-0.013523348407764823,0,5.960000000000002,-21731.5,158,0,0.0,2250.12126843301,True,-1.5395909650889914,8,1.7110000000000003,46407,461,0,0.0,4844.243824193628,False,-0.08152057047012365,0,0.272,57077,128,12,1.0,1933.0394999930245,False,0.09180294095511003,0.375,221146,0.0,0.1,12,0,0,12,9,3138.1666666666665,18,30,27,202.0,61.0,17,9,27,1128,1.6938560996204615,49.854289043694735
21,27,0,0,0,10.000000000000002,20,10.0,25.829580933761477,4,22.0,13.573430551056115,5,1.0,10.981807675793418,17,20.0,48.99999999999999,20,49.0,0,0.2,19383,7,89,1.0,2368.8327031047716,False,0.1675418001562436,2,0.6880000000000001,14611,217,0,0.0,2170.0000000000005,False,-0.10899182561307902,0,0.2,28883,0,0,0.0,0.0,False,0.03631014315955653,16,2.466,16385.0,156,13,0.0,4205.86922283052,False,-0.33666052127963614,3,0.5990000000000001,37799,0,5,0.5,54.90903837896709,False,-0.009493453109809454,0,5.960000000000002,-21731.5,158,0,0.0,2144.602027066866,True,-1.5409725048172658,9,1.7930000000000001,45922,478,0,0.0,5249.304069029254,False,-0.08683384996116421,0,0.272,57616,118,11,1.0,1834.853305743623,False,0.10101812638248057,0.3125,220599,0.0,0.1,13,0,0,16,14,222.98530219780218,11,27,19,217.0,62.0,18,9,19,1007,1.863316111266613,51.71760515496135
22,19,0,0,0,10.000000000000002,20,10.0,25.829580933761477,0,,13.205555552618724,4,5.0,11.492807369088032,23,18.304347826086957,48.99999999999999,20,49.0,0,0.2,19303,5,99,1.0,2607.128512442386,False,0.1697640926556082,0,0.686,14491,229,0,0.0,2290.0000000000005,False,-0.11239782016348773,0,0.2,28883,0,0,0.0,0.0,False,0.03631014315955653,0,2.4500000000000006,16405.0,156,9,0.0,4148.264625640359,False,-0.3369763441275814,18,0.7760000000000002,37260,0,4,0.4,45.97122947635213,False,-0.02372448572263813,0,5.960000000000002,-21731.5,158,0,0.0,2086.4777773137585,True,-1.5417335125649563,12,1.9040000000000001,45274,501,0,0.0,5757.896491913104,False,-0.09423944762416427,0,0.272,58008,108,13,1.0,1878.2231958615075,False,0.10879957109137466,0.3,219624,0.0,0.1,10,0,0,13,10,9.5,11,24,18,181.0,39.0,13,6,18,612,1.3480895599350333,53.06569471489638
23,18,0,0,0,10.000000000000002,20,10.0,26.541584272599902,12,31.0,13.205555552618724,0,,11.492807369088032,0,,48.99999999999999,20,49.0,0,0.2,19585,4,97,1.0,2614.5336744421907,False,0.18598244988766427,0,0.6860000000000002,14381,240,0,0.0,2400.0000000000005,False,-0.11551998183469574,0,0.2,28883,0,0,0.0,0.0,False,0.03631014315955653,0,2.4500000000000006,16033.0,168,9,0.0,4577.836157770352,False,-0.3426171260849924,0,0.758,37260,0,4,0.0,45.97122947635213,False,-0.02372448572263813,0,5.960000000000002,-21731.5,158,0,0.0,2086.4777773137585,True,-1.5417335125649563,12,2.0120000000000005,45036,501,0,0.0,5757.896491913104,False,-0.09871624539705143,0,0.272,58400,98,15,1.0,1861.295122170627,False,0.11601391119924225,0.25,219578,0.0,0.1,10,0,0,8,9,268.7033653846154,16,24,17,128.0,47.0,11,7,17,964,1.0540861897170544,54.119780904613435
24,17,0,0,0,10.000000000000002,20,10.0,26.541584272599902,0,,13.205555552618724,0,,11.492807369088032,0,,48.99999999999999,20,49.0,0,0.2,19495,3,107,1.0,2869.9495171681897,False,0.18812299946549138,0,0.6860000000000002,14271,251,0,0.0,2510.0000000000005,False,-0.11864214350590373,0,0.2,28883,0,0,0.0,0.0,False,0.03631014315955653,0,2.4500000000000006,16033.0,168,9,0.0,4577.836157770352,False,-0.3426171260849924,0,0.758,37260,0,4,0.0,45.97122947635213,False,-0.02372448572263813,0,5.960000000000002,-21731.5,158,0,0.0,2086.4777773137585,True,-1.5417335125649563,8,2.0800000000000005,44921,501,0,0.0,5757.896491913104,False,-0.10087940398479102,0,0.272,58988,88,13,1.0,1648.3670484797467,False,0.12507163862535736,0.25,219851,0.0,0.1,11,0,0,3,5,5.0,19,22,15,126.0,37.0,10,7,15,788,1.0501728793606162,55.16995378397405
