index,n_registered_negotiations_before,n_contracts_dropped,n_contracts_nullified_now,n_bankrupt,trading_price_0,sold_quantity_0,unit_price_0,trading_price_1,sold_quantity_1,unit_price_1,trading_price_2,sold_quantity_2,unit_price_2,trading_price_3,sold_quantity_3,unit_price_3,trading_price_4,sold_quantity_4,unit_price_4,spot_market_quantity_00Dec@0,spot_market_loss_00Dec@0,balance_00Dec@0,inventory_00Dec@0_input,inventory_00Dec@0_output,productivity_00Dec@0,assets_00Dec@0,bankrupt_00Dec@0,score_00Dec@0,spot_market_quantity_01Dec@0,spot_market_loss_01Dec@0,balance_01Dec@0,inventory_01Dec@0_input,inventory_01Dec@0_output,productivity_01Dec@0,assets_01Dec@0,bankrupt_01Dec@0,score_01Dec@0,spot_market_quantity_02Buy@1,spot_market_loss_02Buy@1,balance_02Buy@1,inventory_02Buy@1_input,inventory_02Buy@1_output,productivity_02Buy@1,assets_02Buy@1,bankrupt_02Buy@1,score_02Buy@1,spot_market_quantity_03Buy@1,spot_market_loss_03Buy@1,balance_03Buy@1,inventory_03Buy@1_input,inventory_03Buy@1_output,productivity_03Buy@1,assets_03Buy@1,bankrupt_03Buy@1,score_03Buy@1,spot_market_quantity_04Ind@2,spot_market_loss_04Ind@2,balance_04Ind@2,inventory_04Ind@2_input,inventory_04Ind@2_output,productivity_04Ind@2,assets_04Ind@2,bankrupt_04Ind@2,score_04Ind@2,spot_market_quantity_05Dec@2,spot_market_loss_05Dec@2,balance_05Dec@2,inventory_05Dec@2_input,inventory_05Dec@2_output,productivity_05Dec@2,assets_05Dec@2,bankrupt_05Dec@2,score_05Dec@2,spot_market_quantity_06MyA@3,spot_market_loss_06MyA@3,balance_06MyA@3,inventory_06MyA@3_input,inventory_06MyA@3_output,productivity_06MyA@3,assets_06MyA@3,bankrupt_06MyA@3,score_06MyA@3,spot_market_quantity_07Ran@3,spot_market_loss_07Ran@3,balance_07Ran@3,inventory_07Ran@3_input,inventory_07Ran@3_output,productivity_07Ran@3,assets_07Ran@3,bankrupt_07Ran@3,score_07Ran@3,productivity,market_size,production_failures,bankruptcy,n_contracts_executed,n_contracts_erred,n_contracts_nullified,n_contracts_cancelled,n_breaches,breach_level,n_contracts_signed,n_contracts_concluded,n_negotiations,n_negotiation_rounds_successful,n_negotiation_rounds_failed,n_negotiation_successful,n_negotiation_failed,n_registered_negotiations_after,activity_level,step_time,total_time
10,29,0,0,0,10.000000000000002,20,10.0,24.739510102645394,39,25.923076923076923,17.169645213903863,14,13.142857142857142,44.244777717589486,5,69.4,49.00000000000001,14,49.0,5,0.547,13997,4,10,1.0,287.395101026454,False,0.14175999600429767,14,0.556,13722,5,10,1.0,297.395101026454,False,0.11995943080445917,1,0.48900000000000005,15636.0,132,0,0.0,3265.6153335491917,False,-0.11866858901834258,13,0.645,15163.0,135,0,0.0,3339.833863857128,False,-0.14091472226556268,0,0.3440000000000001,26201,1,43,1.0,1919.6950870702517,False,0.011690227717626726,3,0.41000000000000003,27431,3,10,1.0,493.95671281760644,False,0.030952372943301037,0,0.2,37374,0,0,0.0,0.0,False,0.0,14,0.835,33136,62,0,0.0,2743.1762184905483,False,-0.07669534678532465,0.5,182660,0.0,0.0,9,0,0,17,16,13.666666666666668,19,36,21,289.0,90.0,19,10,21,200,2.304302860982716,24.97685374226421
11,21,0,0,0,10.000000000000002,20,10.0,24.739510102645394,0,,16.05455305048733,28,13.0,45.07408794206593,9,50.666666666666664,49.00000000000001,11,49.0,0,0.542,13907,3,20,1.0,524.790202052908,False,0.14407711756370234,0,0.542,13612,6,20,1.0,554.790202052908,False,0.12146912402312908,11,0.5980000000000001,15427.0,132,0,0.0,3265.6153335491917,False,-0.1293351195889254,17,0.802,14752.0,135,0,0.0,3339.833863857128,False,-0.16189053118666097,0,0.3440000000000001,26065,19,47,1.0,2423.5186412363582,False,0.01600772230112032,0,0.40700000000000003,27659,0,10,0.3,450.7408794206593,False,0.03864008789474907,0,0.2,37374,0,0,0.0,0.0,False,0.0,11,0.9310000000000003,32457,71,0,0.0,3200.260243886681,False,-0.08874805688598124,0.4125,181253,0.0,0.0,14,0,0,13,9,9.0,19,32,22,176.0,84.0,13,8,22,656,1.6552394283935428,26.632093170657754
12,22,0,0,0,10.000000000000002,20,10.0,24.521267209721216,9,19.666666666666668,15.991160440955724,3,14.0,45.07408794206593,0,,49.0,11,49.0,0,0.542,13865,0,27,0.9,662.0742146624729,False,0.14622826865815391,0,0.542,13631,10,23,1.0,663.9891458235879,False,0.12741175396946253,2,0.6070000000000001,15296.0,137,0,0.0,3359.4136077318067,False,-0.13362729387231287,1,0.7950000000000002,14650.0,139,0,0.0,3408.456142151249,False,-0.1653451020171673,0,0.3440000000000001,26037,11,57,1.0,2745.125777548271,False,0.020954404170824927,0,0.40700000000000003,27645,0,11,0.1,495.8149673627252,False,0.03895807664474107,0,0.2,37374,0,0,0.0,0.0,False,0.0,11,1.0300000000000002,32246,71,0,0.0,3200.260243886681,False,-0.09439369288962013,0.375,180744,0.0,0.0,14,0,0,17,8,8.0,17,34,24,222.0,108.0,14,8,24,377,1.3481621108949184,27.980255281552672
13,24,0,0,0,10.000000000000002,20,10.0,24.521267209721216,0,,15.355368445283126,44,14.090909090909092,47.68596574492189,9,65.88888888888889,49.0,9,49.0,0,0.542,13805,0,33,0.6,809.2018179208002,False,0.14732344844250297,0,0.542,13491,14,33,1.0,949.2018179208002,False,0.12762219692857485,22,0.8250000000000002,14716.0,137,0,0.0,3359.4136077318067,False,-0.16322819210646616,22,1.014,14070.0,139,0,0.0,3408.456142151249,False,-0.1949460002513206,0,0.3440000000000001,26087,3,65,1.0,3145.653878755772,False,0.030276266971277478,0,0.4070000000000001,27568,32,14,1.0,1158.9753106779665,False,0.048440706795507285,0,0.2,37374,0,0,0.0,0.0,False,0.0,9,1.1090000000000002,31494,80,0,0.0,3814.8772595937508,False,-0.10629211136627403,0.45,178605,0.0,0.0,11,0,0,19,11,11.0,18,37,28,294.0,59.0,18,6,28,793,1.2921071592718363,29.27236244082451
14,28,0,0,0,10.000000000000002,20,10.0,24.760056148587243,29,26.310344827586206,15.300431281748713,5,14.0,52.04486046256013,14,72.14285714285714,49.0,6,49.0,0,0.542,13965,0,32,0.9,792.3217967547918,False,0.15956083152017736,0,0.542,13894,15,24,1.0,744.2413475660939,False,0.1518870144354499,2,0.8230000000000002,14167.0,156,0,0.0,3862.56875917961,False,-0.17840745230224536,3,1.0220000000000002,13763.0,149,0,0.0,3689.248366139499,False,-0.203448801517314,0,0.3440000000000001,26406,0,67,0.7,3487.005650991529,False,0.04851576807448747,0,0.40700000000000003,28189,23,15,1.0,1132.5828264186225,False,0.07108024781946996,0,0.2,37374,0,0,0.0,0.0,False,0.0,6,1.1600000000000001,30400,94,0,0.0,4892.2168834806525,False,-0.12115084171508735,0.44999999999999996,178158,0.0,0.0,15,0,0,16,6,6.0,20,36,27,234.0,81.0,16,12,27,1973,1.6499213762581348,30.922283817082644
15,27,0,0,0,10.000000000000002,20,10.0,24.795595805874317,34,25.0,15.25878984764969,14,14.928571428571429,46.494774892788236,25,30.8,49.0,12,49.0,0,0.542,14425,0,19,0.9,471.116320311612,False,0.18373501495000452,0,0.542,14084,16,22,1.0,705.503107729235,False,0.16566423527368726,1,0.8310000000000002,13874.0,167,0,0.0,4140.864499581011,False,-0.18625945443551573,13,1.1490000000000002,12967.0,172,0,0.0,4264.842478610382,False,-0.22938546293226542,0,0.3440000000000001,26717,3,64,1.0,3021.441962681396,False,0.05142924652068011,0,0.40700000000000003,28439,14,13,1.0,818.0551314733427,False,0.0745344941981105,0,0.2,37374,0,0,0.0,0.0,False,0.0,12,1.274,29377,119,0,0.0,5532.8782122418,False,-0.13995186209340987,0.4875,177257,0.0,0.0,15,0,0,13,8,8.0,16,29,31,185.0,109.0,13,14,31,1820,1.4992588376626372,32.42154265474528
16,31,0,0,0,10.000000000000002,20,10.0,25.022668671716012,48,26.0,15.25878984764969,0,,44.272846733594484,27,37.18518518518518,49.00000000000001,10,49.0,3,0.5720000000000001,14784,5,10,1.0,300.22668671716013,False,0.20582263571728543,4,0.5820000000000001,14626,11,10,1.0,360.22668671716013,False,0.1954875529558805,0,0.8300000000000001,13250.0,191,0,0.0,4779.329716297759,False,-0.20181357261667454,0,1.1360000000000001,12343.0,196,0,0.0,4904.443059656338,False,-0.2449106088686246,0,0.3440000000000001,27404,0,47,0.3,2080.823796478941,False,0.0595005735553124,0,0.40700000000000003,28756,4,16,1.0,769.4007071281105,False,0.08543600229314464,0,0.2,37374,0,0,0.0,0.0,False,0.0,10,1.362,28188,146,0,0.0,6463.835623104795,False,-0.1593108093446675,0.4125,176725,0.0,0.0,16,0,0,14,7,5.58041958041958,24,38,32,270.0,127.0,17,14,32,1828,1.4163892269134521,33.83793188165873
17,32,0,0,0,10.000000000000002,20,10.0,25.14570442482523,33,26.0,15.236805815347074,2,14.0,43.682165797157076,9,37.0,49.00000000000001,11,49.0,1,0.5790000000000001,14949,5,10,1.0,301.4570442482523,False,0.21919487461640091,12,0.6980000000000001,14846,11,10,1.0,361.4570442482523,False,0.21330064772903717,1,0.8400000000000001,12946.0,202,0,0.0,5079.432293814696,False,-0.20967050388346703,1,1.1460000000000001,11753.0,218,0,0.0,5481.7635646119,False,-0.26028979369674643,0,0.3440000000000001,27737,0,38,0.0,1659.922300291969,False,0.06406530152888532,0,0.4070000000000001,28728,0,22,0.6,961.0076475374557,False,0.0879615533865508,0,0.2,37374,0,0,0.0,0.0,False,0.0,11,1.4620000000000002,27637,155,0,0.0,6770.735698559347,False,-0.16994788223685783,0.325,175970,0.0,0.0,10,0,0,14,11,9.181818181818182,23,37,34,301.0,132.0,19,13,34,533,1.5235187951475382,35.36145067680627
18,34,0,0,0,10.000000000000002,20,10.0,25.022452570220374,48,24.416666666666668,15.103635289457849,7,13.142857142857142,41.99820030200156,30,36.4,49.00000000000001,12,49.0,0,0.5780000000000001,15099,6,10,1.0,310.2245257022037,False,0.23166025537756174,28,0.9660000000000002,14947,10,10,1.0,350.2245257022037,False,0.2210022012798629,7,0.9090000000000003,12542.0,212,0,0.0,5304.7599448867195,False,-0.22453914604249467,0,1.1450000000000002,10841.0,256,0,0.0,6405.747857976416,False,-0.2832564086461056,0,0.3440000000000001,28499,0,21,0.6,881.9622063420327,False,0.07795958964394592,0,0.40700000000000003,28966,0,16,0.1,671.9712048320249,False,0.09144357292867027,0,0.2,37374,0,0,0.0,0.0,False,0.0,12,1.5710000000000004,26293,185,0,0.0,7769.667055870288,False,-0.19254472285719632,0.3375,174561,0.0,0.0,15,0,0,17,10,9.473684210526315,22,39,31,305.0,131.0,20,14,31,1552,1.7869422119110823,37.14839288871735
19,31,0,0,0,10.000000000000002,20,10.0,24.988532926403632,29,24.689655172413794,15.073112619572823,14,14.857142857142858,42.286940354225955,1,76.0,49.0,7,49.0,0,0.5780000000000001,15229,9,10,1.0,339.88532926403633,False,0.24335427247735317,9,1.0280000000000002,15144,7,10,1.0,319.88532926403633,False,0.23568370324037294,1,0.9120000000000001,11808.0,241,0,0.0,6022.236435263276,False,-0.24369101675861804,13,1.2750000000000001,10595.0,256,0,0.0,6397.06442915933,False,-0.29603285625295167,0,0.3440000000000001,28485,0,22,0.1,930.312687792971,False,0.07833859812628913,0,0.40700000000000003,28848,3,25,1.0,1102.3928467143674,False,0.09506449224707361,0,0.2,37374,0,0,0.0,0.0,False,0.0,7,1.6290000000000002,26126,186,0,0.0,7865.370905886028,False,-0.195732716515679,0.3875,173609,0.0,0.0,12,0,0,14,7,6.473684210526316,22,36,26,267.0,119.0,18,13,26,536,1.6907141832634807,38.839107071980834
20,26,0,0,0,10.000000000000002,20,10.0,25.032018082684022,27,25.444444444444443,15.052426914615678,2,14.0,42.30456612507314,7,42.57142857142857,49.0,12,49.0,5,0.6280000000000001,15389,10,10,1.0,350.3201808268402,False,0.25669439567326763,2,1.0390000000000001,15324,6,10,1.0,310.3201808268402,False,0.24983125477702214,1,0.9210000000000003,11353.0,258,0,0.0,6458.260665332477,False,-0.2557859379061836,1,1.2720000000000002,10327.0,266,0,0.0,6658.51680999395,False,-0.3030387667144547,0,0.3440000000000001,28685,0,18,0.2,761.4821902513165,False,0.08264391161491627,0,0.40700000000000003,28918,0,27,0.3,1142.2232853769747,False,0.09841366419668818,0,0.2,37374,0,0,0.0,0.0,False,0.0,12,1.7420000000000002,25572,193,0,0.0,8164.781262139116,False,-0.20655025870740204,0.3125,172942,0.0,0.0,13,0,0,13,10,9.166666666666668,22,35,26,275.0,87.0,17,9,26,748,1.5047751981765032,40.34388227015734
21,26,0,0,0,10.000000000000002,20,10.0,25.06421223555035,28,25.357142857142858,15.030358513041387,2,14.0,43.54235641608444,15,51.93333333333333,48.99999999999999,13,49.0,18,0.8030000000000002,15531,10,10,1.0,350.6421223555035,False,0.2681728753474164,0,1.0370000000000001,15224,6,20,1.0,561.284244711007,False,0.25188874625397695,1,0.9300000000000004,11055.0,269,0,0.0,6742.273091363044,False,-0.26374724172289876,1,1.2810000000000004,9879.0,283,0,0.0,7093.172062660749,False,-0.31481136922882647,0,0.3440000000000001,28875,0,13,0.0,566.0506334090977,False,0.08608132442003011,0,0.4070000000000001,29479,0,19,0.2,827.3047719056043,False,0.11344479405344368,0,0.2,37374,0,0,0.0,0.0,False,0.0,13,1.8600000000000003,24503,208,0,0.0,9056.810134545563,False,-0.22321921476767853,0.275,171920,0.0,0.0,15,0,0,19,12,11.166666666666668,19,38,25,265.0,66.0,19,7,25,1109,2.049251466989517,42.393133737146854
22,25,0,0,0,10.000000000000002,20,10.0,25.116298504166842,15,26.0,15.006898823739377,2,14.0,42.77277388834319,14,37.0,48.99999999999999,13,49.0,5,0.8350000000000002,15746,7,10,1.0,321.16298504166843,False,0.2843424701268336,0,1.0370000000000001,15094,9,30,1.0,843.4889551250053,False,0.2527851818782804,1,0.9390000000000003,10647.0,284,0,0.0,7133.028775183383,False,-0.2745986328676283,1,1.2900000000000003,9861.0,283,0,0.0,7107.9124766792165,False,-0.3153538716780847,0,0.3440000000000001,29027,0,10,0.2,427.72773888343187,False,0.0891669039163302,0,0.40700000000000003,29817,0,10,0.0,427.72773888343187,False,0.11859291054649372,0,0.2,37374,0,0,0.0,0.0,False,0.0,13,1.9770000000000005,23738,222,0,0.0,9495.555803212188,False,-0.23781832553095478,0.275,171304,0.0,0.0,14,0,0,14,7,6.833333333333334,21,35,22,256.0,72.0,16,9,22,952,1.4873526133596897,43.880486350506544
23,22,0,0,0,10.000000000000002,20,10.0,25.246437058879074,18,27.0,14.982054511539358,2,14.0,42.77277388834319,0,,48.999999999999986,11,49.0,0,0.8300000000000001,15606,11,20,1.0,614.9287411775815,False,0.2848982132086225,0,1.0370000000000001,15520,5,22,1.0,605.4216152953396,False,0.27757051333449095,1,0.9480000000000002,10143.0,302,0,0.0,7624.42399178148,False,-0.2877813618510391,1,1.2990000000000002,9843.0,283,0,0.0,7144.741687662778,False,-0.3153327118591718,0,0.3440000000000001,29013,0,11,0.1,470.50051277177505,False,0.08944203286720628,0,0.40700000000000003,29803,0,11,0.1,470.50051277177505,False,0.1188680394973698,0,0.2,37374,0,0,0.0,0.0,False,0.0,11,2.0740000000000003,23527,222,0,0.0,9495.555803212188,False,-0.24346396153459368,0.275,170829,0.0,0.0,11,0,0,14,7,7.0,14,28,25,184.0,92.0,12,10,25,686,2.1141291297972202,45.994615480303764
24,25,0,0,0,10.000000000000002,20,10.0,25.227069795996808,20,25.0,14.94326420185216,3,14.0,44.98637086730282,8,74.625,48.99999999999999,15,49.0,0,0.8300000000000001,15566,5,30,1.0,806.8120938799043,False,0.2894151027000365,0,1.0370000000000001,15860,11,12,1.0,412.7248375519617,False,0.29724363494355927,2,0.9670000000000001,9855.0,312,0,0.0,7870.845776351004,False,-0.2961915439330661,1,1.308,9575.0,293,0,0.0,7391.531450227065,False,-0.3227127832441803,0,0.3440000000000001,29207,0,10,0.2,449.86370867302816,False,0.09628382516990781,0,0.40700000000000003,30164,0,7,0.1,314.9045960711197,False,0.1294167802002295,0,0.2,37374,0,0,0.0,0.0,False,0.0,15,2.2130000000000005,22573,230,0,0.0,10346.865299479648,False,-0.2576006675833514,0.2875,170174,0.0,0.0,12,0,0,9,10,10.0,23,32,28,232.0,98.0,15,10,28,1297,1.4868693593889475,47.48148483969271
