index,n_registered_negotiations_before,n_contracts_dropped,n_contracts_nullified_now,n_bankrupt,trading_price_0,sold_quantity_0,unit_price_0,trading_price_1,sold_quantity_1,unit_price_1,trading_price_2,sold_quantity_2,unit_price_2,trading_price_3,sold_quantity_3,unit_price_3,trading_price_4,sold_quantity_4,unit_price_4,spot_market_quantity_00Dec@0,spot_market_loss_00Dec@0,balance_00Dec@0,inventory_00Dec@0_input,inventory_00Dec@0_output,productivity_00Dec@0,assets_00Dec@0,bankrupt_00Dec@0,score_00Dec@0,spot_market_quantity_01Ran@0,spot_market_loss_01Ran@0,balance_01Ran@0,inventory_01Ran@0_input,inventory_01Ran@0_output,productivity_01Ran@0,assets_01Ran@0,bankrupt_01Ran@0,score_01Ran@0,spot_market_quantity_02MyA@1,spot_market_loss_02MyA@1,balance_02MyA@1,inventory_02MyA@1_input,inventory_02MyA@1_output,productivity_02MyA@1,assets_02MyA@1,bankrupt_02MyA@1,score_02MyA@1,spot_market_quantity_03Ran@1,spot_market_loss_03Ran@1,balance_03Ran@1,inventory_03Ran@1_input,inventory_03Ran@1_output,productivity_03Ran@1,assets_03Ran@1,bankrupt_03Ran@1,score_03Ran@1,spot_market_quantity_04Dec@2,spot_market_loss_04Dec@2,balance_04Dec@2,inventory_04Dec@2_input,inventory_04Dec@2_output,productivity_04Dec@2,assets_04Dec@2,bankrupt_04Dec@2,score_04Dec@2,spot_market_quantity_05Ind@2,spot_market_loss_05Ind@2,balance_05Ind@2,inventory_05Ind@2_input,inventory_05Ind@2_output,productivity_05Ind@2,assets_05Ind@2,bankrupt_05Ind@2,score_05Ind@2,spot_market_quantity_06Dec@3,spot_market_loss_06Dec@3,balance_06Dec@3,inventory_06Dec@3_input,inventory_06Dec@3_output,productivity_06Dec@3,assets_06Dec@3,bankrupt_06Dec@3,score_06Dec@3,spot_market_quantity_07Dec@3,spot_market_loss_07Dec@3,balance_07Dec@3,inventory_07Dec@3_input,inventory_07Dec@3_output,productivity_07Dec@3,assets_07Dec@3,bankrupt_07Dec@3,score_07Dec@3,productivity,market_size,production_failures,bankruptcy,n_contracts_executed,n_contracts_erred,n_contracts_nullified,n_contracts_cancelled,n_breaches,breach_level,n_contracts_signed,n_contracts_concluded,n_negotiations,n_negotiation_rounds_successful,n_negotiation_rounds_failed,n_negotiation_successful,n_negotiation_failed,n_registered_negotiations_after,activity_level,step_time,total_time
10,36,0,0,0,10.000000000000002,20,10.0,22.58206347172225,0,,18.294237375962137,5,8.0,38.59828335637849,0,,42.0,20,42.0,0,0.2,26625,7,36,1.0,882.954284982001,False,0.05584073112896429,0,0.42500000000000004,24080,107,0,0.0,1070.0000000000002,False,-0.03978935049736688,0,0.2,40313,0,0,0.0,0.0,False,0.02161682716675114,5,0.6910000000000001,36042.0,67,0,0.0,1512.9982526053907,False,-0.06744807079820839,0,0.24500000000000002,52947,0,5,0.0,192.99141678189244,False,0.016451005238879882,0,0.5150000000000001,52469,0,12,0.5,463.17940027654186,False,0.009880036411579364,0,0.3350000000000001,69241,0,12,1.0,504.0,False,0.0013833451013732581,7,0.49500000000000005,68903,0,0,0.0,0.0,False,-0.007118463334149891,0.3125,370620,0.0,0.0,15,0,0,19,4,4.0,13,32,38,223.0,99.0,16,20,38,746,6.640990720014088,95.42122093413491
11,38,0,0,0,10.000000000000002,20,10.0,23.45084098284042,11,31.0,17.600256151493227,3,2.0,38.59828335637849,0,,42.0,20,42.0,0,0.2,26856,8,35,1.0,900.7794343994146,False,0.06519952085819031,0,0.42500000000000004,23990,116,0,0.0,1160.0000000000002,False,-0.04154476301930954,0,0.2,40313,0,0,0.0,0.0,False,0.02161682716675114,3,0.7160000000000002,35623.0,78,0,0.0,1829.1655966615526,False,-0.07406024332664025,0,0.24500000000000002,52947,0,5,0.0,192.99141678189244,False,0.016451005238879882,0,0.515,52463,0,15,0.3,578.9742503456773,False,0.010874525729095334,0,0.3350000000000001,69619,0,3,0.0,126.0,False,0.00410680576970186,11,0.5980000000000001,68725,0,0,0.0,0.0,False,-0.009683415709612807,0.1625,370536,0.0,0.0,11,0,0,25,5,5.0,11,36,24,265.0,95.0,19,19,24,919,6.479209000011906,101.90042993414681
12,24,0,0,0,10.000000000000002,20,10.0,23.45084098284042,0,,17.600256151493227,0,,38.649189607886946,8,39.25,42.0,20,42.0,0,0.2,26756,8,45,1.0,1135.2878442278188,False,0.06587259302180254,0,0.42500000000000004,23890,126,0,0.0,1260.0000000000002,False,-0.0434952213770236,0,0.2,40313,0,0,0.0,0.0,False,0.02161682716675114,0,0.7130000000000001,35623.0,78,0,0.0,1829.1655966615526,False,-0.07406024332664025,0,0.24500000000000002,53207,0,0,0.0,0.0,False,0.019584171696847754,0,0.515,52517,0,12,0.0,463.7902752946434,False,0.010805693928280534,8,0.41500000000000004,69583,0,3,0.3,126.0,False,0.0035880513566868884,9,0.677,68344,0,5,0.5,210.0,False,-0.013660532876060925,0.225,370233,0.0,0.0,12,0,0,20,7,7.0,10,30,24,156.0,44.0,13,11,24,640,6.313309218036011,108.21373915218282
13,24,0,0,0,10.000000000000002,20,10.0,25.795650841744397,29,33.55172413793103,14.617188950139852,18,4.111111111111111,39.87614438144211,25,44.4,42.0,20,42.0,0,0.2,27619,9,26,1.0,760.6869218853543,False,0.09223106927804474,0,0.42500000000000004,23800,135,0,0.0,1350.0000000000002,False,-0.045250633898966254,0,0.2,40313,0,0,0.0,0.0,False,0.02161682716675114,18,0.8930000000000002,34164.0,107,0,0.0,2760.1346400666503,False,-0.09923803040969778,15,0.395,53223,0,4,0.4,159.50457752576844,False,0.021419033989899156,0,0.515,52797,4,12,1.0,536.9824883778647,False,0.016872496774723234,5,0.4570000000000001,69387,0,6,0.6,252.0,False,0.001671541997492687,7,0.738,67617,9,10,1.0,778.885299432979,False,-0.020037715611388354,0.5,368920,0.0,0.0,16,0,0,18,13,11.5,11,29,29,162.0,60.0,12,12,29,1565,5.831083197030239,114.04482234921306
14,29,0,0,0,10.000000000000002,20,10.0,25.886610052999036,2,31.0,14.067466128975981,4,4.0,40.752981108869974,10,50.0,42.0,20,42.0,0,0.2,27561,11,34,1.0,990.1447418019673,False,0.0944440168090885,0,0.42500000000000004,23720,143,0,0.0,1430.0000000000002,False,-0.046811000585137506,0,0.2,40313,0,0,0.0,0.0,False,0.02161682716675114,4,0.9150000000000003,34006.0,109,0,0.0,2821.640495776895,False,-0.10246274080363789,1,0.39,53432,0,0,0.0,0.0,False,0.02389575548529271,0,0.515,53031,0,15,0.8,611.2947166330496,False,0.022068551467213336,4,0.4920000000000001,69101,0,10,1.0,420.0,False,-0.0012392466533135437,0,0.7310000000000001,68037,0,9,0.9,378.0,False,-0.016873928267792555,0.4625,369201,0.0,0.0,17,0,0,17,4,2.95,16,33,36,203.0,68.0,16,13,36,1142,6.729002224979922,120.77382457419299
15,36,0,0,0,10.000000000000002,20,10.0,26.618193498801233,14,32.0,11.546392304676628,17,1.2352941176470589,41.56474289774943,10,50.0,42.0,20,42.0,0,0.2,27909,11,30,1.0,908.545804964037,False,0.10642765369541714,0,0.42500000000000004,23620,153,0,0.0,1530.0000000000002,False,-0.04876145894285157,0,0.2,40313,0,0,0.0,0.0,False,0.02161682716675114,17,1.0810000000000002,33003.0,123,0,0.0,3274.0378003525516,False,-0.12214853268686575,0,0.389,53415,3,10,1.0,450.2866058915242,False,0.027884321221534197,0,0.5150000000000001,53527,0,9,0.4,374.0826860797449,False,0.02930039940672357,2,0.508,69255,0,5,0.5,210.0,False,-0.0005331642578209432,0,0.7310000000000001,68123,0,6,0.5,252.0,False,-0.016542501837255214,0.425,369165,0.0,0.0,21,0,0,22,4,4.0,14,36,30,249.0,97.0,18,18,30,1904,6.607899465016089,127.38172403920908
16,30,0,0,0,10.000000000000002,20,10.0,27.31954783366245,13,33.0,11.15329298637577,4,3.5,41.56474289774943,0,,42.0,20,42.0,0,0.2,28238,11,27,1.0,847.6277915088862,False,0.11807348920438632,0,0.42500000000000004,23520,163,0,0.0,1630.0000000000002,False,-0.05071191730056563,0,0.2,40313,0,0,0.0,0.0,False,0.02161682716675114,4,1.1040000000000003,32471.0,136,0,0.0,3715.4585053780934,False,-0.1300372718527865,0,0.389,53404,0,16,0.6,665.0358863639909,False,0.029731109383577512,0,0.5150000000000001,53524,0,10,0.1,415.6474289774943,False,0.02964115578209727,5,0.556,69413,0,0,0.0,0.0,False,0.00023055751689554305,4,0.7710000000000001,68343,0,0,0.0,0.0,False,-0.015187976425493898,0.2125,369226,0.0,0.0,14,0,0,17,6,5.75,12,29,30,175.0,78.0,13,17,30,1049,6.164551695983391,133.54627573519247
17,30,0,0,0,10.000000000000002,20,10.0,27.40845126161124,16,28.0,11.043546401692824,2,7.0,38.860773289720946,20,25.0,42.0,20,42.0,0,0.2,28616,8,21,1.0,655.577476493836,False,0.12907309296847747,0,0.42500000000000004,23390,176,0,0.0,1760.0000000000002,False,-0.05324751316559392,0,0.2,40313,0,0,0.0,0.0,False,0.02161682716675114,2,1.12,31981.0,152,0,0.0,4166.0845917649085,False,-0.1367450001043473,0,0.389,53564,0,6,0.0,233.16463973832566,False,0.028659237709479066,0,0.5150000000000001,53850,0,2,0.2,77.72154657944189,False,0.03265039327948111,14,0.6910000000000001,69130,0,0,0.0,0.0,False,-0.0038474285631943743,6,0.8270000000000002,67772,10,10,1.0,808.6077328972094,False,-0.01759004183972494,0.275,368616,0.0,0.0,11,0,0,23,11,11.0,10,33,29,201.0,50.0,18,12,29,1148,9.292197765025776,142.83847350021824
18,29,0,0,0,10.000000000000002,20,10.0,27.40845126161124,0,,11.043546401692824,0,,39.3439551753144,5,50.0,42.0,20,42.0,0,0.2,28546,5,31,1.0,899.6619891099484,False,0.13110321804388428,0,0.42500000000000004,23260,189,0,0.0,1890.0000000000002,False,-0.0557831090306222,0,0.2,40313,0,0,0.0,0.0,False,0.02161682716675114,0,1.1180000000000003,31981.0,152,0,0.0,4166.0845917649085,False,-0.1367450001043473,0,0.389,53814,0,1,0.0,39.3439551753144,False,0.0315928327601352,0,0.5150000000000001,53850,0,2,0.0,78.6879103506288,False,0.032659652298080113,10,0.7770000000000001,68717,0,5,0.5,210.0,False,-0.008285660763433577,0,0.8210000000000002,68192,0,10,1.0,420.0,False,-0.014337795581941582,0.3125,368673,0.0,0.0,13,0,0,18,5,5.0,11,29,30,150.0,76.0,14,15,30,870,5.888504327973351,148.7269778281916
19,30,0,0,0,10.000000000000002,20,10.0,27.52860318689467,9,29.0,10.9271754963572,1,3.0,39.3439551753144,0,,42.0,20,42.0,0,0.2,28707,5,32,1.0,930.9153019806295,False,0.13799327680867238,0,0.42500000000000004,23160,199,0,0.0,1990.0000000000005,False,-0.05773356738833626,0,0.2,40313,0,0,0.0,0.0,False,0.02161682716675114,1,1.1280000000000003,31695.0,161,0,0.0,4432.105113090042,False,-0.1406220842233902,0,0.389,53811,0,2,0.1,78.6879103506288,False,0.03191231110808299,0,0.515,53850,0,2,0.0,78.6879103506288,False,0.032659652298080113,4,0.8070000000000002,68887,0,0,0.0,0.0,False,-0.007349020851045434,1,0.8310000000000002,68604,0,0,0.0,0.0,False,-0.011427006931135351,0.1375,369027,0.0,0.0,14,0,0,19,4,3.1666666666666665,12,31,34,144.0,81.0,13,17,34,1007,5.943099697993603,154.6700775261852
20,34,0,0,0,10.000000000000002,20,10.0,27.52860318689467,0,,8.854407794352868,21,2.7142857142857144,39.3439551753144,0,,42.0,20,42.0,0,0.2,28647,1,42,1.0,1166.2013338495763,False,0.14024188285253705,0,0.42500000000000004,23020,213,0,0.0,2130.0000000000005,False,-0.06046420908913595,0,0.2,40313,0,0,0.0,0.0,False,0.02161682716675114,21,1.3370000000000004,31019.0,161,0,0.0,4432.105113090042,False,-0.157753356397744,0,0.389,53789,1,12,1.0,480.9818698981257,False,0.0353452320580447,0,0.515,53815,0,12,1.0,472.1274621037728,False,0.03575862280448188,10,0.903,68731,0,0,0.0,0.0,False,-0.009596956640776979,10,0.9300000000000002,68450,0,0,0.0,0.0,False,-0.013646123031254953,0.375,367784,0.0,0.0,10,0,0,22,11,11.0,13,35,27,208.0,78.0,17,17,27,200,7.2873120659496635,161.95738959213486
21,27,0,0,0,10.000000000000002,20,10.0,27.52860318689467,0,,8.854407794352868,0,,36.83432722802524,22,25.0,42.0,20,42.0,0,0.2,28567,0,51,0.9,1403.9587625316283,False,0.1417585091190097,0,0.42500000000000004,22900,225,0,0.0,2250.0000000000005,False,-0.06280475911839282,0,0.2,40313,0,0,0.0,0.0,False,0.02161682716675114,0,1.3160000000000003,31019.0,161,0,0.0,4432.105113090042,False,-0.157753356397744,0,0.389,54163,0,2,0.1,73.66865445605048,False,0.038609453429683346,0,0.515,53991,0,1,0.0,36.83432722802524,False,0.03496056651555062,8,0.9730000000000001,68248,1,10,1.0,456.83432722802524,False,-0.013265455803363127,12,1.0400000000000003,68059,1,10,1.0,456.83432722802524,False,-0.01598891647169173,0.375,367260,0.0,0.0,11,0,0,20,10,10.0,11,31,30,226.0,54.0,15,12,30,750,5.900072257965803,167.85746185010066
22,30,0,0,0,10.000000000000002,20,10.0,27.52860318689467,0,,8.59039467260052,3,2.0,37.58323090328184,21,41.61904761904762,42.0,20,42.0,0,0.2,28487,0,59,0.8,1624.1875880267855,False,0.142933247279633,0,0.42500000000000004,22780,237,0,0.0,2370.0000000000005,False,-0.0651453091476497,0,0.2,40313,0,0,0.0,0.0,False,0.02161682716675114,3,1.3460000000000003,30941.0,161,0,0.0,4432.105113090042,False,-0.15973004164863094,14,0.5290000000000001,54152,0,3,0.3,112.7496927098455,False,0.03877311193551634,4,0.5550000000000002,54077,0,0,0.0,0.0,False,0.03625562901216825,2,0.9850000000000001,67778,12,10,1.0,870.998770839382,False,-0.01705406018387402,0,1.0280000000000002,68395,0,3,0.1,126.0,False,-0.013530844272807182,0.275,366923,0.0,0.0,19,0,0,21,5,4.066666666666667,12,33,31,225.0,74.0,16,14,31,914,6.0162416259991005,173.87370347609976
23,31,0,0,0,10.000000000000002,20,10.0,28.459589992021506,22,33.0,8.180647997162772,4,1.0,37.309181895641935,10,34.0,41.99999999999999,20,42.0,0,0.2,29083,3,47,1.0,1367.600729625011,False,0.16117809107909128,0,0.42500000000000004,22710,244,0,0.0,2440.0000000000005,False,-0.06651062999804955,0,0.2,40313,0,0,0.0,0.0,False,0.02161682716675114,4,1.3830000000000002,30107.0,183,0,0.0,5208.104968539936,False,-0.1710326283763313,2,0.5350000000000001,54320,0,0,0.0,0.0,False,0.0409121395036888,5,0.6010000000000001,53958,0,4,0.4,149.23672758256774,False,0.035405161709136414,0,0.9830000000000001,67858,12,10,1.0,867.7101827477031,False,-0.01592496662141219,7,1.0980000000000003,68442,0,0,0.0,0.0,False,-0.013761401789702725,0.3,366791,0.0,0.0,15,0,0,20,6,5.4,16,36,25,287.0,90.0,19,12,25,1472,6.536954416020308,180.41065789212007
24,25,0,0,0,10.000000000000002,20,10.0,28.53630921923116,2,33.0,8.180647997162772,0,,35.95273337708753,8,16.0,42.0,20,42.0,0,0.2,29059,2,55,1.0,1589.4970070577137,False,0.16456986555603104,0,0.42500000000000004,22600,255,0,0.0,2550.0000000000005,False,-0.06865613419153502,0,0.2,40313,0,0,0.0,0.0,False,0.02161682716675114,0,1.3790000000000002,30041.0,185,0,0.0,5279.217205557765,False,-0.1718041408317566,0,0.533,54320,0,0,0.0,0.0,False,0.0409121395036888,4,0.6360000000000001,53922,0,0,0.0,0.0,False,0.03328542684679506,0,0.9830000000000003,68068,2,15,1.0,701.9054667541751,False,-0.014093509324940818,15,1.2410000000000003,68009,0,8,0.8,336.0,False,-0.017580010663285156,0.35,366332,0.0,0.0,12,0,0,22,6,5.5,11,33,22,174.0,58.0,15,10,22,476,6.883106165973004,187.29376405809307
25,22,0,0,0,10.000000000000002,20,10.0,28.70632521770925,14,30.0,8.028556253329429,5,6.0,35.87006657915146,5,34.0,42.0,20,42.0,0,0.2,29389,1,51,1.0,1474.0225861031718,False,0.17519061022241414,0,0.42500000000000004,22490,266,0,0.0,2660.0000000000005,False,-0.07080163838502047,0,0.2,40313,0,0,0.0,0.0,False,0.02161682716675114,5,1.4290000000000003,29511.0,199,0,0.0,5712.5587183241405,False,-0.17974456768469155,5,0.5830000000000001,54255,0,5,0.5,179.3503328957573,False,0.04138497971539484,0,0.6320000000000001,53922,0,0,0.0,0.0,False,0.03328542684679506,0,0.9830000000000003,68276,0,13,0.7,546.0,False,-0.01221954839546378,3,1.2560000000000004,68321,0,0,0.0,0.0,False,-0.015504993011225269,0.275,366477,0.0,0.0,15,0,0,17,3,2.5,13,30,26,161.0,21.0,14,8,26,1208,6.861795803997666,194.15555986209074
