index,n_registered_negotiations_before,n_contracts_dropped,n_contracts_nullified_now,n_bankrupt,trading_price_0,sold_quantity_0,unit_price_0,trading_price_1,sold_quantity_1,unit_price_1,trading_price_2,sold_quantity_2,unit_price_2,trading_price_3,sold_quantity_3,unit_price_3,trading_price_4,sold_quantity_4,unit_price_4,spot_market_quantity_00Ind@0,spot_market_loss_00Ind@0,balance_00Ind@0,inventory_00Ind@0_input,inventory_00Ind@0_output,productivity_00Ind@0,assets_00Ind@0,bankrupt_00Ind@0,score_00Ind@0,spot_market_quantity_01Buy@0,spot_market_loss_01Buy@0,balance_01Buy@0,inventory_01Buy@0_input,inventory_01Buy@0_output,productivity_01Buy@0,assets_01Buy@0,bankrupt_01Buy@0,score_01Buy@0,spot_market_quantity_02Ran@1,spot_market_loss_02Ran@1,balance_02Ran@1,inventory_02Ran@1_input,inventory_02Ran@1_output,productivity_02Ran@1,assets_02Ran@1,bankrupt_02Ran@1,score_02Ran@1,spot_market_quantity_03Dec@1,spot_market_loss_03Dec@1,balance_03Dec@1,inventory_03Dec@1_input,inventory_03Dec@1_output,productivity_03Dec@1,assets_03Dec@1,bankrupt_03Dec@1,score_03Dec@1,spot_market_quantity_04Ran@2,spot_market_loss_04Ran@2,balance_04Ran@2,inventory_04Ran@2_input,inventory_04Ran@2_output,productivity_04Ran@2,assets_04Ran@2,bankrupt_04Ran@2,score_04Ran@2,spot_market_quantity_05Buy@2,spot_market_loss_05Buy@2,balance_05Buy@2,inventory_05Buy@2_input,inventory_05Buy@2_output,productivity_05Buy@2,assets_05Buy@2,bankrupt_05Buy@2,score_05Buy@2,spot_market_quantity_06Dec@3,spot_market_loss_06Dec@3,balance_06Dec@3,inventory_06Dec@3_input,inventory_06Dec@3_output,productivity_06Dec@3,assets_06Dec@3,bankrupt_06Dec@3,score_06Dec@3,spot_market_quantity_07MyA@3,spot_market_loss_07MyA@3,balance_07MyA@3,inventory_07MyA@3_input,inventory_07MyA@3_output,productivity_07MyA@3,assets_07MyA@3,bankrupt_07MyA@3,score_07MyA@3,productivity,market_size,production_failures,bankruptcy,n_contracts_executed,n_contracts_erred,n_contracts_nullified,n_contracts_cancelled,n_breaches,breach_level,n_contracts_signed,n_contracts_concluded,n_negotiations,n_negotiation_rounds_successful,n_negotiation_rounds_failed,n_negotiation_successful,n_negotiation_failed,n_registered_negotiations_after,activity_level,step_time,total_time
10,14,0,0,0,10.000000000000002,20,10.0,20.9526345619406,10,25.0,36.81054567749846,0,,15.380233256152081,6,18.0,37.99999999999999,10,38.0,2,0.4,14526,1,10,1.0,219.526345619406,False,0.1078467317242981,0,0.7130000000000001,11576,113,0,0.0,1130.0000000000002,False,-0.08099311180077208,0,0.2,17569,18,0,0.0,377.1474221149308,False,-0.01891857949958749,0,0.2,17060,76,32,1.0,2770.337688387436,False,0.01907010188915572,0,0.812,20619.0,34,0,0.0,1251.5585530349476,False,-0.14311381129683884,6,0.5390000000000001,23336,15,0,0.0,552.1581851624769,False,-0.0476312228217142,0,0.2,31846,13,17,1.0,845.943032329977,False,0.06819065563788895,0,0.2,30109,0,6,0.0,227.99999999999994,False,0.00046343804826376244,0.375,166641,0.0,0.0,15,0,0,10,2,1.2,21,31,14,84.0,71.0,6,8,14,580,0.667543631978333,12.164836671203375
11,14,0,0,0,10.000000000000002,20,10.0,20.501068441575807,55,19.381818181818183,37.45993456711753,29,39.10344827586207,14.157717704027709,10,4.6,38.0,13,38.0,22,0.6180000000000001,14568,0,9,0.9,184.50961597418225,False,0.10970061373000456,23,0.9430000000000003,11364,125,0,0.0,1250.0000000000002,False,-0.09249867534630232,0,0.2,17349,28,0,0.0,574.0299163641226,False,-0.025634532697123624,0,0.2,17348,111,13,1.0,2762.5977463874424,False,0.034767893546614484,10,0.9120000000000001,20215.0,34,0,0.0,1273.637775281996,False,-0.15896346195938377,0,0.5330000000000001,22202,44,0,0.0,1648.2371209531711,False,-0.07126533455101904,0,0.2,32294,13,14,1.0,716.0503301523602,False,0.08087077245444002,0,0.2,30109,0,6,0.0,228.0,False,0.00046343804826376244,0.3625,165449,0.0,0.0,21,0,0,13,5,5.0,21,34,13,131.0,46.0,9,5,13,2048,0.6884265374392271,12.853263208642602
12,13,0,0,0,10.000000000000002,20,10.0,21.55888319818775,23,29.47826086956522,37.45993456711753,0,,13.993988480324521,1,1.0,38.0,11,38.0,14,0.7360000000000002,14810,2,10,1.0,235.5888319818775,False,0.12995188978812644,0,0.9200000000000002,11284,133,0,0.0,1330.0000000000002,False,-0.09552645522670501,0,0.2,16671,51,0,0.0,1099.5030431075752,False,-0.04857726400255326,0,0.2,17348,101,23,1.0,3039.025698060666,False,0.04240402480830565,1,0.9120000000000001,20175.0,34,0,0.0,1273.637775281996,False,-0.16057682056866862,0,0.5330000000000001,22202,44,0,0.0,1648.2371209531711,False,-0.07126533455101904,0,0.2,32711,4,13,1.0,549.9759539212981,False,0.09192584914961266,0,0.2,30109,0,6,0.0,228.0,False,0.00046343804826376244,0.375,165310,0.0,0.0,20,0,0,8,3,3.0,21,29,14,113.0,59.0,8,5,14,897,0.6812796508893371,13.534542859531939
13,14,0,0,0,10.000000000000002,20,10.0,21.211321888631666,5,9.0,39.01991733513832,12,51.0,12.780041553305866,10,4.0,38.0,9,38.0,0,0.7220000000000002,14750,0,18,0.8,381.80379399537,False,0.13094405397000108,5,0.9700000000000002,11084,147,0,0.0,1470.0000000000002,False,-0.10536673983801377,0,0.2,16671,51,0,0.0,1081.777416320215,False,-0.049066922201099115,0,0.2,17915,96,21,1.0,2855.7051653465446,False,0.0686658885454847,10,1.0110000000000001,19153.0,46,0,0.0,1794.9161974163626,False,-0.19128552015858577,0,0.5330000000000001,22202,44,0,0.0,1716.876362746086,False,-0.06988108815500169,0,0.2,33013,4,14,1.0,583.1201662132235,False,0.10247145165700987,0,0.2,30109,0,6,0.0,228.0,False,0.00046343804826376244,0.35,164897,0.0,0.0,15,0,0,8,3,3.0,21,29,10,166.0,41.0,11,3,10,1154,0.7110329382121563,14.245575797744095
14,10,0,0,0,10.000000000000002,20,10.0,21.01154352115998,42,20.238095238095237,39.505034183225725,5,48.6,11.42056160367848,16,5.125,38.0,0,,0,0.7220000000000002,15033,0,15,0.8,315.1731528173997,False,0.14984381018913778,31,1.2750000000000004,10690,159,0,0.0,1590.0000000000002,False,-0.13064870183937627,0,0.2,16308,62,0,0.0,1302.7156983119187,False,-0.06301890336154917,0,0.2,17671,117,26,1.0,3485.4814807395865,False,0.07258236134639748,16,1.161,18221.0,50,0,0.0,1975.2517091612863,False,-0.22523995262450525,0,0.5330000000000001,22163,45,0,0.0,1777.7265382451576,False,-0.0702269483675804,0,0.2,32931,10,24,1.0,1026.2056160367847,False,0.1070906950914757,0,0.2,30109,0,6,0.0,228.0,False,0.00046343804826376244,0.35,163126,0.0,0.0,15,0,0,9,6,6.0,18,27,14,72.0,75.0,5,5,14,806,0.6200821846723557,14.865657982416451
15,14,0,0,0,10.000000000000002,20,10.0,21.20860736412954,13,24.0,39.914009283595895,4,49.0,11.163804149903678,5,7.0,38.0,4,38.0,0,0.7220000000000002,15165,4,17,1.0,400.5463251902022,False,0.16306662346492332,5,1.2940000000000003,10565,165,0,0.0,1650.0000000000002,False,-0.13783967905533268,0,0.2,16036,70,0,0.0,1484.6025154890679,False,-0.07302202995886556,0,0.2,17827,112,32,1.0,3652.6123218575776,False,0.08581801994081716,5,1.1950000000000003,17855.0,54,0,0.0,2155.3565013141783,False,-0.2363700136870452,0,0.5330000000000001,22163,45,0,0.0,1796.1304177618154,False,-0.0698557976492999,0,0.2,32896,5,34,1.0,1347.8190207495184,False,0.11125523884851403,0,0.2,30261,0,2,0.0,76.0,False,0.00297924459598133,0.375,162768,0.0,0.0,14,0,0,15,2,2.0,20,35,15,200.0,23.0,12,2,15,820,0.7751463698223233,15.640804352238774
16,15,0,0,0,10.000000000000002,20,10.0,21.078330678409813,27,20.22222222222222,40.48332874883791,5,50.0,10.140857946859194,16,5.1875,38.0,1,38.0,0,0.7220000000000002,15541,3,10,1.0,240.78330678409813,False,0.1854811636811785,10,1.3890000000000002,10305,176,0,0.0,1760.0000000000002,False,-0.1533570509423965,0,0.2,15934,73,0,0.0,1538.7181395239163,False,-0.07716248233359346,0,0.2,17633,126,37,1.0,4153.752829186639,False,0.08894344832007293,16,1.35,16882.0,59,0,0.0,2388.516396181437,False,-0.27091283031134916,0,0.5330000000000001,22163,45,0,0.0,1821.749793697706,False,-0.0693391321401664,0,0.2,32813,11,44,1.0,1783.5494374154512,False,0.1157196437719794,0,0.2,30299,0,1,0.0,38.0,False,0.003608196232910722,0.375,161570,0.0,0.0,16,0,0,12,6,6.0,19,31,15,178.0,22.0,12,3,15,954,0.7962444527074695,16.437048804946244
17,15,0,0,0,10.000000000000002,20,10.0,20.42650266087067,35,17.0,40.41112964827558,14,40.0,10.009227855610671,8,8.625,38.0,1,38.0,5,0.7720000000000002,15721,7,10,1.0,274.2650266087067,False,0.20037336411356851,20,1.5790000000000002,9875,182,0,0.0,1820.0000000000002,False,-0.18363484974642344,0,0.2,15769,78,0,0.0,1593.2672075479124,False,-0.08477162410088637,0,0.2,17763,146,33,1.0,4315.836666880212,False,0.1006032228419948,5,1.3840000000000001,16692.0,59,0,0.0,2384.2566492482592,False,-0.2786621899478026,3,0.5630000000000002,21534,59,0,0.0,2384.2566492482592,False,-0.08336513029386806,0,0.2,32744,9,54,1.0,2142.083050700496,False,0.11936977474760008,0,0.2,30337,0,0,0.0,0.0,False,0.004237147869840114,0.375,160435,0.0,0.0,14,0,0,7,7,7.0,22,29,18,119.0,60.0,8,7,18,1058,0.8344523664563894,17.271501171402633
18,18,0,0,0,10.000000000000002,20,10.0,19.806225939610318,40,16.75,40.89176420049876,5,49.0,10.090381023104912,3,12.333333333333334,38.0,0,,0,0.7670000000000001,15796,10,10,1.0,298.0622593961032,False,0.2069511111723602,30,1.8590000000000004,9535,189,0,0.0,1890.0000000000002,False,-0.20672167133449398,0,0.2,15609,83,0,0.0,1643.9167529876563,False,-0.09221224439260614,0,0.2,17498,171,38,1.0,4940.7516752923175,False,0.10322518440034029,1,1.389,16407.0,64,0,0.0,2617.072908831921,False,-0.2854621685791974,2,0.5800000000000002,21488,59,0,0.0,2412.614087829427,False,-0.08464860872364327,0,0.2,32707,2,64,1.0,2452.18076204621,False,0.12327751269565702,0,0.2,30337,0,0,0.0,0.0,False,0.004237147869840114,0.375,159377,0.0,0.0,14,0,0,14,4,4.0,20,34,16,192.0,43.0,12,6,16,650,0.8696314198896289,18.141132591292262
19,16,0,0,0,10.000000000000002,20,10.0,19.320618208682674,30,15.866666666666667,41.3898207620219,5,49.4,10.165891380555612,7,11.0,38.0,0,,8,0.8470000000000002,15919,7,10,1.0,263.20618208682674,False,0.21494232768476368,12,1.9490000000000003,9220,202,0,0.0,2020.0000000000005,False,-0.22564529558701082,0,0.2,15312,92,0,0.0,1777.496875198806,False,-0.10493102554699432,0,0.2,17566,182,43,1.0,5296.114806747189,False,0.11679875156760187,7,1.4580000000000002,15989.0,68,0,0.0,2814.5078118174893,False,-0.2983400997899107,0,0.5780000000000001,21449,60,0,0.0,2483.3892457213137,False,-0.0847943119888413,0,0.2,32630,0,73,0.9,2774.0,False,0.12605514912774338,0,0.2,30337,0,0,0.0,0.0,False,0.004237147869840114,0.3625,158422,0.0,0.0,14,0,0,13,6,6.0,16,29,18,117.0,50.0,8,8,18,652,0.7356025418266654,18.876735133118927
20,18,0,0,0,10.000000000000002,20,10.0,19.477094981711616,12,22.333333333333332,41.6866735277645,9,44.22222222222222,10.353980415531183,19,11.105263157894736,38.0,0,,2,0.8590000000000002,16075,4,10,1.0,234.77094981711616,False,0.22567447391632417,0,1.9370000000000005,9090,215,0,0.0,2150.0000000000005,False,-0.2305654378926652,0,0.2,15312,92,0,0.0,1791.8927383174687,False,-0.10453334977023572,0,0.2,17696,184,44,1.0,5417.999111856576,False,0.12734804176399375,15,1.6010000000000004,15207.0,72,0,0.0,3001.4404939990436,False,-0.32611139244950105,4,0.6180000000000001,21167,65,0,0.0,2709.6337793046923,False,-0.09160582060854493,0,0.2,32419,9,83,1.0,3247.1858237397805,False,0.12690234406534118,0,0.2,30337,0,0,0.0,0.0,False,0.004237147869840114,0.375,157303,0.0,0.0,12,0,0,13,5,5.0,18,31,16,173.0,41.0,11,7,16,848,0.7837104145437479,19.660445547662675
21,16,0,0,0,10.000000000000002,20,10.0,19.584047020480682,15,21.066666666666666,41.493437412583816,10,40.0,9.852899765459105,15,7.0,38.0,11,38.0,3,0.8870000000000002,16210,4,10,1.0,235.84047020480682,False,0.23593370941657735,2,1.9570000000000005,8966,225,0,0.0,2250.0000000000005,False,-0.2361668306714102,0,0.2,15282,93,0,0.0,1821.3163729047035,False,-0.10537800074848883,0,0.2,17810,188,44,1.0,5507.512086004056,False,0.13611911839790208,11,1.6960000000000002,14789.0,72,0,0.0,2987.527493706035,False,-0.34325157315157434,4,0.6540000000000001,20675,75,0,0.0,3112.007805943786,False,-0.10333546150236382,0,0.2,32732,14,82,1.0,3253.9405967164275,False,0.13737529538740806,0,0.2,30337,0,0,0.0,0.0,False,0.004237147869840114,0.375,156801,0.0,0.0,18,0,0,11,5,4.1,21,32,7,157.0,26.0,10,6,7,1048,0.6945732161402702,20.355018763802946
22,7,0,0,0,10.000000000000002,20,10.0,19.788215177256898,14,22.714285714285715,41.78033293165323,7,45.0,8.992006636207575,26,6.0,38.0,6,38.0,4,0.9240000000000002,16352,3,10,1.0,227.882151772569,False,0.24638112753661973,0,1.9550000000000005,8856,236,0,0.0,2360.0000000000005,False,-0.2403300280069639,0,0.2,15282,93,0,0.0,1840.3040114848916,False,-0.10485348034572121,0,0.2,17807,192,47,1.0,5763.012961821026,False,0.14301140778511123,22,1.9050000000000005,13391.0,79,0,0.0,3300.646301600605,False,-0.3933237949905093,4,0.6900000000000002,20583,75,0,0.0,3133.524969873992,False,-0.10661225003279165,0,0.2,32804,30,86,1.0,3537.760199086227,False,0.14445629115638106,0,0.2,30337,0,0,0.0,0.0,False,0.004237147869840114,0.375,155412,0.0,0.0,14,0,0,6,6,5.166666666666667,16,22,12,17.0,27.0,2,5,12,743,0.5020050145685673,20.857023778371513
23,12,0,0,0,10.000000000000002,20,10.0,20.934207272436865,21,31.476190476190474,41.04046178001528,24,38.666666666666664,8.66971710331852,28,7.464285714285714,38.0,4,38.0,11,1.0300000000000002,16652,6,10,1.0,269.3420727243687,False,0.27065862057090195,0,1.9550000000000003,8786,243,0,0.0,2430.0000000000005,False,-0.24297933540231625,0,0.2,14621,114,0,0.0,2386.4996290578024,False,-0.12628454063376238,0,0.2,18735,182,33,1.0,5164.360962324014,False,0.17774477796475172,18,2.0630000000000006,12556.0,79,0,0.0,3242.196480621207,False,-0.42818141248293456,10,0.7860000000000003,19385,99,0,0.0,4063.0057162215126,False,-0.13618751832732004,0,0.2,32747,48,92,1.0,3912.146420959289,False,0.14876603695851065,0,0.2,30337,0,0,0.0,0.0,False,0.004237147869840114,0.375,153819,0.0,0.0,19,0,0,14,5,5.0,19,33,15,129.0,36.0,8,4,15,1600,0.7409425992518663,21.59796637762338
24,15,0,0,0,10.000000000000002,20,10.0,20.934207272436865,0,,41.55972201883385,5,51.0,8.775940290615884,12,9.833333333333334,38.00000000000001,5,38.0,0,1.0190000000000001,16572,4,20,1.0,458.6841454487373,False,0.2717691372889538,0,1.9550000000000003,8666,255,0,0.0,2550.0000000000005,False,-0.24752100522292028,0,0.2,14621,114,0,0.0,2386.4996290578024,False,-0.12628454063376238,0,0.2,18990,172,38,1.0,5179.953087574828,False,0.19226389744681854,7,2.1150000000000007,12042.0,84,0,0.0,3491.0166495820436,False,-0.4438951185902867,5,0.8260000000000001,19270,99,0,0.0,4114.412479864552,False,-0.1397892050202769,0,0.2,32819,50,97,1.0,4124.797014530795,False,0.15466908892268516,0,0.2,30337,0,0,0.0,0.0,False,0.004237147869840114,0.375,153317,0.0,0.0,18,0,0,18,2,2.0,17,35,19,149.0,33.0,11,4,19,645,1.3563033314421773,22.954269709065557
25,19,0,0,0,10.000000000000002,20,10.0,20.934207272436865,0,,41.55972201883385,0,,8.438216649902763,25,6.84,38.00000000000001,10,38.0,0,1.0190000000000001,16452,6,30,1.0,688.0262181731059,False,0.2713657640668045,0,1.9550000000000003,8586,263,0,0.0,2630.0000000000005,False,-0.250548785103323,0,0.2,14621,114,0,0.0,2386.4996290578024,False,-0.12628454063376238,0,0.2,18990,162,48,1.0,5386.208235038797,False,0.19796155345411032,19,2.2980000000000005,11196.0,84,0,0.0,3491.0166495820436,False,-0.47801765317666184,6,0.881,19132,99,0,0.0,4114.412479864552,False,-0.14535529222230972,0,0.2,33028,65,97,1.0,4234.484082243681,False,0.1634030269496455,0,0.2,30337,0,0,0.0,0.0,False,0.004237147869840114,0.375,152342,0.0,0.0,15,0,0,10,3,3.0,26,36,20,215.0,50.0,14,5,20,580,0.926251720637083,23.88052142970264
