index,n_registered_negotiations_before,n_contracts_dropped,n_contracts_nullified_now,n_bankrupt,trading_price_0,sold_quantity_0,unit_price_0,trading_price_1,sold_quantity_1,unit_price_1,trading_price_2,sold_quantity_2,unit_price_2,trading_price_3,sold_quantity_3,unit_price_3,trading_price_4,sold_quantity_4,unit_price_4,spot_market_quantity_00Ran@0,spot_market_loss_00Ran@0,balance_00Ran@0,inventory_00Ran@0_input,inventory_00Ran@0_output,productivity_00Ran@0,assets_00Ran@0,bankrupt_00Ran@0,score_00Ran@0,spot_market_quantity_01Dec@0,spot_market_loss_01Dec@0,balance_01Dec@0,inventory_01Dec@0_input,inventory_01Dec@0_output,productivity_01Dec@0,assets_01Dec@0,bankrupt_01Dec@0,score_01Dec@0,spot_market_quantity_02Buy@1,spot_market_loss_02Buy@1,balance_02Buy@1,inventory_02Buy@1_input,inventory_02Buy@1_output,productivity_02Buy@1,assets_02Buy@1,bankrupt_02Buy@1,score_02Buy@1,spot_market_quantity_03Buy@1,spot_market_loss_03Buy@1,balance_03Buy@1,inventory_03Buy@1_input,inventory_03Buy@1_output,productivity_03Buy@1,assets_03Buy@1,bankrupt_03Buy@1,score_03Buy@1,spot_market_quantity_04Ind@2,spot_market_loss_04Ind@2,balance_04Ind@2,inventory_04Ind@2_input,inventory_04Ind@2_output,productivity_04Ind@2,assets_04Ind@2,bankrupt_04Ind@2,score_04Ind@2,spot_market_quantity_05Buy@2,spot_market_loss_05Buy@2,balance_05Buy@2,inventory_05Buy@2_input,inventory_05Buy@2_output,productivity_05Buy@2,assets_05Buy@2,bankrupt_05Buy@2,score_05Buy@2,spot_market_quantity_06Dec@3,spot_market_loss_06Dec@3,balance_06Dec@3,inventory_06Dec@3_input,inventory_06Dec@3_output,productivity_06Dec@3,assets_06Dec@3,bankrupt_06Dec@3,score_06Dec@3,spot_market_quantity_07MyA@3,spot_market_loss_07MyA@3,balance_07MyA@3,inventory_07MyA@3_input,inventory_07MyA@3_output,productivity_07MyA@3,assets_07MyA@3,bankrupt_07MyA@3,score_07MyA@3,productivity,market_size,production_failures,bankruptcy,n_contracts_executed,n_contracts_erred,n_contracts_nullified,n_contracts_cancelled,n_breaches,breach_level,n_contracts_signed,n_contracts_concluded,n_negotiations,n_negotiation_rounds_successful,n_negotiation_rounds_failed,n_negotiation_successful,n_negotiation_failed,n_registered_negotiations_after,activity_level,step_time,total_time
10,16,0,0,0,10.000000000000002,20,10.0,19.14579270069097,30,20.0,12.657765750756731,5,11.0,24.627148670720043,67,26.895522388059703,37.0,5,37.0,0,0.2,29629,107,0,0.0,1070.0000000000002,False,-0.0174272777614906,20,0.43600000000000005,31646,4,10,1.0,231.4579270069097,False,0.03461770622832842,5,0.6460000000000001,41218,57,0,0.0,1091.3101839393853,False,-0.03118550867658696,0,0.7760000000000002,40705,66,0,0.0,1263.622318245604,False,-0.04108724229556461,0,0.2,55166,0,64,0.5,1576.1375149260828,False,0.010238300638471896,62,1.7200000000000006,53275,28,0,0.0,354.41744102118844,False,-0.03493222740876753,0,0.272,76846,104,19,1.0,3264.2234617548843,False,-0.00883942849178508,0,0.2,79113,0,5,0.0,185.0,False,0.0003473186996387886,0.3125,407598,0.0,0.0,16,0,0,18,4,3.375,19,37,14,222.0,36.0,14,2,14,575,1.742386694997549,20.941091025946662
11,14,0,0,0,10.000000000000002,20,10.0,19.14579270069097,0,,12.46846396547376,10,11.0,24.629036016935014,79,24.632911392405063,37.0,10,37.0,0,0.2,29539,116,0,0.0,1160.0000000000002,False,-0.018893123554513176,0,0.41600000000000004,31536,5,20,1.0,432.9158540138194,False,0.03431570823176351,5,0.6910000000000001,41153,57,0,0.0,1091.3101839393853,False,-0.03269334944860144,5,0.8260000000000001,40640,66,0,0.0,1263.622318245604,False,-0.04259508306757909,0,0.2,55390,0,57,1.0,1403.8550529652957,False,0.012727310135639231,62,2.278000000000001,52965,28,0,0.0,349.11699103326526,False,-0.04057705787429119,0,0.272,75270,173,19,1.0,4963.823230929757,False,-0.018011169574062492,0,0.2,79113,0,5,0.0,185.0,False,0.0003473186996387886,0.375,405606,0.0,0.0,18,0,0,17,3,3.0,15,32,16,168.0,54.0,11,3,16,904,1.740520427993033,22.681611453939695
12,16,0,0,0,10.000000000000002,20,10.0,19.175842751758335,2,21.0,12.070051490415251,20,10.5,24.068684177667404,24,19.0,37.0,6,37.0,0,0.2,29399,130,0,0.0,1300.0000000000002,False,-0.02117332812143718,0,0.41600000000000004,31518,1,28,1.0,546.9235970492334,False,0.03558623403122626,10,0.786,40972,58,0,0.0,1112.1988796019834,False,-0.03664982277533188,10,0.921,40459,67,0,0.0,1284.7814643678084,False,-0.04654841950023413,0,0.2,55370,10,62,1.0,1612.9589339195315,False,0.014253876667083767,19,2.406000000000001,52525,28,0,0.0,337.961441731627,False,-0.04862186576514675,0,0.272,75226,182,23,1.0,5231.500520335468,False,-0.016876528073862175,0,0.2,78923,0,10,0.5,370.0,False,-0.0008840839627169163,0.4375,404392,0.0,0.0,19,0,0,18,6,6.0,15,33,18,204.0,54.0,13,3,18,654,1.9463156700367108,24.627927123976406
13,18,0,0,0,10.000000000000002,20,10.0,19.285243754609738,17,20.0,11.734038858109605,23,10.434782608695652,23.386492614237348,13,12.0,37.0,12,37.0,0,0.2,29299,140,0,0.0,1400.0000000000002,False,-0.022802045669240042,0,0.41600000000000004,31758,1,21,1.0,414.9901188468045,False,0.041255254549770456,10,0.8760000000000001,40812,58,0,0.0,1118.5441377673649,False,-0.04028783360666964,13,1.0410000000000001,39902,84,0,0.0,1619.960475387218,False,-0.055581789048584816,0,0.2,55210,15,72,1.0,1859.8380510967331,False,0.013593786006614728,13,2.5170000000000012,52198,36,0,0.0,422.42539889194575,False,-0.05376328922949472,0,0.272,75514,185,21,1.0,5103.501133633909,False,-0.014047455520258639,0,0.2,78923,0,10,0.0,370.0,False,-0.0008840839627169163,0.375,403616,0.0,0.0,18,0,0,20,5,5.0,17,37,14,240.0,54.0,15,3,14,984,1.7996924439794384,26.427619567955844
14,14,0,0,0,10.000000000000002,20,10.0,19.285243754609738,0,,11.734038858109605,0,,23.079436673746766,7,14.0,36.99999999999999,11,37.0,0,0.2,29189,151,0,0.0,1510.0000000000002,False,-0.024593634971823188,0,0.41600000000000004,31668,0,31,1.0,597.8425563929019,False,0.04130171270062388,0,0.8660000000000001,40812,58,0,0.0,1118.5441377673649,False,-0.04028783360666964,0,1.0280000000000002,39902,84,0,0.0,1619.960475387218,False,-0.055581789048584816,0,0.2,55210,5,82,1.0,1951.184001537783,False,0.01441840144382059,7,2.574000000000001,52079,36,0,0.0,422.42539889194575,False,-0.05591180783494365,0,0.272,75823,182,20,1.0,4940.457474621911,False,-0.011174458343088263,0,0.2,78923,0,10,0.0,369.99999999999994,False,-0.0008840839627169163,0.375,403606,0.0,0.0,16,0,0,14,1,1.0,17,31,14,162.0,90.0,9,5,14,607,1.3607899760245346,27.78840954398038
15,14,0,0,0,10.000000000000002,20,10.0,19.370394237290107,14,20.071428571428573,11.699329396621732,5,11.0,22.717321549203284,8,14.0,36.99999999999999,12,37.0,0,0.2,29059,164,0,0.0,1640.0000000000002,False,-0.026710967783966904,0,0.41600000000000004,31879,0,24,0.7,464.88946169496256,False,0.0460094703686596,0,0.8660000000000001,40791,59,0,0.0,1142.8532600001163,False,-0.04049302612044029,5,1.0780000000000003,39577,97,0,0.0,1878.9282410171404,False,-0.060117284019008725,0,0.2,55155,0,92,1.0,2089.993582526702,False,0.014678476741173037,8,2.6470000000000007,51943,36,0,0.0,421.17585827838235,False,-0.05837853775905555,0,0.272,76155,180,18,1.0,4755.117878856591,False,-0.008151772721863378,0,0.2,78923,0,10,0.0,369.99999999999994,False,-0.0008840839627169163,0.3375,403482,0.0,0.0,22,0,0,14,2,2.0,17,31,16,198.0,54.0,11,3,16,925,1.393216693017166,29.181626236997545
16,16,0,0,0,10.000000000000002,20,10.0,19.49253396060067,28,20.0,10.868389784190459,45,9.11111111111111,22.23879250015735,10,13.6,37.0,9,37.0,0,0.2,28979,172,0,0.0,1720.0000000000002,False,-0.028013941822209194,4,0.45600000000000007,32251,2,10,1.0,214.9253396060067,False,0.054055919404638726,20,1.066,39931,87,0,0.0,1695.8504545722583,False,-0.05402882928258962,25,1.3230000000000004,39107,97,0,0.0,1890.7757941782652,False,-0.07088271557276768,0,0.2,54829,35,96,1.0,2515.3177224617716,False,0.012632185553124094,4,2.6790000000000007,51871,36,0,0.0,391.2620322308565,False,-0.05994852553639978,0,0.272,76352,180,19,1.0,4705.982650028323,False,-0.0059739911968709185,0,0.2,78923,0,10,0.0,370.0,False,-0.0008840839627169163,0.375,402243,0.0,0.0,16,0,0,19,5,4.285714285714286,17,36,16,204.0,54.0,13,3,16,897,1.6058224539738148,30.78744869097136
17,16,0,0,0,10.000000000000002,20,10.0,19.49253396060067,0,,10.80649609236882,32,10.5625,21.960259286503007,6,14.0,37.0,13,37.0,0,0.2,28889,181,0,0.0,1810.0000000000002,False,-0.029479787615231765,0,0.45200000000000007,32141,3,20,1.0,419.8506792120134,False,0.0538103957655301,18,1.2260000000000002,39587,87,0,0.0,1695.8504545722583,False,-0.062008786599097,14,1.4380000000000004,38871,97,0,0.0,1890.7757941782652,False,-0.07635733745269715,0,0.2,54669,40,106,1.0,2760.0473280640717,False,0.011952690415296664,6,2.7350000000000008,51591,53,0,0.0,572.7442928955475,False,-0.06336555245007364,0,0.272,76749,176,16,1.0,4457.0056344245295,False,-0.002532233483893641,0,0.2,78923,0,10,0.0,370.0,False,-0.0008840839627169163,0.375,401420,0.0,0.0,18,0,0,16,6,6.0,18,34,14,168.0,90.0,11,5,14,681,1.531715946039185,32.319164637010545
18,14,0,0,0,10.000000000000002,20,10.0,19.76751132428578,16,22.0,10.839248420359315,29,11.0,22.44711539051652,5,38.0,37.0,7,37.0,0,0.2,28799,190,0,0.0,1900.0000000000002,False,-0.03094563340825434,0,0.45200000000000007,32383,4,14,1.0,316.74515854000094,False,0.060014090988957255,17,1.3780000000000001,39306,87,0,0.0,1719.7734852128629,False,-0.06824982039049755,12,1.5440000000000003,38363,113,0,0.0,2233.7287796442934,False,-0.08416385845267355,0,0.2,54804,35,111,1.0,2871.0035030599092,False,0.01539173003646984,0,2.729000000000001,51327,77,0,0.0,834.6221283676673,False,-0.0657679407770084,0,0.272,76818,171,19,1.0,4541.456731778325,False,-0.0011274802863274098,0,0.2,78923,0,10,0.0,370.0,False,-0.0008840839627169163,0.375,400723,0.0,0.0,15,0,0,16,3,3.0,13,29,18,162.0,90.0,9,5,18,1001,1.3888873030082323,33.70805194001878
19,18,0,0,0,10.000000000000002,20,10.0,19.791346399876026,15,20.0,10.818587902268519,10,10.5,21.09385288829774,28,13.928571428571429,37.0,10,37.0,0,0.2,28689,201,0,0.0,2010.0000000000005,False,-0.03273722271083749,1,0.4620000000000001,32576,3,10,1.0,227.91346399876028,False,0.06485412332647253,5,1.411,39236,87,0,0.0,1721.8471367892143,False,-0.06984959709579174,5,1.5820000000000003,37998,128,0,0.0,2533.2923391841314,False,-0.08915639395026292,0,0.2,54937,35,104,1.0,2572.411276962363,False,0.015097507329900164,11,2.839000000000001,51114,77,0,0.0,833.0312684746759,False,-0.06962796984423533,0,0.272,76798,189,19,1.0,4689.7381958882725,False,-0.00044369524433389613,0,0.2,78923,0,10,0.0,370.0,False,-0.0008840839627169163,0.375,400271,0.0,0.0,21,0,0,21,5,4.066666666666666,18,39,18,222.0,72.0,14,4,18,808,1.809605129994452,35.51765707001323
20,18,0,0,0,10.000000000000002,20,10.0,19.80045595483883,1,21.0,10.76243443106325,24,10.416666666666666,20.16162397028144,24,14.0,37.0,6,37.0,0,0.2,28589,211,0,0.0,2110.0000000000005,False,-0.03436594025864035,0,0.4610000000000001,32497,3,19,1.0,406.2086631419378,False,0.06518467479627899,14,1.5460000000000003,39000,87,0,0.0,1722.6396680709784,False,-0.07531502658356949,10,1.677,37817,129,0,0.0,2554.2588181742094,False,-0.0931119650856662,0,0.2,54777,40,114,1.0,2728.9225098546144,False,0.013621630615980427,24,3.068000000000001,50366,86,0,0.0,925.5693610714395,False,-0.08229756656732232,0,0.272,76684,203,23,1.0,4943.809665967132,False,-0.0002790568973254677,0,0.2,78923,0,10,0.0,370.0,False,-0.0008840839627169163,0.375,398653,0.0,0.0,16,0,0,18,7,7.0,19,37,12,222.0,72.0,14,4,12,443,1.789517468016129,37.30717453802936
21,12,0,0,0,10.000000000000002,20,10.0,20.218246379673996,28,22.0,10.782160750923497,14,11.0,20.16162397028144,0,,36.99999999999999,8,37.0,0,0.2,28449,225,0,0.0,2250.0000000000005,False,-0.03664614482556435,9,0.5510000000000002,32900,0,9,0.9,181.96421741706595,False,0.07465982959407591,9,1.6220000000000003,38883,87,0,0.0,1758.9874350316377,False,-0.07760755039631115,5,1.717,37136,157,0,0.0,3174.264681608817,False,-0.10171818825265816,0,0.2,54722,35,124,1.0,2877.416998597221,False,0.013969135344008754,0,3.044000000000001,50267,95,0,0.0,1024.3052713377322,False,-0.08319366212885942,0,0.272,76980,193,25,1.0,4816.193426264318,False,0.0026534733528524616,0,0.2,78923,0,10,0.0,369.99999999999994,False,-0.0008840839627169163,0.3625,398260,0.0,0.0,17,0,0,12,3,2.6923076923076925,19,31,11,180.0,36.0,10,2,11,826,1.2628512440132909,38.57002578204265
22,11,0,0,0,10.000000000000002,20,10.0,20.19345735470315,17,20.0,10.741784716788422,15,10.333333333333334,20.688244464992806,5,38.0,36.99999999999999,9,37.0,0,0.2,28339,236,0,0.0,2360.0000000000005,False,-0.038437734128147494,8,0.6220000000000001,33014,0,9,0.9,181.74111619232835,False,0.07836967191426956,10,1.7130000000000003,38723,87,0,0.0,1756.830789859174,False,-0.08134417289297609,5,1.7620000000000005,36726,174,0,0.0,3513.661579718348,False,-0.10729259557717422,0,0.2,54757,40,129,1.0,3098.454924655609,False,0.01659644794496554,0,3.044000000000001,50267,95,0,0.0,1020.4695480949,False,-0.08322828869504666,0,0.272,77123,188,26,1.0,4851.389959418648,False,0.0046817926660098225,0,0.2,78923,0,10,0.0,369.99999999999994,False,-0.0008840839627169163,0.3625,397872,0.0,0.0,17,0,0,14,4,3.4705882352941178,18,32,12,162.0,36.0,9,2,12,723,1.1912980820052326,39.76132386404788
23,12,0,0,0,10.000000000000002,20,10.0,20.172918238528926,16,20.0,10.734958636239291,15,10.666666666666666,19.9818635807784,18,14.0,37.0,11,37.0,0,0.2,28209,249,0,0.0,2490.0000000000005,False,-0.040555066940291214,7,0.6839999999999999,33145,0,7,0.7,141.21042766970248,False,0.08197678145329988,10,1.8030000000000004,38563,87,0,0.0,1755.0438867520165,False,-0.08507650683455492,5,1.8070000000000004,36341,190,0,0.0,3832.854465320496,False,-0.11252140594181471,0,0.2,54597,45,139,1.0,3260.5521763589654,False,0.01517099839636525,18,3.2240000000000006,49857,95,0,0.0,1019.8210704427327,False,-0.09063660181592492,0,0.272,77278,196,25,1.0,4841.445261832567,False,0.00657660752881204,0,0.2,78923,0,10,0.0,370.0,False,-0.0008840839627169163,0.3375,396913,0.0,0.0,14,0,0,17,6,5.4375,16,33,9,183.0,18.0,11,1,9,607,1.3478105909889564,41.10913445503684
24,9,0,0,0,10.000000000000002,20,10.0,20.16897638769126,15,20.133333333333333,10.692926381675358,22,10.409090909090908,19.750406754784912,6,13.833333333333334,37.0,13,37.0,0,0.2,28129,257,0,0.0,2570.0000000000005,False,-0.0418580409785335,8,0.7570000000000001,33182,2,10,1.0,221.6897638769126,False,0.08449281350983608,8,1.8730000000000004,38430,88,0,0.0,1774.8699221168308,False,-0.08793182330290392,14,1.9420000000000002,35828,204,0,0.0,4114.471183089017,False,-0.12115534027223467,0,0.2,54561,40,148,1.0,3350.7772549751817,False,0.01533552327238506,5,3.2560000000000002,49587,112,0,0.0,1197.60775474764,False,-0.09390644235337132,0,0.272,77676,192,22,1.0,4606.0780969187035,False,0.010116939660756167,0,0.2,78923,0,10,0.0,370.0,False,-0.0008840839627169163,0.375,396316,0.0,0.0,19,0,0,6,8,7.461538461538462,25,31,2,129.0,18.0,8,1,2,695,1.1435849249828607,42.2527193800197
25,2,0,0,0,10.000000000000002,20,10.0,20.16897638769126,0,,10.70261291230642,5,11.0,20.365085617992154,5,38.0,37.0,11,37.0,0,0.2,28059,264,0,0.0,2640.0000000000005,False,-0.042998143261995504,0,0.7490000000000001,33052,5,20,1.0,453.3795277538252,False,0.08403171972627496,0,1.8650000000000002,38430,88,0,0.0,1774.8699221168308,False,-0.08793182330290392,5,1.9780000000000004,35763,204,0,0.0,4114.471183089017,False,-0.12266318104424914,0,0.2,54696,35,153,1.0,3490.4495514835244,False,0.019033794495852175,0,3.251000000000001,49587,112,0,0.0,1198.6926461783191,False,-0.09389664861629701,0,0.272,77893,187,21,1.0,4585.271010564533,False,0.012726205578345777,0,0.2,78923,0,10,0.0,370.0,False,-0.0008840839627169163,0.375,396403,0.0,0.0,17,0,0,7,1,1.0,20,27,6,36.0,0.0,2,0,6,797,0.789900457020849,43.04261983704055
