index,n_registered_negotiations_before,n_contracts_dropped,n_contracts_nullified_now,n_bankrupt,trading_price_0,sold_quantity_0,unit_price_0,trading_price_1,sold_quantity_1,unit_price_1,trading_price_2,sold_quantity_2,unit_price_2,trading_price_3,sold_quantity_3,unit_price_3,trading_price_4,sold_quantity_4,unit_price_4,spot_market_quantity_00Dec@0,spot_market_loss_00Dec@0,balance_00Dec@0,inventory_00Dec@0_input,inventory_00Dec@0_output,productivity_00Dec@0,assets_00Dec@0,bankrupt_00Dec@0,score_00Dec@0,spot_market_quantity_01Dec@0,spot_market_loss_01Dec@0,balance_01Dec@0,inventory_01Dec@0_input,inventory_01Dec@0_output,productivity_01Dec@0,assets_01Dec@0,bankrupt_01Dec@0,score_01Dec@0,spot_market_quantity_02Dec@1,spot_market_loss_02Dec@1,balance_02Dec@1,inventory_02Dec@1_input,inventory_02Dec@1_output,productivity_02Dec@1,assets_02Dec@1,bankrupt_02Dec@1,score_02Dec@1,spot_market_quantity_03Buy@1,spot_market_loss_03Buy@1,balance_03Buy@1,inventory_03Buy@1_input,inventory_03Buy@1_output,productivity_03Buy@1,assets_03Buy@1,bankrupt_03Buy@1,score_03Buy@1,spot_market_quantity_04Dec@2,spot_market_loss_04Dec@2,balance_04Dec@2,inventory_04Dec@2_input,inventory_04Dec@2_output,productivity_04Dec@2,assets_04Dec@2,bankrupt_04Dec@2,score_04Dec@2,spot_market_quantity_05MyA@2,spot_market_loss_05MyA@2,balance_05MyA@2,inventory_05MyA@2_input,inventory_05MyA@2_output,productivity_05MyA@2,assets_05MyA@2,bankrupt_05MyA@2,score_05MyA@2,spot_market_quantity_06Ind@3,spot_market_loss_06Ind@3,balance_06Ind@3,inventory_06Ind@3_input,inventory_06Ind@3_output,productivity_06Ind@3,assets_06Ind@3,bankrupt_06Ind@3,score_06Ind@3,spot_market_quantity_07Dec@3,spot_market_loss_07Dec@3,balance_07Dec@3,inventory_07Dec@3_input,inventory_07Dec@3_output,productivity_07Dec@3,assets_07Dec@3,bankrupt_07Dec@3,score_07Dec@3,productivity,market_size,production_failures,bankruptcy,n_contracts_executed,n_contracts_erred,n_contracts_nullified,n_contracts_cancelled,n_breaches,breach_level,n_contracts_signed,n_contracts_concluded,n_negotiations,n_negotiation_rounds_successful,n_negotiation_rounds_failed,n_negotiation_successful,n_negotiation_failed,n_registered_negotiations_after,activity_level,step_time,total_time
10,23,0,0,0,10.000000000000002,20,10.0,30.730020616472572,16,22.0,28.097382667383712,35,26.142857142857142,47.68519328923701,4,58.0,46.0,20,46.0,0,0.7130000000000001,66881,6,19,1.0,643.8703917129789,False,0.028747572841278143,0,0.5150000000000001,66892,3,15,1.0,490.95030924708857,False,0.02774550561995483,0,0.2,84897,48,46,1.0,2767.520592290334,False,-0.011459993628107342,35,1.657,80781.0,137,0,0.0,4210.012824456742,False,-0.05035452833688471,0,0.2,121185,118,39,1.0,5175.213693031521,False,-0.00856597261726215,0,0.2,124767,0,10,0.0,476.85193289237014,False,0.001309062386425931,10,0.6960000000000002,151352,0,2,0.2,92.0,False,-0.0067312234293812,8,0.7570000000000001,151057,0,2,0.2,92.0,False,-0.008666614181493728,0.55,847812,0.0,0.0,12,0,0,16,9,9.0,13,29,21,194.0,36.0,13,10,21,876,2.176745734002907,44.0348509978503
11,21,0,0,0,10.000000000000002,20,10.0,29.797934996082297,10,12.0,27.226248896365444,51,24.58823529411765,52.29784609690394,26,60.0,46.0,20,46.0,0,0.7130000000000001,66731,11,29,1.0,974.1401148863866,False,0.028979258437706813,0,0.5150000000000001,66962,0,13,0.8,387.3731549490699,False,0.028024287446988722,0,0.2,84837,48,52,1.0,2846.0658224229537,False,-0.011697472402797051,47,2.0920000000000005,79539.0,137,0,0.0,4082.3170944632748,False,-0.06531595023852114,0,0.2,121491,159,23,1.0,5531.824034750896,False,-0.00468662775848313,0,0.2,124767,0,10,0.0,522.9784609690394,False,0.001493802009616255,7,0.756,150569,3,10,1.0,616.8935382907118,False,-0.0101463892225283,9,0.839,150222,3,10,1.0,616.8935382907118,False,-0.012422933598742018,0.725,845118,0.0,0.0,12,0,0,15,12,10.666666666666666,10,25,22,153.0,45.0,11,10,22,1940,2.201642088009976,46.236493085860275
12,22,0,0,0,10.000000000000002,20,10.0,29.660517026020653,24,28.625,26.598929842662304,10,15.0,53.184827288816564,14,57.142857142857146,45.99999999999999,20,46.0,0,0.7130000000000001,66691,11,34,1.0,1118.4575788847023,False,0.029471546719362415,6,0.5750000000000001,67327,0,10,1.0,296.60517026020653,False,0.032916993266438675,0,0.2,84852,43,57,1.0,2791.5412331506395,False,-0.01183796454468534,5,2.095,78817.0,156,0,0.0,4627.040656059222,False,-0.07046756650325257,0,0.2,122141,159,19,1.0,5239.74156347082,False,-0.0006498551630427643,0,0.2,124767,0,10,0.0,531.8482728881656,False,0.0015293261598186688,0,0.7490000000000001,150150,6,13,1.0,917.1089637328993,False,-0.011910496497490885,3,0.8600000000000001,150592,0,4,0.4,183.99999999999997,False,-0.01141552511415525,0.675,845337,0.0,0.0,18,0,0,13,5,4.222222222222221,12,25,25,132.0,69.0,9,13,25,2159,2.499949814984575,48.73644290084485
13,25,0,0,0,10.000000000000002,20,10.0,29.660517026020653,0,,26.598929842662304,0,,54.77811917642129,21,60.0,46.0,20,46.0,0,0.7130000000000001,66611,9,44,1.0,1395.0627491449088,False,0.03036404706578578,0,0.5690000000000001,67207,2,20,1.0,613.2103405204131,False,0.03350333211267069,0,0.2,84852,33,67,1.0,2760.925361317056,False,-0.012013351351857457,0,2.0900000000000003,78817.0,156,0,0.0,4627.040656059222,False,-0.07046756650325257,2,0.22000000000000003,123307,149,10,1.0,4511.0217383208965,False,0.0057713819801064915,0,0.2,124767,0,10,0.0,547.781191764213,False,0.0015931384941134585,0,0.7490000000000001,150518,0,11,0.6,506.0,False,-0.010844748858447488,8,0.9370000000000003,149398,11,10,1.0,1062.559310940634,False,-0.016366978589524555,0.7,845477,0.0,0.0,11,0,0,15,5,3.761904761904762,11,26,31,132.0,108.0,9,16,31,706,2.7623959449701943,51.498838845815044
14,31,0,0,0,10.000000000000002,20,10.0,28.302663984741773,54,23.666666666666668,26.005729549336905,9,14.444444444444445,54.77811917642129,0,,46.0,20,46.0,0,0.7130000000000001,66741,8,32,1.0,985.6852475117367,False,0.029220706065914644,12,0.6890000000000001,67843,3,10,1.0,313.02663984741775,False,0.040941650515479565,0,0.2,84274,40,77,1.0,3134.5477346886128,False,-0.016495298319859887,9,2.18,77916.0,193,0,0.0,5462.414149055162,False,-0.07600500596318116,0,0.21800000000000003,123177,148,20,1.0,4944.410356830288,False,0.006465814216490771,0,0.2,124767,0,10,0.0,547.781191764213,False,0.0015931384941134585,2,0.7690000000000001,151006,0,0,0.0,0.0,False,-0.009302996903374796,0,0.9290000000000003,149720,1,13,1.0,652.7781191764213,False,-0.015598665173540935,0.625,845444,0.0,0.0,17,0,0,15,4,3.8,13,28,37,222.0,126.0,14,17,37,1826,4.9738143449649215,56.472653190779965
15,37,0,0,0,10.000000000000002,20,10.0,29.14636221348873,41,33.5609756097561,25.81111183321509,9,22.22222222222222,54.77811917642129,0,,45.99999999999999,20,46.0,0,0.7130000000000001,66601,12,42,1.0,1344.1472129665267,False,0.029821256892204516,31,0.9870000000000003,68018,0,9,0.9,262.31725992139854,False,0.04323243214635592,0,0.2,83730,46,87,1.0,3586.2993913101946,False,-0.020140125621210824,9,2.261000000000001,76950.0,218,0,0.0,6353.906962540543,False,-0.08196568003035853,0,0.21800000000000003,122977,147,30,1.0,5437.577014775257,False,0.0068389524950547426,0,0.2,124767,0,10,0.0,547.781191764213,False,0.0015931384941134585,11,0.8770000000000002,150812,0,0,0.0,0.0,False,-0.010575762347136934,0,0.9290000000000003,150134,0,5,0.1,229.99999999999997,False,-0.014269406392694063,0.5,843989,0.0,0.0,13,0,0,18,9,8.375,12,30,43,240.0,171.0,15,22,43,614,4.259184007009026,60.73183719778899
16,43,0,0,0,10.000000000000002,20,10.0,29.790207652080717,48,32.875,26.278549161279447,5,41.0,54.77811917642129,0,,45.99999999999999,20,46.0,6,0.7730000000000001,67913,13,10,1.0,427.9020765208072,False,0.04289247666682596,0,0.9560000000000004,67928,0,18,0.9,536.2237377374529,False,0.04395119584950214,0,0.2,83221,57,92,1.0,4115.66835900631,False,-0.022939308904536392,0,2.2520000000000007,76086.0,245,0,0.0,7298.600874759775,False,-0.08645294580286786,0,0.21800000000000003,122977,137,40,1.0,5791.286002152136,False,0.008255579060541059,0,0.2,124562,0,15,0.5,821.6717876463193,False,0.0010480118375478928,8,0.9460000000000002,150693,0,0,0.0,0.0,False,-0.011356479294599276,7,0.9990000000000003,150267,0,0,0.0,0.0,False,-0.014151314753582113,0.55,843647,0.0,0.0,11,0,0,16,7,6.095238095238095,16,32,43,291.0,183.0,17,26,43,1719,2.663130686036311,63.3949678838253
17,43,0,0,0,10.000000000000002,20,10.0,30.280790402478804,33,34.0,26.765296214647872,5,41.0,54.77811917642129,0,,46.0,20,46.0,23,0.9970000000000001,68182,15,10,1.0,452.80790402478806,False,0.047200978982202706,0,0.9560000000000004,67848,0,26,0.8,787.3005504644489,False,0.04464830118993076,0,0.2,83426,47,97,1.0,4019.4308817373476,False,-0.02114188149919597,0,2.2520000000000007,74964.0,278,0,0.0,8418.059731889107,False,-0.09289501877906355,0,0.21800000000000003,122772,132,50,1.0,6271.925059154584,False,0.00853849289163331,0,0.2,124562,0,15,0.0,821.6717876463193,False,0.0010480118375478928,10,1.0380000000000003,150533,0,0,0.0,0.0,False,-0.012406182753372172,10,1.0920000000000003,150093,0,0,0.0,0.0,False,-0.015292867264997638,0.475,842380,0.0,0.0,9,0,0,15,9,8.444444444444445,15,30,43,240.0,179.0,14,29,43,405,2.5289423569920473,65.92391024081735
18,43,0,0,0,10.000000000000002,20,10.0,30.280790402478804,0,,26.67664316424312,40,26.375,47.742424159370486,28,27.428571428571427,46.0,20,46.0,0,0.9740000000000002,68052,18,20,1.0,785.6158080495761,False,0.04775825341025309,0,0.9560000000000002,67778,0,33,0.7,999.2660832818005,False,0.04519912807716653,0,0.2,83631,37,102,1.0,3841.4068476445136,False,-0.01981297849678332,35,2.6020000000000003,74239.0,278,0,0.0,8418.059731889107,False,-0.10120152305834541,0,0.21800000000000003,122485,162,32,1.0,5849.373765707242,False,0.0045472427777000085,0,0.2,124562,0,15,0.0,716.1363623905573,False,0.0006253358741071257,11,1.1380000000000001,150145,0,9,0.9,414.0,False,-0.013593659791109011,9,1.1720000000000002,149379,9,10,1.0,889.6818174343343,False,-0.01705872494674618,0.7,840271,0.0,0.0,12,0,0,17,11,11.0,15,32,39,276.0,150.0,17,26,39,1173,2.7445442939642817,68.66845453478163
19,39,0,0,0,10.000000000000002,20,10.0,30.42101416247037,22,32.04545454545455,26.590665603350377,40,26.25,47.742424159370486,0,,45.99999999999999,20,46.0,0,0.9740000000000002,67902,23,30,1.0,1142.6304248741112,False,0.048194645425749,0,0.9560000000000004,68433,0,16,0.5,486.73622659952593,False,0.05130299446306558,0,0.2,83836,27,107,1.0,3666.5686019451905,False,-0.018465825311664723,35,2.9170000000000007,72804.0,300,0,0.0,9126.304248741111,False,-0.1135854066249178,0,0.21800000000000003,121435,192,42,1.0,7110.589610536833,False,0.001187859897057259,0,0.2,124562,0,15,0.0,716.1363623905573,False,0.0006253358741071257,2,1.147,150541,0,0,0.0,0.0,False,-0.012353697580433528,0,1.1630000000000003,149793,0,10,0.9,459.99999999999994,False,-0.01575211252821078,0.55,839306,0.0,0.0,19,0,0,19,4,3.4,14,33,31,213.0,109.0,16,23,31,1800,4.112260019988753,72.78071455477038
20,31,0,0,0,10.000000000000002,20,10.0,30.627927121487797,23,32.869565217391305,26.224027285145088,29,23.96551724137931,47.742424159370486,0,,45.99999999999999,20,46.0,0,0.9740000000000002,68172,20,30,1.0,1118.837813644634,False,0.052145716139645165,0,0.9560000000000004,68719,3,13,1.0,428.16305257934135,False,0.05523278264507715,0,0.2,83836,17,117,1.0,3588.885953427268,False,-0.01891083996845096,29,3.1720000000000006,71477.0,323,0,0.0,9892.820460240559,False,-0.12439809087750736,0,0.21800000000000003,120740,211,52,1.0,8015.875813452879,False,-0.0007534491058583002,0,0.2,124562,0,15,0.0,716.1363623905573,False,0.0006253358741071257,11,1.2550000000000001,150350,0,0,0.0,0.0,False,-0.013606781084343673,0,1.1630000000000003,150207,0,1,0.0,45.99999999999999,False,-0.014394058678423345,0.5,838063,0.0,0.0,13,0,0,19,7,7.0,11,30,31,192.0,110.0,14,17,31,1370,2.6100863550091162,75.3908009097795
21,31,0,0,0,10.000000000000002,20,10.0,30.9959631192593,38,33.36842105263158,26.423048601498742,9,30.555555555555557,47.742424159370486,0,,45.99999999999999,20,46.0,0,0.9740000000000002,68102,17,40,1.0,1409.838524770372,False,0.05330148124585052,25,1.2060000000000004,69027,6,10,1.0,369.959631192593,False,0.05950217857782308,0,0.2,84051,7,122,1.0,3440.5836712176615,False,-0.01729709976273377,4,3.1830000000000007,70133.0,361,0,0.0,11189.542686052608,False,-0.1323681976257569,0,0.21800000000000003,120680,205,62,1.0,8376.755261188213,False,0.0002112881129275338,0,0.2,124347,0,20,0.5,954.8484831874098,False,-0.0001407840182494336,9,1.3340000000000003,150211,0,0,0.0,0.0,False,-0.014518710964152626,10,1.2630000000000001,150082,0,0,0.0,0.0,False,-0.015365034377788274,0.5625,836633,0.0,0.0,9,0,0,18,11,10.666666666666666,13,31,26,225.0,78.0,15,16,26,857,2.2395297290058807,77.63033063878538
22,26,0,0,0,10.000000000000002,20,10.0,31.13114699422304,12,34.0,25.530079558661665,14,14.285714285714286,48.279414213236564,5,58.8,46.0,20,46.0,0,0.9740000000000002,68002,17,50,1.0,1726.557349711152,False,0.05419485150946163,2,1.201,69283,6,10,1.0,371.3114699422304,False,0.06343139280476268,0,0.2,84051,0,129,0.7,3293.380263067355,False,-0.018140372686682407,14,3.3190000000000017,69364.0,373,0,0.0,11611.917828845195,False,-0.13875919255711316,0,0.21800000000000003,120774,209,67,1.0,8570.507380047138,False,0.0017402291698592769,0,0.2,124347,0,20,0.0,965.5882842647313,False,-9.77704447833017e-05,11,1.4350000000000003,149838,0,3,0.3,138.0,False,-0.01651314753582113,9,1.3430000000000002,149815,0,2,0.2,92.0,False,-0.016814937280218337,0.525,835474,0.0,0.0,11,0,0,15,12,11.166666666666668,13,28,32,159.0,84.0,13,13,32,494,2.562052641005721,80.1923832797911
23,32,0,0,0,10.000000000000002,20,10.0,31.63394246086686,51,34.0,25.289749908492283,4,15.0,48.279414213236564,0,,46.0,20,46.0,1,0.9840000000000002,69600,18,10,1.0,496.33942460866865,False,0.06924102123695892,0,1.1990000000000003,69193,5,20,1.0,682.6788492173372,False,0.06443688365263939,0,0.2,83473,7,139,1.0,3736.7128345064957,False,-0.02222297616602411,4,3.3450000000000006,68132.0,407,0,0.0,12875.014581572812,False,-0.14563871528985223,0,0.21800000000000003,120714,203,77,1.0,8851.334125843148,False,0.0023843503221798795,0,0.2,124347,0,20,0.0,965.5882842647313,False,-9.77704447833017e-05,1,1.4340000000000002,149967,0,0,0.0,0.0,False,-0.016119508738781294,14,1.4740000000000002,149606,0,0,0.0,0.0,False,-0.018487902167637644,0.5,835032,0.0,0.0,12,0,0,18,8,6.358823529411765,12,30,34,234.0,132.0,13,19,34,1494,2.7284545279690064,82.92083780776011
24,34,0,0,0,10.000000000000002,20,10.0,31.429830250100455,22,29.0,25.289749908492283,0,,49.82749803715201,20,57.0,46.0,20,46.0,12,1.1030000000000002,69816,15,10,1.0,464.2983025010046,False,0.07230232148871797,0,1.1990000000000003,69063,8,30,1.0,1022.8949075030137,False,0.06505086037124386,0,0.2,82835,19,149,1.0,4365.339511117259,False,-0.02593153429086939,0,3.341000000000001,68132.0,407,0,0.0,12791.940911790885,False,-0.14611461307850002,0,0.21800000000000003,121854,193,67,1.0,8219.364100828196,False,0.008984813207206649,0,0.2,124347,0,20,0.0,996.5499607430402,False,2.6233001486093686e-05,12,1.5530000000000004,148614,10,10,1.0,958.2749803715201,False,-0.021852611857806098,8,1.5400000000000003,149501,0,0,0.0,0.0,False,-0.019176770062457354,0.625,834162,0.0,0.0,10,0,0,11,8,7.411764705882353,18,29,41,234.0,152.0,13,21,41,1340,3.052873148000799,85.97371095576091
