index,n_registered_negotiations_before,n_contracts_dropped,n_contracts_nullified_now,n_bankrupt,trading_price_0,sold_quantity_0,unit_price_0,trading_price_1,sold_quantity_1,unit_price_1,trading_price_2,sold_quantity_2,unit_price_2,trading_price_3,sold_quantity_3,unit_price_3,trading_price_4,sold_quantity_4,unit_price_4,spot_market_quantity_00Ran@0,spot_market_loss_00Ran@0,balance_00Ran@0,inventory_00Ran@0_input,inventory_00Ran@0_output,productivity_00Ran@0,assets_00Ran@0,bankrupt_00Ran@0,score_00Ran@0,spot_market_quantity_01Ran@0,spot_market_loss_01Ran@0,balance_01Ran@0,inventory_01Ran@0_input,inventory_01Ran@0_output,productivity_01Ran@0,assets_01Ran@0,bankrupt_01Ran@0,score_01Ran@0,spot_market_quantity_02Dec@1,spot_market_loss_02Dec@1,balance_02Dec@1,inventory_02Dec@1_input,inventory_02Dec@1_output,productivity_02Dec@1,assets_02Dec@1,bankrupt_02Dec@1,score_02Dec@1,spot_market_quantity_03Dec@1,spot_market_loss_03Dec@1,balance_03Dec@1,inventory_03Dec@1_input,inventory_03Dec@1_output,productivity_03Dec@1,assets_03Dec@1,bankrupt_03Dec@1,score_03Dec@1,spot_market_quantity_04MyA@2,spot_market_loss_04MyA@2,balance_04MyA@2,inventory_04MyA@2_input,inventory_04MyA@2_output,productivity_04MyA@2,assets_04MyA@2,bankrupt_04MyA@2,score_04MyA@2,spot_market_quantity_05Ind@2,spot_market_loss_05Ind@2,balance_05Ind@2,inventory_05Ind@2_input,inventory_05Ind@2_output,productivity_05Ind@2,assets_05Ind@2,bankrupt_05Ind@2,score_05Ind@2,spot_market_quantity_06Buy@3,spot_market_loss_06Buy@3,balance_06Buy@3,inventory_06Buy@3_input,inventory_06Buy@3_output,productivity_06Buy@3,assets_06Buy@3,bankrupt_06Buy@3,score_06Buy@3,spot_market_quantity_07Dec@3,spot_market_loss_07Dec@3,balance_07Dec@3,inventory_07Dec@3_input,inventory_07Dec@3_output,productivity_07Dec@3,assets_07Dec@3,bankrupt_07Dec@3,score_07Dec@3,productivity,market_size,production_failures,bankruptcy,n_contracts_executed,n_contracts_erred,n_contracts_nullified,n_contracts_cancelled,n_breaches,breach_level,n_contracts_signed,n_contracts_concluded,n_negotiations,n_negotiation_rounds_successful,n_negotiation_rounds_failed,n_negotiation_successful,n_negotiation_failed,n_registered_negotiations_after,activity_level,step_time,total_time
10,27,0,0,0,10.000000000000002,20,10.0,5.003238211927091,14,3.0,38.76017972593828,15,44.0,36.4750071749737,5,55.0,47.0,20,47.0,10,0.8490000000000002,56654,115,0,0.0,1150.0000000000002,False,-0.03842664157537469,4,1.0320000000000003,56239,105,0,0.0,1050.0000000000002,False,-0.046239666644263724,0,0.2,100468,7,49,1.0,1934.2714740544652,False,0.020566608013071915,0,0.2,100346,0,51,0.5,1976.7691660228522,False,0.019552923131988104,0,0.2,130339,0,0,0.0,0.0,False,0.0,0,0.47900000000000004,128639,10,15,1.0,934.7269048839883,False,-0.009457158237810705,11,0.8230000000000002,152339,43,0,0.0,1568.425308523869,False,-0.011719369208127476,7,0.6840000000000002,154242,0,0,0.0,0.0,False,-0.00449854458851548,0.3125,879266,0.0,0.0,10,0,0,14,11,10.333333333333332,17,31,32,241.0,144.0,17,10,32,1135,7.53885224199621,134.2659513570252
11,32,0,0,0,10.000000000000002,20,10.0,4.636940344225643,20,2.5,39.12710826583904,5,44.0,36.06352059445745,31,35.064516129032256,47.0,20,47.0,15,0.9890000000000003,56169,126,0,0.0,1260.0000000000002,False,-0.045651589488540895,5,1.078,56044,114,0,0.0,1140.0000000000002,False,-0.04875999731164729,0,0.2,100648,12,54,1.0,2168.507130486016,False,0.023555991641526986,0,0.2,100336,0,56,0.5,2191.118062886986,False,0.020530621801204293,0,0.2,130339,0,0,0.0,0.0,False,0.0,16,0.639,128653,5,10,1.0,556.2707472737698,False,-0.010801560748226616,13,0.942,151532,64,0,0.0,2308.065318045277,False,-0.014540995753021303,7,0.7470000000000001,153614,0,10,1.0,470.0,False,-0.007035026687922344,0.4375,877335,0.0,0.0,9,0,0,14,14,13.142857142857142,18,32,29,308.0,166.0,20,12,29,573,6.245843201002572,140.51179455802776
12,29,0,0,0,10.000000000000002,20,10.0,4.51724158172627,13,3.3846153846153846,39.6232671955743,5,46.0,34.42381147343577,9,17.0,46.99999999999999,20,47.0,8,1.054,55893,136,0,0.0,1360.0000000000002,False,-0.04944888769406546,5,1.1230000000000002,55849,124,0,0.0,1240.0000000000002,False,-0.05119631695678473,0,0.2,100636,6,64,1.0,2562.9925500071126,False,0.02541976914412334,0,0.2,100534,0,60,0.9,2377.396031734458,False,0.023459850649125404,0,0.2,130339,0,0,0.0,0.0,False,0.0,0,0.623,128576,0,11,1.0,378.66192620779344,False,-0.012073662042029623,6,0.9890000000000003,151305,73,0,0.0,2512.938237560811,False,-0.01534494789058663,4,0.7800000000000002,154042,0,0,0.0,0.0,False,-0.00578937517345536,0.3625,877174,0.0,0.0,11,0,0,13,7,6.5,17,30,32,264.0,147.0,17,12,32,1006,7.387315216998104,147.89910977502586
13,32,0,0,0,10.000000000000002,20,10.0,4.379211989777594,5,1.0,39.6232671955743,0,,35.17755597151999,17,39.35294117647059,47.0,20,47.0,2,1.066,55759,145,0,0.0,1450.0000000000002,False,-0.05094428389004638,3,1.1480000000000004,55673,135,0,0.0,1350.0000000000002,False,-0.053229383695140804,0,0.2,100631,1,74,1.0,2936.500984462276,False,0.027248447970451395,0,0.2,100534,0,60,0.0,2377.396031734458,False,0.023459850649125404,0,0.2,130339,0,0,0.0,0.0,False,0.0,6,0.683,128987,0,0,0.0,0.0,False,-0.010372950536677434,11,1.0930000000000002,150439,90,0,0.0,3165.980037436799,False,-0.018826828502065907,9,0.8660000000000001,153909,0,0,0.0,0.0,False,-0.00664777751244038,0.125,876271,0.0,0.0,8,0,0,17,10,9.6,18,35,30,345.0,129.0,22,10,30,319,6.168962803960312,154.06807257898618
14,30,0,0,0,10.000000000000002,20,10.0,4.098552913988328,12,1.4166666666666667,40.0967760042858,5,46.0,35.17755597151999,0,,47.0,20,47.0,11,1.1740000000000002,55403,153,0,0.0,1530.0000000000002,False,-0.05625378049600108,1,1.1550000000000002,55531,147,0,0.0,1470.0000000000002,False,-0.054607164459977146,0,0.2,100858,0,73,0.4,2927.0646483128635,False,0.029484886198513274,0,0.2,100520,0,69,0.9,2766.67754429572,False,0.025277326640720636,0,0.2,130339,0,0,0.0,0.0,False,0.0,0,0.6770000000000002,128757,0,5,0.5,175.88777985759998,False,-0.011462847728394364,8,1.1620000000000001,150318,90,0,0.0,3165.980037436799,False,-0.019607781005954537,12,0.9770000000000001,153687,0,0,0.0,0.0,False,-0.008080599461723646,0.225,875413,0.0,0.0,8,0,0,9,11,11.0,21,30,25,251.0,120.0,17,13,25,430,6.310809587012045,160.37888216599822
15,25,0,0,0,10.000000000000002,20,10.0,3.7763059128572922,28,2.4642857142857144,41.135756207848836,15,45.333333333333336,35.17755597151999,0,,46.99999999999999,20,47.0,5,1.2130000000000003,55218,162,0,0.0,1620.0000000000002,False,-0.058606089118892396,23,1.3840000000000003,54736,158,0,0.0,1580.0000000000002,False,-0.06704079575240271,0,0.2,101063,1,78,1.0,3212.3652901250666,False,0.032982691039053214,0,0.2,100926,7,69,1.0,2864.801319731571,False,0.029855828594800203,0,0.2,130339,0,0,0.0,0.0,False,0.0,0,0.6770000000000002,128077,5,15,1.0,733.3421206120441,False,-0.0145415335371146,7,1.2240000000000002,150231,90,0,0.0,3165.980037436799,False,-0.020169292310403382,13,1.0950000000000002,153434,0,0,0.0,0.0,False,-0.009713500151672595,0.375,874024,0.0,0.0,10,0,0,15,14,14.0,15,30,24,294.0,93.0,19,6,24,880,6.496752225968521,166.87563439196674
16,24,0,0,0,10.000000000000002,20,10.0,3.577586569189388,18,2.1666666666666665,41.630910144046155,10,45.0,32.02419922270779,21,17.0,46.99999999999999,20,47.0,17,1.3780000000000003,54711,167,0,0.0,1670.0000000000002,False,-0.06670475166341824,1,1.3710000000000002,54569,173,0,0.0,1730.0000000000002,False,-0.0685865985617313,0,0.2,101498,1,78,1.0,3250.7885778047894,False,0.037552638457228414,0,0.2,100902,5,79,1.0,3306.729834225593,False,0.031837539788439506,0,0.2,130339,0,0,0.0,0.0,False,0.0,6,0.7370000000000001,127726,5,10,1.0,528.3965429473087,False,-0.0180207131290431,7,1.2870000000000001,149784,111,0,0.0,3554.686113720565,False,-0.02179991443819637,13,1.2120000000000004,153173,0,0,0.0,0.0,False,-0.011398034065019137,0.375,872702,0.0,0.0,9,0,0,9,12,11.5,17,26,25,205.0,115.0,13,11,25,803,6.178072498994879,173.05370689096162
17,25,0,0,0,10.000000000000002,20,10.0,3.511341097370494,17,3.0,42.04782171216247,15,44.0,33.03235871689184,5,55.0,46.99999999999999,20,47.0,12,1.4810000000000005,54331,176,0,0.0,1760.0000000000002,False,-0.07233349015390819,5,1.4200000000000004,54359,184,0,0.0,1840.0000000000002,False,-0.07119094025136098,0,0.2,101699,0,83,1.0,3489.9692021094847,False,0.04077818515816068,0,0.2,101310,3,79,1.0,3332.3119385529467,False,0.036071233504809,0,0.2,130339,0,0,0.0,0.0,False,0.0,0,0.7310000000000001,127341,10,15,1.0,915.9635978750023,False,-0.019487783403758657,9,1.37,149369,116,0,0.0,3831.7536111594536,False,-0.023584269902479516,11,1.3090000000000002,152972,0,0,0.0,0.0,False,-0.012695318802883715,0.375,871720,0.0,0.0,10,0,0,14,12,12.0,14,28,33,241.0,117.0,16,9,33,1135,6.510503060009796,179.56420995097142
18,33,0,0,0,10.000000000000002,20,10.0,3.375434597244923,11,1.7272727272727273,42.16727444345265,5,44.0,31.77774631795157,24,26.416666666666668,47.0,20,47.0,9,1.559,54041,184,0,0.0,1840.0000000000002,False,-0.07653404126621413,2,1.4350000000000003,54195,196,0,0.0,1960.0000000000005,False,-0.07293836951408025,0,0.2,101694,0,88,0.5,3710.720151023833,False,0.04183839659035437,0,0.2,101516,0,83,0.9,3499.88377880657,False,0.03898684880324462,0,0.2,130339,0,0,0.0,0.0,False,0.0,9,0.8210000000000002,127325,5,10,1.0,528.613835396779,False,-0.02109647214035412,12,1.481,148794,135,0,0.0,4289.9957529234625,False,-0.025816625404438256,8,1.3780000000000003,152585,0,5,0.5,235.0,False,-0.014434713016090204,0.3625,870489,0.0,0.0,10,0,0,11,12,11.8,21,32,26,269.0,162.0,18,15,26,658,6.469330895983148,186.03354084695457
19,26,0,0,0,10.000000000000002,20,10.0,3.214864317587803,18,2.0555555555555554,42.16727444345265,0,,31.77774631795157,0,,47.0,20,47.0,14,1.6900000000000002,53611,194,0,0.0,1940.0000000000005,False,-0.08291887895691914,4,1.473,54005,206,0,0.0,2060.0000000000005,False,-0.07529067813697157,0,0.2,101691,0,91,0.3,3837.221974354191,False,0.04244459747036542,0,0.2,101482,5,93,1.0,3937.630844829035,False,0.04084691191772405,0,0.2,130339,0,0,0.0,0.0,False,0.0,0,0.812,127325,0,15,0.5,476.66619476927355,False,-0.021295751099942216,9,1.5590000000000004,148665,135,0,0.0,4289.9957529234625,False,-0.02664921113172448,6,1.4300000000000004,152744,0,0,0.0,0.0,False,-0.014166865669715178,0.225,869862,0.0,0.0,6,0,0,11,9,8.166666666666668,19,30,24,255.0,150.0,16,10,24,200,6.062420664995443,192.09596151195
20,24,0,0,0,10.000000000000002,20,10.0,3.3254208537804013,7,5.428571428571429,42.38665197884907,10,44.0,31.240409624192086,5,19.0,47.00000000000001,20,47.0,2,1.6960000000000002,53471,205,0,0.0,2050.0000000000005,False,-0.08434706633510317,5,1.5190000000000003,53818,215,0,0.0,2150.0000000000005,False,-0.07767659116876134,0,0.2,101653,0,98,0.7,4153.891893927209,False,0.043655320370693584,0,0.2,101922,0,88,0.5,3730.0253741387187,False,0.04422948443087769,0,0.2,130339,0,0,0.0,0.0,False,0.0,0,0.812,126980,0,20,1.0,624.8081924838417,False,-0.023374399863111395,7,1.6200000000000006,148479,140,0,0.0,4373.657347386892,False,-0.027579701213423097,13,1.554,152532,0,0,0.0,0.0,False,-0.01553514608975145,0.275,869194,0.0,0.0,9,0,0,12,7,7.0,11,23,23,204.0,117.0,12,12,23,735,5.342349658021703,197.4383111699717
21,23,0,0,0,10.000000000000002,20,10.0,3.3888452499433126,18,3.8333333333333335,40.016411361405815,13,26.307692307692307,29.269932400257396,18,17.555555555555557,47.0,20,47.0,9,1.784,53169,216,0,0.0,2160.0000000000005,False,-0.08849721083406142,9,1.6040000000000003,53535,224,0,0.0,2240.0000000000005,False,-0.0816755158276766,0,0.2,101868,0,98,0.5,3921.6083134177698,False,0.04464995982240726,0,0.2,101980,3,90,1.0,3611.6435582763534,False,0.044217502380881325,0,0.2,130339,0,0,0.0,0.0,False,0.0,0,0.812,126954,3,12,1.0,471.2884228873062,False,-0.024162804598442136,13,1.7430000000000003,147908,158,0,0.0,4624.649319240669,False,-0.03045505224881841,7,1.6110000000000002,152441,0,0,0.0,0.0,False,-0.016122474005899095,0.3125,868194,0.0,0.0,14,0,0,11,10,10.0,15,26,29,217.0,107.0,14,9,29,858,5.258280138019472,202.69659130799118
22,29,0,0,0,10.000000000000002,20,10.0,3.3569422447693826,20,3.15,40.818187618788436,20,44.0,30.364753480890354,5,55.0,47.0,20,47.0,9,1.8650000000000002,52889,225,0,0.0,2250.0000000000005,False,-0.09244572887962901,11,1.7050000000000003,53169,235,0,0.0,2350.0000000000005,False,-0.08690100141138517,0,0.2,102703,3,88,1.0,3602.0713371876905,False,0.051443648505335955,0,0.2,101962,0,100,1.0,4081.8187618788434,False,0.04640168004084299,0,0.2,130339,0,0,0.0,0.0,False,0.0,0,0.812,126349,13,17,1.0,1046.8372482193856,False,-0.02659665469192114,11,1.8400000000000003,147444,163,0,0.0,4949.454817385128,False,-0.032401607027975135,9,1.694,152315,0,0,0.0,0.0,False,-0.01693569727441122,0.375,867170,0.0,0.0,12,0,0,17,12,12.0,17,34,28,302.0,70.0,21,8,28,1355,7.2970435229945,209.99363483098568
23,28,0,0,0,10.000000000000002,20,10.0,3.2093863205222783,9,1.0,40.98665839381703,5,44.0,29.630309633617404,9,21.0,46.99999999999999,20,47.0,9,1.9460000000000006,52571,235,0,0.0,2350.0000000000005,False,-0.09694871967202097,0,1.6940000000000004,53069,245,0,0.0,2450.0000000000005,False,-0.08774111163384636,0,0.2,102918,0,91,0.8,3729.7859138373497,False,0.0542493078540177,0,0.2,101958,0,104,0.4,4262.612472956971,False,0.04727094240402537,0,0.2,130339,0,0,0.0,0.0,False,0.0,0,0.812,126318,8,18,1.0,861.2388405556496,False,-0.02754647940924951,10,1.9290000000000003,147277,163,0,0.0,4829.740470279637,False,-0.03386577791814957,10,1.7850000000000004,151970,0,9,0.9,422.99999999999994,False,-0.01779732668985859,0.3875,866420,0.0,0.0,9,0,0,14,8,8.0,15,29,31,259.0,125.0,16,12,31,609,6.216114419978112,216.2097492509638
24,31,0,0,0,10.000000000000002,20,10.0,3.107716628323697,20,2.45,41.15408680141307,5,44.0,34.467182555967064,78,40.87179487179487,46.99999999999999,20,47.0,8,2.017000000000001,52338,240,0,0.0,2400.0000000000005,False,-0.10044357819745951,12,1.8140000000000003,52626,260,0,0.0,2600.0000000000005,False,-0.09392432287116069,0,0.2,103094,5,96,1.0,3966.3309160772733,False,0.05721006386935073,0,0.2,101953,0,109,0.5,4485.795461354025,False,0.048343388542996954,0,0.2,130339,0,0,0.0,0.0,False,0.0,60,1.4120000000000004,125086,3,10,1.0,468.13408596390985,False,-0.038506762803290205,13,2.0490000000000004,146481,173,0,0.0,5962.822582182302,False,-0.03534674103297975,0,1.7750000000000004,149661,58,12,1.0,2563.0965882460896,False,-0.02579371046590556,0.4375,861578,0.0,0.0,9,0,0,16,14,13.689655172413794,15,31,28,260.0,114.0,18,13,28,749,6.0448563659447245,222.25460561690852
25,28,0,0,0,10.000000000000002,20,10.0,3.0428006485399823,17,2.5294117647058822,41.23961102851983,17,41.64705882352941,34.467182555967064,0,,46.99999999999999,20,47.0,8,2.0890000000000004,52059,250,0,0.0,2500.0000000000005,False,-0.10429128301633174,9,1.8920000000000001,52324,270,0,0.0,2700.0000000000005,False,-0.09815847839236508,0,0.2,103314,6,99,1.0,4100.978295714704,False,0.06010090599608974,0,0.2,102398,0,105,0.6,4330.1591579945825,False,0.05203770541595608,0,0.2,130339,0,0,0.0,0.0,False,0.0,0,1.3520000000000003,124378,10,20,1.0,1101.7397614045396,False,-0.041508145062473446,13,2.1660000000000004,146220,173,0,0.0,5962.822582182302,False,-0.0370312749463263,0,1.7750000000000004,149990,48,15,1.0,2359.424762686419,False,-0.02432755870798694,0.45,861022,0.0,0.0,13,0,0,11,9,9.0,18,29,36,269.0,110.0,16,12,36,1237,6.050087657989934,228.30469327489845
