index,n_registered_negotiations_before,n_contracts_dropped,n_contracts_nullified_now,n_bankrupt,trading_price_0,sold_quantity_0,unit_price_0,trading_price_1,sold_quantity_1,unit_price_1,trading_price_2,sold_quantity_2,unit_price_2,trading_price_3,sold_quantity_3,unit_price_3,trading_price_4,sold_quantity_4,unit_price_4,spot_market_quantity_00Buy@0,spot_market_loss_00Buy@0,balance_00Buy@0,inventory_00Buy@0_input,inventory_00Buy@0_output,productivity_00Buy@0,assets_00Buy@0,bankrupt_00Buy@0,score_00Buy@0,spot_market_quantity_01Dec@0,spot_market_loss_01Dec@0,balance_01Dec@0,inventory_01Dec@0_input,inventory_01Dec@0_output,productivity_01Dec@0,assets_01Dec@0,bankrupt_01Dec@0,score_01Dec@0,spot_market_quantity_02Ind@1,spot_market_loss_02Ind@1,balance_02Ind@1,inventory_02Ind@1_input,inventory_02Ind@1_output,productivity_02Ind@1,assets_02Ind@1,bankrupt_02Ind@1,score_02Ind@1,spot_market_quantity_03Buy@1,spot_market_loss_03Buy@1,balance_03Buy@1,inventory_03Buy@1_input,inventory_03Buy@1_output,productivity_03Buy@1,assets_03Buy@1,bankrupt_03Buy@1,score_03Buy@1,spot_market_quantity_04MyA@2,spot_market_loss_04MyA@2,balance_04MyA@2,inventory_04MyA@2_input,inventory_04MyA@2_output,productivity_04MyA@2,assets_04MyA@2,bankrupt_04MyA@2,score_04MyA@2,spot_market_quantity_05Ran@2,spot_market_loss_05Ran@2,balance_05Ran@2,inventory_05Ran@2_input,inventory_05Ran@2_output,productivity_05Ran@2,assets_05Ran@2,bankrupt_05Ran@2,score_05Ran@2,spot_market_quantity_06Dec@3,spot_market_loss_06Dec@3,balance_06Dec@3,inventory_06Dec@3_input,inventory_06Dec@3_output,productivity_06Dec@3,assets_06Dec@3,bankrupt_06Dec@3,score_06Dec@3,spot_market_quantity_07Buy@3,spot_market_loss_07Buy@3,balance_07Buy@3,inventory_07Buy@3_input,inventory_07Buy@3_output,productivity_07Buy@3,assets_07Buy@3,bankrupt_07Buy@3,score_07Buy@3,productivity,market_size,production_failures,bankruptcy,n_contracts_executed,n_contracts_erred,n_contracts_nullified,n_contracts_cancelled,n_breaches,breach_level,n_contracts_signed,n_contracts_concluded,n_negotiations,n_negotiation_rounds_successful,n_negotiation_rounds_failed,n_negotiation_successful,n_negotiation_failed,n_registered_negotiations_after,activity_level,step_time,total_time
10,16,0,0,0,10.000000000000002,20,10.0,19.633978787179434,14,21.142857142857142,27.504226430274894,29,30.137931034482754,14.906690313491787,59,21.966101694915253,41.00000000000001,20,41.0,2,0.5890000000000001,20365,120,0,0.0,1200.0000000000002,False,-0.0551624678894948,0,0.38000000000000006,23362,0,15,0.9,294.5096818076915,False,0.05950042097002327,1,0.264,35016,0,7,0.7,192.52958501192427,False,0.032835180389044726,14,1.1860000000000004,30596,77,0,0.0,1511.8163666128164,False,-0.07777655655646522,0,0.2,46019,1,21,1.0,340.54472301360244,False,-0.00363966604454889,58,2.625000000000001,28641.0,151,0,0.0,4153.138190971509,False,-0.3373836426186256,0,0.35300000000000004,56730,35,12,1.0,1013.7341609722126,False,0.01302396560213276,12,0.8330000000000002,54226,168,0,0.0,2504.32397266662,False,-0.018103007268308335,0.45,294955,0.0,0.0,18,0,0,16,16,15.09090909090909,21,37,14,228.0,18.0,15,1,14,1061,1.2893965132534504,19.768407434225082
11,14,0,0,0,10.000000000000002,20,10.0,19.816236513922338,13,21.307692307692307,26.607746735508833,28,22.285714285714285,14.180078776537462,15,4.8,41.00000000000001,20,41.0,0,0.5870000000000002,20265,130,0,0.0,1300.0000000000002,False,-0.05741583667583037,0,0.38000000000000006,23539,0,12,1.0,237.79483816706806,False,0.06619935188983427,3,0.29300000000000004,35163,0,0,0.0,0.0,False,0.03432756794917049,18,1.3520000000000003,30010,90,0,0.0,1783.4612862530105,False,-0.0910186303351422,0,0.2,46019,0,22,0.1,311.9617330838242,False,-0.003947951452998158,15,2.717000000000001,27374.0,179,0,0.0,4762.786665656081,False,-0.3581389763831908,3,0.38300000000000006,57138,37,10,1.0,934.6629147318861,False,0.019545343575617147,5,0.871,54160,171,0,0.0,2424.793470787906,False,-0.01997492548107199,0.2625,293668,0.0,0.0,18,0,0,8,11,10.3,22,30,19,137.0,42.0,10,4,19,969,1.255538135766983,21.023945569992065
12,19,0,0,0,10.000000000000002,20,10.0,20.524379754471237,17,25.0,26.607746735508833,0,,12.94112547002077,23,2.8260869565217392,41.0,20,41.0,0,0.5870000000000002,20165,140,0,0.0,1400.0000000000002,False,-0.05966920546216594,5,0.43000000000000005,23759,0,10,1.0,205.24379754471238,False,0.07538067956069923,0,0.29000000000000004,35038,0,5,0.5,133.03873367754417,False,0.03260734694784012,0,1.3340000000000003,29710,102,0,0.0,2093.4867349560664,False,-0.09528346371696572,0,0.2,46019,0,22,0.0,284.70476034045697,False,-0.004241934937438524,23,2.9320000000000004,26200.0,179,0,0.0,4762.786665656081,False,-0.383463623693256,2,0.4,57484,39,10,1.0,914.70389333081,False,0.025492503613483007,8,0.9460000000000002,54031,182,0,0.0,2355.28483554378,False,-0.02287318069110481,0.3125,292406,0.0,0.0,16,0,0,10,10,9.4,22,32,27,173.0,76.0,12,7,27,787,1.5103268306702375,22.534272400662303
13,27,0,0,0,10.000000000000002,20,10.0,21.423366556022366,22,26.0,27.124987919914858,17,31.58823529411765,12.276988592083478,18,5.277777777777778,41.00000000000001,20,41.0,0,0.5870000000000002,20085,148,0,0.0,1480.0000000000002,False,-0.061471900491234396,12,0.5450000000000002,23959,2,10,1.0,234.23366556022364,False,0.08504740334310304,0,0.29000000000000004,34992,1,10,1.0,292.67324575517097,False,0.03360208915394708,12,1.4540000000000002,29304,113,0,0.0,2420.8404208305274,False,-0.1024114539823725,0,0.2,46019,0,22,0.0,270.09374902583653,False,-0.004399523825166783,18,3.0890000000000004,24828.0,196,0,0.0,5316.4976323033125,False,-0.40708725967143417,1,0.40800000000000003,57822,37,10,1.0,864.2485779070887,False,0.031028199305384727,9,1.0280000000000002,53870,192,0,0.0,2357.181809680028,False,-0.02570590069485472,0.375,290879,0.0,0.0,18,0,0,9,13,12.09090909090909,27,36,25,211.0,93.0,15,12,25,850,1.4850309249013662,24.01930332556367
14,25,0,0,0,10.000000000000002,20,10.0,22.182976848508584,24,26.0,26.629956161302182,11,20.0,12.43549168418184,33,13.333333333333334,41.00000000000001,20,41.0,0,0.5870000000000002,19965,160,0,0.0,1600.0000000000002,False,-0.06417594303483708,14,0.673,24167,0,10,1.0,221.82976848508585,False,0.09414191194927857,0,0.29000000000000004,34750,8,10,1.0,443.76337640109045,False,0.02870577974469198,1,1.4520000000000004,29111,120,0,0.0,2661.95722182103,False,-0.10454233995439124,0,0.2,46337,0,16,0.0,198.96786694690945,False,0.0016929965372418352,27,3.341000000000001,23111.0,207,0,0.0,5512.400925389552,False,-0.4420121562040042,1,0.41700000000000004,58164,42,10,1.0,932.2906507356374,False,0.03768332109817205,9,1.1090000000000002,53360,210,0,0.0,2611.4532536781867,False,-0.032482139664092746,0.375,288965,0.0,0.0,21,0,0,8,13,12.5,27,35,18,145.0,115.0,11,14,18,1347,2.3809052612632513,26.40020858682692
15,18,0,0,0,10.000000000000002,20,10.0,22.182976848508584,0,,27.182392129848033,18,31.555555555555557,11.378954523047668,32,4.84375,41.00000000000001,20,41.0,0,0.5870000000000002,19875,169,0,0.0,1690.0000000000002,False,-0.0662039749425391,0,0.6590000000000001,24057,1,20,1.0,453.6595369701717,False,0.09440848025981721,8,0.37000000000000005,35050,0,8,0.8,217.45913703878426,False,0.03420195224495204,0,1.4510000000000003,29111,120,0,0.0,2661.95722182103,False,-0.10454233995439124,0,0.2,46337,0,16,0.0,182.06327236876268,False,0.0015106699207122773,32,3.634000000000001,20715.0,225,0,0.0,6116.038229215807,False,-0.4871862652701172,0,0.41600000000000004,58574,32,10,1.0,774.1265447375254,False,0.043540172251265635,10,1.2000000000000002,53045,242,0,0.0,2753.7069945775356,False,-0.03679840184618388,0.35,286764,0.0,0.0,20,0,0,11,12,11.428571428571429,21,32,17,125.0,66.0,10,8,17,898,1.2264278791844845,27.626636466011405
16,17,0,0,0,10.000000000000002,20,10.0,22.45535001340046,10,26.0,27.182392129848033,0,,11.203823255277692,11,7.909090909090909,41.00000000000001,20,41.0,0,0.5870000000000002,19765,180,0,0.0,1800.0000000000002,False,-0.06868268060750822,0,0.6590000000000001,24227,0,20,1.0,449.1070002680092,False,0.10196734869232517,0,0.36200000000000004,34790,0,18,1.0,489.2830583372646,False,0.030551874607854905,0,1.451,29111,120,0,0.0,2694.642001608055,False,-0.10406162487339611,0,0.2,46388,0,15,0.0,168.0573488291654,False,0.0024597410245175613,10,3.7020000000000013,20307.0,225,0,0.0,6116.038229215807,False,-0.4959873352041092,0,0.41600000000000004,58851,23,12,1.0,749.687934871387,False,0.04822647329136993,12,1.3100000000000003,52801,252,0,0.0,2823.3634603299784,False,-0.04050049149280568,0.375,286240,0.0,0.0,17,0,0,6,8,8.0,28,34,18,157.0,63.0,11,6,18,839,1.2879630383104086,28.914599504321814
17,18,0,0,0,10.000000000000002,20,10.0,22.37594414854762,16,21.75,27.167386843815013,1,25.0,10.881265297041345,23,8.130434782608695,41.00000000000001,20,41.0,2,0.6070000000000001,19681,186,0,0.0,1860.0000000000002,False,-0.07111631889675064,0,0.6590000000000001,24417,4,16,1.0,398.01510637676193,False,0.10937886129110737,0,0.36200000000000004,34442,6,28,1.0,894.942496518106,False,0.02628165808504103,1,1.4610000000000003,29105,120,0,0.0,2685.1132978257147,False,-0.10437826070970532,0,0.2,46388,0,15,0.0,163.21897945562017,False,0.002407556187234328,23,3.9220000000000015,19152.0,226,0,0.0,6139.829426702193,False,-0.5206455258347837,3,0.44600000000000006,59283,14,10,1.0,562.3377141585788,False,0.054214418454174094,5,1.3480000000000003,52590,274,0,0.0,2981.4666913893284,False,-0.04283581979620422,0.375,285058,0.0,0.0,21,0,0,7,13,13.0,28,35,17,188.0,57.0,14,4,17,1022,1.2385573480278254,30.15315685234964
18,17,0,0,0,10.000000000000002,20,10.0,22.648905677624658,14,25.142857142857142,27.028565206839254,6,24.0,10.760581228713729,5,6.0,41.0,20,41.0,0,0.6050000000000002,19551,199,0,0.0,1990.0000000000005,False,-0.07404569831898689,0,0.6590000000000001,24699,1,12,1.0,281.7868681314959,False,0.11946881040451336,0,0.3620000000000001,34586,0,28,0.6,756.7998257914991,False,0.02848570163830307,0,1.4600000000000002,28753,134,0,0.0,3034.953360801704,False,-0.10958710788325537,0,0.2,46388,0,15,0.0,161.40871843070593,False,0.0023880313908138735,5,3.949000000000001,18828.0,232,0,0.0,6270.627127986707,False,-0.5262238758360293,0,0.44300000000000006,59652,4,11,1.0,494.04232491485493,False,0.06014090303636094,11,1.4530000000000003,52372,279,0,0.0,3002.2021628111306,False,-0.04651066208729823,0.325,284829,0.0,0.0,19,0,0,3,8,8.0,29,32,18,146.0,81.0,10,7,18,1065,1.2052586898207664,31.358415542170405
19,18,0,0,0,10.000000000000002,20,10.0,22.936714507880797,12,26.0,28.42918068370294,8,50.0,10.691536597482697,63,10.492063492063492,41.0,20,41.0,0,0.6050000000000001,19431,211,0,0.0,2110.0000000000005,False,-0.07674974086258957,0,0.6590000000000001,24931,0,9,0.9,206.43043057092717,False,0.1282263831306262,0,0.3620000000000001,34830,0,26,0.6,739.1586977762764,False,0.03540355773879689,0,1.4600000000000004,28597,140,0,0.0,3211.1400311033117,False,-0.11158459773056663,0,0.2,46388,0,15,0.0,160.37304896224046,False,0.0023768610483868957,63,4.574000000000001,14787.0,240,0,0.0,6823.003364088705,False,-0.607435573535434,1,0.45300000000000007,59523,38,10,1.0,816.2783907043424,False,0.06070935373448566,8,1.5220000000000005,52169,298,0,0.0,3186.077906049844,False,-0.048476328684006954,0.3125,280656,0.0,0.0,24,0,0,6,11,11.0,31,37,19,202.0,60.0,13,5,19,1363,1.284157995134592,32.642573537305
20,19,0,0,0,10.000000000000002,20,10.0,23.175882713088846,28,24.25,28.585124119509288,1,47.0,9.911452965397714,45,6.088888888888889,41.00000000000001,20,41.0,2,0.6250000000000001,19287,223,0,0.0,2230.0000000000005,False,-0.08053540042363333,17,0.8290000000000002,25070,0,8,0.8,185.40706170471077,False,0.13401701432477153,0,0.3620000000000001,34573,3,35,1.0,1070.0069923220917,False,0.032709833396900916,0,1.4600000000000004,28222,155,0,0.0,3592.2618205287713,False,-0.11700991557052634,0,0.2,46388,0,15,0.0,148.67179448096573,False,0.002250655706468833,45,4.961000000000001,11754.0,241,0,0.0,6889.014912801738,False,-0.6721491984899938,5,0.502,59881,28,10,1.0,687.5206830311361,False,0.06590609620211267,5,1.5640000000000003,51839,343,0,0.0,3399.628367131416,False,-0.05242713963353378,0.35,277014,0.0,0.0,16,0,0,9,16,15.181818181818182,30,39,18,209.0,60.0,14,5,18,657,1.2296843063086271,33.872257843613625
21,18,0,0,0,10.000000000000002,20,10.0,23.08315234593121,10,21.8,28.832450054325616,9,31.77777777777778,9.717669884649418,6,2.0,41.00000000000001,20,41.0,2,0.643,19153,234,0,0.0,2340.0000000000005,False,-0.08409572310604353,0,0.812,25180,0,9,0.9,207.7483711133809,False,0.13947785774738344,0,0.3620000000000001,34745,0,35,0.5,1009.1357519013966,False,0.0368739815257883,4,1.5000000000000002,27994,163,0,0.0,3762.5538323867872,False,-0.12121199799407595,0,0.2,46198,0,20,0.5,194.35339769298835,False,-0.0013551771248437134,6,4.976000000000002,11403.0,245,0,0.0,7063.950263309775,False,-0.6778339201075352,0,0.49700000000000005,60209,18,12,1.0,666.9180579236896,False,0.07152898230052288,12,1.6790000000000003,51609,349,0,0.0,3391.4667897426466,False,-0.056570089115744494,0.3625,276491,0.0,0.0,17,0,0,5,12,12.0,28,33,13,205.0,57.0,14,4,13,918,1.202414982020855,35.07467282563448
22,13,0,0,0,10.000000000000002,20,10.0,23.208574801905556,6,26.0,28.832450054325616,0,,9.204685335851458,20,3.55,41.00000000000001,20,41.0,0,0.6410000000000001,19033,246,0,0.0,2460.0000000000005,False,-0.08679976564964623,0,0.812,25256,0,11,0.8,255.2943228209611,False,0.1439743639375583,0,0.3620000000000001,34745,0,35,0.0,1009.1357519013966,False,0.0368739815257883,0,1.4960000000000002,27838,169,0,0.0,3922.249141522039,False,-0.12345203639366344,0,0.2,46198,0,20,0.0,184.09370671702916,False,-0.0014658343034963683,20,5.170000000000001,10411.0,245,0,0.0,7063.950263309775,False,-0.699232599947045,0,0.4970000000000001,60592,25,11,1.0,681.1171333962865,False,0.07843327669772468,9,1.7570000000000001,51478,352,0,0.0,3240.0492382197135,False,-0.06022858676643147,0.225,275551,0.0,0.0,18,0,0,4,8,8.0,27,31,19,112.0,42.0,9,4,19,807,1.1479167193174362,36.222589544951916
23,19,0,0,0,10.000000000000002,20,10.0,23.340701988321854,10,25.0,29.478623370893658,3,52.0,8.931850124782885,14,4.714285714285714,41.0,20,41.0,0,0.6410000000000001,18963,253,0,0.0,2530.0000000000005,False,-0.08837712380008111,0,0.812,25376,3,11,1.0,286.7477218715404,False,0.15009121010121104,0,0.36200000000000004,34651,0,42,1.0,1238.1021815775337,False,0.03747649990554082,0,1.4960000000000002,27838,169,0,0.0,3944.5786360263933,False,-0.12312362283759272,0,0.2,46198,0,20,0.0,178.6370024956577,False,-0.0015246882685226292,14,5.290000000000001,9627.0,248,0,0.0,7310.6985959816275,False,-0.7134831248545923,0,0.4970000000000001,60920,15,13,1.0,666.9777518717433,False,0.08411335862968572,12,1.8680000000000003,51194,366,0,0.0,3269.057145670536,False,-0.06499834387293556,0.375,274767,0.0,0.0,17,0,0,5,12,12.0,30,35,9,189.0,48.0,13,6,9,934,1.2148688603192568,37.43745840527117
