index,n_registered_negotiations_before,n_contracts_dropped,n_contracts_nullified_now,n_bankrupt,trading_price_0,sold_quantity_0,unit_price_0,trading_price_1,sold_quantity_1,unit_price_1,trading_price_2,sold_quantity_2,unit_price_2,trading_price_3,sold_quantity_3,unit_price_3,trading_price_4,sold_quantity_4,unit_price_4,spot_market_quantity_00Dec@0,spot_market_loss_00Dec@0,balance_00Dec@0,inventory_00Dec@0_input,inventory_00Dec@0_output,productivity_00Dec@0,assets_00Dec@0,bankrupt_00Dec@0,score_00Dec@0,spot_market_quantity_01Buy@0,spot_market_loss_01Buy@0,balance_01Buy@0,inventory_01Buy@0_input,inventory_01Buy@0_output,productivity_01Buy@0,assets_01Buy@0,bankrupt_01Buy@0,score_01Buy@0,spot_market_quantity_02Ind@1,spot_market_loss_02Ind@1,balance_02Ind@1,inventory_02Ind@1_input,inventory_02Ind@1_output,productivity_02Ind@1,assets_02Ind@1,bankrupt_02Ind@1,score_02Ind@1,spot_market_quantity_03Buy@1,spot_market_loss_03Buy@1,balance_03Buy@1,inventory_03Buy@1_input,inventory_03Buy@1_output,productivity_03Buy@1,assets_03Buy@1,bankrupt_03Buy@1,score_03Buy@1,spot_market_quantity_04MyA@2,spot_market_loss_04MyA@2,balance_04MyA@2,inventory_04MyA@2_input,inventory_04MyA@2_output,productivity_04MyA@2,assets_04MyA@2,bankrupt_04MyA@2,score_04MyA@2,spot_market_quantity_05Buy@2,spot_market_loss_05Buy@2,balance_05Buy@2,inventory_05Buy@2_input,inventory_05Buy@2_output,productivity_05Buy@2,assets_05Buy@2,bankrupt_05Buy@2,score_05Buy@2,spot_market_quantity_06Dec@3,spot_market_loss_06Dec@3,balance_06Dec@3,inventory_06Dec@3_input,inventory_06Dec@3_output,productivity_06Dec@3,assets_06Dec@3,bankrupt_06Dec@3,score_06Dec@3,spot_market_quantity_07Ran@3,spot_market_loss_07Ran@3,balance_07Ran@3,inventory_07Ran@3_input,inventory_07Ran@3_output,productivity_07Ran@3,assets_07Ran@3,bankrupt_07Ran@3,score_07Ran@3,productivity,market_size,production_failures,bankruptcy,n_contracts_executed,n_contracts_erred,n_contracts_nullified,n_contracts_cancelled,n_breaches,breach_level,n_contracts_signed,n_contracts_concluded,n_negotiations,n_negotiation_rounds_successful,n_negotiation_rounds_failed,n_negotiation_successful,n_negotiation_failed,n_registered_negotiations_after,activity_level,step_time,total_time
10,19,0,0,0,10.000000000000002,20,10.0,16.492370080206594,45,20.31111111111111,14.742847043827064,1,36.0,29.693351628762276,22,29.227272727272727,53.99999999999999,20,54.0,6,0.4580000000000001,48909,3,10,1.0,194.92370080206595,False,0.02584069853472821,16,1.494,44216,114,0,0.0,1140.0000000000002,False,-0.06250523319099054,0,0.2,69531,3,59,1.0,919.3050858264166,False,-0.0033512866614473042,0,1.181,64566,170,0,0.0,2803.702913635121,False,-0.060634929273807994,0,0.2,96071,0,0,0.0,0.0,False,0.005526307526454058,22,2.7600000000000007,83365,128,0,0.0,1887.0844216098642,False,-0.1175853572652634,0,0.24500000000000002,144731,22,12,1.0,1301.25373583277,False,0.012174269617124037,11,0.8320000000000001,136138,194,0,0.0,5760.510215979882,False,-0.03212872314865008,0.375,687527,0.0,0.0,13,0,0,7,14,13.357142857142858,22,29,14,242.0,45.0,14,5,14,1086,1.6183158168569207,34.35885126516223
11,14,0,0,0,10.000000000000002,20,10.0,15.789361379929945,108,14.63888888888889,14.577369381440032,10,13.0,30.281221307866655,23,34.95652173913044,53.99999999999999,20,54.0,31,0.7620000000000002,48799,3,10,1.0,187.89361379929946,False,0.023464514922960106,67,2.1480000000000006,41939,124,0,0.0,1240.0000000000002,False,-0.10912249853470653,0,0.2,68640,43,69,1.0,1684.7810266563497,False,-0.010588805950386174,10,1.2810000000000004,63716,228,0,0.0,3599.9743946240274,False,-0.06706935896516936,0,0.2,96071,0,0,0.0,0.0,False,0.005526307526454058,23,2.968000000000001,82719,138,0,0.0,2011.6769746387245,False,-0.12369468734162255,0,0.24500000000000002,145325,12,11,1.0,957.3746556943997,False,0.015112734036378861,9,0.911,135171,217,0,0.0,6571.025023807064,False,-0.03603968090965491,0.375,682380,0.0,0.0,14,0,0,7,16,15.88888888888889,17,24,17,149.0,42.0,10,4,17,1028,1.7042630854994059,36.063114350661635
12,17,0,0,0,10.000000000000002,20,10.0,15.147721097571479,30,9.666666666666666,17.462900241837637,14,37.0,30.63191942931302,19,34.05263157894737,53.99999999999999,20,54.0,0,0.7310000000000001,48729,0,20,1.0,302.9544219514296,False,0.023203491814780996,30,2.3810000000000007,41171,137,0,0.0,1370.0000000000002,False,-0.12383823160010048,0,0.2,69078,41,65,1.0,1756.1450807198771,False,-0.003843696916242768,0,1.2710000000000001,63506,250,0,0.0,3786.9302743928697,False,-0.06872860283660702,0,0.2,96071,0,0,0.0,0.0,False,0.005526307526454058,19,3.1350000000000007,81788,152,0,0.0,2654.360836759321,False,-0.13007566835477571,0,0.24500000000000002,145919,2,10,1.0,601.263838858626,False,0.018008618628235277,9,0.9920000000000002,134356,236,0,0.0,7229.132985317872,False,-0.03942292862601962,0.375,680618,0.0,0.0,15,0,0,9,10,10.0,16,25,14,182.0,63.0,11,6,14,1312,1.4954701224341989,37.558584473095834
13,14,0,0,0,10.000000000000002,20,10.0,14.97396869878867,9,10.0,16.13747307312843,42,13.047619047619047,29.714444134507534,22,22.045454545454547,54.00000000000001,20,54.0,0,0.7310000000000001,48659,0,27,0.7,404.2971548672941,False,0.022798890091133867,9,2.4410000000000007,40933,150,0,0.0,1500.0000000000002,False,-0.12745959976555304,0,0.2,69215,31,68,1.0,1561.541198635182,False,-0.0032784068675762337,35,1.6210000000000002,62289,259,0,0.0,3878.2578929862657,False,-0.08540812595772032,0,0.2,96071,0,0,0.0,0.0,False,0.005526307526454058,22,3.3360000000000003,80483,194,0,0.0,3130.6697761869154,False,-0.14124179805853423,0,0.24500000000000002,145917,11,13,1.0,1028.858885479583,False,0.019483192878654514,13,1.1130000000000002,133953,239,0,0.0,7101.7521481473,False,-0.042672115223704433,0.3375,677520,0.0,0.0,15,0,0,11,12,12.0,17,28,17,152.0,42.0,10,4,17,715,1.3790896171703935,38.93767409026623
14,17,0,0,0,10.000000000000002,20,10.0,15.241759949500787,32,17.25,15.401591805528836,39,13.025641025641026,29.596229158079435,25,28.72,54.00000000000001,20,54.0,0,0.7310000000000001,48969,0,20,0.8,304.8351989900157,False,0.028247040096604822,17,2.6020000000000003,40537,162,0,0.0,1620.0000000000002,False,-0.13449300845683665,0,0.2,69476,21,58,1.0,1213.369283660189,False,-0.0020407734766311725,19,1.7760000000000002,61329,291,0,0.0,4435.352145304729,False,-0.0951118378855073,0,0.2,96071,0,0,0.0,0.0,False,0.005526307526454058,25,3.5640000000000005,79164,233,0,0.0,3588.5708906882187,False,-0.1526507913154903,0,0.24500000000000002,146169,8,16,1.0,1100.7698332646355,False,0.021487993125760236,13,1.2300000000000002,133046,257,0,0.0,7606.230893626414,False,-0.047230682038158354,0.35,674761,0.0,0.0,15,0,0,10,14,14.0,20,30,23,221.0,42.0,13,4,23,1229,1.5657786037772894,40.50345269404352
15,23,0,0,0,10.000000000000002,20,10.0,15.885293422625464,22,23.045454545454547,15.267201675852384,26,14.5,29.189262058617174,16,24.375,54.0,20,54.0,0,0.7310000000000001,49286,3,14,1.0,252.3941079167565,False,0.03433385778193038,6,2.6450000000000005,40395,169,0,0.0,1690.0000000000002,False,-0.13673281420078706,0,0.2,69488,17,66,1.0,1277.68529879089,False,-0.0014119749181863322,24,1.9970000000000006,60251,307,0,0.0,4876.785080746017,False,-0.10731933272045951,0,0.2,96071,0,0,0.0,0.0,False,0.005526307526454058,16,3.6990000000000007,78374,259,0,0.0,3954.2052340457676,False,-0.15900586524368204,0,0.24500000000000002,146597,9,14,1.0,1018.7033585275545,False,0.024182128614341984,8,1.2970000000000002,132743,262,0,0.0,7647.586659357699,False,-0.049196261794442406,0.375,673205,0.0,0.0,17,0,0,11,10,10.0,22,33,21,274.0,63.0,17,6,21,1367,1.9664987679570913,42.46995146200061
16,21,0,0,0,10.000000000000002,20,10.0,15.533237923388127,46,13.695652173913043,14.499721235693778,61,12.524590163934427,29.740948026688756,19,35.10526315789474,54.00000000000001,20,54.0,8,0.8110000000000002,49412,4,10,1.0,195.33237923388126,False,0.03637415619226616,24,2.8790000000000004,39833,178,0,0.0,1780.0000000000002,False,-0.14755505316922046,0,0.2,69642,23,52,1.0,1111.2499764940035,False,-0.00040405279743969263,37,2.343000000000001,58646,337,0,0.0,5234.701180181799,False,-0.127625799702519,0,0.2,96071,0,0,0.0,0.0,False,0.005526307526454058,19,3.873000000000001,77244,320,0,0.0,4639.910795422009,False,-0.16724453494540673,0,0.24500000000000002,147029,0,15,0.9,810.0000000000001,False,0.02646327793752132,12,1.409,131806,281,0,0.0,8357.206395499541,False,-0.05324957915138052,0.3625,669683,0.0,0.0,14,0,0,13,16,15.8,19,32,18,247.0,48.0,15,6,18,1236,1.8025214495137334,44.27247291151434
17,18,0,0,0,10.000000000000002,20,10.0,15.247905037399434,14,10.0,14.462449337488177,5,13.0,30.00786454702257,7,37.0,54.00000000000001,20,54.0,0,0.8030000000000002,49332,2,20,1.0,324.9581007479887,False,0.03605624739123322,14,2.9950000000000006,39505,190,0,0.0,1900.0000000000002,False,-0.1531650339110776,0,0.2,69657,18,57,1.0,1098.821902910016,False,-0.0002789429633610442,0,2.306000000000001,58556,346,0,0.0,5275.775142940204,False,-0.12861493504585056,0,0.2,96071,0,0,0.0,0.0,False,0.005526307526454058,7,3.9240000000000013,77130,325,0,0.0,4700.296034683658,False,-0.16812170418197225,0,0.24500000000000002,147731,0,2,0.0,108.00000000000001,False,0.02890700605014168,7,1.4670000000000003,131432,288,0,0.0,8642.2649895425,False,-0.05486112178419136,0.25,669414,0.0,0.0,14,0,0,8,6,6.0,17,25,17,147.0,69.0,10,8,17,967,1.5684408182278275,45.84091372974217
18,17,0,0,0,10.000000000000002,20,10.0,15.908703306632686,16,26.0,14.262522394354193,16,12.0,29.518662288813804,17,24.58823529411765,54.00000000000001,20,54.0,0,0.8030000000000002,49648,2,14,1.0,242.7218462928576,False,0.04181028475145334,0,2.9810000000000008,39405,200,0,0.0,2000.0000000000005,False,-0.1542116721091853,0,0.2,69329,24,59,1.0,1223.297700626082,False,-0.004063326256471413,8,2.3860000000000006,58428,346,0,0.0,5504.4113440949095,False,-0.12880976173999006,0,0.2,96071,0,0,0.0,0.0,False,0.005526307526454058,17,4.087000000000001,76482,341,0,0.0,4863.52013647478,False,-0.1740497988524812,8,0.32500000000000007,147477,1,10,1.0,569.518662288814,False,0.028745200136071743,10,1.5600000000000003,131037,294,0,0.0,8678.486712911259,False,-0.05748509495411471,0.375,667877,0.0,0.0,10,0,0,8,11,10.333333333333332,19,27,22,208.0,60.0,12,5,22,704,2.24845202639699,48.08936575613916
19,22,0,0,0,10.000000000000002,20,10.0,14.922857089816976,39,9.0,13.988882584278425,42,12.833333333333334,28.80734571488807,23,23.565217391304348,54.000000000000014,20,54.0,0,0.8030000000000002,49538,3,24,1.0,388.14857015560744,False,0.04102977235782057,39,3.371000000000001,38658,209,0,0.0,2090.0000000000005,False,-0.1689064724106171,0,0.2,69440,19,57,1.0,1080.9005920103928,False,-0.00349656400755859,30,2.678000000000001,57292,380,0,0.0,5670.68569413045,False,-0.14380225490466167,0,0.2,96071,0,0,0.0,0.0,False,0.005526307526454058,23,4.300000000000001,75135,383,0,0.0,5357.742029778637,False,-0.18556177831040144,0,0.31700000000000006,147369,8,16,1.0,1094.4587657191048,False,0.02982064973132597,16,1.7100000000000002,130380,300,0,0.0,8642.203714466421,False,-0.06218555723800791,0.375,663883,0.0,0.0,11,0,0,12,15,15.0,20,32,21,245.0,63.0,16,6,21,572,1.7124516610056162,49.801817417144775
20,21,0,0,0,10.000000000000002,20,10.0,14.428612400178102,34,10.852941176470589,13.780922128456902,18,11.5,28.30822726057153,21,24.19047619047619,54.000000000000014,20,54.0,0,0.8030000000000002,49642,4,16,1.0,270.85779840284965,False,0.041979169789864906,16,3.492000000000001,38321,218,0,0.0,2180.0000000000005,False,-0.17501883948756594,0,0.2,69181,32,67,1.0,1385.0373794123118,False,-0.005019242307604728,18,2.8280000000000003,56768,391,0,0.0,5641.587448469638,False,-0.15147105453486145,0,0.2,96071,0,0,0.0,0.0,False,0.005526307526454058,21,4.487000000000001,74302,401,0,0.0,5526.149773511218,False,-0.19339904664124416,0,0.31700000000000006,147925,8,12,1.0,874.4658180845724,False,0.03292581028762382,6,1.7540000000000002,129982,311,0,0.0,8803.858678037746,False,-0.0643937720508596,0.375,662192,0.0,0.0,16,0,0,13,9,9.0,18,31,19,269.0,42.0,17,4,19,1170,1.6971891317516565,51.49900654889643
21,19,0,0,0,10.000000000000002,20,10.0,15.622958676192649,37,23.756756756756758,13.721389996505748,16,13.0,28.279878430565955,32,28.125,54.000000000000014,20,54.0,16,0.9630000000000003,50029,2,10,1.0,176.2295867619265,False,0.04908973443399821,5,3.526000000000001,38136,230,0,0.0,2300.0000000000005,False,-0.17763543498283513,0,0.2,69186,29,69,1.0,1399.8417113684834,False,-0.004842638685326873,8,2.8900000000000006,55860,421,0,0.0,6577.265602677106,False,-0.15773883175264788,0,0.2,96071,0,0,0.0,0.0,False,0.005526307526454058,32,4.786000000000001,72839,417,0,0.0,5721.819628542897,False,-0.20768753530586803,0,0.31700000000000006,148411,0,11,0.8,594.0000000000001,False,0.035333105901847066,11,1.8580000000000003,128856,343,0,0.0,9699.998301684122,False,-0.06911364971251698,0.35,659388,0.0,0.0,14,0,0,12,13,12.066666666666666,18,30,20,252.0,42.0,15,4,20,844,1.5948890103027225,53.093895559199154
22,20,0,0,0,10.000000000000002,20,10.0,15.516897680096369,5,10.0,13.393957464772441,91,12.714285714285714,28.186621337903112,18,27.22222222222222,54.00000000000002,20,54.0,0,0.9470000000000003,49939,1,20,1.0,320.3379536019274,False,0.04871407889142092,5,3.571000000000001,37966,241,0,0.0,2410.0000000000005,False,-0.18004270283848278,0,0.2,69666,24,37,1.0,867.9819705188931,False,-0.0017943356412234383,49,3.3720000000000008,54055,421,0,0.0,6532.613923320571,False,-0.1837594770930953,0,0.2,96071,0,0,0.0,0.0,False,0.005526307526454058,18,4.934000000000001,71192,508,0,0.0,6804.1303921044,False,-0.21926184863305326,3,0.3470000000000001,148831,0,8,0.8,432.00000000000017,False,0.037693287754206904,6,1.9070000000000005,128420,353,0,0.0,9949.877332279799,False,-0.07127931139682452,0.35,656140,0.0,0.0,15,0,0,7,12,12.0,25,32,21,247.0,60.0,15,5,21,1324,1.7420562654733658,54.83595182467252
23,21,0,0,0,10.000000000000002,20,10.0,15.821529741885543,15,20.666666666666668,13.393957464772441,0,,28.20375236876102,14,28.428571428571427,54.00000000000002,20,54.0,0,0.9470000000000003,50069,4,20,1.0,356.4305948377109,False,0.051813097576380675,5,3.616000000000001,37836,248,0,0.0,2480.0000000000005,False,-0.18203131541488737,0,0.2,69356,29,47,1.0,1088.3403633589855,False,-0.004639731984172589,0,3.323000000000001,54055,421,0,0.0,6660.864021333814,False,-0.18284635305062363,0,0.2,96071,0,0,0.0,0.0,False,0.005526307526454058,14,5.056000000000001,70898,508,0,0.0,6804.1303921044,False,-0.22233899714210154,7,0.41400000000000003,149143,0,0,0.0,0.0,False,0.038361657836291106,5,1.9510000000000003,127961,367,0,0.0,10350.777119335295,False,-0.07307938593730093,0.25,655389,0.0,0.0,11,0,0,10,9,8.4,21,31,21,263.0,42.0,17,4,21,730,1.791924093849957,56.62787591852248
24,21,0,0,0,10.000000000000002,20,10.0,16.42257427082181,28,21.321428571428573,13.393957464772441,0,,27.726174326216178,11,20.0,54.00000000000002,20,54.0,3,0.9770000000000001,50433,6,10,1.0,224.2257427082181,False,0.05804891717646553,5,3.661000000000001,37691,256,0,0.0,2560.0000000000005,False,-0.1842292556309135,0,0.2,69234,30,57,1.0,1256.1328036166835,False,-0.005182319912733916,0,3.323000000000001,53580,438,0,0.0,7193.087530619952,False,-0.18582086740936435,0,0.2,96071,0,0,0.0,0.0,False,0.005526307526454058,11,5.152000000000002,70634,508,0,0.0,6804.1303921044,False,-0.22510215090532856,9,0.49700000000000005,148771,1,10,1.0,567.7261743262164,False,0.037748032048088555,11,2.056,127722,367,0,0.0,10175.505977721337,False,-0.07535348430471632,0.375,654136,0.0,0.0,10,0,0,9,12,11.4,20,29,19,207.0,66.0,14,7,19,675,1.8561562178656459,58.48403213638812
