index,n_registered_negotiations_before,n_contracts_dropped,n_contracts_nullified_now,n_bankrupt,trading_price_0,sold_quantity_0,unit_price_0,trading_price_1,sold_quantity_1,unit_price_1,trading_price_2,sold_quantity_2,unit_price_2,trading_price_3,sold_quantity_3,unit_price_3,trading_price_4,sold_quantity_4,unit_price_4,spot_market_quantity_00Dec@0,spot_market_loss_00Dec@0,balance_00Dec@0,inventory_00Dec@0_input,inventory_00Dec@0_output,productivity_00Dec@0,assets_00Dec@0,bankrupt_00Dec@0,score_00Dec@0,spot_market_quantity_01Ran@0,spot_market_loss_01Ran@0,balance_01Ran@0,inventory_01Ran@0_input,inventory_01Ran@0_output,productivity_01Ran@0,assets_01Ran@0,bankrupt_01Ran@0,score_01Ran@0,spot_market_quantity_02Ran@1,spot_market_loss_02Ran@1,balance_02Ran@1,inventory_02Ran@1_input,inventory_02Ran@1_output,productivity_02Ran@1,assets_02Ran@1,bankrupt_02Ran@1,score_02Ran@1,spot_market_quantity_03Dec@1,spot_market_loss_03Dec@1,balance_03Dec@1,inventory_03Dec@1_input,inventory_03Dec@1_output,productivity_03Dec@1,assets_03Dec@1,bankrupt_03Dec@1,score_03Dec@1,spot_market_quantity_04Dec@2,spot_market_loss_04Dec@2,balance_04Dec@2,inventory_04Dec@2_input,inventory_04Dec@2_output,productivity_04Dec@2,assets_04Dec@2,bankrupt_04Dec@2,score_04Dec@2,spot_market_quantity_05Dec@2,spot_market_loss_05Dec@2,balance_05Dec@2,inventory_05Dec@2_input,inventory_05Dec@2_output,productivity_05Dec@2,assets_05Dec@2,bankrupt_05Dec@2,score_05Dec@2,spot_market_quantity_06MyA@3,spot_market_loss_06MyA@3,balance_06MyA@3,inventory_06MyA@3_input,inventory_06MyA@3_output,productivity_06MyA@3,assets_06MyA@3,bankrupt_06MyA@3,score_06MyA@3,spot_market_quantity_07Ind@3,spot_market_loss_07Ind@3,balance_07Ind@3,inventory_07Ind@3_input,inventory_07Ind@3_output,productivity_07Ind@3,assets_07Ind@3,bankrupt_07Ind@3,score_07Ind@3,productivity,market_size,production_failures,bankruptcy,n_contracts_executed,n_contracts_erred,n_contracts_nullified,n_contracts_cancelled,n_breaches,breach_level,n_contracts_signed,n_contracts_concluded,n_negotiations,n_negotiation_rounds_successful,n_negotiation_rounds_failed,n_negotiation_successful,n_negotiation_failed,n_registered_negotiations_after,activity_level,step_time,total_time
10,54,0,0,0,10.000000000000002,20,10.0,20.08116516460426,20,8.95,15.64929401368209,52,14.26923076923077,35.280132296293225,5,41.0,38.0,11,38.0,0,0.758,36638,5,20,1.0,451.6233032920852,False,0.04468534167387545,20,0.796,33290,112,0,0.0,1120.0000000000002,False,-0.040723212514523766,49,1.8060000000000005,39413.0,78,0,0.0,1566.3308828391323,False,-0.1650499472099297,0,0.2,47194,52,47,1.0,1779.73740720248,False,-0.0012074964978347061,0,0.2,64089,43,28,1.0,1660.7633468845402,False,0.010056815045855531,0,0.263,63844,59,15,1.0,1452.5103312516417,False,0.004624883942336937,0,0.2,86327,0,0,0.0,0.0,False,0.0,1,0.5340000000000001,84645,21,10,1.0,1120.8827782221579,False,-0.012991979460527131,0.625,455440,0.0,0.0,20,0,0,21,10,9.5,21,42,47,273.0,198.0,23,31,47,855,1.9334909981116652,27.04697274696082
11,47,0,0,0,10.000000000000002,20,10.0,19.72923018593677,5,9.0,15.30773105828656,52,14.192307692307692,35.638718450647296,5,41.0,38.0,11,38.0,0,0.758,36593,4,25,1.0,533.2307546484193,False,0.04456642325287532,0,0.7760000000000002,33180,123,0,0.0,1230.0000000000002,False,-0.04228186017513532,51,2.267000000000001,37656.0,78,0,0.0,1538.8799545030681,False,-0.2018312496935829,0,0.2,47185,47,56,1.0,1784.5067580030754,False,-0.0013449092476104688,0,0.2,64008,38,38,1.0,1935.9650813394867,False,0.010937447149965645,0,0.263,63392,96,20,1.0,2182.3165506084556,False,0.003269775415870291,0,0.2,86327,0,0,0.0,0.0,False,0.0,1,0.5430000000000001,84813,16,10,1.0,950.2194952103567,False,-0.012034360656513258,0.625,453154,0.0,0.0,18,0,0,17,7,7.0,22,39,51,214.0,184.0,18,29,51,866,1.7804197873920202,28.82739253435284
12,51,0,0,0,10.000000000000002,20,10.0,19.45886870589711,29,18.137931034482758,15.129966401226834,73,14.643835616438356,35.638718450647296,0,,38.00000000000001,14,38.0,0,0.7580000000000002,36974,7,11,1.0,284.0475557648682,False,0.05183279331998859,5,0.8260000000000001,33030,130,0,0.0,1300.0000000000002,False,-0.04554085073823221,72,2.936000000000001,33972.0,97,0,0.0,1887.5102644720198,False,-0.2747340132891029,0,0.2,47166,47,65,1.0,1898.0146452569084,False,-0.0005606887410483316,0,0.2,63940,49,48,1.0,2452.026839291185,False,0.01389406779900722,0,0.263,62391,138,30,1.0,3157.0969168887223,False,-0.004721291079545656,0,0.2,86327,0,0,0.0,0.0,False,0.0,4,0.5820000000000001,85159,6,10,1.0,593.8323107038839,False,-0.010090514493125707,0.625,448959,0.0,0.0,19,0,0,18,10,10.0,23,41,57,283.0,183.0,20,31,57,1127,1.866253818385303,30.693646352738142
13,57,0,0,0,10.000000000000002,20,10.0,20.986567974434518,51,25.58823529411765,13.01842904578201,60,4.383333333333334,36.11809181288911,5,43.0,38.0,15,38.0,33,1.088,37260,6,10,1.0,269.8656797443452,False,0.05973681071987332,7,0.891,32808,141,0,0.0,1410.0000000000002,False,-0.05027347181681639,60,3.4640000000000013,30484.0,126,0,0.0,2644.307564778749,False,-0.3393262892611571,0,0.2,46759,59,75,1.0,2214.589688925287,False,-0.00572691528265038,0,0.2,64032,64,53,1.0,2747.4383250131714,False,0.01762356141002571,0,0.263,62251,163,40,1.0,3566.7276069780323,False,-0.0037128529321952095,0,0.2,86327,0,0,0.0,0.0,False,0.0,5,0.6280000000000001,85277,1,10,1.0,416.11809181288913,False,-0.009752927289185996,0.625,445198,0.0,0.0,17,0,0,21,12,11.214285714285715,25,46,57,249.0,206.0,24,33,57,795,2.0360194174572825,32.729665770195425
14,57,0,0,0,10.000000000000002,20,10.0,21.81606788452962,15,32.0,12.979451356848694,14,12.214285714285714,36.11809181288911,0,,38.0,9,38.0,5,1.1050000000000002,37575,3,10,1.0,248.1606788452962,False,0.06835606142269521,0,0.8840000000000001,32678,154,0,0.0,1540.0000000000002,False,-0.052115509961175505,14,3.5440000000000014,29682.0,141,0,0.0,3076.0655717186764,False,-0.3515011261297965,0,0.2,46759,49,85,1.0,2172.24069167409,False,-0.006166749494473771,0,0.2,63897,65,63,1.0,3119.1041224071796,False,0.01841445181030278,0,0.263,62215,156,50,1.0,3830.699002312852,False,-0.0022194467170285693,0,0.2,86327,0,0,0.0,0.0,False,0.0,0,0.6230000000000001,85619,0,2,0.1,76.0,False,-0.007761187114112618,0.5125,444752,0.0,0.0,14,0,0,14,5,4.333333333333333,26,40,50,254.0,232.0,19,38,50,542,1.7870780937373638,34.51674386393279
15,50,0,0,0,10.000000000000002,20,10.0,20.782277882291325,17,9.882352941176471,13.093320638362625,15,15.066666666666666,36.78849751772619,11,41.0,38.0,10,38.0,0,1.1,37505,0,20,1.0,415.6455576458265,False,0.06874550907764651,17,1.054,32314,167,0,0.0,1670.0000000000002,False,-0.06058888542522742,13,3.660000000000001,29355.0,146,0,0.0,3034.2125708145336,False,-0.3587282147520405,0,0.2,46723,51,93,1.0,2277.574991364582,False,-0.0058205414049625585,0,0.2,64158,69,62,1.0,3184.3259701460447,False,0.022982636333655253,0,0.263,62179,147,60,1.0,4132.0279849028775,False,-0.00043542401239343216,0,0.2,86327,0,0,0.0,0.0,False,0.0,8,0.7030000000000001,85140,1,10,1.0,416.78849751772617,False,-0.011336033352730146,0.625,443701,0.0,0.0,13,0,0,13,10,9.333333333333332,24,37,55,238.0,193.0,18,32,55,723,2.429996625520289,36.94674048945308
16,55,0,0,0,10.000000000000002,20,10.0,19.95755716136387,8,1.75,12.803582964252476,27,10.148148148148149,35.29305186966668,13,27.0,37.99999999999999,7,38.0,0,1.1,37405,0,30,1.0,598.7267148409161,False,0.0685057771252999,8,1.1170000000000002,32064,177,0,0.0,1770.0000000000002,False,-0.06625669510017854,24,3.887000000000001,28789.0,149,0,0.0,2973.6760170432167,False,-0.37111382974281065,0,0.2,46826,46,100,1.0,2198.4059258479856,False,-0.00450328272768079,0,0.2,64202,84,66,1.0,3404.8423923952087,False,0.025382683182636732,0,0.263,62212,139,63,1.0,4003.1602998200947,False,-0.0009244916230758027,0,0.2,86327,0,0,0.0,0.0,False,0.0,0,0.6950000000000001,85055,4,13,1.0,635.1722074786666,False,-0.011055798258490006,0.625,442880,0.0,0.0,19,0,0,19,4,4.0,23,42,61,286.0,184.0,23,32,61,925,2.022512201219797,38.969252690672874
17,61,0,0,0,10.000000000000002,20,10.0,19.84414488318746,1,1.0,11.396430633714829,62,5.790322580645161,34.18646084710671,4,13.0,37.999999999999986,4,38.0,0,1.1,37305,0,40,1.0,793.7657953274984,False,0.068435483256263,1,1.1190000000000002,31946,187,0,0.0,1870.0000000000002,False,-0.06818375038966192,62,4.483000000000001,25807.0,150,0,0.0,2976.621732478119,False,-0.4330249913539309,0,0.2,46826,36,110,1.0,1967.9965855033797,False,-0.006896300678166874,0,0.2,64180,80,76,1.0,3509.885475077296,False,0.025857556634024302,0,0.263,61927,185,69,1.0,4467.205465687606,False,-0.0017487477969939673,0,0.2,86327,0,0,0.0,0.0,False,0.0,0,0.6950000000000001,85155,0,17,0.8,645.9999999999998,False,-0.009834698298330766,0.6,439473,0.0,0.0,12,0,0,17,8,8.0,27,44,50,330.0,221.0,24,37,50,404,1.895452725701034,40.86470541637391
18,50,0,0,0,10.000000000000002,20,10.0,18.31027100399922,25,9.08,11.122011034511864,19,7.105263157894737,34.18646084710671,0,,37.999999999999986,4,38.0,0,1.1,37185,2,50,1.0,935.513550199961,False,0.0670432956924641,25,1.3680000000000003,31442,195,0,0.0,1950.0000000000005,False,-0.0813330688355485,19,4.6110000000000015,25183.0,156,0,0.0,2856.402276623878,False,-0.44723523870400195,0,0.2,46689,45,120,1.0,2158.6035193213884,False,-0.007762416192499375,0,0.2,64100,78,86,1.0,3807.5524935431026,False,0.02692851192213762,0,0.263,61872,186,79,1.0,4769.4244593406365,False,-0.00025341543618134446,0,0.2,86327,0,0,0.0,0.0,False,0.0,0,0.6950000000000002,85307,0,13,0.0,493.99999999999983,False,-0.008954324834640379,0.5,438105,0.0,0.0,12,0,0,13,7,7.0,26,39,38,246.0,210.0,17,33,38,352,1.684893986210227,42.549599402584136
19,38,0,0,0,10.000000000000002,20,10.0,18.575700002306945,21,20.571428571428573,10.976511815955236,4,1.25,34.62590496340212,5,41.0,37.99999999999999,12,38.0,0,1.1,37470,4,45,1.0,875.9065001038125,False,0.0742753209411938,6,1.4030000000000002,31270,203,0,0.0,2030.0000000000005,False,-0.08507382322101624,4,4.632000000000001,24664.0,171,0,0.0,3176.4447003944874,False,-0.4546919041544339,0,0.2,46662,41,130,1.0,2188.5502361687654,False,-0.008012232186357353,0,0.2,64095,72,96,1.0,4114.395727235381,False,0.02923774934447892,0,0.263,62077,176,84,1.0,4840.4420965338995,False,0.0034885729352441466,0,0.2,86327,0,0,0.0,0.0,False,0.0,0,0.6950000000000002,85558,0,6,0.5,227.99999999999994,False,-0.00758742919364741,0.5625,438123,0.0,0.0,22,0,0,12,4,4.0,21,33,33,166.0,153.0,11,27,33,1266,1.5503190625458956,44.09991846513003
20,33,0,0,0,10.000000000000002,20,10.0,19.550593009107946,60,22.166666666666668,10.288272503753419,42,6.285714285714287,35.05213998210089,5,41.0,38.0,10,38.0,1,1.11,38541,7,10,1.0,265.50593009107945,False,0.09597735610977244,14,1.5370000000000001,31001,210,0,0.0,2100.0000000000005,False,-0.09170516054070904,40,5.028000000000001,22740.0,195,0,0.0,3812.3656367760495,False,-0.48805236968991683,0,0.2,46008,67,138,1.0,2729.671337128204,False,-0.015976991637985445,0,0.2,64003,65,106,1.0,4384.264550846667,False,0.029905750088269196,0,0.263,62110,205,89,1.0,5228.73632167643,False,0.007022671430277373,0,0.2,86327,0,0,0.0,0.0,False,0.0,4,0.7350000000000001,85547,0,5,0.5,190.0,False,-0.007934945034577826,0.5625,436277,0.0,0.0,21,0,0,12,10,8.566666666666666,21,33,34,175.0,103.0,14,19,34,1512,1.9040868058800697,46.0040052710101
21,34,0,0,0,10.000000000000002,20,10.0,19.550593009107946,0,,10.04793875860954,40,8.5,35.95225275750888,12,41.0,38.0,8,38.0,0,1.1090000000000002,38401,11,20,1.0,501.0118601821589,False,0.09534689631000311,0,1.5230000000000004,30941,216,0,0.0,2160.0000000000005,False,-0.0925553319919517,39,5.378000000000001,21409.0,195,0,0.0,3812.3656367760495,False,-0.5156997462010713,0,0.2,46044,57,147,1.0,2591.430799034755,False,-0.01666496199747872,0,0.2,64211,87,104,1.0,4613.204958779954,False,0.03492294555085293,0,0.263,62054,203,99,1.0,5599.004590991116,False,0.009031822001393379,0,0.2,86327,0,0,0.0,0.0,False,0.0,3,0.7610000000000001,85224,2,10,1.0,451.9045055150178,False,-0.010159599513970106,0.625,434611,0.0,0.0,15,0,0,11,6,6.0,21,32,43,218.0,119.0,14,20,43,918,1.7642425876110792,47.76824785862118
22,43,0,0,0,10.000000000000002,20,10.0,19.095712310625718,5,1.0,10.100538364635705,19,10.842105263157896,36.40060693635032,5,42.8,38.0,13,38.0,0,1.1090000000000002,38301,11,30,1.0,682.8713693187715,False,0.09508985418594347,5,1.5730000000000004,30751,226,0,0.0,2260.0000000000005,False,-0.0965227987644175,16,5.499000000000002,20937.0,195,0,0.0,3723.663900572015,False,-0.526425326112625,0,0.2,46147,52,154,1.0,2548.4599483064358,False,-0.014971750775762977,0,0.2,64064,94,114,1.0,5099.119797019693,False,0.03641591179048508,0,0.263,62209,195,104,1.0,5755.268102484396,False,0.012659033361476758,0,0.2,86327,0,0,0.0,0.0,False,0.0,3,0.7880000000000003,85369,0,7,0.7,266.0,False,-0.009556685625586432,0.5875,434105,0.0,0.0,21,0,0,18,6,6.0,24,42,45,294.0,169.0,24,19,45,902,1.9432363994419575,49.71148425806314
23,45,0,0,0,10.000000000000002,20,10.0,20.004736341786682,38,24.394736842105264,10.165236453725512,26,10.807692307692308,37.627388647001474,25,41.0,38.00000000000001,11,38.0,8,1.189,38961,11,10,1.0,310.04736341786685,False,0.10851088734403411,0,1.5680000000000003,30651,236,0,0.0,2360.0000000000005,False,-0.09793975118315527,24,5.723000000000001,19733.0,211,0,0.0,4220.99936811699,False,-0.5462693763437644,0,0.2,45788,64,162,1.0,2927.071431377881,False,-0.018496620088718028,0,0.2,64350,93,114,1.0,5234.889295954641,False,0.04192187462818474,0,0.263,62667,202,99,1.0,5778.489239705699,False,0.0199655317139833,0,0.2,86327,0,0,0.0,0.0,False,0.0,4,0.8250000000000002,84572,15,10,1.0,944.4108297050223,False,-0.014859714633283842,0.625,433049,0.0,0.0,21,0,0,12,9,7.520833333333333,25,37,45,223.0,164.0,18,27,45,1878,1.7985770339146256,51.51006129197776
24,45,0,0,0,10.000000000000002,20,10.0,20.790077278150964,17,30.0,12.962961462768446,42,30.0,37.98482356665092,10,41.0,38.00000000000001,12,38.0,7,1.2510000000000001,39238,11,10,1.0,317.90077278150966,False,0.1164720828177729,0,1.5680000000000003,30551,246,0,0.0,2460.0000000000005,False,-0.09935670360189305,8,5.779000000000001,19038.0,228,0,0.0,4740.1376194184195,False,-0.5553140955982466,0,0.2,46978,54,138,1.0,2911.5528548821976,False,0.006060745865171825,0,0.2,64722,87,114,1.0,5458.0475338590595,False,0.04944570452490985,0,0.263,61445,230,109,1.0,7121.826905201692,False,0.011403131215298014,0,0.2,86327,0,0,0.0,0.0,False,0.0,2,0.841,84528,15,10,1.0,949.7723534997638,False,-0.015338350959145172,0.625,432827,0.0,0.0,18,0,0,14,5,4.078431372549019,28,42,55,271.0,180.0,20,25,55,2142,1.8623228073120117,53.372384099289775
25,55,0,0,0,10.000000000000002,20,10.0,20.760631554879936,22,20.5,12.968346602051165,14,13.071428571428571,38.30247685224194,10,41.0,38.00000000000001,11,38.0,8,1.324,39380,13,10,1.0,337.6063155487994,False,0.1207754458518547,4,1.6080000000000003,30427,254,0,0.0,2540.0000000000005,False,-0.10173718366537252,14,5.911000000000001,18770.0,230,0,0.0,4774.945257622385,False,-0.560519450192946,0,0.2,46559,64,148,1.0,3247.9957166158883,False,0.0008516027233588718,0,0.2,65132,77,114,1.0,5365.045049513521,False,0.05510124818752443,0,0.263,61262,234,119,1.0,7592.587850296763,False,0.01221809974870294,0,0.2,86327,0,0,0.0,0.0,False,0.0,1,0.8490000000000002,84491,15,10,1.0,954.5371527836292,False,-0.01573935644245934,0.625,432348,0.0,0.0,17,0,0,15,7,5.944444444444445,31,46,53,313.0,163.0,25,30,53,952,1.964805604889989,55.337189704179764
