index,n_registered_negotiations_before,n_contracts_dropped,n_contracts_nullified_now,n_bankrupt,trading_price_0,sold_quantity_0,unit_price_0,trading_price_1,sold_quantity_1,unit_price_1,trading_price_2,sold_quantity_2,unit_price_2,trading_price_3,sold_quantity_3,unit_price_3,trading_price_4,sold_quantity_4,unit_price_4,spot_market_quantity_00Dec@0,spot_market_loss_00Dec@0,balance_00Dec@0,inventory_00Dec@0_input,inventory_00Dec@0_output,productivity_00Dec@0,assets_00Dec@0,bankrupt_00Dec@0,score_00Dec@0,spot_market_quantity_01Ran@0,spot_market_loss_01Ran@0,balance_01Ran@0,inventory_01Ran@0_input,inventory_01Ran@0_output,productivity_01Ran@0,assets_01Ran@0,bankrupt_01Ran@0,score_01Ran@0,spot_market_quantity_02Ran@1,spot_market_loss_02Ran@1,balance_02Ran@1,inventory_02Ran@1_input,inventory_02Ran@1_output,productivity_02Ran@1,assets_02Ran@1,bankrupt_02Ran@1,score_02Ran@1,spot_market_quantity_03Ran@1,spot_market_loss_03Ran@1,balance_03Ran@1,inventory_03Ran@1_input,inventory_03Ran@1_output,productivity_03Ran@1,assets_03Ran@1,bankrupt_03Ran@1,score_03Ran@1,spot_market_quantity_04Dec@2,spot_market_loss_04Dec@2,balance_04Dec@2,inventory_04Dec@2_input,inventory_04Dec@2_output,productivity_04Dec@2,assets_04Dec@2,bankrupt_04Dec@2,score_04Dec@2,spot_market_quantity_05Dec@2,spot_market_loss_05Dec@2,balance_05Dec@2,inventory_05Dec@2_input,inventory_05Dec@2_output,productivity_05Dec@2,assets_05Dec@2,bankrupt_05Dec@2,score_05Dec@2,spot_market_quantity_06MyA@3,spot_market_loss_06MyA@3,balance_06MyA@3,inventory_06MyA@3_input,inventory_06MyA@3_output,productivity_06MyA@3,assets_06MyA@3,bankrupt_06MyA@3,score_06MyA@3,spot_market_quantity_07Ind@3,spot_market_loss_07Ind@3,balance_07Ind@3,inventory_07Ind@3_input,inventory_07Ind@3_output,productivity_07Ind@3,assets_07Ind@3,bankrupt_07Ind@3,score_07Ind@3,productivity,market_size,production_failures,bankruptcy,n_contracts_executed,n_contracts_erred,n_contracts_nullified,n_contracts_cancelled,n_breaches,breach_level,n_contracts_signed,n_contracts_concluded,n_negotiations,n_negotiation_rounds_successful,n_negotiation_rounds_failed,n_negotiation_successful,n_negotiation_failed,n_registered_negotiations_after,activity_level,step_time,total_time
10,31,0,0,0,10.000000000000002,20,10.0,40.727578214839504,33,45.96969696969697,8.603500117760225,13,6.230769230769231,41.823471246258464,7,22.0,57.0,6,57.0,5,0.5830000000000001,32655,13,10,1.0,537.275782148395,False,0.1319799859403197,0,0.2,28085,100,0,0.0,1000.0000000000002,False,-0.017190991920233798,2,0.6790000000000002,44602,84,0,0.0,3421.1165700465185,False,-0.07927319512876221,11,1.075,43870.0,55,0,0.0,2240.0168018161726,False,-0.10556643338154892,0,0.2,64509,8,63,1.0,2703.706689456365,False,0.026541559037503985,0,0.2,64676,0,44,0.9,1840.2327348353724,False,0.02241523064025832,0,0.2,83833,0,0,0.0,0.0,False,0.0,4,0.48300000000000004,83392,0,7,0.7,399.0,False,-0.002880727159948946,0.44999999999999996,445622,0.0,0.0,18,0,0,14,8,7.3125,18,32,35,112.0,76.0,8,23,35,1249,1.3021619310602546,22.64384325221181
11,35,0,0,0,10.000000000000002,20,10.0,40.727578214839504,0,,8.638710230421397,8,9.125,39.93921517709469,9,30.88888888888889,56.99999999999999,13,57.0,0,0.5780000000000001,32565,12,20,1.0,934.55156429679,False,0.13571517215569529,0,0.2,27975,111,0,0.0,1110.0000000000002,False,-0.019082001031459517,0,0.6770000000000002,44602,84,0,0.0,3421.1165700465185,False,-0.07927319512876221,8,1.1440000000000001,43610.0,55,0,0.0,2240.0168018161726,False,-0.11073541946504793,0,0.2,64592,5,66,1.0,2679.1817528403562,False,0.027644111044923064,0,0.2,64798,0,43,0.1,1717.3862526150715,False,0.023359411551288047,0,0.2,83833,0,0,0.0,0.0,False,0.0,6,0.5390000000000001,83413,0,9,0.9,512.9999999999999,False,-0.001950305965431274,0.375,445388,0.0,0.0,17,0,0,18,7,7.0,22,40,33,200.0,69.0,15,20,33,877,1.6784774605184793,24.32232071273029
12,33,0,0,0,10.000000000000002,20,10.0,40.727578214839504,0,,7.9269312082227295,15,2.8666666666666667,40.81915112580737,2,61.5,57.0,14,57.0,0,0.5780000000000001,32455,13,30,1.0,1351.8273464451852,False,0.1391065385326662,0,0.2,27885,120,0,0.0,1200.0000000000002,False,-0.020629190304280558,6,0.7370000000000001,44380,84,0,0.0,3421.1165700465185,False,-0.08368671401544214,9,1.2260000000000002,43244.0,55,0,0.0,2240.0168018161726,False,-0.11801176141335806,0,0.2,64696,5,74,1.0,3060.251839350859,False,0.03223488761612621,0,0.2,64774,0,48,0.5,1959.319254038754,False,0.02487078192928994,0,0.2,83833,0,0,0.0,0.0,False,0.0,5,0.5830000000000001,83730,0,2,0.2,114.0,False,-0.0005487099352283706,0.3375,444997,0.0,0.0,18,0,0,15,10,10.0,17,32,37,116.0,108.0,9,24,37,836,1.5172941917553544,25.839614904485643
13,37,0,0,0,10.000000000000002,20,10.0,41.768314167941966,32,45.625,7.526882090146802,11,3.5454545454545454,42.93511965731434,5,61.6,56.99999999999999,10,57.0,2,0.5980000000000001,33769,12,10,1.0,537.6831416794197,False,0.17028851885300697,0,0.2,27775,131,0,0.0,1310.0000000000002,False,-0.022520199415506276,11,0.841,43295,98,0,0.0,4093.2947884583127,False,-0.09857559852427125,0,1.217,42428.0,73,0,0.0,3049.0869342597634,False,-0.12619197878469426,0,0.2,64867,1,81,1.0,3485.2715743326085,False,0.03821247213389298,0,0.2,64872,0,51,0.5,2189.691102523031,False,0.028193608766818142,0,0.2,83833,0,0,0.0,0.0,False,0.0,8,0.6580000000000001,83380,0,5,0.5,284.99999999999994,False,-0.003703792062791502,0.375,444219,0.0,0.0,18,0,0,13,9,8.0,23,36,38,236.0,87.0,16,21,38,1842,1.5669897254556417,27.406604629941285
14,38,0,0,0,10.000000000000002,20,10.0,41.792778600476005,16,42.0,7.219024223551357,20,5.55,44.475954756929085,4,61.5,57.0,12,57.0,6,0.656,34183,11,10,1.0,527.92778600476,False,0.18435495592237852,0,0.2,27665,142,0,0.0,1420.0000000000002,False,-0.02441120852673199,18,1.01,41841,114,0,0.0,4764.3767604542645,False,-0.12081136421019616,2,1.237,42353.0,73,0,0.0,3050.872837834748,False,-0.12766527994200055,0,0.2,64949,0,89,1.0,3958.3599733666883,False,0.04317746791800471,0,0.2,64925,1,59,1.0,2631.3003548823676,False,0.032461270261560336,0,0.2,83833,0,0,0.0,0.0,False,0.0,7,0.72,83295,0,4,0.4,228.0,False,-0.005057674185583243,0.425,443044,0.0,0.0,17,0,0,15,12,11.375,22,37,37,181.0,93.0,13,25,37,731,1.4396530147641897,28.846257644705474
15,37,0,0,0,10.000000000000002,20,10.0,41.99827560480797,14,44.0,6.467849490014289,21,2.3333333333333335,45.24836615726981,2,62.0,57.00000000000001,10,57.0,4,0.6900000000000002,34567,13,10,1.0,549.9827560480798,False,0.19793678452893376,0,0.2,27585,150,0,0.0,1500.0000000000002,False,-0.025786487880350695,7,1.0620000000000003,40969,128,0,0.0,5375.77927741542,False,-0.13206978849487652,14,1.3750000000000002,41757.0,73,0,0.0,3065.874119150982,False,-0.13936506839810162,0,0.2,65038,8,97,1.0,4440.834313175285,False,0.04832471642800034,0,0.2,64911,0,63,0.4,2850.647067907998,False,0.033952485020636504,0,0.2,83833,0,0,0.0,0.0,False,0.0,6,0.7730000000000001,83307,0,2,0.2,114.00000000000001,False,-0.005594455643958823,0.32499999999999996,441967,0.0,0.0,14,0,0,16,9,8.285714285714285,19,35,35,138.0,107.0,11,26,35,552,1.2548624612390995,30.101120105944574
16,35,0,0,0,10.000000000000002,20,10.0,41.69911667597057,15,39.0,6.086598540500039,10,1.4,45.64876459586666,1,62.0,57.00000000000001,10,57.0,5,0.736,34942,10,10,1.0,516.9911667597057,False,0.21026287032421703,0,0.2,27455,163,0,0.0,1630.0000000000002,False,-0.02802131682998109,4,1.0950000000000002,40818,128,0,0.0,5337.486934524233,False,-0.1354524161578108,6,1.4210000000000003,40942.0,88,0,0.0,3669.5222674854103,False,-0.1495673730866261,0,0.2,65032,2,107,1.0,4896.591008838732,False,0.051783027906408645,0,0.2,64965,0,68,0.6,3104.1159925189327,False,0.03676950647245026,0,0.2,83833,0,0,0.0,0.0,False,0.0,8,0.8470000000000002,83204,0,1,0.1,57.00000000000001,False,-0.007163050350100795,0.3375,441191,0.0,0.0,12,0,0,12,10,9.333333333333332,21,33,34,189.0,73.0,13,22,34,376,1.4729756284505129,31.574095734395087
17,34,0,0,0,10.000000000000002,20,10.0,41.74719885702031,2,45.0,5.347765621361773,27,2.074074074074074,42.74263695588515,10,31.8,57.0,11,57.0,0,0.7310000000000001,34942,9,18,1.0,841.4495794263655,False,0.21584063227482145,0,0.2,27345,174,0,0.0,1740.0000000000002,False,-0.029912325941206807,2,1.1110000000000002,40656,130,0,0.0,5427.1358514126405,False,-0.13778194978715078,25,1.6650000000000003,39630.0,88,0,0.0,3673.753499417787,False,-0.175608812133024,0,0.2,65126,4,110,1.0,4723.081127632814,False,0.051895953175230033,0,0.2,65133,5,75,1.0,3232.4365997981954,False,0.040388077868685195,0,0.2,83833,0,0,0.0,0.0,False,0.0,10,0.9390000000000003,82718,0,10,1.0,570.0,False,-0.009900635787816255,0.5,439383,0.0,0.0,14,0,0,13,14,13.5,20,33,37,156.0,74.0,11,23,37,608,1.462588520720601,33.03668425511569
18,37,0,0,0,10.000000000000002,20,10.0,41.74719885702031,0,,5.065978823979148,18,3.0,43.556094450256815,2,61.0,57.0,12,57.0,0,0.7310000000000001,34892,4,28,1.0,1208.9215679965687,False,0.22043874106922076,0,0.2,27195,189,0,0.0,1890.0000000000002,False,-0.032490974729241874,8,1.1890000000000003,40361,130,0,0.0,5427.1358514126405,False,-0.14364676092035156,10,1.7400000000000004,39208.0,88,0,0.0,3673.753499417787,False,-0.18399847416085702,0,0.2,65240,0,115,0.7,5008.950861779534,False,0.05590067381916157,0,0.2,65087,10,85,1.0,3752.9278165116207,False,0.04372742149468209,0,0.2,83833,0,0,0.0,0.0,False,0.0,2,0.9490000000000003,83141,0,2,0.2,114.0,False,-0.007574582801522073,0.3625,438957,0.0,0.0,16,0,0,11,9,8.333333333333332,19,30,38,143.0,81.0,10,27,38,778,2.6199076864868402,35.65659194160253
19,38,0,0,0,10.000000000000002,20,10.0,41.66629226476275,6,40.0,5.143213517075319,11,6.090909090909091,44.78495079045477,3,61.333333333333336,57.0,12,57.0,0,0.7310000000000001,35082,0,31,0.9,1291.6550602076454,False,0.2283935887950429,0,0.2,27045,204,0,0.0,2040.0000000000005,False,-0.035069623517276945,5,1.231,39952,136,0,0.0,5666.6157480077345,False,-0.14939745777328292,6,1.7900000000000003,39007.0,88,0,0.0,3666.6337192991223,False,-0.18806527117992922,0,0.2,65360,0,114,0.1,5105.484390111844,False,0.05852336723488765,0,0.2,65084,10,94,1.0,4261.217509473502,False,0.047641895862351534,0,0.2,83833,0,0,0.0,0.0,False,0.0,10,1.0470000000000002,82846,0,3,0.3,171.0,False,-0.010753521882790787,0.28750000000000003,438209,0.0,0.0,14,0,0,6,11,10.75,21,27,38,138.0,87.0,9,29,38,681,1.4597722562029958,37.116364197805524
20,38,0,0,0,10.000000000000002,20,10.0,41.8506084017004,10,44.0,5.057726969701008,4,2.25,46.69317031803827,5,61.6,56.99999999999999,13,57.0,0,0.7310000000000001,35402,2,31,1.0,1317.3688604527124,False,0.239837869356244,0,0.2,26965,212,0,0.0,2120.0000000000005,False,-0.03644490287089565,1,1.236,39477,146,0,0.0,6110.188826648258,False,-0.15443152259792986,3,1.814000000000001,38899.0,88,0,0.0,3682.853539349635,False,-0.19005115766054048,0,0.2,65477,0,115,0.3,5369.714586574401,False,0.06240620488929213,0,0.2,65266,1,101,1.0,4721.067929091567,False,0.05406237670354104,0,0.2,83833,0,0,0.0,0.0,False,0.0,10,1.1370000000000002,82484,0,5,0.5,284.99999999999994,False,-0.01439170732289194,0.35,437803,0.0,0.0,18,0,0,6,8,7.5,27,33,44,103.0,115.0,7,31,44,1062,1.574067398905754,38.69043159671128
21,44,0,0,0,10.000000000000002,20,10.0,42.15254626383286,17,44.1764705882353,5.008147184441675,5,3.8,48.02702034110116,4,61.25,57.0,11,57.0,0,0.7310000000000001,36083,0,23,0.9,969.5085640681558,False,0.25727193680708527,0,0.2,26835,225,0,0.0,2250.0000000000005,False,-0.038679731820526045,1,1.245,39397,147,0,0.0,6196.42430078343,False,-0.15516476838187446,4,1.8510000000000004,38057.0,104,0,0.0,4383.864811438618,False,-0.1998224173813259,0,0.2,65596,0,114,0.1,5475.080318885532,False,0.06508214344965192,0,0.2,65373,0,104,0.5,4994.81011547452,False,0.057863478564438645,0,0.2,83833,0,0,0.0,0.0,False,0.0,6,1.1870000000000003,82424,0,4,0.4,228.0,False,-0.015447377524363913,0.2375,437598,0.0,0.0,21,0,0,7,6,6.0,30,37,41,195.0,109.0,14,30,41,1481,1.6527962572872639,40.34322785399854
22,41,0,0,0,10.000000000000002,20,10.0,42.30249458917323,11,43.90909090909091,5.023411326896548,11,5.181818181818182,49.22577428145146,4,61.0,57.0,9,57.0,0,0.7310000000000001,36456,1,22,1.0,940.654880961811,False,0.2696003933464296,0,0.2,26745,234,0,0.0,2340.0000000000005,False,-0.040226921093347086,11,1.3540000000000003,38746,152,0,0.0,6429.979177554331,False,-0.1657854952529391,0,1.8470000000000006,37799.0,110,0,0.0,4653.274404809055,False,-0.2022736142663116,0,0.2,65694,0,115,0.3,5660.964042366918,False,0.06805826274484023,0,0.2,65462,0,110,0.8,5414.83517095966,False,0.0625240435406313,0,0.2,83833,0,0,0.0,0.0,False,0.0,5,1.231,82334,0,4,0.4,228.0,False,-0.016520940441115073,0.3125,437069,0.0,0.0,18,0,0,11,6,6.0,23,34,40,174.0,103.0,12,29,40,1155,1.431946735829115,41.77517458982766
23,40,0,0,0,10.000000000000002,20,10.0,42.45978518379716,6,45.5,4.905810459218209,8,3.25,50.11526942948911,3,61.666666666666664,57.0,9,57.0,0,0.7310000000000001,36649,0,25,0.9,1061.494629594929,False,0.278313471370035,0,0.2,26625,246,0,0.0,2460.0000000000005,False,-0.042289840123775145,3,1.3730000000000002,38496,155,0,0.0,6581.26670348856,False,-0.16925182203291683,5,1.8970000000000005,37482.0,113,0,0.0,4797.9557257690785,False,-0.20713761704006883,0,0.2,65693,0,116,0.1,5813.3712538207365,False,0.06923042530799547,0,0.2,65622,0,114,0.7,5713.140714961759,False,0.06734265964464092,0,0.2,83833,0,0,0.0,0.0,False,0.0,5,1.2760000000000002,82298,0,3,0.3,171.0,False,-0.017290327198120074,0.25,436698,0.0,0.0,18,0,0,11,9,9.0,22,33,38,154.0,102.0,10,30,38,886,1.4652352556586266,43.24040984548628
24,38,0,0,0,10.000000000000002,20,10.0,42.45978518379716,0,,4.500467423308846,22,2.5,50.940866578385865,3,61.333333333333336,57.0,10,57.0,0,0.7310000000000001,36519,3,35,1.0,1516.0924814329005,False,0.2816588014686764,0,0.2,26555,253,0,0.0,2530.0000000000005,False,-0.043493209558191505,16,1.5300000000000002,37790,155,0,0.0,6581.26670348856,False,-0.1832876073211872,6,1.9520000000000002,37253.0,113,0,0.0,4797.9557257690785,False,-0.2116903009366891,0,0.2,65765,7,124,1.0,6348.170727683009,False,0.07452048635932385,0,0.2,65679,0,118,0.5,6011.022256249532,False,0.0705525597450788,0,0.2,83833,0,0,0.0,0.0,False,0.0,7,1.3410000000000002,82161,0,3,0.3,171.0,False,-0.018924528526952394,0.35,435555,0.0,0.0,17,0,0,10,10,10.0,20,30,41,155.0,105.0,10,28,41,555,1.5895793959498405,44.829989241436124
25,41,0,0,0,10.000000000000002,20,10.0,42.51418415919012,2,45.5,4.586693192511363,10,5.6,51.46089165639133,2,61.0,56.99999999999999,10,57.0,0,0.7310000000000001,36510,3,43,1.0,1858.1099188451753,False,0.2872289826172456,0,0.2,26455,263,0,0.0,2630.0000000000005,False,-0.04521230875021489,4,1.5540000000000003,37579,157,0,0.0,6674.726912992849,False,-0.18655341040762577,6,2.0060000000000002,37026.0,113,0,0.0,4804.102809988484,False,-0.21614211918500512,0,0.2,65872,0,132,1.0,6792.837698643656,False,0.0796536495732695,0,0.2,65638,0,125,0.7,6432.611457048916,False,0.07319906681200251,0,0.2,83833,0,0,0.0,0.0,False,0.0,7,1.4040000000000001,82081,0,2,0.2,113.99999999999999,False,-0.02021876826548018,0.3625,434994,0.0,0.0,15,0,0,11,10,9.5,26,37,36,173.0,90.0,13,28,36,527,1.3709229500964284,46.20091219153255
