index,n_registered_negotiations_before,n_contracts_dropped,n_contracts_nullified_now,n_bankrupt,trading_price_0,sold_quantity_0,unit_price_0,trading_price_1,sold_quantity_1,unit_price_1,trading_price_2,sold_quantity_2,unit_price_2,trading_price_3,sold_quantity_3,unit_price_3,trading_price_4,sold_quantity_4,unit_price_4,spot_market_quantity_00Buy@0,spot_market_loss_00Buy@0,balance_00Buy@0,inventory_00Buy@0_input,inventory_00Buy@0_output,productivity_00Buy@0,assets_00Buy@0,bankrupt_00Buy@0,score_00Buy@0,spot_market_quantity_01Ran@0,spot_market_loss_01Ran@0,balance_01Ran@0,inventory_01Ran@0_input,inventory_01Ran@0_output,productivity_01Ran@0,assets_01Ran@0,bankrupt_01Ran@0,score_01Ran@0,spot_market_quantity_02Dec@1,spot_market_loss_02Dec@1,balance_02Dec@1,inventory_02Dec@1_input,inventory_02Dec@1_output,productivity_02Dec@1,assets_02Dec@1,bankrupt_02Dec@1,score_02Dec@1,spot_market_quantity_03Dec@1,spot_market_loss_03Dec@1,balance_03Dec@1,inventory_03Dec@1_input,inventory_03Dec@1_output,productivity_03Dec@1,assets_03Dec@1,bankrupt_03Dec@1,score_03Dec@1,spot_market_quantity_04Ind@2,spot_market_loss_04Ind@2,balance_04Ind@2,inventory_04Ind@2_input,inventory_04Ind@2_output,productivity_04Ind@2,assets_04Ind@2,bankrupt_04Ind@2,score_04Ind@2,spot_market_quantity_05Ran@2,spot_market_loss_05Ran@2,balance_05Ran@2,inventory_05Ran@2_input,inventory_05Ran@2_output,productivity_05Ran@2,assets_05Ran@2,bankrupt_05Ran@2,score_05Ran@2,spot_market_quantity_06MyA@3,spot_market_loss_06MyA@3,balance_06MyA@3,inventory_06MyA@3_input,inventory_06MyA@3_output,productivity_06MyA@3,assets_06MyA@3,bankrupt_06MyA@3,score_06MyA@3,spot_market_quantity_07Buy@3,spot_market_loss_07Buy@3,balance_07Buy@3,inventory_07Buy@3_input,inventory_07Buy@3_output,productivity_07Buy@3,assets_07Buy@3,bankrupt_07Buy@3,score_07Buy@3,productivity,market_size,production_failures,bankruptcy,n_contracts_executed,n_contracts_erred,n_contracts_nullified,n_contracts_cancelled,n_breaches,breach_level,n_contracts_signed,n_contracts_concluded,n_negotiations,n_negotiation_rounds_successful,n_negotiation_rounds_failed,n_negotiation_successful,n_negotiation_failed,n_registered_negotiations_after,activity_level,step_time,total_time
10,44,0,0,0,10.000000000000002,20,10.0,6.070495186232867,11,1.8181818181818181,32.41685378248144,6,43.833333333333336,13.94430690017549,20,3.85,57.000000000000014,10,57.0,1,0.336,68526,116,0,0.0,1160.0000000000002,False,-0.01124592228008928,10,1.3530000000000002,65561.0,104,0,0.0,1040.0000000000002,False,-0.05452698449035655,0,0.263,99514,1,40,1.0,1302.7446464854904,False,0.014620574170324181,0,0.2,99665,1,35,1.0,1140.6603775730832,False,0.015329209181201132,0,0.254,144289,0,5,0.1,69.72153450087745,False,0.0027155743800966006,19,1.7670000000000003,131719,41,0,0.0,1329.091005081739,False,-0.08024187988480154,0,0.2,213088,0,15,0.0,855.0000000000002,False,0.0005975031398204211,10,0.8580000000000001,210391,189,0,0.0,2635.474004133168,False,-0.007869528736074338,0.2625,1032753,0.0,0.0,9,0,0,11,7,7.0,20,31,46,292.0,127.0,22,22,46,521,3.1781238740077242,71.72467364493059
11,46,0,0,0,10.000000000000002,20,10.0,5.7802250633616445,20,4.25,32.777783197807985,6,36.666666666666664,13.303914372973084,20,9.0,57.000000000000014,12,57.0,3,0.36500000000000005,68334,131,0,0.0,1310.0000000000002,False,-0.012919933611858296,17,1.5130000000000003,65072.0,109,0,0.0,1090.0000000000002,False,-0.061165798660790936,0,0.263,99507,0,49,1.0,1606.1113766925912,False,0.016086137723570225,0,0.2,99807,2,40,1.0,1322.6717780390427,False,0.017689429803078575,3,0.28400000000000003,144172,0,4,0.4,53.21565749189234,False,0.0018453574145327243,12,1.8680000000000008,131091,43,0,0.0,1409.4446775057434,False,-0.08432588538588871,0,0.2,213088,0,15,0.0,855.0000000000002,False,0.0005975031398204211,12,0.9680000000000002,209943,209,0,0.0,2780.5181039513745,False,-0.009629130729114675,0.3,1031014,0.0,0.0,9,0,0,13,13,12.375,20,33,36,321.0,129.0,24,22,36,420,3.2758072200231254,75.00048086495372
12,36,0,0,0,10.000000000000002,20,10.0,5.419582620572695,16,2.875,32.03476501479929,7,25.285714285714285,12.195866416870262,51,9.176470588235295,57.00000000000001,12,57.0,2,0.382,68217,140,0,0.0,1400.0000000000002,False,-0.013950094431408459,14,1.6360000000000006,64603.0,120,0,0.0,1200.0000000000002,False,-0.06708922337320437,0,0.263,99567,0,49,0.2,1569.7034857251651,False,0.016509508953045707,0,0.2,99878,6,45,1.0,1474.0819213894042,False,0.01917547214090787,8,0.36100000000000004,144052,0,2,0.2,24.391732833740523,False,0.0009115065093958844,39,2.246000000000001,128155,48,0,0.0,1537.668720710366,False,-0.10427883556685974,0,0.2,213088,0,15,0.0,855.0000000000001,False,0.0005975031398204211,12,1.076,209245,260,0,0.0,3170.925268386268,False,-0.011985385147275719,0.175,1026805,0.0,0.0,10,0,0,12,16,15.8,16,28,38,233.0,101.0,18,18,38,495,2.707068277988583,77.7075491429423
13,38,0,0,0,10.000000000000002,20,10.0,4.909357346701574,20,1.95,33.25074467510337,7,44.285714285714285,11.793905244651945,45,10.266666666666667,57.000000000000014,8,57.0,1,0.39,68104,150,0,0.0,1500.0000000000002,False,-0.01485148514851485,19,1.8120000000000005,63967.0,130,0,0.0,1300.0000000000002,False,-0.07547358782120987,0,0.263,99811,3,53,1.0,1777.0175398205834,False,0.020031084964955002,0,0.2,99905,3,54,1.0,1810.2682844956867,False,0.021151659632582843,1,0.363,144179,0,0,0.0,0.0,False,0.0017091285528683484,42,2.627000000000001,124893,55,0,0.0,1828.7909571306852,False,-0.1259308464454618,0,0.2,212914,0,18,0.3,1026.0000000000002,False,0.00018276566629801114,8,1.1440000000000003,208835,302,0,0.0,3561.7593838848875,False,-0.012990985004112464,0.2875,1022608,0.0,0.0,7,0,0,12,13,12.333333333333334,18,30,39,290.0,91.0,20,18,39,510,2.288780053029768,79.99632919597207
14,39,0,0,0,10.000000000000002,20,10.0,4.679358267040577,12,2.3333333333333335,34.06585030694159,4,47.0,12.20496286184083,20,16.2,57.0,12,57.0,0,0.389,67984,162,0,0.0,1620.0000000000002,False,-0.015709952498139987,12,1.9130000000000005,63594.0,138,0,0.0,1380.0000000000002,False,-0.08023808161162937,0,0.263,99795,0,62,0.9,2112.0827190303785,False,0.02156602742565174,0,0.2,100081,0,59,0.9,2009.885168109554,False,0.02394544867460928,4,0.4020000000000001,144220,0,0,0.0,0.0,False,0.0019939833116797397,16,2.7450000000000014,123949,59,0,0.0,2009.885168109554,False,-0.1318603615289421,0,0.2,212914,0,18,0.0,1026.0,False,0.00018276566629801114,12,1.256,208247,322,0,0.0,3929.998041512747,False,-0.014883690644476878,0.225,1020784,0.0,0.0,6,0,0,13,12,12.0,15,28,36,253.0,141.0,18,21,36,388,2.2346912230132148,82.23102041898528
15,36,0,0,0,10.000000000000002,20,10.0,4.3636973376574195,17,2.1176470588235294,35.692344219029984,9,46.666666666666664,12.718722572517024,4,37.5,56.99999999999999,13,57.0,2,0.4090000000000001,67847,173,0,0.0,1730.0000000000002,False,-0.01688319120929434,15,2.0510000000000006,63101.0,147,0,0.0,1470.0000000000002,False,-0.08664797115549705,0,0.263,100012,0,63,0.6,2248.617685798889,False,0.024455631398264194,0,0.2,100248,1,65,1.0,2324.3660715746064,False,0.027229827554013257,2,0.41800000000000004,144242,0,0,0.0,0.0,False,0.002146832206651706,2,2.7490000000000006,123469,68,0,0.0,2427.079406894039,False,-0.133745981092265,0,0.2,212914,0,18,0.0,1025.9999999999998,False,0.00018276566629801114,13,1.3740000000000003,207800,326,0,0.0,4146.303558640549,False,-0.016471630179202834,0.2,1019633,0.0,0.0,8,0,0,12,11,11.0,16,28,35,242.0,117.0,18,18,35,620,2.1274459520354867,84.35846637102077
16,35,0,0,0,10.000000000000002,20,10.0,4.074308995336184,26,2.6923076923076925,36.612075559553766,7,44.857142857142854,12.472735914883375,33,11.151515151515152,56.99999999999999,10,57.0,0,0.40700000000000003,67767,181,0,0.0,1810.0000000000002,False,-0.017455502775711097,26,2.2960000000000007,62225.0,159,0,0.0,1590.0000000000002,False,-0.0983231271103989,0,0.263,100215,0,65,0.7,2379.784911370995,False,0.02717623686397653,0,0.2,100289,10,73,1.0,2713.424605800787,False,0.02961561053159782,5,0.4660000000000001,144252,0,1,0.1,12.472735914883375,False,0.002259637247590432,28,3.0270000000000006,121432,74,0,0.0,2709.2935914069785,False,-0.14691803272561893,0,0.2,212856,0,19,0.1,1082.9999999999998,False,4.4519841790541175e-05,10,1.4610000000000003,207310,358,0,0.0,4465.239457528248,False,-0.01802060224209369,0.2375,1016346,0.0,0.0,8,0,0,16,14,14.0,18,34,38,338.0,46.0,24,11,38,514,2.1789461169973947,86.53741248801816
17,38,0,0,0,10.000000000000002,20,10.0,4.531415498368421,23,7.217391304347826,38.249066897461645,17,44.294117647058826,12.31445906628866,38,11.526315789473685,56.99999999999999,11,57.0,15,0.5570000000000002,67424,193,0,0.0,1930.0000000000005,False,-0.021504607108109655,8,2.3500000000000005,61972.0,167,0,0.0,1670.0000000000002,False,-0.10137068620156814,0,0.263,100725,0,55,0.2,2103.6986793603905,False,0.030943957169427213,0,0.2,100366,21,78,1.0,3078.586943467745,False,0.032245026151555674,15,0.611,143853,0,1,0.1,12.31445906628866,False,-0.000513035721251158,22,3.2190000000000007,119408,90,0,0.0,3442.416020771548,False,-0.15843338212650487,0,0.2,212856,0,19,0.0,1082.9999999999998,False,4.4519841790541175e-05,11,1.5610000000000004,206648,396,0,0.0,4876.525790250309,False,-0.020159226877213488,0.1625,1013252,0.0,0.0,11,0,0,11,13,12.923076923076923,16,27,39,264.0,123.0,19,19,39,953,2.060512199997902,88.59792468801606
18,39,0,0,0,10.000000000000002,20,10.0,4.274378643963931,24,2.75,38.7108602946306,4,47.0,13.016304447837433,29,17.96551724137931,56.999999999999986,10,57.0,0,0.542,67324,203,0,0.0,2030.0000000000005,False,-0.022219996566130603,24,2.5820000000000007,61166.0,177,0,0.0,1770.0000000000002,False,-0.11218737480684485,0,0.263,100694,3,65,1.0,2529.029055082881,False,0.03278412641094629,0,0.2,100519,22,84,1.0,3345.748594916177,False,0.03514793356554853,12,0.7160000000000002,143595,0,0,0.0,0.0,False,-0.002348314840932934,16,3.357,118540,94,0,0.0,3638.8208676952763,False,-0.16378168707768453,0,0.2,212856,0,19,0.0,1082.9999999999998,False,4.4519841790541175e-05,10,1.6500000000000001,205961,425,0,0.0,5531.929390330909,False,-0.021843005721195862,0.25,1010655,0.0,0.0,5,0,0,16,13,12.9,17,33,32,310.0,98.0,23,16,32,388,2.3645613790140487,90.96248606703011
19,32,0,0,0,10.000000000000002,20,10.0,4.48103275185058,23,5.826086956521739,39.541527480551174,8,46.625,13.216044761885536,14,16.214285714285715,56.999999999999986,14,57.0,1,0.552,67271,207,0,0.0,2070.0000000000005,False,-0.022692153608424425,22,2.778000000000001,60489.0,193,0,0.0,1930.0000000000005,False,-0.12072912493561495,0,0.263,100919,0,64,0.4,2530.657758755275,False,0.03507150259696567,0,0.2,100533,34,91,1.0,3750.6341142930764,False,0.03734038063599345,8,0.7840000000000003,143363,0,0,0.0,0.0,False,-0.003960175915182758,6,3.4010000000000002,117963,102,0,0.0,4033.23580301622,False,-0.1664203629361709,0,0.2,212856,0,19,0.0,1082.9999999999998,False,4.4519841790541175e-05,14,1.7800000000000002,205460,439,0,0.0,5801.84365046775,False,-0.023558392106238984,0.175,1008854,0.0,0.0,8,0,0,12,10,10.0,16,28,34,295.0,78.0,18,14,34,573,2.6106433480163105,93.57312941504642
20,34,0,0,0,10.000000000000002,20,10.0,4.892214513138036,27,7.2592592592592595,38.40669448769857,7,27.285714285714285,13.180585051126055,23,12.869565217391305,56.999999999999986,14,57.0,19,0.7410000000000001,66878,218,0,0.0,2180.0000000000005,False,-0.027528186344646027,8,2.8360000000000007,60218.0,202,0,0.0,2020.0000000000005,False,-0.12396268528586962,0,0.263,100888,0,70,0.6,2688.4686141389,False,0.03555675844360373,0,0.2,100559,45,94,1.0,3830.3789349348776,False,0.03800763221437411,9,0.8660000000000003,143102,0,0,0.0,0.0,False,-0.005773519623713811,14,3.535,117212,109,0,0.0,4186.329699159144,False,-0.1711062449224322,0,0.2,212856,0,19,0.0,1082.9999999999998,False,4.4519841790541175e-05,14,1.9060000000000006,204851,462,0,0.0,6089.4302936202375,False,-0.025738489761326283,0.2,1006564,0.0,0.0,7,0,0,15,11,11.0,13,28,31,250.0,81.0,18,16,31,391,2.841289814969059,96.41441923001548
21,31,0,0,0,10.000000000000002,20,10.0,4.819628175665792,6,2.8333333333333335,36.62765003625004,16,29.0625,12.438473365289775,39,8.58974358974359,56.99999999999999,9,57.0,0,0.7220000000000002,66778,228,0,0.0,2280.0000000000005,False,-0.02824357580266697,6,2.888000000000001,59992.0,212,0,0.0,2120.0000000000005,False,-0.12648085617810337,0,0.263,101133,0,64,0.0,2344.1696023200025,False,0.03629469420352103,0,0.2,100762,41,94,1.0,3640.603858609801,False,0.039102752469610626,9,0.9470000000000003,142841,0,0,0.0,0.0,False,-0.007586863332244864,30,3.821,115085,125,0,0.0,4578.456254531255,False,-0.18452176966181746,0,0.2,212856,0,19,0.0,1082.9999999999998,False,4.4519841790541175e-05,9,1.9820000000000002,204377,501,0,0.0,6231.6751560101775,False,-0.027626494563869106,0.125,1003824,0.0,0.0,8,0,0,13,7,7.0,13,26,35,224.0,94.0,16,15,35,665,4.23834026203258,100.65275949204806
22,35,0,0,0,10.000000000000002,20,10.0,4.991487487473957,38,5.684210526315789,37.32043087809744,5,47.8,12.579472322570078,30,13.6,56.999999999999986,12,57.0,14,0.8620000000000003,66500,239,0,0.0,2390.0000000000005,False,-0.031434212785440396,24,3.122000000000001,59277.0,221,0,0.0,2210.0000000000005,False,-0.13606707491558404,0,0.263,101209,7,69,1.0,2610.050143001041,False,0.03841114515002253,0,0.2,100709,52,104,1.0,4140.88216067078,False,0.041099664515866746,10,1.0380000000000003,142551,0,0,0.0,0.0,False,-0.009601689675057144,20,3.9910000000000005,113965,130,0,0.0,4851.656014152667,False,-0.1913541161021008,0,0.2,212856,0,19,0.0,1082.9999999999998,False,4.4519841790541175e-05,12,2.0930000000000004,203704,531,0,0.0,6679.699803284711,False,-0.029730585123613516,0.25,1000771,0.0,0.0,7,0,0,13,10,10.0,20,33,31,302.0,76.0,23,12,31,439,2.41240855603246,103.06516804808052
23,31,0,0,0,10.000000000000002,20,10.0,4.878766638139047,5,1.0,37.81543552419122,5,45.0,12.457414545027197,20,11.1,56.999999999999986,10,57.0,0,0.8480000000000003,66380,251,0,0.0,2510.0000000000005,False,-0.03229268013506553,5,3.1480000000000015,59081.0,229,0,0.0,2290.0000000000005,False,-0.13829909002460938,0,0.263,101434,0,71,0.7,2684.8959222175768,False,0.04106934585106448,0,0.2,100704,47,114,1.0,4540.261681750335,False,0.04307176557277167,10,1.1280000000000003,142261,0,0,0.0,0.0,False,-0.011616516017869425,10,4.071000000000001,113245,135,0,0.0,5105.083795765815,False,-0.19547607638357492,0,0.2,212856,0,19,0.0,1082.9999999999998,False,4.4519841790541175e-05,10,2.1810000000000005,203302,551,0,0.0,6864.035414309986,False,-0.03118255146889704,0.2125,999263,0.0,0.0,6,0,0,15,9,9.0,12,27,31,242.0,83.0,17,14,31,425,2.305864561989438,105.37103261006996
24,31,0,0,0,10.000000000000002,20,10.0,4.942247748466687,2,10.0,35.41160038865242,19,26.57894736842105,11.539582694321314,19,1.0,56.999999999999986,8,57.0,2,0.8680000000000003,66244,262,0,0.0,2620.0000000000005,False,-0.03345161105705946,0,3.1430000000000007,58991.0,238,0,0.0,2380.0000000000005,False,-0.13894294053682824,0,0.263,101659,0,66,0.0,2337.1656256510596,False,0.04158731400119045,0,0.2,100964,39,110,1.0,4088.0237049419666,False,0.043414961735691975,0,1.118,142261,0,0,0.0,0.0,False,-0.011616516017869425,19,4.251000000000001,111695,154,0,0.0,5453.386459852472,False,-0.2050350285902035,0,0.2,212856,0,19,0.0,1082.9999999999998,False,4.4519841790541175e-05,8,2.2510000000000003,203153,570,0,0.0,6577.562135763149,False,-0.032552059778986696,0.125,997823,0.0,0.0,7,0,0,14,5,5.0,13,27,35,241.0,70.0,17,14,35,705,2.0926312610390596,107.46366387110902
