index,n_registered_negotiations_before,n_contracts_dropped,n_contracts_nullified_now,n_bankrupt,trading_price_0,sold_quantity_0,unit_price_0,trading_price_1,sold_quantity_1,unit_price_1,trading_price_2,sold_quantity_2,unit_price_2,trading_price_3,sold_quantity_3,unit_price_3,trading_price_4,sold_quantity_4,unit_price_4,spot_market_quantity_00Ran@0,spot_market_loss_00Ran@0,balance_00Ran@0,inventory_00Ran@0_input,inventory_00Ran@0_output,productivity_00Ran@0,assets_00Ran@0,bankrupt_00Ran@0,score_00Ran@0,spot_market_quantity_01Ran@0,spot_market_loss_01Ran@0,balance_01Ran@0,inventory_01Ran@0_input,inventory_01Ran@0_output,productivity_01Ran@0,assets_01Ran@0,bankrupt_01Ran@0,score_01Ran@0,spot_market_quantity_02MyA@1,spot_market_loss_02MyA@1,balance_02MyA@1,inventory_02MyA@1_input,inventory_02MyA@1_output,productivity_02MyA@1,assets_02MyA@1,bankrupt_02MyA@1,score_02MyA@1,spot_market_quantity_03Dec@1,spot_market_loss_03Dec@1,balance_03Dec@1,inventory_03Dec@1_input,inventory_03Dec@1_output,productivity_03Dec@1,assets_03Dec@1,bankrupt_03Dec@1,score_03Dec@1,spot_market_quantity_04Ind@2,spot_market_loss_04Ind@2,balance_04Ind@2,inventory_04Ind@2_input,inventory_04Ind@2_output,productivity_04Ind@2,assets_04Ind@2,bankrupt_04Ind@2,score_04Ind@2,spot_market_quantity_05Dec@2,spot_market_loss_05Dec@2,balance_05Dec@2,inventory_05Dec@2_input,inventory_05Dec@2_output,productivity_05Dec@2,assets_05Dec@2,bankrupt_05Dec@2,score_05Dec@2,spot_market_quantity_06Buy@3,spot_market_loss_06Buy@3,balance_06Buy@3,inventory_06Buy@3_input,inventory_06Buy@3_output,productivity_06Buy@3,assets_06Buy@3,bankrupt_06Buy@3,score_06Buy@3,spot_market_quantity_07Dec@3,spot_market_loss_07Dec@3,balance_07Dec@3,inventory_07Dec@3_input,inventory_07Dec@3_output,productivity_07Dec@3,assets_07Dec@3,bankrupt_07Dec@3,score_07Dec@3,productivity,market_size,production_failures,bankruptcy,n_contracts_executed,n_contracts_erred,n_contracts_nullified,n_contracts_cancelled,n_breaches,breach_level,n_contracts_signed,n_contracts_concluded,n_negotiations,n_negotiation_rounds_successful,n_negotiation_rounds_failed,n_negotiation_successful,n_negotiation_failed,n_registered_negotiations_after,activity_level,step_time,total_time
10,29,0,0,0,10.000000000000002,20,10.0,5.5638161501728245,6,2.8333333333333335,29.634621512843818,14,33.357142857142854,30.746922063359587,17,26.0,42.0,20,42.0,1,0.8760000000000003,61645,108,0,0.0,1080.0000000000002,False,-0.0347391459571892,5,0.7000000000000002,62194,112,0,0.0,1120.0000000000002,False,-0.02590689660524968,0,0.2,85445,0,0,0.0,0.0,False,0.010537644582160513,0,0.20900000000000002,85327,11,58,1.0,1780.0100253968424,False,0.019667963818369657,0,0.6050000000000001,110053,4,10,1.0,426.00770668497114,False,-0.014901604040394506,15,0.5390000000000001,112153,0,0,0.0,0.0,False,0.001956510086300856,8,0.8470000000000002,147523,40,0,0.0,1229.8768825343834,False,-0.012301804596073029,0,0.398,149036,28,14,1.0,1448.9138177740683,False,-0.00148378877014696,0.375,813376,0.0,0.0,14,0,0,17,7,6.8,16,33,28,258.0,91.0,17,12,28,1171,2.1691741610411555,34.39968224707991
11,28,0,0,0,10.000000000000002,20,10.0,5.448457095723251,3,2.0,29.17343068146328,5,23.0,29.243012781298876,23,21.956521739130434,42.0,20,42.0,3,0.9050000000000002,61455,121,0,0.0,1210.0000000000002,False,-0.036679446781428995,0,0.6950000000000001,62124,119,0,0.0,1190.0000000000002,False,-0.02645018083603682,0,0.2,85445,0,0,0.0,0.0,False,0.010537644582160513,0,0.20900000000000002,85436,4,63,1.0,1859.7199613150797,False,0.021428436036823057,9,0.6950000000000001,109979,0,4,0.4,116.9720511251955,False,-0.016943144839257088,4,0.5640000000000001,112082,0,5,0.5,146.21506390649438,False,0.001975338431158127,10,0.9390000000000001,147169,44,0,0.0,1286.6925623771506,False,-0.014472665027445982,0,0.398,149151,37,14,1.0,1669.9914729080585,False,1.9973840062083237e-05,0.3625,812841,0.0,0.0,14,0,0,16,8,7.2,16,32,34,260.0,127.0,17,11,34,768,2.6370931490091607,37.03677539608907
12,34,0,0,0,10.000000000000002,20,10.0,5.139055656476492,13,3.1538461538461537,30.206818487038397,15,34.666666666666664,30.83869285091919,19,41.0,42.0,20,42.0,3,0.9320000000000002,61285,132,0,0.0,1320.0000000000002,False,-0.0384645235397296,10,0.7950000000000002,61825,128,0,0.0,1280.0000000000002,False,-0.03039287211089207,0,0.2,85445,0,0,0.0,0.0,False,0.010537644582160513,0,0.20900000000000002,85915,7,58,1.0,1787.9688618435625,False,0.02666916326751884,10,0.7860000000000003,109722,0,10,1.0,308.38692850919193,False,-0.01838410613169728,0,0.56,112156,0,5,0.5,154.19346425459597,False,0.0026720811561035166,11,1.0390000000000001,146745,49,0,0.0,1511.0959496950404,False,-0.01655155601069775,0,0.398,149000,41,15,1.0,1894.386406887687,False,-0.00023873903413162856,0.4375,812093,0.0,0.0,18,0,0,18,11,11.0,14,32,41,261.0,116.0,16,18,41,1547,2.0179410540149547,39.054716450104024
13,41,0,0,0,10.000000000000002,20,10.0,4.594083250520669,19,2.1052631578947367,30.51902625950379,5,35.0,30.469090737845534,14,27.142857142857142,42.0,20,42.0,18,1.1090000000000002,60738,142,0,0.0,1420.0000000000002,False,-0.046179159616907,1,0.7950000000000002,61704,138,0,0.0,1380.0000000000002,False,-0.03149496297906027,0,0.2,85445,0,0,0.0,0.0,False,0.010537644582160513,0,0.20900000000000002,86050,16,63,1.0,1996.2039863570694,False,0.029497149669779565,0,0.7760000000000002,109727,0,5,0.5,152.34545368922767,False,-0.019036461425084316,0,0.56,112356,0,1,0.0,30.469090737845534,False,0.003906181726454156,10,1.1280000000000001,146423,53,0,0.0,1614.8618091058133,False,-0.018352540590914346,0,0.398,149240,41,15,1.0,1879.232720251667,False,0.0013109243055935032,0.3125,811683,0.0,0.0,14,0,0,19,6,6.0,17,36,38,313.0,143.0,22,19,38,1175,2.0934851719648577,41.14820162206888
14,38,0,0,0,10.000000000000002,20,10.0,4.464629630631414,5,2.0,30.821441589798766,5,35.0,32.109534800937986,12,49.333333333333336,42.0,20,42.0,0,1.0910000000000002,60618,154,0,0.0,1540.0000000000002,False,-0.047110504012542104,5,0.8440000000000001,61524,146,0,0.0,1460.0000000000002,False,-0.033668099902208835,0,0.2,85445,0,0,0.0,0.0,False,0.010537644582160513,0,0.20900000000000002,86215,11,68,1.0,2144.9689540432614,False,0.03232826923648354,0,0.7760000000000002,109752,0,6,0.5,192.65720880562793,False,-0.018633046220068783,7,0.6300000000000001,112455,0,0,0.0,0.0,False,0.004654528561473726,14,1.2580000000000002,145766,61,0,0.0,1958.6816228572172,False,-0.021586841099133808,0,0.398,149296,35,19,1.0,1921.8337180328294,False,0.0018263193763053446,0.3125,811071,0.0,0.0,11,0,0,17,8,7.75,18,35,38,328.0,120.0,20,18,38,827,2.7632635940099135,43.911465216078795
15,38,0,0,0,10.000000000000002,20,10.0,4.318421340010914,10,3.0,30.821441589798766,0,,33.158615421797485,36,36.77777777777778,42.0,20,42.0,10,1.191,60328,162,0,0.0,1620.0000000000002,False,-0.050991105661021684,0,0.8390000000000002,61404,158,0,0.0,1580.0000000000002,False,-0.03459944429784394,0,0.2,85445,0,0,0.0,0.0,False,0.010537644582160513,0,0.20900000000000002,86185,11,78,1.0,2451.5750787444235,False,0.03378654515897777,30,1.076,109794,0,0,0.0,0.0,False,-0.01911840906248325,0,0.623,112455,0,0,0.0,0.0,False,0.004654528561473726,8,1.3240000000000003,145465,65,0,0.0,2155.3100024168366,False,-0.02293823299168293,0,0.398,148676,57,17,1.0,2604.0410790424567,False,-3.320016587720143e-05,0.25,809752,0.0,0.0,14,0,0,21,7,6.5,13,34,42,289.0,184.0,19,19,42,904,3.072960024001077,46.98442524007987
16,42,0,0,0,10.000000000000002,20,10.0,4.119036325516276,25,3.4,29.968022785762397,3,11.0,33.91197928867635,7,49.42857142857143,42.0,20,42.0,15,1.3310000000000002,59883,174,0,0.0,1740.0000000000002,False,-0.05696723219968024,10,0.9390000000000003,61144,166,0,0.0,1660.0000000000002,False,-0.03801437374850597,0,0.2,85445,0,0,0.0,0.0,False,0.010537644582160513,0,0.20900000000000002,86133,26,85,1.0,2654.3768812532267,False,0.03437079784074814,3,1.0760000000000003,109794,0,3,0.3,101.73593786602905,False,-0.018663962969848156,4,0.663,112495,0,0,0.0,0.0,False,0.005011882001893973,8,1.3960000000000004,145210,68,0,0.0,2306.0145916299916,False,-0.024136020110179266,0,0.398,148984,51,15,1.0,2359.5109437224937,False,0.0012051730653557526,0.2875,809088,0.0,0.0,14,0,0,20,8,8.0,17,37,44,343.0,211.0,22,20,44,737,2.5202621680218726,49.504687408101745
17,44,0,0,0,10.000000000000002,20,10.0,4.205604109472296,5,6.0,29.968022785762397,0,,33.91197928867635,0,,42.0,20,42.0,0,1.316,59803,182,0,0.0,1820.0000000000002,False,-0.05758812846343697,5,0.9790000000000003,60944,178,0,0.0,1780.0000000000002,False,-0.04018751067165453,0,0.2,85445,0,0,0.0,0.0,False,0.010537644582160513,0,0.20900000000000002,86103,21,95,1.0,2935.279850946346,False,0.035677081219967904,0,1.0730000000000004,109794,0,3,0.0,101.73593786602905,False,-0.018663962969848156,0,0.6590000000000001,112495,0,0,0.0,0.0,False,0.005011882001893973,11,1.4980000000000002,145045,68,0,0.0,2306.0145916299916,False,-0.025236144790976422,0,0.398,149362,41,16,1.0,2062.3911508357305,False,0.0027349471301271705,0.25,808991,0.0,0.0,10,0,0,16,4,4.0,18,34,32,372.0,128.0,21,23,32,578,3.249875896028243,52.75456330412999
18,32,0,0,0,10.000000000000002,20,10.0,4.265113404123637,12,4.75,30.209784277508195,4,34.0,33.14715385338511,14,25.714285714285715,42.0,20,42.0,7,1.3860000000000001,59593,191,0,0.0,1910.0000000000002,False,-0.06014932555143349,5,1.0240000000000002,60739,189,0,0.0,1890.0000000000002,False,-0.042515871660742284,0,0.2,85445,0,0,0.0,0.0,False,0.010537644582160513,0,0.20900000000000002,86182,23,101,1.0,3149.2858203231713,False,0.0378768941760482,7,1.1430000000000002,109613,0,2,0.2,66.29430770677023,False,-0.02043930214364375,4,0.6990000000000002,112471,0,2,0.2,66.29430770677023,False,0.005093601174382945,8,1.5670000000000002,144739,72,0,0.0,2386.5950774437283,False,-0.02700774395283548,0,0.398,149706,41,14,1.0,1947.0333079887896,False,0.004643970676639282,0.3,808488,0.0,0.0,14,0,0,17,8,7.7,16,33,30,255.0,115.0,18,14,30,840,3.073402679990977,55.827965984120965
19,30,0,0,0,10.000000000000002,20,10.0,3.974666028441033,12,1.5833333333333333,28.74476751324162,8,17.75,32.47876913739521,11,24.272727272727273,42.0,20,42.0,7,1.4490000000000003,59333,202,0,0.0,2020.0000000000005,False,-0.06333141890318675,5,1.0690000000000002,60544,198,0,0.0,1980.0000000000005,False,-0.04484423264983003,0,0.2,85445,0,0,0.0,0.0,False,0.010537644582160513,0,0.20900000000000002,86305,25,103,1.0,3060.0777045749123,False,0.038804064293675715,6,1.1960000000000002,109427,0,6,0.6,194.87261482437128,False,-0.02152664688644934,1,0.7050000000000001,112509,0,2,0.2,64.95753827479042,False,0.00542711570333762,10,1.6590000000000003,144323,83,0,0.0,2695.7378384038025,False,-0.02875079896253646,0,0.398,150126,31,14,1.0,1594.8418432592516,False,0.00627018343165302,0.35,808012,0.0,0.0,16,0,0,19,9,8.75,14,33,25,300.0,110.0,18,12,25,860,2.571346872020513,58.39931285614148
20,25,0,0,0,10.000000000000002,20,10.0,3.9949743073812285,5,4.4,27.53877636836872,9,19.333333333333332,28.971248906013678,33,15.0,42.0,20,42.0,0,1.4420000000000002,59253,210,0,0.0,2100.0000000000005,False,-0.06395231516694348,5,1.1140000000000003,60332,210,0,0.0,2100.0000000000005,False,-0.047203638452105616,0,0.2,85445,0,0,0.0,0.0,False,0.010537644582160513,0,0.20900000000000002,86457,20,104,1.0,2943.932228457971,False,0.03991491962803633,16,1.35,108860,0,9,0.9,260.7412401541231,False,-0.026297902155939495,9,0.7940000000000003,112323,0,0,0.0,0.0,False,0.003475262208086908,9,1.7390000000000003,143701,116,0,0.0,3360.6648730975867,False,-0.03068126096591761,0,0.398,150588,21,13,1.0,1154.3962270262873,False,0.007882214074349426,0.3625,806959,0.0,0.0,14,0,0,10,8,7.272727272727273,17,27,29,197.0,105.0,13,12,29,836,2.1979334210045636,60.59724627714604
21,29,0,0,0,10.000000000000002,20,10.0,3.894469209622135,5,2.0,28.08569396085805,5,35.0,28.063588798627837,21,21.666666666666668,42.0,20,42.0,0,1.4420000000000002,59173,218,0,0.0,2180.0000000000005,False,-0.06457321143070022,5,1.1590000000000003,60112,222,0,0.0,2220.0000000000005,False,-0.04968722350713255,0,0.2,85445,0,0,0.0,0.0,False,0.010537644582160513,0,0.20900000000000002,86622,15,109,1.0,3119.757679877859,False,0.04290605813963775,8,1.4140000000000001,108628,0,5,0.5,140.31794399313918,False,-0.028908473100250413,4,0.8250000000000002,112367,0,0,0.0,0.0,False,0.003868350992549181,16,1.8900000000000003,142903,137,0,0.0,3844.7116654120136,False,-0.03438819177702805,0,0.398,150756,11,19,1.0,1106.6994767849062,False,0.008843333833784196,0.3125,806006,0.0,0.0,12,0,0,10,9,8.727272727272727,17,27,25,215.0,113.0,13,16,25,633,2.3221115699852817,62.91935784713132
22,25,0,0,0,10.000000000000002,20,10.0,3.741034781024531,5,1.0,28.08569396085805,0,,28.35753424650947,12,32.083333333333336,42.0,20,42.0,5,1.492,58948,230,0,0.0,2300.0000000000005,False,-0.06713440851869674,0,1.1540000000000004,60032,230,0,0.0,2300.0000000000005,False,-0.05030811977088928,0,0.2,85445,0,0,0.0,0.0,False,0.010537644582160513,0,0.20900000000000002,86617,10,119,1.0,3379.607929152353,False,0.04438351780609048,1,1.4160000000000004,108679,0,0,0.0,0.0,False,-0.02907963621419765,6,0.8810000000000002,112405,0,0,0.0,0.0,False,0.004207836760948416,9,1.9640000000000004,142581,145,0,0.0,4111.842465743873,False,-0.035644564831534616,0,0.398,151022,5,18,1.0,897.7876712325474,False,0.00992041655131761,0.25,805729,0.0,0.0,12,0,0,13,10,9.166666666666668,13,26,24,180.0,106.0,12,13,24,662,1.879023112996947,64.79838096012827
23,24,0,0,0,10.000000000000002,20,10.0,3.6816073146481156,3,2.0,28.531112525874843,5,34.0,27.3084843010089,16,17.625,41.99999999999999,20,42.0,3,1.5170000000000001,58808,238,0,0.0,2380.0000000000005,False,-0.06868664917808857,0,1.1540000000000004,59912,242,0,0.0,2420.0000000000005,False,-0.051239464166524376,0,0.2,85445,0,0,0.0,0.0,False,0.010537644582160513,0,0.20900000000000002,86781,3,124,1.0,3548.902775152425,False,0.04732421159940636,6,1.4750000000000003,108547,0,0,0.0,0.0,False,-0.03025890256758447,10,0.9750000000000001,112025,0,5,0.5,136.5424215050445,False,0.0014229028780578684,8,2.0350000000000006,142194,161,0,0.0,4396.665972462433,False,-0.0372753379634277,0,0.398,151526,0,11,0.5,461.99999999999994,False,0.011828007174146404,0.25,805238,0.0,0.0,13,0,0,13,6,6.0,16,29,34,215.0,120.0,13,11,34,874,2.5569790480076335,67.3553600081359
24,34,0,0,0,10.000000000000002,20,10.0,3.560216663246184,10,2.6,28.95341139116498,5,34.0,27.908303617616554,4,50.0,42.0,20,42.0,2,1.5340000000000003,58696,245,0,0.0,2450.0000000000005,False,-0.06988187448582028,8,1.2340000000000002,59618,255,0,0.0,2550.0000000000005,False,-0.054794095276531674,0,0.2,85445,0,0,0.0,0.0,False,0.010537644582160513,0,0.20900000000000002,86925,3,129,1.0,3745.670719450021,False,0.05019082905273565,0,1.4690000000000003,108377,0,5,0.5,139.54151808808277,False,-0.031154334169742524,0,0.9650000000000001,112225,0,1,0.0,27.908303617616554,False,0.0027244103829829015,7,2.0970000000000004,141910,165,0,0.0,4604.870096906731,False,-0.038474793486906085,2,0.41800000000000004,151972,0,0,0.0,0.0,False,0.013261502970336639,0.1875,805168,0.0,0.0,14,0,0,15,8,7.666666666666667,19,34,27,298.0,111.0,20,14,27,990,2.720729103020858,70.07608911115676
