index,n_registered_negotiations_before,n_contracts_dropped,n_contracts_nullified_now,n_bankrupt,trading_price_0,sold_quantity_0,unit_price_0,trading_price_1,sold_quantity_1,unit_price_1,trading_price_2,sold_quantity_2,unit_price_2,trading_price_3,sold_quantity_3,unit_price_3,trading_price_4,sold_quantity_4,unit_price_4,spot_market_quantity_00MyA@0,spot_market_loss_00MyA@0,balance_00MyA@0,inventory_00MyA@0_input,inventory_00MyA@0_output,productivity_00MyA@0,assets_00MyA@0,bankrupt_00MyA@0,score_00MyA@0,spot_market_quantity_01Buy@0,spot_market_loss_01Buy@0,balance_01Buy@0,inventory_01Buy@0_input,inventory_01Buy@0_output,productivity_01Buy@0,assets_01Buy@0,bankrupt_01Buy@0,score_01Buy@0,spot_market_quantity_02Dec@1,spot_market_loss_02Dec@1,balance_02Dec@1,inventory_02Dec@1_input,inventory_02Dec@1_output,productivity_02Dec@1,assets_02Dec@1,bankrupt_02Dec@1,score_02Dec@1,spot_market_quantity_03Ran@1,spot_market_loss_03Ran@1,balance_03Ran@1,inventory_03Ran@1_input,inventory_03Ran@1_output,productivity_03Ran@1,assets_03Ran@1,bankrupt_03Ran@1,score_03Ran@1,spot_market_quantity_04Dec@2,spot_market_loss_04Dec@2,balance_04Dec@2,inventory_04Dec@2_input,inventory_04Dec@2_output,productivity_04Dec@2,assets_04Dec@2,bankrupt_04Dec@2,score_04Dec@2,spot_market_quantity_05Buy@2,spot_market_loss_05Buy@2,balance_05Buy@2,inventory_05Buy@2_input,inventory_05Buy@2_output,productivity_05Buy@2,assets_05Buy@2,bankrupt_05Buy@2,score_05Buy@2,spot_market_quantity_06Ind@3,spot_market_loss_06Ind@3,balance_06Ind@3,inventory_06Ind@3_input,inventory_06Ind@3_output,productivity_06Ind@3,assets_06Ind@3,bankrupt_06Ind@3,score_06Ind@3,spot_market_quantity_07Buy@3,spot_market_loss_07Buy@3,balance_07Buy@3,inventory_07Buy@3_input,inventory_07Buy@3_output,productivity_07Buy@3,assets_07Buy@3,bankrupt_07Buy@3,score_07Buy@3,productivity,market_size,production_failures,bankruptcy,n_contracts_executed,n_contracts_erred,n_contracts_nullified,n_contracts_cancelled,n_breaches,breach_level,n_contracts_signed,n_contracts_concluded,n_negotiations,n_negotiation_rounds_successful,n_negotiation_rounds_failed,n_negotiation_successful,n_negotiation_failed,n_registered_negotiations_after,activity_level,step_time,total_time
10,38,0,0,0,10.000000000000002,12,10.0,20.73330888525668,32,19.0,16.917464759979875,45,17.8,30.25978682034121,8,19.5,47.0,20,47.0,0,0.2,36725,0,0,0.0,0.0,False,0.02056412394053078,32,1.3030000000000004,34026,105,0,0.0,1050.0000000000002,False,-0.03984993747394748,0,0.542,60781,45,15,1.0,1186.7608712362487,False,-0.00041725674889054026,40,2.9670000000000005,44764,78,0,0.0,1617.198093050021,False,-0.25777525982858296,0,0.2,75730,59,50,1.0,2511.119761855873,False,-0.0006028678870088705,8,1.3060000000000003,70390,206,0,0.0,3484.9977405558543,False,-0.06360345219807453,2,0.4720000000000001,103411,0,6,0.6,282.0,False,0.0009182558937529602,8,0.7750000000000001,99883,105,0,0.0,3177.277616135827,False,-0.019190206481263548,0.325,525710,0.0,0.0,10,0,0,15,12,11.666666666666666,22,37,31,310.0,138.0,21,17,31,777,2.1464019000413828,41.90259010513546
11,31,0,0,0,10.000000000000002,10,10.0,20.108907380831695,44,18.386363636363633,16.80287566139357,35,16.0,27.55463015636753,35,19.228571428571428,47.0,20,47.0,0,0.2,36725,0,0,0.0,0.0,False,0.02056412394053078,44,1.7110000000000003,33363,115,0,0.0,1150.0000000000002,False,-0.05688481311657635,0,0.542,60365,70,20,1.0,1743.68102988609,False,-0.0026573206035334315,30,3.2270000000000008,43339,87,0,0.0,1749.4749421323575,False,-0.27990655584582774,0,0.2,75351,65,56,1.0,2635.246206747164,False,-0.004717220072520743,31,1.6080000000000003,68680,225,0,0.0,3780.6470238135535,False,-0.08388301599456352,6,0.53,103611,0,0,0.0,0.0,False,0.0014885411330311145,8,0.8470000000000002,99095,140,0,0.0,3857.6482218914543,False,-0.023518716849070333,0.25,520529,0.0,0.0,7,0,0,18,21,20.666666666666664,16,34,25,250.0,126.0,19,12,25,650,2.1889838759670965,44.091573981102556
12,25,0,0,0,10.000000000000002,11,10.0,20.041444946524074,1,10.0,15.396533015706309,32,4.3125,28.11019528990548,33,30.272727272727273,46.99999999999999,20,47.0,0,0.2,36725,0,0,0.0,0.0,False,0.02056412394053078,1,1.6770000000000005,33240,126,0,0.0,1260.0000000000002,False,-0.05877448937057107,0,0.542,60355,61,30,1.0,1684.424132209158,False,-0.00330273507973001,32,3.5170000000000012,41841,87,0,0.0,1743.6057103475944,False,-0.30435174502974277,0,0.2,75798,69,57,1.0,2664.6419096083478,False,0.0012763650795017361,24,1.8170000000000004,67552,243,0,0.0,3741.3575228166333,False,-0.09878130177837373,14,0.6640000000000001,103209,0,5,0.5,234.99999999999997,False,-0.0012613936224711716,6,0.8990000000000002,98119,168,0,0.0,4722.51280870412,False,-0.028772761588369524,0.3125,516839,0.0,0.0,5,0,0,16,17,17.0,12,28,32,174.0,102.0,11,14,32,641,1.9499786749947816,46.04155265609734
13,32,0,0,0,10.000000000000002,10,10.0,19.96753497254855,1,10.0,15.217522097023927,45,14.2,26.283182138598974,37,19.10810810810811,47.0,20,47.0,0,0.2,36725,0,0,0.0,0.0,False,0.02056412394053078,1,1.6860000000000004,33127,136,0,0.0,1360.0000000000002,False,-0.06052521884118383,0,0.542,60580,52,35,1.0,1570.925091968362,False,-0.000562499251071913,40,3.8850000000000016,39829,87,0,0.0,1737.1755426117238,False,-0.3371728376008817,0,0.2,75455,75,67,1.0,2902.2873605629256,False,-0.0016338186691056066,37,2.1630000000000007,65123,272,0,0.0,4139.166010390508,False,-0.12773155305333822,5,0.7000000000000002,103270,0,6,0.6,282.0,False,-0.0004446291696066965,10,0.9930000000000001,97355,199,0,0.0,5230.353245581196,False,-0.0337031170168224,0.325,511464,0.0,0.0,7,0,0,14,19,18.666666666666668,17,31,28,247.0,123.0,16,16,28,523,2.19482659798814,48.23637925408548
14,28,0,0,0,10.000000000000002,9,10.0,19.96753497254855,0,,14.909527936155182,29,12.03448275862069,26.325326442990065,31,26.548387096774192,47.0,20,47.0,0,0.2,36725,0,0,0.0,0.0,False,0.02056412394053078,0,1.6850000000000003,33037,145,0,0.0,1450.0000000000002,False,-0.06177573989162151,0,0.542,60810,42,40,1.0,1435.0175862932465,False,0.0020766904421274587,24,4.085000000000001,38696,87,0,0.0,1737.1755426117238,False,-0.35562560633052337,0,0.2,75721,73,69,1.0,2904.843063905643,False,0.0018358803088692453,23,2.3560000000000008,63809,293,0,0.0,4368.491685293468,False,-0.14330088998537316,3,0.7250000000000001,102923,10,10,1.0,733.2532644299006,False,-0.0016178061202727137,11,1.0930000000000002,96944,210,0,0.0,5528.318553027913,False,-0.036235737779812385,0.375,508665,0.0,0.0,10,0,0,14,17,16.5,15,29,23,214.0,117.0,14,14,23,819,1.9458621449884959,50.18224139907397
15,23,0,0,0,10.000000000000002,10,10.0,19.96753497254855,0,,14.538741964598906,52,12.615384615384615,29.168789480642992,52,38.76923076923077,46.99999999999999,20,47.0,0,0.2,36725,0,0,0.0,0.0,False,0.02056412394053078,0,1.6850000000000003,32937,155,0,0.0,1550.0000000000002,False,-0.06316520772544115,0,0.542,61178,32,42,1.0,1249.5882816347075,False,0.006560165159891696,44,4.501000000000001,36111,87,0,0.0,1737.1755426117238,False,-0.3977265835292204,0,0.2,76840,85,55,1.0,2840.0764884262717,False,0.015941923411220502,28,2.613000000000001,62128,323,0,0.0,4696.013654565447,False,-0.16299710734132924,3,0.7520000000000002,102607,19,10,1.0,1024.2070001322168,False,-0.003266057395187307,7,1.1520000000000001,95591,243,0,0.0,7088.015843796247,False,-0.0417757336681121,0.375,504117,0.0,0.0,12,0,0,16,16,15.6,11,27,24,190.0,93.0,12,11,24,2308,1.7081310849753208,51.890372484049294
16,24,0,0,0,10.000000000000002,10,10.0,19.88667850935774,1,10.0,15.463976118419444,67,19.46268656716418,28.504419887044943,16,20.0,46.99999999999999,20,47.0,0,0.2,36725,0,0,0.0,0.0,False,0.02056412394053078,1,1.6950000000000003,32824,165,0,0.0,1650.0000000000002,False,-0.06491593719605392,0,0.542,61542,23,42,1.0,1106.8806026888446,False,0.011326389272710494,57,5.027000000000002,33994,87,0,0.0,1730.1410303141233,False,-0.4322626951928818,0,0.2,75606,128,65,1.0,3832.17623581561,False,0.006362136747167395,16,2.745000000000001,61432,337,0,0.0,5211.359951907352,False,-0.16868729909708077,1,0.7590000000000001,102935,16,10,1.0,926.070718192719,False,-0.0005699434635030581,9,1.235,95259,252,0,0.0,7183.113811535326,False,-0.044525194952804915,0.375,500317,0.0,0.0,7,0,0,9,12,11.25,18,27,23,199.0,81.0,12,12,23,803,1.6768462280160747,53.56721871206537
17,23,0,0,0,10.000000000000002,11,10.0,19.798362796510624,1,10.0,15.056412887747912,14,5.714285714285714,26.98368369425933,48,20.6875,46.99999999999999,20,47.0,0,0.2,36725,0,0,0.0,0.0,False,0.02056412394053078,1,1.704,32701,176,0,0.0,1760.0000000000002,False,-0.06680561345004864,0,0.542,61579,14,51,1.0,1045.0541364262922,False,0.011425522283601709,13,5.100000000000001,33480,87,0,0.0,1722.4575632964243,False,-0.44069659964742325,0,0.2,75756,125,66,1.0,3662.9747347896046,False,0.00721112482338252,39,3.119000000000001,59077,344,0,0.0,5179.406033385282,False,-0.19946641633746182,0,0.758,103080,17,12,1.0,1022.7226228024085,False,0.0012987164851214652,12,1.3460000000000003,94263,289,0,0.0,7798.2845876409465,False,-0.05117930837139606,0.375,496661,0.0,0.0,10,0,0,16,14,14.0,12,28,19,190.0,63.0,12,11,19,704,1.6969689769903198,55.26418768905569
18,19,0,0,0,10.000000000000002,5,10.0,19.798362796510624,0,,15.054777289363681,9,15.0,26.058673026410037,41,21.048780487804876,47.0,20,47.0,0,0.2,36725,0,0,0.0,0.0,False,0.02056412394053078,0,1.7030000000000003,32651,181,0,0.0,1810.0000000000002,False,-0.06750034736695845,0,0.542,61714,4,52,1.0,862.0418702329539,False,0.012133891451408372,0,5.087000000000001,33480,87,0,0.0,1722.4575632964243,False,-0.44069659964742325,0,0.2,75756,115,76,1.0,3711.758538283986,False,0.0075277711748623286,41,3.4900000000000007,56541,353,0,0.0,5314.33638314538,False,-0.23151199252813523,2,0.7780000000000002,103257,24,10,1.0,1095.408152633841,False,0.0033608559722099105,6,1.3940000000000001,93715,313,0,0.0,8156.364657266342,False,-0.0547456206092079,0.375,493839,0.0,0.0,8,0,0,6,7,7.0,20,26,23,196.0,63.0,13,6,23,749,1.4228853799868375,56.687073069042526
19,23,0,0,0,10.000000000000002,5,10.0,19.798362796510624,0,,15.468444337356669,18,21.88888888888889,25.441019466003272,30,20.566666666666666,47.0,20,47.0,0,0.2,36725,0,0,0.0,0.0,False,0.02056412394053078,0,1.7030000000000003,32601,186,0,0.0,1860.0000000000002,False,-0.06819508128386828,0,0.542,62090,0,48,0.4,742.48532819312,False,0.01728408247714262,10,5.187000000000001,33082,87,0,0.0,1722.4575632964243,False,-0.447178684337977,0,0.2,75554,115,86,1.0,3966.7987728722983,False,0.006560901786739986,30,3.7490000000000006,54834,361,0,0.0,5584.108405785757,False,-0.25192057582702154,0,0.776,103327,34,10,1.0,1334.9946618441113,False,0.005195369389427988,10,1.4880000000000002,93339,323,0,0.0,8217.449287519057,False,-0.058084763295286626,0.3,491552,0.0,0.0,8,0,0,16,11,11.0,15,31,22,266.0,69.0,15,8,22,896,1.5324589760275558,58.21953204507008
20,22,0,0,0,10.000000000000002,11,10.0,19.798362796510624,0,,15.23165343271477,75,14.386666666666667,24.62213403071921,54,20.98148148148148,47.00000000000001,20,47.0,0,0.2,36725,0,0,0.0,0.0,False,0.02056412394053078,0,1.7030000000000003,32491,197,0,0.0,1970.0000000000005,False,-0.0697234959010699,0,0.542,62090,0,48,0.0,731.119364770309,False,0.017191525771745146,75,5.927000000000001,29171,87,0,0.0,1722.4575632964243,False,-0.5108757527418858,0,0.2,74957,153,81,1.0,4324.835831693616,False,0.001134825992403199,39,4.109000000000001,52473,388,0,0.0,5909.881531893331,False,-0.2804556448495863,0,0.7760000000000002,103666,28,11,1.0,1206.419752860138,False,0.00785070006311874,11,1.588,92085,373,0,0.0,9184.055993458265,False,-0.06553420264719519,0.25,483658,0.0,0.0,11,0,0,11,12,12.0,19,30,27,243.0,81.0,15,7,27,848,1.511860482976772,59.731392528046854
21,27,0,0,0,10.000000000000002,9,10.0,19.798362796510624,0,,14.170766978246588,77,9.922077922077921,25.027777109064875,23,29.695652173913043,47.0,20,47.0,0,0.2,36725,0,0,0.0,0.0,False,0.02056412394053078,0,1.7030000000000003,32401,206,0,0.0,2060.0000000000005,False,-0.07097401695150757,0,0.542,62274,0,44,0.0,623.5137470428499,False,0.019312001197417307,73,6.582000000000002,24727,87,0,0.0,1722.4575632964243,False,-0.5832536029047523,0,0.2,74919,186,79,1.0,4612.957049569991,False,0.0025116643055482666,11,4.180000000000001,51846,422,0,0.0,5980.06366482006,False,-0.2881395805326354,1,0.7860000000000003,104174,18,10,1.0,920.4999879631678,False,0.011379123635728756,8,1.657,91286,396,0,0.0,9910.99973518969,False,-0.0697439528732242,0.25,478352,0.0,0.0,11,0,0,11,11,10.333333333333334,23,34,32,243.0,93.0,16,11,32,1149,2.311504729965236,62.04289725801209
22,32,0,0,0,10.000000000000002,6,10.0,19.702066561613666,1,10.0,14.882088700786522,23,25.608695652173914,24.53404668316939,39,21.256410256410255,47.0,20,47.0,0,0.2,36725,0,0,0.0,0.0,False,0.02056412394053078,1,1.7130000000000003,32328,212,0,0.0,2120.0000000000005,False,-0.07216895928859247,0,0.542,62828,0,33,0.1,491.10892712595523,False,0.027256587354445888,11,6.619000000000002,24290,87,0,0.0,1714.079790860389,False,-0.590439089650974,0,0.2,75042,191,73,1.0,4633.464349721591,False,0.004241512291785151,23,4.399000000000001,50491,430,0,0.0,6399.298141338204,False,-0.3030085020424096,3,0.8150000000000002,104554,11,10,1.0,739.8745135148633,False,0.014179197702982224,7,1.7190000000000003,90433,432,0,0.0,10598.708167129176,False,-0.07466528042022692,0.2625,476691,0.0,0.0,10,0,0,15,12,11.6,22,37,32,331.0,108.0,21,11,32,1336,1.9409743400174193,63.98387159802951
23,32,0,0,0,10.000000000000002,9,10.0,19.702066561613666,0,,15.508220846407141,11,34.45454545454545,24.069431072346603,37,20.7027027027027,46.99999999999999,20,47.0,0,0.2,36725,0,0,0.0,0.0,False,0.02056412394053078,0,1.7120000000000002,32238,221,0,0.0,2210.0000000000005,False,-0.07341948033903015,0,0.542,63204,0,25,0.0,387.70552116017853,False,0.032538318576222997,3,6.638000000000001,24182,87,0,0.0,1714.079790860389,False,-0.5921980473056971,0,0.2,74851,188,83,1.0,4913.308298129311,False,0.0035784368712307698,37,4.746000000000001,48331,434,0,0.0,6730.5678473407,False,-0.3288985885908408,1,0.8220000000000001,105015,1,10,1.0,494.06943107234656,False,0.017447197536524035,9,1.802,89517,469,0,0.0,11288.563172930557,False,-0.08018518238045487,0.25,474063,0.0,0.0,10,0,0,13,10,10.0,24,37,34,297.0,108.0,21,11,34,936,1.9104651539819315,65.89433675201144
24,34,0,0,0,10.000000000000002,13,10.0,19.578519491980373,4,16.75,15.987048185919955,14,26.571428571428573,23.4625036296927,49,20.06122448979592,46.99999999999999,20,47.0,0,0.2,36725,0,0,0.0,0.0,False,0.02056412394053078,4,1.7520000000000002,32080,234,0,0.0,2340.0000000000005,False,-0.0760038905099347,0,0.542,63194,0,26,0.1,415.6632528339188,False,0.03260312095141633,14,6.775000000000001,23959,90,0,0.0,1762.0667542782335,False,-0.5954391958120665,0,0.2,74479,192,93,1.0,5251.526089258053,False,0.00094458205199174,49,5.199000000000001,44928,434,0,0.0,6938.378912689261,False,-0.3717261728068253,0,0.8210000000000002,105401,0,5,0.5,234.99999999999997,False,0.019926152894439237,10,1.8930000000000005,88445,514,0,0.0,12059.726865662049,False,-0.08681999832944094,0.2,469211,0.0,0.0,8,0,0,17,15,15.0,21,38,34,292.0,117.0,20,14,34,600,1.9058461329550482,67.80018288496649
