index,n_registered_negotiations_before,n_contracts_dropped,n_contracts_nullified_now,n_bankrupt,trading_price_0,sold_quantity_0,unit_price_0,trading_price_1,sold_quantity_1,unit_price_1,trading_price_2,sold_quantity_2,unit_price_2,trading_price_3,sold_quantity_3,unit_price_3,trading_price_4,sold_quantity_4,unit_price_4,spot_market_quantity_00MyA@0,spot_market_loss_00MyA@0,balance_00MyA@0,inventory_00MyA@0_input,inventory_00MyA@0_output,productivity_00MyA@0,assets_00MyA@0,bankrupt_00MyA@0,score_00MyA@0,spot_market_quantity_01Buy@0,spot_market_loss_01Buy@0,balance_01Buy@0,inventory_01Buy@0_input,inventory_01Buy@0_output,productivity_01Buy@0,assets_01Buy@0,bankrupt_01Buy@0,score_01Buy@0,spot_market_quantity_02Ran@1,spot_market_loss_02Ran@1,balance_02Ran@1,inventory_02Ran@1_input,inventory_02Ran@1_output,productivity_02Ran@1,assets_02Ran@1,bankrupt_02Ran@1,score_02Ran@1,spot_market_quantity_03Ran@1,spot_market_loss_03Ran@1,balance_03Ran@1,inventory_03Ran@1_input,inventory_03Ran@1_output,productivity_03Ran@1,assets_03Ran@1,bankrupt_03Ran@1,score_03Ran@1,spot_market_quantity_04Dec@2,spot_market_loss_04Dec@2,balance_04Dec@2,inventory_04Dec@2_input,inventory_04Dec@2_output,productivity_04Dec@2,assets_04Dec@2,bankrupt_04Dec@2,score_04Dec@2,spot_market_quantity_05Buy@2,spot_market_loss_05Buy@2,balance_05Buy@2,inventory_05Buy@2_input,inventory_05Buy@2_output,productivity_05Buy@2,assets_05Buy@2,bankrupt_05Buy@2,score_05Buy@2,spot_market_quantity_06Ind@3,spot_market_loss_06Ind@3,balance_06Ind@3,inventory_06Ind@3_input,inventory_06Ind@3_output,productivity_06Ind@3,assets_06Ind@3,bankrupt_06Ind@3,score_06Ind@3,spot_market_quantity_07Dec@3,spot_market_loss_07Dec@3,balance_07Dec@3,inventory_07Dec@3_input,inventory_07Dec@3_output,productivity_07Dec@3,assets_07Dec@3,bankrupt_07Dec@3,score_07Dec@3,productivity,market_size,production_failures,bankruptcy,n_contracts_executed,n_contracts_erred,n_contracts_nullified,n_contracts_cancelled,n_breaches,breach_level,n_contracts_signed,n_contracts_concluded,n_negotiations,n_negotiation_rounds_successful,n_negotiation_rounds_failed,n_negotiation_successful,n_negotiation_failed,n_registered_negotiations_after,activity_level,step_time,total_time
10,17,0,0,0,10.0,13,10.0,21.5034231836789,6,20.0,5.998655001963028,21,1.619047619047619,38.110700277704275,66,39.0,58.0,20,58.0,0,0.2,60972,0,0,0.0,0.0,False,0.009520340414258987,6,0.9980000000000002,58385,113,0,0.0,1130.0,False,-0.02395814361640479,14,1.0240000000000002,74230,63,0,0.0,1354.7156605717707,False,-0.05403281097307756,7,1.3140000000000003,73027,47,0,0.0,1010.6608896329084,False,-0.07139733734730311,0,0.2,117211,0,18,0.3,685.9926049986769,False,0.021427049757571023,66,2.1830000000000007,107351.0,156,0,0.0,935.7901803062324,False,-0.06316127580500903,2,0.37300000000000005,167313,0,1,0.1,58.0,False,0.004495987226354048,0,0.32600000000000007,162290,127,17,1.0,5826.058935268443,False,-0.008343511026068224,0.17500000000000002,820779,0.0,0.0,9,0,0,10,7,7.0,11,21,19,115.0,43.0,9,8,19,1174,1.6475690189981833,53.12288791098399
11,19,0,0,0,10.0,13,10.0,21.30304274001747,5,18.0,5.759440409154807,14,3.142857142857143,37.39738560495375,8,20.0,58.0,20,58.0,0,0.2,60972,0,0,0.0,0.0,False,0.009520340414258987,5,1.0420000000000003,58225,126,0,0.0,1260.0,False,-0.025531069423978012,12,1.1300000000000001,73689,68,0,0.0,1448.606906321188,False,-0.06027197417269978,2,1.3270000000000002,72959,47,0,0.0,1001.2430087808211,False,-0.07231554183327345,0,0.2,117264,0,20,0.6,747.9477120990749,False,0.022156730988891385,4,2.1570000000000005,107214.0,164,0,0.0,944.5482271013883,False,-0.06431361989477014,4,0.41100000000000003,167158,0,8,0.8,464.0,False,0.00478411457864376,0,0.32600000000000007,163160,117,12,1.0,5071.494115779588,False,-0.005385898219674345,0.3,820641,0.0,0.0,9,0,0,12,9,8.5,12,24,19,157.0,25.0,11,8,19,1080,1.7448631249717437,54.867751035955735
12,19,0,0,0,9.999999999999998,11,10.0,21.255182130732294,3,20.0,5.184214464657744,30,2.3,37.39744954215916,83,37.397590361445786,58.00000000000001,20,58.0,0,0.2,60972,0,0,0.0,0.0,False,0.009520340414258987,3,1.0670000000000002,58103,137,0,0.0,1369.9999999999998,False,-0.026640396046161235,20,1.318,72880,68,0,0.0,1445.352384889796,False,-0.0705089764296101,10,1.4250000000000003,72528,50,0,0.0,1062.7591065366146,False,-0.07736999528618298,0,0.2,117348,0,18,0.2,673.1540917588649,False,0.022561666254339537,79,2.943,104159.0,192,0,0.0,995.3691772142869,False,-0.09063773296427831,1,0.41700000000000004,167303,5,10,1.0,766.9872477107959,False,0.006563862970565434,0,0.32600000000000007,161002,175,11,1.0,7182.553669877852,False,-0.012003644601280143,0.275,814295,0.0,0.0,10,0,0,12,14,13.333333333333334,11,23,15,154.0,33.0,10,9,15,1184,1.5327667150413617,56.400517750997096
13,15,0,0,0,9.999999999999998,8,10.0,20.698897395679396,7,14.857142857142858,5.034300192329659,10,2.6,36.5562651282643,13,21.076923076923077,58.00000000000002,20,58.0,0,0.2,60972,0,0,0.0,0.0,False,0.009520340414258987,7,1.1340000000000001,57947,145,0,0.0,1449.9999999999998,False,-0.02856102124277696,0,1.2980000000000003,72880,68,0,0.0,1407.525022906199,False,-0.07074782775423565,10,1.5150000000000001,72059,57,0,0.0,1179.8371515537256,False,-0.08255349966184859,0,0.2,117326,0,24,0.6,877.3503630783432,False,0.023257639211205133,13,2.9940000000000007,103668.0,196,0,0.0,986.7228376966132,False,-0.09494159757013498,0,0.41600000000000004,167617,5,11,1.0,820.7813256413217,False,0.008610149663075042,0,0.32600000000000007,161574,168,10,1.0,6721.452541548402,False,-0.009954042061946151,0.325,814043,0.0,0.0,9,0,0,11,8,8.0,11,22,10,141.0,18.0,9,6,10,1240,1.2830742439837195,57.683591994980816
14,10,0,0,0,9.999999999999998,10,10.0,20.474979698309188,11,19.0,4.996103080472757,19,4.684210526315789,35.58308887470485,17,22.58823529411765,58.000000000000014,20,58.0,0,0.2,60972,0,0,0.0,0.0,False,0.009520340414258987,11,1.237,57774,155,0,0.0,1549.9999999999998,False,-0.030597546235740184,9,1.3880000000000003,72521,70,0,0.0,1433.2485788816432,False,-0.07511903253806455,10,1.6050000000000002,71564,66,0,0.0,1351.3486600884064,False,-0.08772163854665972,0,0.2,117255,0,33,0.9,1174.24193286526,False,0.023930565883781372,17,3.1510000000000002,103005.0,206,0,0.0,1029.197234577388,False,-0.10051787660495715,0,0.41600000000000004,168007,1,12,1.0,731.583088874705,False,0.010683471360965648,1,0.336,161891,169,10,1.0,6593.5420198251195,False,-0.008435102255721616,0.3625,812989,0.0,0.0,8,0,0,10,13,12.5,11,21,10,118.0,6.0,8,2,10,1144,1.2129372169729322,58.89652921195375
15,10,0,0,0,9.999999999999998,9,10.0,20.14083677525733,22,19.0,4.553655065398256,53,3.2452830188679247,35.79008969658134,26,37.53846153846154,58.00000000000002,20,58.0,0,0.2,60972,0,0,0.0,0.0,False,0.009520340414258987,22,1.4460000000000002,57469,164,0,0.0,1639.9999999999998,False,-0.03490239581436164,37,1.7490000000000003,70200,92,0,0.0,1852.9569833236744,False,-0.10177962655441825,16,1.7550000000000003,70908,66,0,0.0,1329.2952271669838,False,-0.09614518205764282,0,0.2,117855,0,33,1.0,1181.0729599871843,False,0.02917364521056576,16,3.2940000000000005,102261.0,249,0,0.0,1133.8601112841657,False,-0.10652778694875158,0,0.41600000000000004,167977,2,15,1.0,941.580179393163,False,0.011133661616614068,3,0.36500000000000005,161898,174,10,1.0,6807.475607205153,False,-0.007750999119995491,0.375,809540,0.0,0.0,10,0,0,11,17,16.75,8,19,16,98.0,24.0,7,3,16,1638,1.226261007017456,60.122790218971204
16,16,0,0,0,9.999999999999998,10,10.0,19.485450465876127,15,15.666666666666666,4.27285265592923,22,1.8636363636363635,35.0331074641552,40,30.85,58.00000000000002,20,58.0,0,0.2,60972,0,0,0.0,0.0,False,0.009520340414258987,15,1.5740000000000003,57194,174,0,0.0,1739.9999999999998,False,-0.03862774641124559,9,1.8020000000000005,69787,97,0,0.0,1890.0886951899843,False,-0.10676073614534151,13,1.8690000000000004,70249,76,0,0.0,1480.8942354065857,False,-0.10351012656652316,0,0.2,118467,0,31,0.8,1086.0263313888113,False,0.03407838493756429,30,3.5780000000000007,100720.0,263,0,0.0,1123.7602485093876,False,-0.11996141974615346,0,0.41600000000000004,167919,8,13,1.0,1034.2648597132418,False,0.011063684727789477,0,0.36200000000000004,161882,188,12,1.0,7282.2242032611775,False,-0.006422165987582919,0.35,807190,0.0,0.0,12,0,0,9,12,12.0,13,22,15,137.0,81.0,9,7,15,1890,1.3582200250239111,61.481010243995115
17,15,0,0,0,9.999999999999998,13,10.0,19.49637956694711,2,20.0,4.300758580162782,9,4.888888888888889,35.30405402416085,11,41.09090909090909,58.000000000000014,20,58.0,0,0.2,60972,0,0,0.0,0.0,False,0.009520340414258987,2,1.5790000000000002,57056,187,0,0.0,1869.9999999999998,False,-0.03983641571601238,4,1.8330000000000004,69651,97,0,0.0,1891.1488179938697,False,-0.10847151757890362,5,1.9060000000000001,70074,78,0,0.0,1520.7176062218746,False,-0.10546865856198141,0,0.2,118743,0,35,0.9,1235.6418908456296,False,0.03712655485735107,6,3.608000000000001,100534.0,263,0,0.0,1131.0995065828117,False,-0.12154568892246453,0,0.41600000000000004,168549,1,11,1.0,673.3040540241609,False,0.013761994963846511,0,0.3620000000000001,161960,186,14,1.0,7378.554048493917,False,-0.005664841714556098,0.3625,807539,0.0,0.0,11,0,0,10,5,5.0,10,20,19,131.0,76.0,8,7,19,1610,1.4735809710109606,62.954591215006076
18,19,0,0,0,10.0,11,10.0,19.477102494366164,16,19.375,4.32719987495507,10,4.8,34.15183247399062,20,21.4,58.000000000000014,20,58.0,0,0.2,60972,0,0,0.0,0.0,False,0.009520340414258987,16,1.737,56804,198,0,0.0,1980.0,False,-0.04309816712750633,5,1.8790000000000004,69488,97,0,0.0,1889.278941953518,False,-0.11054176911352054,5,1.9510000000000003,69602,94,0,0.0,1830.8476344704195,False,-0.10947107042614597,0,0.2,118818,0,34,0.3,1161.1623041156813,False,0.03745465341354305,16,3.762000000000001,99836.0,270,0,0.0,1168.343966237869,False,-0.1274488045398396,0,0.41600000000000004,168759,11,10,1.0,955.670157213897,False,0.015870025022701646,0,0.36200000000000004,162482,176,15,1.0,6880.72251542235,False,-0.004025611774137188,0.2875,806761,0.0,0.0,12,0,0,15,15,15.0,9,24,17,172.0,34.0,11,8,17,1358,1.652696683013346,64.60728789801942
19,17,0,0,0,10.0,12,10.0,19.477102494366164,0,,4.272115029761192,5,2.4,34.38556637546438,81,35.01234567901235,58.00000000000001,20,58.0,0,0.2,60972,0,0,0.0,0.0,False,0.009520340414258987,0,1.7209999999999999,56684,210,0,0.0,2100.0,False,-0.044091593953342056,3,1.9040000000000004,69391,97,0,0.0,1889.278941953518,False,-0.11176673312230997,2,1.9660000000000002,69534,94,0,0.0,1830.8476344704195,False,-0.11032980808179217,0,0.2,118808,0,38,0.4,1306.6515222676464,False,0.037999841522433436,81,4.556000000000001,95117.0,271,0,0.0,1157.7431730652831,False,-0.1684982657919797,3,0.44600000000000006,169180,7,10,1.0,820.6989646282508,False,0.017992049379710655,0,0.3620000000000001,160178,241,18,1.0,9330.921496486915,False,-0.010501877340323628,0.3,799864,0.0,0.0,9,0,0,9,9,8.75,10,19,19,114.0,30.0,7,10,19,1048,1.317614350002259,65.92490224802168
20,19,0,0,0,10.0,7,10.0,19.477102494366164,0,,4.1142366572659395,25,3.12,34.55882304999036,85,35.10588235294118,58.00000000000001,20,58.0,0,0.2,60972,0,0,0.0,0.0,False,0.009520340414258987,0,1.721,56614,217,0,0.0,2170.0,False,-0.04467109293507956,17,2.0710000000000006,68712,97,0,0.0,1889.278941953518,False,-0.120341481183836,8,2.0440000000000005,69271,94,0,0.0,1830.8476344704195,False,-0.11365110224995321,0,0.2,118760,0,48,1.0,1658.823506399537,False,0.03911278111705618,85,5.325000000000001,90019.0,286,0,0.0,1176.6716839780586,False,-0.21271256914718278,1,0.4530000000000001,169667,1,10,1.0,614.5588230499905,False,0.020296647587383622,0,0.36200000000000004,157798,312,19,1.0,11884.352791596992,False,-0.017124510658920185,0.375,791813,0.0,0.0,8,0,0,12,13,12.333333333333334,10,22,16,126.0,33.0,8,11,16,1056,1.3482753559947014,67.27317760401638
21,16,0,0,0,10.0,8,10.0,19.260842710426186,10,17.3,4.11984812995909,9,4.222222222222222,34.785654074270916,10,42.0,58.000000000000014,20,58.0,0,0.2,60972,0,0,0.0,0.0,False,0.009520340414258987,10,1.8210000000000002,56458,225,0,0.0,2250.0,False,-0.046591718131695284,1,2.0640000000000005,68516,107,0,0.0,2060.910170015602,False,-0.12173294414406848,8,2.1160000000000005,68996,94,0,0.0,1810.5192147800615,False,-0.11725229702990383,0,0.2,119054,0,51,0.9,1774.0683577878167,False,0.04216802949824405,4,5.280000000000001,89901.0,286,0,0.0,1178.2765651682996,False,-0.21373089911559726,0,0.45200000000000007,169777,0,10,0.8,580.0000000000001,False,0.02085321712196791,0,0.3620000000000001,158428,305,17,1.0,11595.624492652629,False,-0.014209407079971379,0.3375,792102,0.0,0.0,11,0,0,10,7,7.0,10,20,17,102.0,32.0,7,9,17,1572,1.2567321770475246,68.5299097810639
22,17,0,0,0,10.0,10,10.0,19.299500094762735,5,20.0,3.858508123276749,16,1.3125,34.677688980738694,19,33.0,58.000000000000014,20,58.0,0,0.2,60972,0,0,0.0,0.0,False,0.009520340414258987,5,1.8610000000000002,56338,235,0,0.0,2350.0,False,-0.04775071609517029,5,2.1130000000000004,68246,112,0,0.0,2161.5440106134265,False,-0.12450721080359259,11,2.218000000000001,68613,94,0,0.0,1814.153008907697,False,-0.12206606591501222,0,0.2,119364,0,46,0.0,1595.1736931139799,False,0.04408441233279747,14,5.416000000000001,89398.0,302,0,0.0,1165.2694532295782,False,-0.21815797714257965,0,0.45200000000000007,169937,0,10,1.0,580.0000000000001,False,0.021813641629600283,0,0.3620000000000001,158801,304,17,1.0,11528.017450144564,False,-0.012173328260657493,0.25,791669,0.0,0.0,10,0,0,11,6,6.0,11,22,15,107.0,58.0,8,9,15,1570,1.2359744800487533,69.76588426111266
23,15,0,0,0,10.0,7,10.0,19.292696619817008,2,19.0,3.8073258580015286,16,3.3125,34.73175824602225,16,35.6875,58.000000000000014,20,58.0,0,0.2,60972,0,0,0.0,0.0,False,0.009520340414258987,2,1.8760000000000003,56258,242,0,0.0,2420.0,False,-0.04849578621454708,6,2.1680000000000006,68030,114,0,0.0,2199.367414659139,False,-0.12699613937653656,10,2.3070000000000004,68238,94,0,0.0,1813.5134822627988,False,-0.12680578964550054,0,0.2,119635,2,51,1.0,1778.9343222631378,False,0.047237480546465066,11,5.512000000000001,89057.0,306,0,0.0,1165.0417125484678,False,-0.2211219166526985,0,0.45200000000000007,170117,0,7,0.6,406.0000000000001,False,0.0223718883746616,0,0.3620000000000001,159210,304,16,1.0,11486.454506790764,False,-0.009842987079916956,0.325,791517,0.0,0.0,10,0,0,11,9,9.0,10,21,19,108.0,69.0,8,7,19,1550,1.3497551470063627,71.11563940811902
24,19,0,0,0,10.0,8,10.0,19.27110328723475,10,19.1,3.825500735440318,16,4.0,35.56345586810434,13,52.76923076923077,58.00000000000001,20,58.0,0,0.2,60972,0,0,0.0,0.0,False,0.009520340414258987,10,1.9740000000000004,56120,250,0,0.0,2500.0,False,-0.05011838336341209,11,2.2720000000000007,67615,115,0,0.0,2216.1768780319962,False,-0.13213082566342546,5,2.3470000000000004,67897,103,0,0.0,1984.9236385851793,False,-0.1300297802731217,0,0.2,120196,5,51,1.0,1832.863752950523,False,0.05234630783813489,3,5.5310000000000015,88968.0,309,0,0.0,1182.0797272510583,False,-0.22182121625516538,9,0.542,170049,0,5,0.5,290.00000000000006,False,0.021615554074901105,0,0.36200000000000004,159066,302,22,1.0,12016.163672167511,False,-0.009117538935707032,0.3125,790883,0.0,0.0,7,0,0,15,14,14.0,10,25,16,134.0,91.0,11,8,16,1338,1.310491655021906,72.42613106314093
