index,n_registered_negotiations_before,n_contracts_dropped,n_contracts_nullified_now,n_bankrupt,trading_price_0,sold_quantity_0,unit_price_0,trading_price_1,sold_quantity_1,unit_price_1,trading_price_2,sold_quantity_2,unit_price_2,trading_price_3,sold_quantity_3,unit_price_3,trading_price_4,sold_quantity_4,unit_price_4,spot_market_quantity_00Ran@0,spot_market_loss_00Ran@0,balance_00Ran@0,inventory_00Ran@0_input,inventory_00Ran@0_output,productivity_00Ran@0,assets_00Ran@0,bankrupt_00Ran@0,score_00Ran@0,spot_market_quantity_01Ran@0,spot_market_loss_01Ran@0,balance_01Ran@0,inventory_01Ran@0_input,inventory_01Ran@0_output,productivity_01Ran@0,assets_01Ran@0,bankrupt_01Ran@0,score_01Ran@0,spot_market_quantity_02Dec@1,spot_market_loss_02Dec@1,balance_02Dec@1,inventory_02Dec@1_input,inventory_02Dec@1_output,productivity_02Dec@1,assets_02Dec@1,bankrupt_02Dec@1,score_02Dec@1,spot_market_quantity_03Buy@1,spot_market_loss_03Buy@1,balance_03Buy@1,inventory_03Buy@1_input,inventory_03Buy@1_output,productivity_03Buy@1,assets_03Buy@1,bankrupt_03Buy@1,score_03Buy@1,spot_market_quantity_04MyA@2,spot_market_loss_04MyA@2,balance_04MyA@2,inventory_04MyA@2_input,inventory_04MyA@2_output,productivity_04MyA@2,assets_04MyA@2,bankrupt_04MyA@2,score_04MyA@2,spot_market_quantity_05Ind@2,spot_market_loss_05Ind@2,balance_05Ind@2,inventory_05Ind@2_input,inventory_05Ind@2_output,productivity_05Ind@2,assets_05Ind@2,bankrupt_05Ind@2,score_05Ind@2,spot_market_quantity_06Ran@3,spot_market_loss_06Ran@3,balance_06Ran@3,inventory_06Ran@3_input,inventory_06Ran@3_output,productivity_06Ran@3,assets_06Ran@3,bankrupt_06Ran@3,score_06Ran@3,spot_market_quantity_07Dec@3,spot_market_loss_07Dec@3,balance_07Dec@3,inventory_07Dec@3_input,inventory_07Dec@3_output,productivity_07Dec@3,assets_07Dec@3,bankrupt_07Dec@3,score_07Dec@3,productivity,market_size,production_failures,bankruptcy,n_contracts_executed,n_contracts_erred,n_contracts_nullified,n_contracts_cancelled,n_breaches,breach_level,n_contracts_signed,n_contracts_concluded,n_negotiations,n_negotiation_rounds_successful,n_negotiation_rounds_failed,n_negotiation_successful,n_negotiation_failed,n_registered_negotiations_after,activity_level,step_time,total_time
10,26,0,0,0,10.000000000000002,20,10.0,6.900956874423827,5,3.2,25.914478907398166,0,,43.32829567042078,3,68.0,49.99999999999999,20,50.0,1,0.633,43331,118,0,0.0,1180.0000000000002,False,-0.04085866526904263,4,0.6360000000000001,43518,102,0,0.0,1020.0000000000002,False,-0.03852201257861635,0,0.3350000000000001,63330,0,31,0.6,803.3488461293432,False,0.016308255961100842,0,0.542,61663,48,0,0.0,331.24592997234373,False,-0.014039085857115077,0,0.2,91494,0,0,0.0,0.0,False,0.014525858245365031,0,0.44300000000000006,88860,1,18,1.0,805.8238009749722,False,-0.010213431423672923,8,0.784,113243,39,0,0.0,1689.8035311464105,False,-0.019745486866348166,12,0.5720000000000001,116529,0,3,0.3,149.99999999999997,False,0.0018730775179145258,0.2375,621968,0.0,0.0,8,0,0,11,8,8.0,14,25,21,237.0,97.0,15,11,21,404,1.5703928170260042,27.78693619609112
11,21,0,0,0,10.000000000000002,20,10.0,6.625359300468155,5,2.4,25.28770923639296,15,22.4,46.223349511016316,9,69.0,49.99999999999999,20,50.0,3,0.6620000000000001,43166,127,0,0.0,1270.0000000000002,False,-0.04347921034241789,2,0.6520000000000001,43359,113,0,0.0,1130.0000000000002,False,-0.040793151642208245,0,0.3350000000000001,63523,0,31,0.5,783.9189863281817,False,0.019231043281890788,10,0.6420000000000001,61441,48,0,0.0,318.01724642247143,False,-0.01768472431052581,0,0.2,91494,0,0,0.0,0.0,False,0.014525858245365031,0,0.44300000000000006,89145,6,19,1.0,1029.9698961276679,False,-0.005810510200658246,11,0.8860000000000001,113063,39,0,0.0,1802.7106309296364,False,-0.020807010160458946,6,0.6200000000000001,115984,0,9,0.9,449.99999999999994,False,-0.0015208014709672984,0.3,621175,0.0,0.0,7,0,0,8,12,11.4,11,19,15,134.0,62.0,10,11,15,1026,1.5649224869557656,29.351858683046885
12,15,0,0,0,10.000000000000002,20,10.0,6.5901159466131976,1,4.0,26.19926941627896,5,40.0,50.21580380166219,15,69.33333333333333,49.99999999999999,20,50.0,1,0.669,43044,137,0,0.0,1370.0000000000002,False,-0.04505153738644305,0,0.6500000000000001,43259,123,0,0.0,1230.0000000000002,False,-0.04188504542278127,0,0.3350000000000001,63719,0,27,0.1,707.3802742395319,False,0.021746322491504686,0,0.6320000000000001,61441,48,0,0.0,316.3255654374335,False,-0.017698212653387575,0,0.2,91494,0,0,0.0,0.0,False,0.014525858245365031,0,0.44300000000000006,89985,1,14,1.0,729.2205226395496,False,0.001836359679319754,13,1.0050000000000001,111766,54,0,0.0,2711.653405289758,False,-0.028046099164462445,0,0.6140000000000001,116334,0,2,0.0,99.99999999999999,False,-1.718419741205987e-05,0.1375,621042,0.0,0.0,9,0,0,4,4,4.0,12,16,21,76.0,50.0,6,9,21,1790,1.5142865030211397,30.866145186068024
13,21,0,0,0,10.000000000000002,20,10.0,6.0195294427103025,13,3.076923076923077,27.99050595221971,10,41.0,53.498405630278384,9,82.0,50.0,20,50.0,6,0.728,42816,144,0,0.0,1440.0000000000002,False,-0.049266247379454925,7,0.7200000000000002,42964,136,0,0.0,1360.0000000000002,False,-0.04690775681341719,0,0.3350000000000001,64089,3,27,1.0,773.8022490380631,False,0.02817619679023799,0,0.6320000000000001,61441,48,0,0.0,288.93741325009455,False,-0.017916587624981294,0,0.2,91494,0,0,0.0,0.0,False,0.014525858245365031,0,0.44300000000000006,90313,1,15,1.0,830.4665904063954,False,0.006034699006511145,8,1.0720000000000003,110916,63,0,0.0,3370.3995547075383,False,-0.032519377095580455,10,0.7140000000000002,116264,0,0,0.0,0.0,False,-0.001048236042135652,0.25,620297,0.0,0.0,8,0,0,11,9,8.5,13,24,22,206.0,72.0,15,6,22,1348,1.9849774289759807,32.851122615044005
14,22,0,0,0,10.000000000000002,20,10.0,5.927398608600531,5,4.6,25.94942736309628,24,19.625,52.6381751810964,7,43.0,50.0,20,50.0,2,0.742,42702,151,0,0.0,1510.0000000000002,False,-0.05099143955276031,3,0.7430000000000001,42765,149,0,0.0,1490.0000000000002,False,-0.0498340321453529,0,0.3350000000000001,64266,0,30,0.8,778.4828208928884,False,0.031036077922569974,19,0.8220000000000001,60984,48,0,0.0,284.5151332128255,False,-0.025239478119465867,0,0.2,91494,0,0,0.0,0.0,False,0.014525858245365031,0,0.44300000000000006,90143,15,18,1.0,1336.7285637061796,False,0.0069564920812238695,14,1.2040000000000002,110325,70,0,0.0,3684.6722626767482,False,-0.03624717636710275,6,0.764,116190,0,0,0.0,0.0,False,-0.0016840513463818672,0.225,618869,0.0,0.0,7,0,0,13,11,11.0,11,24,25,223.0,76.0,15,7,25,701,1.8306796659599058,34.68180228100391
15,25,0,0,0,10.000000000000002,20,10.0,5.932282007110718,5,6.0,25.94942736309628,0,,50.5269605694866,12,37.0,50.00000000000001,20,50.0,5,0.79,42522,159,0,0.0,1590.0000000000002,False,-0.05404874213836478,0,0.7400000000000002,42645,161,0,0.0,1610.0000000000002,False,-0.05114430468204053,0,0.3350000000000001,64236,0,35,0.5,908.2299577083699,False,0.03159219536038189,0,0.8030000000000002,60984,48,0,0.0,284.74953634131447,False,-0.025237609144290945,0,0.2,91494,0,0,0.0,0.0,False,0.014525858245365031,0,0.44300000000000006,90587,5,16,1.0,938.178505927267,False,0.009670110584622915,12,1.3100000000000003,109654,82,0,0.0,4143.210766697901,False,-0.0400425705553163,8,0.8380000000000001,116088,0,0,0.0,0.0,False,-0.0025604454143969206,0.1875,618210,0.0,0.0,6,0,0,15,6,6.0,11,26,19,236.0,69.0,17,8,19,644,1.8291717789834365,36.51097405998735
16,19,0,0,0,10.000000000000002,20,10.0,5.355923026741111,10,1.5,25.041976820129527,8,15.0,48.20535419975076,23,40.130434782608695,50.00000000000001,20,50.0,5,0.8350000000000002,42302,169,0,0.0,1690.0000000000002,False,-0.05776118099231307,5,0.79,42420,171,0,0.0,1710.0000000000002,False,-0.05496593291404612,0,0.3350000000000001,64221,0,45,1.0,1126.8889569058288,False,0.03309643716935227,8,0.883,60848,48,0,0.0,257.08430528357337,False,-0.027626941066804047,0,0.2,91494,0,0,0.0,0.0,False,0.014525858245365031,7,0.5130000000000001,91012,3,10,1.0,557.1794724578962,False,0.012270355453616542,6,1.358,108677,105,0,0.0,5061.562190973829,False,-0.04449176794900658,14,0.9700000000000002,115797,0,0,0.0,0.0,False,-0.005060746137851632,0.25,616771,0.0,0.0,5,0,0,12,8,7.7,10,22,20,168.0,45.0,13,6,20,733,1.5069892430328764,38.017963303020224
17,20,0,0,0,10.000000000000002,20,10.0,5.355923026741111,0,,26.559590069616046,11,38.54545454545455,47.259928479379035,14,41.0,50.000000000000014,20,50.0,0,0.8300000000000003,42242,175,0,0.0,1750.0000000000002,False,-0.05841631726065688,0,0.7850000000000001,42280,185,0,0.0,1850.0000000000002,False,-0.05649458420684836,0,0.3350000000000001,64631,0,35,0.0,929.5856524365616,False,0.03806140787157,1,0.8850000000000002,60830,48,0,0.0,257.08430528357337,False,-0.027913981204583313,0,0.2,91494,0,0,0.0,0.0,False,0.014525858245365031,4,0.546,90946,4,10,1.0,578.8376450722545,False,0.011658596009670546,7,1.4220000000000002,108015,119,0,0.0,5623.9314890461055,False,-0.047763771033259544,13,1.086,115552,0,0,0.0,0.0,False,-0.007165810320828966,0.125,615990,0.0,0.0,7,0,0,6,7,6.285714285714286,18,24,20,174.0,43.0,14,6,20,610,1.4850063709891401,39.502969674009364
18,20,0,0,0,10.000000000000002,20,10.0,5.181274495473899,6,3.1666666666666665,26.559590069616046,0,,47.259928479379035,0,,50.000000000000014,20,50.0,5,0.8800000000000001,42030,184,0,0.0,1840.0000000000002,False,-0.06206324248777079,1,0.7950000000000002,42147,196,0,0.0,1960.0000000000005,False,-0.05819793850454228,0,0.3350000000000001,64612,0,41,0.6,1088.9431928542579,False,0.03902903245829356,0,0.8840000000000001,60830,48,0,0.0,248.70117578274716,False,-0.027980822722553842,0,0.2,91494,0,0,0.0,0.0,False,0.014525858245365031,0,0.542,90946,0,14,0.4,661.6389987113065,False,0.012117664988863363,12,1.5350000000000001,107787,119,0,0.0,5623.9314890461055,False,-0.04972276953823437,8,1.1530000000000002,115440,0,0,0.0,0.0,False,-0.008128125375904318,0.125,615286,0.0,0.0,5,0,0,9,8,8.0,16,25,18,201.0,28.0,16,4,18,200,1.653255001991056,41.15622467600042
19,18,0,0,0,10.000000000000002,20,10.0,5.046265244415442,3,2.0,27.281504978946,5,40.0,47.259928479379035,0,,50.00000000000002,20,50.0,0,0.8750000000000002,41940,193,0,0.0,1930.0000000000005,False,-0.06304594689028652,3,0.8240000000000003,41965,207,0,0.0,2070.0000000000005,False,-0.06097134870719777,0,0.3350000000000001,64806,0,39,0.3,1063.978694178894,False,0.04192363691159875,0,0.8840000000000001,60830,48,0,0.0,242.2207317319412,False,-0.028032493487920866,0,0.2,91494,0,0,0.0,0.0,False,0.014525858245365031,0,0.542,90746,0,19,0.5,897.9386411082016,False,0.011210074076932683,10,1.6230000000000004,107637,119,0,0.0,5623.9314890461055,False,-0.051011584344138855,10,1.245,115290,0,0,0.0,0.0,False,-0.009416940181808808,0.1,614708,0.0,0.0,6,0,0,10,5,5.0,15,25,17,221.0,36.0,16,2,17,400,1.5395335180219263,42.695758194022346
20,17,0,0,0,10.000000000000002,20,10.0,4.309184562720093,32,2.84375,26.953898543951933,12,24.666666666666668,46.00978514005087,5,22.0,50.00000000000003,20,50.0,15,1.0250000000000001,41399,203,0,0.0,2030.0000000000005,False,-0.07376834381551363,17,0.9910000000000003,41339,217,0,0.0,2170.0000000000005,False,-0.07354996505939902,0,0.3350000000000001,64920,22,44,1.0,1280.773596313727,False,0.04547013663360701,7,0.9540000000000002,60697,48,0,0.0,206.84085901056446,False,-0.030435496826527547,0,0.2,91494,0,0,0.0,0.0,False,0.014525858245365031,0,0.542,90560,2,24,1.0,1158.1426404491249,False,0.010590252375416569,10,1.7130000000000003,107482,119,0,0.0,5475.164431666054,False,-0.05298247026418103,10,1.3350000000000004,115050,0,5,0.5,250.00000000000014,False,-0.01040503153300225,0.3125,612941,0.0,0.0,6,0,0,9,14,14.0,12,21,18,168.0,30.0,12,5,18,515,1.3423028669785708,44.03806106100092
21,18,0,0,0,10.000000000000002,20,10.0,4.231398461901086,3,2.0,28.265676294180395,11,38.54545454545455,44.843666885031624,19,39.26315789473684,50.00000000000002,20,50.0,2,1.0300000000000002,41219,216,0,0.0,2160.0000000000005,False,-0.07627969951083159,1,0.9840000000000002,41245,224,0,0.0,2240.0000000000005,False,-0.0748383997204752,0,0.3350000000000001,65324,15,44,1.0,1307.1607338724539,False,0.05212298660377651,1,0.9570000000000001,60679,48,0,0.0,203.1071261712521,False,-0.030752307275102062,0,0.2,91494,0,0,0.0,0.0,False,0.014525858245365031,0,0.542,90882,3,15,1.0,757.4520321580155,False,0.011939213342488722,13,1.8330000000000006,106491,138,0,0.0,6188.426030134364,False,-0.05843303305322644,2,1.3450000000000004,115282,0,0,0.0,0.0,False,-0.009485676971457049,0.25,612616,0.0,0.0,10,0,0,6,8,7.5,16,22,25,187.0,78.0,12,6,25,1506,1.1040296540013514,45.14209071500227
22,25,0,0,0,10.000000000000002,20,10.0,4.6414669219923415,8,8.75,28.265676294180395,0,,43.196873640343135,25,36.68,50.00000000000002,20,50.0,7,1.0980000000000003,40960,229,0,0.0,2290.0000000000005,False,-0.08051624737945492,1,0.9930000000000003,41151,231,0,0.0,2310.0000000000005,False,-0.07612683438155136,0,0.3350000000000001,65254,13,54,1.0,1586.6855898716417,False,0.05323546532293316,0,0.9560000000000002,60679,48,0,0.0,222.7904122556324,False,-0.030595365798723982,0,0.2,91494,0,0,0.0,0.0,False,0.014525858245365031,10,0.6420000000000001,91205,0,3,0.3,129.5906209210294,False,0.012039777681856108,8,1.9000000000000004,105683,156,0,0.0,6738.712287893529,False,-0.06301139188607943,12,1.463,114857,0,7,0.7,350.00000000000017,False,-0.011633701647964532,0.25,611283,0.0,0.0,7,0,0,11,10,10.0,13,24,24,199.0,105.0,15,10,24,813,1.3852992739994079,46.527389989001676
23,24,0,0,0,10.000000000000002,20,10.0,4.610678161457005,4,4.0,29.413886429726475,11,38.54545454545455,43.196873640343135,0,,50.00000000000002,20,50.0,0,1.0910000000000002,40840,241,0,0.0,2410.0000000000005,False,-0.08182651991614255,4,1.0320000000000003,40983,239,0,0.0,2390.0000000000005,False,-0.07892208245981831,0,0.3350000000000001,65648,7,54,1.0,1620.6246143354288,False,0.05978906229038433,1,0.9660000000000002,60661,48,0,0.0,221.31255174993623,False,-0.030894189416591375,0,0.2,91494,0,0,0.0,0.0,False,0.014525858245365031,0,0.6320000000000001,90781,1,13,1.0,590.9732437541873,False,0.009896285614710938,14,2.0320000000000005,105399,156,0,0.0,6738.712287893529,False,-0.06545154791859194,0,1.451,115157,0,1,0.0,50.00000000000002,False,-0.01034488684206004,0.25,610963,0.0,0.0,9,0,0,8,5,5.0,13,21,24,162.0,95.0,12,12,24,910,1.3196060549817048,47.84699604398338
24,24,0,0,0,10.000000000000002,20,10.0,4.298820685208799,8,1.375,29.413886429726475,0,,43.196873640343135,0,,50.000000000000014,20,50.0,6,1.1510000000000002,40577,251,0,0.0,2510.0000000000005,False,-0.08647798742138364,2,1.0480000000000003,40835,249,0,0.0,2490.0000000000005,False,-0.08106219426974144,0,0.3350000000000001,65637,5,64,1.0,1903.9828349285383,False,0.061872959502850884,0,0.9650000000000001,60661,48,0,0.0,206.34339289002236,False,-0.031013543567191156,0,0.2,91494,0,0,0.0,0.0,False,0.014525858245365031,0,0.6320000000000001,90781,0,14,0.1,604.7562309648039,False,0.009972701537771618,15,2.1680000000000006,105088,156,0,0.0,6738.712287893529,False,-0.06812369061616724,4,1.491,115171,0,0,0.0,0.0,False,-0.010439399927826372,0.1375,610244,0.0,0.0,4,0,0,5,8,7.8,18,23,18,165.0,79.0,13,11,18,200,1.432912933989428,49.27990897797281
