index,n_registered_negotiations_before,n_contracts_dropped,n_contracts_nullified_now,n_bankrupt,trading_price_0,sold_quantity_0,unit_price_0,trading_price_1,sold_quantity_1,unit_price_1,trading_price_2,sold_quantity_2,unit_price_2,trading_price_3,sold_quantity_3,unit_price_3,spot_market_quantity_00Dec@0,spot_market_loss_00Dec@0,balance_00Dec@0,inventory_00Dec@0_input,inventory_00Dec@0_output,productivity_00Dec@0,assets_00Dec@0,bankrupt_00Dec@0,score_00Dec@0,spot_market_quantity_01Ran@0,spot_market_loss_01Ran@0,balance_01Ran@0,inventory_01Ran@0_input,inventory_01Ran@0_output,productivity_01Ran@0,assets_01Ran@0,bankrupt_01Ran@0,score_01Ran@0,spot_market_quantity_02Ind@1,spot_market_loss_02Ind@1,balance_02Ind@1,inventory_02Ind@1_input,inventory_02Ind@1_output,productivity_02Ind@1,assets_02Ind@1,bankrupt_02Ind@1,score_02Ind@1,spot_market_quantity_03Dec@1,spot_market_loss_03Dec@1,balance_03Dec@1,inventory_03Dec@1_input,inventory_03Dec@1_output,productivity_03Dec@1,assets_03Dec@1,bankrupt_03Dec@1,score_03Dec@1,spot_market_quantity_04MyA@2,spot_market_loss_04MyA@2,balance_04MyA@2,inventory_04MyA@2_input,inventory_04MyA@2_output,productivity_04MyA@2,assets_04MyA@2,bankrupt_04MyA@2,score_04MyA@2,spot_market_quantity_05Dec@2,spot_market_loss_05Dec@2,balance_05Dec@2,inventory_05Dec@2_input,inventory_05Dec@2_output,productivity_05Dec@2,assets_05Dec@2,bankrupt_05Dec@2,score_05Dec@2,productivity,market_size,production_failures,bankruptcy,n_contracts_executed,n_contracts_erred,n_contracts_nullified,n_contracts_cancelled,n_breaches,breach_level,n_contracts_signed,n_contracts_concluded,n_negotiations,n_negotiation_rounds_successful,n_negotiation_rounds_failed,n_negotiation_successful,n_negotiation_failed,n_registered_negotiations_after,activity_level,step_time,total_time
12,40,0,0,0,10.000000000000002,20,10.0,20.04520795093086,27,27.0,25.83048037607328,46,33.67391304347826,33.0,9,33.0,15,0.5030000000000001,32066,6,10,1.0,260.4520795093086,False,0.07363698945427025,2,1.4710000000000003,25875,126,0,0.0,1260.0000000000002,False,-0.11614645858343338,9,0.6680000000000001,40522,19,10,1.0,639.1637548284191,False,-0.018443560830248024,0,0.2,40297,79,49,1.0,2849.2649665511285,False,0.002706925984175625,0,0.2,52854,0,0,0.0,0.0,False,0.0,0,0.5960000000000001,49782,110,12,1.0,3237.3528413680606,False,-0.027496945913572657,0.6666666666666666,241396,0.0,0.0,17,0,0,16,5,4.090909090909091,21,37,35,283.0,124.0,19,21,35,1920,1.501975791004952,22.0253295119619
13,35,0,0,0,10.000000000000002,20,10.0,19.604825449808043,5,4.0,25.83048037607328,0,,33.0,10,33.0,0,0.4880000000000001,31976,5,20,1.0,442.0965089961609,False,0.07366440757963454,5,1.5190000000000003,25670,137,0,0.0,1370.0000000000002,False,-0.1211484593837535,0,0.659,40502,14,20,1.0,791.0771638187782,False,-0.01709873868851964,0,0.2,40297,69,59,1.0,2876.7312982250787,False,0.0030369787573009837,0,0.2,52854,0,0,0.0,0.0,False,0.0,0,0.5960000000000001,50112,100,12,1.0,2979.048037607328,False,-0.023696900541043963,0.6666666666666666,241411,0.0,0.0,12,0,0,12,1,1.0,23,35,37,205.0,87.0,16,19,37,530,1.5312236259924248,23.556553137954324
14,37,0,0,0,10.000000000000002,20,10.0,19.027626123159603,23,14.91304347826087,24.854142460931097,23,18.217391304347824,33.00000000000001,9,33.0,0,0.4880000000000001,32195,5,19,1.0,411.52489634003246,False,0.08045759797819177,12,1.6340000000000003,25318,147,0,0.0,1470.0000000000002,False,-0.13121915432839804,0,0.659,40417,15,12,1.0,583.6641013785672,False,-0.021633972200983318,0,0.2,40458,71,64,1.0,2941.626572243922,False,0.007686156507533556,0,0.2,52854,0,0,0.0,0.0,False,0.0,0,0.5960000000000001,49990,113,13,1.0,3237.518098085214,False,-0.02356001345134506,0.6666666666666666,241232,0.0,0.0,15,0,0,19,1,1.0,15,34,27,211.0,85.0,16,21,27,1235,1.3920925340498798,24.948645672004204
15,27,0,0,0,10.000000000000002,20,10.0,17.51850480677286,23,6.478260869565218,25.765808351095615,22,32.45454545454545,33.000000000000014,8,33.0,0,0.4880000000000001,32095,5,29,1.0,558.036639396413,False,0.07956577029805946,23,1.8520000000000005,24753,157,0,0.0,1570.0000000000002,False,-0.14839269040949712,0,0.659,40721,5,14,1.0,448.3138409492029,False,-0.015954314680126782,0,0.2,40719,84,60,1.0,3017.502904834657,False,0.014870615790269682,0,0.2,52854,0,0,0.0,0.0,False,0.0,0,0.5960000000000001,49540,125,15,1.0,3715.7260438869516,False,-0.02755017554123665,0.6666666666666666,240682,0.0,0.0,16,0,0,13,2,2.0,14,27,32,115.0,66.0,10,17,32,1178,1.4877676329924725,26.436413304996677
16,32,0,0,0,10.000000000000002,20,10.0,17.059929911358697,49,15.448979591836734,24.84419307369681,12,12.166666666666666,33.000000000000014,13,33.0,0,0.4880000000000001,32720,3,12,1.0,234.71915893630438,False,0.09501665931266351,22,2.0490000000000004,23999,169,0,0.0,1690.0000000000002,False,-0.17153528077897826,0,0.659,40255,20,12,1.0,639.3289151115357,False,-0.0248584571233203,0,0.2,40574,98,70,1.0,3410.9666464719294,False,0.016113901397196928,0,0.2,52854,0,0,0.0,0.0,False,0.0,0,0.5960000000000001,49823,127,12,1.0,3551.212520359495,False,-0.023752104662282027,0.6666666666666666,240225,0.0,0.0,26,0,0,11,5,5.0,18,29,22,171.0,102.0,13,19,22,1480,1.6904874079627916,28.12690071295947
17,22,0,0,0,10.000000000000002,20,10.0,16.950386006914936,4,11.5,25.52261877943177,17,31.88235294117647,33.000000000000014,10,33.0,0,0.4880000000000001,32620,3,22,1.0,402.9084921521286,False,0.09448626937695291,4,2.067,23850,179,0,0.0,1790.0000000000002,False,-0.17483660130718953,0,0.659,40597,10,13,1.0,501.2979042017624,False,-0.01829774923451935,0,0.2,40728,92,72,1.0,3397.064064755262,False,0.01964796155585648,0,0.2,52854,0,0,0.0,0.0,False,0.0,0,0.5960000000000001,49611,134,12,1.0,3816.030916443857,False,-0.025257966128922584,0.6666666666666666,240260,0.0,0.0,15,0,0,11,2,2.0,12,23,33,83.0,63.0,6,16,33,1072,2.443899059027899,30.570799771987367
18,33,0,0,0,10.000000000000002,20,10.0,17.428825357325284,34,20.0,24.18387451429043,19,13.0,33.000000000000014,10,33.0,1,0.49800000000000005,33115,6,10,1.0,234.28825357325286,False,0.1081814101236036,11,2.1730000000000005,23519,186,0,0.0,1860.0000000000002,False,-0.18470721621982125,6,0.7190000000000001,40335,12,10,1.0,450.98464943080774,False,-0.02519905970546258,0,0.2,40377,104,82,1.0,3795.6755473336448,False,0.016002253687106612,0,0.2,52854,0,0,0.0,0.0,False,0.0,0,0.5960000000000001,49694,143,12,1.0,3854.2940555435316,False,-0.023325632350025216,0.6666666666666666,239894,0.0,0.0,17,0,0,20,6,5.666666666666667,10,30,30,209.0,85.0,15,18,30,1289,1.4143114350154065,31.985111207002774
19,30,0,0,0,10.000000000000002,20,10.0,14.857871500401084,39,2.0,23.56521648277473,30,20.266666666666666,33.000000000000014,7,33.0,0,0.49700000000000005,33035,4,20,1.0,337.15743000802166,False,0.10722884870628292,39,2.552000000000001,22580,198,0,0.0,1980.0000000000005,False,-0.21401894090969723,3,0.7430000000000001,40441,41,10,1.0,844.8248963441918,False,-0.017918901002857705,0,0.2,40711,94,75,1.0,3164.0311572458068,False,0.01643912563683099,0,0.2,52854,0,0,0.0,0.0,False,0.0,0,0.5960000000000001,49317,163,15,1.0,4336.1302866922815,False,-0.02590030757660463,0.6666666666666666,238938,0.0,0.0,16,0,0,16,2,1.3333333333333333,15,31,35,168.0,81.0,13,17,35,913,1.461140441999305,33.44625164900208
20,35,0,0,0,10.000000000000002,20,10.0,16.517172931619214,28,29.0,24.335272216070173,10,37.5,33.000000000000014,8,33.0,8,0.5770000000000001,33551,4,10,1.0,205.17172931619214,False,0.12223508952441298,0,2.513000000000001,22480,208,0,0.0,2080.0000000000005,False,-0.21568627450980393,0,0.74,40133,48,15,1.0,1157.8533839587749,False,-0.021559597875955006,0,0.2,40582,95,80,1.0,3515.9532057894394,False,0.017567752238571457,0,0.2,52854,0,0,0.0,0.0,False,0.0,0,0.5960000000000001,49206,163,17,1.0,4527.649371219439,False,-0.02618865770595002,0.6666666666666666,238806,0.0,0.0,16,0,0,19,2,1.1818181818181819,15,34,34,229.0,69.0,17,18,34,1158,1.6441036659525707,35.09035531495465
21,34,0,0,0,10.000000000000002,20,10.0,16.3888754034471,4,9.5,24.091273439340355,30,22.766666666666666,33.000000000000014,8,33.0,0,0.5690000000000001,33441,5,20,1.0,377.777508068942,False,0.12144486974904872,4,2.5530000000000004,22332,217,0,0.0,2170.0000000000005,False,-0.21912098172602373,10,0.8400000000000001,40326,38,10,1.0,863.6899997243933,False,-0.020456031150419513,0,0.2,40734,89,85,1.0,3506.368153250722,False,0.021105628028199645,0,0.2,52854,0,0,0.0,0.0,False,0.0,0,0.5960000000000001,48787,183,19,1.0,5035.703039399285,False,-0.02930995724638353,0.6666666666666666,238474,0.0,0.0,15,0,0,10,3,2.8333333333333335,16,26,35,168.0,174.0,11,23,35,979,1.6702748300158419,36.76063014497049
22,35,0,0,0,10.000000000000002,20,10.0,17.517068479724248,21,28.095238095238095,24.51846671177622,46,26.130434782608695,33.000000000000014,10,33.0,1,0.5790000000000001,33928,3,10,1.0,205.17068479724247,False,0.13480676745360207,0,2.549000000000001,22212,229,0,0.0,2290.0000000000005,False,-0.2211217820461518,32,1.1500000000000001,40116,39,10,1.0,928.3503378270079,False,-0.024726016753262386,0,0.2,40596,89,91,1.0,3790.199565467094,False,0.02119973521914838,0,0.2,52854,0,0,0.0,0.0,False,0.0,0,0.5960000000000001,47915,219,19,1.0,5996.544209878993,False,-0.03671865696182887,0.6666666666666666,237621,0.0,0.0,15,0,0,20,2,1.7619047619047619,16,36,34,273.0,64.0,19,16,34,1262,1.7520702399779111,38.5127003849484
23,34,0,0,0,10.000000000000002,20,10.0,16.755697500014406,11,3.1818181818181817,24.51846671177622,0,,33.000000000000014,14,33.0,0,0.5780000000000001,33838,3,19,1.0,348.3582525002737,False,0.13419298140089822,10,2.649000000000001,21882,239,0,0.0,2390.0000000000005,False,-0.23045885020674936,0,1.118,40086,35,20,1.0,1076.8187467360285,False,-0.02366292452671266,0,0.2,40591,84,101,1.0,3883.8437278906085,False,0.022204856255745222,0,0.2,52854,0,0,0.0,0.0,False,0.0,0,0.5960000000000001,48377,209,15,1.0,5619.35954276123,False,-0.031545771911669594,0.6666666666666666,237628,0.0,0.0,14,0,0,12,2,2.0,18,30,37,223.0,98.0,16,18,37,672,1.5059266809839755,40.01862706593238
24,37,0,0,0,10.000000000000002,20,10.0,17.414887283182715,22,23.0,24.5813084680176,1,37.0,33.000000000000014,10,33.0,0,0.5780000000000001,34214,4,11,1.0,231.56376011500987,False,0.1447839762590871,4,2.6790000000000007,21720,248,0,0.0,2480.0000000000005,False,-0.23436041083099907,0,1.118,40086,25,30,1.0,1172.811436120096,False,-0.022509415798023256,0,0.2,40122,96,110,1.0,4375.773110667476,False,0.016844590240903127,0,0.2,52854,0,0,0.0,0.0,False,0.0,0,0.5960000000000001,48670,200,15,1.0,5411.26169360352,False,-0.027970809270788217,0.6666666666666666,237666,0.0,0.0,15,0,0,9,1,1.0,24,33,31,204.0,157.0,15,22,31,1053,1.5174104429897852,41.53603750892216
25,31,0,0,0,10.000000000000002,20,10.0,17.892124339621798,14,24.285714285714285,24.5813084680176,0,,33.000000000000014,13,33.0,1,0.5880000000000001,34437,3,10,1.0,208.921243396218,False,0.15184275782640097,2,2.6950000000000007,21568,259,0,0.0,2590.0000000000005,False,-0.2375950380152061,0,1.118,40086,15,40,1.0,1251.634203815031,False,-0.0215622316828687,0,0.2,39782,100,120,1.0,4738.969450124292,False,0.013037677547216853,0,0.2,52854,0,0,0.0,0.0,False,0.0,0,0.5960000000000001,49099,190,12,1.0,5066.448608923344,False,-0.023116049788820717,0.6666666666666666,237826,0.0,0.0,15,0,0,13,2,1.0833333333333333,17,30,36,186.0,91.0,14,17,36,629,1.574289394018706,43.11032690294087
26,36,0,0,0,10.000000000000002,20,10.0,16.260496427693916,46,9.82608695652174,23.640128983560103,16,13.125,33.000000000000014,14,33.0,1,0.597,34623,4,10,1.0,202.60496427693914,False,0.1579399253747655,35,3.043000000000001,20371,268,0,0.0,2680.0000000000005,False,-0.27601040416166467,0,1.118,39838,37,41,1.0,1570.8836561506391,False,-0.02368617779626244,0,0.2,39788,104,123,1.0,4598.8274934580595,False,0.01149784293612025,0,0.2,52854,0,0,0.0,0.0,False,0.0,2,0.6160000000000001,49273,196,10,1.0,4963.46528077778,False,-0.020798186695635386,0.6666666666666666,236747,0.0,0.0,16,0,0,15,9,7.757575757575758,26,41,27,301.0,63.0,23,13,27,773,1.5797779679996893,44.69010487094056
27,27,0,0,0,10.000000000000002,20,10.0,16.252859887920707,22,16.181818181818183,24.419642809660104,39,27.923076923076923,33.000000000000014,10,33.0,2,0.6160000000000001,34763,9,10,1.0,252.5285988792071,False,0.16344085298918237,10,3.108000000000001,20086,273,0,0.0,2730.0000000000005,False,-0.28468053888221956,0,1.118,40030,27,35,1.0,1293.5147153119628,False,-0.022404831703333877,0,0.2,40329,116,110,1.0,4571.492456061413,False,0.024171362638628856,0,0.2,52854,0,0,0.0,0.0,False,0.0,0,0.6140000000000001,48514,225,10,1.0,5824.4196321735235,False,-0.027013852951777332,0.6666666666666666,236576,0.0,0.0,16,0,0,10,3,2.166666666666667,17,27,18,143.0,42.0,13,14,18,1619,1.442707121022977,46.132811991963536
28,18,0,0,0,10.000000000000002,20,10.0,15.8833285739145,31,13.451612903225806,25.241418073952012,27,31.11111111111111,33.000000000000014,7,33.0,2,0.6340000000000001,34946,4,10,1.0,198.833285739145,False,0.16864801396790635,19,3.2880000000000007,19605,288,0,0.0,2880.0000000000005,False,-0.29821928771508605,0,1.118,40225,23,33,1.0,1198.2833536404498,False,-0.01886270574106022,0,0.2,40557,131,105,1.0,4731.064940947761,False,0.03156847005392779,0,0.2,52854,0,0,0.0,0.0,False,0.0,0,0.6140000000000001,47905,242,13,1.0,6537.423173896387,False,-0.03179113053036302,0.6666666666666666,236092,0.0,0.0,17,0,0,10,3,2.4,14,24,14,93.0,42.0,9,9,14,1455,1.1955072470009327,47.32831923896447
29,14,0,0,0,10.000000000000002,20,10.0,15.691394613050779,24,14.0,25.555873990593142,5,38.0,33.000000000000014,10,33.0,0,0.6320000000000001,35068,7,11,1.0,242.6053407435586,False,0.17344613413271232,15,3.4190000000000005,19206,295,0,0.0,2950.0000000000005,False,-0.3103574763238629,0,1.1180000000000003,40247,19,38,1.0,1269.2597092905044,False,-0.01748107729949644,0,0.2,40389,139,115,1.0,5120.029360132269,False,0.032204923936315015,0,0.2,52854,0,0,0.0,0.0,False,0.0,0,0.6140000000000001,48045,237,13,1.0,6485.742135770574,False,-0.029631228140059643,0.6666666666666666,235809,0.0,0.0,17,0,0,11,3,3.0,13,24,17,79.0,36.0,7,7,17,972,1.1675470899790525,48.49586632894352
30,17,0,0,0,10.000000000000002,20,10.0,16.412609285924763,27,22.074074074074073,26.4454892523424,17,36.0,33.000000000000014,11,33.0,9,0.7220000000000002,35339,5,10,1.0,214.12609285924762,False,0.18200823817625805,7,3.4740000000000006,18936,307,0,0.0,3070.0000000000005,False,-0.31736027744431106,0,1.118,39850,26,48,1.0,1696.1113255464793,False,-0.02189296395555681,0,0.2,40802,139,108,1.0,5137.465529996522,False,0.0423401851762422,0,0.2,52854,0,0,0.0,0.0,False,0.0,0,0.6140000000000001,47796,244,12,1.0,6848.699377571546,False,-0.030908735596439696,0.6666666666666666,235577,0.0,0.0,14,0,0,9,5,4.083333333333333,15,24,17,107.0,39.0,9,8,17,1175,1.1702373369480483,49.66610366589157
31,17,0,0,0,10.000000000000002,20,10.0,16.67340187074498,37,18.18918918918919,26.498404526839412,3,29.666666666666668,33.000000000000014,8,33.0,10,0.8130000000000002,35589,3,10,1.0,196.7340187074498,False,0.19005492228070303,17,3.637000000000001,18474,319,0,0.0,3190.0000000000005,False,-0.330765639589169,0,1.118,39715,32,57,1.0,2043.9579178936856,False,-0.020957510179364036,0,0.2,40353,150,116,1.0,5574.825205725118,False,0.03680484036777047,0,0.2,52854,0,0,0.0,0.0,False,0.0,0,0.6140000000000001,47971,237,14,1.0,6742.121872860941,False,-0.028605953448547525,0.6666666666666666,234956,0.0,0.0,18,0,0,7,4,4.0,18,25,24,96.0,75.0,7,10,24,833,0.9678469219943509,50.63395058788592
32,24,0,0,0,10.000000000000002,20,10.0,17.037710383073076,36,19.333333333333332,26.462804612234606,4,25.0,33.000000000000014,8,33.0,20,1.0030000000000003,35673,4,10,1.0,210.37710383073076,False,0.193083518471234,6,3.680000000000001,18252,328,0,0.0,3280.0000000000005,False,-0.33666800053354673,0,1.118,39461,40,63,1.0,2348.665105893703,False,-0.023400404889642883,0,0.2,40011,158,126,1.0,6026.271621667107,False,0.034010329756388166,0,0.2,52854,0,0,0.0,0.0,False,0.0,0,0.6140000000000001,48135,231,16,1.0,6640.907865426194,False,-0.02646055298155109,0.6666666666666666,234386,0.0,0.0,12,0,0,8,3,2.166666666666667,20,28,31,168.0,79.0,13,11,31,564,1.4379755079862662,52.071926095872186
