index,n_registered_negotiations_before,n_contracts_dropped,n_contracts_nullified_now,n_bankrupt,trading_price_0,sold_quantity_0,unit_price_0,trading_price_1,sold_quantity_1,unit_price_1,trading_price_2,sold_quantity_2,unit_price_2,trading_price_3,sold_quantity_3,unit_price_3,trading_price_4,sold_quantity_4,unit_price_4,spot_market_quantity_00Dec@0,spot_market_loss_00Dec@0,balance_00Dec@0,inventory_00Dec@0_input,inventory_00Dec@0_output,productivity_00Dec@0,assets_00Dec@0,bankrupt_00Dec@0,score_00Dec@0,spot_market_quantity_01Buy@0,spot_market_loss_01Buy@0,balance_01Buy@0,inventory_01Buy@0_input,inventory_01Buy@0_output,productivity_01Buy@0,assets_01Buy@0,bankrupt_01Buy@0,score_01Buy@0,spot_market_quantity_02Dec@1,spot_market_loss_02Dec@1,balance_02Dec@1,inventory_02Dec@1_input,inventory_02Dec@1_output,productivity_02Dec@1,assets_02Dec@1,bankrupt_02Dec@1,score_02Dec@1,spot_market_quantity_03Buy@1,spot_market_loss_03Buy@1,balance_03Buy@1,inventory_03Buy@1_input,inventory_03Buy@1_output,productivity_03Buy@1,assets_03Buy@1,bankrupt_03Buy@1,score_03Buy@1,spot_market_quantity_04Ind@2,spot_market_loss_04Ind@2,balance_04Ind@2,inventory_04Ind@2_input,inventory_04Ind@2_output,productivity_04Ind@2,assets_04Ind@2,bankrupt_04Ind@2,score_04Ind@2,spot_market_quantity_05Buy@2,spot_market_loss_05Buy@2,balance_05Buy@2,inventory_05Buy@2_input,inventory_05Buy@2_output,productivity_05Buy@2,assets_05Buy@2,bankrupt_05Buy@2,score_05Buy@2,spot_market_quantity_06MyA@3,spot_market_loss_06MyA@3,balance_06MyA@3,inventory_06MyA@3_input,inventory_06MyA@3_output,productivity_06MyA@3,assets_06MyA@3,bankrupt_06MyA@3,score_06MyA@3,spot_market_quantity_07Ran@3,spot_market_loss_07Ran@3,balance_07Ran@3,inventory_07Ran@3_input,inventory_07Ran@3_output,productivity_07Ran@3,assets_07Ran@3,bankrupt_07Ran@3,score_07Ran@3,productivity,market_size,production_failures,bankruptcy,n_contracts_executed,n_contracts_erred,n_contracts_nullified,n_contracts_cancelled,n_breaches,breach_level,n_contracts_signed,n_contracts_concluded,n_negotiations,n_negotiation_rounds_successful,n_negotiation_rounds_failed,n_negotiation_successful,n_negotiation_failed,n_registered_negotiations_after,activity_level,step_time,total_time
10,34,0,0,0,10.000000000000002,20,10.0,15.707360504588852,62,14.935483870967742,18.715279549387027,74,21.405405405405407,33.89072037449742,31,38.45161290322581,47.0,9,47.0,0,0.5330000000000001,43023,2,20,1.0,334.147210091777,False,0.035832540412650785,62,2.971000000000001,32736.0,108,0,0.0,1080.0000000000002,False,-0.2019378357636224,0,0.2,57435,154,37,1.0,3111.3988610340034,False,-0.012939237157536292,48,1.8410000000000002,51711.0,184,0,0.0,2890.1543328443486,False,-0.11056694387219437,0,0.254,83733,18,11,1.0,709.6729560084382,False,-0.0032852903691789545,22,1.734,77012,190,0,0.0,3555.903114383535,False,-0.06608248020871484,0,0.2,106686,0,3,0.0,141.0,False,0.0001545812254075323,9,0.812,99614,182,0,0.0,6168.11110815853,False,-0.03786719548361186,0.375,551950,0.0,0.0,12,0,0,16,15,15.0,23,39,34,370.0,129.0,26,8,34,1624,2.7718032831326127,74.96090733725578
11,34,0,0,0,10.000000000000002,20,10.0,14.223950318474554,84,8.880952380952381,20.80749051642106,67,26.611940298507463,33.821043387058076,11,33.0,47.0,10,47.0,0,0.533,43041,1,18,1.0,266.03110573254196,False,0.03544741828631698,72,3.6290000000000013,30156.0,119,0,0.0,1190.0000000000002,False,-0.2624952033768227,0,0.2,58616,166,11,1.0,2590.0581485474077,False,0.00246016120530261,31,2.103,50196.0,246,0,0.0,3499.0917783447403,False,-0.13082213558041014,0,0.254,82604,44,21,1.0,1625.771493850746,False,-0.011238241605815553,11,1.822,76248,221,0,0.0,4598.455404129054,False,-0.06895954836644903,0,0.2,106686,0,3,0.0,141.0,False,0.0001545812254075323,10,0.9030000000000002,99087,193,0,0.0,6527.461373702208,False,-0.041121129034559604,0.375,546634,0.0,0.0,14,0,0,17,15,15.0,18,35,31,367.0,93.0,23,11,31,1697,2.48703979793936,77.44794713519514
12,31,0,0,0,10.000000000000002,20,10.0,14.178575736694112,10,12.6,20.47245083402876,9,12.0,33.9523617444159,13,35.23076923076923,47.0,9,47.0,0,0.533,42995,1,26,1.0,378.6429691540469,False,0.035694586640853315,8,3.6370000000000013,29940.0,129,0,0.0,1290.0000000000002,False,-0.26647640061396777,0,0.2,58517,165,21,1.0,2769.3864640691327,False,0.0023039494015555497,9,2.1620000000000004,50007.0,247,0,0.0,3502.108206963446,False,-0.13395933833943977,0,0.254,82496,43,31,1.0,1932.8385999401298,False,-0.010698520713920929,13,1.941,76103,221,0,0.0,4524.411634320356,False,-0.07111710049001148,0,0.2,106686,0,3,0.0,141.0,False,0.0001545812254075323,9,0.9830000000000001,98485,206,0,0.0,6994.186519349676,False,-0.044574730563286195,0.375,545229,0.0,0.0,8,0,0,11,8,8.0,23,34,26,350.0,90.0,21,10,26,254,2.8036941811442375,80.25164131633937
13,26,0,0,0,10.000000000000002,20,10.0,14.591141232528392,78,16.294871794871796,19.654984951633566,23,12.08695652173913,39.746144298606914,54,53.22222222222222,47.0,8,47.0,4,0.5730000000000001,43643,1,10,1.0,155.91141232528392,False,0.04856474736575787,48,4.109000000000001,28919.0,139,0,0.0,1390.0000000000002,False,-0.2897640061396777,0,0.2,58418,162,31,1.0,2973.06941317024,False,0.0023514943207468796,23,2.383000000000001,48236.0,318,0,0.0,4639.982911944028,False,-0.15407282886065168,17,0.42400000000000004,84142,46,10,1.0,1301.5907507612133,False,0.005070768391875859,6,1.9880000000000004,75934,231,0,0.0,4540.301523827354,False,-0.07302612739982596,0,0.2,106686,0,3,0.0,141.0,False,0.0001545812254075323,8,1.0540000000000003,95495,260,0,0.0,10333.997517637798,False,-0.056942113932744086,0.375,541473,0.0,0.0,13,0,0,11,14,12.576923076923077,18,29,25,239.0,90.0,16,10,25,1436,5.037806870415807,85.28944818675518
14,25,0,0,0,10.000000000000002,20,10.0,15.218820719729564,73,18.315068493150687,18.41611285125553,41,12.0,39.03698930238354,17,32.294117647058826,47.0,9,47.0,33,0.8990000000000002,43601,0,7,0.7,106.53174503810695,False,0.04696531735703799,30,4.3610000000000015,28076.0,153,0,0.0,1530.0000000000002,False,-0.30830295471987723,0,0.2,58030,185,31,1.0,3386.3813315388907,False,-0.000682841413401898,31,2.670000000000001,46564.0,358,0,0.0,5448.337817663184,False,-0.17528664565906582,0,0.4070000000000001,84130,37,20,1.0,1462.1359615441254,False,0.0058800211079483074,17,2.152,75111,271,0,0.0,4990.7665826902485,False,-0.0801116186647885,0,0.2,106686,0,3,0.0,141.0,False,0.0001545812254075323,9,1.1360000000000001,94802,277,0,0.0,10813.24603676024,False,-0.06118959135862728,0.3375,537000,0.0,0.0,8,0,0,12,18,17.23076923076923,19,31,29,285.0,66.0,18,7,29,340,2.6736348150298,87.96308300178498
15,29,0,0,0,10.000000000000002,20,10.0,15.432647272152044,20,19.6,18.093751306793475,16,13.5,38.1025847533494,12,25.583333333333332,47.00000000000001,13,47.0,5,0.9160000000000001,43693,1,10,1.0,164.32647272152045,False,0.0498648128444157,8,4.411000000000001,27890.0,162,0,0.0,1620.0000000000002,False,-0.31168457405986183,0,0.2,58198,175,29,1.0,3225.4320605236185,False,0.000781675093062826,4,2.6790000000000003,46097.0,378,0,0.0,5833.540668873473,False,-0.17987801461688085,0,0.4070000000000001,84123,43,21,1.0,1578.185586012457,False,0.006484831304524763,3,2.1650000000000005,75076,271,0,0.0,4903.4066041410315,False,-0.08104423277341892,0,0.2,106686,0,3,0.0,141.00000000000003,False,0.0001545812254075323,13,1.2570000000000001,94245,289,0,0.0,11011.646993717975,False,-0.06547851323909516,0.375,536008,0.0,0.0,10,0,0,13,10,9.416666666666668,20,33,27,315.0,84.0,21,8,27,577,2.8456729063764215,90.8087559081614
16,27,0,0,0,10.000000000000002,20,10.0,14.760862386200918,47,9.48936170212766,18.093751306793475,0,,37.26046732381475,19,30.36842105263158,47.00000000000001,11,47.0,0,0.9110000000000003,43573,3,20,1.0,325.21724772401836,False,0.04891616998901602,47,4.873000000000001,26408.0,170,0,0.0,1700.0000000000002,False,-0.34626822716807365,0,0.2,58008,185,39,1.0,3436.415842412115,False,-0.0006323552438582391,0,2.6750000000000007,45841.0,405,0,0.0,5978.149266411372,False,-0.18295169946446543,0,0.4070000000000001,84312,33,28,1.0,1640.3868781909978,False,0.009093740758555081,16,2.3220000000000005,74664,271,0,0.0,4903.4066041410315,False,-0.08592777452651558,0,0.2,106686,0,3,0.0,141.00000000000003,False,0.0001545812254075323,11,1.3540000000000003,93467,308,0,0.0,11476.223935734943,False,-0.07059104395852095,0.375,532959,0.0,0.0,7,0,0,13,13,13.0,19,32,20,316.0,36.0,20,7,20,389,2.6652530087158084,93.47400891687721
17,20,0,0,0,10.000000000000002,20,10.0,14.659242751443763,41,13.731707317073171,17.923456397264957,34,16.823529411764707,37.21946794407114,2,34.0,47.00000000000001,10,47.0,0,0.911,43533,2,25,1.0,386.48106878609406,False,0.04869149401364745,36,5.186000000000002,25686.0,181,0,0.0,1810.0000000000002,False,-0.36226496546431314,0,0.2,57770,201,44,1.0,3735.1398745198544,False,-0.0021154886342961226,29,2.9650000000000007,44966.0,420,0,0.0,6156.881955606381,False,-0.1960972997489594,0,0.4070000000000001,84168,35,38,1.0,2041.660755778977,False,0.00976507293177848,2,2.326000000000001,74216,293,0,0.0,5251.572724398632,False,-0.08917458232443173,0,0.2,106686,0,3,0.0,141.00000000000003,False,0.0001545812254075323,10,1.4430000000000003,93234,310,0,0.0,11538.035062662053,False,-0.0724843776341481,0.375,530259,0.0,0.0,9,0,0,8,10,10.0,15,23,23,179.0,42.0,11,9,23,440,2.0879991836845875,95.5620081005618
18,23,0,0,0,10.000000000000002,20,10.0,14.44556433694744,67,13.253731343283581,18.62301741515197,23,25.565217391304348,35.55719963566588,34,28.558823529411764,47.0,13,47.0,0,0.911,43483,3,29,1.0,448.92136577147573,False,0.04824109465861799,61,5.760000000000002,24130.0,190,0,0.0,1900.0000000000002,False,-0.39850345356868766,0,0.2,57614,225,42,1.0,4032.4187072495565,False,-0.0022386494607995184,11,3.0460000000000003,44460.0,453,0,0.0,6543.84064463719,False,-0.20132654570780742,0,0.4070000000000001,84297,40,24,1.0,1598.29348786206,False,0.008666470028223034,10,2.4240000000000004,74040,301,0,0.0,5605.528241960743,False,-0.08916299269862657,0,0.2,106686,0,3,0.0,141.0,False,0.0001545812254075323,13,1.5630000000000004,92010,344,0,0.0,12231.676674669063,False,-0.08070228276808575,0.375,526720,0.0,0.0,12,0,0,6,10,10.0,20,26,30,204.0,75.0,13,10,30,1337,2.080869873985648,97.64287797454745
19,30,0,0,0,10.000000000000002,20,10.0,14.093579892454326,92,12.576086956521738,19.52190167555633,34,25.5,34.299183596524905,42,29.523809523809526,47.00000000000001,11,47.0,0,0.911,43720,6,13,1.0,243.21653860190622,False,0.05145837176949712,66,6.359000000000003,21789.0,197,0,0.0,1970.0000000000005,False,-0.45380851880276285,0,0.2,57605,255,34,1.0,4257.607529544768,False,-0.0005052579350046325,16,3.1950000000000003,43628.0,505,0,0.0,7117.257845689434,False,-0.21045062373929588,0,0.4070000000000001,83584,53,34,1.0,2200.833031086332,False,0.0037861259472905732,42,2.834000000000001,72128,312,0,0.0,6090.833322773575,False,-0.10895019662909043,0,0.2,106686,0,3,0.0,141.00000000000003,False,0.0001545812254075323,11,1.6600000000000001,90571,386,0,0.0,13239.484868258613,False,-0.08946278401602673,0.375,519711,0.0,0.0,11,0,0,11,19,19.0,20,31,32,304.0,81.0,18,12,32,1215,2.179922371171415,99.82280034571886
20,32,0,0,0,10.000000000000002,20,10.0,14.550357622376334,62,17.79032258064516,19.328405886851698,7,12.857142857142858,33.24633437712645,36,27.944444444444443,47.00000000000001,7,47.0,18,1.0910000000000002,43992,9,10,1.0,235.50357622376333,False,0.05788928885533106,31,6.603000000000001,21090.0,204,0,0.0,2040.0000000000005,False,-0.46973330775134303,0,0.2,57146,269,44,1.0,4764.496059440708,False,-0.0039447153851758406,7,3.249000000000001,42846.0,543,0,0.0,7900.844188950349,False,-0.2169797521170743,0,0.4070000000000001,83698,50,32,1.0,2030.3029944106313,False,0.004126729060692371,24,3.0320000000000005,71562,312,0,0.0,6030.46263669773,False,-0.11601693453032823,0,0.2,106686,0,3,0.0,141.00000000000003,False,0.0001545812254075323,7,1.719,89477,422,0,0.0,14029.953107147363,False,-0.09600921347598201,0.375,516497,0.0,0.0,7,0,0,12,14,13.235294117647058,18,30,32,266.0,90.0,17,15,32,404,2.2406435320153832,102.06344387773424
21,32,0,0,0,10.000000000000002,20,10.0,14.641137413735093,39,15.692307692307692,18.325686122462947,54,14.296296296296296,32.803786861701994,38,30.526315789473685,47.00000000000002,8,47.0,4,1.1130000000000002,44186,10,10,1.0,246.41137413735095,False,0.06267281482800921,25,6.822000000000001,20470.0,213,0,0.0,2130.0000000000005,False,-0.48352359938603223,0,0.2,57196,274,49,1.0,4909.6302713641,False,-0.0018938636021341838,49,3.7320000000000007,40383.0,567,0,0.0,8301.524913587798,False,-0.25483966172287836,0,0.4070000000000001,83794,53,33,1.0,2053.7863309267022,False,0.005403818709931237,29,3.2980000000000005,70115,353,0,0.0,6468.96720122942,False,-0.13056974336970653,0,0.2,106686,0,3,0.0,141.00000000000006,False,0.0001545812254075323,8,1.7920000000000003,88202,460,0,0.0,15089.741956382917,False,-0.10298977910631942,0.375,511032,0.0,0.0,10,0,0,14,17,16.285714285714285,19,33,25,337.0,126.0,20,12,25,666,2.064110762439668,104.12755464017391
22,25,0,0,0,10.000000000000002,20,10.0,14.538351621090559,10,10.0,16.387883211847544,97,11.515463917525773,33.39345827075092,23,38.78260869565217,47.000000000000014,12,47.0,0,1.1090000000000002,44056,13,20,1.0,420.7670324218112,False,0.06164580574181942,10,6.897000000000002,20260.0,220,0,0.0,2200.0000000000005,False,-0.487720644666155,0,0.2,57518,274,21,1.0,4327.653891627611,False,-0.001374959075466681,59,4.273,38040.0,567,0,0.0,8243.245369158347,False,-0.2945314456097454,0,0.4070000000000001,84458,51,26,1.0,1704.0119588437487,False,0.011201398440370635,6,3.3290000000000006,68968,442,0,0.0,7243.444379636615,False,-0.1395753903891625,0,0.2,106686,0,3,0.0,141.00000000000006,False,0.0001545812254075323,12,1.9039999999999997,87080,483,0,0.0,16129.040344772695,False,-0.10863293823883884,0.375,507066,0.0,0.0,10,0,0,14,11,11.0,15,29,31,246.0,99.0,17,8,31,1382,2.19499596580863,106.32255060598254
23,31,0,0,0,10.000000000000002,20,10.0,14.388133782259219,13,9.692307692307692,16.131191231165406,21,12.380952380952381,33.30094452275496,18,32.22222222222222,47.000000000000014,14,47.0,0,1.1090000000000002,44012,11,26,1.0,484.0914783387397,False,0.061349907405251605,9,6.977000000000002,20032.0,232,0,0.0,2320.0000000000005,False,-0.4917498081350729,0,0.2,57482,268,31,1.0,4356.0867818115985,False,-0.001739451996087989,21,4.424,37436.0,576,0,0.0,8287.565058581311,False,-0.30426707500684935,0,0.4070000000000001,84635,43,29,1.0,1659.3686141000062,False,0.013034840360931709,11,3.4330000000000007,68598,461,0,0.0,7436.4791575672525,False,-0.14281704997589487,0,0.2,106686,0,3,0.0,141.00000000000006,False,0.0001545812254075323,14,2.0320000000000005,86209,501,0,0.0,16683.773205900234,False,-0.11419442942711146,0.375,505090,0.0,0.0,9,0,0,11,10,10.0,22,33,31,331.0,183.0,20,11,31,439,2.294419474899769,108.61697008088231
24,31,0,0,0,10.000000000000002,20,10.0,14.250968097165332,23,12.0,16.100586176557456,50,15.92,33.411925261126036,20,34.55,47.00000000000001,14,47.0,0,1.1090000000000002,44033,12,28,1.0,519.0271067206294,False,0.06227248545089018,15,7.118000000000002,19692.0,241,0,0.0,2410.0000000000005,False,-0.49882482732156563,0,0.2,57472,278,36,1.0,4541.390233368031,False,-0.00035648355725829305,45,4.8530000000000015,35599.0,579,0,0.0,8251.310528258728,False,-0.33530795689496407,0,0.4070000000000001,84728,52,29,1.0,1806.1763137536427,False,0.015007267905847492,10,3.522000000000001,67952,492,0,0.0,7921.488398866269,False,-0.14759978427744763,0,0.2,106686,0,3,0.0,141.00000000000003,False,0.0001545812254075323,14,2.1580000000000004,85232,521,0,0.0,17407.613061046664,False,-0.11995684344647431,0.375,501394,0.0,0.0,10,0,0,15,16,16.0,16,31,19,316.0,153.0,20,11,19,856,2.402598568238318,111.01956864912063
