index,n_registered_negotiations_before,n_contracts_dropped,n_contracts_nullified_now,n_bankrupt,trading_price_0,sold_quantity_0,unit_price_0,trading_price_1,sold_quantity_1,unit_price_1,trading_price_2,sold_quantity_2,unit_price_2,trading_price_3,sold_quantity_3,unit_price_3,trading_price_4,sold_quantity_4,unit_price_4,spot_market_quantity_00Buy@0,spot_market_loss_00Buy@0,balance_00Buy@0,inventory_00Buy@0_input,inventory_00Buy@0_output,productivity_00Buy@0,assets_00Buy@0,bankrupt_00Buy@0,score_00Buy@0,spot_market_quantity_01Dec@0,spot_market_loss_01Dec@0,balance_01Dec@0,inventory_01Dec@0_input,inventory_01Dec@0_output,productivity_01Dec@0,assets_01Dec@0,bankrupt_01Dec@0,score_01Dec@0,spot_market_quantity_02MyA@1,spot_market_loss_02MyA@1,balance_02MyA@1,inventory_02MyA@1_input,inventory_02MyA@1_output,productivity_02MyA@1,assets_02MyA@1,bankrupt_02MyA@1,score_02MyA@1,spot_market_quantity_03Ind@1,spot_market_loss_03Ind@1,balance_03Ind@1,inventory_03Ind@1_input,inventory_03Ind@1_output,productivity_03Ind@1,assets_03Ind@1,bankrupt_03Ind@1,score_03Ind@1,spot_market_quantity_04Ran@2,spot_market_loss_04Ran@2,balance_04Ran@2,inventory_04Ran@2_input,inventory_04Ran@2_output,productivity_04Ran@2,assets_04Ran@2,bankrupt_04Ran@2,score_04Ran@2,spot_market_quantity_05Ran@2,spot_market_loss_05Ran@2,balance_05Ran@2,inventory_05Ran@2_input,inventory_05Ran@2_output,productivity_05Ran@2,assets_05Ran@2,bankrupt_05Ran@2,score_05Ran@2,spot_market_quantity_06Dec@3,spot_market_loss_06Dec@3,balance_06Dec@3,inventory_06Dec@3_input,inventory_06Dec@3_output,productivity_06Dec@3,assets_06Dec@3,bankrupt_06Dec@3,score_06Dec@3,spot_market_quantity_07Buy@3,spot_market_loss_07Buy@3,balance_07Buy@3,inventory_07Buy@3_input,inventory_07Buy@3_output,productivity_07Buy@3,assets_07Buy@3,bankrupt_07Buy@3,score_07Buy@3,productivity,market_size,production_failures,bankruptcy,n_contracts_executed,n_contracts_erred,n_contracts_nullified,n_contracts_cancelled,n_breaches,breach_level,n_contracts_signed,n_contracts_concluded,n_negotiations,n_negotiation_rounds_successful,n_negotiation_rounds_failed,n_negotiation_successful,n_negotiation_failed,n_registered_negotiations_after,activity_level,step_time,total_time
10,23,0,0,0,10.000000000000002,20,10.0,19.443244934853734,11,26.0,30.30291085343149,0,,6.090756880004124,26,4.76923076923077,41.00000000000001,20,41.0,0,0.4880000000000001,11645,113,0,0.0,1130.0000000000002,False,-0.0764692534604039,0,0.2,14118,3,16,1.0,341.09191895765974,False,0.08074623398221238,0,0.2,20729,0,8,0.1,242.42328682745193,False,0.02928427918318232,0,0.5690000000000001,19343,18,20,1.0,956.0366258959971,False,-0.021522519970973035,5,2.626000000000001,9280,78,0,0.0,2363.627046567656,False,-0.6212643983896091,21,2.5700000000000007,11477.0,37,0,0.0,1121.2077015769653,False,-0.5642180845386641,0,0.2,35999,39,17,1.0,934.5395183201609,False,0.08314580328393029,6,0.8090000000000002,30967,401,0,0.0,2442.3935088816534,False,-0.04392441398280734,0.3875,153558,0.0,0.0,12,0,0,12,8,8.0,16,28,24,198.0,33.0,17,6,24,1060,1.289391839876771,22.582024045288563
11,24,0,0,0,10.000000000000002,20,10.0,20.581004868860678,27,24.666666666666668,30.21381386144336,2,25.0,6.042215449324156,33,5.575757575757576,41.00000000000001,20,41.0,0,0.4880000000000001,11525,125,0,0.0,1250.0000000000002,False,-0.08100748808713411,11,0.31000000000000005,14464,1,10,1.0,215.81004868860677,False,0.10217873264838541,0,0.2,20729,0,8,0.0,241.71051089154687,False,0.029266685859000576,0,0.5690000000000001,18727,35,28,1.0,1566.3219585305378,False,-0.03686819473439961,23,2.851000000000001,8153,78,0,0.0,2356.677481192582,False,-0.662189525373917,10,2.649000000000001,11027.0,39,0,0.0,1178.338740596291,False,-0.5794747358976887,0,0.2,36366,31,18,1.0,925.3086789290489,False,0.09390959513661826,11,0.913,30621,432,0,0.0,2610.2370741080354,False,-0.05170883841583691,0.375,151612,0.0,0.0,10,0,0,6,10,9.11111111111111,22,28,25,225.0,50.0,17,7,25,619,1.3463828284293413,23.928406873717904
12,25,0,0,0,10.000000000000002,20,10.0,20.768577328105195,4,26.0,32.1396781075061,12,49.333333333333336,5.620002061983049,42,2.4523809523809526,41.0,20,41.0,0,0.4880000000000001,11475,130,0,0.0,1300.0000000000002,False,-0.08289841918160502,0,0.29900000000000004,14418,6,16,1.0,392.2972372496831,False,0.10537392168707678,0,0.2,20729,0,8,0.0,257.1174248600488,False,0.029646972030904155,0,0.5690000000000001,19215,29,26,1.0,1437.9203733102092,False,-0.015947070807370012,29,3.1180000000000008,6094,86,0,0.0,2764.0123172455246,False,-0.7293557485203359,13,2.7690000000000006,10238.0,43,0,0.0,1382.0061586227623,False,-0.6043513347821966,0,0.2,36600,27,22,1.0,1053.7400556735424,False,0.1027673991694172,14,1.042,30276,468,0,0.0,2630.1609650080673,False,-0.061660365268540934,0.375,149045,0.0,0.0,10,0,0,9,10,10.0,21,30,23,215.0,58.0,18,7,23,1142,1.3828518949449062,25.31125876866281
13,23,0,0,0,10.000000000000002,20,10.0,21.21254129548572,18,23.77777777777778,33.51971792934084,27,39.0,5.452028660148398,42,4.166666666666667,41.00000000000001,20,41.0,0,0.4880000000000001,11355,142,0,0.0,1420.0000000000002,False,-0.08743665380833522,2,0.31900000000000006,14724,4,10,1.0,252.1254129548572,False,0.12321781306084478,0,0.2,20777,0,7,0.0,234.63802550538588,False,0.03146166820124866,0,0.5690000000000001,19792,37,10,1.0,1120.0612072263802,False,0.004691247648377918,19,3.2790000000000012,5027,96,0,0.0,3217.892921216721,False,-0.7597673510984194,23,2.986,8167.0,60,0,0.0,2011.1830757604505,False,-0.6679364465163008,0,0.2,37010,17,22,1.0,994.6844872225229,False,0.1140684422018968,10,1.1280000000000001,29959,510,0,0.0,2780.5346166756826,False,-0.06884286368438414,0.375,146811,0.0,0.0,16,0,0,9,10,10.0,19,28,21,241.0,48.0,17,6,21,2073,1.426973331719637,26.738232100382447
14,21,0,0,0,10.000000000000002,20,10.0,20.994078012363786,2,9.0,33.32162063787625,6,29.333333333333332,5.025415141380869,60,2.7,41.00000000000001,20,41.0,2,0.508,11241,151,0,0.0,1510.0000000000002,False,-0.09265562362907495,0,0.31700000000000006,14614,5,20,1.0,469.88156024727573,False,0.12313295364372116,0,0.2,20828,0,6,0.0,199.9297238272575,False,0.03312261746130364,0,0.5690000000000001,19899,29,15,1.0,1108.6525719266936,False,0.009691774989551606,25,3.5100000000000016,3766,96,0,0.0,3198.87558123612,False,-0.8057619450958238,35,3.313,5806.0,66,0,0.0,2199.2269620998327,False,-0.7500049422202543,0,0.2,37482,21,20,1.0,925.5337179689984,False,0.1270611239191047,8,1.1980000000000002,29723,556,0,0.0,2794.1308186077636,False,-0.07565077347836507,0.375,143359,0.0,0.0,12,0,0,6,10,10.0,20,26,19,172.0,20.0,14,7,19,868,1.3374314364045858,28.075663536787033
15,19,0,0,0,10.000000000000002,20,10.0,20.760329217284983,2,9.0,34.51971341108438,14,44.285714285714285,4.897474697730497,92,4.413043478260869,41.00000000000001,20,41.0,2,0.526,11137,159,0,0.0,1590.0000000000002,False,-0.09749640723092051,0,0.31700000000000006,14494,7,30,1.0,692.8098765185495,False,0.12248732609176877,0,0.2,20828,0,6,0.0,207.1182804665063,False,0.03330005135179216,0,0.5690000000000001,20501,21,11,1.0,815.6837610849129,False,0.032178599029592504,30,3.785000000000001,1515,106,0,0.0,3659.0896215749444,False,-0.8789217387399098,62,3.898000000000001,494.0,70,0,0.0,2416.379938775907,False,-0.9383778022159811,0,0.2,37803,46,19,1.0,1004.283836095603,False,0.13776522761302773,9,1.2800000000000002,29323,613,0,0.0,3002.1519897087946,False,-0.08444245121767914,0.375,136095,0.0,0.0,11,0,0,5,16,16.0,20,25,20,152.0,28.0,13,6,20,1271,1.3418337181210518,29.417497254908085
16,20,0,0,0,10.000000000000002,20,10.0,20.760329217284983,0,,34.92631906256707,12,38.833333333333336,4.90263397834151,21,5.0,41.00000000000001,20,41.0,0,0.524,11027,170,0,0.0,1700.0000000000002,False,-0.10165645563875653,0,0.31700000000000006,14404,6,40,1.0,890.4131686913993,False,0.12315305834246278,0,0.2,20930,0,4,0.0,139.70527625026827,False,0.036671404360227866,0,0.5690000000000001,20865,11,11,1.0,612.5531310783726,False,0.045133858199100804,13,3.8850000000000007,711,112,0,0.0,3911.7477350075114,False,-0.9034545897439179,8,3.9160000000000013,34.0,76,0,0.0,2654.400248755097,False,-0.950722219730748,0,0.2,38254,36,18,1.0,914.4948232202945,False,0.14982764759586967,9,1.3610000000000002,29094,634,0,0.0,3108.2699422685173,False,-0.08966837047749253,0.375,135319,0.0,0.0,12,0,0,5,6,6.0,20,25,18,156.0,41.0,14,6,18,1117,1.1879202835261822,30.605417538434267
17,18,0,0,0,10.000000000000002,20,10.0,21.453507448373518,22,24.363636363636363,34.92631906256707,0,,4.858042847434321,37,4.405405405405405,41.00000000000001,20,41.0,2,0.5440000000000002,10903,180,0,0.0,1800.0000000000002,False,-0.10725361167839044,0,0.31700000000000006,14822,6,30,1.0,703.6052234512056,False,0.14770460719503845,0,0.2,20930,0,4,0.0,139.70527625026827,False,0.036671404360227866,0,0.5690000000000001,20329,23,21,1.0,1226.8833716264994,False,0.03383727530301871,16,4.032000000000001,12,112,0,0.0,3911.7477350075114,False,-0.9287595892008921,21,4.118000000000001,-1060.0,76,0,0.0,2654.400248755097,False,-0.9903268969924501,0,0.2,38743,39,15,1.0,804.4636710499386,False,0.16271814642008395,7,1.4220000000000002,28899,658,0,0.0,3196.5921936117834,False,-0.09414868872171887,0.375,133578,0.0,0.0,13,0,0,4,10,10.0,21,25,16,162.0,38.0,13,5,16,1251,0.9765934403985739,31.58201097883284
18,16,0,0,0,10.000000000000002,20,10.0,21.453507448373518,0,,34.498761968720196,10,29.6,4.612067918186916,61,3.1147540983606556,41.0,20,41.0,0,0.542,10833,187,0,0.0,1870.0000000000002,False,-0.10990091521064972,0,0.31700000000000006,14692,9,40,1.0,948.1402979349407,False,0.14711974502439076,0,0.2,20930,0,4,0.0,137.99504787488078,False,0.03662919109134817,0,0.5690000000000001,20625,13,21,1.0,1003.3695981719798,False,0.04293255660196424,23,4.246000000000001,-1494,119,0,0.0,4105.352674277703,False,-0.9797749579285794,38,4.477000000000001,-5216.0,79,0,0.0,2725.4021955288954,False,-1.1394960323728616,0,0.2,39112,29,16,1.0,789.7499696274206,False,0.1734599157873796,11,1.5250000000000001,28545,719,0,0.0,3316.076833176393,False,-0.10288892931986232,0.375,128027,0.0,0.0,9,0,0,4,12,19.247619047619047,21,25,16,162.0,39.0,13,3,16,569,0.9644631706178188,32.54647414945066
19,16,0,0,1,10.000000000000002,20,10.0,21.617810771940455,5,25.0,34.954847785790555,3,52.0,4.50996038645486,23,2.782608695652174,41.0,20,41.0,0,0.542,10753,195,0,0.0,1950.0000000000005,False,-0.11292640496180319,0,0.31700000000000006,14697,11,45,1.0,1082.8014847373206,False,0.15259063175014445,0,0.2,20930,0,4,0.0,139.81939114316222,False,0.03667422103823762,0,0.5690000000000001,20656,8,28,1.0,1151.678224177659,False,0.04812356775874167,23,4.453000000000001,-2833,119,0,0.0,4159.626886509076,False,-1.0272666457931963,0,4.439000000000001,-14216.555555555555,82,0,0.0,2866.2975184348256,True,-1.4627812618592528,0,0.2,39541,32,15,1.0,759.3187323665555,False,0.18575041928842134,9,1.6040000000000003,28391,729,0,0.0,3287.7611217255926,False,-0.10788366766083121,0.375,132135,0.0,0.1,10,0,0,2,12,78.07603318250378,22,24,13,172.0,42.0,12,4,13,776,0.8093493282794952,33.355823477730155
20,13,0,0,0,10.000000000000002,20,10.0,21.832344979228104,5,26.0,35.675117187439184,5,50.6,4.659785286253151,34,6.294117647058823,41.00000000000001,20,41.0,0,0.542,10673,203,0,0.0,2030.0000000000005,False,-0.11595189471295667,0,0.31700000000000006,14707,13,50,1.0,1221.6172489614053,False,0.1585968250874141,0,0.2,20930,0,4,0.0,142.70046874975674,False,0.036745334174600235,0,0.5690000000000001,20779,3,33,1.0,1242.7759021231773,False,0.056444090983935824,34,4.770000000000001,-17706,124,0,0.0,4423.714531242459,False,-1.560914554334387,0,4.439000000000001,-14216.555555555555,82,0,0.0,2925.359609370013,True,-1.4617121873391936,0,0.2,40029,26,13,1.0,654.154417442582,False,0.19868349448187514,8,1.6750000000000003,28093,759,0,0.0,3536.7770322661418,False,-0.11303684569064458,0.375,117505,0.0,0.1,10,0,0,5,10,100.66346405228758,15,20,15,138.0,72.0,9,4,15,822,0.8002749979496002,34.156098475679755
21,15,0,15,1,10.000000000000002,20,10.0,22.099039614555032,15,23.733333333333334,35.675117187439184,0,,4.341160017608221,56,2.267857142857143,41.00000000000001,20,41.0,2,0.562,10569,211,0,0.0,2110.0000000000005,False,-0.12079267831480221,0,0.31700000000000006,14925,15,47,1.0,1188.6548618840866,False,0.17383915217775078,0,0.2,20930,0,4,0.0,142.70046874975674,False,0.036745334174600235,0,0.5690000000000001,20423,8,43,1.0,1710.8223559763253,False,0.05042262812796387,56,5.296000000000001,-23730,124,0,0.0,4423.714531242459,True,-1.7789936912854782,0,4.439000000000001,-14216.555555555555,82,0,0.0,2925.359609370013,True,-1.4617121873391936,0,0.2,40562,16,10,1.0,479.4585602817316,False,0.21192055366206877,7,1.737,27890,815,0,0.0,3538.0454143507,False,-0.1190476517903184,0.375,135299,0.0,0.2,12,0,0,7,15,15.0,16,23,9,136.0,43.0,11,4,9,1075,1.0544445663690567,35.21054304204881
22,9,4,0,0,10.000000000000002,20,10.0,22.444305273306693,13,25.0,35.675117187439184,0,,4.341160017608221,0,,41.00000000000001,20,41.0,0,0.5600000000000002,10499,218,0,0.0,2180.0000000000005,False,-0.1234399818470615,0,0.31700000000000006,15120,18,44,1.0,1167.5494320254945,False,0.18779023644298823,0,0.2,20930,0,4,0.0,142.70046874975674,False,0.036745334174600235,0,0.5690000000000001,20098,11,53,1.0,2137.6685689406504,False,0.044914562100524545,0,5.240000000000002,-23730,124,0,0.0,4423.714531242459,True,-1.7789936912854782,0,4.439000000000001,-14216.555555555555,82,0,0.0,2925.359609370013,True,-1.4617121873391936,0,0.2,40890,6,12,1.0,518.0469601056494,False,0.22223612083205593,12,1.8500000000000003,27688,815,0,0.0,3538.0454143507,False,-0.12504759238496596,0.375,135225,0.0,0.2,9,0,0,3,11,59.65903902301662,14,17,11,75.0,25.0,6,3,11,853,0.7886042166501284,35.99914725869894
23,11,1,0,0,10.000000000000002,20,10.0,23.045413220786646,20,26.0,35.675117187439184,0,,4.341160017608221,0,,41.0,20,41.0,0,0.56,10389,229,0,0.0,2290.0000000000005,False,-0.12760003025489752,0,0.31700000000000006,15550,17,34,1.0,953.544049506746,False,0.21222086262411108,0,0.2,20930,0,4,0.0,142.70046874975674,False,0.036745334174600235,0,0.5690000000000001,19578,21,63,1.0,2731.486060445188,False,0.03390151701745544,0,5.240000000000002,-23730,124,0,0.0,4423.714531242459,True,-1.7789936912854782,0,4.439000000000001,-14216.555555555555,82,0,0.0,2925.359609370013,True,-1.4617121873391936,0,0.2,41054,0,14,0.6,574.0,False,0.2279383372441857,16,1.9980000000000004,27360,815,0,0.0,3538.0454143507,False,-0.1347900701822155,0.325,134861,0.0,0.2,10,0,0,7,5,5.0,13,20,14,129.0,54.0,8,3,14,884,0.8458884693682194,36.84503572806716
24,14,2,0,0,10.000000000000002,20,10.0,23.41025440692281,15,26.0,35.675117187439184,0,,4.341160017608221,0,,41.0,20,41.0,0,0.56,10289,239,0,0.0,2390.0000000000005,False,-0.13138189244383935,0,0.31700000000000006,15840,17,29,1.0,848.8973778007615,False,0.23019807041073898,0,0.2,20930,0,4,0.0,142.70046874975674,False,0.036745334174600235,0,0.5690000000000001,19188,26,73,1.0,3212.950169263054,False,0.02653280765323224,0,5.240000000000002,-23730,124,0,0.0,4423.714531242459,True,-1.7789936912854782,0,4.439000000000001,-14216.555555555555,82,0,0.0,2925.359609370013,True,-1.4617121873391936,0,0.2,41464,0,4,0.0,164.0,False,0.23402738586746666,10,2.0820000000000003,27216,815,0,0.0,3538.0454143507,False,-0.13906725555661772,0.25,134927,0.0,0.2,11,0,0,7,6,459.3297500301896,15,22,12,142.0,39.0,11,3,12,1000,0.9255129601806402,37.7705486882478
