index,n_registered_negotiations_before,n_contracts_dropped,n_contracts_nullified_now,n_bankrupt,trading_price_0,sold_quantity_0,unit_price_0,trading_price_1,sold_quantity_1,unit_price_1,trading_price_2,sold_quantity_2,unit_price_2,trading_price_3,sold_quantity_3,unit_price_3,trading_price_4,sold_quantity_4,unit_price_4,spot_market_quantity_00Ran@0,spot_market_loss_00Ran@0,balance_00Ran@0,inventory_00Ran@0_input,inventory_00Ran@0_output,productivity_00Ran@0,assets_00Ran@0,bankrupt_00Ran@0,score_00Ran@0,spot_market_quantity_01Buy@0,spot_market_loss_01Buy@0,balance_01Buy@0,inventory_01Buy@0_input,inventory_01Buy@0_output,productivity_01Buy@0,assets_01Buy@0,bankrupt_01Buy@0,score_01Buy@0,spot_market_quantity_02MyA@1,spot_market_loss_02MyA@1,balance_02MyA@1,inventory_02MyA@1_input,inventory_02MyA@1_output,productivity_02MyA@1,assets_02MyA@1,bankrupt_02MyA@1,score_02MyA@1,spot_market_quantity_03Ran@1,spot_market_loss_03Ran@1,balance_03Ran@1,inventory_03Ran@1_input,inventory_03Ran@1_output,productivity_03Ran@1,assets_03Ran@1,bankrupt_03Ran@1,score_03Ran@1,spot_market_quantity_04Dec@2,spot_market_loss_04Dec@2,balance_04Dec@2,inventory_04Dec@2_input,inventory_04Dec@2_output,productivity_04Dec@2,assets_04Dec@2,bankrupt_04Dec@2,score_04Dec@2,spot_market_quantity_05Dec@2,spot_market_loss_05Dec@2,balance_05Dec@2,inventory_05Dec@2_input,inventory_05Dec@2_output,productivity_05Dec@2,assets_05Dec@2,bankrupt_05Dec@2,score_05Dec@2,spot_market_quantity_06Ind@3,spot_market_loss_06Ind@3,balance_06Ind@3,inventory_06Ind@3_input,inventory_06Ind@3_output,productivity_06Ind@3,assets_06Ind@3,bankrupt_06Ind@3,score_06Ind@3,spot_market_quantity_07Dec@3,spot_market_loss_07Dec@3,balance_07Dec@3,inventory_07Dec@3_input,inventory_07Dec@3_output,productivity_07Dec@3,assets_07Dec@3,bankrupt_07Dec@3,score_07Dec@3,productivity,market_size,production_failures,bankruptcy,n_contracts_executed,n_contracts_erred,n_contracts_nullified,n_contracts_cancelled,n_breaches,breach_level,n_contracts_signed,n_contracts_concluded,n_negotiations,n_negotiation_rounds_successful,n_negotiation_rounds_failed,n_negotiation_successful,n_negotiation_failed,n_registered_negotiations_after,activity_level,step_time,total_time
10,24,0,0,0,10.000000000000002,20,10.0,9.841079460269864,0,,13.306615727157292,24,25.083333333333332,31.87338438030981,18,27.333333333333332,37.99999999999999,20,38.0,0,0.37100000000000005,15699,101,0,0.0,1010.0000000000002,False,-0.05078788588834866,0,0.272,15801,119,0,0.0,1190.0000000000002,False,-0.03954074160857595,0,0.2,25644,0,0,0.0,0.0,False,0.027115792846557456,5,0.8980000000000001,23047,0,0,0.0,0.0,False,-0.07690150999319101,0,0.3350000000000001,35762,15,12,1.0,582.0798484710771,False,0.0157502655162997,0,0.20900000000000002,36415,0,14,0.6,446.22738132433733,False,0.032234002666990724,6,0.4670000000000001,45917,8,10,1.0,634.9870750424784,False,-0.007630531497719743,4,0.6540000000000001,45914,0,0,0.0,0.0,False,-0.01450955140588109,0.325,244199,0.0,0.0,17,0,0,17,6,6.0,16,33,26,195.0,108.0,13,11,26,1604,1.1265124840429053,14.998555554135237
11,26,0,0,0,10.000000000000002,20,10.0,9.841079460269864,0,,12.85299712349218,6,6.0,32.20789957432497,25,33.2,38.0,20,38.0,0,0.37100000000000005,15629,108,0,0.0,1080.0000000000002,False,-0.052838146564348897,0,0.272,15671,132,0,0.0,1320.0000000000002,False,-0.04334836857829067,0,0.2,25644,0,0,0.0,0.0,False,0.027115792846557456,6,0.9530000000000001,22934,0,0,0.0,0.0,False,-0.0814274842792486,0,0.3350000000000001,36106,11,12,1.0,527.8777632503136,False,0.024678505708715822,1,0.21900000000000003,36834,0,0,0.0,0.0,False,0.03775285963824872,1,0.4710000000000001,45650,18,10,1.0,959.7421923378495,False,-0.009876130153060287,9,0.7400000000000002,45601,0,5,0.5,190.0,False,-0.019188667095943336,0.3125,244069,0.0,0.0,17,0,0,10,8,6.45,16,26,26,132.0,143.0,8,18,26,1106,1.0711158590274863,16.069671413162723
12,26,0,0,0,10.000000000000002,20,10.0,9.841079460269864,0,,12.463768647981519,4,4.0,32.62136054351266,5,40.0,37.99999999999999,20,38.0,0,0.37100000000000005,15519,119,0,0.0,1190.0000000000002,False,-0.05605998476949212,0,0.272,15581,141,0,0.0,1410.0000000000002,False,-0.0459844180188624,0,0.2,25644,0,0,0.0,0.0,False,0.027115792846557456,4,0.9870000000000001,22854,0,0,0.0,0.0,False,-0.08463171386229823,0,0.3350000000000001,36290,5,17,1.0,616.8819724796227,False,0.03111627278525412,0,0.21800000000000003,36834,0,0,0.0,0.0,False,0.03775285963824872,4,0.5100000000000001,45992,8,10,1.0,640.9708843481012,False,-0.005956526246532456,1,0.7410000000000001,45584,0,5,0.5,189.99999999999997,False,-0.019553552264434428,0.3125,244298,0.0,0.0,17,0,0,16,5,3.6666666666666665,16,32,21,166.0,132.0,12,14,21,818,2.0214894770178944,18.091160890180618
13,21,0,0,0,10.000000000000002,20,10.0,9.841079460269864,0,,12.337519595554152,1,2.0,33.39963923077303,10,40.0,38.00000000000001,20,38.0,0,0.37100000000000005,15429,128,0,0.0,1280.0000000000002,False,-0.05869603421006385,0,0.272,15471,152,0,0.0,1520.0000000000002,False,-0.04920625622400562,0,0.2,25644,0,0,0.0,0.0,False,0.027115792846557456,1,0.9930000000000001,22832,0,0,0.0,0.0,False,-0.08551287699763688,0,0.3350000000000001,36490,0,17,0.5,567.7938669231415,False,0.03605952931373101,5,0.268,36877,0,1,0.1,33.39963923077303,False,0.0394348289743446,1,0.516,46165,3,10,1.0,480.1989176923191,False,-0.0039686744184124975,4,0.78,45540,0,5,0.5,190.00000000000003,False,-0.020497960935823137,0.2625,244448,0.0,0.0,16,0,0,4,5,4.5,21,25,20,127.0,112.0,8,13,20,932,1.0564763840520754,19.147637274232693
14,20,0,0,0,10.000000000000002,20,10.0,9.841079460269864,0,,11.738382217014381,5,2.8,31.112653021651685,19,20.842105263157894,38.0,20,38.0,0,0.37100000000000005,15299,141,0,0.0,1410.0000000000002,False,-0.06250366117977857,0,0.272,15401,159,0,0.0,1590.0000000000002,False,-0.051256516900005857,0,0.2,25644,0,0,0.0,0.0,False,0.027115792846557456,5,1.0420000000000003,22722,0,0,0.0,0.0,False,-0.08991869267433011,0,0.3350000000000001,36800,0,5,0.1,155.56326510825843,False,0.03898635354015124,5,0.31300000000000006,36794,0,4,0.4,124.45061208660674,False,0.03837903042889803,4,0.5550000000000002,46315,7,10,1.0,597.7885711515618,False,0.0005128629657818794,1,0.786,45523,0,5,0.5,190.0,False,-0.02086284610431423,0.25,244498,0.0,0.0,19,0,0,7,6,5.166666666666667,24,31,17,157.0,102.0,11,9,17,1006,1.0269549279473722,20.174592202180065
15,17,0,0,0,10.000000000000002,20,10.0,9.841079460269864,0,,10.97321218570702,7,3.142857142857143,31.561990936515457,5,40.0,38.00000000000001,20,38.0,0,0.37100000000000005,15159,155,0,0.0,1550.0000000000002,False,-0.06660418253177904,0,0.272,15341,165,0,0.0,1650.0000000000002,False,-0.05301388319372034,0,0.2,25644,0,0,0.0,0.0,False,0.027115792846557456,7,1.1070000000000002,22566,0,0,0.0,0.0,False,-0.09616694036127689,0,0.3350000000000001,36980,0,5,0.5,157.80995468257728,False,0.0440892820572855,0,0.30800000000000005,36792,0,6,0.2,189.37194561909274,False,0.03923722242659447,0,0.5510000000000002,46619,0,9,0.7,342.00000000000006,False,0.0042927666881305004,7,0.8550000000000002,45428,0,5,0.5,190.00000000000003,False,-0.02290191028117622,0.2375,244529,0.0,0.0,16,0,0,13,6,5.666666666666666,16,29,10,123.0,81.0,10,7,10,856,1.2424975110334344,21.4170897132135
16,10,0,0,0,10.000000000000002,20,10.0,9.841079460269864,0,,10.486666059013404,5,3.6,31.561990936515457,0,,38.00000000000001,20,38.0,0,0.37100000000000005,15059,165,0,0.0,1650.0000000000002,False,-0.06953312635463652,0,0.272,15241,175,0,0.0,1750.0000000000002,False,-0.05594282701657782,0,0.2,25644,0,0,0.0,0.0,False,0.027115792846557456,5,1.1500000000000001,22460,0,0,0.0,0.0,False,-0.10041254455881764,0,0.3350000000000001,36978,0,6,0.1,189.37194561909274,False,0.04447754473459019,0,0.30800000000000005,36776,0,10,0.4,315.61990936515457,False,0.04056488292901832,1,0.5610000000000002,46954,0,0,0.0,0.0,False,0.007812835372397511,5,0.8980000000000001,45571,0,0,0.0,0.0,False,-0.0218716462760249,0.0625,244683,0.0,0.0,16,0,0,5,5,4.6,22,27,5,102.0,39.0,7,3,5,656,0.9096340879914351,22.326723801204935
17,5,0,0,0,10.000000000000002,20,10.0,9.841079460269864,0,,9.529216616087467,10,3.0,32.58666021389792,15,38.666666666666664,38.00000000000001,20,38.0,0,0.37100000000000005,14969,174,0,0.0,1740.0000000000002,False,-0.07216917579520825,0,0.272,15131,186,0,0.0,1860.0000000000002,False,-0.05916466522172105,0,0.2,25644,0,0,0.0,0.0,False,0.027115792846557456,10,1.245,22221,0,0,0.0,0.0,False,-0.1099851804381784,4,0.37500000000000006,37217,0,9,0.9,293.2799419250813,False,0.05267481746105089,0,0.30800000000000005,36963,0,6,0.1,195.51996128338754,False,0.04414154450447093,13,0.6900000000000002,46339,0,10,1.0,380.00000000000006,False,-0.0013092938398798024,7,0.9630000000000001,45298,0,5,0.5,190.00000000000003,False,-0.025692208628461045,0.3125,243782,0.0,0.0,13,0,0,3,15,14.8,22,25,10,62.0,18.0,4,1,10,590,0.859010619984474,23.18573442118941
18,10,0,0,0,10.000000000000002,20,10.0,9.841079460269864,0,,9.361439867140666,5,7.0,32.57140366847775,20,32.5,38.00000000000001,20,38.0,0,0.37100000000000005,14859,185,0,0.0,1850.0000000000002,False,-0.07539101400035148,0,0.272,15041,195,0,0.0,1950.0000000000005,False,-0.061800714662292776,0,0.2,25644,0,0,0.0,0.0,False,0.027115792846557456,5,1.2850000000000001,22136,0,0,0.0,0.0,False,-0.11338967437016863,0,0.37100000000000005,37407,0,4,0.0,130.285614673911,False,0.055731752052092,9,0.398,37084,0,5,0.5,162.85701834238876,False,0.04709045216575178,2,0.6970000000000001,46315,0,10,1.0,380.00000000000006,False,-0.0018244258424554626,3,0.9860000000000002,45207,0,10,1.0,380.00000000000006,False,-0.025606353294698434,0.3125,243693,0.0,0.0,16,0,0,2,5,4.4,22,24,15,74.0,45.0,5,5,15,960,0.8872135359561071,24.072947957145516
19,15,0,0,0,10.000000000000002,20,10.0,9.841079460269864,0,,8.584886167101207,8,2.0,33.14413987544094,10,39.0,38.00000000000001,20,38.0,0,0.37100000000000005,14739,197,0,0.0,1970.0000000000005,False,-0.07890574658778045,0,0.272,14961,203,0,0.0,2030.0000000000005,False,-0.06414386972057876,0,0.2,25644,0,0,0.0,0.0,False,0.027115792846557456,8,1.3600000000000003,21944,0,0,0.0,0.0,False,-0.12107982536948772,1,0.381,37562,0,4,0.4,132.57655950176377,False,0.060130959591786756,0,0.389,37272,0,4,0.4,132.57655950176377,False,0.05196056459544935,1,0.7050000000000001,46688,0,0,0.0,0.0,False,0.002103455677183945,0,0.9830000000000003,45159,0,11,1.0,418.00000000000006,False,-0.026228804464477357,0.225,243969,0.0,0.0,19,0,0,3,4,3.2,23,26,18,113.0,84.0,7,8,18,1122,0.9096918380237184,24.982639795169234
20,18,0,0,0,10.000000000000002,20,10.0,9.841079460269864,0,,8.135426245055235,5,2.0,33.946633888887995,20,38.0,38.00000000000001,20,38.0,0,0.37100000000000005,14649,206,0,0.0,2060.0000000000005,False,-0.08154179602835218,0,0.272,14851,214,0,0.0,2140.0000000000005,False,-0.06736570792572198,0,0.2,25644,0,0,0.0,0.0,False,0.027115792846557456,5,1.4020000000000001,21834,0,0,0.0,0.0,False,-0.12548564104618096,1,0.39,37721,0,0,0.0,0.0,False,0.06274299881670141,11,0.49900000000000005,37446,0,5,0.5,169.73316944443997,False,0.057386222593176925,10,0.804,45972,5,10,1.0,549.73316944444,False,-0.007364958473444476,0,0.9830000000000001,45349,0,6,0.5,228.00000000000006,False,-0.024189740287615367,0.25,243466,0.0,0.0,16,0,0,4,10,8.4,24,28,27,139.0,87.0,9,9,27,580,0.9869286509929225,25.969568446162157
21,27,0,0,0,10.000000000000002,20,10.0,9.841079460269864,0,,7.17780988508027,12,1.9166666666666667,34.287489766654325,10,38.0,38.00000000000001,20,38.0,0,0.37100000000000005,14579,213,0,0.0,2130.0000000000005,False,-0.08359205670435241,0,0.272,14721,227,0,0.0,2270.0000000000005,False,-0.0711733348954367,0,0.2,25644,0,0,0.0,0.0,False,0.027115792846557456,12,1.5170000000000001,21524,0,0,0.0,0.0,False,-0.13790203068049825,5,0.43900000000000006,37746,0,5,0.5,171.43744883327162,False,0.06586236334075152,0,0.48800000000000004,37623,0,7,0.7,240.01242836658028,False,0.06336299696239617,4,0.8340000000000003,46134,0,10,1.0,380.00000000000006,False,-0.005709379695213565,0,0.9830000000000001,45387,0,5,0.5,190.00000000000003,False,-0.02378192745224297,0.3375,243358,0.0,0.0,17,0,0,5,5,5.0,29,34,27,202.0,129.0,14,13,27,998,1.12515285104746,27.094721297209617
22,27,0,0,0,10.000000000000002,20,10.0,9.841079460269864,0,,6.952394127876457,4,3.0,33.74806205881358,9,27.333333333333332,38.000000000000014,20,38.0,0,0.37100000000000005,14459,225,0,0.0,2250.0000000000005,False,-0.08710678929178138,0,0.272,14641,235,0,0.0,2350.0000000000005,False,-0.07351648995372269,0,0.2,25644,0,0,0.0,0.0,False,0.027115792846557456,4,1.5450000000000002,21440,0,0,0.0,0.0,False,-0.14126647174270038,0,0.43400000000000005,37790,0,5,0.4,168.7403102940679,False,0.06706401518980776,0,0.4880000000000001,37813,0,2,0.0,67.49612411762716,False,0.06628579653064773,0,0.8300000000000001,46192,0,11,0.9,418.00000000000017,False,-0.004056664520283322,7,1.0530000000000002,45488,0,0,0.0,0.0,False,-0.023653144451599054,0.1625,243467,0.0,0.0,14,0,0,13,7,6.25,22,35,26,211.0,112.0,15,12,26,826,1.1817149210255593,28.276436218235176
23,26,0,0,0,10.000000000000002,20,10.0,9.841079460269864,0,,6.696273145882907,3,1.0,34.20705520675754,10,39.0,38.00000000000001,20,38.0,0,0.37100000000000005,14369,234,0,0.0,2340.0000000000005,False,-0.08974283873235311,0,0.272,14531,246,0,0.0,2460.0000000000005,False,-0.07673832815886591,0,0.2,25644,0,0,0.0,0.0,False,0.027115792846557456,3,1.5710000000000002,21369,0,0,0.0,0.0,False,-0.1441102254976569,0,0.43400000000000005,37987,0,3,0.3,102.62116562027262,False,0.07168283605144925,3,0.518,37910,0,0,0.0,0.0,False,0.06806784245224545,1,0.8400000000000001,46403,0,5,0.5,190.00000000000003,False,-0.00197467267654003,8,1.1260000000000001,45196,0,5,0.5,190.00000000000003,False,-0.027881519639407597,0.1625,243409,0.0,0.0,13,0,0,6,8,7.6,25,31,19,160.0,117.0,11,15,19,818,1.0128049940103665,29.289241212245543
24,19,0,0,0,10.000000000000002,20,10.0,9.841079460269864,0,,6.534697520386645,4,4.0,34.20705520675754,0,,38.00000000000001,20,38.0,0,0.37100000000000005,14269,244,0,0.0,2440.0000000000005,False,-0.0926717825552106,0,0.272,14431,256,0,0.0,2560.0000000000005,False,-0.0796672719817234,0,0.2,25644,0,0,0.0,0.0,False,0.027115792846557456,4,1.608,21289,0,0,0.0,0.0,False,-0.14731445508070654,0,0.43400000000000005,37987,0,3,0.0,102.62116562027262,False,0.07168283605144925,0,0.5150000000000001,37894,0,4,0.4,136.82822082703015,False,0.06954454585038351,6,0.8990000000000002,46525,0,0,0.0,0.0,False,-0.0013951491736424126,4,1.1580000000000001,45350,0,0,0.0,0.0,False,-0.0266151534664091,0.05,243389,0.0,0.0,11,0,0,5,7,6.0,21,26,11,119.0,75.0,9,10,11,466,0.9434655560180545,30.232706768263597
25,11,0,0,0,10.000000000000002,20,10.0,9.841079460269864,0,,6.376463248653156,4,4.0,33.569153830623904,10,27.0,38.00000000000001,20,38.0,0,0.37100000000000005,14139,257,0,0.0,2570.0000000000005,False,-0.09647940952492531,0,0.272,14361,263,0,0.0,2630.0000000000005,False,-0.08171753265772362,0,0.2,25644,0,0,0.0,0.0,False,0.027115792846557456,4,1.644,21209,0,0,0.0,0.0,False,-0.15051868466375615,2,0.45400000000000007,37995,0,0,0.0,0.0,False,0.07046261339944779,1,0.5250000000000001,38047,0,4,0.4,134.27661532249562,False,0.07381918937457732,7,0.9630000000000001,46178,0,10,1.0,380.00000000000006,False,-0.004764971023824855,13,1.2840000000000003,45123,0,0,0.0,0.0,False,-0.03148744365743722,0.175,242696,0.0,0.0,10,0,0,3,13,11.6,17,20,5,40.0,18.0,4,7,5,200,0.6834357110201381,30.916142479283735
