index,n_registered_negotiations_before,n_contracts_dropped,n_contracts_nullified_now,n_bankrupt,trading_price_0,sold_quantity_0,unit_price_0,trading_price_1,sold_quantity_1,unit_price_1,trading_price_2,sold_quantity_2,unit_price_2,trading_price_3,sold_quantity_3,unit_price_3,trading_price_4,sold_quantity_4,unit_price_4,spot_market_quantity_00Ran@0,spot_market_loss_00Ran@0,balance_00Ran@0,inventory_00Ran@0_input,inventory_00Ran@0_output,productivity_00Ran@0,assets_00Ran@0,bankrupt_00Ran@0,score_00Ran@0,spot_market_quantity_01Dec@0,spot_market_loss_01Dec@0,balance_01Dec@0,inventory_01Dec@0_input,inventory_01Dec@0_output,productivity_01Dec@0,assets_01Dec@0,bankrupt_01Dec@0,score_01Dec@0,spot_market_quantity_02MyA@1,spot_market_loss_02MyA@1,balance_02MyA@1,inventory_02MyA@1_input,inventory_02MyA@1_output,productivity_02MyA@1,assets_02MyA@1,bankrupt_02MyA@1,score_02MyA@1,spot_market_quantity_03Ind@1,spot_market_loss_03Ind@1,balance_03Ind@1,inventory_03Ind@1_input,inventory_03Ind@1_output,productivity_03Ind@1,assets_03Ind@1,bankrupt_03Ind@1,score_03Ind@1,spot_market_quantity_04Dec@2,spot_market_loss_04Dec@2,balance_04Dec@2,inventory_04Dec@2_input,inventory_04Dec@2_output,productivity_04Dec@2,assets_04Dec@2,bankrupt_04Dec@2,score_04Dec@2,spot_market_quantity_05Ran@2,spot_market_loss_05Ran@2,balance_05Ran@2,inventory_05Ran@2_input,inventory_05Ran@2_output,productivity_05Ran@2,assets_05Ran@2,bankrupt_05Ran@2,score_05Ran@2,spot_market_quantity_06Dec@3,spot_market_loss_06Dec@3,balance_06Dec@3,inventory_06Dec@3_input,inventory_06Dec@3_output,productivity_06Dec@3,assets_06Dec@3,bankrupt_06Dec@3,score_06Dec@3,spot_market_quantity_07Buy@3,spot_market_loss_07Buy@3,balance_07Buy@3,inventory_07Buy@3_input,inventory_07Buy@3_output,productivity_07Buy@3,assets_07Buy@3,bankrupt_07Buy@3,score_07Buy@3,productivity,market_size,production_failures,bankruptcy,n_contracts_executed,n_contracts_erred,n_contracts_nullified,n_contracts_cancelled,n_breaches,breach_level,n_contracts_signed,n_contracts_concluded,n_negotiations,n_negotiation_rounds_successful,n_negotiation_rounds_failed,n_negotiation_successful,n_negotiation_failed,n_registered_negotiations_after,activity_level,step_time,total_time
10,30,0,0,0,10.000000000000002,20,10.0,19.859522606231714,18,27.0,28.385798313424623,30,27.0,14.399247078448598,10,7.6,53.99999999999999,20,54.0,0,0.7310000000000001,38121,100,0,0.0,1000.0000000000002,False,-0.04651277620046908,0,0.2,41771,12,20,1.0,517.1904521246342,False,0.03763967969540344,0,0.2,63968,0,20,0.0,567.7159662684925,False,0.007161344668614203,20,0.544,63003,44,10,1.0,1157.6769778084417,False,-0.0033413513770010053,0,0.35300000000000004,78396,45,20,1.0,1565.34586567308,False,-0.00707682263224926,10,2.2800000000000007,63187.0,36,0,0.0,1021.8887392832864,False,-0.2012095811589526,0,0.31700000000000006,115922,0,8,0.6,431.99999999999994,False,0.016098269436035626,8,0.8740000000000001,111216,194,0,0.0,2793.453933219028,False,-0.014744554002611515,0.45,575584,0.0,0.0,14,0,0,12,7,6.666666666666666,20,32,35,221.0,60.0,15,15,35,1334,2.1840838342905045,34.65572698134929
11,35,0,0,0,10.000000000000002,20,10.0,19.98305814443948,35,20.37142857142857,29.57225799181209,22,35.31818181818182,14.836023218300312,35,16.8,53.99999999999999,20,54.0,10,0.8310000000000002,37799,109,0,0.0,1090.0000000000002,False,-0.05335143809406246,5,0.25,42237,13,10,1.0,329.83058144439485,False,0.046831632902658786,0,0.2,64438,0,10,0.0,295.7225799181209,False,0.012396916528866823,2,0.544,62533,69,10,1.0,1674.5535918844448,False,-0.0066576252693436805,0,0.35300000000000004,78676,35,25,1.0,1405.929610170931,False,-0.004565105337327924,30,2.5700000000000007,60745.0,58,0,0.0,1715.1909635251013,False,-0.22748585478646963,5,0.3670000000000001,116035,3,10,1.0,584.5080696549009,False,0.017754064242834072,7,0.9360000000000002,110769,216,0,0.0,3204.5810151528676,False,-0.016856895942392446,0.5,573232,0.0,0.0,15,0,0,18,14,12.140151515151516,24,42,30,273.0,48.0,24,11,30,1787,2.3281480306759477,36.98387501202524
12,30,0,0,0,10.000000000000002,20,10.0,19.98305814443948,0,,30.33298544353576,24,34.0,15.331123065976891,25,18.76,53.99999999999999,20,54.0,0,0.8210000000000002,37699,119,0,0.0,1190.0000000000002,False,-0.054585853598321195,0,0.24500000000000002,42137,13,20,1.0,529.6611628887896,False,0.046829541573741404,0,0.2,64438,0,10,0.0,303.3298544353576,False,0.012456539340350813,14,0.682,62836,59,10,1.0,1482.330284957287,False,-0.0034146070620166644,0,0.35300000000000004,78150,49,30,1.0,1946.2499787125591,False,-0.0077734097117455065,20,2.740000000000001,59837.0,58,0,0.0,1759.3131557250742,False,-0.2385957817255115,1,0.372,116275,0,8,0.8,431.99999999999994,False,0.019186687431101156,9,1.0190000000000001,110434,236,0,0.0,3618.1450435705465,False,-0.01797868272598581,0.475,571806,0.0,0.0,15,0,0,16,8,7.142857142857142,20,36,26,239.0,61.0,19,11,26,1181,2.176802583038807,39.160677595064044
13,26,0,0,0,10.000000000000002,20,10.0,18.289544131294797,14,2.5,29.552834382065903,11,20.636363636363637,13.743819786214052,31,4.612903225806452,54.00000000000001,20,54.0,14,0.9610000000000003,37202,134,0,0.0,1340.0000000000002,False,-0.06500432045426491,0,0.24500000000000002,42087,8,30,1.0,628.6863239388439,False,0.04681750801060175,0,0.2,64438,0,10,0.0,295.528343820659,False,0.01239539418309157,1,0.6780000000000002,62996,63,10,1.0,1447.7696240922312,False,-0.0011774463195216099,0,0.35300000000000004,78085,44,40,1.0,1850.0775042594619,False,-0.009191543431652459,31,3.0300000000000007,57768.0,64,0,0.0,1891.3814004522178,False,-0.2637135460137428,0,0.37100000000000005,116551,2,11,1.0,621.4876395724282,False,0.022430347160809647,13,1.1400000000000003,110081,255,0,0.0,3504.6740454845835,False,-0.02156348297658502,0.5,569208,0.0,0.0,13,0,0,15,14,13.2,21,36,25,185.0,42.0,17,9,25,740,2.19967435952276,41.360351954586804
14,25,0,0,0,10.000000000000002,20,10.0,18.195785635803045,1,6.0,29.453152196978312,5,27.0,11.385526564411395,63,4.333333333333333,54.00000000000001,20,54.0,1,0.9570000000000003,37085,144,0,0.0,1440.0000000000002,False,-0.06665843722997161,0,0.24500000000000002,41987,8,40,1.0,807.8314254321218,False,0.04656007191003723,0,0.2,64438,0,10,0.0,294.5315219697831,False,0.012387581487340548,0,0.677,63125,54,15,1.0,1424.369707288039,False,0.0006612564251747465,0,0.35300000000000004,78085,34,50,1.0,1570.6835029178324,False,-0.01094338372698658,63,3.6290000000000013,54322.0,69,0,0.0,2032.2675015915036,False,-0.3060439944472148,0,0.371,116867,48,11,1.0,1140.505275091747,False,0.027465508036412442,10,1.227,109825,262,0,0.0,2983.007959875785,False,-0.02608528600729771,0.5,565734,0.0,0.0,16,0,0,10,8,8.0,25,35,24,229.0,54.0,17,8,24,875,1.861802495084703,43.22215444967151
15,24,0,0,0,10.000000000000002,20,10.0,17.569782579596637,5,2.8,28.638934020975828,6,13.0,16.635638338713388,60,36.43333333333333,54.0,20,54.0,4,0.9960000000000002,36897,154,0,0.0,1540.0000000000002,False,-0.07006542402172572,0,0.24500000000000002,41897,8,49,1.0,940.9193464002352,False,0.045980981933097534,0,0.2,64438,0,10,0.0,286.3893402097583,False,0.012323766284268046,0,0.6770000000000002,63189,49,19,1.0,1405.059092798776,False,0.0015131208778021757,0,0.35300000000000004,80003,30,26,1.0,1291.694617435823,False,0.011359584022646696,26,3.826000000000001,52912.0,69,0,0.0,1976.0864474473321,False,-0.3240780604727228,0,0.37100000000000005,115922,65,12,1.0,1729.3164920163701,False,0.021773419010028036,11,1.327,108854,295,0,0.0,4907.5133099204495,False,-0.026161816873784147,0.5,564112,0.0,0.0,17,0,0,11,8,8.0,20,31,32,191.0,73.0,15,9,32,2770,1.9290871135890484,45.151241563260555
16,32,0,0,0,10.000000000000002,20,10.0,18.51274689166972,11,28.0,28.638934020975828,0,,14.867796656527151,42,4.023809523809524,54.00000000000001,20,54.0,0,0.9920000000000002,36787,165,0,0.0,1650.0000000000002,False,-0.07142328107641031,0,0.24500000000000002,42115,7,48,1.0,958.6118508001466,False,0.051581432549069904,0,0.2,64438,0,10,0.0,286.3893402097583,False,0.012323766284268046,0,0.677,62881,50,29,1.0,1756.1664311917853,False,-0.0005630031257011929,0,0.35300000000000004,80003,20,36,1.0,1108.019360054494,False,0.010207913923820824,42,4.220000000000001,49866.0,69,0,0.0,1976.0864474473321,False,-0.36227577061655986,0,0.37100000000000005,116310,77,14,1.0,1900.8203425525908,False,0.025918302781118594,12,1.4360000000000002,108452,315,0,0.0,4683.355946806053,False,-0.030659521834126336,0.5,560852,0.0,0.0,14,0,0,15,10,10.0,22,37,31,242.0,99.0,19,13,31,940,4.118052992969751,49.26929455623031
17,31,0,0,0,10.000000000000002,20,10.0,18.51274689166972,0,,28.419569023031027,7,25.0,15.040740328540156,58,15.8448275862069,54.00000000000001,20,54.0,0,0.9920000000000002,36647,179,0,0.0,1790.0000000000002,False,-0.07315146278237254,0,0.24500000000000002,42055,3,58,1.0,1103.7393197168437,False,0.05189160992120531,0,0.2,64438,0,10,0.0,284.1956902303103,False,0.012306573322598215,0,0.6770000000000002,63056,40,32,1.0,1649.9360844037817,False,0.0013475670852244486,0,0.35300000000000004,80691,10,30,1.0,735.4179000865149,False,0.01649936608910203,42,4.598000000000001,46671.0,76,0,0.0,2159.887245750358,False,-0.40118952606654906,0,0.37100000000000005,116355,81,17,1.0,2136.299966611753,False,0.027342123075695786,13,1.5540000000000003,107555,359,0,0.0,5399.6257779459165,False,-0.03537408450740209,0.5,557468,0.0,0.0,16,0,0,16,12,12.0,18,34,29,239.0,102.0,17,14,29,1441,1.956547419540584,51.22584197577089
18,29,0,0,0,10.000000000000002,20,10.0,16.829150362913804,33,11.242424242424242,28.419569023031027,0,,13.344296362485988,56,4.410714285714286,54.00000000000001,20,54.0,21,1.2020000000000002,36116,188,0,0.0,1880.0000000000002,False,-0.08514998148376744,0,0.24500000000000002,42274,4,56,1.0,982.432420323173,False,0.05580091865600748,0,0.2,64438,0,10,0.0,284.1956902303103,False,0.012306573322598215,0,0.677,62685,63,42,1.0,2253.858371830873,False,0.00026536853852861123,0,0.35300000000000004,80691,0,40,1.0,533.7718544994395,False,0.015235016581389227,56,5.116000000000002,41882.0,76,0,0.0,2159.887245750358,False,-0.4612449541292003,0,0.37100000000000005,116685,74,20,1.0,2067.477930823963,False,0.029928248660623775,13,1.6710000000000005,107054,412,0,0.0,5497.850101344227,False,-0.03932767808122527,0.5,551825,0.0,0.0,14,0,0,11,14,14.0,20,31,27,232.0,81.0,17,12,27,907,1.9577433690428734,53.183585344813764
19,27,0,0,0,10.000000000000002,20,10.0,16.829150362913804,0,,26.217174173347185,33,19.242424242424242,12.575363849755055,31,4.741935483870968,54.000000000000014,20,54.0,0,1.1810000000000003,35996,200,0,0.0,2000.0000000000005,False,-0.08663128008887791,0,0.24500000000000002,42194,2,66,1.0,1130.723923952311,False,0.05565638716148999,0,0.2,64438,0,10,0.0,262.17174173347183,False,0.012133958317528592,0,0.677,63320,53,19,1.0,1390.0712785280282,False,0.003449104777239861,0,0.35300000000000004,80271,18,50,1.0,1100.677327608002,False,0.013522674890636114,31,5.370000000000001,39865.0,81,0,0.0,2123.591108041122,False,-0.48676629228872054,0,0.37100000000000005,116982,91,22,1.0,2332.35811032771,False,0.0336854455472874,12,1.7780000000000005,106783,416,0,0.0,5231.351361498103,False,-0.0428644798618607,0.5,549849,0.0,0.0,16,0,0,13,8,8.0,21,34,30,231.0,99.0,19,8,30,1267,2.0709375580772758,55.25452290289104
20,30,0,0,0,10.000000000000002,20,10.0,17.70648638453085,12,27.083333333333332,27.02442164851831,4,52.0,12.25229368853823,39,9.666666666666666,54.000000000000014,20,54.0,1,1.191,35859,212,0,0.0,2120.0000000000005,False,-0.08853227996543636,0,0.24500000000000002,42433,0,65,1.0,1150.9216149945053,False,0.061806216701573866,0,0.2,64438,0,10,0.0,270.2442164851831,False,0.012197227184616207,0,0.677,63203,55,25,1.0,1649.4672923621547,False,0.0036481486978772217,0,0.35300000000000004,80271,8,60,1.0,951.3329945004403,False,0.012586264590625115,39,5.729000000000001,37403.0,85,0,0.0,2297.0758401240564,False,-0.5165527015529635,0,0.37100000000000005,117109,112,24,1.0,2668.2568931162823,False,0.03626597531503737,12,1.8860000000000006,106437,424,0,0.0,5194.97252394021,False,-0.046050794747326276,0.5,547153,0.0,0.0,12,0,0,14,10,10.0,22,36,25,264.0,138.0,19,11,25,1159,2.0775289852172136,57.33205188810825
21,25,0,0,0,10.000000000000002,20,10.0,17.42698656421305,3,5.666666666666667,27.019235557340636,31,27.0,11.900983189223526,20,6.35,54.000000000000014,20,54.0,3,1.2200000000000002,35655,227,0,0.0,2270.0000000000005,False,-0.0917170719664239,0,0.24500000000000002,42383,0,70,0.5,1219.8890594949135,False,0.061423146025119356,0,0.2,64438,0,10,0.0,270.19235557340636,False,0.012196820719283723,6,0.7370000000000001,63831,48,10,1.0,1106.6877106556326,False,0.009238088491697116,0,0.35300000000000004,79434,29,70,1.0,1616.6266544085252,False,0.0062615317608349505,20,5.890000000000001,36389.0,85,0,0.0,2296.635022373954,False,-0.5292713152102758,0,0.37100000000000005,117637,106,24,1.0,2557.5042180576943,False,0.0404009878478088,10,1.974,106119,440,0,0.0,5236.432603258351,False,-0.04865162731080881,0.4375,545886,0.0,0.0,14,0,0,10,12,11.193548387096774,21,31,26,199.0,120.0,14,11,26,740,1.9943656278774142,59.32641751598567
22,26,0,0,0,10.000000000000002,20,10.0,17.42698656421305,0,,27.019235557340636,0,,11.137836526964252,71,7.887323943661972,54.00000000000002,20,54.0,0,1.217,35535,239,0,0.0,2390.0000000000005,False,-0.09319837057153438,0,0.24500000000000002,42303,0,78,0.8,1359.3049520086179,False,0.061169052610895204,0,0.2,64438,0,10,0.0,270.19235557340636,False,0.012196820719283723,0,0.7310000000000001,63831,38,20,1.0,1202.6102005869086,False,0.009989891061892808,0,0.35300000000000004,79787,19,63,1.0,1215.04917678822,False,0.00817030445799769,54,6.41,31804.0,85,0,0.0,2296.635022373954,False,-0.5867685249967147,0,0.371,118003,108,27,1.0,2660.88634491214,False,0.04405539180437165,13,2.0940000000000003,105274,499,0,0.0,5557.780426955162,False,-0.05463883695709824,0.475,540975,0.0,0.0,12,0,0,15,12,12.0,20,35,34,203.0,102.0,17,9,34,931,2.0188332917168736,61.34525080770254
23,34,0,0,0,10.000000000000002,20,10.0,17.5265150242328,16,18.25,27.019235557340636,0,,11.144088156815284,34,11.205882352941174,54.00000000000002,20,54.0,6,1.2770000000000001,35349,245,0,0.0,2450.0000000000005,False,-0.09704974694482163,0,0.24500000000000002,42443,4,78,1.0,1407.0681718901585,False,0.06521501261437058,0,0.2,64438,0,10,0.0,270.19235557340636,False,0.012196820719283723,0,0.7310000000000001,63539,44,30,1.0,1581.7437277864624,False,0.008384228605584031,0,0.35300000000000004,80067,9,59,1.0,900.6743212681674,False,0.00971040919747289,20,6.556000000000002,30818.0,85,0,0.0,2296.635022373954,False,-0.5991332466650743,0,0.37100000000000005,118597,98,26,1.0,2496.1206393678985,False,0.04853156065446422,9,2.1710000000000003,104736,533,0,0.0,5939.798987582547,False,-0.05767467940129067,0.5,539987,0.0,0.0,14,0,0,15,6,6.0,20,35,30,262.0,117.0,20,14,30,1354,2.074323035776615,63.41957384347916
24,30,0,0,0,10.000000000000002,20,10.0,18.576916515067033,12,29.0,27.019235557340636,0,,11.627022312016798,13,24.0,54.00000000000002,20,54.0,0,1.2710000000000001,35269,253,0,0.0,2530.0000000000005,False,-0.09803727934822862,0,0.24500000000000002,42671,6,76,1.0,1471.8456551450945,False,0.0716435706103579,0,0.2,64438,0,10,0.0,270.19235557340636,False,0.012196820719283723,0,0.7310000000000001,63191,46,40,1.0,1935.307581986709,False,0.005700349415994264,0,0.35300000000000004,80067,0,68,0.9,790.6375172171423,False,0.009020462719092204,13,6.666000000000001,30545.0,85,0,0.0,2296.635022373954,False,-0.6025567446523584,0,0.37100000000000005,118825,101,26,1.0,2578.329253513697,False,0.050885970242321325,10,2.2620000000000005,104527,533,0,0.0,6197.202892304954,False,-0.05837721179589778,0.4875,539533,0.0,0.0,12,0,0,6,6,6.0,25,31,31,240.0,132.0,16,14,31,1088,1.9709010673686862,65.39047491084784
