index,n_registered_negotiations_before,n_contracts_dropped,n_contracts_nullified_now,n_bankrupt,trading_price_0,sold_quantity_0,unit_price_0,trading_price_1,sold_quantity_1,unit_price_1,trading_price_2,sold_quantity_2,unit_price_2,trading_price_3,sold_quantity_3,unit_price_3,trading_price_4,sold_quantity_4,unit_price_4,spot_market_quantity_00Buy@0,spot_market_loss_00Buy@0,balance_00Buy@0,inventory_00Buy@0_input,inventory_00Buy@0_output,productivity_00Buy@0,assets_00Buy@0,bankrupt_00Buy@0,score_00Buy@0,spot_market_quantity_01Ran@0,spot_market_loss_01Ran@0,balance_01Ran@0,inventory_01Ran@0_input,inventory_01Ran@0_output,productivity_01Ran@0,assets_01Ran@0,bankrupt_01Ran@0,score_01Ran@0,spot_market_quantity_02Ind@1,spot_market_loss_02Ind@1,balance_02Ind@1,inventory_02Ind@1_input,inventory_02Ind@1_output,productivity_02Ind@1,assets_02Ind@1,bankrupt_02Ind@1,score_02Ind@1,spot_market_quantity_03Buy@1,spot_market_loss_03Buy@1,balance_03Buy@1,inventory_03Buy@1_input,inventory_03Buy@1_output,productivity_03Buy@1,assets_03Buy@1,bankrupt_03Buy@1,score_03Buy@1,spot_market_quantity_04Dec@2,spot_market_loss_04Dec@2,balance_04Dec@2,inventory_04Dec@2_input,inventory_04Dec@2_output,productivity_04Dec@2,assets_04Dec@2,bankrupt_04Dec@2,score_04Dec@2,spot_market_quantity_05MyA@2,spot_market_loss_05MyA@2,balance_05MyA@2,inventory_05MyA@2_input,inventory_05MyA@2_output,productivity_05MyA@2,assets_05MyA@2,bankrupt_05MyA@2,score_05MyA@2,spot_market_quantity_06Buy@3,spot_market_loss_06Buy@3,balance_06Buy@3,inventory_06Buy@3_input,inventory_06Buy@3_output,productivity_06Buy@3,assets_06Buy@3,bankrupt_06Buy@3,score_06Buy@3,spot_market_quantity_07Dec@3,spot_market_loss_07Dec@3,balance_07Dec@3,inventory_07Dec@3_input,inventory_07Dec@3_output,productivity_07Dec@3,assets_07Dec@3,bankrupt_07Dec@3,score_07Dec@3,productivity,market_size,production_failures,bankruptcy,n_contracts_executed,n_contracts_erred,n_contracts_nullified,n_contracts_cancelled,n_breaches,breach_level,n_contracts_signed,n_contracts_concluded,n_negotiations,n_negotiation_rounds_successful,n_negotiation_rounds_failed,n_negotiation_successful,n_negotiation_failed,n_registered_negotiations_after,activity_level,step_time,total_time
10,19,0,0,0,10.000000000000002,20,10.0,6.860166937777598,0,,22.994330069344237,40,26.0,45.24145454273988,5,55.6,43.99999999999999,20,44.0,0,0.506,16999,116,0,0.0,1160.0000000000002,False,-0.05661693678222604,0,1.0190000000000001,15824,104,0,0.0,1040.0000000000002,False,-0.12289363529032951,0,0.2,29892,0,12,0.0,275.9319608321308,False,0.02557856563696819,30,1.2290000000000003,27432,84,0,0.0,576.2540227733183,False,-0.053306683126031915,0,0.2,38598,58,47,1.0,3460.01950753074,False,0.004959250262039199,0,0.2,40310,0,5,0.0,226.2072727136994,False,0.0073289550289528565,11,0.778,54228,18,0,0.0,814.3461817693178,False,-0.028414399180469504,7,0.81,54881,0,2,0.2,87.99999999999999,False,-0.023260363131968772,0.15,278164,0.0,0.0,18,0,0,15,12,12.0,20,35,21,218.0,30.0,14,5,21,826,1.4702147159841843,19.54811305599287
11,21,0,0,0,10.000000000000002,20,10.0,6.823691333305261,1,3.0,24.05855081169805,35,27.714285714285715,40.211856136668075,12,20.0,44.0,20,44.0,0,0.506,16939,122,0,0.0,1220.0000000000002,False,-0.058226897069872274,1,1.0290000000000001,15666,118,0,0.0,1180.0000000000002,False,-0.12761618546742515,0,0.2,30079,0,8,0.1,192.4684064935844,False,0.03053974260601732,30,1.4989999999999999,27282,84,0,0.0,573.1900719976419,False,-0.058481778764426756,0,0.2,37868,83,45,1.0,3806.3932435210018,False,-0.008916329294014293,0,0.2,40310,0,5,0.0,201.05928068334038,False,0.007015615648076761,12,0.887,53996,18,0,0.0,723.8134104600254,False,-0.03334506952803485,6,0.8630000000000002,54652,2,10,1.0,520.4237122733362,False,-0.02348777664117749,0.2625,276792,0.0,0.0,13,0,0,12,13,12.333333333333332,25,37,18,202.0,54.0,13,8,18,630,1.4398696440039203,20.987982699996792
12,18,0,0,0,10.000000000000002,20,10.0,6.427811385997068,11,3.0,24.104059819959886,35,24.285714285714285,40.77924453008469,17,42.588235294117645,44.0,20,44.0,0,0.506,16899,126,0,0.0,1260.0000000000002,False,-0.059300203928303104,11,1.1380000000000003,15308,134,0,0.0,1340.0000000000002,False,-0.1425351507996136,0,0.2,30046,1,18,1.0,440.30088814527505,False,0.03364469943214503,35,1.819,26852,84,0,0.0,539.9361564237537,False,-0.07373491075400848,0,0.2,37742,108,38,1.0,4152.849752698886,False,-0.007739418466708871,0,0.2,40310,0,5,0.0,203.89622265042345,False,0.0070509634260811724,10,0.9750000000000001,53657,21,0,0.0,856.3641351317784,False,-0.03819497327964204,0,0.8570000000000002,54536,6,10,1.0,684.6754671805081,False,-0.024090165319469795,0.375,275350,0.0,0.0,20,0,0,10,9,9.0,24,34,22,198.0,48.0,12,6,22,1364,1.1094622999662533,22.097444999963045
13,22,0,0,0,10.000000000000002,20,10.0,6.27195013657748,7,4.142857142857143,23.94955460828726,14,22.214285714285715,42.468547987097764,8,56.0,44.0,20,44.0,2,0.526,16755,138,0,0.0,1380.0000000000002,False,-0.06380809273371257,5,1.1770000000000003,15134,142,0,0.0,1420.0000000000002,False,-0.14972630675110013,0,0.2,30229,0,15,0.2,359.2433191243089,False,0.03851035345658124,9,1.874,26647,90,0,0.0,564.4755122919732,False,-0.0803170056983714,0,0.2,38069,107,40,1.0,4261.3442625706475,False,0.0017611236583350203,0,0.2,40120,0,10,0.5,424.68547987097764,False,0.005067226692304603,10,1.0650000000000002,53264,25,0,0.0,1061.713699677444,False,-0.043357870826050096,0,0.857,54752,0,10,1.0,440.0,False,-0.022424554976615156,0.3375,274970,0.0,0.0,18,0,0,12,10,10.0,26,38,29,254.0,81.0,15,7,29,1278,1.902910096978303,24.000355096941348
14,29,0,0,0,10.000000000000002,20,10.0,6.001143836159376,10,3.5,23.864529512522648,14,22.928571428571427,42.873241693203305,2,56.0,44.0,20,44.0,0,0.524,16635,150,0,0.0,1500.0000000000002,False,-0.06702801330900504,10,1.2720000000000002,14859,150,0,0.0,1500.0000000000002,False,-0.16233766233766234,0,0.2,30394,0,20,1.0,477.29059025045296,False,0.04616117260767136,9,1.955,26464,90,0,0.0,540.1029452543439,False,-0.08698297624305276,0,0.2,37860,111,48,1.0,4706.878377163772,False,0.0021041936898971835,0,0.2,40120,0,10,0.0,428.73241693203306,False,0.0051176507878595845,9,1.1450000000000002,53020,27,0,0.0,1157.5775257164892,False,-0.04684457946653661,1,0.8670000000000002,55184,0,0,0.0,0.0,False,-0.01865452670140309,0.25,274536,0.0,0.0,20,0,0,14,8,8.0,23,37,30,272.0,111.0,17,12,30,952,1.5776586270076223,25.57801372394897
15,30,0,0,0,10.000000000000002,20,10.0,6.064865749410905,2,9.0,22.786204786177485,18,13.722222222222221,43.29542370462811,2,56.0,44.0,20,44.0,2,0.544,16491,162,0,0.0,1620.0000000000002,False,-0.07153590211441452,0,1.2620000000000002,14779,158,0,0.0,1580.0000000000002,False,-0.16448427605452398,0,0.2,30432,0,18,0.2,410.1516861511947,False,0.046312483968293294,14,2.0860000000000007,26133,90,0,0.0,545.8379174469815,False,-0.09818930505366993,0,0.2,37725,119,56,1.0,5136.1020970142945,False,0.0040880921156059204,0,0.2,40120,0,10,0.0,432.95423704628104,False,0.005170253894269577,9,1.2260000000000002,52764,29,0,0.0,1255.5672874342151,False,-0.05052578301500709,11,0.9760000000000002,54982,0,0,0.0,0.0,False,-0.02224672345419949,0.15,273426,0.0,0.0,14,0,0,11,15,15.0,27,38,20,240.0,87.0,16,14,20,368,1.7492400800110772,27.327253803960048
16,20,0,0,0,10.000000000000002,20,10.0,5.960037313389523,3,3.0,22.6253828454637,12,20.583333333333332,43.29542370462811,0,,44.0,20,44.0,0,0.542,16391,172,0,0.0,1720.0000000000002,False,-0.07421916926049157,3,1.2920000000000003,14625,168,0,0.0,1680.0000000000002,False,-0.17006547171836428,0,0.2,30605,0,14,0.3,316.75535983649183,False,0.050625923975214135,5,2.1220000000000008,26043,90,0,0.0,536.4033582050571,False,-0.10142407434505218,0,0.2,37478,121,66,1.0,5595.169288806563,False,0.003652835714901431,0,0.2,40120,0,10,0.0,432.95423704628104,False,0.005170253894269577,11,1.327,52568,29,0,0.0,1255.5672874342151,False,-0.05401128085435409,9,1.0550000000000002,54849,0,0,0.0,0.0,False,-0.024611882702327816,0.1625,272679,0.0,0.0,10,0,0,2,14,14.0,26,28,19,109.0,62.0,8,12,19,382,1.1323009399930015,28.45955474395305
17,19,0,0,0,10.000000000000002,20,10.0,5.973704515795779,3,6.333333333333333,22.807396823690272,10,25.5,40.48521624960666,15,30.0,44.0,20,44.0,2,0.562,16257,183,0,0.0,1830.0000000000002,False,-0.07845873135129333,1,1.2990000000000002,14515,177,0,0.0,1770.0000000000002,False,-0.17355371900826447,0,0.2,30776,0,12,0.3,273.6887618842833,False,0.055730486695882674,5,2.1670000000000007,25953,90,0,0.0,537.6334064216201,False,-0.10447673565756599,0,0.2,37393,121,66,1.0,5431.719288140563,False,-0.0005018903020189333,0,0.2,40400,0,5,0.0,202.42608124803328,False,0.009275412809290479,12,1.4360000000000002,51885,44,0,0.0,1781.3495149826929,False,-0.06148214113614166,8,1.1260000000000001,54734,0,0,0.0,0.0,False,-0.026656945210107943,0.1625,271913,0.0,0.0,14,0,0,7,14,14.0,25,32,18,163.0,84.0,11,8,18,840,1.0596535970107652,29.519208340963814
18,18,0,0,0,10.000000000000002,20,10.0,5.933920298856248,1,3.0,22.47413038452045,5,13.0,38.46184501430597,7,20.0,44.0,20,44.0,0,0.56,16167,192,0,0.0,1920.0000000000005,False,-0.0808736717827627,1,1.3080000000000003,14387,188,0,0.0,1880.0000000000002,False,-0.17747128904153697,0,0.2,30773,0,13,0.1,292.16369499876583,False,0.055943507649990884,5,2.2120000000000006,25863,90,0,0.0,534.0528268970623,False,-0.10761154286231585,0,0.2,37468,116,69,1.0,5260.8664305914845,False,-0.0007617130928818774,0,0.2,40400,0,5,0.0,192.30922507152985,False,0.009149358631806513,8,1.5040000000000002,51632,51,0,0.0,1961.5540957296046,False,-0.06437897590623297,12,1.2380000000000002,54505,0,0,0.0,0.0,False,-0.030729287073426637,0.1375,271195,0.0,0.0,12,0,0,9,13,13.0,23,32,19,176.0,30.0,13,5,19,340,1.1606905849766918,30.679898925940506
19,19,0,0,0,10.000000000000002,20,10.0,5.933920298856248,0,,21.844041558382816,10,13.5,39.20476463082082,3,55.0,44.0,20,44.0,0,0.56,16047,204,0,0.0,2040.0000000000005,False,-0.08409359235805516,0,1.3070000000000004,14307,196,0,0.0,1960.0000000000005,False,-0.17961790275839862,0,0.2,30773,0,13,0.0,283.9725402589766,False,0.055803636150728725,10,2.3070000000000004,25653,90,0,0.0,534.0528268970623,False,-0.11478342906838805,0,0.2,37498,116,76,1.0,5513.470932714788,False,0.0031332818250490494,0,0.2,40400,0,5,0.0,196.0238231541041,False,0.009195641844477817,10,1.5960000000000005,51463,51,0,0.0,1999.4429961718618,False,-0.06704743659264262,10,1.326,54167,0,3,0.3,132.0,False,-0.03556630448313268,0.1625,270308,0.0,0.0,13,0,0,6,14,14.0,23,29,25,139.0,93.0,8,11,25,365,1.1784180640242994,31.858316989964806
20,25,0,0,0,10.000000000000002,20,10.0,6.022444170849908,2,9.0,22.367736624629874,35,24.285714285714285,35.769659163169905,11,17.0,44.0,20,44.0,2,0.5800000000000001,15933,213,0,0.0,2130.0000000000005,False,-0.08779650101964151,0,1.3070000000000004,14197,207,0,0.0,2070.0000000000005,False,-0.1825694966190834,0,0.2,30825,0,10,0.2,223.67736624629873,False,0.056549936242722275,30,2.5970000000000004,25503,90,0,0.0,542.0199753764917,False,-0.119770158543484,0,0.2,36835,141,75,1.0,5836.575301310555,False,-0.009362614302492502,0,0.2,40400,0,5,0.0,178.84829581584953,False,0.008981637915420974,10,1.6860000000000002,51110,62,0,0.0,2217.718868116534,False,-0.07138407280318916,7,1.3860000000000001,54209,0,0,0.0,0.0,False,-0.03599310013693027,0.15,269012,0.0,0.0,13,0,0,8,11,10.25,27,35,18,252.0,120.0,15,10,18,457,1.385771981033031,33.244088970997836
21,18,0,0,0,10.000000000000002,20,10.0,5.328200640230835,10,1.0,21.834302479082513,10,14.0,35.769659163169905,0,,44.0,20,44.0,0,0.5780000000000001,15873,219,0,0.0,2190.0000000000005,False,-0.08940646130728776,10,1.4070000000000003,13837,221,0,0.0,2210.0000000000005,False,-0.19813244606633038,0,0.2,30960,0,5,0.5,109.17151239541256,False,0.05920514177103604,0,2.5670000000000006,25498,95,0,0.0,506.17906082192934,False,-0.12055293431197824,0,0.2,36695,141,85,1.0,6119.057678420077,False,-0.009331684337759698,0,0.2,40400,0,5,0.0,178.84829581584953,False,0.008981637915420974,11,1.7860000000000003,50916,62,0,0.0,2217.718868116534,False,-0.07483400433805303,9,1.4690000000000003,54091,0,0,0.0,0.0,False,-0.0380915121014351,0.1875,268270,0.0,0.0,12,0,0,4,10,10.0,25,29,14,153.0,51.0,11,7,14,340,1.0565190140041523,34.30060798500199
22,14,0,0,0,10.000000000000002,20,10.0,5.04737819286237,6,2.0,21.834302479082513,0,,35.769659163169905,0,,44.00000000000001,20,44.0,0,0.5780000000000001,15743,232,0,0.0,2320.0000000000005,False,-0.09289470859718793,6,1.4570000000000003,13647,228,0,0.0,2280.0000000000005,False,-0.20645057421916926,0,0.2,30948,0,11,0.6,240.17732726990764,False,0.06103236445595961,0,2.5670000000000006,25498,95,0,0.0,479.50092832192513,False,-0.12100848795597954,0,0.2,36695,131,95,1.0,6258.41124526095,False,-0.007595364384099339,0,0.2,40400,0,5,0.0,178.84829581584953,False,0.008981637915420974,16,1.9350000000000003,50546,62,0,0.0,2217.718868116534,False,-0.08141377066743258,4,1.5000000000000002,54049,0,0,0.0,0.0,False,-0.03883840449558089,0.2,267526,0.0,0.0,10,0,0,4,12,12.0,27,31,13,150.0,42.0,10,4,13,200,0.9189909790293314,35.21959896403132
23,13,0,0,0,10.000000000000002,20,10.0,4.9456448821784065,9,4.222222222222222,21.818202111636715,15,21.666666666666668,35.769659163169905,0,,44.00000000000001,20,44.0,0,0.5780000000000001,15653,241,0,0.0,2410.0000000000005,False,-0.0953096490286573,9,1.5410000000000004,13371,239,0,0.0,2390.0000000000005,False,-0.21831061500482987,0,0.2,31170,0,10,0.9,218.18202111636714,False,0.06823848265285279,5,2.617000000000001,25408,95,0,0.0,469.83626380694864,False,-0.12424718650648967,0,0.2,36370,136,105,1.0,6723.089699315433,False,-0.009904436949395311,0,0.2,40400,0,5,0.0,178.84829581584953,False,0.008981637915420974,11,2.0290000000000004,50349,62,0,0.0,2217.718868116534,False,-0.08491705165902115,9,1.586,53912,0,0,0.0,0.0,False,-0.04127469635267548,0.2375,266633,0.0,0.0,14,0,0,5,13,13.0,28,33,9,145.0,39.0,10,3,9,460,0.933979633031413,36.15357859706273
24,9,0,0,0,10.000000000000002,20,10.0,5.711855598820853,22,8.0,21.601872588312443,4,14.0,38.6388451457984,10,57.0,44.00000000000001,20,44.0,22,0.7980000000000003,15237,254,0,0.0,2540.0000000000005,False,-0.11414618439411828,0,1.5320000000000005,13301,246,0,0.0,2460.0000000000005,False,-0.22018890200708383,0,0.2,31170,0,10,0.0,216.01872588312443,False,0.0682015423975124,4,2.652000000000001,25164,117,0,0.0,668.2871050620398,False,-0.12919150464359075,0,0.2,36884,130,105,1.0,6865.32217678945,False,0.004676445672574166,0,0.2,40400,0,5,0.0,193.194225728992,False,0.009160385578122954,13,2.148,50081,62,0,0.0,2395.608399039501,False,-0.08810121815446892,7,1.6470000000000005,53245,0,10,1.0,440.00000000000006,False,-0.04922376540465563,0.25,265482,0.0,0.0,11,0,0,4,14,14.0,22,26,14,71.0,27.0,5,4,14,770,0.7663312180084176,36.91990981507115
25,14,0,0,0,10.000000000000002,20,10.0,5.793115596116797,2,9.0,21.601872588312443,0,,37.12128351226803,17,31.176470588235293,44.00000000000001,20,44.0,2,0.796,15123,263,0,0.0,2630.0000000000005,False,-0.11784909305570462,0,1.532,13191,257,0,0.0,2570.0000000000005,False,-0.2231404958677686,0,0.2,31170,0,10,0.0,216.01872588312443,False,0.0682015423975124,0,2.6480000000000006,25146,119,0,0.0,689.3807559378988,False,-0.1294460442618439,0,0.2,37414,120,98,1.0,6230.110494799759,False,0.00996923041690257,0,0.2,40400,0,5,0.0,185.60641756134015,False,0.009065842876240909,11,2.2450000000000006,49701,71,0,0.0,2635.61112937103,False,-0.09272481346032554,0,1.6400000000000003,53291,0,9,0.8,396.00000000000006,False,-0.04879696975085804,0.225,265436,0.0,0.0,17,0,0,7,7,7.0,23,30,21,172.0,42.0,10,4,21,1126,0.9760539709823206,37.89596378605347
