index,n_registered_negotiations_before,n_contracts_dropped,n_contracts_nullified_now,n_bankrupt,trading_price_0,sold_quantity_0,unit_price_0,trading_price_1,sold_quantity_1,unit_price_1,trading_price_2,sold_quantity_2,unit_price_2,trading_price_3,sold_quantity_3,unit_price_3,trading_price_4,sold_quantity_4,unit_price_4,spot_market_quantity_00Ran@0,spot_market_loss_00Ran@0,balance_00Ran@0,inventory_00Ran@0_input,inventory_00Ran@0_output,productivity_00Ran@0,assets_00Ran@0,bankrupt_00Ran@0,score_00Ran@0,spot_market_quantity_01Ran@0,spot_market_loss_01Ran@0,balance_01Ran@0,inventory_01Ran@0_input,inventory_01Ran@0_output,productivity_01Ran@0,assets_01Ran@0,bankrupt_01Ran@0,score_01Ran@0,spot_market_quantity_02MyA@1,spot_market_loss_02MyA@1,balance_02MyA@1,inventory_02MyA@1_input,inventory_02MyA@1_output,productivity_02MyA@1,assets_02MyA@1,bankrupt_02MyA@1,score_02MyA@1,spot_market_quantity_03Dec@1,spot_market_loss_03Dec@1,balance_03Dec@1,inventory_03Dec@1_input,inventory_03Dec@1_output,productivity_03Dec@1,assets_03Dec@1,bankrupt_03Dec@1,score_03Dec@1,spot_market_quantity_04Dec@2,spot_market_loss_04Dec@2,balance_04Dec@2,inventory_04Dec@2_input,inventory_04Dec@2_output,productivity_04Dec@2,assets_04Dec@2,bankrupt_04Dec@2,score_04Dec@2,spot_market_quantity_05Ind@2,spot_market_loss_05Ind@2,balance_05Ind@2,inventory_05Ind@2_input,inventory_05Ind@2_output,productivity_05Ind@2,assets_05Ind@2,bankrupt_05Ind@2,score_05Ind@2,spot_market_quantity_06Ran@3,spot_market_loss_06Ran@3,balance_06Ran@3,inventory_06Ran@3_input,inventory_06Ran@3_output,productivity_06Ran@3,assets_06Ran@3,bankrupt_06Ran@3,score_06Ran@3,spot_market_quantity_07Dec@3,spot_market_loss_07Dec@3,balance_07Dec@3,inventory_07Dec@3_input,inventory_07Dec@3_output,productivity_07Dec@3,assets_07Dec@3,bankrupt_07Dec@3,score_07Dec@3,productivity,market_size,production_failures,bankruptcy,n_contracts_executed,n_contracts_erred,n_contracts_nullified,n_contracts_cancelled,n_breaches,breach_level,n_contracts_signed,n_contracts_concluded,n_negotiations,n_negotiation_rounds_successful,n_negotiation_rounds_failed,n_negotiation_successful,n_negotiation_failed,n_registered_negotiations_after,activity_level,step_time,total_time
10,40,0,0,0,10.000000000000002,20,10.0,5.661986670031599,3,2.0,27.798701949036438,2,36.0,36.88811590430362,17,38.588235294117645,53.99999999999999,20,54.0,3,0.5000000000000001,13966,121,0,0.0,1210.0000000000002,False,-0.08144739330517557,0,0.8390000000000002,13155,99,0,0.0,990.0000000000002,False,-0.13950702893525815,0,0.2,23681,0,9,0.0,250.18831754132793,False,0.03500257200863726,0,0.2,23413,0,52,0.3,1445.5325013498948,False,0.04933551805029988,2,0.6070000000000001,34111,0,2,0.2,73.77623180860724,False,0.009635388679093526,3,0.464,33181,0,1,0.1,36.88811590430362,False,-0.018406834073911825,8,0.8740000000000001,46278,50,0,0.0,1844.405795215181,False,-0.057522755184449416,2,0.30100000000000005,50930,0,9,0.9,485.99999999999994,False,0.021804676424192808,0.18750000000000003,238715,0.0,0.0,22,0,0,15,11,10.333333333333332,25,40,41,270.0,65.0,18,22,41,1139,1.8091412018984556,23.710867169313133
11,41,0,0,0,10.000000000000002,20,10.0,5.207777776101216,9,1.3333333333333333,29.370778470336674,12,36.0,35.68303770147919,29,31.75862068965517,53.99999999999999,20,54.0,0,0.4970000000000001,13896,128,0,0.0,1280.0000000000002,False,-0.0836537855386749,9,0.929,12830,112,0,0.0,1120.0000000000002,False,-0.15589737124125322,0,0.2,24005,0,0,0.0,0.0,False,0.04365027607495326,0,0.2,23509,0,58,0.9,1703.5051512795271,False,0.05911710689273347,7,0.675,34069,0,3,0.3,107.04911310443758,False,0.008885475623919935,19,0.6510000000000001,32429,0,9,0.9,321.1473393133127,False,-0.03643860003380473,11,0.9760000000000002,45477,65,0,0.0,2319.397450596148,False,-0.06877461062482626,0,0.29900000000000004,51048,4,10,1.0,682.7321508059167,False,0.02612499900966345,0.3875,237263,0.0,0.0,22,0,0,15,16,15.380952380952381,23,38,45,202.0,107.0,15,26,45,1118,1.7828041091561317,25.493671278469265
12,45,0,0,0,10.000000000000002,20,10.0,4.748137337547834,10,1.2,29.705914575789865,3,36.0,36.42438553706749,18,41.0,53.99999999999999,20,54.0,4,0.5370000000000001,13716,138,0,0.0,1380.0000000000002,False,-0.09184895669167245,6,0.98,12608,122,0,0.0,1220.0000000000002,False,-0.16674021307444997,0,0.2,24005,0,0,0.0,0.0,False,0.04365027607495326,0,0.2,23605,0,65,1.0,1930.8844474263412,False,0.0682336517418012,2,0.6880000000000002,34227,0,1,0.1,36.42438553706749,False,0.012512926283736521,4,0.6720000000000002,32649,0,2,0.2,72.84877107413497,False,-0.0336046246367138,9,1.0550000000000002,44822,78,0,0.0,2841.102071891264,False,-0.07664481468130367,1,0.30900000000000005,51317,0,9,0.9,485.99999999999994,False,0.029532157904195205,0.275,236949,0.0,0.0,25,0,0,17,12,10.8,23,40,41,272.0,100.0,19,26,41,1149,1.829575875774026,27.32324715424329
13,41,0,0,0,10.000000000000002,20,10.0,4.610125712932961,3,1.0,29.933105692864427,2,36.0,37.21839071522524,8,48.75,54.00000000000001,20,54.0,3,0.5630000000000002,13546,149,0,0.0,1490.0000000000002,False,-0.09909853117317027,0,0.974,12518,131,0,0.0,1310.0000000000002,False,-0.16957700308894913,0,0.2,24005,0,0,0.0,0.0,False,0.04365027607495326,0,0.2,23674,0,66,0.3,1975.584975729052,False,0.07220522967977586,4,0.7260000000000002,34288,0,1,0.1,37.21839071522524,False,0.014328224095488456,1,0.6780000000000002,32696,0,1,0.1,37.21839071522524,False,-0.032741730372017795,7,1.1160000000000003,44315,86,0,0.0,3200.781601509371,False,-0.0831774365377152,4,0.3480000000000001,51746,0,0,0.0,0.0,False,0.0332461412511731,0.0625,236788,0.0,0.0,19,0,0,18,11,10.5,18,36,40,173.0,112.0,13,28,40,839,1.5655340272933245,28.888781181536615
14,40,0,0,0,10.000000000000002,20,10.0,4.328779774074116,8,1.75,30.1670458447954,2,36.0,37.22489518094641,19,37.26315789473684,54.00000000000001,20,54.0,7,0.63,13278,161,0,0.0,1610.0000000000002,False,-0.11221080501796633,1,0.984,12424,139,0,0.0,1390.0000000000002,False,-0.1729811511063481,0,0.2,24005,0,0,0.0,0.0,False,0.04365027607495326,0,0.2,23732,0,72,0.8,2172.027300825269,False,0.07899715883712165,8,0.802,34429,0,1,0.1,37.22489518094641,False,0.01849720441104821,9,0.7670000000000001,32452,0,1,0.1,37.22489518094641,False,-0.039955873467255855,12,1.2290000000000003,43712,91,0,0.0,3387.4654614661235,False,-0.0933541117243453,8,0.42400000000000004,51227,4,10,1.0,688.8995807237858,False,0.029760783338229874,0.25,235259,0.0,0.0,15,0,0,17,16,15.65,26,43,41,299.0,90.0,20,20,41,272,1.6346689853817225,30.523450166918337
15,41,0,0,0,10.000000000000002,20,10.0,4.134617556343939,9,2.5555555555555554,30.406688877152387,2,36.0,37.578657766146904,11,41.36363636363637,54.0,20,54.0,2,0.643,13154,170,0,0.0,1700.0000000000002,False,-0.11719094748786485,7,1.0530000000000004,12177,150,0,0.0,1500.0000000000002,False,-0.18508478850154447,0,0.2,24005,0,0,0.0,0.0,False,0.04365027607495326,0,0.2,23781,0,79,0.9,2402.1284212950386,False,0.08612948178981439,2,0.8140000000000001,34506,0,1,0.1,37.578657766146904,False,0.02077905886355256,7,0.8280000000000001,32359,0,1,0.1,37.578657766146904,False,-0.04270033324809075,11,1.3270000000000002,43064,101,0,0.0,3795.4444343808373,False,-0.10221995932208978,0,0.41600000000000004,51660,0,6,0.5,324.0,False,0.03476368283380923,0.2,234706,0.0,0.0,20,0,0,16,15,14.333333333333332,22,38,37,219.0,132.0,16,25,37,758,1.4982920102775097,32.02174217719585
16,37,0,0,0,10.000000000000002,20,10.0,4.092808621990614,1,1.0,30.765140092124895,3,36.0,37.79032773177033,12,39.833333333333336,54.00000000000001,20,54.0,1,0.6510000000000002,13024,181,0,0.0,1810.0000000000002,False,-0.12191893084536343,0,1.046,12087,159,0,0.0,1590.0000000000002,False,-0.18792157851604363,0,0.2,24005,0,0,0.0,0.0,False,0.04365027607495326,0,0.2,23888,0,77,0.1,2368.915787093617,False,0.09005947104677227,4,0.8520000000000001,34612,0,1,0.1,37.79032773177033,False,0.023916242796578665,6,0.881,32203,0,2,0.2,75.58065546354067,False,-0.046750921656561674,6,1.3760000000000001,42490,113,0,0.0,4270.307033690047,False,-0.10894044614035221,8,0.4960000000000001,51835,0,0,0.0,0.0,False,0.03502326231504962,0.05,234144,0.0,0.0,20,0,0,6,12,11.657142857142858,37,43,39,276.0,80.0,18,19,39,632,1.3425535159185529,33.3642956931144
17,39,0,0,0,10.000000000000002,20,10.0,4.055735189658153,9,3.7777777777777777,30.886511011156063,1,36.0,40.02221103267389,11,63.36363636363637,54.00000000000001,20,54.0,5,0.7000000000000002,12859,190,0,0.0,1900.0000000000002,False,-0.12948370421736116,4,1.086,11897,170,0,0.0,1700.0000000000002,False,-0.19643194855954108,0,0.2,24005,0,0,0.0,0.0,False,0.04365027607495326,0,0.2,23890,0,85,0.9,2625.3534359482655,False,0.09572091291570509,9,0.9380000000000002,34840,0,1,0.1,40.02221103267389,False,0.0306904117295351,0,0.8750000000000002,32222,0,1,0.0,40.02221103267389,False,-0.0467148274638893,10,1.4700000000000002,41605,123,0,0.0,4922.731957018888,False,-0.12009812147302486,10,0.5880000000000001,51607,0,1,0.1,54.00000000000001,False,0.03100976418202512,0.1375,232925,0.0,0.0,15,0,0,15,15,14.833333333333334,26,41,38,269.0,83.0,19,20,38,255,1.4063069596886635,34.77060265280306
18,38,0,0,0,10.000000000000002,20,10.0,3.928110861147366,3,1.0,31.137061821312887,2,36.0,39.334377323291676,24,36.083333333333336,54.00000000000001,20,54.0,0,0.6950000000000001,12739,202,0,0.0,2020.0000000000005,False,-0.13326609090336003,3,1.1120000000000003,11757,178,0,0.0,1780.0000000000002,False,-0.2027359263695392,0,0.2,24005,0,0,0.0,0.0,False,0.04365027607495326,0,0.2,23959,0,86,0.3,2677.787316632908,False,0.09986059990071972,3,0.9590000000000001,34901,0,1,0.1,39.334377323291676,False,0.03248380310631086,19,1.0650000000000002,31884,0,1,0.1,39.334377323291676,False,-0.05671849125830389,9,1.5500000000000003,40727,144,0,0.0,5664.150334554001,False,-0.13022752805900445,10,0.6780000000000002,51295,0,3,0.3,162.00000000000003,False,0.025858109862023523,0.1,231267,0.0,0.0,16,0,0,15,16,15.541666666666666,28,43,36,243.0,115.0,18,20,36,326,1.4900365239009261,36.26063917670399
19,36,0,0,0,10.000000000000002,20,10.0,3.8901972731959455,5,3.4,31.388141711932622,2,36.0,40.753071300968216,6,70.0,54.000000000000014,20,54.0,3,0.7250000000000001,12592,211,0,0.0,2110.0000000000005,False,-0.1396961482695581,2,1.129,11616,189,0,0.0,1890.0000000000002,False,-0.20815734728613755,0,0.2,24005,0,0,0.0,0.0,False,0.04365027607495326,0,0.2,24014,0,89,0.5,2793.5446123620036,False,0.1047681538272685,5,1.006,35075,0,1,0.1,40.753071300968216,False,0.03764935650317784,0,1.046,31848,0,2,0.1,81.50614260193643,False,-0.05715945031929013,10,1.6410000000000002,40095,150,0,0.0,6112.960695145232,False,-0.13836623974016862,7,0.7380000000000002,51343,0,0,0.0,0.0,False,0.025199177332720993,0.0875,230588,0.0,0.0,17,0,0,6,14,13.833333333333334,36,42,39,243.0,67.0,18,18,39,434,2.226450450718403,38.48708962742239
20,39,0,0,0,10.000000000000002,20,10.0,3.750559130989044,5,2.0,31.6383607854139,2,36.0,40.01511908752978,9,30.444444444444443,54.000000000000014,20,54.0,4,0.762,12386,224,0,0.0,2240.0000000000005,False,-0.14858475698165544,1,1.137,11527,196,0,0.0,1960.0000000000005,False,-0.21156149530353655,0,0.2,24005,0,0,0.0,0.0,False,0.04365027607495326,0,0.2,24076,0,92,0.5,2910.729192258079,False,0.11001106891565751,7,1.0710000000000002,34974,0,1,0.1,40.01511908752978,False,0.0346522251653884,0,1.046,31842,0,2,0.1,80.03023817505957,False,-0.05735866834937232,10,1.731,39862,151,0,0.0,6042.282982216997,False,-0.14372433675229127,10,0.8310000000000002,50886,0,8,0.8,432.0000000000001,False,0.020386973103572213,0.1875,229558,0.0,0.0,16,0,0,9,15,14.666666666666666,29,38,34,272.0,145.0,18,21,34,302,1.1878677662461996,39.67495739366859
21,34,0,0,0,10.000000000000002,20,10.0,3.525952094497393,7,1.5714285714285714,31.76598250749351,1,36.0,39.250580655935636,14,33.07142857142857,54.000000000000014,20,54.0,0,0.758,12276,235,0,0.0,2350.0000000000005,False,-0.1520519447771544,7,1.2060000000000002,11293,205,0,0.0,2050.0000000000005,False,-0.22347601336443296,0,0.2,24005,0,0,0.0,0.0,False,0.04365027607495326,0,0.2,24101,0,98,0.7,3113.066285734364,False,0.11549641941077264,3,1.094,35060,0,0,0.0,0.0,False,0.03660339424043522,8,1.1260000000000003,31683,0,1,0.1,39.250580655935636,False,-0.06266260746472807,9,1.8110000000000004,39556,155,0,0.0,6083.840001670023,False,-0.1494195403279685,3,0.8510000000000002,50962,0,10,1.0,540.0000000000001,False,0.02298276791597612,0.225,228936,0.0,0.0,17,0,0,8,13,12.083333333333334,27,35,33,247.0,99.0,15,19,33,668,1.0728968428447843,40.747854236513376
22,33,0,0,0,10.000000000000002,20,10.0,3.5174857113280074,1,3.0,32.024479975352136,2,36.0,38.99743249769344,12,36.583333333333336,54.00000000000002,20,54.0,0,0.758,12186,244,0,0.0,2440.0000000000005,False,-0.15488873479165352,1,1.2090000000000003,11165,216,0,0.0,2160.0000000000005,False,-0.2280779171657316,0,0.2,24005,0,0,0.0,0.0,False,0.04365027607495326,0,0.2,24170,0,97,0.1,3106.3745576091574,False,0.1183508229557228,1,1.1010000000000002,35056,0,0,0.0,0.0,False,0.03648512802318018,10,1.2180000000000002,31537,0,2,0.2,77.99486499538688,False,-0.06640655690090197,9,1.8920000000000003,39338,156,0,0.0,6083.599469640177,False,-0.15377488998182767,1,0.8580000000000001,51091,1,10,1.0,578.9974324976937,False,0.025947938664340708,0.1625,228548,0.0,0.0,16,0,0,7,12,11.25,28,35,31,197.0,110.0,14,19,31,758,1.1821893863379955,41.93004362285137
23,31,0,0,0,10.000000000000002,20,10.0,4.065304061899762,21,5.523809523809524,32.39164526740345,3,36.0,38.66905506836147,14,36.0,54.00000000000002,20,54.0,11,0.8680000000000001,11852,257,0,0.0,2570.0000000000005,False,-0.17184643510054845,10,1.3080000000000003,10925,223,0,0.0,2230.0000000000005,False,-0.2410010716762277,0,0.2,24005,0,0,0.0,0.0,False,0.04365027607495326,0,0.2,24162,11,104,1.0,3413.4494524908555,False,0.12467826295575972,5,1.1500000000000001,35103,0,2,0.2,77.33811013672295,False,0.03901806679286746,7,1.2780000000000002,31355,0,1,0.1,38.66905506836147,False,-0.07236903413357632,13,2.0130000000000003,38669,161,0,0.0,6225.717866006197,False,-0.16571436407014445,0,0.8570000000000002,51306,0,13,1.0,702.0000000000002,False,0.03146902018729658,0.2875,227377,0.0,0.0,18,0,0,9,18,17.666666666666668,28,37,33,222.0,75.0,16,15,33,703,1.2864042147994041,43.216447837650776
24,33,0,0,0,10.000000000000002,20,10.0,4.120176645531336,10,4.5,32.62269436250428,2,36.0,40.013742495862964,25,46.2,54.00000000000002,20,54.0,5,0.9070000000000003,11677,267,0,0.0,2670.0000000000005,False,-0.17972640736304607,5,1.348,10735,233,0,0.0,2330.0000000000005,False,-0.24982664061022505,0,0.2,24005,0,0,0.0,0.0,False,0.04365027607495326,0,0.2,24189,11,112,1.0,3699.063711701324,False,0.13206086065173958,8,1.225,35048,0,1,0.1,40.013742495862964,False,0.03684012983407053,14,1.4110000000000003,31423,0,1,0.1,40.013742495862964,False,-0.07033862955331058,11,2.1100000000000003,37754,171,0,0.0,6842.349966792567,False,-0.17782841829443738,0,0.8570000000000002,51303,5,14,1.0,956.0687124793152,False,0.033945695098733235,0.275,226134,0.0,0.0,17,0,0,8,15,14.75,29,37,32,235.0,51.0,15,18,32,876,1.187418078072369,44.403865915723145
