index,n_registered_negotiations_before,n_contracts_dropped,n_contracts_nullified_now,n_bankrupt,trading_price_0,sold_quantity_0,unit_price_0,trading_price_1,sold_quantity_1,unit_price_1,trading_price_2,sold_quantity_2,unit_price_2,trading_price_3,sold_quantity_3,unit_price_3,trading_price_4,sold_quantity_4,unit_price_4,spot_market_quantity_00Ind@0,spot_market_loss_00Ind@0,balance_00Ind@0,inventory_00Ind@0_input,inventory_00Ind@0_output,productivity_00Ind@0,assets_00Ind@0,bankrupt_00Ind@0,score_00Ind@0,spot_market_quantity_01Ran@0,spot_market_loss_01Ran@0,balance_01Ran@0,inventory_01Ran@0_input,inventory_01Ran@0_output,productivity_01Ran@0,assets_01Ran@0,bankrupt_01Ran@0,score_01Ran@0,spot_market_quantity_02Dec@1,spot_market_loss_02Dec@1,balance_02Dec@1,inventory_02Dec@1_input,inventory_02Dec@1_output,productivity_02Dec@1,assets_02Dec@1,bankrupt_02Dec@1,score_02Dec@1,spot_market_quantity_03Ran@1,spot_market_loss_03Ran@1,balance_03Ran@1,inventory_03Ran@1_input,inventory_03Ran@1_output,productivity_03Ran@1,assets_03Ran@1,bankrupt_03Ran@1,score_03Ran@1,spot_market_quantity_04Dec@2,spot_market_loss_04Dec@2,balance_04Dec@2,inventory_04Dec@2_input,inventory_04Dec@2_output,productivity_04Dec@2,assets_04Dec@2,bankrupt_04Dec@2,score_04Dec@2,spot_market_quantity_05MyA@2,spot_market_loss_05MyA@2,balance_05MyA@2,inventory_05MyA@2_input,inventory_05MyA@2_output,productivity_05MyA@2,assets_05MyA@2,bankrupt_05MyA@2,score_05MyA@2,spot_market_quantity_06Dec@3,spot_market_loss_06Dec@3,balance_06Dec@3,inventory_06Dec@3_input,inventory_06Dec@3_output,productivity_06Dec@3,assets_06Dec@3,bankrupt_06Dec@3,score_06Dec@3,spot_market_quantity_07Dec@3,spot_market_loss_07Dec@3,balance_07Dec@3,inventory_07Dec@3_input,inventory_07Dec@3_output,productivity_07Dec@3,assets_07Dec@3,bankrupt_07Dec@3,score_07Dec@3,productivity,market_size,production_failures,bankruptcy,n_contracts_executed,n_contracts_erred,n_contracts_nullified,n_contracts_cancelled,n_breaches,breach_level,n_contracts_signed,n_contracts_concluded,n_negotiations,n_negotiation_rounds_successful,n_negotiation_rounds_failed,n_negotiation_successful,n_negotiation_failed,n_registered_negotiations_after,activity_level,step_time,total_time
10,34,0,0,0,10.000000000000002,20,10.0,15.084056383313085,34,9.764705882352942,15.912148767631681,0,,39.56402396544517,0,,48.0,20,48.0,0,0.2,17436,12,36,1.0,663.0260297992711,False,0.044471989589068006,23,0.7990000000000002,14822,107,0,0.0,1070.0000000000002,False,-0.09723120333901593,0,0.2,22894,42,54,1.0,1492.7864015512603,False,0.003880980117016869,0,1.0910000000000002,20015,15,0,0.0,226.26084574969627,False,-0.14526602306361847,0,0.2,33683,29,53,1.0,2558.345584429913,False,0.03739163231306624,0,0.2,33695,0,6,0.0,237.38414379267104,False,0.003314108121071077,12,0.6260000000000001,43730,0,0,0.0,0.0,False,-0.015976597659765977,8,0.7930000000000001,43401,0,0,0.0,0.0,False,-0.02337983798379838,0.375,229676,0.0,0.0,8,0,0,15,7,7.0,14,29,29,221.0,78.0,16,18,29,486,1.5147613240405917,30.487065040506423
11,29,0,0,0,10.000000000000002,20,10.0,15.995624050128756,6,34.0,18.558398993243657,13,40.38461538461539,39.781130871922606,1,51.0,48.0,20,48.0,0,0.2,17540,12,40,1.0,759.8249620051503,False,0.053430867144940046,0,0.7760000000000002,14722,117,0,0.0,1170.0000000000002,False,-0.10017047792604786,0,0.2,23419,32,51,1.0,1458.3383182595467,False,0.0254435075429859,0,1.0910000000000002,19811,21,0,0.0,335.9081050527039,False,-0.15160074514729496,0,0.2,33363,27,63,1.0,3007.288017748703,False,0.03455711853523099,0,0.2,33541,0,10,0.5,397.8113087192261,False,0.0011247301157087462,9,0.7040000000000002,43590,0,0,0.0,0.0,False,-0.019126912691269128,11,0.8950000000000002,43143,0,1,0.1,48.0,False,-0.028645364536453645,0.45,229129,0.0,0.0,11,0,0,10,7,7.0,12,22,25,104.0,114.0,9,20,25,980,1.384767391718924,31.871832432225347
12,25,0,0,0,10.000000000000002,20,10.0,16.030241165678355,4,17.0,22.146653112073256,46,30.58695652173913,38.89290034158096,27,37.333333333333336,48.0,20,48.0,0,0.2,17482,14,48,1.0,909.451575952561,False,0.054419245663175596,2,0.796,14604,125,0,0.0,1250.0000000000002,False,-0.10475574628181765,0,0.2,24661,24,29,1.0,1026.9787282264049,False,0.06902583396803277,14,1.2310000000000003,19415,23,0,0.0,368.69554681060214,False,-0.1677205922372372,0,0.2,32964,63,46,1.0,3184.3125617733394,False,0.025344379588353002,0,0.2,33541,0,10,0.0,388.92900341580963,False,0.0009929529911548852,8,0.7750000000000001,42835,6,10,1.0,713.3574020494857,False,-0.02809003823076637,11,0.994,42621,1,10,1.0,518.8929003415809,False,-0.035093464217578946,0.625,228123,0.0,0.0,13,0,0,13,10,9.666666666666668,12,25,29,133.0,81.0,12,13,29,2518,1.4567163698375225,33.32854880206287
13,29,0,0,0,10.000000000000002,20,10.0,19.316018762480482,50,26.18,22.146653112073256,0,,40.33601308750028,10,50.0,48.00000000000001,20,48.0,0,0.2,18602,13,17,1.0,458.37231896216826,False,0.10700053844459959,9,0.8840000000000001,14395,136,0,0.0,1360.0000000000002,False,-0.11380871200987597,0,0.2,23964,46,39,1.0,1752.256334444959,False,0.054827303376894114,0,1.217,18803,41,0,0.0,791.9567692616997,False,-0.18472213747374203,0,0.2,33464,53,46,1.0,3029.2292169648954,False,0.03787949108309449,0,0.2,33541,0,10,0.0,403.36013087500277,False,0.0012070519683551066,0,0.7670000000000001,42767,6,11,1.0,770.0160785250018,False,-0.02898271738833253,1,0.9930000000000001,43092,0,1,0.1,48.00000000000001,False,-0.029792979297929793,0.5125,228628,0.0,0.0,17,0,0,9,2,1.3333333333333333,16,25,27,132.0,140.0,12,17,27,2726,1.7082493714988232,35.03679817356169
14,27,0,0,0,10.000000000000002,20,10.0,19.88839091572782,14,25.571428571428573,22.24638171508691,25,22.8,42.05620327480798,15,50.0,48.0,20,48.0,0,0.2,18838,13,15,1.0,428.3258637359173,False,0.11999076667262118,2,0.8950000000000002,14273,146,0,0.0,1460.0000000000002,False,-0.11804126741520193,0,0.2,23833,48,44,1.0,1933.4835594187593,False,0.05311230963987347,20,1.4170000000000003,18401,43,0,0.0,855.2008093762962,False,-0.20045010808577224,0,0.2,33644,68,41,1.0,3237.058290893037,False,0.04630375483492133,0,0.2,33541,0,10,0.0,420.5620327480798,False,0.0014622579186411265,0,0.7670000000000001,43199,0,8,0.6,384.0,False,-0.023604860486048606,10,1.092,42230,5,10,1.0,690.2810163740398,False,-0.04196353491928402,0.575,227959,0.0,0.0,13,0,0,15,6,5.8,13,28,24,176.0,112.0,14,13,24,1923,1.8015784211456776,36.83837659470737
15,24,0,0,0,10.000000000000002,20,10.0,17.46422357316113,47,10.361702127659575,22.06472539182289,12,19.833333333333332,43.87920635883771,27,49.0,48.0,20,48.0,0,0.2,19039,12,14,1.0,364.49913002425586,False,0.12993060754877006,36,1.2530000000000003,13451,157,0,0.0,1570.0000000000002,False,-0.16312973958027158,0,0.2,23582,84,49,1.0,2548.1663243448565,False,0.05550482662416358,7,1.467,18164,44,0,0.0,768.4258372190898,False,-0.21235666403628414,0,0.2,34729,70,24,1.0,2597.6317300397077,False,0.06901121194646766,0,0.2,33541,0,10,0.0,438.7920635883771,False,0.0017327171026701438,0,0.7670000000000001,42212,17,11,1.0,1273.946508100241,False,-0.03580168195206749,3,1.1120000000000003,42683,0,5,0.5,240.0,False,-0.036836183618361835,0.5625,227401,0.0,0.0,16,0,0,13,5,4.375,11,24,28,102.0,99.0,11,13,28,2595,1.521350808441639,38.35972740314901
16,28,0,0,0,10.000000000000002,20,10.0,16.506556981113615,30,11.2,22.124863579151384,19,22.57894736842105,43.87920635883771,0,,48.0,20,48.0,0,0.2,19225,9,16,1.0,354.10491169781784,False,0.1405591943947392,22,1.4370000000000003,12809,170,0,0.0,1700.0000000000002,False,-0.19704896831461996,0,0.2,23826,99,44,1.0,2607.643138612909,False,0.06712903177657037,4,1.5000000000000002,17885,49,0,0.0,808.8212920745672,False,-0.22334661148935062,0,0.2,34300,79,34,1.0,3239.7572389534416,False,0.06580851639299518,0,0.2,33541,0,10,0.0,438.7920635883771,False,0.0017327171026701438,0,0.7670000000000001,42596,7,13,1.0,931.154444511864,False,-0.031017614260667604,7,1.179,42826,0,0,0.0,0.0,False,-0.03631863186318632,0.5,227008,0.0,0.0,13,0,0,15,6,5.5,13,28,25,174.0,102.0,14,14,25,1437,1.5565041406080127,39.91623154375702
17,25,0,0,0,10.000000000000002,20,10.0,18.167333424679917,34,26.79411764705882,21.642230512580195,4,4.0,41.55827522110277,57,37.78947368421053,48.0,20,48.0,6,0.26,19704,8,10,1.0,261.6733342467992,False,0.1660006270720945,12,1.5350000000000001,12639,181,0,0.0,1810.0000000000002,False,-0.20380929986479338,0,0.2,23370,110,54,1.0,3167.087124394121,False,0.05964344822272967,4,1.5360000000000003,17318,62,0,0.0,1126.374672330155,False,-0.2406816707221081,23,0.43000000000000005,35495,73,10,1.0,1995.4655796293819,False,0.0828061477008691,0,0.2,33541,0,10,0.0,415.5827522110277,False,0.0013883857369152268,0,0.7670000000000001,41594,42,12,1.0,2321.4475592863164,False,-0.03792250720874982,9,1.2620000000000002,42061,2,10,1.0,563.1165504422055,False,-0.047197158523377476,0.625,225722,0.0,0.0,13,0,0,11,8,6.844444444444444,9,20,28,91.0,112.0,7,18,28,1702,2.1354221617802978,42.05165370553732
18,28,0,0,0,10.000000000000002,20,10.0,18.603640109343132,27,21.666666666666668,21.786365598260602,21,22.714285714285715,41.55827522110277,0,,48.0,20,48.0,12,0.374,19925,5,10,1.0,236.03640109343132,False,0.1782386808857042,5,1.5730000000000004,12409,194,0,0.0,1940.0000000000005,False,-0.2135089060019987,0,0.2,22990,127,59,1.0,3648.057864183953,False,0.053719008539300034,16,1.6920000000000004,17078,62,0,0.0,1153.4256867792742,False,-0.2502988303796494,0,0.40700000000000003,35223,79,20,1.0,2552.2883866846432,False,0.08299638577361342,0,0.2,33336,0,15,0.5,623.3741283165415,False,-0.0016115641754711346,0,0.7670000000000001,41930,32,15,1.0,2049.864807075289,False,-0.03341736265666874,3,1.2830000000000004,42514,0,2,0.2,96.0,False,-0.04225922592259226,0.5875,225405,0.0,0.0,13,0,0,15,5,4.416666666666666,8,23,30,130.0,133.0,9,19,30,1407,1.6409496078267694,43.69260331336409
19,30,0,0,0,10.000000000000002,20,10.0,18.778509577036886,41,19.609756097560975,20.74628884090736,11,7.454545454545454,41.55827522110277,0,,48.0,20,48.0,5,0.4120000000000001,20226,5,10,1.0,237.78509577036886,False,0.1959845128378805,26,1.8280000000000003,11912,204,0,0.0,2040.0000000000005,False,-0.2397860208100641,0,0.2,22715,141,69,1.0,4079.263780384809,False,0.0511967340520789,11,1.7860000000000003,16253,79,0,0.0,1483.502256585914,False,-0.2783238724237566,0,0.40700000000000003,35141,80,30,1.0,2906.451363905672,False,0.08581762749845213,0,0.2,33336,0,15,0.0,623.3741283165415,False,-0.0016115641754711346,0,0.7670000000000001,42602,22,11,1.0,1442.2820548642608,False,-0.02513184006678372,4,1.32,42574,0,0,0.0,0.0,False,-0.04198919891989199,0.5,224759,0.0,0.0,13,0,0,7,7,6.714285714285714,14,21,28,136.0,154.0,8,22,28,1248,1.4240041822195053,45.116607495583594
20,28,0,0,0,10.000000000000002,20,10.0,19.067609431083092,24,21.625,20.109637638816846,26,16.76923076923077,41.55827522110277,0,,48.0,20,48.0,9,0.4970000000000001,20432,6,10,1.0,250.67609431083093,False,0.20847322598056642,5,1.852,11717,213,0,0.0,2130.0000000000005,False,-0.24860384457115983,0,0.2,22524,155,71,1.0,4383.2637341738755,False,0.049540611791878075,18,1.9550000000000003,15785,79,0,0.0,1506.3411450555643,False,-0.29771240509033153,0,0.40700000000000003,34705,96,40,1.0,3592.856222170528,False,0.08306415379162248,0,0.2,33336,0,15,0.0,623.3741283165415,False,-0.0016115641754711346,0,0.7670000000000001,42938,12,14,1.0,1170.6993026532332,False,-0.020626695514702642,13,1.4460000000000002,42316,0,0,0.0,0.0,False,-0.047794779477947795,0.5,223753,0.0,0.0,11,0,0,10,7,7.0,12,22,19,146.0,97.0,10,18,19,1144,1.4357088478282094,46.5523163434118
21,19,0,0,0,10.000000000000002,20,10.0,19.12664069586785,43,19.41860465116279,21.867686882829673,15,39.0,41.55827522110277,0,,48.00000000000001,20,48.0,26,0.7480000000000002,20588,6,10,1.0,251.2664069586785,False,0.21766111360174814,7,1.9170000000000005,11460,223,0,0.0,2230.0000000000005,False,-0.260772441361472,0,0.2,22634,178,66,1.0,4847.8093781312355,False,0.06407510675891194,0,1.9370000000000003,15425,89,0,0.0,1702.2710219322385,False,-0.30883963179047436,0,0.40700000000000003,34120,101,50,1.0,4286.550136220935,False,0.07599771729008564,0,0.2,33336,0,15,0.0,623.3741283165415,False,-0.0016115641754711346,0,0.7670000000000001,43322,2,16,1.0,851.1165504422056,False,-0.015581496957220864,12,1.5530000000000004,42084,0,0,0.0,0.0,False,-0.05301530153015301,0.5,222969,0.0,0.0,11,0,0,5,7,7.0,15,20,22,39.0,50.0,6,13,22,1529,1.2157935351133347,47.76810987852514
22,22,0,0,0,10.000000000000002,20,10.0,19.261685275516076,15,21.333333333333332,22.6276171052427,6,41.0,41.86062370337788,5,50.0,48.000000000000014,20,48.0,5,0.7720000000000002,20688,7,10,1.0,262.6168527551608,False,0.223873283544623,0,1.9100000000000004,11370,232,0,0.0,2320.0000000000005,False,-0.26341778848980074,0,0.2,22560,183,70,1.0,5108.821602786431,False,0.06647461893894502,0,1.9370000000000003,15425,89,0,0.0,1714.2899895209307,False,-0.30858444117540174,0,0.40700000000000003,34124,97,55,1.0,4497.213162894325,False,0.07924178331989691,0,0.2,33336,0,15,0.0,627.9093555506682,False,-0.001544279930706342,0,0.7670000000000001,43898,0,6,0.2,288.0000000000001,False,-0.008955895589558956,8,1.6210000000000002,41721,0,5,0.5,240.00000000000006,False,-0.058483348334833485,0.4625,223122,0.0,0.0,14,0,0,4,4,4.0,13,17,27,92.0,90.0,7,15,27,1552,1.339001104235649,49.10711098276079
23,27,0,0,0,10.000000000000002,20,10.0,19.208569804133624,37,18.89189189189189,23.90886933049879,35,28.885714285714286,42.46068546455441,10,50.0,48.000000000000014,20,48.0,11,0.8770000000000002,20886,7,10,1.0,262.08569804133623,False,0.2354971988137481,16,2.0700000000000003,11027,242,0,0.0,2420.0000000000005,False,-0.28064193756980776,0,0.2,22815,201,65,1.0,5414.99903711328,False,0.08380396273967644,20,2.1370000000000005,14791,98,0,0.0,1882.4398408050952,False,-0.3319368159835854,0,0.40700000000000003,33613,122,55,1.0,5252.219758871344,False,0.07528069193032084,0,0.2,33336,0,15,0.0,636.9102819683161,False,-0.001410742953410516,3,0.7970000000000002,43659,0,10,1.0,480.0000000000001,False,-0.012173717371737173,6,1.673,41878,0,0,0.0,0.0,False,-0.057650765076507654,0.5,222005,0.0,0.0,14,0,0,9,10,9.166666666666666,15,24,24,178.0,75.0,12,15,24,2038,1.3932469626888633,50.50035794544965
24,24,0,0,0,10.000000000000002,20,10.0,19.74304091267667,23,25.130434782608695,24.41533414088455,5,40.0,42.46068546455441,0,,48.00000000000001,20,48.0,13,0.9960000000000002,21063,5,10,1.0,247.43040912676668,False,0.2454714716691191,0,2.0540000000000003,10907,254,0,0.0,2540.0000000000005,False,-0.28416906707424605,0,0.2,22689,207,70,1.0,5795.882858785989,False,0.08654046581141428,0,2.1170000000000004,14539,105,0,0.0,2073.0192958310504,False,-0.3385914625709998,0,0.40700000000000003,33413,117,65,1.0,5616.538649679529,False,0.07475133003500571,0,0.2,33336,0,15,0.0,636.9102819683161,False,-0.001410742953410516,0,0.7940000000000003,43899,0,5,0.0,240.00000000000003,False,-0.009473447344734473,15,1.8170000000000002,41525,0,0,0.0,0.0,False,-0.0655940594059406,0.375,221371,0.0,0.0,11,0,0,8,7,6.7272727272727275,16,24,29,128.0,84.0,11,13,29,892,1.2043091133236885,51.70466705877334
25,29,0,0,0,10.000000000000002,20,10.0,19.098769884978307,28,13.821428571428571,23.021916466286317,10,3.1,39.67264457245458,60,34.0,48.00000000000001,20,48.0,11,1.0930000000000002,21099,5,10,1.0,240.98769884978307,False,0.24739838042589457,7,2.124,10652,264,0,0.0,2640.0000000000005,False,-0.2962200928810769,0,0.2,22302,225,80,1.0,6138.976541423024,False,0.07739132322865133,10,2.2170000000000005,14220,105,0,0.0,2005.370837922722,False,-0.3535740193230557,0,0.40700000000000003,35422,117,15,1.0,3288.653895142318,False,0.099825735789305,0,0.2,33336,0,15,0.0,595.0896685868187,False,-0.002031190009690507,3,0.8240000000000003,44112,0,0,0.0,0.0,False,-0.007380738073807381,12,1.9220000000000002,39260,50,10,1.0,2463.632228622729,False,-0.08884302173016739,0.5,220403,0.0,0.0,9,0,0,12,10,9.523809523809524,14,26,27,212.0,90.0,14,15,27,2480,1.4274792512878776,53.132146310061216
