index,n_registered_negotiations_before,n_contracts_dropped,n_contracts_nullified_now,n_bankrupt,trading_price_0,sold_quantity_0,unit_price_0,trading_price_1,sold_quantity_1,unit_price_1,trading_price_2,sold_quantity_2,unit_price_2,trading_price_3,sold_quantity_3,unit_price_3,trading_price_4,sold_quantity_4,unit_price_4,spot_market_quantity_00MyA@0,spot_market_loss_00MyA@0,balance_00MyA@0,inventory_00MyA@0_input,inventory_00MyA@0_output,productivity_00MyA@0,assets_00MyA@0,bankrupt_00MyA@0,score_00MyA@0,spot_market_quantity_01Dec@0,spot_market_loss_01Dec@0,balance_01Dec@0,inventory_01Dec@0_input,inventory_01Dec@0_output,productivity_01Dec@0,assets_01Dec@0,bankrupt_01Dec@0,score_01Dec@0,spot_market_quantity_02Buy@1,spot_market_loss_02Buy@1,balance_02Buy@1,inventory_02Buy@1_input,inventory_02Buy@1_output,productivity_02Buy@1,assets_02Buy@1,bankrupt_02Buy@1,score_02Buy@1,spot_market_quantity_03Buy@1,spot_market_loss_03Buy@1,balance_03Buy@1,inventory_03Buy@1_input,inventory_03Buy@1_output,productivity_03Buy@1,assets_03Buy@1,bankrupt_03Buy@1,score_03Buy@1,spot_market_quantity_04Dec@2,spot_market_loss_04Dec@2,balance_04Dec@2,inventory_04Dec@2_input,inventory_04Dec@2_output,productivity_04Dec@2,assets_04Dec@2,bankrupt_04Dec@2,score_04Dec@2,spot_market_quantity_05Dec@2,spot_market_loss_05Dec@2,balance_05Dec@2,inventory_05Dec@2_input,inventory_05Dec@2_output,productivity_05Dec@2,assets_05Dec@2,bankrupt_05Dec@2,score_05Dec@2,spot_market_quantity_06Ind@3,spot_market_loss_06Ind@3,balance_06Ind@3,inventory_06Ind@3_input,inventory_06Ind@3_output,productivity_06Ind@3,assets_06Ind@3,bankrupt_06Ind@3,score_06Ind@3,spot_market_quantity_07Ran@3,spot_market_loss_07Ran@3,balance_07Ran@3,inventory_07Ran@3_input,inventory_07Ran@3_output,productivity_07Ran@3,assets_07Ran@3,bankrupt_07Ran@3,score_07Ran@3,productivity,market_size,production_failures,bankruptcy,n_contracts_executed,n_contracts_erred,n_contracts_nullified,n_contracts_cancelled,n_breaches,breach_level,n_contracts_signed,n_contracts_concluded,n_negotiations,n_negotiation_rounds_successful,n_negotiation_rounds_failed,n_negotiation_successful,n_negotiation_failed,n_registered_negotiations_after,activity_level,step_time,total_time
10,38,0,0,0,10.000000000000004,9,10.0,22.249686579554247,17,23.0,16.02063174571988,4,13.0,51.81779438320233,12,35.666666666666664,45.0,20,45.0,0,0.2,12452,0,0,0.0,0.0,False,0.02629193109700816,8,0.4600000000000001,13391,0,9,0.9,200.2471792159882,False,0.11193633805390212,0,0.5870000000000002,16885,66,0,0.0,1468.4793142505803,False,-0.08575966909893679,4,0.5730000000000001,16826,72,0,0.0,1601.9774337279057,False,-0.08535758007140129,0,0.23600000000000002,32288,0,4,0.4,207.27117753280933,False,0.05820436421974528,0,0.24500000000000002,31646,0,17,0.0,880.9025045144397,False,0.04823427808746222,10,0.6150000000000001,38254,0,0,0.0,0.0,False,-0.02636803257826419,10,0.7950000000000002,35674,42,0,0.0,2176.347364094498,False,-0.06433765125865995,0.1625,197416,0.0,0.0,7,0,0,24,11,10.470588235294118,16,40,40,306.0,174.0,21,17,40,518,1.7275654571130872,23.66167140007019
11,40,0,0,0,10.000000000000004,11,10.0,22.278905947959743,2,24.0,15.184508899307936,27,13.0,51.64901111993826,13,50.76923076923077,45.00000000000001,20,45.0,0,0.2,12452,0,0,0.0,0.0,False,0.02629193109700816,0,0.45200000000000007,13329,1,17,1.0,388.7414011153156,False,0.11459413999486177,14,0.7270000000000001,16559,67,0,0.0,1492.6866985133029,False,-0.10204735630673252,13,0.6990000000000001,16526,73,0,0.0,1626.360134201061,False,-0.10029161129615352,4,0.276,32319,3,10,1.0,562.0436378973063,False,0.06501214697643433,0,0.24500000000000002,31744,4,22,1.0,1197.0162802358734,False,0.05659941653439849,11,0.7150000000000001,37769,0,5,0.5,225.00000000000003,False,-0.035848816492746245,9,0.8750000000000002,35145,50,0,0.0,2582.450555996913,False,-0.07263361471116173,0.4375,195843,0.0,0.0,10,0,0,22,18,17.666666666666668,20,42,43,307.0,190.0,22,18,43,590,3.082617630250752,26.744289030320942
12,43,0,0,0,10.000000000000004,9,10.0,22.278905947959743,0,,14.795834492712036,19,13.0,50.18648374445847,7,35.0,45.0,20,45.0,0,0.2,12452,0,0,0.0,0.0,False,0.02629193109700816,0,0.45200000000000007,13239,0,27,1.0,601.530460594913,False,0.11594537462271957,10,0.8130000000000002,16369,67,0,0.0,1492.6866985133029,False,-0.11190621890532114,9,0.7760000000000002,16358,73,0,0.0,1626.360134201061,False,-0.10900892138332662,0,0.272,32202,2,20,1.0,1033.3213438745936,False,0.06888796706753668,0,0.24500000000000002,31859,4,25,1.0,1313.84543158231,False,0.06226470812777378,6,0.7640000000000002,37918,0,0,0.0,0.0,False,-0.03491982692797149,9,0.9560000000000002,34757,57,0,0.0,2860.629573434133,False,-0.07896882701152805,0.375,195154,0.0,0.0,8,0,0,28,11,10.666666666666668,17,45,41,360.0,194.0,25,18,41,515,1.870655907317996,28.61494493763894
13,41,0,0,0,10.000000000000002,14,10.0,22.29472126392965,1,24.0,14.567499963859483,14,13.0,50.18648374445847,0,,45.00000000000001,20,45.0,0,0.2,12452,0,0,0.0,0.0,False,0.02629193109700816,0,0.45200000000000007,13123,4,36,1.0,842.6099655014674,False,0.1163195403239704,14,0.9430000000000001,16043,68,0,0.0,1516.0410459472162,False,-0.1282160376207135,0,0.7670000000000001,16358,73,0,0.0,1627.5146522668645,False,-0.10897896813338352,0,0.272,32085,1,30,1.0,1520.1620122976137,False,0.07301800085425705,0,0.24500000000000002,31794,0,34,0.9,1706.340447311588,False,0.06655244115177374,7,0.8280000000000001,37827,0,0,0.0,0.0,False,-0.03723593789768389,13,1.0770000000000004,34499,57,0,0.0,2860.629573434133,False,-0.08553538338719616,0.3625,194181,0.0,0.0,9,0,0,26,11,11.0,22,48,23,416.0,142.0,27,14,23,164,1.64122527372092,30.25617021135986
14,23,0,0,0,10.000000000000002,11,10.0,22.674602576134156,16,25.0,14.222176122842752,28,13.0,51.444503315157455,4,74.0,45.00000000000001,20,45.0,0,0.2,12452,0,0,0.0,0.0,False,0.02629193109700816,0,0.45200000000000007,13413,5,30,1.0,730.2380772840247,False,0.13559045896662103,19,1.119,15177,84,0,0.0,1904.666616395269,False,-0.16306904793495047,9,0.8570000000000002,16190,73,0,0.0,1655.2459880577933,False,-0.1169768060383511,0,0.272,31903,5,40,1.0,2128.891013220512,False,0.07701553435512097,0,0.24500000000000002,31908,4,40,1.0,2114.668837097669,False,0.0769465670875149,9,0.9110000000000003,37677,0,0,0.0,0.0,False,-0.04105370323237465,11,1.1740000000000002,34005,61,0,0.0,3138.1147022246046,False,-0.09457731353748282,0.375,192725,0.0,0.0,8,0,0,15,15,15.0,20,35,15,261.0,65.0,16,7,15,806,1.1751386784017086,31.431308889761567
15,15,0,0,0,10.000000000000002,10,10.0,22.951376362951603,49,23.53061224489796,13.96158111023867,31,13.0,51.892615387641634,5,58.0,45.0,20,45.0,0,0.2,12452,0,0,0.0,0.0,False,0.02629193109700816,19,0.6420000000000001,14033,5,10,1.0,279.51376362951606,False,0.16811644950257623,23,1.33,14279,96,0,0.0,2203.3321308433538,False,-0.2019164557170155,8,0.9280000000000002,15165,110,0,0.0,2524.6513999246763,False,-0.1476065950621452,0,0.272,31959,13,45,1.0,2516.668246876976,False,0.08517916117080974,0,0.24500000000000002,31739,7,50,1.0,2692.3618371537523,False,0.08086183987510225,7,0.9720000000000002,37290,0,5,0.5,225.0,False,-0.04804021379485874,13,1.2930000000000004,33733,61,0,0.0,3165.4495386461394,False,-0.10115233470799014,0.4375,190650,0.0,0.0,8,0,0,15,19,18.53846153846154,16,31,10,175.0,71.0,10,5,10,942,1.0439972411841154,32.47530613094568
16,10,0,0,0,10.000000000000002,12,10.0,22.955607531659496,13,23.0,13.845299457243154,18,13.0,51.820554087106785,7,51.142857142857146,45.0,20,45.0,0,0.2,12452,0,0,0.0,0.0,False,0.02629193109700816,3,0.653,14155,7,10,1.0,299.55607531659496,False,0.17899761292823685,18,1.487,13845,96,0,0.0,2203.7383230393116,False,-0.22442563503945337,0,0.9200000000000002,14866,123,0,0.0,2823.539726394118,False,-0.15536686056470217,0,0.272,32162,12,50,1.0,2757.171297842257,False,0.09573948542702153,0,0.24500000000000002,31660,6,58,1.0,3088.6639337956526,False,0.08475439290747563,9,1.0550000000000002,37336,0,2,0.2,90.0,False,-0.04858742682616442,6,1.34,33340,66,0,0.0,3420.156569749048,False,-0.1079135076387243,0.4,189816,0.0,0.0,12,0,0,7,12,10.897435897435898,15,22,16,101.0,66.0,6,4,16,658,0.9569617593660951,33.43226789031178
17,16,0,0,0,10.000000000000002,9,10.0,22.955607531659496,0,,13.838175310647667,25,13.8,53.09915960901481,12,60.083333333333336,45.0,20,45.0,0,0.2,12452,0,0,0.0,0.0,False,0.02629193109700816,0,0.6500000000000001,14065,6,20,1.0,519.1121506331899,False,0.1806277157600425,20,1.6690000000000003,13545,96,0,0.0,2203.7383230393116,False,-0.2399922601951196,5,0.9700000000000002,14786,123,0,0.0,2823.539726394118,False,-0.15951796060621318,0,0.272,32247,22,54,1.0,3171.7944757210485,False,0.10528903096571464,0,0.24500000000000002,31951,1,62,1.0,3305.986071069566,False,0.09781094529679132,9,1.1360000000000001,36716,0,10,1.0,450.0,False,-0.05978620514125732,9,1.4240000000000002,33043,68,0,0.0,3610.742853413007,False,-0.11304730397794603,0.5,188805,0.0,0.0,8,0,0,10,11,10.75,19,29,22,155.0,120.0,9,7,22,856,1.0654419837519526,34.49770987406373
18,22,0,0,0,10.000000000000002,12,10.0,22.955607531659496,0,,13.799078200847608,7,13.0,54.979381932232755,11,66.9090909090909,44.99999999999999,20,45.0,0,0.2,12452,0,0,0.0,0.0,False,0.02629193109700816,0,0.6500000000000001,13945,8,30,1.0,768.6682259497849,False,0.18102152089136184,7,1.7190000000000003,13433,96,0,0.0,2203.7383230393116,False,-0.245803800253235,0,0.9650000000000001,14786,123,0,0.0,2823.539726394118,False,-0.15951796060621318,0,0.272,32232,19,63,1.0,3725.883547546768,False,0.11384978026048291,0,0.24500000000000002,32611,0,53,0.1,2913.907242408336,False,0.11296810262019508,0,1.127,36886,0,5,0.5,224.99999999999997,False,-0.05832272842962586,10,1.5150000000000001,32411,74,0,0.0,4068.474262985224,False,-0.12330778489456316,0.325,188756,0.0,0.0,12,0,0,18,6,6.0,20,38,21,266.0,101.0,16,6,21,1306,1.0962939588353038,35.594003832899034
19,21,0,0,0,10.000000000000002,12,10.0,22.97379573585049,17,23.11764705882353,13.392488208594775,38,11.947368421052632,53.43066463503913,20,47.8,44.99999999999999,20,45.0,0,0.2,12452,0,0,0.0,0.0,False,0.02629193109700816,0,0.6500000000000001,14218,10,23,1.0,628.3973019245612,False,0.19774158501296302,0,1.7120000000000002,13064,112,0,0.0,2573.065122415255,False,-0.25536879611832575,38,1.3450000000000004,13598,124,0,0.0,2848.750671245461,False,-0.22050771400878322,0,0.272,32410,37,59,1.0,3647.9312771853156,False,0.11839155957506231,0,0.24500000000000002,32935,0,57,1.0,3045.5478841972304,False,0.12570316700746875,5,1.1770000000000003,37054,0,0,0.0,0.0,False,-0.056910155255790275,10,1.6050000000000002,31286,94,0,0.0,5022.482475693678,False,-0.13980042662644857,0.375,187017,0.0,0.0,15,0,0,16,10,9.666666666666668,20,36,21,237.0,101.0,14,7,21,1649,1.0950979739427567,36.68910180684179
20,21,0,0,0,10.000000000000002,7,10.0,23.168055053875094,15,24.933333333333334,13.380280566313191,5,13.0,50.998179481555326,15,37.46666666666667,45.0,20,45.0,0,0.2,12452,0,0,0.0,0.0,False,0.02629193109700816,0,0.6500000000000001,14522,7,18,1.0,487.0249909697517,False,0.21697127631128954,0,1.7120000000000002,12714,126,0,0.0,2919.1749367882617,False,-0.2645502558948666,5,1.3570000000000002,13494,125,0,0.0,2896.0068817343868,False,-0.22467811120448355,0,0.272,32554,27,65,1.0,3676.1492415915523,False,0.12355683178032598,0,0.24500000000000002,33288,0,51,0.5,2600.9071535593216,False,0.12997234814699976,6,1.2320000000000002,36982,0,0,0.0,0.0,False,-0.05874268261644184,14,1.7350000000000003,30418,109,0,0.0,5558.801563489531,False,-0.15506742729079248,0.3125,186424,0.0,0.0,9,0,0,15,10,10.0,15,30,25,193.0,133.0,12,9,25,1006,1.0762515924870968,37.76535339932889
21,25,0,0,0,10.000000000000002,13,10.0,23.136892336520607,31,23.0,13.328118869587769,23,13.0,46.7178622591832,24,30.916666666666668,45.0,20,45.0,0,0.2,12452,0,0,0.0,0.0,False,0.02629193109700816,13,0.78,14858,10,10,1.0,331.36892336520606,False,0.23824977018730767,15,1.862,11671,157,0,0.0,3632.492096833735,False,-0.3001636546068458,8,1.4320000000000002,13346,125,0,0.0,2892.111542065076,False,-0.23245870843542252,0,0.272,32668,31,67,1.0,3543.2684563224952,False,0.12511055956096848,0,0.24500000000000002,33617,0,44,0.9,2055.585939404061,False,0.1318129032898409,10,1.3260000000000003,36812,0,0,0.0,0.0,False,-0.06306948332909137,10,1.8210000000000002,29502,133,0,0.0,6213.475680471365,False,-0.1700499404368622,0.3625,184926,0.0,0.0,9,0,0,16,16,15.928571428571429,18,34,29,270.0,131.0,16,9,29,1263,1.2065619435161352,38.97191534284502
22,29,0,0,0,10.000000000000002,8,10.0,23.136892336520607,0,,13.30209542767184,13,13.0,45.38098764525289,17,37.411764705882355,45.0,20,45.0,0,0.2,12452,0,0,0.0,0.0,False,0.02629193109700816,0,0.7670000000000001,14778,8,20,1.0,542.7378467304121,False,0.24036667958173624,4,1.8870000000000002,11607,157,0,0.0,3632.492096833735,False,-0.3034845346400546,9,1.5140000000000002,13178,125,0,0.0,2892.111542065076,False,-0.2411760185225956,0,0.272,33304,21,60,1.0,3002.203262696282,False,0.13705003696008292,0,0.24500000000000002,33448,3,54,1.0,2490.4796191266714,False,0.1333956161242513,6,1.3760000000000003,36736,0,0,0.0,0.0,False,-0.06500381776533469,14,1.9510000000000005,28556,150,0,0.0,6807.148146787933,False,-0.18657230660743274,0.375,184059,0.0,0.0,6,0,0,14,14,14.0,23,37,26,290.0,134.0,18,11,26,716,1.1936332359910011,40.165548578836024
23,26,0,0,0,10.0,10,10.0,23.335966176879236,18,25.0,13.281132523708436,11,13.0,45.38098764525289,0,,45.0,20,45.0,0,0.2,12452,0,0,0.0,0.0,False,0.02629193109700816,0,0.7670000000000001,15128,8,12,1.0,360.0315941225508,False,0.26168431526096386,7,1.9530000000000005,11495,157,0,0.0,3663.74668977004,False,-0.30848519381044937,4,1.5450000000000002,12664,143,0,0.0,3337.0431632937307,False,-0.2563033633433548,0,0.272,33252,15,70,1.0,3375.8861230233288,False,0.1414551800559185,0,0.24500000000000002,33357,0,64,1.0,2904.3832092961848,False,0.13718365255302487,14,1.5100000000000002,36430,0,0,0.0,0.0,False,-0.07279205904810385,6,1.997,28478,150,0,0.0,6807.148146787933,False,-0.18855754458147195,0.375,183256,0.0,0.0,6,0,0,12,12,12.0,20,32,32,251.0,136.0,15,11,32,550,1.1385443294420838,41.30409290827811
24,32,0,0,0,10.0,7,10.0,23.335966176879236,0,,13.251200165088354,17,13.0,44.72069528768528,6,33.0,45.0,20,45.0,0,0.2,12452,0,0,0.0,0.0,False,0.02629193109700816,0,0.7670000000000001,15058,5,22,1.0,563.3912558913432,False,0.2642953620659088,13,2.0760000000000005,11219,157,0,0.0,3663.74668977004,False,-0.3228064889536623,4,1.5810000000000002,12600,143,0,0.0,3337.0431632937307,False,-0.2596242433765636,0,0.272,33281,18,74,1.0,3547.853054260301,False,0.14521158206893656,0,0.24500000000000002,33305,0,68,0.4,3041.0072795625993,False,0.13771655144662862,9,1.5860000000000005,36286,0,0,0.0,0.0,False,-0.07645711376940698,11,2.101000000000001,28080,156,0,0.0,6976.4284648789035,False,-0.196533106835341,0.3,182281,0.0,0.0,5,0,0,17,15,15.0,20,37,24,280.0,142.0,19,13,24,268,1.2155373319983482,42.519630240276456
