index,n_registered_negotiations_before,n_contracts_dropped,n_contracts_nullified_now,n_bankrupt,trading_price_0,sold_quantity_0,unit_price_0,trading_price_1,sold_quantity_1,unit_price_1,trading_price_2,sold_quantity_2,unit_price_2,trading_price_3,sold_quantity_3,unit_price_3,trading_price_4,sold_quantity_4,unit_price_4,spot_market_quantity_00Ran@0,spot_market_loss_00Ran@0,balance_00Ran@0,inventory_00Ran@0_input,inventory_00Ran@0_output,productivity_00Ran@0,assets_00Ran@0,bankrupt_00Ran@0,score_00Ran@0,spot_market_quantity_01Buy@0,spot_market_loss_01Buy@0,balance_01Buy@0,inventory_01Buy@0_input,inventory_01Buy@0_output,productivity_01Buy@0,assets_01Buy@0,bankrupt_01Buy@0,score_01Buy@0,spot_market_quantity_02MyA@1,spot_market_loss_02MyA@1,balance_02MyA@1,inventory_02MyA@1_input,inventory_02MyA@1_output,productivity_02MyA@1,assets_02MyA@1,bankrupt_02MyA@1,score_02MyA@1,spot_market_quantity_03Dec@1,spot_market_loss_03Dec@1,balance_03Dec@1,inventory_03Dec@1_input,inventory_03Dec@1_output,productivity_03Dec@1,assets_03Dec@1,bankrupt_03Dec@1,score_03Dec@1,spot_market_quantity_04Dec@2,spot_market_loss_04Dec@2,balance_04Dec@2,inventory_04Dec@2_input,inventory_04Dec@2_output,productivity_04Dec@2,assets_04Dec@2,bankrupt_04Dec@2,score_04Dec@2,spot_market_quantity_05Dec@2,spot_market_loss_05Dec@2,balance_05Dec@2,inventory_05Dec@2_input,inventory_05Dec@2_output,productivity_05Dec@2,assets_05Dec@2,bankrupt_05Dec@2,score_05Dec@2,spot_market_quantity_06Ind@3,spot_market_loss_06Ind@3,balance_06Ind@3,inventory_06Ind@3_input,inventory_06Ind@3_output,productivity_06Ind@3,assets_06Ind@3,bankrupt_06Ind@3,score_06Ind@3,spot_market_quantity_07Ran@3,spot_market_loss_07Ran@3,balance_07Ran@3,inventory_07Ran@3_input,inventory_07Ran@3_output,productivity_07Ran@3,assets_07Ran@3,bankrupt_07Ran@3,score_07Ran@3,productivity,market_size,production_failures,bankruptcy,n_contracts_executed,n_contracts_erred,n_contracts_nullified,n_contracts_cancelled,n_breaches,breach_level,n_contracts_signed,n_contracts_concluded,n_negotiations,n_negotiation_rounds_successful,n_negotiation_rounds_failed,n_negotiation_successful,n_negotiation_failed,n_registered_negotiations_after,activity_level,step_time,total_time
10,23,0,0,0,10.000000000000002,20,10.0,7.915924810877802,5,8.0,35.634253768840495,21,37.142857142857146,53.693046121247896,16,58.0,51.99999999999999,20,52.0,0,0.659,16345,103,0,0.0,1030.0000000000002,False,-0.07778142435182146,5,0.7990000000000002,16285,117,0,0.0,1170.0000000000002,False,-0.07723443824526857,0,0.2,31030,0,0,0.0,0.0,False,0.042254467284697034,0,0.2,30371,3,47,1.0,1698.5577015681365,False,0.048645668775496,8,0.397,42150,0,5,0.5,268.46523060623946,False,0.018308270284729727,0,0.4070000000000001,40735,15,12,1.0,1178.8303599875821,False,-0.004806493112566469,10,0.6420000000000001,55314,0,2,0.2,103.99999999999999,False,-0.013945039092414825,8,0.8560000000000001,51138,57,0,0.0,3060.50362891113,False,-0.061991276523970774,0.3375,283368,0.0,0.0,15,0,0,5,12,11.5,24,29,18,182.0,102.0,12,11,18,1384,0.9725190820172429,16.574350554088596
11,18,0,0,0,10.000000000000002,20,10.0,7.414528356615101,15,4.6,36.31048651803258,10,41.0,56.24550524148668,46,60.15217391304348,51.99999999999999,20,52.0,10,0.7590000000000001,16053,113,0,0.0,1130.0000000000002,False,-0.09101848813040149,5,0.8440000000000001,16135,127,0,0.0,1270.0000000000002,False,-0.08270429931079751,0,0.2,31030,0,0,0.0,0.0,False,0.042254467284697034,0,0.2,30712,8,47,1.0,1765.9090932004522,False,0.06123050337902147,10,0.48900000000000005,42416,0,0,0.0,0.0,False,0.02148155283691359,19,0.5970000000000002,41374,15,10,1.0,1107.1123501853556,False,0.009718624773448585,7,0.7020000000000002,54290,8,10,1.0,969.9640419318933,False,-0.024470925199630542,11,0.9580000000000002,49172,85,0,0.0,4780.867945526368,False,-0.0816856226689134,0.375,281182,0.0,0.0,14,0,0,7,17,16.272727272727273,23,30,23,136.0,85.0,10,8,23,1353,1.018688806972932,17.59303936106153
12,23,0,0,0,10.000000000000002,20,10.0,7.384390426699572,7,7.0,36.31048651803258,0,,54.55986859077826,35,49.51428571428571,51.99999999999999,20,52.0,2,0.7690000000000001,15949,120,0,0.0,1200.0000000000002,False,-0.09479269226561646,5,0.8890000000000002,15955,140,0,0.0,1400.0000000000002,False,-0.08899463953615579,0,0.2,31030,0,0,0.0,0.0,False,0.042254467284697034,0,0.2,30663,5,57,1.0,2106.6196836613553,False,0.06530665866689092,18,0.659,42573,0,0,0.0,0.0,False,0.025262498795877084,7,0.6480000000000001,41592,5,10,1.0,727.1511184979455,False,0.01039340042503066,4,0.7350000000000001,54011,17,10,1.0,1447.5177660432303,False,-0.02518728947939212,6,1.0070000000000001,48109,101,0,0.0,5510.546727668604,False,-0.09411969289151534,0.375,279882,0.0,0.0,15,0,0,7,11,9.911111111111111,27,34,25,195.0,109.0,13,10,25,822,1.0807332169497386,18.673772578011267
13,25,0,0,0,10.000000000000002,20,10.0,7.391877078692696,6,7.5,36.74820821148826,5,43.0,55.88105221062714,10,72.5,52.0,20,52.0,1,0.7770000000000001,15845,129,0,0.0,1290.0000000000002,False,-0.09801991029427852,5,0.9340000000000002,15790,151,0,0.0,1510.0000000000002,False,-0.09501148670823761,0,0.2,31030,0,0,0.0,0.0,False,0.042254467284697034,0,0.2,30833,1,62,1.0,2285.780786190965,False,0.074025607721869,4,0.681,42462,0,5,0.5,279.4052610531357,False,0.025953728699705424,0,0.6410000000000001,42025,0,9,0.5,502.9294698956443,False,0.018121200629703918,1,0.7410000000000001,54462,8,10,1.0,967.0484176850171,False,-0.02143361041438837,9,1.0910000000000002,47283,110,0,0.0,6146.9157431689855,False,-0.10316376299516482,0.375,279730,0.0,0.0,19,0,0,8,8,7.5,29,37,21,237.0,73.0,17,8,21,1316,1.0683724079863168,19.742144985997584
14,21,0,0,0,10.000000000000002,20,10.0,7.169904274428392,3,1.0,37.17193453910228,5,43.0,55.93127297346164,2,59.0,52.0,20,52.0,3,0.806,15671,141,0,0.0,1410.0000000000002,False,-0.10425555190898152,0,0.9290000000000003,15710,159,0,0.0,1590.0000000000002,False,-0.09719943113444919,0,0.2,31030,0,0,0.0,0.0,False,0.042254467284697034,0,0.2,31045,0,61,0.4,2267.488006885239,False,0.08083917786653964,0,0.677,42247,0,10,0.5,559.3127297346164,False,0.024146430133592883,0,0.6410000000000001,42143,0,7,0.0,391.51891081423145,False,0.01962141063980152,0,0.7400000000000002,54864,0,10,1.0,520.0,False,-0.018255000089048783,10,1.1820000000000002,47090,110,0,0.0,6152.44002708078,False,-0.10655185286397993,0.2375,279800,0.0,0.0,16,0,0,6,6,6.0,24,30,24,146.0,69.0,12,9,24,1053,1.6382255459902808,21.380370531987865
15,24,0,0,0,10.000000000000002,20,10.0,6.991387488386231,14,6.0,37.67302683683036,10,41.0,54.68918464894368,23,48.65217391304348,52.0,12,52.0,4,0.8430000000000002,15505,150,0,0.0,1500.0000000000002,False,-0.11087408379827153,10,1.0290000000000001,15470,170,0,0.0,1700.0000000000002,False,-0.10731867410567772,0,0.2,31030,0,0,0.0,0.0,False,0.042254467284697034,0,0.2,31371,4,61,1.0,2326.0201870001965,False,0.09277207085516925,0,0.6770000000000002,42056,0,12,1.0,656.2702157873241,False,0.020714167900338698,8,0.7210000000000003,42667,0,0,0.0,0.0,False,0.027526249879587707,0,0.7400000000000002,53859,10,20,1.0,1586.8918464894368,False,-0.02665326322383802,12,1.2920000000000003,46716,113,0,0.0,6179.877865330636,False,-0.1129683710722307,0.375,278674,0.0,0.0,13,0,0,6,10,9.533333333333333,24,30,21,117.0,88.0,11,13,21,829,0.9658366580260918,22.346207190013956
16,21,0,0,0,10.000000000000002,20,10.0,6.847669033280089,14,6.0,37.67302683683036,0,,54.68918464894368,0,,51.99999999999999,12,52.0,9,0.9290000000000003,15247,161,0,0.0,1610.0000000000002,False,-0.12197790176129526,5,1.0690000000000002,15330,179,0,0.0,1790.0000000000002,False,-0.1125150421179302,0,0.2,31030,0,0,0.0,0.0,False,0.042254467284697034,0,0.2,31287,8,71,1.0,2729.5662576811965,False,0.09672790302433823,0,0.677,42056,0,12,0.0,656.2702157873241,False,0.020714167900338698,0,0.7130000000000001,42667,0,0,0.0,0.0,False,0.027526249879587707,0,0.7400000000000002,53859,0,30,1.0,1559.9999999999998,False,-0.02689273183850113,12,1.4000000000000001,46446,113,0,0.0,6179.877865330636,False,-0.11777700524202891,0.25,277922,0.0,0.0,10,0,0,4,9,9.0,27,31,27,163.0,46.0,11,10,27,200,1.0372349829995073,23.383442173013464
17,27,0,0,0,10.000000000000002,20,10.0,6.529571678410674,5,1.0,38.09547292361466,10,41.0,55.05023622546467,4,66.0,51.99999999999999,9,52.0,5,0.9700000000000002,15067,170,0,0.0,1700.0000000000002,False,-0.12936221419975932,0,1.0640000000000003,15220,190,0,0.0,1900.0000000000002,False,-0.11552346570397112,0,0.2,31030,0,0,0.0,0.0,False,0.042254467284697034,0,0.2,31692,3,71,1.0,2724.3672926118725,False,0.11024397575930193,0,0.6770000000000002,42242,0,9,0.0,495.45212602918207,False,0.023257057677839085,1,0.7230000000000001,42288,0,10,1.0,550.5023622546468,False,0.025027723271537464,0,0.7400000000000002,53743,0,32,0.2,1663.9999999999998,False,-0.028032556234305152,9,1.4780000000000004,46134,115,0,0.0,6330.777165928437,False,-0.12198990929554904,0.275,277416,0.0,0.0,13,0,0,5,6,6.0,23,28,31,154.0,115.0,10,17,31,796,1.0859348400263116,24.469377013039775
18,31,0,0,0,10.000000000000002,20,10.0,6.742074728992968,10,8.5,38.286863739738806,5,41.0,55.75069820959264,4,75.5,52.0,9,52.0,0,0.9650000000000001,14947,182,0,0.0,1820.0000000000002,False,-0.1326441308390767,10,1.1640000000000001,15015,198,0,0.0,1980.0000000000005,False,-0.12454873646209386,0,0.2,31030,0,0,0.0,0.0,False,0.042254467284697034,0,0.2,31812,3,76,1.0,2930.027868407128,False,0.11772853467027952,0,0.677,42339,0,10,0.5,557.5069820959264,False,0.026340272879490565,0,0.7220000000000002,42288,0,10,0.0,557.5069820959264,False,0.025112067504285865,0,0.7400000000000002,53743,0,32,0.0,1664.0,False,-0.028032556234305152,9,1.559,45668,119,0,0.0,6634.333086941524,False,-0.1275861272067043,0.1875,276842,0.0,0.0,13,0,0,9,7,7.0,24,33,30,171.0,138.0,13,18,30,707,0.9860383300110698,25.455415343050845
19,30,0,0,0,10.000000000000002,20,10.0,6.534260042491402,10,4.8,38.286863739738806,0,,58.893147568949324,40,67.15,52.0,11,52.0,5,1.0150000000000001,14746,193,0,0.0,1930.0000000000005,False,-0.14063012799474894,5,1.2040000000000002,14870,207,0,0.0,2070.0000000000005,False,-0.1300185975276228,0,0.2,31030,0,0,0.0,0.0,False,0.042254467284697034,0,0.2,31764,3,86,1.0,3312.2730617450115,False,0.12253582328605761,19,0.8670000000000002,43274,0,0,0.0,0.0,False,0.04214430209035738,1,0.7320000000000002,42964,0,0,0.0,0.0,False,0.03467874000577979,0,0.7400000000000002,52668,8,42,1.0,2655.1451805515944,False,-0.03835201712807355,11,1.6600000000000001,43829,141,0,0.0,8303.933807221854,False,-0.14547067795310822,0.25,275145,0.0,0.0,14,0,0,19,11,10.183333333333334,17,36,25,247.0,94.0,17,13,25,1352,1.2519666170119308,26.707381960062776
20,25,0,0,0,10.000000000000002,20,10.0,6.559068008701015,7,6.857142857142857,38.286863739738806,0,,58.151526588651045,32,55.125,52.0,20,52.0,2,1.0300000000000002,14626,202,0,0.0,2020.0000000000005,False,-0.14473252379389565,5,1.249,14705,218,0,0.0,2180.0000000000005,False,-0.13603544469970463,0,0.2,31030,0,0,0.0,0.0,False,0.042254467284697034,0,0.2,31716,0,96,1.0,3675.5389190149253,False,0.12702436717410534,10,0.948,43374,0,0,0.0,0.0,False,0.04455254792409209,22,0.9510000000000001,42901,0,0,0.0,0.0,False,0.03316154513052692,0,0.7400000000000002,51763,23,42,1.0,3521.485111538974,False,-0.04675519500312583,10,1.7490000000000003,43300,148,0,0.0,8606.425935120355,False,-0.15219838345188383,0.25,273415,0.0,0.0,14,0,0,12,11,11.0,19,31,25,168.0,88.0,11,14,25,720,1.1750607750145718,27.882442735077348
21,25,0,0,0,10.000000000000002,20,10.0,6.661347325441838,10,7.5,38.471955811423626,5,41.0,60.26285549848991,23,73.69565217391305,52.00000000000001,20,52.0,5,1.078,14456,213,0,0.0,2130.0000000000005,False,-0.1510228640192539,5,1.2940000000000003,14560,227,0,0.0,2270.0000000000005,False,-0.14150530576523357,0,0.2,31030,0,0,0.0,0.0,False,0.042254467284697034,0,0.2,31846,0,101,1.0,3885.667536953786,False,0.13491984980776878,16,1.098,43615,0,5,0.5,301.31427749244955,False,0.05398461465047261,7,0.9990000000000003,43022,0,0,0.0,0.0,False,0.03607552258934592,0,0.7400000000000002,52165,15,42,1.0,3087.942832477349,False,-0.043456314159848373,10,1.839,41532,169,0,0.0,10184.422579244796,False,-0.16963416464011116,0.3125,272226,0.0,0.0,14,0,0,12,10,10.0,23,35,22,281.0,49.0,18,7,22,925,1.3015415789559484,29.183984314033296
22,22,0,0,0,10.000000000000002,20,10.0,6.79453303691643,5,9.0,37.734103154327336,5,28.0,60.86695805775852,8,72.375,52.00000000000001,20,52.0,0,1.0730000000000004,14386,220,0,0.0,2200.0000000000005,False,-0.15293731539218905,5,1.3390000000000002,14380,240,0,0.0,2400.0000000000005,False,-0.14779564599059183,0,0.2,31030,0,0,0.0,0.0,False,0.042254467284697034,0,0.2,31941,0,101,0.5,3811.144418587061,False,0.13685920359040482,0,1.082,44000,0,0,0.0,0.0,False,0.05962816684327136,3,1.0220000000000002,42932,0,5,0.5,304.3347902887926,False,0.03757266629285222,0,0.7400000000000002,52411,7,45,1.0,2766.06870640431,False,-0.041941363992196515,13,1.9590000000000003,40781,175,0,0.0,10651.71766010774,False,-0.1788480858064459,0.25,271861,0.0,0.0,15,0,0,10,9,9.0,26,36,27,220.0,59.0,16,6,27,1089,1.0861058139707893,30.270090128004085
23,27,0,0,0,10.000000000000002,20,10.0,6.856083091680107,6,7.666666666666667,38.11643159905246,5,43.0,61.14016196614803,4,71.0,52.00000000000001,20,52.0,1,1.0830000000000002,14248,232,0,0.0,2320.0000000000005,False,-0.1572038070233016,5,1.3840000000000003,14250,248,0,0.0,2480.0000000000005,False,-0.1527185209495679,0,0.2,31030,0,0,0.0,0.0,False,0.042254467284697034,0,0.2,32110,0,102,0.6,3887.876023103351,False,0.1438243319747305,0,1.0820000000000003,43785,0,5,0.5,305.7008098307401,False,0.058131451808962786,0,1.0190000000000001,43216,0,1,0.0,61.14016196614803,False,0.041483722208435464,0,0.7400000000000002,52983,0,41,0.7,2132.0000000000005,False,-0.03740048798731945,9,2.0360000000000005,40328,179,0,0.0,10944.088991940496,False,-0.1843123742903658,0.22499999999999998,271950,0.0,0.0,16,0,0,15,7,7.0,17,32,30,215.0,86.0,15,12,30,1271,1.1841359539539553,31.45422608195804
24,30,0,0,0,10.000000000000002,20,10.0,6.878666796699282,6,7.166666666666667,38.517041127699905,10,41.0,61.055294319117145,6,59.166666666666664,52.00000000000001,20,52.0,1,1.0920000000000003,14132,242,0,0.0,2420.0000000000005,False,-0.1608139153265507,5,1.4290000000000003,14095,258,0,0.0,2580.0000000000005,False,-0.15846187506837325,0,0.2,31030,0,0,0.0,0.0,False,0.042254467284697034,0,0.2,32477,0,98,0.6,3774.6700305145905,False,0.15425013486689831,0,1.0820000000000003,43792,0,6,0.5,366.3317659147029,False,0.05903010025424694,1,1.0290000000000001,43107,0,5,0.5,305.27647159558575,False,0.04179843550230693,0,0.7400000000000002,53503,0,31,0.0,1612.0000000000002,False,-0.032769951379365614,10,2.1270000000000002,39793,185,0,0.0,11295.229449036671,False,-0.19071373088535257,0.2,271929,0.0,0.0,18,0,0,18,6,6.0,19,37,23,209.0,94.0,16,14,23,1411,1.1880857729702257,32.642311854928266
