index,n_registered_negotiations_before,n_contracts_dropped,n_contracts_nullified_now,n_bankrupt,trading_price_0,sold_quantity_0,unit_price_0,trading_price_1,sold_quantity_1,unit_price_1,trading_price_2,sold_quantity_2,unit_price_2,trading_price_3,sold_quantity_3,unit_price_3,trading_price_4,sold_quantity_4,unit_price_4,spot_market_quantity_00Ind@0,spot_market_loss_00Ind@0,balance_00Ind@0,inventory_00Ind@0_input,inventory_00Ind@0_output,productivity_00Ind@0,assets_00Ind@0,bankrupt_00Ind@0,score_00Ind@0,spot_market_quantity_01Buy@0,spot_market_loss_01Buy@0,balance_01Buy@0,inventory_01Buy@0_input,inventory_01Buy@0_output,productivity_01Buy@0,assets_01Buy@0,bankrupt_01Buy@0,score_01Buy@0,spot_market_quantity_02Buy@1,spot_market_loss_02Buy@1,balance_02Buy@1,inventory_02Buy@1_input,inventory_02Buy@1_output,productivity_02Buy@1,assets_02Buy@1,bankrupt_02Buy@1,score_02Buy@1,spot_market_quantity_03Dec@1,spot_market_loss_03Dec@1,balance_03Dec@1,inventory_03Dec@1_input,inventory_03Dec@1_output,productivity_03Dec@1,assets_03Dec@1,bankrupt_03Dec@1,score_03Dec@1,spot_market_quantity_04Buy@2,spot_market_loss_04Buy@2,balance_04Buy@2,inventory_04Buy@2_input,inventory_04Buy@2_output,productivity_04Buy@2,assets_04Buy@2,bankrupt_04Buy@2,score_04Buy@2,spot_market_quantity_05Ran@2,spot_market_loss_05Ran@2,balance_05Ran@2,inventory_05Ran@2_input,inventory_05Ran@2_output,productivity_05Ran@2,assets_05Ran@2,bankrupt_05Ran@2,score_05Ran@2,spot_market_quantity_06MyA@3,spot_market_loss_06MyA@3,balance_06MyA@3,inventory_06MyA@3_input,inventory_06MyA@3_output,productivity_06MyA@3,assets_06MyA@3,bankrupt_06MyA@3,score_06MyA@3,spot_market_quantity_07Dec@3,spot_market_loss_07Dec@3,balance_07Dec@3,inventory_07Dec@3_input,inventory_07Dec@3_output,productivity_07Dec@3,assets_07Dec@3,bankrupt_07Dec@3,score_07Dec@3,productivity,market_size,production_failures,bankruptcy,n_contracts_executed,n_contracts_erred,n_contracts_nullified,n_contracts_cancelled,n_breaches,breach_level,n_contracts_signed,n_contracts_concluded,n_negotiations,n_negotiation_rounds_successful,n_negotiation_rounds_failed,n_negotiation_successful,n_negotiation_failed,n_registered_negotiations_after,activity_level,step_time,total_time
10,13,0,0,0,10.000000000000002,20,10.0,28.681649298640913,33,31.12121212121212,40.55956678700361,39,47.07692307692308,19.4055242861272,7,2.0,60.0,8,60.0,18,0.56,32209,10,10,1.0,386.8164929864091,False,0.08409141311161977,5,0.6460000000000001,28078,100,0,0.0,1000.0000000000002,False,-0.0438622904747566,0,0.2,41775,52,0,0.0,1491.4457635293275,False,-0.024194540865985978,0,0.2,42200,73,14,1.0,2661.594333818837,False,-0.001014408103054077,0,0.398,58044,37,0,0.0,1500.7039711191337,False,-0.025437981972856072,7,0.675,57026,11,0,0.0,446.1552346570397,False,-0.05105210400754995,0,0.2,74791,0,10,0.0,600.0,False,0.0017743269564289336,8,0.31600000000000006,77639,0,7,0.7,420.0,False,0.03856826489500787,0.3375,411762,0.0,0.0,9,0,0,9,6,5.888888888888889,11,20,9,152.0,67.0,9,4,9,2342,0.8544519860297441,15.78404350578785
11,9,0,0,0,10.000000000000002,20,10.0,27.861546037869143,40,24.75,45.232512890359,28,57.714285714285715,19.51923230784933,5,21.0,60.00000000000001,9,60.0,0,0.542,32439,12,10,1.0,398.6154603786914,False,0.09198393155305785,30,0.9410000000000003,27658,108,0,0.0,1080.0000000000002,False,-0.056575997858744016,0,0.2,41425,62,0,0.0,1727.4158543478868,False,-0.029519037815859045,14,0.34,42658,93,10,1.0,3043.44891042542,False,0.01387778439960318,5,0.44800000000000006,57518,45,0,0.0,2035.4630800661548,False,-0.029724816588488502,0,0.6680000000000001,55786,31,0,0.0,1402.207899601129,False,-0.06368240896085527,0,0.2,74791,0,10,0.0,600.0000000000001,False,0.0017743269564289336,2,0.328,77932,0,5,0.5,300.00000000000006,False,0.04167667226980443,0.3125,410207,0.0,0.0,9,0,0,6,5,4.366666666666667,11,17,10,113.0,36.0,7,2,10,1286,0.7169679366052151,16.501011442393064
12,10,0,0,0,10.000000000000002,20,10.0,27.164738693539523,38,24.0,45.232512890359,0,,19.866805359029545,7,23.0,60.0,17,60.0,23,0.7720000000000002,32542,12,10,1.0,391.6473869353953,False,0.09531344954557519,5,0.9610000000000003,27483,118,0,0.0,1180.0000000000002,False,-0.060758138445581984,0,0.2,41425,62,0,0.0,1684.2137989994503,False,-0.030014758473901875,0,0.32600000000000007,41746,121,20,1.0,4191.5836397254625,False,0.006122589096103966,7,0.5130000000000001,57322,45,0,0.0,2035.4630800661548,False,-0.03297366871598937,0,0.6680000000000001,55786,31,0,0.0,1402.207899601129,False,-0.06368240896085527,0,0.2,74791,0,10,0.0,600.0,False,0.0017743269564289336,12,0.44600000000000006,77792,0,7,0.7,420.0,False,0.04060940793511033,0.3375,408887,0.0,0.0,7,0,0,9,7,6.2057142857142855,8,17,13,121.0,53.0,7,3,13,472,0.7796216960996389,17.280633138492703
13,13,0,0,0,10.000000000000002,20,10.0,27.20771575782238,33,27.454545454545453,48.86521805528286,45,56.333333333333336,18.957036385242475,14,14.857142857142856,59.99999999999999,12,60.0,13,0.8790000000000002,32818,14,10,1.0,412.0771575782238,False,0.10488937665325417,10,1.0560000000000003,27208,126,0,0.0,1260.0000000000002,False,-0.06862056274883736,0,0.2,41180,69,0,0.0,1877.3323872897442,False,-0.03342131512002587,25,0.5760000000000001,42535,137,10,1.0,4216.109239374495,False,0.024510719901026864,8,0.5860000000000001,57098,45,0,0.0,2198.934812487729,False,-0.03533180715337791,6,0.7280000000000002,52948,76,0,0.0,3713.7565722014974,False,-0.09156660501415986,0,0.2,74791,0,10,0.0,599.9999999999999,False,0.0017743269564289336,5,0.4840000000000001,77949,4,10,1.0,675.8281455409698,False,0.04441039078911497,0.375,406527,0.0,0.0,8,0,0,8,10,8.485714285714286,12,20,13,140.0,57.0,9,4,13,745,0.7793795233592391,18.060012661851943
14,13,0,0,0,10.000000000000002,20,10.0,26.680530934804494,42,24.166666666666668,49.283237919883064,8,55.75,18.727656822076433,15,17.666666666666668,59.99999999999999,8,60.0,0,0.8660000000000001,33014,15,11,1.0,443.4858402828495,False,0.11197239520028864,33,1.3760000000000003,26743,135,0,0.0,1350.0000000000002,False,-0.08267255512061293,0,0.2,40874,78,0,0.0,2081.0814129147507,False,-0.03810577839455252,0,0.5510000000000002,42272,160,12,1.0,4860.283804607316,False,0.025866710322516532,10,0.6780000000000002,56753,45,0,0.0,2217.7457063947377,False,-0.04089454734543307,5,0.772,52292,84,0,0.0,4139.791985270177,False,-0.0989093803538085,0,0.2,74791,0,10,0.0,599.9999999999999,False,0.0017743269564289336,0,0.4790000000000001,78164,9,12,1.0,888.5489113986878,False,0.048697596730160116,0.375,404903,0.0,0.0,10,0,0,4,5,5.0,15,19,15,150.0,69.0,9,4,15,1432,0.8005020208656788,18.86051468271762
15,15,0,0,0,10.000000000000002,20,10.0,25.403155218698068,41,18.609756097560975,49.283237919883064,0,,18.685222047917943,12,18.416666666666668,59.99999999999999,9,60.0,15,1.016,33132,11,10,1.0,364.03155218698066,False,0.11459117990208735,15,1.4930000000000003,26268,149,0,0.0,1490.0000000000002,False,-0.09622269062196795,0,0.2,40874,78,0,0.0,1981.4461070584493,False,-0.039249040653374055,0,0.5510000000000002,41509,191,22,1.0,5936.233881008758,False,0.020702626288109618,10,0.7680000000000002,56398,45,0,0.0,2217.7457063947377,False,-0.046778947882488216,2,0.7870000000000001,52199,84,0,0.0,4139.791985270177,False,-0.10045092753675534,0,0.2,74791,0,10,0.0,599.9999999999999,False,0.0017743269564289336,0,0.47900000000000004,78483,11,13,1.0,985.5374425270973,False,0.053600265765676114,0.375,403654,0.0,0.0,7,0,0,9,8,7.576923076923077,14,23,16,194.0,48.0,12,3,16,740,2.500454586930573,21.360969269648194
16,16,0,0,0,10.000000000000002,20,10.0,25.513101189856485,28,26.428571428571427,49.63590365444822,5,58.0,18.298646392759263,2,3.0,59.99999999999999,0,,8,1.0810000000000002,33418,13,10,1.0,385.1310118985649,False,0.12451288119205345,10,1.5780000000000003,25993,157,0,0.0,1570.0000000000002,False,-0.10408511492522332,0,0.2,40559,87,0,0.0,2219.6398035175143,False,-0.04374481005717145,0,0.5510000000000002,41374,200,27,1.0,6442.789636641399,False,0.023416978045225377,0,0.758,56398,45,0,0.0,2233.61566445017,False,-0.04664741944628475,2,0.8050000000000002,51813,89,0,0.0,4417.595425245891,False,-0.1045467733159352,0,0.2,74791,0,10,0.0,599.9999999999999,False,0.0017743269564289336,0,0.4790000000000001,78477,3,23,1.0,1434.8959391782776,False,0.056517622796621245,0.375,402823,0.0,0.0,7,0,0,7,4,3.888888888888889,15,22,17,200.0,28.0,13,3,17,805,0.8762498563155532,22.237219125963748
17,17,0,0,0,10.000000000000002,20,10.0,25.23947314999445,18,21.666666666666668,49.63590365444822,0,,17.602619437445842,13,13.692307692307692,59.99999999999999,8,60.0,0,1.0730000000000002,33598,13,12,1.0,432.8736777999334,False,0.1313338298002598,10,1.6680000000000004,25698,167,0,0.0,1670.0000000000002,False,-0.11228211047542574,0,0.2,40279,95,0,0.0,2397.7499492494726,False,-0.04812679346816445,0,0.5510000000000002,41264,200,37,1.0,6884.423065213474,False,0.025960104018513733,5,0.808,56248,45,0,0.0,2233.61566445017,False,-0.049133785870392556,8,0.8830000000000002,51445,89,0,0.0,4417.595425245891,False,-0.11064665894307969,0,0.2,75271,0,2,0.0,119.99999999999999,False,0.004976119960511219,0,0.4790000000000001,78299,6,33,1.0,2085.615716624675,False,0.05848352221660587,0.375,402102,0.0,0.0,9,0,0,8,5,5.0,14,22,9,175.0,30.0,12,5,9,960,0.857143696397543,23.09436282236129
18,9,0,0,0,10.000000000000002,20,10.0,25.308341913794614,14,26.428571428571427,49.63590365444822,0,,17.267569897599472,11,14.909090909090908,59.99999999999999,0,,0,1.0730000000000002,33843,10,13,1.0,429.00844487933,False,0.139466165560563,5,1.7080000000000004,25483,180,0,0.0,1800.0000000000002,False,-0.1173006791796313,0,0.2,39964,104,0,0.0,2632.06755903464,False,-0.05266703890952798,0,0.5510000000000002,41209,195,47,1.0,7268.014144949017,False,0.029099416465278468,5,0.8530000000000002,56098,45,0,0.0,2233.61566445017,False,-0.051620152294500364,6,0.9350000000000003,51188,89,0,0.0,4417.595425245891,False,-0.11490663341638441,0,0.2,75271,0,2,0.0,119.99999999999999,False,0.004976119960511219,0,0.4790000000000001,78135,7,43,1.0,2700.8729892831957,False,0.06039964372904297,0.375,401191,0.0,0.0,5,0,0,4,4,4.0,12,16,13,76.0,42.0,5,4,13,515,0.6739449892193079,23.7683078115806
19,13,0,0,0,10.000000000000002,20,10.0,25.854816260677776,13,35.0,49.50968495963121,4,46.0,17.488193912298968,5,21.0,59.99999999999999,0,,0,1.0730000000000002,34168,13,10,1.0,388.54816260677774,False,0.1496628887317538,0,1.7030000000000003,25413,187,0,0.0,1870.0000000000002,False,-0.11847167854394593,0,0.2,39824,108,0,0.0,2792.3201561531996,False,-0.0540410768083396,0,0.5510000000000002,41078,194,53,1.0,7639.847657431943,False,0.03035969773301131,5,0.8980000000000001,55764,49,0,0.0,2425.974563021929,False,-0.05556221250955655,0,0.9290000000000003,51188,89,0,0.0,4406.361961407178,False,-0.1149997351074344,0,0.2,75271,0,2,0.0,119.99999999999999,False,0.004976119960511219,0,0.47900000000000004,78030,2,53,1.0,3214.9763878245976,False,0.062428135674808566,0.375,400736,0.0,0.0,8,0,0,8,1,1.0,11,19,13,151.0,42.0,9,4,13,839,0.7882012762129307,24.55650908779353
20,13,0,0,0,10.000000000000002,20,10.0,25.400736817082997,28,22.035714285714285,50.14082351928976,11,56.09090909090909,17.423026008647284,7,16.714285714285715,59.99999999999999,0,,2,1.0930000000000002,34462,10,10,1.0,354.00736817083,False,0.1589214655587479,16,1.8630000000000004,24936,200,0,0.0,2000.0000000000005,False,-0.13225601391816388,0,0.2,39614,114,0,0.0,2895.6839971474615,False,-0.05767430869595577,0,0.5510000000000002,41288,206,52,1.0,7839.874607322165,False,0.037474177938292254,5,0.9430000000000001,55436,53,0,0.0,2657.4636465223575,False,-0.05908051147439573,2,0.9490000000000003,50659,96,0,0.0,4813.519057851817,False,-0.12039384824999733,0,0.2,75271,0,2,0.0,119.99999999999999,False,0.004976119960511219,0,0.4790000000000001,77913,0,62,0.9,3719.9999999999995,False,0.06423597214440087,0.3625,399579,0.0,0.0,9,0,0,7,7,6.333333333333333,10,17,15,113.0,58.0,7,6,15,1027,0.7079674648120999,25.26447655260563
21,15,0,0,0,10.000000000000002,20,10.0,24.63802133453363,12,11.166666666666666,50.76690138822645,7,60.0,16.866984714341754,3,3.0,59.99999999999999,0,,0,1.0910000000000002,34429,10,14,1.0,444.93229868347083,False,0.15933842381283206,6,1.9070000000000005,24730,210,0,0.0,2100.0000000000005,False,-0.13747532537053767,0,0.2,39614,114,0,0.0,2808.7344321368337,False,-0.058672008810822386,0,0.5510000000000002,41574,208,55,1.0,7916.88801393545,False,0.044921262351525465,0,0.9380000000000002,55436,53,0,0.0,2690.645773576002,False,-0.058805501719106854,3,0.9770000000000001,50095,103,0,0.0,5228.990842987325,False,-0.12629920234889258,0,0.2,75271,0,2,0.0,119.99999999999999,False,0.004976119960511219,0,0.4790000000000001,77904,0,65,0.3,3899.9999999999995,False,0.06531657728327864,0.2875,399053,0.0,0.0,9,0,0,8,3,3.0,11,19,15,132.0,78.0,8,7,15,687,0.7332257945090532,25.997702347114682
22,15,0,0,0,10.000000000000002,20,10.0,25.12251947907214,11,34.0,50.76690138822645,0,,16.671770403809454,1,3.0,60.0,2,60.0,0,1.0910000000000002,34773,3,13,1.0,356.5927532279378,False,0.16936988111392035,0,1.9010000000000002,24560,227,0,0.0,2270.0000000000005,False,-0.14031918096958748,0,0.2,39614,114,0,0.0,2863.967220614224,False,-0.05803824187476503,0,0.5510000000000002,41200,209,65,1.0,8550.455161360796,False,0.04360820609708309,0,0.9380000000000002,55436,53,0,0.0,2690.645773576002,False,-0.058805501719106854,1,0.9840000000000002,50047,103,0,0.0,5228.990842987325,False,-0.1270948396046071,0,0.2,75391,0,0,0.0,0.0,False,0.005776568211531791,0,0.4790000000000001,77901,0,66,0.1,3960.0,False,0.06567677899623789,0.2625,398922,0.0,0.0,7,0,0,8,1,1.0,11,19,14,150.0,57.0,9,6,14,694,0.7311350144445896,26.728837361559272
23,14,0,0,0,10.000000000000002,20,10.0,24.972230130942055,9,21.77777777777778,51.17658853874778,19,53.31578947368421,14.458434749665294,12,2.6666666666666665,60.0,0,,0,1.0910000000000002,34827,6,15,1.0,434.5834519641308,False,0.17248123811375649,1,1.9110000000000005,24474,234,0,0.0,2340.0000000000005,False,-0.14202549432901737,0,0.2,39614,114,0,0.0,2846.8342349273944,False,-0.05823483379314529,0,0.5510000000000002,42017,208,56,1.0,8060.112825405823,False,0.05673107085950462,0,0.9380000000000002,55248,57,0,0.0,2917.0655467086235,False,-0.060045205898418524,12,1.1030000000000002,48565,118,0,0.0,6038.837447572238,False,-0.14494822185373338,0,0.2,75391,0,0,0.0,0.0,False,0.005776568211531791,0,0.47900000000000004,77869,2,76,1.0,4588.9168694993305,False,0.06944500166426093,0.375,398005,0.0,0.0,10,0,0,8,4,4.0,12,20,14,119.0,35.0,8,6,14,1397,0.6763070477172732,27.405144409276545
24,14,0,0,0,10.000000000000002,20,10.0,24.972230130942055,0,,51.33939943606548,2,60.0,14.458434749665294,0,,60.0,0,,0,1.0910000000000002,34747,4,25,1.0,664.3057532735514,False,0.17364759197821197,0,1.9100000000000004,24354,246,0,0.0,2460.0000000000005,False,-0.1440329218106996,0,0.2,39614,114,0,0.0,2846.8342349273944,False,-0.05823483379314529,0,0.5510000000000002,42137,198,64,1.0,8230.223129834718,False,0.061436868959664,0,0.9380000000000002,55248,57,0,0.0,2926.345767855732,False,-0.05996829246419026,0,1.0910000000000002,48445,120,0,0.0,6160.727932327857,False,-0.14592710029730424,0,0.2,75391,0,0,0.0,0.0,False,0.005776568211531791,0,0.4790000000000001,77869,0,78,0.2,4680.0,False,0.07005256276848368,0.275,397805,0.0,0.0,7,0,0,8,0,0.0,10,18,14,116.0,36.0,7,7,14,320,0.7311844127252698,28.136328822001815
