index,n_registered_negotiations_before,n_contracts_dropped,n_contracts_nullified_now,n_bankrupt,trading_price_0,sold_quantity_0,unit_price_0,trading_price_1,sold_quantity_1,unit_price_1,trading_price_2,sold_quantity_2,unit_price_2,trading_price_3,sold_quantity_3,unit_price_3,trading_price_4,sold_quantity_4,unit_price_4,spot_market_quantity_00Dec@0,spot_market_loss_00Dec@0,balance_00Dec@0,inventory_00Dec@0_input,inventory_00Dec@0_output,productivity_00Dec@0,assets_00Dec@0,bankrupt_00Dec@0,score_00Dec@0,spot_market_quantity_01Dec@0,spot_market_loss_01Dec@0,balance_01Dec@0,inventory_01Dec@0_input,inventory_01Dec@0_output,productivity_01Dec@0,assets_01Dec@0,bankrupt_01Dec@0,score_01Dec@0,spot_market_quantity_02MyA@1,spot_market_loss_02MyA@1,balance_02MyA@1,inventory_02MyA@1_input,inventory_02MyA@1_output,productivity_02MyA@1,assets_02MyA@1,bankrupt_02MyA@1,score_02MyA@1,spot_market_quantity_03Ind@1,spot_market_loss_03Ind@1,balance_03Ind@1,inventory_03Ind@1_input,inventory_03Ind@1_output,productivity_03Ind@1,assets_03Ind@1,bankrupt_03Ind@1,score_03Ind@1,spot_market_quantity_04Dec@2,spot_market_loss_04Dec@2,balance_04Dec@2,inventory_04Dec@2_input,inventory_04Dec@2_output,productivity_04Dec@2,assets_04Dec@2,bankrupt_04Dec@2,score_04Dec@2,spot_market_quantity_05Ran@2,spot_market_loss_05Ran@2,balance_05Ran@2,inventory_05Ran@2_input,inventory_05Ran@2_output,productivity_05Ran@2,assets_05Ran@2,bankrupt_05Ran@2,score_05Ran@2,spot_market_quantity_06Dec@3,spot_market_loss_06Dec@3,balance_06Dec@3,inventory_06Dec@3_input,inventory_06Dec@3_output,productivity_06Dec@3,assets_06Dec@3,bankrupt_06Dec@3,score_06Dec@3,spot_market_quantity_07Ran@3,spot_market_loss_07Ran@3,balance_07Ran@3,inventory_07Ran@3_input,inventory_07Ran@3_output,productivity_07Ran@3,assets_07Ran@3,bankrupt_07Ran@3,score_07Ran@3,productivity,market_size,production_failures,bankruptcy,n_contracts_executed,n_contracts_erred,n_contracts_nullified,n_contracts_cancelled,n_breaches,breach_level,n_contracts_signed,n_contracts_concluded,n_negotiations,n_negotiation_rounds_successful,n_negotiation_rounds_failed,n_negotiation_successful,n_negotiation_failed,n_registered_negotiations_after,activity_level,step_time,total_time
10,30,0,0,0,10.000000000000002,20,10.0,20.507076514809985,37,21.10810810810811,31.920509976122414,45,36.666666666666664,25.12048527905104,14,36.357142857142854,49.0,20,49.0,5,0.322,16686,1,10,1.0,215.07076514809984,False,0.07609479575637892,0,0.2,15914,11,26,1.0,643.1839893850596,False,0.04034294468105406,0,0.2,21795,0,0,0.0,0.0,False,0.01306126243376406,35,0.9640000000000002,19604,102,10,1.0,2410.9269042718424,False,-0.03274781760082169,0,0.39800000000000013,33228,51,19,1.0,2105.2352290842127,False,-0.020581765819773577,9,3.512000000000001,6689.0,72,0,0.0,2298.276718280814,False,-0.7760595880363301,0,0.2,45223,172,16,1.0,5104.723467996779,False,0.0014119588747880914,10,0.8940000000000001,42626,149,0,0.0,3742.9523065786047,False,-0.06729529317327697,0.625,201765,0.0,0.0,14,0,0,11,9,8.047619047619047,17,28,31,176.0,76.0,15,15,31,1446,3.829153692990076,32.72759806306567
11,31,0,0,0,10.000000000000002,20,10.0,20.507076514809985,0,,31.55403003134707,5,21.0,24.346996944863687,12,7.0,49.0,20,49.0,0,0.31700000000000006,16586,1,20,1.0,420.1415302961997,False,0.076257257794957,0,0.2,15814,11,36,1.0,848.2547545331595,False,0.04050540671963213,0,0.2,21795,0,0,0.0,0.0,False,0.01306126243376406,0,0.9290000000000003,19709,92,15,1.0,2359.9614898327245,False,-0.02905174561139892,0,0.398,33228,41,29,1.0,1999.7781426862769,False,-0.022088252582979365,12,3.623000000000001,6058.0,77,0,0.0,2429.6603124137246,False,-0.7922107895143893,0,0.2,45762,162,15,1.0,4679.213505067917,False,0.008250330186424926,9,0.9740000000000002,42394,161,0,0.0,3919.8665081230533,False,-0.07030407365512013,0.625,201346,0.0,0.0,11,0,0,10,5,5.0,22,32,30,266.0,98.0,18,13,30,844,1.8683158360072412,34.59591389907291
12,30,0,0,0,10.000000000000002,20,10.0,20.507076514809985,0,,31.78886405583616,26,33.0,22.93906682340851,62,17.193548387096776,49.00000000000001,20,49.0,0,0.31700000000000006,16486,1,30,1.0,625.2122954442996,False,0.07641971983353507,0,0.2,15714,11,46,1.0,1053.3255196812593,False,0.040667868758210324,0,0.2,21795,0,0,0.0,0.0,False,0.01306126243376406,11,1.0390000000000001,20259,82,10,1.0,1999.4689147727804,False,-0.011865089830510905,0,0.398,33054,57,21,1.0,2293.68565447424,False,-0.022860980336644195,44,4.051,3151.0,77,0,0.0,2447.7425322993845,False,-0.8750072493314566,0,0.2,45522,201,16,1.0,5394.7524315051105,False,0.010718877667321124,11,1.0750000000000002,41804,174,0,0.0,3991.3976272730806,False,-0.08192129593283014,0.625,197785,0.0,0.0,13,0,0,12,11,10.423076923076923,20,32,35,252.0,83.0,17,13,35,1325,1.9218789539881982,36.51779285306111
13,35,0,0,0,10.000000000000002,20,10.0,20.88177693600165,14,25.0,30.966019702849977,13,21.846153846153847,23.744245250975453,48,28.5,49.000000000000014,20,49.0,0,0.31700000000000006,16396,0,40,1.0,835.2710774400659,False,0.07738277192874758,0,0.2,15954,12,42,1.0,997.0346313120693,False,0.054243067772397416,0,0.2,21795,0,0,0.0,0.0,False,0.01306126243376406,3,1.058,20109,86,10,1.0,2105.493013524642,False,-0.016373221773620907,0,0.398,33409,47,26,1.0,2072.7533025593107,False,-0.015874499263459404,43,4.437,1030.0,90,0,0.0,2786.941773256498,False,-0.9307599529548227,0,0.2,45463,220,13,1.0,5860.7339552145995,False,0.014365871082571062,7,1.1340000000000001,41027,193,0,0.0,4582.639333438263,False,-0.09201140968560556,0.625,195183,0.0,0.0,14,0,0,15,9,8.6,19,34,37,273.0,113.0,20,15,37,1726,1.9458692629705183,38.46366211603163
14,37,0,0,0,10.000000000000002,20,10.0,21.389478976465373,29,24.03448275862069,31.88448569399326,16,40.0,27.156674991068424,63,43.317460317460316,49.00000000000001,20,49.0,0,0.31700000000000006,16236,6,50,1.0,1129.4739488232688,False,0.0765562587730125,0,0.2,16611,6,23,1.0,551.9580164587036,False,0.08208246880874992,0,0.2,21795,0,0,0.0,0.0,False,0.01306126243376406,6,1.1150000000000002,19884,105,10,1.0,2564.7401494687965,False,-0.016158312041721794,14,0.5380000000000001,34979,37,10,1.0,1451.2927205884348,False,0.020103607333910936,23,4.6240000000000006,-512.0,106,0,0.0,3379.7554835632855,False,-0.966347311740189,0,0.2,43560,255,15,1.0,7659.952122722449,False,-0.0066660505290260874,12,1.247,40365,211,0,0.0,5730.058423115437,False,-0.0938620522436967,0.625,192918,0.0,0.0,12,0,0,13,11,9.725,23,36,34,288.0,71.0,21,16,34,1289,1.5973526629968546,40.06101477902848
15,34,0,0,0,10.000000000000002,20,10.0,21.580559852016385,19,23.210526315789473,31.74508005300886,1,12.0,26.850669493607178,30,23.533333333333335,49.00000000000001,20,49.0,0,0.31700000000000006,16597,4,41,1.0,924.8029539326718,False,0.09313094175101481,0,0.2,16491,8,33,1.0,792.1584751165407,False,0.08208889129554475,0,0.2,21795,0,0,0.0,0.0,False,0.01306126243376406,0,1.1090000000000002,19455,114,19,1.0,3063.3403441370365,False,-0.024511008084571927,4,0.5640000000000001,35365,28,10,1.0,1157.3689364203199,False,0.02693307243250645,16,4.761000000000001,-1304.0,106,0,0.0,3364.978485618939,False,-0.9891863305959981,0,0.2,43655,258,16,1.0,7711.472729350652,False,-0.004134812512045585,11,1.3450000000000002,39796,228,0,0.0,6121.952644542436,False,-0.10168155608553658,0.625,191850,0.0,0.0,15,0,0,9,8,7.444444444444445,25,34,41,276.0,66.0,19,15,41,1384,1.7920204430120066,41.85303522204049
16,41,0,0,0,10.000000000000002,20,10.0,21.851074219796118,14,25.0,31.74508005300886,0,,25.48249994872937,34,12.617647058823529,49.0,20,49.0,0,0.31700000000000006,16847,4,37,1.0,848.4897461324564,False,0.10670542567385807,0,0.2,16391,8,43,1.0,1019.596191451233,False,0.08296796717452358,0,0.2,21795,0,0,0.0,0.0,False,0.01306126243376406,0,1.1090000000000002,19105,118,29,1.0,3499.034079473199,False,-0.0306536655323697,0,0.56,35365,18,20,1.0,1081.061439928747,False,0.02584299648479678,34,5.085000000000001,-3340.0,106,0,0.0,3364.978485618939,False,-1.0473560971740958,0,0.2,44143,264,13,1.0,7364.379986464553,False,0.002456401300248965,7,1.4040000000000001,39415,246,0,0.0,6268.694987387425,False,-0.1081297163223419,0.625,189721,0.0,0.0,14,0,0,9,7,7.0,24,33,37,236.0,104.0,19,22,37,1187,2.059537419001572,43.91257264104206
17,37,0,0,0,10.000000000000002,20,10.0,21.631900385702128,41,20.78048780487805,32.046697692184665,6,38.5,27.443850545882118,42,42.30952380952381,49.0,20,49.0,0,0.31700000000000006,17214,0,23,1.0,497.5337088711489,False,0.1189777556347285,0,0.2,16676,12,36,1.0,898.7484138852766,False,0.097358336982099,0,0.2,21795,0,0,0.0,0.0,False,0.01306126243376406,0,1.1090000000000002,18484,149,33,1.0,4280.694181311711,False,-0.041352278021016355,0,0.56,36337,11,14,1.0,736.7275822563809,False,0.048694717040318594,26,5.311000000000001,-9102.0,109,0,0.0,3493.0900484481285,False,-1.2101498521692506,0,0.2,44535,254,15,1.0,7705.738038654058,False,0.01425062923046513,12,1.5170000000000001,37410,288,0,0.0,7903.82895721405,False,-0.13301931586721252,0.625,183349,0.0,0.0,16,0,0,13,7,35.62698412698413,20,33,46,229.0,105.0,18,19,46,2626,1.8807219869922847,45.793294628034346
18,46,0,0,0,10.000000000000002,20,10.0,21.631900385702128,0,,31.75509589189828,3,20.0,26.076205624393854,20,3.9,48.99999999999999,20,49.0,0,0.31700000000000006,17134,0,31,0.8,670.588911956766,False,0.1193960307560158,0,0.2,16556,14,46,1.0,1135.067417742298,False,0.09724040169621616,0,0.2,21795,0,0,0.0,0.0,False,0.01306126243376406,0,1.1090000000000002,18544,139,40,1.0,4277.037989288527,False,-0.03864836875317178,0,0.5600000000000002,36337,1,24,1.0,657.5840308773508,False,0.04756412718032839,20,5.485000000000001,-22837.0,112,0,0.0,3556.570739892607,False,-1.6016603705623753,0,0.2,44996,264,14,1.0,7570.118284839978,False,0.02249222651169591,9,1.5950000000000002,37262,288,0,0.0,7509.94721982543,False,-0.14024956799881114,0.6,169787,0.0,0.0,11,0,0,21,7,170.83333333333334,20,41,37,369.0,98.0,27,19,37,739,2.045473462960217,47.83876809099456
19,37,0,0,1,10.000000000000002,20,10.0,22.11754064634664,38,24.42105263157895,30.864646444255825,5,11.0,26.076205624393854,0,,48.999999999999986,20,49.0,0,0.31700000000000006,17519,2,20,1.0,462.3508129269328,False,0.13739429747939677,0,0.2,16899,12,39,1.0,982.5840852075189,False,0.1143337205308061,0,0.2,21795,0,0,0.0,0.0,False,0.01306126243376406,0,1.1090000000000002,17671,167,45,1.0,5082.538377931402,False,-0.06050621971898764,0,0.56,36282,0,30,0.6,782.2861687318156,False,0.047774151720405444,0,5.465000000000002,-26451.88888888889,112,0,0.0,3456.8404017566527,True,-1.70636463781065,0,0.2,45339,254,17,1.0,7456.356228596039,False,0.028489521973212417,13,1.7160000000000002,37005,288,0,0.0,7509.94721982543,False,-0.1456365052001191,0.575,192510,0.0,0.1,15,0,0,12,12,816.4594235767481,19,31,34,224.0,91.0,18,19,34,1526,1.5264530120184645,49.36522110301303
20,34,0,0,0,10.000000000000002,20,10.0,21.987574492254872,38,21.31578947368421,29.37031863615163,56,26.571428571428573,26.076205624393854,0,,48.99999999999999,20,49.0,0,0.31700000000000006,17553,3,24,1.0,557.7017878141169,False,0.1426278927276086,0,0.2,17475,11,17,1.0,483.7887663683328,False,0.1352617187738157,0,0.2,21795,0,0,0.0,0.0,False,0.01306126243376406,11,1.219,18041,195,10,1.0,4581.2802123512165,False,-0.054957697026326684,0,0.56,34794,46,40,1.0,2394.0828822387293,False,0.02828609014369199,0,5.465000000000002,-26451.88888888889,112,0,0.0,3289.4756872489825,True,-1.7087554939934402,0,0.2,45878,244,16,1.0,7146.5941723521,False,0.03654098025857399,9,1.7930000000000001,36862,288,0,0.0,7509.94721982543,False,-0.14863390605532156,0.625,192398,0.0,0.1,18,0,0,14,8,7.55,15,29,26,200.0,85.0,15,19,26,2377,1.4416718279826455,50.80689293099567
21,26,0,0,0,10.000000000000002,20,10.0,22.272037403252543,22,25.0,29.37031863615163,0,,26.613958885357086,12,40.5,48.99999999999999,20,49.0,0,0.31700000000000006,17983,5,12,1.0,317.26444883903054,False,0.16247803565420443,0,0.2,17395,9,27,1.0,691.3450098878187,False,0.1367853713279449,0,0.2,21795,0,0,0.0,0.0,False,0.01306126243376406,0,1.2080000000000002,17491,207,20,1.0,5197.718115196309,False,-0.0661960092219878,0,0.56,35280,36,38,1.0,2068.661908545028,False,0.03752266947437247,0,5.465000000000002,-26451.88888888889,112,0,0.0,3289.4756872489825,True,-1.7087554939934402,0,0.2,46466,234,14,1.0,6913.666379173558,False,0.046424775500687125,8,1.8640000000000003,36250,300,0,0.0,7984.187665607125,False,-0.15649170300990267,0.625,192660,0.0,0.1,15,0,0,14,6,6.0,12,26,22,174.0,98.0,12,14,22,1824,1.4725708609912544,52.27946379198693
22,22,0,0,0,10.000000000000002,20,10.0,22.187894070483292,46,21.80434782608696,29.37031863615163,0,,27.11256630932177,5,56.0,48.99999999999999,20,49.0,11,0.42700000000000005,18174,8,10,1.0,301.8789407048329,False,0.17422398246523232,0,0.2,17798,6,14,1.0,370.6305169867661,False,0.15233341397496997,0,0.2,21795,0,0,0.0,0.0,False,0.01306126243376406,0,1.2080000000000002,16488,243,30,1.0,6272.767818211989,False,-0.08783192762359428,0,0.56,35560,26,43,1.0,1929.4686358407785,False,0.04353402239708548,0,5.465000000000002,-26451.88888888889,112,0,0.0,3289.4756872489825,True,-1.7087554939934402,0,0.2,46725,229,13,1.0,6845.777684834686,False,0.0511421321878373,9,1.9460000000000002,36102,300,0,0.0,8133.769892796531,False,-0.15802622314080947,0.625,192642,0.0,0.1,17,0,0,11,8,427.8712522045856,14,25,20,133.0,63.0,10,12,20,1769,1.9763795749749988,54.255843366961926
23,20,0,0,0,10.000000000000002,20,10.0,22.187894070483292,0,,29.5248477219888,5,34.0,28.560419440605745,25,43.92,48.99999999999999,20,49.0,0,0.41600000000000004,18094,6,20,1.0,503.75788140966586,False,0.1755657401451257,0,0.2,17678,8,24,1.0,612.509457691599,False,0.15239361327987958,0,0.2,21795,0,0,0.0,0.0,False,0.01306126243376406,0,1.2080000000000002,16658,233,35,1.0,6203.148988692215,False,-0.08154808523072851,0,0.56,36488,21,28,1.0,1419.7135464987255,False,0.06276554307732239,0,5.465000000000002,-26451.88888888889,112,0,0.0,3306.7829448627454,True,-1.7085082545200856,0,0.2,47068,219,16,1.0,7038.7318574926585,False,0.06035394333751846,13,2.0670000000000006,34725,325,0,0.0,9282.136318196866,False,-0.174853941496218,0.625,192506,0.0,0.1,14,0,0,10,7,7.0,14,24,25,127.0,71.0,10,10,25,1811,1.3345207349630073,55.59036410192493
24,25,0,0,0,10.000000000000002,20,10.0,22.361792522857858,58,23.051724137931036,29.5248477219888,0,,29.048619459288926,10,41.8,48.99999999999999,20,49.0,8,0.4960000000000001,18487,6,10,1.0,283.6179252285786,False,0.1936953071007491,6,0.26,18156,8,10,1.0,303.6179252285786,False,0.1731262951822562,0,0.2,21795,0,0,0.0,0.0,False,0.01306126243376406,0,1.2080000000000002,15321,281,45,1.0,7612.281846412554,False,-0.11094445834311258,0,0.56,36906,11,28,1.0,1138.1346698019668,False,0.07068561855092657,0,5.465000000000002,-26451.88888888889,112,0,0.0,3306.7829448627454,True,-1.7085082545200856,0,0.2,47656,209,14,1.0,6757.161466991385,False,0.06972794360475584,8,2.134000000000001,34185,335,0,0.0,9731.28751886179,False,-0.1814655034914292,0.625,192506,0.0,0.1,18,0,0,6,7,293.44910282953765,17,23,32,136.0,87.0,9,16,32,1853,1.382740441011265,56.9731045429362
