index,n_registered_negotiations_before,n_contracts_dropped,n_contracts_nullified_now,n_bankrupt,trading_price_0,sold_quantity_0,unit_price_0,trading_price_1,sold_quantity_1,unit_price_1,trading_price_2,sold_quantity_2,unit_price_2,trading_price_3,sold_quantity_3,unit_price_3,trading_price_4,sold_quantity_4,unit_price_4,spot_market_quantity_00Buy@0,spot_market_loss_00Buy@0,balance_00Buy@0,inventory_00Buy@0_input,inventory_00Buy@0_output,productivity_00Buy@0,assets_00Buy@0,bankrupt_00Buy@0,score_00Buy@0,spot_market_quantity_01Dec@0,spot_market_loss_01Dec@0,balance_01Dec@0,inventory_01Dec@0_input,inventory_01Dec@0_output,productivity_01Dec@0,assets_01Dec@0,bankrupt_01Dec@0,score_01Dec@0,spot_market_quantity_02Ran@1,spot_market_loss_02Ran@1,balance_02Ran@1,inventory_02Ran@1_input,inventory_02Ran@1_output,productivity_02Ran@1,assets_02Ran@1,bankrupt_02Ran@1,score_02Ran@1,spot_market_quantity_03Buy@1,spot_market_loss_03Buy@1,balance_03Buy@1,inventory_03Buy@1_input,inventory_03Buy@1_output,productivity_03Buy@1,assets_03Buy@1,bankrupt_03Buy@1,score_03Buy@1,spot_market_quantity_04Ind@2,spot_market_loss_04Ind@2,balance_04Ind@2,inventory_04Ind@2_input,inventory_04Ind@2_output,productivity_04Ind@2,assets_04Ind@2,bankrupt_04Ind@2,score_04Ind@2,spot_market_quantity_05Ran@2,spot_market_loss_05Ran@2,balance_05Ran@2,inventory_05Ran@2_input,inventory_05Ran@2_output,productivity_05Ran@2,assets_05Ran@2,bankrupt_05Ran@2,score_05Ran@2,spot_market_quantity_06MyA@3,spot_market_loss_06MyA@3,balance_06MyA@3,inventory_06MyA@3_input,inventory_06MyA@3_output,productivity_06MyA@3,assets_06MyA@3,bankrupt_06MyA@3,score_06MyA@3,spot_market_quantity_07Dec@3,spot_market_loss_07Dec@3,balance_07Dec@3,inventory_07Dec@3_input,inventory_07Dec@3_output,productivity_07Dec@3,assets_07Dec@3,bankrupt_07Dec@3,score_07Dec@3,productivity,market_size,production_failures,bankruptcy,n_contracts_executed,n_contracts_erred,n_contracts_nullified,n_contracts_cancelled,n_breaches,breach_level,n_contracts_signed,n_contracts_concluded,n_negotiations,n_negotiation_rounds_successful,n_negotiation_rounds_failed,n_negotiation_successful,n_negotiation_failed,n_registered_negotiations_after,activity_level,step_time,total_time
10,11,0,0,0,10.000000000000002,20,10.0,26.91676419380295,21,31.571428571428573,17.597507123928892,3,25.0,19.381471864007747,27,21.48148148148148,47.000000000000014,9,47.0,0,0.2,25777,123,0,0.0,1230.0000000000002,False,-0.022771873958603327,2,0.29200000000000004,28567,3,10,1.0,299.16764193802953,False,0.06330150779312828,3,0.44600000000000006,36296,32,0,0.0,861.3364542016944,False,-0.03508306901631951,0,0.3350000000000001,36016,62,0,0.0,1668.839380015783,False,-0.03183175634470365,3,0.275,50616,0,0,0.0,0.0,False,0.032263327487049805,17,1.774,40905.0,10,0,0.0,175.97507123928892,False,-0.1639885072476314,0,0.2,68577,0,13,0.5,611.0000000000002,False,0.00023959573664798304,0,0.29000000000000004,67761,130,17,1.0,3318.5913423210077,False,0.008048901797120603,0.3125,354515,0.0,0.0,15,0,0,11,6,5.1,12,23,15,118.0,28.0,9,2,15,1411,1.0618094401434064,18.974262926727533
11,15,0,0,0,10.000000000000002,20,10.0,28.51868016693215,14,38.0,17.329946726536576,1,5.0,18.235336676340026,22,9.727272727272727,47.000000000000014,8,47.0,0,0.2,25707,130,0,0.0,1300.0000000000002,False,-0.024067834265190505,4,0.33000000000000007,28872,6,10,1.0,345.1868016693215,False,0.07544686195559148,1,0.45300000000000007,35735,46,0,0.0,1311.859287678879,False,-0.04390390300458626,0,0.3350000000000001,36016,62,0,0.0,1768.1581703497932,False,-0.03052705887302567,0,0.272,50611,0,1,0.1,18.235336676340026,False,0.03234730326585983,22,1.977,39921.0,10,0,0.0,173.29946726536576,False,-0.18408349851872824,0,0.2,68577,0,13,0.0,611.0000000000002,False,0.00023959573664798304,0,0.29000000000000004,67923,142,19,1.0,3482.4178080402835,False,0.011590754567132388,0.2625,353362,0.0,0.0,11,0,0,10,7,6.666666666666666,15,25,10,212.0,13.0,14,1,10,918,1.24195053614676,20.216213462874293
12,10,0,0,0,10.000000000000002,20,10.0,28.51868016693215,0,,13.712955885048949,13,1.9230769230769231,18.54445784413604,10,23.7,47.000000000000014,11,47.0,0,0.2,25647,136,0,0.0,1360.0000000000002,False,-0.025178657385122375,0,0.32600000000000007,28732,10,20,1.0,670.373603338643,False,0.07628343768909254,13,0.5820000000000001,35306,46,0,0.0,1311.859287678879,False,-0.05517498702539442,0,0.3350000000000001,36016,62,0,0.0,1768.1581703497932,False,-0.03052705887302567,0,0.272,50605,3,10,1.0,226.58344609650726,False,0.03434946614692369,9,2.045,39725.0,10,0,0.0,137.1295588504895,False,-0.18844954971192962,0,0.2,68577,0,13,0.0,611.0000000000002,False,0.00023959573664798304,0,0.29000000000000004,68203,142,18,1.0,3479.3130138673177,False,0.01563407932700701,0.375,352811,0.0,0.0,12,0,0,11,5,5.0,12,23,9,118.0,0.0,10,0,9,736,1.193996736779809,21.410210199654102
13,9,0,0,0,10.000000000000002,20,10.0,28.720109043798534,2,37.5,13.331805837382959,3,7.0,16.880319759921747,27,7.074074074074073,47.000000000000014,12,47.0,0,0.2,25537,147,0,0.0,1470.0000000000002,False,-0.027215166438330805,0,0.32600000000000007,28717,9,28,1.0,894.1630532263589,False,0.07987120104466174,3,0.5990000000000002,35150,48,0,0.0,1378.5652341023297,False,-0.05839728293176497,0,0.3350000000000001,36016,62,0,0.0,1780.6467607155091,False,-0.030363002985714014,0,0.272,50584,0,16,0.6,270.08511615874795,False,0.03436477868579709,27,2.3060000000000005,38261.0,10,0,0.0,133.3180583738296,False,-0.21834524963929286,0,0.2,68577,0,13,0.0,611.0000000000002,False,0.00023959573664798304,0,0.29000000000000004,68576,159,16,1.0,3435.9708418275577,False,0.020735710233116267,0.325,351418,0.0,0.0,12,0,0,8,6,6.0,11,19,10,115.0,18.0,7,2,10,839,1.0158534729853272,22.42606367263943
14,10,0,0,0,10.000000000000002,20,10.0,29.00575150898755,13,30.76923076923077,12.76621204071567,9,9.777777777777779,17.391918744600066,11,25.181818181818183,47.000000000000014,10,47.0,0,0.2,25427,158,0,0.0,1580.0000000000002,False,-0.02925167549153923,0,0.32600000000000007,29027,8,25,1.0,805.1437877246888,False,0.08970162897998087,5,0.6460000000000001,34856,52,0,0.0,1508.2990784673527,False,-0.06441727867075632,4,0.37500000000000006,35688,71,0,0.0,2059.408357138116,False,-0.03531858077428775,0,0.272,50781,0,19,0.8,330.44645614740125,False,0.03899790406806911,6,2.3390000000000004,37995.0,11,0,0.0,140.42833244787238,False,-0.22369755340735129,0,0.2,68577,0,13,0.0,611.0000000000002,False,0.00023959573664798304,0,0.29000000000000004,68769,160,16,1.0,3534.7069991360104,False,0.024255125890395975,0.35,351120,0.0,0.0,13,0,0,11,4,4.0,11,22,12,126.0,0.0,10,0,12,1335,1.3216879041865468,23.747751576825976
15,12,0,0,0,10.000000000000002,20,10.0,30.125585666711466,16,36.0,12.76621204071567,0,,19.42922140053445,11,49.18181818181818,47.000000000000014,11,47.0,0,0.2,25347,166,0,0.0,1660.0000000000002,False,-0.030732772984781723,0,0.32600000000000007,29483,10,19,1.0,672.3861276675178,False,0.1041283024339526,0,0.6410000000000001,34280,68,0,0.0,2048.5398253363796,False,-0.07245363058514552,0,0.37100000000000005,35688,71,0,0.0,2138.9165823365142,False,-0.03427412403004942,0,0.272,51321,0,9,0.0,174.86299260481005,False,0.04842418518379916,1,2.343000000000001,37953.0,11,0,0.0,140.42833244787238,False,-0.2245541019247066,0,0.2,68577,0,13,0.0,611.0000000000002,False,0.00023959573664798304,0,0.29000000000000004,68745,161,15,1.0,3833.104645486046,False,0.026073132209552232,0.25,351394,0.0,0.0,14,0,0,11,1,1.0,12,23,11,176.0,15.0,11,1,11,1833,1.279943075031042,25.02769465185702
16,11,0,0,0,10.000000000000002,20,10.0,30.82233289547322,15,35.0,15.051715580595536,13,24.0,18.175740958969108,15,5.266666666666667,47.000000000000014,8,47.0,0,0.2,25257,175,0,0.0,1750.0000000000002,False,-0.03239900766467953,0,0.32600000000000007,29898,11,14,1.0,541.5126605366252,False,0.11707173437509949,0,0.6410000000000002,33755,83,0,0.0,2558.2536303242773,False,-0.0795510794187867,13,0.5010000000000001,35513,71,0,0.0,2188.385635578599,False,-0.03822203726054073,0,0.272,51280,0,12,0.4,218.1088915076293,False,0.04802900937622492,14,2.4820000000000007,37073.0,20,0,0.0,301.0343116119107,False,-0.2408631326058255,0,0.2,68577,0,13,0.0,611.0000000000002,False,0.00023959573664798304,0,0.29000000000000004,69042,166,17,1.0,3816.1729991888724,False,0.03026292364293618,0.3,350395,0.0,0.0,12,0,0,10,6,6.0,10,20,11,97.0,31.0,8,3,11,1120,1.227544461376965,26.255239113233984
17,11,0,0,0,10.000000000000002,20,10.0,30.346589507315468,20,28.1,15.048352416997036,4,15.0,18.117148325495627,8,17.0,47.000000000000014,8,47.0,0,0.2,25147,186,0,0.0,1860.0000000000002,False,-0.03443551671788796,6,0.38600000000000007,30224,10,10,1.0,403.4658950731547,False,0.12658691996654856,0,0.6410000000000001,33679,85,0,0.0,2579.4601081218148,False,-0.08126924349585132,4,0.5280000000000001,34951,89,0,0.0,2700.8464661510766,False,-0.046255498053819025,0,0.272,51356,0,8,0.4,144.93718660396502,False,0.048832821986825044,0,2.4680000000000004,37073.0,20,0,0.0,300.96704833994073,False,-0.24086381848982402,0,0.2,68577,0,13,0.0,611.0000000000002,False,0.00023959573664798304,0,0.29000000000000004,69282,164,19,1.0,3864.2123253812833,False,0.03409674095621417,0.3,350289,0.0,0.0,10,0,0,11,3,2.2222222222222223,11,22,11,101.0,6.0,9,2,11,712,1.2949808211997151,27.5502199344337
18,11,0,0,0,10.000000000000002,20,10.0,29.84875340530235,18,27.0,15.045094026746266,4,15.0,15.723605873678432,26,2.423076923076923,47.00000000000001,11,47.0,0,0.2,25057,195,0,0.0,1950.0000000000005,False,-0.03610175139778576,8,0.4600000000000001,30416,11,10,1.0,408.4875340530235,False,0.13378915714542577,0,0.6410000000000001,33679,85,0,0.0,2537.1440394507,False,-0.08182512690543464,4,0.5640000000000001,34389,107,0,0.0,3193.8166143673516,False,-0.05454499744670066,0,0.272,51296,0,12,0.4,188.6832704841412,False,0.04805526033450398,26,2.7280000000000006,35580.0,20,0,0.0,300.90188053492534,False,-0.27131274339708245,0,0.2,68577,0,13,0.0,611.0000000000001,False,0.00023959573664798304,0,0.29000000000000004,69736,180,18,1.0,3676.2490572621177,False,0.03932455099223214,0.3,348730,0.0,0.0,10,0,0,7,6,5.444444444444445,14,21,13,93.0,33.0,7,4,13,717,0.9049859270453453,28.455205861479044
19,13,0,0,0,10.000000000000002,20,10.0,29.84875340530235,0,,13.792353124620792,10,7.1,17.300771577283076,20,29.4,47.0,10,47.0,0,0.2,24987,202,0,0.0,2020.0000000000005,False,-0.03739771170437294,0,0.45200000000000007,30286,14,20,1.0,736.975068106047,False,0.13505711608297935,6,0.7010000000000001,33481,85,0,0.0,2537.1440394507,False,-0.08702716568426917,4,0.6000000000000001,34313,107,0,0.0,3193.8166143673516,False,-0.05654173960423311,0,0.272,51755,0,12,1.0,207.60925892739692,False,0.05760910040917925,10,2.8020000000000005,35180.0,20,0,0.0,275.84706249241583,False,-0.27972583245816757,0,0.2,68312,0,18,0.5,846.0,False,-0.001902244939447623,0,0.29000000000000004,69883,185,18,1.0,4046.642741797369,False,0.044148365970125863,0.4375,348197,0.0,0.0,11,0,0,10,5,5.0,13,23,12,143.0,20.0,9,4,12,1200,1.2207563510164618,29.675962212495506
20,12,0,0,0,10.000000000000002,20,10.0,29.84875340530235,0,,12.954602359777121,4,1.0,17.119848796867803,2,3.0,46.99999999999999,10,47.0,0,0.2,24887,212,0,0.0,2120.0000000000005,False,-0.039249083570926054,0,0.45200000000000007,30186,14,30,1.0,1035.4626021590705,False,0.136880486580499,4,0.7350000000000001,33349,85,0,0.0,2537.1440394507,False,-0.09049519153682553,0,0.5960000000000001,34313,107,0,0.0,3193.8166143673516,False,-0.05654173960423311,0,0.272,51751,0,16,0.4,273.91758074988485,False,0.058203670725923674,2,2.812000000000001,35100.0,20,0,0.0,259.0920471955424,False,-0.2815282044377825,0,0.2,68312,0,18,0.0,845.9999999999999,False,-0.001902244939447623,0,0.29000000000000004,70347,177,18,1.0,3876.213237045601,False,0.0496486890268463,0.3,348245,0.0,0.0,9,0,0,10,2,2.0,11,21,14,134.0,6.0,10,2,14,670,1.4464715467765927,31.1224337592721
21,14,0,0,0,10.000000000000002,20,10.0,29.464094946385554,17,27.0,12.124658849390473,5,3.0,17.119848796867803,0,,46.99999999999999,13,47.0,0,0.2,24787,222,0,0.0,2220.0000000000005,False,-0.04110045543747917,0,0.45200000000000007,30545,14,23,1.0,817.6741837668677,False,0.14614126307562608,5,0.7810000000000001,33194,85,0,0.0,2504.448070442772,False,-0.09499700396139496,0,0.5960000000000002,33854,124,0,0.0,3653.5477733518087,False,-0.06256177061962317,0,0.272,51736,0,21,0.5,359.51682473422386,False,0.05877061655926727,0,2.8100000000000005,35100.0,20,0,0.0,242.49317698780945,False,-0.281697463219523,0,0.2,68312,0,18,0.0,845.9999999999999,False,-0.001902244939447623,0,0.29000000000000004,70958,167,15,1.0,3564.014749076923,False,0.05625428185953094,0.3125,348486,0.0,0.0,10,0,0,13,1,1.0,11,24,15,125.0,21.0,11,3,15,1270,1.510576375760138,32.63301013503224
22,15,0,0,0,10.000000000000002,20,10.0,29.9655978229912,24,32.333333333333336,12.39367756546385,19,13.157894736842104,15.430898067202703,68,11.897058823529411,47.0,7,47.0,0,0.2,24687,232,0,0.0,2320.0000000000005,False,-0.04295182730403229,1,0.4620000000000001,31198,14,10,1.0,439.65597822991197,False,0.16332165694504971,7,0.8460000000000001,32502,98,0,0.0,2936.6285866531375,False,-0.10750054402483922,12,0.7160000000000002,33334,135,0,0.0,4045.355706103812,False,-0.07107672079628218,0,0.272,51975,1,24,1.0,382.7352311783287,False,0.06388154373677787,61,3.420000000000001,32182.0,28,0,0.0,347.0229718329878,False,-0.34014130020156436,0,0.2,68312,0,18,0.0,846.0,False,-0.001902244939447623,0,0.29000000000000004,70478,225,18,1.0,4317.952065120608,False,0.05475816850928322,0.375,344668,0.0,0.0,11,0,0,10,8,7.076923076923077,13,23,15,139.0,9.0,12,3,15,1150,1.4135277522727847,34.04653788730502
23,15,0,0,0,10.000000000000002,20,10.0,29.9655978229912,0,,12.841699260677759,9,16.11111111111111,15.810022286931895,25,18.68,47.00000000000001,8,47.0,0,0.2,24627,238,0,0.0,2380.0000000000005,False,-0.04406265042396416,0,0.4610000000000001,31058,18,20,1.0,779.3119564598239,False,0.16442611094271528,5,0.8890000000000002,32417,98,0,0.0,2936.6285866531375,False,-0.1097337424905005,4,0.7440000000000002,33258,135,0,0.0,4045.355706103812,False,-0.07307346295381463,0,0.272,52285,0,19,0.5,300.390423451706,False,0.06936401704380339,15,3.509000000000001,31445.0,33,0,0.0,423.77607560236606,False,-0.3543890354080601,0,0.2,68312,0,18,0.0,846.0000000000001,False,-0.001902244939447623,0,0.29000000000000004,70387,240,20,1.0,4734.4053488636555,False,0.056460411152554645,0.3125,343789,0.0,0.0,12,0,0,10,4,4.0,13,23,16,126.0,35.0,10,5,16,946,1.07421640958637,35.12075429689139
24,16,0,0,0,10.000000000000002,20,10.0,30.278781660004658,19,32.31578947368421,12.463898761653477,3,4.0,15.810022286931895,0,,47.00000000000001,7,47.0,0,0.2,24547,246,0,0.0,2460.0000000000005,False,-0.04554374791720665,0,0.4610000000000001,31552,20,11,1.0,533.0665982600513,False,0.17815874769985648,3,0.9140000000000001,32061,105,0,0.0,3179.272074300489,False,-0.11589942627423033,0,0.7400000000000002,32910,147,0,0.0,4450.980904020685,False,-0.07688796038016014,0,0.272,52273,0,22,0.3,347.8204903125017,False,0.06960293357988845,0,3.4940000000000007,31445.0,33,0,0.0,411.3086591345647,False,-0.35451616573056893,0,0.2,68312,0,18,0.0,846.0000000000001,False,-0.001902244939447623,0,0.29000000000000004,70716,230,23,1.0,4717.305125994336,False,0.061113649159195725,0.2875,343816,0.0,0.0,11,0,0,12,1,1.0,16,28,14,215.0,18.0,14,2,14,1143,1.2077126177027822,36.32846691459417
