index,n_registered_negotiations_before,n_contracts_dropped,n_contracts_nullified_now,n_bankrupt,trading_price_0,sold_quantity_0,unit_price_0,trading_price_1,sold_quantity_1,unit_price_1,trading_price_2,sold_quantity_2,unit_price_2,trading_price_3,sold_quantity_3,unit_price_3,trading_price_4,sold_quantity_4,unit_price_4,spot_market_quantity_00Dec@0,spot_market_loss_00Dec@0,balance_00Dec@0,inventory_00Dec@0_input,inventory_00Dec@0_output,productivity_00Dec@0,assets_00Dec@0,bankrupt_00Dec@0,score_00Dec@0,spot_market_quantity_01Dec@0,spot_market_loss_01Dec@0,balance_01Dec@0,inventory_01Dec@0_input,inventory_01Dec@0_output,productivity_01Dec@0,assets_01Dec@0,bankrupt_01Dec@0,score_01Dec@0,spot_market_quantity_02Ran@1,spot_market_loss_02Ran@1,balance_02Ran@1,inventory_02Ran@1_input,inventory_02Ran@1_output,productivity_02Ran@1,assets_02Ran@1,bankrupt_02Ran@1,score_02Ran@1,spot_market_quantity_03Dec@1,spot_market_loss_03Dec@1,balance_03Dec@1,inventory_03Dec@1_input,inventory_03Dec@1_output,productivity_03Dec@1,assets_03Dec@1,bankrupt_03Dec@1,score_03Dec@1,spot_market_quantity_04Ind@2,spot_market_loss_04Ind@2,balance_04Ind@2,inventory_04Ind@2_input,inventory_04Ind@2_output,productivity_04Ind@2,assets_04Ind@2,bankrupt_04Ind@2,score_04Ind@2,spot_market_quantity_05Buy@2,spot_market_loss_05Buy@2,balance_05Buy@2,inventory_05Buy@2_input,inventory_05Buy@2_output,productivity_05Buy@2,assets_05Buy@2,bankrupt_05Buy@2,score_05Buy@2,spot_market_quantity_06MyA@3,spot_market_loss_06MyA@3,balance_06MyA@3,inventory_06MyA@3_input,inventory_06MyA@3_output,productivity_06MyA@3,assets_06MyA@3,bankrupt_06MyA@3,score_06MyA@3,spot_market_quantity_07Ran@3,spot_market_loss_07Ran@3,balance_07Ran@3,inventory_07Ran@3_input,inventory_07Ran@3_output,productivity_07Ran@3,assets_07Ran@3,bankrupt_07Ran@3,score_07Ran@3,productivity,market_size,production_failures,bankruptcy,n_contracts_executed,n_contracts_erred,n_contracts_nullified,n_contracts_cancelled,n_breaches,breach_level,n_contracts_signed,n_contracts_concluded,n_negotiations,n_negotiation_rounds_successful,n_negotiation_rounds_failed,n_negotiation_successful,n_negotiation_failed,n_registered_negotiations_after,activity_level,step_time,total_time
10,31,0,0,0,10.000000000000002,20,10.0,28.378782635405216,27,30.88888888888889,30.720542408971927,46,39.58695652173913,38.185331345398964,47,41.31914893617021,55.99999999999999,8,56.0,3,0.6800000000000002,17295,0,6,0.6,170.2726958124313,False,0.10553631117016835,8,0.43300000000000005,17604,15,10,1.0,433.7878263540522,False,0.13357254075294367,7,0.792,21011,126,0,0.0,3575.726612061057,False,-0.1712819124702654,26,0.5590000000000002,27507,51,10,1.0,1754.5233384953854,False,0.03174227288167247,0,0.3440000000000001,35482,16,14,1.0,1026.1233173791363,False,-0.010200141376847322,26,1.8370000000000004,28553,97,0,0.0,2979.8926136702767,False,-0.17387267483816918,0,0.2,49215,0,2,0.0,111.99999999999999,False,0.00028422356213330085,8,0.8560000000000001,38416,248,0,0.0,9469.962173658943,False,-0.12396246042533095,0.45,235083,0.0,0.0,20,0,0,13,16,14.708061002178649,29,42,33,227.0,108.0,19,12,33,1746,1.6668165599694476,23.791334730980452
11,33,0,0,0,10.000000000000002,20,10.0,28.985633920157717,18,35.5,31.467570908145,21,36.476190476190474,37.93301457852514,14,34.92857142857143,55.99999999999999,11,56.0,0,0.6770000000000002,17165,3,16,1.0,493.7701427225235,False,0.10755582159921524,8,0.5050000000000001,17991,12,10,1.0,409.85633920157716,False,0.15742816421352263,5,0.835,20249,143,0,0.0,4144.945650582554,False,-0.18863462523022517,6,0.5930000000000002,28000,42,10,1.0,1532.0723337280742,False,0.0456194310226468,0,0.3440000000000001,35908,11,11,1.0,763.4064403533715,False,-0.0020980250735113805,1,1.8210000000000002,27800,113,0,0.0,3555.835512620385,False,-0.18666012879309818,0,0.2,49215,0,2,0.0,111.99999999999999,False,0.00028422356213330085,11,0.9580000000000002,37676,262,0,0.0,9938.449819573587,False,-0.13423016201175894,0.5,234004,0.0,0.0,12,0,0,15,12,10.786764705882353,29,44,33,320.0,92.0,21,12,33,656,1.861699519038666,25.653034250019118
12,33,0,0,0,10.000000000000002,20,10.0,29.006640311335996,1,33.0,32.04265989032369,6,46.0,38.41496324521114,28,41.214285714285715,56.00000000000001,9,56.0,0,0.6770000000000002,17055,4,26,1.0,794.1726480947359,False,0.11011299052524434,0,0.49700000000000005,17934,11,19,1.0,661.1261659153839,False,0.16179397512611737,0,0.8300000000000001,20216,144,0,0.0,4176.956204832383,False,-0.1892523680558252,0,0.5870000000000002,28276,32,14,1.0,1376.8097284272835,False,0.052829953989809185,0,0.3440000000000001,36168,7,11,1.0,646.8632149295884,False,0.0034491450108561313,18,2.0000000000000004,27270,113,0,0.0,3620.8205676065772,False,-0.2003406950502313,0,0.2,49215,0,2,0.0,112.00000000000001,False,0.00028422356213330085,9,1.0370000000000001,36341,290,0,0.0,11140.33934111123,False,-0.14913271879010867,0.5,232475,0.0,0.0,16,0,0,14,9,9.0,28,42,27,255.0,68.0,19,14,27,1045,1.561568206991069,27.214602457010187
13,27,0,0,0,10.000000000000002,20,10.0,29.02251229269139,12,29.25,31.58579066493691,4,16.0,38.548804383217224,11,40.63636363636363,56.0,10,56.0,0,0.6770000000000002,17294,2,25,1.0,745.5628073172848,False,0.12376956959853969,0,0.4970000000000001,17846,13,28,1.0,942.6303441953589,False,0.16514949253213398,0,0.8300000000000001,19865,156,0,0.0,4527.511917659856,False,-0.19563970924975732,0,0.5870000000000002,28340,22,20,1.0,1270.2110837379487,False,0.053218913956925434,0,0.3440000000000001,36104,1,21,1.0,841.1106827124986,False,0.004359988488045208,11,2.0920000000000005,27098,113,0,0.0,3569.1943451378706,False,-0.20578020204122163,0,0.2,49215,0,2,0.0,112.0,False,0.00028422356213330085,10,1.1280000000000001,35678,301,0,0.0,11603.190119348385,False,-0.15789440973518098,0.5,231440,0.0,0.0,15,0,0,13,8,8.0,20,33,19,165.0,84.0,14,13,19,615,1.163111793983262,28.37771425099345
14,19,0,0,0,10.000000000000002,20,10.0,29.224835709330858,20,30.9,31.23401888700963,2,9.0,38.68339980438925,13,40.38461538461539,56.00000000000001,7,56.0,0,0.6770000000000002,17328,3,31,1.0,935.9699069892566,False,0.1319881021242052,0,0.4970000000000001,18230,12,22,1.0,762.9463856052789,False,0.18386064453931922,2,0.8500000000000001,19529,164,0,0.0,4792.873056330261,False,-0.20303018690105304,0,0.5870000000000002,28004,24,30,1.0,1638.4166236342294,False,0.047697586849518886,0,0.3440000000000001,36086,0,24,0.3,928.4015953053421,False,0.00506519269792314,13,2.2110000000000007,26888,113,0,0.0,3529.444134232088,False,-0.21210135656613202,0,0.2,49215,0,2,0.0,112.00000000000001,False,0.00028422356213330085,7,1.1880000000000002,35031,314,0,0.0,12146.587538578226,False,-0.16551365756564318,0.4125,230311,0.0,0.0,15,0,0,7,7,7.0,21,28,20,97.0,50.0,7,12,20,818,0.9727478129789233,29.350462063972373
15,20,0,0,0,10.000000000000002,20,10.0,29.583512954213013,31,31.516129032258064,32.94647951731878,17,44.588235294117645,38.68339980438925,0,,56.000000000000014,10,56.0,0,0.6770000000000002,17652,3,26,1.0,799.1713368095384,False,0.14824665532757259,0,0.4970000000000001,18683,12,16,1.0,593.3362072674082,False,0.20728122279967579,0,0.8480000000000001,18968,180,0,0.0,5325.0323317583425,False,-0.21375027567594165,0,0.5870000000000002,28346,29,23,1.0,1615.6909045705092,False,0.05971594824925504,0,0.3440000000000001,35558,2,34,1.0,1381.1285523838724,False,-0.0032292725020090993,0,2.1980000000000004,26658,118,0,0.0,3887.684583043616,False,-0.21350045945328583,0,0.2,49215,0,2,0.0,112.00000000000003,False,0.00028422356213330085,10,1.2810000000000001,34823,314,0,0.0,12146.587538578226,False,-0.16973640763162365,0.5,229903,0.0,0.0,28,0,0,13,4,4.0,19,32,21,166.0,21.0,13,7,21,1935,1.492942225013394,30.843404288985766
16,21,0,0,0,10.000000000000002,20,10.0,29.615814917205302,28,29.821428571428573,33.532228153793085,19,37.21052631578947,38.11858315004069,18,33.111111111111114,56.000000000000014,10,56.0,0,0.6770000000000002,17938,6,23,1.0,741.163743095722,False,0.16459397440034731,0,0.49700000000000005,19032,9,11,1.0,415.7739640892583,False,0.2238335336202933,3,0.8780000000000001,18447,193,0,0.0,5715.852279020623,False,-0.22558517903710104,0,0.5870000000000002,28631,34,17,1.0,1576.9855857994626,False,0.0693719891279754,0,0.3440000000000001,35159,11,35,1.0,1703.0049199431483,False,-0.00977554694023054,9,2.2880000000000007,26496,118,0,0.0,3956.802922147584,False,-0.21700485450492793,0,0.2,49215,0,2,0.0,112.00000000000003,False,0.00028422356213330085,10,1.3710000000000002,34011,332,0,0.0,12655.36960581351,False,-0.18105680811038521,0.5,228929,0.0,0.0,18,0,0,6,7,7.0,25,31,16,127.0,48.0,10,11,16,2047,1.1753745640162379,32.018778853002004
17,16,0,0,0,10.000000000000002,20,10.0,30.213909196690548,28,34.17857142857143,33.93644520844796,5,44.0,39.214430015527626,4,83.0,56.000000000000014,13,56.0,0,0.6770000000000002,18419,4,16,1.0,523.4225471470488,False,0.18826482243963644,0,0.4970000000000001,19308,11,10,1.0,412.1390919669055,False,0.24127406309925917,0,0.8750000000000002,17490,221,0,0.0,6677.273932468611,False,-0.24289786026555538,0,0.5870000000000002,28851,24,22,1.0,1471.7356153064281,False,0.07545591972858902,0,0.3440000000000001,35491,1,41,1.0,1641.7280758450806,False,-0.0014886421953874535,0,2.279000000000001,26276,123,0,0.0,4174.182760639099,False,-0.2200656827718322,0,0.2,49215,0,2,0.0,112.00000000000003,False,0.00028422356213330085,13,1.491,33338,336,0,0.0,13176.048485217281,False,-0.18943451199608907,0.5,228388,0.0,0.0,14,0,0,13,8,8.0,20,33,24,115.0,39.0,8,8,24,1709,1.0274421340436675,33.04622098704567
18,24,0,0,0,10.000000000000002,20,10.0,30.54896085059592,12,35.916666666666664,34.89154496444109,12,44.166666666666664,39.38919384937157,34,40.14705882352941,56.000000000000014,11,56.0,0,0.6770000000000002,18695,6,15,1.0,518.2344127589388,False,0.20565595104506515,0,0.4970000000000001,19263,9,19,1.0,670.4302561613224,False,0.24662649501180975,0,0.8750000000000002,17059,233,0,0.0,7117.907878188849,False,-0.2505559979973674,0,0.5870000000000002,29381,14,20,1.0,1125.5163511971646,False,0.08842856223323693,0,0.3440000000000001,36036,3,27,1.0,1168.1828688263556,False,0.006987060287443609,10,2.3790000000000004,26066,123,0,0.0,4291.6600306262535,False,-0.2242250999473924,0,0.2,49327,0,0,0.0,0.0,False,0.0014211178106665041,9,1.5680000000000003,31791,370,0,0.0,14574.001724267482,False,-0.20665081385115333,0.5,227618,0.0,0.0,23,0,0,11,6,6.0,23,34,24,181.0,73.0,13,11,24,2348,1.476887886004988,34.52310887305066
19,24,0,0,0,10.000000000000002,20,10.0,30.227462003045822,40,28.75,35.350913357299575,11,40.18181818181818,39.2776126160527,8,37.0,56.000000000000014,11,56.0,8,0.7570000000000001,19127,6,10,1.0,362.2746200304582,False,0.22817488136983846,0,0.4970000000000001,19605,9,12,1.0,452.7295440365499,False,0.2614569538845032,1,0.8850000000000002,16737,241,0,0.0,7284.818342734043,False,-0.2592268848327207,0,0.5870000000000002,28959,36,20,1.0,1795.2068992556412,False,0.0852605666688895,0,0.3440000000000001,35814,0,36,0.9,1413.9940541778972,False,0.004262141205767646,8,2.4490000000000007,25742,128,0,0.0,4524.916909734346,False,-0.22992744720708427,0,0.2,49327,0,0,0.0,0.0,False,0.0014211178106665041,11,1.6690000000000003,31239,378,0,0.0,14846.937568867921,False,-0.21508681437290203,0.4875,226550,0.0,0.0,16,0,0,11,9,8.533333333333333,21,32,25,135.0,99.0,11,13,25,1370,1.3986635289620608,35.92177240201272
20,25,0,0,0,10.000000000000002,20,10.0,30.102588979466674,21,28.904761904761905,34.42029988607564,5,13.2,39.16729407952323,12,37.75,56.00000000000001,8,56.0,8,0.8290000000000002,19375,4,10,1.0,341.02588979466674,False,0.2432741520830313,0,0.49700000000000005,19588,11,19,1.0,681.9491906098668,False,0.2676658352079979,1,0.8940000000000001,16600,244,0,0.0,7345.031710989869,False,-0.2631123603106054,0,0.5870000000000002,28519,44,26,1.0,2219.4417121345004,False,0.07697724023362479,0,0.3440000000000001,35908,0,36,0.5,1410.0225868628363,False,0.006792369065374706,7,2.511000000000001,25672,128,0,0.0,4405.798385417682,False,-0.23349009534430945,0,0.2,49327,0,0,0.0,0.0,False,0.0014211178106665041,8,1.738,30633,390,0,0.0,15275.24469101406,False,-0.2230419565644065,0.4375,225622,0.0,0.0,16,0,0,12,9,8.444444444444445,25,37,25,241.0,100.0,16,9,25,527,1.5704815129865892,37.49225391499931
21,25,0,0,0,10.000000000000002,20,10.0,30.126930518918325,1,35.0,33.23433538153506,30,29.000000000000004,43.410407340636176,23,71.0,56.0,14,56.0,0,0.8210000000000002,19335,0,18,0.8,542.2847493405299,False,0.24713074070798702,0,0.4970000000000001,19463,17,28,1.0,1013.5540545297131,False,0.2702612446577734,10,0.9930000000000003,16240,245,0,0.0,7381.097977134989,False,-0.2755425470332778,0,0.5870000000000002,29319,34,16,1.0,1556.065003747784,False,0.09399994554446917,0,0.3440000000000001,37185,4,29,1.0,1391.8391544045894,False,0.041657580630322114,6,2.564000000000001,24858,144,0,0.0,4785.744294941049,False,-0.2506497237125193,0,0.2,49327,0,0,0.0,0.0,False,0.0014211178106665041,14,1.8700000000000003,28620,413,0,0.0,17928.49823168274,False,-0.23697648829930024,0.475,224347,0.0,0.0,14,0,0,15,10,10.0,21,36,22,193.0,94.0,14,11,22,2446,1.6043696669512428,39.09662358195055
22,22,0,0,0,10.000000000000002,20,10.0,30.270474801698345,37,30.972972972972972,34.01072797476373,18,39.333333333333336,44.02701731629192,9,54.666666666666664,56.0,11,56.0,0,0.8210000000000002,19555,0,16,0.8,484.3275968271735,False,0.25928145782161344,0,0.4970000000000001,20189,19,11,1.0,522.9752228186818,False,0.30083885321603854,0,0.9830000000000001,15430,270,0,0.0,8173.028196458553,False,-0.29059234130968425,2,0.6070000000000001,29619,36,10,1.0,1429.8443726087776,False,0.10261067159697537,0,0.3440000000000001,37373,0,34,0.8,1496.9185887539252,False,0.04827199291582688,6,2.6180000000000008,24154,158,0,0.0,5373.695020012669,False,-0.2619246683713817,0,0.2,49327,0,0,0.0,0.0,False,0.0014211178106665041,11,1.9660000000000002,27870,422,0,0.0,18579.40130747519,False,-0.24559553659911093,0.44999999999999996,223517,0.0,0.0,15,0,0,12,9,8.5,22,34,24,187.0,87.0,13,9,24,2242,1.6333611820009537,40.72998476395151
23,24,0,0,0,10.000000000000002,20,10.0,30.488050015590186,17,33.0,34.63582009170199,7,46.0,43.98670970100286,3,42.0,56.0,13,56.0,0,0.8210000000000002,19435,2,26,1.0,812.6893004053449,False,0.26209176580387195,6,0.5570000000000002,20538,17,10,1.0,474.8805001559019,False,0.3215088257794002,0,0.9830000000000001,14869,287,0,0.0,8750.070354474383,False,-0.3004967039643346,0,0.6050000000000002,29941,26,13,1.0,1242.9549615974706,False,0.11091845010354891,0,0.3440000000000001,37373,0,34,0.0,1495.5481298340972,False,0.04825315033044745,3,2.6420000000000003,23808,165,0,0.0,5714.910315130828,False,-0.266747644570054,0,0.2,49327,0,0,0.0,0.0,False,0.0014211178106665041,13,2.0850000000000004,27415,425,0,0.0,18694.351622926213,False,-0.25366595993537755,0.375,222706,0.0,0.0,14,0,0,14,9,8.352941176470589,24,38,26,219.0,92.0,17,7,26,522,2.447450282983482,43.17743504693499
