index,n_registered_negotiations_before,n_contracts_dropped,n_contracts_nullified_now,n_bankrupt,trading_price_0,sold_quantity_0,unit_price_0,trading_price_1,sold_quantity_1,unit_price_1,trading_price_2,sold_quantity_2,unit_price_2,trading_price_3,sold_quantity_3,unit_price_3,trading_price_4,sold_quantity_4,unit_price_4,spot_market_quantity_00Dec@0,spot_market_loss_00Dec@0,balance_00Dec@0,inventory_00Dec@0_input,inventory_00Dec@0_output,productivity_00Dec@0,assets_00Dec@0,bankrupt_00Dec@0,score_00Dec@0,spot_market_quantity_01Buy@0,spot_market_loss_01Buy@0,balance_01Buy@0,inventory_01Buy@0_input,inventory_01Buy@0_output,productivity_01Buy@0,assets_01Buy@0,bankrupt_01Buy@0,score_01Buy@0,spot_market_quantity_02Dec@1,spot_market_loss_02Dec@1,balance_02Dec@1,inventory_02Dec@1_input,inventory_02Dec@1_output,productivity_02Dec@1,assets_02Dec@1,bankrupt_02Dec@1,score_02Dec@1,spot_market_quantity_03Buy@1,spot_market_loss_03Buy@1,balance_03Buy@1,inventory_03Buy@1_input,inventory_03Buy@1_output,productivity_03Buy@1,assets_03Buy@1,bankrupt_03Buy@1,score_03Buy@1,spot_market_quantity_04Ind@2,spot_market_loss_04Ind@2,balance_04Ind@2,inventory_04Ind@2_input,inventory_04Ind@2_output,productivity_04Ind@2,assets_04Ind@2,bankrupt_04Ind@2,score_04Ind@2,spot_market_quantity_05MyA@2,spot_market_loss_05MyA@2,balance_05MyA@2,inventory_05MyA@2_input,inventory_05MyA@2_output,productivity_05MyA@2,assets_05MyA@2,bankrupt_05MyA@2,score_05MyA@2,spot_market_quantity_06Dec@3,spot_market_loss_06Dec@3,balance_06Dec@3,inventory_06Dec@3_input,inventory_06Dec@3_output,productivity_06Dec@3,assets_06Dec@3,bankrupt_06Dec@3,score_06Dec@3,spot_market_quantity_07Dec@3,spot_market_loss_07Dec@3,balance_07Dec@3,inventory_07Dec@3_input,inventory_07Dec@3_output,productivity_07Dec@3,assets_07Dec@3,bankrupt_07Dec@3,score_07Dec@3,productivity,market_size,production_failures,bankruptcy,n_contracts_executed,n_contracts_erred,n_contracts_nullified,n_contracts_cancelled,n_breaches,breach_level,n_contracts_signed,n_contracts_concluded,n_negotiations,n_negotiation_rounds_successful,n_negotiation_rounds_failed,n_negotiation_successful,n_negotiation_failed,n_registered_negotiations_after,activity_level,step_time,total_time
14,31,0,0,0,10.000000000000002,20,10.0,17.06301834640315,0,,17.80852361436318,6,13.333333333333334,31.351822917913246,0,,43.00000000000001,20,43.0,0,0.5690000000000001,37865,20,43,1.0,933.7097888953355,False,0.03552029863164666,0,1.6580000000000004,33679.0,132,0,0.0,1320.0000000000002,False,-0.07234513872004755,0,0.2,48489,67,94,1.0,2817.22344895915,False,-0.004337788596636236,5,0.8350000000000002,46269,111,0,0.0,1893.9950364507497,False,-0.05784700153196894,0,0.36200000000000004,67938,0,24,0.6,752.443750029918,False,0.014437080499761846,0,0.2,67678,0,3,0.0,94.05546875373975,False,0.005687798615676227,10,0.8040000000000003,96876,0,0,0.0,0.0,False,-0.0051960321209258385,4,0.7170000000000001,97013,0,0,0.0,0.0,False,-0.003789201289766076,0.325,495807,0.0,0.0,9,0,0,14,7,5.7,16,30,25,210.0,64.0,15,16,25,273,2.1524920749943703,38.61476096190745
15,25,0,0,0,10.000000000000002,20,10.0,17.231381195204417,25,18.4,17.0076781293438,11,12.272727272727273,29.74873318649177,8,14.0,43.00000000000001,20,43.0,0,0.5690000000000001,38170,17,38,1.0,824.7924854177678,False,0.04228857667312004,10,1.7580000000000005,33424.0,145,0,0.0,1450.0000000000002,False,-0.0774779155523138,0,0.2,48434,67,103,1.0,2906.293387401108,False,-0.004546608925460372,10,0.9300000000000002,45734,126,0,0.0,2171.1540305957565,False,-0.0657572180924298,0,0.36200000000000004,67915,1,26,1.0,790.4747409781298,False,0.014377912305679417,0,0.2,67678,0,3,0.0,89.24619955947531,False,0.005652090816722688,14,0.9340000000000002,96595,0,0,0.0,0.0,False,-0.008081575650530899,6,0.7730000000000001,96832,0,8,0.8,344.00000000000006,False,-0.003881620833418907,0.475,494782,0.0,0.0,11,0,0,13,11,11.0,9,22,22,144.0,81.0,8,17,22,717,1.8054670949932188,40.42022805690067
16,22,0,0,0,10.000000000000002,20,10.0,18.034434605296276,44,21.295454545454547,17.725157396506024,4,30.0,29.74873318649177,0,,43.0,20,43.0,1,0.5790000000000001,38938,18,10,1.0,360.3443460529628,False,0.05676235710690989,5,1.7980000000000005,33279.0,154,0,0.0,1540.0000000000002,False,-0.08017937704298025,0,0.2,47893,89,109,1.0,3537.106836090525,False,-0.009048120960884773,0,0.9200000000000002,45458,138,0,0.0,2488.7519755308863,False,-0.06809585976722649,0,0.36200000000000004,67855,0,29,0.3,862.7132624082614,False,0.01402329350485784,0,0.2,67618,0,5,0.2,148.74366593245884,False,0.0052028723971106056,9,1.0100000000000002,96470,0,0,0.0,0.0,False,-0.009365180423486887,3,0.7970000000000002,97152,0,0,0.0,0.0,False,-0.0023618327822390174,0.3125,494663,0.0,0.0,16,0,0,12,6,5.083333333333333,9,21,27,117.0,54.0,9,13,27,1285,2.079914918052964,42.50014297495363
17,27,0,0,0,10.000000000000002,20,10.0,18.40156296496657,16,23.0,22.00336515819652,31,31.0,29.51668649394282,35,29.0,43.00000000000001,20,43.0,6,0.6380000000000001,39102,17,10,1.0,354.0156296496657,False,0.06110727003335861,0,1.7930000000000004,33169.0,165,0,0.0,1650.0000000000002,False,-0.0816651808628468,0,0.2,48486,95,88,1.0,3684.4446155931178,False,0.004254660436926288,0,0.9200000000000002,45458,138,0,0.0,2539.4156891653865,False,-0.06759038522233479,6,0.42200000000000004,67699,21,10,1.0,757.2375332615551,False,0.010923625176424541,0,0.2,67618,0,5,0.0,147.5834324697141,False,0.005194257910885634,10,1.1010000000000002,96317,0,0,0.0,0.0,False,-0.010936312665585016,10,0.8940000000000001,95993,25,10,1.0,1167.9171623485706,False,-0.008266840061055563,0.5,493842,0.0,0.0,8,0,0,16,8,6.546428571428572,13,29,35,159.0,88.0,13,14,35,1161,2.49555909098126,44.99570206593489
18,35,0,0,0,10.000000000000002,20,10.0,18.40156296496657,0,,21.402553632397904,5,11.0,28.384489043462402,8,14.0,43.00000000000001,20,43.0,0,0.6320000000000001,38982,19,20,1.0,558.0312592993314,False,0.060621218079521956,0,1.7930000000000004,33089.0,173,0,0.0,1730.0000000000002,False,-0.08274576545911339,0,0.2,48486,85,98,1.0,3661.583107997153,False,0.004026569969042742,5,0.9700000000000002,45393,138,0,0.0,2539.4156891653865,False,-0.06888740208355398,0,0.41600000000000004,67756,16,12,1.0,683.0547266399153,False,0.011219259352557898,0,0.2,67618,0,5,0.0,141.922445217312,False,0.005152226286844184,9,1.181,96186,0,0,0.0,0.0,False,-0.01228153046764289,1,0.8940000000000001,96303,23,10,1.0,1082.8432479996352,False,-0.0055203053541740725,0.5,493813,0.0,0.0,11,0,0,14,5,4.142857142857142,20,34,32,286.0,93.0,19,16,32,484,2.287972407997586,47.28367447393248
19,32,0,0,0,10.000000000000002,20,10.0,17.942426169027033,10,9.0,21.402553632397904,0,,27.305741638513208,8,14.0,43.00000000000001,20,43.0,0,0.6320000000000001,38917,20,25,1.0,648.5606542256759,False,0.060088076481423024,5,1.8430000000000004,32949.0,182,0,0.0,1820.0000000000002,False,-0.0853121538752465,0,0.2,48396,85,108,1.0,3836.5820166662716,False,0.0039766738168839095,0,0.9650000000000001,45393,138,0,0.0,2476.0548113257305,False,-0.06951955690585927,0,0.41600000000000004,67868,6,14,1.0,510.6957047335723,False,0.011602682610655866,0,0.2,67618,0,5,0.0,136.52870819256603,False,0.005112178938794349,14,1.312,95793,0,8,0.8,344.00000000000006,False,-0.014550943706229077,0,0.893,96561,13,14,1.0,956.9746413006718,False,-0.0035172072800893407,0.6,493495,0.0,0.0,10,0,0,13,6,6.0,16,29,38,210.0,65.0,15,17,38,615,2.177192480012309,49.46086695394479
20,38,0,0,0,10.000000000000002,20,10.0,18.291365434307735,47,19.659574468085104,20.91150657558872,6,14.166666666666666,27.305741638513208,0,,43.000000000000014,20,43.0,12,0.7520000000000002,39358,24,10,1.0,422.9136543430774,False,0.06895363825192587,10,1.9380000000000004,32764.0,188,0,0.0,1880.0000000000002,False,-0.08949941918577951,0,0.2,47876,107,117,1.0,4403.822370814808,False,-0.0007400741213726993,5,1.0150000000000001,44954,153,0,0.0,2798.5789114490835,False,-0.0750615692761739,0,0.41600000000000004,67783,2,24,1.0,697.1608124754944,False,0.011724932527066955,0,0.2,67618,0,5,0.0,136.52870819256603,False,0.005112178938794349,4,1.3380000000000003,96099,0,0,0.0,0.0,False,-0.013174919389620258,0,0.893,96905,3,16,1.0,769.9172249155398,False,-0.0009451581148695208,0.5,493357,0.0,0.0,15,0,0,20,7,6.5,10,30,28,240.0,99.0,15,23,28,1367,2.2968362370156683,51.757703190960456
21,28,0,0,0,10.000000000000002,20,10.0,18.35503872497154,19,19.05263157894737,21.54950729847506,35,23.0,27.305741638513208,0,,43.000000000000014,20,43.0,4,0.78,39504,24,10,1.0,423.5503872497154,False,0.07290637257543454,5,1.9780000000000004,32609.0,198,0,0.0,1980.0000000000005,False,-0.09233595375097928,0,0.2,48220,116,101,1.0,4305.684729242679,False,0.005145013760777041,9,1.1,44817,153,0,0.0,2808.3209249206457,False,-0.07769808515493723,0,0.41600000000000004,66978,27,34,1.0,1510.2319127682758,False,0.0058079052654232965,0,0.2,67618,0,5,0.0,136.52870819256603,False,0.005112178938794349,14,1.4740000000000002,95828,0,0,0.0,0.0,False,-0.01595777453738884,0,0.8930000000000002,97163,0,13,0.3,559.0000000000002,False,0.0006212647101106981,0.4125,492737,0.0,0.0,12,0,0,16,9,8.285714285714285,11,27,30,204.0,105.0,13,15,30,1164,2.0745410259696655,53.83224421693012
22,30,0,0,0,10.000000000000002,20,10.0,18.35503872497154,0,,21.54950729847506,0,,26.165335784647603,9,14.0,43.000000000000014,20,43.0,0,0.7760000000000002,39434,21,20,1.0,577.1007744994308,False,0.07308940182212804,0,1.9730000000000003,32479.0,211,0,0.0,2110.0000000000005,False,-0.09409190371991247,0,0.2,48220,106,111,1.0,4337.629414977715,False,0.005463727576351487,0,1.0910000000000002,44817,153,0,0.0,2808.3209249206457,False,-0.07769808515493723,0,0.41600000000000004,67104,17,35,1.0,1282.128376536742,False,0.005985331416773638,0,0.2,67618,0,5,0.0,130.826678923238,False,0.005069842586522853,9,1.5500000000000003,95705,0,0,0.0,0.0,False,-0.01722084163397753,0,0.8930000000000002,97510,0,11,0.9,473.00000000000017,False,0.00374299151793966,0.4875,492887,0.0,0.0,13,0,0,18,3,3.0,15,33,34,246.0,69.0,17,13,34,799,2.290530805999879,56.12277502293
23,34,0,0,0,10.000000000000002,20,10.0,18.10783621895648,5,8.0,21.63067216609657,1,30.0,24.248080488476525,29,18.0,43.000000000000014,20,43.0,0,0.7760000000000002,39314,23,30,1.0,773.2350865686943,False,0.07249689448859564,5,2.0230000000000006,32344.0,219,0,0.0,2190.0000000000005,False,-0.0966582921360456,0,0.2,48210,101,120,1.0,4424.572118046192,False,0.006131618458008568,0,1.0910000000000002,44817,153,0,0.0,2770.498941500341,False,-0.07807543707971329,0,0.41600000000000004,67596,8,16,1.0,561.014665144397,False,0.007937206090882424,0,0.2,67618,0,5,0.0,121.24040244238262,False,0.004998666526405319,12,1.6610000000000003,95114,10,10,1.0,672.4808048847653,False,-0.019836926717027904,0,0.893,97728,0,12,0.9,516.0000000000002,False,0.006202378262923333,0.6125,492741,0.0,0.0,16,0,0,17,5,5.0,16,33,26,267.0,104.0,19,15,26,1096,2.009136557986494,58.131911580916494
24,26,0,0,0,10.000000000000002,20,10.0,17.7216164100553,51,16.294117647058822,21.131352044566405,6,13.333333333333334,25.5741973356616,8,44.0,43.000000000000014,20,43.0,0,0.7760000000000002,39579,24,25,1.0,683.0404102513826,False,0.07843748021519012,36,2.3780000000000006,31711.0,228,0,0.0,2280.0000000000005,False,-0.11254288570116433,0,0.2,47409,142,129,1.0,5242.413943976919,False,-0.00169196903145844,5,1.1410000000000002,44747,153,0,0.0,2711.407310738461,False,-0.0800617847876039,0,0.41600000000000004,67868,4,18,1.0,544.8609602201744,False,0.011856352352322186,0,0.2,67618,0,5,0.0,127.87098667830801,False,0.0050478972014368255,0,1.6490000000000002,95282,4,12,1.0,618.2967893426467,False,-0.01838996534604622,0,0.8930000000000002,98068,0,4,0.4,172.00000000000006,False,0.00792754307777618,0.55,492282,0.0,0.0,18,0,0,11,5,5.0,16,27,23,186.0,42.0,12,14,23,1817,1.732286409009248,59.86419798992574
