index,n_registered_negotiations_before,n_contracts_dropped,n_contracts_nullified_now,n_bankrupt,trading_price_0,sold_quantity_0,unit_price_0,trading_price_1,sold_quantity_1,unit_price_1,trading_price_2,sold_quantity_2,unit_price_2,trading_price_3,sold_quantity_3,unit_price_3,trading_price_4,sold_quantity_4,unit_price_4,spot_market_quantity_00Ind@0,spot_market_loss_00Ind@0,balance_00Ind@0,inventory_00Ind@0_input,inventory_00Ind@0_output,productivity_00Ind@0,assets_00Ind@0,bankrupt_00Ind@0,score_00Ind@0,spot_market_quantity_01Dec@0,spot_market_loss_01Dec@0,balance_01Dec@0,inventory_01Dec@0_input,inventory_01Dec@0_output,productivity_01Dec@0,assets_01Dec@0,bankrupt_01Dec@0,score_01Dec@0,spot_market_quantity_02MyA@1,spot_market_loss_02MyA@1,balance_02MyA@1,inventory_02MyA@1_input,inventory_02MyA@1_output,productivity_02MyA@1,assets_02MyA@1,bankrupt_02MyA@1,score_02MyA@1,spot_market_quantity_03Dec@1,spot_market_loss_03Dec@1,balance_03Dec@1,inventory_03Dec@1_input,inventory_03Dec@1_output,productivity_03Dec@1,assets_03Dec@1,bankrupt_03Dec@1,score_03Dec@1,spot_market_quantity_04Buy@2,spot_market_loss_04Buy@2,balance_04Buy@2,inventory_04Buy@2_input,inventory_04Buy@2_output,productivity_04Buy@2,assets_04Buy@2,bankrupt_04Buy@2,score_04Buy@2,spot_market_quantity_05Buy@2,spot_market_loss_05Buy@2,balance_05Buy@2,inventory_05Buy@2_input,inventory_05Buy@2_output,productivity_05Buy@2,assets_05Buy@2,bankrupt_05Buy@2,score_05Buy@2,spot_market_quantity_06Buy@3,spot_market_loss_06Buy@3,balance_06Buy@3,inventory_06Buy@3_input,inventory_06Buy@3_output,productivity_06Buy@3,assets_06Buy@3,bankrupt_06Buy@3,score_06Buy@3,spot_market_quantity_07Buy@3,spot_market_loss_07Buy@3,balance_07Buy@3,inventory_07Buy@3_input,inventory_07Buy@3_output,productivity_07Buy@3,assets_07Buy@3,bankrupt_07Buy@3,score_07Buy@3,productivity,market_size,production_failures,bankruptcy,n_contracts_executed,n_contracts_erred,n_contracts_nullified,n_contracts_cancelled,n_breaches,breach_level,n_contracts_signed,n_contracts_concluded,n_negotiations,n_negotiation_rounds_successful,n_negotiation_rounds_failed,n_negotiation_successful,n_negotiation_failed,n_registered_negotiations_after,activity_level,step_time,total_time
10,45,0,0,0,10.000000000000002,20,10.0,14.995925784799367,0,,24.58716707021792,34,29.0,13.11032386745666,50,12.84,32.0,20,32.0,0,0.2,28150,0,57,1.0,854.7677697335639,False,-0.004202944983386294,0,0.2,28260,3,78,1.0,1199.6822112143507,False,0.005639455906584938,0,0.2,42519,0,0,0.0,0.0,False,0.00446491849751949,0,0.2,42174,0,39,0.3,958.8995157384988,False,0.007641147126606337,17,3.2230000000000008,39647.0,0,0,0.0,0.0,False,-0.22531165735276876,33,3.455000000000001,32911.0,43,0,0.0,1057.2481840193705,False,-0.34660158482141384,8,0.8290000000000002,62498,318,0,0.0,4169.082989851218,False,-0.03896457649550441,12,0.851,61692,374,0,0.0,4903.261126428791,False,-0.04549589197758378,0.2875,337851,0.0,0.0,6,0,0,10,11,11.0,19,29,49,342.0,93.0,19,26,49,1186,3.889816178008914,170.20692128315568
11,49,0,0,0,10.000000000000002,20,10.0,14.995925784799367,0,,24.659012476771967,1,30.0,12.977394908867058,46,11.869565217391305,32.0,20,32.0,0,0.2,28060,0,66,0.9,989.7311017967581,False,-0.004987610603582853,0,0.2,28150,4,88,1.0,1359.6414690623442,False,0.004593377048267168,0,0.2,42519,0,0,0.0,0.0,False,0.00446491849751949,0,0.2,42204,0,38,0.0,937.0424741173347,False,0.008091689984849207,19,3.3960000000000012,39187.0,1,0,0.0,24.659012476771967,False,-0.23405898029937894,27,3.6920000000000006,32161.0,43,0,0.0,1060.3375365011946,False,-0.3612261368507836,12,0.9410000000000001,62045,342,0,0.0,4438.269058832534,False,-0.0437027048791496,8,0.9190000000000003,61382,396,0,0.0,5139.048383911355,False,-0.04835457520043334,0.2375,335708,0.0,0.0,5,0,0,11,10,10.0,23,34,45,450.0,102.0,25,24,45,230,4.0397841689991765,174.24670545215486
12,45,0,0,0,10.000000000000002,20,10.0,14.995925784799367,0,,24.659012476771967,0,,12.833002355277907,109,12.321100917431192,32.0,20,32.0,0,0.2,28000,0,72,0.6,1079.7066565055543,False,-0.005510721017047225,0,0.2,28010,8,98,1.0,1549.600726910338,False,0.0030246136823182043,0,0.2,42519,0,0,0.0,0.0,False,0.00446491849751949,0,0.2,42204,0,38,0.0,937.0424741173347,False,0.008091689984849207,62,3.9970000000000008,36264.0,1,0,0.0,24.659012476771967,False,-0.2911733653867212,47,4.135000000000001,30342.0,43,0,0.0,1060.3375365011946,False,-0.39676875281858226,6,0.9890000000000001,61198,409,0,0.0,5248.697963308664,False,-0.0502767967492399,14,1.0510000000000002,60662,438,0,0.0,5620.8550316117235,False,-0.055483883933187615,0.2,329199,0.0,0.0,5,0,0,12,15,15.0,20,32,45,399.0,81.0,23,22,45,200,4.184490340994671,178.43119579314953
13,45,0,0,0,10.000000000000002,20,10.0,14.751258435633689,30,14.0,24.659012476771967,0,,12.66039276105018,112,11.973214285714286,32.0,20,32.0,0,0.2,28310,1,52,1.0,777.0654386529518,False,1.8562942590938814e-05,0,0.2,27920,7,108,1.0,1663.1359110484384,False,0.0018666093638657903,0,0.2,42519,0,0,0.0,0.0,False,0.00446491849751949,0,0.2,41784,20,48,1.0,1478.6577675977283,False,0.004567183647504506,36,4.295000000000001,35091.0,1,0,0.0,24.659012476771967,False,-0.31409337007623617,76,4.848000000000001,26030.0,43,0,0.0,1060.3375365011946,False,-0.48102370611882844,11,1.093,60394,464,0,0.0,5874.422241127283,False,-0.05758528711531615,9,1.1270000000000004,59910,495,0,0.0,6266.894416719839,False,-0.06186742446749427,0.375,321958,0.0,0.0,6,0,0,12,17,17.0,19,31,45,381.0,84.0,22,23,45,620,5.982923917006701,184.41411971015623
14,45,0,0,0,10.000000000000002,20,10.0,15.228794407742784,11,20.0,24.73663633985408,1,30.0,12.641336122190076,96,12.541666666666666,32.0,20,32.0,0,0.2,28430,1,51,1.0,786.668514794882,False,0.004367351641140167,0,0.2,27820,7,118,1.0,1866.9977401136484,False,0.0019338933046492673,0,0.2,42519,0,0,0.0,0.0,False,0.00446491849751949,0,0.2,41594,21,57,1.0,1729.7929539342808,False,0.0030450384353211393,62,4.879000000000001,32083.0,2,0,0.0,49.47327267970816,False,-0.37262619413928144,34,5.112000000000002,24966.0,43,0,0.0,1063.6753626137254,False,-0.5017812794304806,5,1.1320000000000001,59858,504,0,0.0,6371.233405583798,False,-0.06186490226645586,15,1.2680000000000005,59002,551,0,0.0,6965.376203326732,False,-0.07018216839536073,0.375,316272,0.0,0.0,6,0,0,11,15,15.0,16,27,48,342.0,108.0,19,26,48,450,3.553516036947258,187.9676357471035
15,48,0,0,0,10.000000000000002,20,10.0,15.00674633559946,24,14.0,24.73663633985408,0,,12.4652144449373,135,11.762962962962963,32.0,20,32.0,0,0.2,28676,0,37,1.0,555.24961441718,False,0.008907408432942746,0,0.2,27710,8,128,1.0,2000.863530956731,False,0.00043319274786975706,0,0.2,42519,0,0,0.0,0.0,False,0.00446491849751949,0,0.2,41258,35,67,1.0,2182.5907565162042,False,0.0004558322291070771,71,5.527000000000002,28236.0,2,0,0.0,49.47327267970816,False,-0.44779521207667644,64,5.718000000000001,21784.0,43,0,0.0,1063.6753626137254,False,-0.5639564328167013,9,1.217,59038,566,0,0.0,7055.311375834513,False,-0.06897731152933353,11,1.3630000000000002,58032,624,0,0.0,7778.293813640876,False,-0.07856807329027189,0.375,307253,0.0,0.0,6,0,0,12,20,20.0,20,32,39,382.0,108.0,22,26,39,536,3.466525150986854,191.43416089809034
16,39,0,0,0,10.000000000000002,20,10.0,15.00674633559946,0,,25.667606372599945,17,29.058823529411764,12.411299691174149,77,11.987012987012987,32.0,20,32.0,0,0.2,28606,0,44,0.7,660.2968387663763,False,0.008298432621896624,0,0.2,27580,11,138,1.0,2180.9309943127255,False,-0.0009594572041131305,0,0.2,42519,0,0,0.0,0.0,False,0.00446491849751949,0,0.2,41752,25,60,1.0,1915.2250407459833,False,0.008967931027001885,38,5.836000000000001,26973.0,2,0,0.0,51.33521274519989,False,-0.4724555940761147,39,6.044000000000002,19944.0,60,0,0.0,1540.0563823559967,False,-0.595255223119739,12,1.328,58701,582,0,0.0,7223.376420263355,False,-0.07274165250321155,8,1.4320000000000002,57249,685,0,0.0,8501.740288454292,False,-0.08483697944633044,0.3375,303324,0.0,0.0,7,0,0,10,13,13.0,21,31,40,378.0,69.0,21,18,40,694,3.298896408989094,194.73305730707943
17,40,0,0,0,10.000000000000002,20,10.0,14.804767555965634,30,14.0,25.786248683127017,2,30.0,12.330966313797758,122,11.926229508196721,32.0,20,32.0,0,0.2,28916,1,24,1.0,365.31442134317524,False,0.01396115445925105,0,0.2,27490,10,148,1.0,2291.105598282914,False,-0.0021760122955796052,0,0.2,42519,0,0,0.0,0.0,False,0.00446491849751949,0,0.2,41392,45,68,1.0,2419.6794504710906,False,0.006421916495051797,79,6.588000000000002,22297.0,3,0,0.0,77.35874604938105,False,-0.5635687331856523,43,6.435000000000001,18322.0,61,0,0.0,1572.961169670748,False,-0.6266270548900822,10,1.4160000000000001,57614,667,0,0.0,8224.754531303104,False,-0.08146638791607937,10,1.5240000000000002,56695,722,0,0.0,8902.957678561981,False,-0.09009570037230111,0.375,295245,0.0,0.0,8,0,0,12,18,18.0,18,30,41,345.0,60.0,20,20,41,680,3.2004240959649906,197.93348140304442
18,41,0,0,0,10.000000000000002,20,10.0,14.981561840824929,43,15.534883720930232,25.91067738001718,2,30.0,12.259138682830818,68,11.558823529411764,32.0,20,32.0,19,0.39,29171,0,10,1.0,149.8156184082493,False,0.019092194898742896,0,0.2,27380,11,158,1.0,2477.086770850339,False,-0.0027687160978058472,0,0.2,42519,0,0,0.0,0.0,False,0.00446491849751949,0,0.2,40784,78,76,1.0,3137.77330446565,False,0.0005406721529134047,23,6.7390000000000025,21693.0,3,0,0.0,77.73203214005154,False,-0.5753670323953647,45,6.842000000000002,16524.0,63,0,0.0,1632.3726749410823,False,-0.6611788984041865,11,1.5160000000000002,57137,697,0,0.0,8544.61966193308,False,-0.08618458310193991,9,1.6040000000000003,56169,760,0,0.0,9316.945398951422,False,-0.09484274490743133,0.375,291377,0.0,0.0,8,0,0,11,14,13.59375,19,30,45,361.0,78.0,20,21,45,480,3.21173339697998,201.1452148000244
19,45,0,0,0,10.000000000000002,20,10.0,14.981561840824929,0,,27.007678356579675,17,30.941176470588236,12.255879883622397,67,12.223880597014926,32.0,20,32.0,0,0.37100000000000005,29081,0,19,0.9,284.64967497567363,False,0.018305276935251184,0,0.2,27270,12,168,1.0,2636.902389258588,False,-0.003817297559784826,0,0.2,42519,0,0,0.0,0.0,False,0.00446491849751949,0,0.2,41310,68,69,1.0,2882.2760117800926,False,0.00994892525135948,20,6.916000000000002,20767.0,19,0,0.0,513.1458887750139,False,-0.5892068282389404,47,7.267000000000003,14687.0,64,0,0.0,1728.4914148210992,False,-0.6961341649261295,8,1.5850000000000002,56484,744,0,0.0,9118.374633415064,False,-0.09163275372825505,12,1.7150000000000003,55778,780,0,0.0,9559.58630922547,False,-0.09885577365496441,0.3625,287896,0.0,0.0,7,0,0,12,12,12.0,20,32,41,397.0,99.0,22,23,41,726,3.1865402960102074,204.3317550960346
20,41,0,0,0,10.000000000000002,20,10.0,14.981561840824929,0,,27.049728405598035,1,30.0,12.248453065055209,100,12.2,32.0,20,32.0,0,0.37100000000000005,28971,1,29,1.0,444.4652933839229,False,0.01725669547327208,0,0.2,27180,11,178,1.0,2776.7180076668374,False,-0.004517422683343136,0,0.2,42519,0,0,0.0,0.0,False,0.00446491849751949,0,0.2,41340,58,78,1.0,2978.8094024044926,False,0.011797890413471516,66,7.556000000000002,17447.0,20,0,0.0,540.9945681119607,False,-0.6538063760980113,34,7.560000000000003,13577.0,64,0,0.0,1731.1826179582742,False,-0.717796879343094,9,1.667,55820,790,0,0.0,9676.277921393616,False,-0.09736255471351903,11,1.8130000000000004,55003,834,0,0.0,10215.209856256044,False,-0.10551026133349174,0.375,281857,0.0,0.0,6,0,0,13,16,16.0,20,33,42,400.0,69.0,23,18,42,230,3.268582846969366,207.60033794300398
21,42,0,0,0,10.000000000000002,20,10.0,14.981561840824929,0,,27.139069850765747,2,30.0,12.26549376878051,62,12.451612903225806,32.0,20,32.0,0,0.37100000000000005,28871,1,39,1.0,594.2809117921722,False,0.01638234218050337,0,0.2,27080,11,188,1.0,2926.5336260750864,False,-0.005391775976111844,0,0.2,42519,0,0,0.0,0.0,False,0.00446491849751949,0,0.2,41400,48,86,1.0,3053.074975525451,False,0.014092546368124865,34,7.830000000000002,16374.0,21,0,0.0,569.9204668660807,False,-0.6744898152832655,28,7.806000000000003,12739.0,65,0,0.0,1764.0395402997735,False,-0.7338500963275258,15,1.808,55242,819,0,0.0,10045.439396631238,False,-0.10321692090421843,5,1.8520000000000005,54578,867,0,0.0,10634.183097532703,False,-0.108717257946067,0.375,278803,0.0,0.0,6,0,0,10,12,12.0,20,30,38,330.0,96.0,20,22,38,260,3.1903862450271845,210.79072418803116
22,38,0,0,0,10.000000000000002,20,10.0,15.104315982738763,42,15.571428571428571,27.186404603737913,1,30.0,12.244642319106658,24,11.666666666666666,32.0,20,32.0,3,0.401,29404,0,8,0.8,120.8345278619101,False,0.02670629534918651,0,0.2,26950,14,198,1.0,3130.6545645822753,False,-0.006365346634220554,0,0.2,42519,0,0,0.0,0.0,False,0.00446491849751949,0,0.2,40776,80,95,1.0,3791.0537159742025,False,0.008068198865747802,8,7.876000000000002,16230.0,21,0,0.0,570.9144966784961,False,-0.6772938128035632,16,7.938000000000002,12365.0,66,0,0.0,1794.3027038467021,False,-0.7408622581593,9,1.8830000000000005,55156,819,0,0.0,10028.362059348354,False,-0.10462372539583972,11,1.957,54165,891,0,0.0,10909.976306324032,False,-0.11281099755714916,0.35,277565,0.0,0.0,7,0,0,12,9,8.096774193548388,18,30,34,331.0,84.0,20,18,34,450,3.077813182026148,213.8685373700573
23,34,0,0,0,10.000000000000002,20,10.0,15.104315982738763,0,,27.237194883235453,1,30.0,12.240481307464995,44,12.181818181818182,32.0,20,32.0,0,0.398,29314,0,17,0.9,256.773371706559,False,0.025938625892162462,0,0.2,26840,15,208,1.0,3291.697724409663,False,-0.007392540866791007,0,0.2,42519,0,0,0.0,0.0,False,0.00446491849751949,0,0.2,40806,70,104,1.0,3889.9703866482005,False,0.009945315221452887,21,8.078000000000001,15692.0,22,0,0.0,599.21828743118,False,-0.6875296192950957,23,8.152000000000001,11771.0,66,0,0.0,1797.65486229354,False,-0.7524360578540238,8,1.9540000000000004,54784,844,0,0.0,10330.966223500456,False,-0.10790787173181611,12,2.0660000000000003,53784,910,0,0.0,11138.837989793145,False,-0.11677774147860043,0.3625,275510,0.0,0.0,6,0,0,11,11,11.0,17,28,27,343.0,75.0,19,15,27,230,2.869947020022664,216.73848439007998
24,27,0,0,0,10.000000000000002,20,10.0,15.104315982738763,0,,27.291520173295336,1,30.0,12.265744207595361,41,12.634146341463415,32.0,20,32.0,0,0.398,29244,0,24,0.7,362.5035835857303,False,0.02534154964781042,0,0.2,26710,18,218,1.0,3472.7408842370505,False,-0.008768191437782256,0,0.2,42519,0,0,0.0,0.0,False,0.00446491849751949,0,0.2,40836,60,113,1.0,3990.2007385466986,False,0.011837948718954647,25,8.307000000000002,15031.0,22,0,0.0,600.4134438124973,False,-0.7004336487962358,16,8.289000000000001,11413.0,67,0,0.0,1828.5318516107875,False,-0.7591295883816213,9,2.0360000000000005,54366,870,0,0.0,10671.197460607964,False,-0.1115965725167188,11,2.164,53465,925,0,0.0,11345.81339202571,False,-0.119984722012874,0.3375,273584,0.0,0.0,6,0,0,9,10,10.0,18,27,31,276.0,45.0,17,10,31,230,2.811747746018227,219.5502321360982
25,31,0,0,0,10.000000000000002,20,10.0,15.197395036246455,41,15.609756097560975,27.34942951791583,1,30.0,12.274923278732027,39,12.41025641025641,32.0,20,32.0,17,0.5680000000000001,29495,0,10,1.0,151.97395036246456,False,0.030419784486069867,0,0.2,26610,18,228,1.0,3645.0060682641915,False,-0.009251410058816077,0,0.2,42519,0,0,0.0,0.0,False,0.00446491849751949,0,0.2,40226,91,122,1.0,4719.593349484159,False,0.006042916955872422,15,8.432000000000002,14721.0,22,0,0.0,601.6874493941483,False,-0.70647849222914,24,8.513,10762.0,68,0,0.0,1859.7612072182765,False,-0.7715447926138352,8,2.107,53977,895,0,0.0,10986.056334465164,False,-0.11504251175975685,12,2.2730000000000006,53159,939,0,0.0,11526.152958729373,False,-0.12319643339586184,0.375,271469,0.0,0.0,6,0,0,10,11,10.566666666666666,16,26,35,324.0,69.0,18,13,35,450,2.779649297997821,222.32988143409602
