index,n_registered_negotiations_before,n_contracts_dropped,n_contracts_nullified_now,n_bankrupt,trading_price_0,sold_quantity_0,unit_price_0,trading_price_1,sold_quantity_1,unit_price_1,trading_price_2,sold_quantity_2,unit_price_2,trading_price_3,sold_quantity_3,unit_price_3,trading_price_4,sold_quantity_4,unit_price_4,spot_market_quantity_00Dec@0,spot_market_loss_00Dec@0,balance_00Dec@0,inventory_00Dec@0_input,inventory_00Dec@0_output,productivity_00Dec@0,assets_00Dec@0,bankrupt_00Dec@0,score_00Dec@0,spot_market_quantity_01Buy@0,spot_market_loss_01Buy@0,balance_01Buy@0,inventory_01Buy@0_input,inventory_01Buy@0_output,productivity_01Buy@0,assets_01Buy@0,bankrupt_01Buy@0,score_01Buy@0,spot_market_quantity_02Ind@1,spot_market_loss_02Ind@1,balance_02Ind@1,inventory_02Ind@1_input,inventory_02Ind@1_output,productivity_02Ind@1,assets_02Ind@1,bankrupt_02Ind@1,score_02Ind@1,spot_market_quantity_03Dec@1,spot_market_loss_03Dec@1,balance_03Dec@1,inventory_03Dec@1_input,inventory_03Dec@1_output,productivity_03Dec@1,assets_03Dec@1,bankrupt_03Dec@1,score_03Dec@1,spot_market_quantity_04MyA@2,spot_market_loss_04MyA@2,balance_04MyA@2,inventory_04MyA@2_input,inventory_04MyA@2_output,productivity_04MyA@2,assets_04MyA@2,bankrupt_04MyA@2,score_04MyA@2,spot_market_quantity_05Dec@2,spot_market_loss_05Dec@2,balance_05Dec@2,inventory_05Dec@2_input,inventory_05Dec@2_output,productivity_05Dec@2,assets_05Dec@2,bankrupt_05Dec@2,score_05Dec@2,spot_market_quantity_06Dec@3,spot_market_loss_06Dec@3,balance_06Dec@3,inventory_06Dec@3_input,inventory_06Dec@3_output,productivity_06Dec@3,assets_06Dec@3,bankrupt_06Dec@3,score_06Dec@3,spot_market_quantity_07Ran@3,spot_market_loss_07Ran@3,balance_07Ran@3,inventory_07Ran@3_input,inventory_07Ran@3_output,productivity_07Ran@3,assets_07Ran@3,bankrupt_07Ran@3,score_07Ran@3,productivity,market_size,production_failures,bankruptcy,n_contracts_executed,n_contracts_erred,n_contracts_nullified,n_contracts_cancelled,n_breaches,breach_level,n_contracts_signed,n_contracts_concluded,n_negotiations,n_negotiation_rounds_successful,n_negotiation_rounds_failed,n_negotiation_successful,n_negotiation_failed,n_registered_negotiations_after,activity_level,step_time,total_time
11,30,0,0,0,10.000000000000002,20,10.0,21.345128588009512,36,22.333333333333332,28.374955635656956,0,,58.456247376329706,7,71.28571428571429,56.0,20,56.0,0,0.3440000000000001,40745,1,11,1.0,244.79641446810464,False,0.04554962538015328,24,1.5920000000000003,36893,127,0,0.0,1270.0000000000002,False,-0.039885383887225935,0,0.5150000000000001,58946,7,40,1.0,1284.4141255423447,False,-0.010064008659149205,0,0.2,56852,89,81,1.0,4198.08785082106,False,-0.02064916893028326,0,0.2,91593,0,0,0.0,0.0,False,0.002846725717977073,0,0.2,91308,15,35,1.0,2471.5929927063944,False,0.013256944328481485,11,0.9490000000000003,125889,0,5,0.5,280.0,False,-0.016972816972816974,9,0.8210000000000002,125233,22,0,0.0,1286.0374422792536,False,-0.018166072141183057,0.5625,627459,0.0,0.0,13,0,0,10,13,13.0,20,30,34,136.0,79.0,10,20,34,1047,2.2173797369468957,37.15058883308666
12,34,0,0,0,10.000000000000002,20,10.0,21.644093990218437,57,22.63157894736842,30.04896110625146,11,43.0,59.05256385866927,5,65.0,56.0,20,56.0,19,0.5340000000000001,40966,0,7,0.7,151.50865793152906,False,0.05001034433355751,27,1.8380000000000007,36518,141,0,0.0,1410.0000000000002,False,-0.04768848977921048,0,0.5150000000000001,58955,13,39,1.0,1453.2827050166466,False,-0.008511789339330727,0,0.2,56026,120,91,1.0,5331.746739495095,False,-0.024954756790584655,0,0.2,91593,0,0,0.0,0.0,False,0.002846725717977073,0,0.2,91160,16,40,1.0,2842.885932046794,False,0.013669133456947672,7,1.0080000000000002,125711,0,5,0.5,280.0,False,-0.018361218361218363,8,0.8920000000000001,125099,22,0,0.0,1299.156404890724,False,-0.01916010918103533,0.525,626028,0.0,0.0,14,0,0,16,16,15.25,22,38,37,189.0,89.0,16,18,37,1429,2.1009226940223016,39.25151152710896
13,37,0,0,0,10.000000000000002,20,10.0,21.80701962233219,5,29.0,29.07394500364177,18,24.38888888888889,60.904212250977906,15,67.0,56.00000000000001,20,56.0,0,0.5150000000000001,41001,1,12,1.0,271.6842354679863,False,0.05244306592304325,0,1.8110000000000004,36428,150,0,0.0,1500.0000000000002,False,-0.0488397676977,0,0.5150000000000001,59249,8,31,1.0,1075.7484520915523,False,-0.006763560719577151,0,0.2,56026,110,101,1.0,5335.24060382436,False,-0.024925735091334982,0,0.2,91593,0,0,0.0,0.0,False,0.002846725717977073,0,0.2,91726,24,35,1.0,2829.422108871629,False,0.01979252903589956,3,1.0310000000000004,125031,4,10,1.0,803.6168490039117,False,-0.021623115912000654,12,1.004,124712,23,0,0.0,1400.7968817724918,False,-0.02178231394340123,0.625,625766,0.0,0.0,19,0,0,17,11,11.0,24,41,32,294.0,48.0,21,16,32,2069,2.1955487280501984,41.44706025515916
14,32,0,0,0,10.000000000000002,20,10.0,20.358388822899208,26,9.038461538461538,30.649844359646497,12,43.0,60.904212250977906,0,,56.00000000000001,20,56.0,0,0.5150000000000001,40921,0,21,0.9,427.5261652808834,False,0.05238987598537729,26,2.0710000000000006,35920,162,0,0.0,1620.0000000000002,False,-0.06030137897510681,0,0.5150000000000001,59540,23,29,1.0,1357.0884293564302,False,0.0004077518469982924,0,0.2,56016,101,111,1.0,5458.329995033581,False,-0.02406942556539208,0,0.2,91593,0,0,0.0,0.0,False,0.002846725717977073,0,0.2,91210,26,45,1.0,3537.585504644815,False,0.018019694440371017,3,1.058,125551,0,4,0.4,224.00000000000003,False,-0.019827619827619828,7,1.0620000000000003,124586,23,0,0.0,1400.7968817724918,False,-0.022765114926202215,0.5375,625337,0.0,0.0,18,0,0,19,9,9.0,20,39,26,210.0,77.0,16,16,26,1276,1.7751772940391675,43.222237549198326
15,26,0,0,0,10.000000000000002,20,10.0,20.66244797348308,11,26.363636363636363,29.165580870861227,10,15.0,62.1535373697598,17,66.41176470588235,56.00000000000001,20,56.0,0,0.5150000000000001,41081,2,21,1.0,453.91140744314464,False,0.05682082799195566,1,2.0550000000000006,35827,170,0,0.0,1700.0000000000002,False,-0.06165732852355003,0,0.5150000000000001,59335,23,34,1.0,1466.8660529993927,False,-0.0020860380353573942,0,0.2,56081,92,116,1.0,5284.152594580346,False,-0.02443638407000412,0,0.2,91593,0,0,0.0,0.0,False,0.002846725717977073,0,0.2,92189,26,38,1.0,3120.1395226932646,False,0.026453415100200724,11,1.1650000000000003,125194,0,5,0.5,280.00000000000006,False,-0.022393822393822392,5,1.1050000000000002,123711,35,0,0.0,2175.373807941593,False,-0.02656926871829651,0.5625,625011,0.0,0.0,20,0,0,10,9,8.666666666666666,26,36,33,166.0,87.0,12,14,33,1927,1.8383978709462099,45.060635420144536
16,33,0,0,0,10.000000000000002,20,10.0,20.66244797348308,0,,28.371109352392192,28,25.678571428571427,62.1535373697598,0,,56.00000000000001,20,56.0,0,0.5150000000000001,40931,7,31,1.0,710.5358871779755,False,0.056265969339908094,0,2.0540000000000003,35777,175,0,0.0,1750.0000000000002,False,-0.06229692736715532,0,0.5150000000000001,60054,13,16,1.0,722.5495732935551,False,0.003676027289211154,0,0.2,56081,82,126,1.0,5269.0805122270285,False,-0.024561579956249587,0,0.2,91593,0,0,0.0,0.0,False,0.002846725717977073,0,0.2,91470,44,48,1.0,4231.698605253727,False,0.024666323263517784,4,1.1940000000000002,125424,0,0,0.0,0.0,False,-0.02169182169182169,11,1.2100000000000002,123476,35,0,0.0,2175.373807941593,False,-0.02840227055129834,0.5,624806,0.0,0.0,15,0,0,16,7,6.5,24,40,38,225.0,88.0,17,16,38,1143,2.1589547020266764,47.21959012217121
17,38,0,0,0,10.000000000000002,20,10.0,21.201181968534662,53,23.18867924528302,28.371109352392192,0,,64.45782733426395,10,80.0,56.00000000000001,20,56.0,5,0.5650000000000001,41760,7,10,1.0,282.0118196853466,False,0.07199339703335308,17,2.2240000000000006,35440,185,0,0.0,1850.0000000000002,False,-0.06963952209174405,0,0.5150000000000001,59009,49,26,1.0,1776.5067596203953,False,-0.00492983719622896,0,0.2,55897,79,136,1.0,5533.3642474395765,False,-0.02542309659235493,0,0.2,91593,0,0,0.0,0.0,False,0.002846725717977073,0,0.2,92270,34,48,1.0,4058.593430026004,False,0.032477819791455434,13,1.32,125082,0,0,0.0,0.0,False,-0.02435942435942436,7,1.2690000000000001,122549,45,0,0.0,2900.602230041878,False,-0.032804484107320814,0.5,623600,0.0,0.0,16,0,0,16,17,16.833333333333336,24,40,32,231.0,125.0,15,23,32,1870,2.2220990819623694,49.44168920413358
18,32,0,0,0,10.000000000000002,20,10.0,21.201181968534662,0,,27.904424919097718,4,15.0,63.64312327041692,9,57.333333333333336,56.00000000000001,20,56.0,0,0.56,41680,5,20,1.0,474.0236393706932,False,0.07240289149040202,0,2.2070000000000003,35320,197,0,0.0,1970.0000000000005,False,-0.07117455931639675,0,0.5150000000000001,59069,39,32,1.0,1719.7876941839788,False,-0.004404195649201094,0,0.2,55897,69,146,1.0,5536.927594017158,False,-0.025393497740496023,0,0.2,91593,0,0,0.0,0.0,False,0.002846725717977073,0,0.2,92726,28,49,1.0,3899.836937985165,False,0.0366014306876221,11,1.4170000000000003,124837,0,0,0.0,0.0,False,-0.02627042627042627,9,1.352,121854,54,0,0.0,3436.7286566025136,False,-0.03613459437384463,0.5,622976,0.0,0.0,14,0,0,15,9,9.0,23,38,35,170.0,85.0,13,19,35,776,2.3789558649878018,51.82064506912138
19,35,0,0,0,10.000000000000002,20,10.0,20.777926570285963,33,17.90909090909091,28.602359478604523,5,43.0,63.64312327041692,0,,56.00000000000001,20,56.0,0,0.56,41580,6,29,1.0,662.5598705382929,False,0.07225624722463078,32,2.5270000000000006,34994,206,0,0.0,2060.0000000000005,False,-0.07836365031852023,0,0.5150000000000001,59059,30,42,1.0,1824.6368952099688,False,-0.0036993978202979295,0,0.2,55531,91,151,1.0,6209.7475991653055,False,-0.025885074931344447,0,0.2,91593,0,0,0.0,0.0,False,0.002846725717977073,0,0.2,92511,23,59,1.0,4412.798540962503,False,0.03705560170454551,8,1.4860000000000004,124683,0,0,0.0,0.0,False,-0.02747162747162747,12,1.463,121560,54,0,0.0,3436.7286566025136,False,-0.03842779666704692,0.5,621511,0.0,0.0,14,0,0,17,14,14.0,21,38,32,199.0,72.0,16,19,32,425,2.609255110961385,54.42990018008277
20,32,0,0,0,10.000000000000002,20,10.0,20.80112263968065,37,20.945945945945947,28.600259323057873,17,28.58823529411765,64.02155916743233,9,67.0,56.00000000000001,20,56.0,0,0.5600000000000002,41836,4,27,1.0,601.6303112713775,False,0.07802632987017909,25,2.7450000000000006,34655,218,0,0.0,2180.0000000000005,False,-0.08550157341315527,0,0.5150000000000001,58984,33,40,1.0,1830.4474200317763,False,-0.004897104196167574,0,0.2,55317,105,156,1.0,6645.7583315634965,False,-0.02581853397711152,0,0.2,91593,0,0,0.0,0.0,False,0.002846725717977073,0,0.2,92628,30,60,1.0,4699.3013297376765,False,0.03990507992586291,11,1.5880000000000003,123827,0,9,0.9,504.00000000000006,False,-0.03218283218283218,9,1.5410000000000001,121384,54,0,0.0,3457.164195041346,False,-0.03972089936023811,0.6125,620224,0.0,0.0,19,0,0,13,13,13.0,22,35,31,180.0,79.0,13,19,31,1625,2.264897030952852,56.69479721103562
21,31,0,0,0,10.000000000000002,20,10.0,21.08769461434716,10,28.0,29.12283589993897,10,34.5,64.02155916743233,0,,56.00000000000001,20,56.0,0,0.56,42006,5,27,1.0,619.3677545873734,False,0.08260249897136362,0,2.720000000000001,34565,227,0,0.0,2270.0000000000005,False,-0.0866528513316448,0,0.5150000000000001,58704,33,50,1.0,2152.035717270405,False,-0.006877465218539973,0,0.2,55662,95,156,1.0,6546.493388753459,False,-0.02091160756260211,0,0.2,91593,0,0,0.0,0.0,False,0.002846725717977073,0,0.2,92283,30,70,1.0,5355.194218718432,False,0.03971836148335457,0,1.5770000000000004,124275,0,1,0.0,56.00000000000001,False,-0.030435630435630436,12,1.6520000000000001,121097,54,0,0.0,3457.164195041346,False,-0.04195950159884035,0.5,620185,0.0,0.0,17,0,0,14,6,6.0,22,36,33,153.0,66.0,14,17,33,1273,2.0039343840326183,58.69873159506824
22,33,0,0,0,10.000000000000002,20,10.0,21.388255859999855,13,26.615384615384617,29.53582381178524,15,32.333333333333336,58.293980583388404,12,24.0,56.00000000000001,20,56.0,0,0.56,42252,4,25,1.0,574.7063964999963,False,0.08832484453270906,1,2.730000000000001,34442,238,0,0.0,2380.0000000000005,False,-0.08839256018625119,0,0.5150000000000001,58704,23,60,1.0,2264.079313487111,False,-0.005946777806034608,0,0.2,55801,98,151,1.0,6555.958469859556,False,-0.018523785843609353,0,0.2,91593,0,0,0.0,0.0,False,0.002846725717977073,0,0.2,92086,35,68,1.0,4997.744513082895,False,0.03560457070874109,10,1.677,123817,2,10,1.0,676.587961166777,False,-0.03158773853918811,9,1.73,120914,54,0,0.0,3147.874951502974,False,-0.04459313228227067,0.625,619609,0.0,0.0,15,0,0,12,14,13.5,24,36,34,187.0,87.0,14,19,34,1309,3.6651900759898126,62.36392167105805
23,34,0,0,0,10.000000000000002,20,10.0,21.758448475340128,11,29.0,28.84670360383991,24,25.833333333333332,61.834060781887025,19,75.89473684210526,56.00000000000001,20,56.0,0,0.56,42471,4,24,1.0,562.202763408163,False,0.09376778421736333,0,2.7290000000000005,34342,248,0,0.0,2480.0000000000005,False,-0.08967175787346177,0,0.5150000000000001,59005,24,46,1.0,1849.151129184799,False,-0.004392870309459414,0,0.2,55801,88,161,1.0,6559.062746048157,False,-0.018498000248794208,0,0.2,91593,0,0,0.0,0.0,False,0.002846725717977073,0,0.2,92908,49,59,1.0,5061.69806271949,False,0.04495471550655013,0,1.6670000000000005,124377,0,2,0.2,112.00000000000001,False,-0.02942162942162942,10,1.8210000000000002,119253,73,0,0.0,4513.886437077753,False,-0.05222149511689191,0.525,619750,0.0,0.0,21,0,0,16,6,6.0,21,37,34,228.0,72.0,15,19,34,3141,1.9336625140276738,64.29758418508573
24,34,0,0,0,10.000000000000002,20,10.0,21.867418761550685,24,22.791666666666668,29.283930321592553,15,32.666666666666664,61.834060781887025,0,,56.00000000000001,20,56.0,0,0.56,42651,5,24,1.0,574.8180502772165,False,0.09853427034918535,14,2.8690000000000007,34175,257,0,0.0,2570.0000000000005,False,-0.09279300023025558,0,0.5150000000000001,58980,25,46,1.0,1893.7462638320244,False,-0.004437765692327902,0,0.2,55769,91,166,1.0,6851.067540685476,False,-0.01660408395616281,0,0.2,91593,0,0,0.0,0.0,False,0.002846725717977073,0,0.2,92418,54,69,1.0,5847.882431316202,False,0.04389367715566219,10,1.7670000000000001,124286,0,0,0.0,0.0,False,-0.03056823056823057,8,1.8910000000000002,119109,73,0,0.0,4513.886437077753,False,-0.05334469624009303,0.5,618981,0.0,0.0,16,0,0,17,11,10.5,24,41,30,239.0,73.0,18,16,30,1036,1.889990511990618,66.18757469707634
25,30,0,0,0,10.000000000000002,20,10.0,21.40721036094828,35,18.714285714285715,29.76039931842071,5,41.0,60.73239712579865,5,42.0,56.00000000000001,20,56.0,0,0.56,43006,3,19,1.0,436.73699685801733,False,0.10585024428656609,20,3.0550000000000006,33815,269,0,0.0,2690.0000000000005,False,-0.10046818635351908,0,0.5150000000000001,58673,38,56,1.0,2480.0563555475946,False,-0.004667771243416317,0,0.2,55626,93,171,1.0,7079.898847018131,False,-0.017078954322539325,0,0.2,91593,0,0,0.0,0.0,False,0.002846725717977073,0,0.2,92423,49,74,1.0,5952.456953911715,False,0.04452091223277305,11,1.8670000000000004,124038,0,0,0.0,0.0,False,-0.0325026325026325,9,1.9730000000000003,118711,78,0,0.0,4737.126975812294,False,-0.05557846037279237,0.5,617885,0.0,0.0,14,0,0,7,12,12.0,25,32,31,161.0,66.0,13,17,31,1050,2.0522799490136094,68.23985464608995
