index,n_registered_negotiations_before,n_contracts_dropped,n_contracts_nullified_now,n_bankrupt,trading_price_0,sold_quantity_0,unit_price_0,trading_price_1,sold_quantity_1,unit_price_1,trading_price_2,sold_quantity_2,unit_price_2,trading_price_3,sold_quantity_3,unit_price_3,trading_price_4,sold_quantity_4,unit_price_4,spot_market_quantity_00Dec@0,spot_market_loss_00Dec@0,balance_00Dec@0,inventory_00Dec@0_input,inventory_00Dec@0_output,productivity_00Dec@0,assets_00Dec@0,bankrupt_00Dec@0,score_00Dec@0,spot_market_quantity_01Ind@0,spot_market_loss_01Ind@0,balance_01Ind@0,inventory_01Ind@0_input,inventory_01Ind@0_output,productivity_01Ind@0,assets_01Ind@0,bankrupt_01Ind@0,score_01Ind@0,spot_market_quantity_02Dec@1,spot_market_loss_02Dec@1,balance_02Dec@1,inventory_02Dec@1_input,inventory_02Dec@1_output,productivity_02Dec@1,assets_02Dec@1,bankrupt_02Dec@1,score_02Dec@1,spot_market_quantity_03Ran@1,spot_market_loss_03Ran@1,balance_03Ran@1,inventory_03Ran@1_input,inventory_03Ran@1_output,productivity_03Ran@1,assets_03Ran@1,bankrupt_03Ran@1,score_03Ran@1,spot_market_quantity_04MyA@2,spot_market_loss_04MyA@2,balance_04MyA@2,inventory_04MyA@2_input,inventory_04MyA@2_output,productivity_04MyA@2,assets_04MyA@2,bankrupt_04MyA@2,score_04MyA@2,spot_market_quantity_05Ran@2,spot_market_loss_05Ran@2,balance_05Ran@2,inventory_05Ran@2_input,inventory_05Ran@2_output,productivity_05Ran@2,assets_05Ran@2,bankrupt_05Ran@2,score_05Ran@2,spot_market_quantity_06Ran@3,spot_market_loss_06Ran@3,balance_06Ran@3,inventory_06Ran@3_input,inventory_06Ran@3_output,productivity_06Ran@3,assets_06Ran@3,bankrupt_06Ran@3,score_06Ran@3,spot_market_quantity_07Ran@3,spot_market_loss_07Ran@3,balance_07Ran@3,inventory_07Ran@3_input,inventory_07Ran@3_output,productivity_07Ran@3,assets_07Ran@3,bankrupt_07Ran@3,score_07Ran@3,productivity,market_size,production_failures,bankruptcy,n_contracts_executed,n_contracts_erred,n_contracts_nullified,n_contracts_cancelled,n_breaches,breach_level,n_contracts_signed,n_contracts_concluded,n_negotiations,n_negotiation_rounds_successful,n_negotiation_rounds_failed,n_negotiation_successful,n_negotiation_failed,n_registered_negotiations_after,activity_level,step_time,total_time
10,38,0,0,0,10.000000000000002,20,10.0,29.375324060482807,21,35.61904761904762,17.625483647457926,18,21.333333333333332,20.749376198892516,14,16.857142857142858,49.0,20,49.0,0,0.3440000000000001,61201,10,12,1.0,452.5038887257937,False,0.04204061043211758,0,0.29900000000000004,60134,0,13,0.9,381.87921278627647,False,0.023341186557755716,0,0.2,83072,75,70,1.0,3436.9331598582653,False,-0.023859795540919153,10,1.2360000000000002,81365.0,59,0,0.0,1733.1441195684856,False,-0.05331876564493231,0,0.2,108650,0,0,0.0,0.0,False,0.004270344215624653,14,3.409000000000001,84517.0,115,0,0.0,2026.9306194576616,False,-0.2094274290149663,15,0.9260000000000002,139266,202,0,0.0,4191.373992176288,False,-0.02587782964030313,5,0.7540000000000002,141076,160,0,0.0,3319.9001918228028,False,-0.01640779442855493,0.3625,759281,0.0,0.0,14,0,0,15,16,16.0,29,44,44,326.0,63.0,22,16,44,1148,3.1823261296376586,64.2458269810304
11,44,0,0,0,10.000000000000002,20,10.0,29.375324060482807,0,,20.371880544292516,20,32.35,21.294553129933025,24,26.083333333333332,49.0,20,49.0,0,0.3440000000000001,61081,12,22,1.0,766.2571293306218,False,0.04266617864027061,0,0.29900000000000004,60054,0,21,0.8,616.8818052701389,False,0.0239773516537188,0,0.2,83362,65,75,1.0,3437.2871047533213,False,-0.020519167512327966,15,1.3760000000000003,81106.0,59,0,0.0,1733.1441195684856,False,-0.05630047247062334,0,0.2,108650,0,0,0.0,0.0,False,0.004270344215624653,24,3.6350000000000007,83036.0,135,0,0.0,2750.2038734794896,False,-0.21977389417736035,12,1.0310000000000001,138933,205,0,0.0,4365.38339163627,False,-0.027572981140609822,8,0.8290000000000002,140397,181,0,0.0,3854.3141165178777,False,-0.019245456712453066,0.35,756619,0.0,0.0,13,0,0,18,22,22.0,31,49,39,376.0,68.0,26,18,39,490,3.2210765182971954,67.4669034993276
12,39,0,0,0,10.000000000000002,20,10.0,29.43764266943116,12,30.25,18.78637602890968,14,7.857142857142857,21.277002376608532,17,21.058823529411764,49.00000000000001,20,49.0,0,0.3440000000000001,61289,12,25,1.0,855.941066735779,False,0.04695534331995262,0,0.29900000000000004,60009,0,26,1.0,765.3787094052102,False,0.02447351701814458,0,0.2,83307,60,85,1.0,3363.1005226231923,False,-0.021579380618772126,14,1.5010000000000003,80352.0,66,0,0.0,1942.8844161824566,False,-0.06377350300943746,0,0.2,108650,0,0,0.0,0.0,False,0.004270344215624653,17,3.7810000000000006,82347.0,149,0,0.0,2799.170028307542,False,-0.2259161365941346,9,1.1090000000000002,138666,211,0,0.0,4489.4475014644,False,-0.0289854134888938,11,0.931,139930,192,0,0.0,4085.184456308838,False,-0.02166808693568349,0.375,754550,0.0,0.0,10,0,0,19,20,20.0,26,45,45,362.0,42.0,25,14,45,563,3.2060877541080117,70.67299125343561
13,45,0,0,0,10.000000000000002,20,10.0,27.904069189884073,16,13.375,19.679344701627016,15,25.6,22.11414598471113,26,28.73076923076923,49.000000000000014,20,49.0,0,0.3440000000000001,61209,10,35,1.0,1076.6424216459427,False,0.0474702066332418,0,0.29900000000000004,60103,2,20,1.0,578.0813837976815,False,0.024479477037758695,0,0.2,83305,65,92,1.0,3624.26420989215,False,-0.020099097372344013,12,1.6070000000000004,80036.0,67,0,0.0,1869.572635722233,False,-0.06783341217939612,0,0.2,108650,0,0,0.0,0.0,False,0.004270344215624653,26,4.024000000000001,81090.0,164,0,0.0,3227.4125310668305,False,-0.23555564142480298,8,1.1800000000000004,138346,218,0,0.0,4820.883824667027,False,-0.030048568311545096,12,1.04,139125,211,0,0.0,4666.0848027740485,False,-0.02521384537037676,0.375,751864,0.0,0.0,14,0,0,21,21,21.0,26,47,39,368.0,51.0,28,17,39,582,2.987758530303836,73.66074978373945
14,39,0,0,0,10.000000000000002,20,10.0,27.834852363744037,70,27.685714285714287,19.73189307720623,9,20.333333333333332,22.204980500239806,15,23.466666666666665,49.00000000000001,20,49.0,0,0.3440000000000001,61809,4,29,1.0,847.2107185485771,False,0.05570247772268046,34,0.639,60072,8,10,1.0,358.3485236374404,False,0.022089844811934385,0,0.2,82139,109,96,1.0,4928.260643059898,False,-0.02601648202882751,3,1.6250000000000002,79342.0,83,0,0.0,2310.292746190755,False,-0.07328613594861583,0,0.2,108650,0,0,0.0,0.0,False,0.004270344215624653,15,4.148000000000001,80516.0,173,0,0.0,3413.617502356678,False,-0.2400006585649209,7,1.2420000000000002,137892,233,0,0.0,5173.760456555875,False,-0.03196124349126611,13,1.1580000000000001,138832,211,0,0.0,4685.250885550599,False,-0.027166869196749613,0.375,749252,0.0,0.0,14,0,0,18,16,15.8,24,42,43,332.0,45.0,24,15,43,1600,5.096201849170029,78.75695163290948
15,43,0,0,0,10.000000000000002,20,10.0,27.003874161365268,39,22.76923076923077,25.759979702463546,32,44.75,21.791253479875248,4,1.0,49.00000000000001,20,49.0,0,0.3440000000000001,61749,0,39,1.0,1053.1510922932455,False,0.05643141607400677,29,0.8950000000000002,59962,12,10,1.0,390.03874161365275,False,0.0204926185483524,0,0.2,82483,138,84,1.0,5890.372929275345,False,-0.016518120895690016,10,1.7220000000000004,79147.0,83,0,0.0,2241.3215553933173,False,-0.07592806168683265,0,0.2,108650,0,0,0.0,0.0,False,0.004270344215624653,4,4.173000000000001,78916.0,205,0,0.0,5280.795839005027,False,-0.24616040670404743,12,1.3550000000000002,137634,237,0,0.0,5164.527074730434,False,-0.033770932851663035,8,1.225,138717,211,0,0.0,4597.954484253677,False,-0.028260112584143637,0.375,747258,0.0,0.0,13,0,0,16,16,15.6,25,41,39,336.0,150.0,23,20,39,1688,3.2203094214200974,81.97726105432957
16,39,0,0,0,10.000000000000002,20,10.0,27.54045831430165,17,34.294117647058826,26.531007307656907,11,34.90909090909091,20.510701446582587,26,11.423076923076923,49.0,20,49.0,0,0.3440000000000001,61844,0,42,0.8,1156.6992492006693,False,0.05892126456089729,2,0.8860000000000001,60198,14,10,1.0,415.40458314301657,False,0.024711229903331796,0,0.2,82363,140,89,1.0,6216.923814383696,False,-0.016019917488552752,6,1.7720000000000005,78858.0,88,0,0.0,2423.5603316585452,False,-0.07820613879523763,0,0.2,108650,0,0,0.0,0.0,False,0.004270344215624653,26,4.429000000000001,77243.0,216,0,0.0,5730.697578453892,False,-0.25954496996684523,14,1.4830000000000003,137060,255,0,0.0,5230.228868878559,False,-0.03749998666979554,6,1.2770000000000001,138585,219,0,0.0,4491.843616801587,False,-0.029535327987756068,0.35,744801,0.0,0.0,13,0,0,18,18,17.166666666666668,26,44,40,334.0,45.0,24,15,40,663,2.9605149189010262,84.9377759732306
17,40,0,0,0,10.000000000000002,20,10.0,26.536561620226,46,22.0,25.352317134654257,7,5.571428571428571,20.354030988998115,33,19.454545454545457,49.0,20,49.0,0,0.3440000000000001,61724,2,52,1.0,1399.901204251752,False,0.058948423249349076,36,1.2440000000000002,59924,12,10,1.0,385.36561620226007,False,0.019808356513276452,0,0.2,81351,176,99,1.0,7180.314241490547,False,-0.022124988536600394,7,1.8360000000000005,78638.0,88,0,0.0,2335.217422579888,False,-0.08124738137883862,0,0.2,108650,0,0,0.0,0.0,False,0.004270344215624653,33,4.733000000000001,75567.0,223,0,0.0,5653.566721027899,False,-0.2753929884967469,9,1.5590000000000006,136739,268,0,0.0,5454.880305051495,False,-0.0389379593533097,11,1.3810000000000002,137879,239,0,0.0,4864.6134063705495,False,-0.03311599121270917,0.375,740472,0.0,0.0,10,0,0,18,24,23.473684210526315,29,47,39,339.0,48.0,24,16,39,200,2.8763712644577026,87.8141472376883
18,39,0,0,0,10.000000000000002,20,10.0,27.151991806117582,42,30.5,24.937775122330372,9,19.77777777777778,19.980688277104523,13,14.23076923076923,48.99999999999999,20,49.0,0,0.3440000000000001,62345,3,45,1.0,1251.8396312752911,False,0.0682271084435299,15,1.3580000000000003,59994,11,10,1.0,381.5199180611758,False,0.020963204787707863,0,0.2,80854,191,108,1.0,7879.310148180139,False,-0.02382308837951635,8,1.9090000000000007,77732.0,105,0,0.0,2850.959139642346,False,-0.08870889135971395,0,0.2,108650,0,0,0.0,0.0,False,0.004270344215624653,13,4.830000000000001,74907.0,232,0,0.0,5785.563828380647,False,-0.28088344442830704,10,1.6500000000000001,136475,274,0,0.0,5474.70858792664,False,-0.04068886282128683,10,1.4700000000000002,137572,246,0,0.0,4915.249316167713,False,-0.03505705976499057,0.375,738529,0.0,0.0,11,0,0,15,19,18.6,28,43,43,304.0,69.0,21,18,43,984,2.930491610430181,90.74463884811848
19,43,0,0,0,10.000000000000002,20,10.0,27.913155986853845,84,30.11904761904762,24.83071533385566,2,19.0,19.574639993903027,19,15.473684210526315,48.999999999999986,20,49.0,0,0.3440000000000001,62821,0,41,1.0,1144.4393954610077,False,0.075390926016226,60,1.9430000000000005,58791,14,10,1.0,419.1315598685385,False,0.0008747524119877551,0,0.2,78870,251,118,1.0,9936.226562095284,False,-0.03482365010363859,2,1.9210000000000003,77154.0,119,0,0.0,3321.6655624356076,False,-0.09265357193260879,0,0.2,108650,0,0,0.0,0.0,False,0.004270344215624653,19,5.007000000000001,74092.0,234,0,0.0,5810.387388122224,False,-0.28830190322345267,9,1.7300000000000002,136053,284,0,0.0,5559.197758268459,False,-0.04330575412161067,11,1.5700000000000003,137324,255,0,0.0,4991.533198445271,False,-0.036503189845279053,0.375,733755,0.0,0.0,11,0,0,13,23,22.375,31,44,40,332.0,199.0,24,19,40,746,3.0418856935575604,93.78652454167604
20,40,0,0,0,10.000000000000002,20,10.0,28.423824731027416,13,40.0,23.722190412741078,12,14.5,19.363869726049707,22,17.545454545454547,48.99999999999999,20,49.0,0,0.3440000000000001,63221,2,38,1.0,1100.1053397790417,False,0.08180041510270775,0,1.8830000000000005,58711,12,20,1.0,688.4764946205484,False,0.001802206098666255,0,0.2,78870,241,128,1.0,9886.582133008465,False,-0.03510941290878476,12,2.0390000000000006,76326.0,132,0,0.0,3751.9448644956187,False,-0.09970905411685281,0,0.2,108650,0,0,0.0,0.0,False,0.004270344215624653,22,5.208000000000001,73015.0,246,0,0.0,5835.658841534305,False,-0.29814000239613303,11,1.8310000000000004,135718,291,0,0.0,5634.8860902804645,False,-0.04535345242018341,9,1.6490000000000002,136912,270,0,0.0,5228.24482603342,False,-0.03852668940912016,0.375,731423,0.0,0.0,11,0,0,17,17,17.0,27,44,38,331.0,54.0,24,16,38,720,2.9072923017665744,96.69381684344262
21,38,0,0,0,10.000000000000002,20,10.0,28.67378369216177,16,33.0,23.788119081689473,3,26.0,19.765291512717077,15,24.866666666666667,48.99999999999999,20,49.0,0,0.3440000000000001,63111,3,48,1.0,1406.3416172237648,False,0.08253186328202143,0,1.8830000000000005,59149,11,14,1.0,511.43297169026476,False,0.007730690696112381,0,0.2,78420,247,135,1.0,10293.820647992037,False,-0.03794584202714592,0,2.0270000000000006,76326.0,132,0,0.0,3784.9394473653538,False,-0.099519131003043,0,0.2,108650,0,0,0.0,0.0,False,0.004270344215624653,15,5.336,72547.0,249,0,0.0,5923.241651340679,False,-0.30206103425823255,11,1.9300000000000004,135126,306,0,0.0,6048.179202891426,False,-0.048008919689314755,9,1.7300000000000004,136751,270,0,0.0,5336.628708433611,False,-0.03926270282450164,0.375,730080,0.0,0.0,14,0,0,18,14,14.0,26,44,37,326.0,69.0,25,13,37,806,2.9607359431684017,99.65455278661102
22,37,0,0,0,10.000000000000002,20,10.0,28.619806885364962,52,28.346153846153847,23.683759857490607,4,21.25,20.146438208527318,10,27.2,48.99999999999999,20,49.0,0,0.3440000000000001,62981,6,58,1.0,1719.9487993511677,False,0.08298655447379236,38,2.263000000000001,59135,8,10,1.0,366.1980688536496,False,0.0062613281722645195,0,0.2,76946,289,145,1.0,11705.269369206611,False,-0.04679052433598526,4,2.067,76267.0,132,0,0.0,3777.814508868175,False,-0.10023937402076731,0,0.2,108650,0,0,0.0,0.0,False,0.004270344215624653,10,5.421000000000001,72245.0,253,0,0.0,5991.991243945124,False,-0.3045347393243931,4,1.9590000000000003,135062,308,0,0.0,6205.102968226414,False,-0.047909262980124934,16,1.8810000000000002,136076,278,0,0.0,5600.709821970594,False,-0.043004231682123355,0.375,727362,0.0,0.0,10,0,0,17,19,18.285714285714285,27,44,35,282.0,54.0,23,14,35,488,2.661417471244931,102.31597025785595
23,35,0,0,0,10.000000000000002,20,10.0,28.343325211749246,54,26.88888888888889,23.32981930350413,3,13.0,20.44339356523553,20,23.05,48.99999999999999,20,49.0,0,0.3440000000000001,63739,6,41,1.0,1222.076333681719,False,0.09162221864392711,17,2.3950000000000005,59187,8,10,1.0,363.43325211749243,False,0.00711999569218727,0,0.2,76242,316,155,1.0,12572.612758955904,False,-0.049902646932779675,3,2.0930000000000004,75453.0,149,0,0.0,4223.155456550638,False,-0.1070469851573705,0,0.2,108650,0,0,0.0,0.0,False,0.004270344215624653,20,5.6110000000000015,71566.0,256,0,0.0,5972.4337416970575,False,-0.310901237929821,10,2.0550000000000006,134880,308,0,0.0,6296.565218092544,False,-0.048848290627243794,10,1.9650000000000003,135430,298,0,0.0,6092.131282440188,False,-0.04576262160036312,0.375,725147,0.0,0.0,12,0,0,18,15,14.62962962962963,28,46,31,299.0,30.0,25,10,31,1058,2.425708915106952,104.7416791729629
