index,n_registered_negotiations_before,n_contracts_dropped,n_contracts_nullified_now,n_bankrupt,trading_price_0,sold_quantity_0,unit_price_0,trading_price_1,sold_quantity_1,unit_price_1,trading_price_2,sold_quantity_2,unit_price_2,trading_price_3,sold_quantity_3,unit_price_3,trading_price_4,sold_quantity_4,unit_price_4,spot_market_quantity_00Dec@0,spot_market_loss_00Dec@0,balance_00Dec@0,inventory_00Dec@0_input,inventory_00Dec@0_output,productivity_00Dec@0,assets_00Dec@0,bankrupt_00Dec@0,score_00Dec@0,spot_market_quantity_01Ind@0,spot_market_loss_01Ind@0,balance_01Ind@0,inventory_01Ind@0_input,inventory_01Ind@0_output,productivity_01Ind@0,assets_01Ind@0,bankrupt_01Ind@0,score_01Ind@0,spot_market_quantity_02Ran@1,spot_market_loss_02Ran@1,balance_02Ran@1,inventory_02Ran@1_input,inventory_02Ran@1_output,productivity_02Ran@1,assets_02Ran@1,bankrupt_02Ran@1,score_02Ran@1,spot_market_quantity_03Ran@1,spot_market_loss_03Ran@1,balance_03Ran@1,inventory_03Ran@1_input,inventory_03Ran@1_output,productivity_03Ran@1,assets_03Ran@1,bankrupt_03Ran@1,score_03Ran@1,spot_market_quantity_04MyA@2,spot_market_loss_04MyA@2,balance_04MyA@2,inventory_04MyA@2_input,inventory_04MyA@2_output,productivity_04MyA@2,assets_04MyA@2,bankrupt_04MyA@2,score_04MyA@2,spot_market_quantity_05Buy@2,spot_market_loss_05Buy@2,balance_05Buy@2,inventory_05Buy@2_input,inventory_05Buy@2_output,productivity_05Buy@2,assets_05Buy@2,bankrupt_05Buy@2,score_05Buy@2,spot_market_quantity_06Ran@3,spot_market_loss_06Ran@3,balance_06Ran@3,inventory_06Ran@3_input,inventory_06Ran@3_output,productivity_06Ran@3,assets_06Ran@3,bankrupt_06Ran@3,score_06Ran@3,spot_market_quantity_07Buy@3,spot_market_loss_07Buy@3,balance_07Buy@3,inventory_07Buy@3_input,inventory_07Buy@3_output,productivity_07Buy@3,assets_07Buy@3,bankrupt_07Buy@3,score_07Buy@3,productivity,market_size,production_failures,bankruptcy,n_contracts_executed,n_contracts_erred,n_contracts_nullified,n_contracts_cancelled,n_breaches,breach_level,n_contracts_signed,n_contracts_concluded,n_negotiations,n_negotiation_rounds_successful,n_negotiation_rounds_failed,n_negotiation_successful,n_negotiation_failed,n_registered_negotiations_after,activity_level,step_time,total_time
10,17,0,0,0,10.000000000000002,20,10.0,31.812649243615127,29,29.75862068965517,5.677866258065926,84,3.7023809523809526,30.822703721891216,44,28.136363636363637,51.00000000000001,20,51.0,0,0.29000000000000004,32407,1,23,1.0,741.6909326031479,False,0.0824200999373084,2,0.35500000000000004,32252,5,10,1.0,368.12649243615124,False,0.07113345374209354,20,2.6140000000000008,26816.0,61,0,0.0,1940.5716038605228,False,-0.32555921740988225,64,2.811000000000001,17968.0,147,0,0.0,4676.459438811424,False,-0.507118383470334,0,0.2,57925,0,0,0.0,0.0,False,0.018049843579739183,44,3.412000000000001,35326,533,0,0.0,3026.3027155491386,False,-0.35254048722671144,10,0.7770000000000001,66979,166,0,0.0,5116.5688178339415,False,-0.06772735377982053,10,0.903,68532,202,0,0.0,6226.186151822026,False,-0.039468379038316376,0.25,338205,0.0,0.0,13,0,0,5,23,22.333333333333332,26,31,15,203.0,6.0,15,2,15,949,1.3697017959784716,34.41822253301507
11,15,0,0,0,10.000000000000002,20,10.0,32.41905031741096,30,35.6,5.599517606561241,18,4.0,29.67754176082149,38,22.842105263157894,51.0,20,51.0,7,0.36000000000000004,33175,3,10,1.0,354.19050317410955,False,0.10138350345376963,0,0.35300000000000004,32172,3,20,1.0,678.3810063482191,False,0.07361437498098236,9,2.684000000000001,25972.0,78,0,0.0,2528.6859247580546,False,-0.338907668574989,9,2.837000000000001,17168.0,160,0,0.0,5187.048050785753,False,-0.5203397163670751,0,0.2,57925,0,0,0.0,0.0,False,0.018049843579739183,38,3.748,33102,551,0,0.0,3085.334201215244,False,-0.3911092287847091,13,0.897,66521,171,0,0.0,5074.859641100475,False,-0.0741472627257338,7,0.9630000000000003,67716,235,0,0.0,6974.2223137930505,False,-0.0453939433844598,0.25,333751,0.0,0.0,10,0,0,3,18,17.23076923076923,28,31,17,194.0,3.0,14,1,17,694,2.768151727039367,37.186374260054436
12,17,0,0,0,10.000000000000002,20,10.0,32.25782451407141,24,31.125,6.29124775661383,55,10.654545454545454,29.821148917376743,46,30.565217391304348,51.0,20,51.0,8,0.43300000000000005,33523,0,10,1.0,322.5782451407141,False,0.11235351438380414,0,0.35300000000000004,32156,6,24,1.0,834.1877883377138,False,0.07565860557984473,43,3.105000000000001,23683.0,93,0,0.0,2999.977679808641,False,-0.38874757057442366,12,2.9480000000000004,16487.0,169,0,0.0,5451.572342878068,False,-0.5336589195990429,0,0.2,57925,0,0,0.0,0.0,False,0.018049843579739183,46,4.17,29988,606,0,0.0,3812.4961405079807,False,-0.4394486964347782,15,1.0340000000000005,65176,196,0,0.0,5844.945187805842,False,-0.0870172197790168,5,1.006,67205,256,0,0.0,7634.214122848446,False,-0.047820629564356405,0.25,326143,0.0,0.0,10,0,0,7,26,25.166666666666668,28,35,15,229.0,0.0,17,0,15,314,1.4548391879652627,38.6412134480197
13,15,0,0,0,10.000000000000002,20,10.0,32.03880991408026,25,30.52,5.630101323667682,105,3.3523809523809525,29.622041111174678,16,26.4375,51.0,20,51.0,0,0.42500000000000004,33756,0,11,1.0,352.42690905488286,False,0.12054069924468128,0,0.35300000000000004,32486,6,18,1.0,636.6985784534447,False,0.08329533350593502,52,3.582000000000001,21054.0,116,0,0.0,3716.50195003331,False,-0.4438639050701072,53,3.4660000000000006,13169.0,171,0,0.0,5478.6364953077245,False,-0.6138663985132197,0,0.2,57925,0,0,0.0,0.0,False,0.018049843579739183,16,4.284,29125,711,0,0.0,4003.002041127722,False,-0.4529420889914608,10,1.1190000000000002,64761,203,0,0.0,6013.2743455684595,False,-0.09145266496689547,10,1.1010000000000002,66847,265,0,0.0,7849.840894461289,False,-0.05117483211692549,0.25,319123,0.0,0.0,14,0,0,6,18,18.0,26,32,14,212.0,0.0,15,0,14,963,1.448806356987916,40.090019805007614
14,14,0,0,0,10.000000000000002,20,10.0,31.626196948421367,33,29.393939393939394,5.125879954441849,62,1.7096774193548387,29.35166475900261,9,22.0,51.0,20,51.0,9,0.5150000000000001,33934,1,10,1.0,326.26196948421364,False,0.12598675730605993,0,0.35300000000000004,32862,5,15,1.0,524.3929542263205,False,0.09385762093366226,27,3.8000000000000016,19284.0,142,0,0.0,4490.919966675834,False,-0.47742760787062993,35,3.7630000000000003,11074.0,178,0,0.0,5629.463056819003,False,-0.6628866834532512,0,0.2,57925,0,0,0.0,0.0,False,0.018049843579739183,9,4.358,28776,773,0,0.0,3962.3052047835495,False,-0.4594335020142751,13,1.2390000000000003,64480,203,0,0.0,5958.38794607753,False,-0.09558790206278717,7,1.161,66534,274,0,0.0,8042.356143966715,False,-0.054080654359444924,0.25,314869,0.0,0.0,10,0,0,5,16,15.75,26,31,16,158.0,0.0,14,0,16,786,1.2929283269913867,41.382948131999
15,16,0,0,0,10.000000000000002,20,10.0,32.15807310547887,30,35.53333333333333,5.055338592877704,29,4.0,28.83224541639078,56,26.714285714285715,51.0,20,51.0,0,0.506,34118,5,11,1.0,403.7388041602676,False,0.13334222977610904,6,0.41300000000000003,33400,1,10,1.0,331.5807310547887,False,0.10844033965812665,29,4.063000000000001,17604.0,155,0,0.0,4984.5013313492245,False,-0.5122150861507655,0,3.728000000000001,10463.0,195,0,0.0,6270.82425556838,False,-0.6699334418848955,0,0.2,57925,0,0,0.0,0.0,False,0.018049843579739183,56,4.909000000000001,24661,802,0,0.0,4054.381551487919,False,-0.5309467683267609,10,1.326,63367,230,0,0.0,6631.41644576988,False,-0.10599809324585466,10,1.2540000000000002,65766,303,0,0.0,8736.170361166407,False,-0.05972616363561375,0.25,307304,0.0,0.0,10,0,0,9,21,20.46153846153846,22,31,15,186.0,13.0,15,1,15,811,1.3092830210225657,42.69223115302157
16,15,0,0,0,10.000000000000002,20,10.0,32.43906069554371,12,37.083333333333336,4.899402988666059,70,3.9714285714285715,29.33494701606167,13,39.23076923076923,51.00000000000001,20,51.0,0,0.506,34052,4,20,1.0,688.7812139108742,False,0.1358691832426998,1,0.4170000000000001,33687,2,10,1.0,344.3906069554371,False,0.11812942683698957,41,4.444000000000001,15611.0,164,0,0.0,5320.005954069168,False,-0.5565182898362926,29,4.018000000000002,9310.0,198,0,0.0,6422.934017717655,False,-0.6960735209869456,0,0.2,57925,0,0,0.0,0.0,False,0.018049843579739183,13,4.983000000000001,24196,872,0,0.0,4272.279406116803,False,-0.5372044763777567,8,1.3960000000000001,62720,243,0,0.0,7128.392124902985,False,-0.11134086711912627,12,1.3640000000000003,65502,303,0,0.0,8888.488945866686,False,-0.062244506925507294,0.25,303003,0.0,0.0,12,0,0,5,17,16.5,28,33,11,152.0,14.0,13,2,11,571,1.3895620140247047,44.08179316704627
17,11,0,0,0,10.000000000000002,20,10.0,33.027240023048655,24,37.666666666666664,4.899860337551566,2,5.0,29.19376232661728,37,28.27027027027027,51.000000000000014,20,51.0,0,0.506,34330,2,20,1.0,680.5448004609731,False,0.14491355921770324,4,0.456,34017,4,10,1.0,370.27240023048654,False,0.12945433591292665,0,4.4030000000000005,15027.0,179,0,0.0,5911.875964125709,False,-0.5635103283559588,2,4.009000000000001,8928.0,207,0,0.0,6836.638684771072,False,-0.7003247811261066,0,0.2,57925,0,0,0.0,0.0,False,0.018049843579739183,37,5.340000000000001,22323,874,0,0.0,4282.477935020069,False,-0.5700334112357195,10,1.4880000000000002,61758,266,0,0.0,7765.540778880196,False,-0.11996714811245504,10,1.4520000000000002,65042,317,0,0.0,9254.422657537678,False,-0.06595863560620412,0.25,299350,0.0,0.0,13,0,0,5,15,14.666666666666666,25,30,11,145.0,0.0,11,0,11,870,1.2706300420104526,45.352423209056724
18,11,0,0,0,10.000000000000002,20,10.0,33.37027258008128,22,36.36363636363637,4.626309217812372,42,2.0476190476190474,28.158869444654822,37,21.135135135135137,51.00000000000001,20,51.0,0,0.506,34580,1,20,1.0,677.4054516016256,False,0.1531174534641308,2,0.47200000000000003,34319,5,10,1.0,383.7027258008128,False,0.13964901138961786,25,4.653000000000001,13632.0,189,0,0.0,6306.981517635361,False,-0.5925752868075032,17,4.1770000000000005,7873.0,219,0,0.0,7308.0896950378,False,-0.7202105670642758,0,0.2,57925,0,0,0.0,0.0,False,0.018049843579739183,37,5.673000000000001,20098,916,0,0.0,4237.699243516133,False,-0.6095319761369807,7,1.548,61646,266,0,0.0,7490.259272278183,False,-0.12331403241578393,13,1.5720000000000003,63957,354,0,0.0,9968.239783407807,False,-0.07572001378616283,0.25,294030,0.0,0.0,11,0,0,4,20,19.5,24,28,13,147.0,3.0,10,1,13,852,1.1569722769781947,46.50939548603492
19,13,0,0,0,10.000000000000002,20,10.0,33.90934225750547,20,39.1,4.199607320974375,61,1.4426229508196722,28.633854145567117,66,30.5,51.00000000000001,20,51.0,0,0.506,34900,3,19,1.0,674.2775028926039,False,0.16363314019702457,0,0.4700000000000001,34581,3,11,1.0,403.00276483256016,False,0.14861968768298928,19,4.818000000000001,12764.0,195,0,0.0,6612.321740213567,False,-0.6099380841742086,42,4.580000000000001,5191.0,233,0,0.0,7900.876745998775,False,-0.7781150422825945,0,0.2,57925,0,0,0.0,0.0,False,0.018049843579739183,66,6.296,14952,977,0,0.0,4103.016352591965,False,-0.7011580692415202,8,1.6210000000000002,60122,302,0,0.0,8647.42395196127,False,-0.13598906037109176,12,1.6790000000000003,63077,384,0,0.0,10995.399991897773,False,-0.08063253300152985,0.25,283512,0.0,0.0,12,0,0,5,23,23.0,26,31,10,167.0,0.0,13,0,10,982,1.2315934309735894,47.74098891700851
20,10,0,0,0,10.000000000000002,20,10.0,34.41065911342426,27,37.96296296296296,4.199607320974375,0,,29.26757598595926,69,31.956521739130434,51.000000000000014,20,51.0,0,0.506,35400,1,14,1.0,491.74922758793963,False,0.17713079102417167,1,0.48000000000000004,34882,5,10,1.0,394.1065911342426,False,0.15841269716554793,0,4.799000000000002,12384.0,205,0,0.0,7054.185118251973,False,-0.6137990592216804,0,4.538000000000001,4546.0,250,0,0.0,8602.664778356066,False,-0.7852537103041813,0,0.2,57925,0,0,0.0,0.0,False,0.018049843579739183,69,6.92,9540,977,0,0.0,4103.016352591965,False,-0.7962756480667865,9,1.7030000000000003,58245,347,0,0.0,10155.848867127865,False,-0.1510420513270867,11,1.7770000000000004,62361,408,0,0.0,11941.17100227138,False,-0.08389192104552023,0.25,275283,0.0,0.0,13,0,0,4,19,19.0,26,30,10,139.0,0.0,10,0,10,1185,1.2067697810125537,48.94775869802106
21,10,0,0,0,10.000000000000002,20,10.0,34.926799414875696,33,38.0,3.9974037097462563,67,2.7611940298507465,29.711445241226226,33,34.09090909090909,51.00000000000001,20,51.0,5,0.556,35952,0,6,0.6,209.5607964892542,False,0.1907000990107862,4,0.5190000000000001,35168,10,10,1.0,449.26799414875694,False,0.16876804692802255,67,5.469000000000001,8552.0,205,0,0.0,7159.993880049517,False,-0.705526907448609,0,4.538000000000001,3292.0,283,0,0.0,9884.284234409823,False,-0.8001373305855745,0,0.2,57925,0,0,0.0,0.0,False,0.018049843579739183,33,7.181000000000001,8034,1044,0,0.0,4173.2894729750915,False,-0.8221265292894733,13,1.824,56952,374,0,0.0,11112.08052021861,False,-0.16196704259194641,7,1.8360000000000005,62124,414,0,0.0,12300.538329867657,False,-0.08466034985140138,0.2,267999,0.0,0.0,10,0,0,3,20,18.548872180451127,25,28,12,128.0,16.0,9,1,12,200,1.212206103024073,50.159964801045135
22,12,0,0,0,10.000000000000002,20,10.0,35.691634872619375,68,38.01470588235294,4.059488857057081,23,5.217391304347826,30.291643117876305,54,33.75925925925925,51.00000000000001,20,51.0,29,0.841,36218,5,10,1.0,406.91634872619375,False,0.20274282327333396,23,0.7450000000000001,35603,5,10,1.0,406.91634872619375,False,0.1824337287617429,9,5.492000000000002,6281.0,257,0,0.0,9172.750162263179,False,-0.7362223577967526,14,4.678000000000001,2270.0,299,0,0.0,10671.798826913193,False,-0.8153863100207143,0,0.2,57925,0,0,0.0,0.0,False,0.018049843579739183,54,7.6880000000000015,4554,1067,0,0.0,4331.474610479906,False,-0.8818985323695042,8,1.8910000000000002,55263,414,0,0.0,12540.74025080079,False,-0.17503425269945438,12,1.9490000000000003,61584,428,0,0.0,12964.82325445106,False,-0.087447054830799,0.25,259698,0.0,0.0,13,0,0,5,25,24.46969696969697,21,26,12,153.0,11.0,11,1,12,622,0.9883715430041775,51.14833634404931
23,12,0,0,0,10.000000000000002,20,10.0,35.82718755219904,26,37.11538461538461,3.9135343187977036,42,2.5,30.10173220267766,53,28.88679245283019,51.00000000000001,20,51.0,0,0.812,36264,6,16,1.0,633.2350008351847,False,0.20799872863145066,12,0.8420000000000001,36034,4,10,1.0,398.2718755219904,False,0.1965238735143319,21,5.6930000000000005,5364.0,264,0,0.0,9458.377513780548,False,-0.7550137440983937,21,4.874000000000001,815.0,318,0,0.0,11393.045641599296,False,-0.8419494934148972,0,0.2,57925,0,0,0.0,0.0,False,0.018049843579739183,53,8.164000000000001,1021,1109,0,0.0,4340.109559546653,False,-0.9439162223668086,12,2.0030000000000006,53823,450,0,0.0,13545.779491204947,False,-0.1876028671036953,8,2.0170000000000003,61098,445,0,0.0,13395.270830191559,False,-0.09107729805875159,0.25,252344,0.0,0.0,11,0,0,4,19,18.8,27,31,12,161.0,12.0,11,1,12,580,0.9704187479801476,52.11875509202946
