index,n_registered_negotiations_before,n_contracts_dropped,n_contracts_nullified_now,n_bankrupt,trading_price_0,sold_quantity_0,unit_price_0,trading_price_1,sold_quantity_1,unit_price_1,trading_price_2,sold_quantity_2,unit_price_2,trading_price_3,sold_quantity_3,unit_price_3,spot_market_quantity_00Buy@0,spot_market_loss_00Buy@0,balance_00Buy@0,inventory_00Buy@0_input,inventory_00Buy@0_output,productivity_00Buy@0,assets_00Buy@0,bankrupt_00Buy@0,score_00Buy@0,spot_market_quantity_01Ran@0,spot_market_loss_01Ran@0,balance_01Ran@0,inventory_01Ran@0_input,inventory_01Ran@0_output,productivity_01Ran@0,assets_01Ran@0,bankrupt_01Ran@0,score_01Ran@0,spot_market_quantity_02MyA@1,spot_market_loss_02MyA@1,balance_02MyA@1,inventory_02MyA@1_input,inventory_02MyA@1_output,productivity_02MyA@1,assets_02MyA@1,bankrupt_02MyA@1,score_02MyA@1,spot_market_quantity_03Dec@1,spot_market_loss_03Dec@1,balance_03Dec@1,inventory_03Dec@1_input,inventory_03Dec@1_output,productivity_03Dec@1,assets_03Dec@1,bankrupt_03Dec@1,score_03Dec@1,spot_market_quantity_04Ind@2,spot_market_loss_04Ind@2,balance_04Ind@2,inventory_04Ind@2_input,inventory_04Ind@2_output,productivity_04Ind@2,assets_04Ind@2,bankrupt_04Ind@2,score_04Ind@2,spot_market_quantity_05Ran@2,spot_market_loss_05Ran@2,balance_05Ran@2,inventory_05Ran@2_input,inventory_05Ran@2_output,productivity_05Ran@2,assets_05Ran@2,bankrupt_05Ran@2,score_05Ran@2,productivity,market_size,production_failures,bankruptcy,n_contracts_executed,n_contracts_erred,n_contracts_nullified,n_contracts_cancelled,n_breaches,breach_level,n_contracts_signed,n_contracts_concluded,n_negotiations,n_negotiation_rounds_successful,n_negotiation_rounds_failed,n_negotiation_successful,n_negotiation_failed,n_registered_negotiations_after,activity_level,step_time,total_time
10,12,0,0,0,10.000000000000002,20,10.0,8.855440511212722,0,,37.121044451817454,20,38.65,36.0,20,36.0,0,0.30800000000000005,29650,99,0,0.0,990.0000000000002,False,-0.020980156539248482,0,0.5780000000000001,28698,121,0,0.0,1210.0000000000002,False,-0.04832580948978597,0,0.2,48023,0,0,0.0,0.0,False,0.017932467092015177,3,0.24800000000000003,48602,0,0,0.0,0.0,False,0.030205396697543293,7,0.9270000000000003,68754,0,5,0.5,180.0,False,-0.018729154194817414,8,0.8290000000000002,67247,43,0,0.0,1596.2049114281506,False,-0.030116273900138584,0.08333333333333333,290974,0.0,0.0,15,0,0,11,9,8.6,19,30,15,92.0,24.0,7,5,15,963,1.8299771649762988,47.53324700304074
11,15,0,0,0,10.000000000000002,20,10.0,8.090899912515708,14,4.857142857142857,37.121044451817454,0,,35.99999999999999,20,36.0,2,0.32800000000000007,29536,108,0,0.0,1080.0000000000002,False,-0.023221071092202266,12,0.6980000000000001,28352,132,0,0.0,1320.0000000000002,False,-0.05777662303919977,0,0.2,48023,0,0,0.0,0.0,False,0.017932467092015177,0,0.24500000000000002,48534,4,10,1.0,403.5740441682374,False,0.03304124938177759,4,0.9600000000000002,68901,0,0,0.0,0.0,False,-0.01791670230052168,11,0.931,67087,43,0,0.0,1596.2049114281506,False,-0.03239684062096871,0.16666666666666666,290433,0.0,0.0,14,0,0,12,11,11.0,20,32,16,117.0,36.0,9,6,16,380,2.251927525969222,49.785174529009964
12,16,0,0,0,10.000000000000002,20,10.0,7.760060383882022,5,3.4,37.41130151287706,5,41.6,36.0,20,36.0,1,0.336,29394,121,0,0.0,1210.0000000000002,False,-0.025721801825208664,4,0.726,28206,139,0,0.0,1390.0000000000002,False,-0.06138157253742977,0,0.2,48023,0,0,0.0,0.0,False,0.017932467092015177,0,0.24500000000000002,48725,0,14,0.9,523.7582211802788,False,0.038363590533313695,9,1.0460000000000003,68778,0,0,0.0,0.0,False,-0.01966988796715984,11,1.0300000000000002,66712,48,0,0.0,1795.7424726180989,False,-0.03631986036789753,0.15,289838,0.0,0.0,14,0,0,10,15,15.0,24,34,14,128.0,27.0,10,6,14,408,2.778831039031502,52.564005568041466
13,14,0,0,0,10.000000000000002,20,10.0,7.815742546509072,3,9.0,37.41130151287706,0,,36.00000000000001,20,36.0,3,0.36500000000000005,29268,130,0,0.0,1300.0000000000002,False,-0.02835244064824137,0,0.7220000000000002,28096,150,0,0.0,1500.0000000000002,False,-0.06316780877529148,0,0.2,48023,0,0,0.0,0.0,False,0.017932467092015177,0,0.24500000000000002,48698,0,17,0.3,635.9921257189101,False,0.038980775862379045,11,1.147,68614,0,0,0.0,0.0,False,-0.02200746885601072,9,1.1090000000000002,66592,48,0,0.0,1795.7424726180989,False,-0.038030285408520124,0.049999999999999996,289291,0.0,0.0,12,0,0,9,12,12.0,24,33,16,107.0,18.0,8,6,16,200,2.2404031030018814,54.80440867104335
14,16,0,0,0,10.000000000000002,20,10.0,7.725093508594167,2,5.0,36.50371562731568,6,26.0,36.00000000000001,20,36.0,1,0.3720000000000001,29176,138,0,0.0,1380.0000000000002,False,-0.03004124581858335,1,0.7320000000000002,27956,162,0,0.0,1620.0000000000002,False,-0.06576597057581761,0,0.2,48023,0,0,0.0,0.0,False,0.017932467092015177,0,0.24500000000000002,48844,0,13,0.2,474.54830315510384,False,0.040364460469668455,11,1.246,68451,0,0,0.0,0.0,False,-0.02433079620285641,9,1.1900000000000004,66317,54,0,0.0,1971.2006438750466,False,-0.04069955925286458,0.03333333333333333,288767,0.0,0.0,12,0,0,11,13,13.0,17,28,16,92.0,34.0,8,8,16,356,3.0087861459469423,57.81319481699029
15,16,0,0,0,10.000000000000002,20,10.0,7.202565598751891,6,2.3333333333333335,36.01692689702267,3,25.0,36.00000000000001,20,36.0,1,0.38100000000000006,29044,150,0,0.0,1500.0000000000002,False,-0.032379591439056866,5,0.7810000000000001,27776,170,0,0.0,1700.0000000000002,False,-0.07031275372673833,0,0.2,48023,0,0,0.0,0.0,False,0.017932467092015177,0,0.24500000000000002,48905,0,16,0.6,576.2708303523627,False,0.04273555790271073,10,1.3350000000000002,68317,0,0,0.0,0.0,False,-0.02624077083155164,10,1.2810000000000004,66107,57,0,0.0,2052.9648331302924,False,-0.043110088420919186,0.09999999999999999,288172,0.0,0.0,12,0,0,14,10,10.0,22,36,13,163.0,23.0,12,4,13,275,2.678752450970933,60.49194726796122
16,13,0,0,0,10.000000000000002,20,10.0,6.174730013821362,13,1.7692307692307692,37.24745812229936,6,50.333333333333336,36.00000000000001,20,36.0,0,0.38000000000000006,28944,160,0,0.0,1600.0000000000002,False,-0.0340034425643857,13,0.9060000000000001,27384,180,0,0.0,1800.0000000000002,False,-0.08141989542398753,0,0.2,48023,0,0,0.0,0.0,False,0.017932467092015177,0,0.24500000000000002,49184,3,20,1.0,763.4733524874513,False,0.050633500990815934,13,1.4550000000000003,68096,0,0,0.0,0.0,False,-0.029390803614698254,7,1.3410000000000002,65730,63,0,0.0,2346.5898617048597,False,-0.046391075417594206,0.16666666666666666,287361,0.0,0.0,12,0,0,10,15,15.0,19,29,15,79.0,41.0,6,7,15,502,2.1582353180274367,62.65018258598866
17,15,0,0,0,10.000000000000002,20,10.0,6.2632292916940955,2,9.0,37.46292948126831,1,51.0,36.00000000000001,20,36.0,2,0.4,28790,173,0,0.0,1730.0000000000002,False,-0.036893897567471017,0,0.8930000000000002,27314,187,0,0.0,1870.0000000000002,False,-0.08255659121171771,0,0.2,48023,0,0,0.0,0.0,False,0.017932467092015177,0,0.24500000000000002,49217,0,24,0.5,899.1103075504395,False,0.05277052703171499,10,1.5420000000000005,67953,0,0,0.0,0.0,False,-0.03142906012144018,10,1.4340000000000002,65536,64,0,0.0,2397.627486801172,False,-0.04879252910002293,0.08333333333333333,286833,0.0,0.0,12,0,0,10,13,13.0,20,30,15,130.0,15.0,10,5,15,251,2.384391408995725,65.03457399498438
18,15,0,0,0,10.000000000000002,20,10.0,6.0795193005493555,7,4.571428571428571,37.50593445054276,5,38.0,36.00000000000001,20,36.0,0,0.398,28690,183,0,0.0,1830.0000000000002,False,-0.03851774869279984,7,0.9630000000000001,27091,197,0,0.0,1970.0000000000005,False,-0.08817511610535546,0,0.2,48023,0,0,0.0,0.0,False,0.017932467092015177,0,0.24500000000000002,49375,0,26,0.7,975.1542957141118,False,0.056925560079213455,13,1.6620000000000004,67541,0,5,0.5,180.00000000000003,False,-0.03601870064711081,7,1.4940000000000002,65455,64,0,0.0,2400.3798048347367,False,-0.04992745086209183,0.19999999999999998,286175,0.0,0.0,8,0,0,10,15,15.0,19,29,14,53.0,42.0,5,10,14,390,2.145304725971073,67.17987872095546
19,14,0,0,0,10.000000000000002,20,10.0,5.835179826022454,5,3.0,37.56702105073312,1,41.0,36.00000000000001,20,36.0,0,0.398,28590,193,0,0.0,1930.0000000000005,False,-0.040141599818128676,5,1.0060000000000002,26901,207,0,0.0,2070.0000000000005,False,-0.09272189925627619,0,0.2,48023,0,0,0.0,0.0,False,0.017932467092015177,0,0.24500000000000002,49401,0,30,0.5,1127.0106315219934,False,0.059086107971278265,0,1.6490000000000007,67685,0,1,0.0,36.00000000000001,False,-0.03499244562273725,16,1.647,65110,65,0,0.0,2441.856368297653,False,-0.05454932888410693,0.08333333333333333,285710,0.0,0.0,15,0,0,3,9,9.0,25,28,14,73.0,47.0,5,9,14,385,2.302615207969211,69.48249392892467
20,14,0,0,0,10.000000000000002,20,10.0,5.44689066694524,9,3.0,38.069388460802294,2,51.0,36.00000000000001,20,36.0,2,0.41800000000000004,28426,207,0,0.0,2070.0000000000005,False,-0.04319443993374687,7,1.0710000000000002,26698,213,0,0.0,2130.0000000000005,False,-0.09834042414991394,0,0.2,48023,0,0,0.0,0.0,False,0.017932467092015177,0,0.24500000000000002,49476,0,37,0.9,1408.5673730496849,False,0.06365991238367932,8,1.7290000000000005,67618,0,0,0.0,0.0,False,-0.03620399669317825,11,1.741,64846,67,0,0.0,2550.649026873754,False,-0.05753692360904135,0.15,285087,0.0,0.0,12,0,0,11,15,14.5,21,32,13,90.0,32.0,6,8,13,302,2.234454135003034,71.7169480639277
21,13,0,0,0,10.000000000000002,20,10.0,5.155351014477185,8,3.0,36.50922014155667,10,29.0,36.00000000000001,20,36.0,0,0.41600000000000004,28336,216,0,0.0,2160.0000000000005,False,-0.04465590594654282,8,1.1440000000000001,26432,224,0,0.0,2240.0000000000005,False,-0.1051930758988016,0,0.2,48023,0,0,0.0,0.0,False,0.017932467092015177,0,0.24500000000000002,49742,0,35,0.8,1277.8227049544835,False,0.06791257079672806,12,1.8410000000000009,67236,0,5,0.5,180.00000000000003,False,-0.04036603095869323,8,1.8100000000000003,64651,72,0,0.0,2628.66385019208,False,-0.059760370519455604,0.21666666666666667,284420,0.0,0.0,13,0,0,2,13,13.0,26,28,16,58.0,50.0,4,9,16,490,2.351492774032522,74.06844083796022
22,16,0,0,0,10.000000000000002,20,10.0,4.958817203998576,3,1.0,36.65671196191354,5,38.2,36.0,20,36.0,0,0.41600000000000004,28246,225,0,0.0,2250.0000000000005,False,-0.046117371959338765,3,1.1660000000000004,26262,235,0,0.0,2350.0000000000005,False,-0.10892793348705791,0,0.2,48023,0,0,0.0,0.0,False,0.017932467092015177,0,0.24500000000000002,49930,0,33,0.3,1209.6714947431467,False,0.07117527073301765,4,1.8690000000000007,67341,0,1,0.1,36.0,False,-0.03989566407252202,11,1.912,64331,76,0,0.0,2785.910109105429,False,-0.06320084588282568,0.06666666666666667,284133,0.0,0.0,19,0,0,5,11,11.0,22,27,16,88.0,72.0,7,9,16,571,2.516664681956172,76.5851055199164
23,16,0,0,0,10.000000000000002,20,10.0,4.6129784047652285,11,2.8181818181818183,37.08007975657968,2,48.0,36.0,20,36.0,2,0.43600000000000005,28112,236,0,0.0,2360.0000000000005,False,-0.048683056737358316,9,1.2530000000000003,25981,244,0,0.0,2440.0000000000005,False,-0.11659251079860998,0,0.2,48023,0,0,0.0,0.0,False,0.017932467092015177,0,0.24500000000000002,49995,1,41,1.0,1524.8962484245321,False,0.07589393399775873,8,1.9450000000000005,67274,0,0,0.0,0.0,False,-0.041107215142963026,11,2.0110000000000006,64075,78,0,0.0,2892.246221013215,False,-0.06609191951728084,0.16666666666666666,283460,0.0,0.0,13,0,0,10,14,13.5,19,29,15,143.0,59.0,9,7,15,296,2.4884683470008895,79.07357386691729
24,15,0,0,0,10.000000000000002,20,10.0,4.542979542891905,30,4.4,37.08007975657968,0,,36.0,20,36.0,2,0.45400000000000007,27968,248,0,0.0,2480.0000000000005,False,-0.05141112662791075,28,1.5240000000000002,25275,252,0,0.0,2520.0000000000005,False,-0.13822220778799,0,0.2,48023,0,0,0.0,0.0,False,0.017932467092015177,0,0.24500000000000002,49863,21,51,1.0,1986.4866379862935,False,0.07798807298033252,10,2.037000000000001,67135,0,0,0.0,0.0,False,-0.043088457481684196,10,2.1000000000000005,63934,78,0,0.0,2892.246221013215,False,-0.06810166894001239,0.16666666666666666,282198,0.0,0.0,12,0,0,7,14,14.0,26,33,8,125.0,42.0,10,5,8,200,2.4357936320011504,81.50936749891844
25,8,0,0,0,10.000000000000002,20,10.0,4.642152633891498,6,6.0,38.19979678904992,5,49.0,36.0,20,36.0,3,0.4820000000000001,27821,259,0,0.0,2590.0000000000005,False,-0.0543990126985158,3,1.5260000000000002,25131,261,0,0.0,2610.0000000000005,False,-0.1414374330161411,0,0.2,48023,0,0,0.0,0.0,False,0.017932467092015177,0,0.24500000000000002,50072,17,56,1.0,2218.105214962951,False,0.08487298063635833,12,2.1470000000000002,66945,0,0,0.0,0.0,False,-0.04579663046266998,8,2.1700000000000004,63593,83,0,0.0,3170.583133491143,False,-0.07097848332698231,0.16666666666666666,281585,0.0,0.0,13,0,0,4,13,13.0,23,27,6,88.0,29.0,6,2,6,445,2.152622785011772,83.66199028393021
26,6,0,0,0,10.000000000000002,20,10.0,4.328035419690378,15,2.6666666666666665,38.19979678904992,0,,36.0,20,36.0,0,0.47900000000000004,27721,269,0,0.0,2690.0000000000005,False,-0.05602286382384463,15,1.6730000000000003,24716,271,0,0.0,2710.0000000000005,False,-0.15329154623104155,0,0.2,48023,0,0,0.0,0.0,False,0.017932467092015177,0,0.24500000000000002,50032,22,66,1.0,2616.403367310483,False,0.0882464269380258,10,2.2350000000000008,66805,0,0,0.0,0.0,False,-0.047792126343396336,10,2.2620000000000005,63454,83,0,0.0,3170.583133491143,False,-0.0729597256657035,0.16666666666666666,280751,0.0,0.0,12,0,0,1,13,13.0,25,26,8,76.0,13.0,5,1,8,200,1.8218451010179706,85.48383538494818
27,8,0,0,0,10.000000000000002,20,10.0,4.127562239259064,8,2.0,38.19979678904992,0,,36.0,20,36.0,1,0.48900000000000005,27579,282,0,0.0,2820.0000000000005,False,-0.05852359455685103,7,1.7280000000000004,24498,278,0,0.0,2780.0000000000005,False,-0.15923484134974505,0,0.2,48023,0,0,0.0,0.0,False,0.017932467092015177,0,0.24500000000000002,50016,20,76,1.0,2985.735800752975,False,0.09182160587524608,9,2.315000000000001,66689,0,0,0.0,0.0,False,-0.049445537215998175,11,2.3620000000000005,63293,83,0,0.0,3170.583133491143,False,-0.07525454592853881,0.16666666666666666,280098,0.0,0.0,13,0,0,3,12,12.0,22,25,9,51.0,28.0,4,4,9,200,4.738047782040667,90.22188316698885
28,9,0,0,0,10.000000000000002,20,10.0,4.007110933790807,10,3.0,34.30028730922386,16,22.625,36.0,20,36.0,0,0.48800000000000004,27469,293,0,0.0,2930.0000000000005,False,-0.06030983079471274,10,1.8210000000000004,24228,287,0,0.0,2870.0000000000005,False,-0.1665421714137248,0,0.2,48023,0,0,0.0,0.0,False,0.017932467092015177,0,0.24500000000000002,50348,20,70,1.0,2481.1623303214865,False,0.09351126958392318,7,2.376000000000001,66618,0,0,0.0,0.0,False,-0.05045753869836654,13,2.4810000000000003,62707,99,0,0.0,3395.728443613162,False,-0.08200256247603153,0.16666666666666666,279393,0.0,0.0,14,0,0,4,13,13.0,23,27,12,89.0,33.0,6,3,12,562,1.9691047490341589,92.190987916023
29,12,0,0,0,10.000000000000002,20,10.0,3.6702208806555614,14,1.6428571428571428,34.30028730922386,0,,35.99999999999999,20,36.0,0,0.48800000000000004,27369,303,0,0.0,3030.0000000000005,False,-0.06193368192004157,14,1.9510000000000005,23822,297,0,0.0,2970.0000000000005,False,-0.17810399142606606,0,0.2,48023,0,0,0.0,0.0,False,0.017932467092015177,0,0.24500000000000002,50325,24,80,1.0,2832.108285873642,False,0.09674320416594578,12,2.4890000000000008,66431,0,0,0.0,0.0,False,-0.05312295105333675,8,2.5480000000000005,62611,99,0,0.0,3395.728443613162,False,-0.0833709025085296,0.16666666666666666,278581,0.0,0.0,12,0,0,12,12,12.0,20,32,13,104.0,48.0,7,5,13,200,1.9539699450251646,94.14495786104817
30,13,0,0,0,10.000000000000002,20,10.0,3.698573972620028,5,4.2,32.79252400049257,11,24.90909090909091,35.99999999999999,20,36.0,2,0.508,27235,314,0,0.0,3140.0000000000005,False,-0.06449936669806113,3,1.9670000000000005,23672,306,0,0.0,3060.0000000000005,False,-0.1815140787892566,0,0.2,48023,0,0,0.0,0.0,False,0.017932467092015177,0,0.24500000000000002,50578,19,79,1.0,2660.8823015186936,False,0.10029126800685391,9,2.567000000000001,66312,0,0,0.0,0.0,False,-0.05481912255195416,11,2.65,62167,110,0,0.0,3607.1776400541826,False,-0.08819252515711547,0.16666666666666666,277987,0.0,0.0,15,0,0,3,15,15.0,28,31,12,102.0,54.0,7,6,12,474,2.2918346489896066,96.43679251003778
31,12,0,0,0,10.000000000000002,20,10.0,3.4631038798856038,19,2.4210526315789473,31.89614771736922,7,24.0,35.99999999999999,20,36.0,0,0.506,27135,324,0,0.0,3240.0000000000005,False,-0.06612321782338995,19,2.154000000000001,23147,316,0,0.0,3160.0000000000005,False,-0.19694066447988048,0,0.2,48023,0,0,0.0,0.0,False,0.017932467092015177,0,0.24500000000000002,50700,28,82,1.0,2712.4510214610727,False,0.10342381903746611,10,2.658000000000001,66169,0,0,0.0,0.0,False,-0.05685737905869609,10,2.739000000000001,61859,117,0,0.0,3731.849282932199,False,-0.09169410984540462,0.16666666666666666,277033,0.0,0.0,13,0,0,3,15,15.0,23,26,12,123.0,36.0,8,4,12,368,2.2692142400192097,98.70600675005699
32,12,0,0,0,10.000000000000002,20,10.0,3.323894765763076,9,1.8888888888888888,31.89614771736922,0,,35.99999999999999,20,36.0,1,0.516,26993,337,0,0.0,3370.0000000000005,False,-0.06862394855639635,8,2.2150000000000007,22905,323,0,0.0,3230.0000000000005,False,-0.20366340813874184,0,0.2,48023,0,0,0.0,0.0,False,0.017932467092015177,0,0.24500000000000002,50683,27,92,1.0,3024.1907486735713,False,0.10636741154242081,12,2.7680000000000002,65981,0,0,0.0,0.0,False,-0.059537044955671484,8,2.8090000000000006,61762,117,0,0.0,3731.849282932199,False,-0.09307670341990788,0.16666666666666666,276347,0.0,0.0,12,0,0,3,13,13.0,24,27,9,69.0,56.0,6,6,9,200,2.2286362920422107,100.9346430420992
