index,n_registered_negotiations_before,n_contracts_dropped,n_contracts_nullified_now,n_bankrupt,trading_price_0,sold_quantity_0,unit_price_0,trading_price_1,sold_quantity_1,unit_price_1,trading_price_2,sold_quantity_2,unit_price_2,trading_price_3,sold_quantity_3,unit_price_3,trading_price_4,sold_quantity_4,unit_price_4,spot_market_quantity_00Dec@0,spot_market_loss_00Dec@0,balance_00Dec@0,inventory_00Dec@0_input,inventory_00Dec@0_output,productivity_00Dec@0,assets_00Dec@0,bankrupt_00Dec@0,score_00Dec@0,spot_market_quantity_01Dec@0,spot_market_loss_01Dec@0,balance_01Dec@0,inventory_01Dec@0_input,inventory_01Dec@0_output,productivity_01Dec@0,assets_01Dec@0,bankrupt_01Dec@0,score_01Dec@0,spot_market_quantity_02MyA@1,spot_market_loss_02MyA@1,balance_02MyA@1,inventory_02MyA@1_input,inventory_02MyA@1_output,productivity_02MyA@1,assets_02MyA@1,bankrupt_02MyA@1,score_02MyA@1,spot_market_quantity_03Dec@1,spot_market_loss_03Dec@1,balance_03Dec@1,inventory_03Dec@1_input,inventory_03Dec@1_output,productivity_03Dec@1,assets_03Dec@1,bankrupt_03Dec@1,score_03Dec@1,spot_market_quantity_04Ind@2,spot_market_loss_04Ind@2,balance_04Ind@2,inventory_04Ind@2_input,inventory_04Ind@2_output,productivity_04Ind@2,assets_04Ind@2,bankrupt_04Ind@2,score_04Ind@2,spot_market_quantity_05Dec@2,spot_market_loss_05Dec@2,balance_05Dec@2,inventory_05Dec@2_input,inventory_05Dec@2_output,productivity_05Dec@2,assets_05Dec@2,bankrupt_05Dec@2,score_05Dec@2,spot_market_quantity_06Buy@3,spot_market_loss_06Buy@3,balance_06Buy@3,inventory_06Buy@3_input,inventory_06Buy@3_output,productivity_06Buy@3,assets_06Buy@3,bankrupt_06Buy@3,score_06Buy@3,spot_market_quantity_07Ran@3,spot_market_loss_07Ran@3,balance_07Ran@3,inventory_07Ran@3_input,inventory_07Ran@3_output,productivity_07Ran@3,assets_07Ran@3,bankrupt_07Ran@3,score_07Ran@3,productivity,market_size,production_failures,bankruptcy,n_contracts_executed,n_contracts_erred,n_contracts_nullified,n_contracts_cancelled,n_breaches,breach_level,n_contracts_signed,n_contracts_concluded,n_negotiations,n_negotiation_rounds_successful,n_negotiation_rounds_failed,n_negotiation_successful,n_negotiation_failed,n_registered_negotiations_after,activity_level,step_time,total_time
10,33,0,0,0,10.000000000000002,20,10.0,18.756705764620243,46,19.17391304347826,31.92680372241596,32,35.0,38.42586259526044,45,37.111111111111114,43.0,20,43.0,2,0.29200000000000004,30303,0,9,0.9,168.8103518815822,False,0.034605739536985196,0,0.2,29230,8,43,1.0,886.5383478786705,False,0.01029141581625869,0,0.2,44342,0,0,0.0,0.0,False,0.01369361955055666,22,0.6180000000000001,42425,94,10,1.0,2082.3983790984626,False,-0.006327888129546854,19,0.534,56230,27,10,1.0,1246.2823264578353,False,-0.023443932061752097,0,0.5330000000000001,57553,22,11,1.0,1125.0741704410161,False,-0.0017599868559464644,7,0.8190000000000002,84393,63,0,0.0,2420.829343501408,False,-0.023817284681034643,13,0.861,84271,49,0,0.0,1882.8672671677616,False,-0.028275856023538357,0.6125,428747,0.0,0.0,14,0,0,14,14,11.99702380952381,23,37,33,209.0,63.0,16,17,33,1250,5.97634489601478,95.765848151932
11,33,0,0,0,10.000000000000002,20,10.0,18.756705764620243,0,,31.92680372241596,0,,35.403996089101085,39,27.28205128205128,43.00000000000001,20,43.0,0,0.29000000000000004,30183,2,19,1.0,376.3774095277846,False,0.03405361427135242,0,0.2,29150,6,53,1.0,1054.1054055248728,False,0.010420234338716337,0,0.2,44342,0,0,0.0,0.0,False,0.01369361955055666,0,0.5960000000000001,42425,84,20,1.0,2214.09935867642,False,-0.004822493214040836,20,0.7150000000000001,55857,17,10,1.0,896.7956241720822,False,-0.03285242000607989,0,0.5330000000000001,57955,12,12,1.0,807.9695977382046,False,0.002421670254373279,13,0.9420000000000002,83424,97,0,0.0,3434.187620642805,False,-0.02908938317838116,7,0.9180000000000001,83854,54,0,0.0,1911.8157888114586,False,-0.03286607792722568,0.625,427190,0.0,0.0,14,0,0,10,10,10.0,22,32,29,207.0,85.0,13,20,29,762,6.093074302945752,101.85892245487776
12,29,0,0,0,10.000000000000002,20,10.0,18.99648711083698,11,22.0,32.55826667521629,29,35.0,33.63466156833952,41,28.048780487804876,43.0,20,43.0,0,0.29000000000000004,30053,5,29,1.0,600.8981262142725,False,0.033449629331896595,0,0.2,29322,3,52,1.0,1017.817329763523,False,0.015658597422006777,0,0.2,44342,0,0,0.0,0.0,False,0.01369361955055666,9,0.6860000000000002,42937,85,10,1.0,1940.284071173306,False,0.003752418343201205,5,0.7450000000000001,55902,7,10,1.0,564.2544824099092,False,-0.03493546255101599,14,0.6730000000000002,57191,31,10,1.0,1345.6528826151002,False,-0.006083574816937164,10,1.0290000000000001,82609,123,0,0.0,4137.063372905761,False,-0.03437563647250733,10,1.0110000000000003,83191,69,0,0.0,2320.791648215427,False,-0.03809474268909684,0.625,425547,0.0,0.0,15,0,0,14,14,13.310344827586206,22,36,34,192.0,53.0,15,14,34,1232,5.432565208000597,107.29148766287835
13,34,0,0,0,10.000000000000002,20,10.0,19.130277312925966,16,20.25,33.0551633366525,16,37.0,31.91930924972078,48,26.4375,43.00000000000001,20,43.0,0,0.29000000000000004,30247,8,23,1.0,519.9963781972972,False,0.038677545507427365,0,0.2,29252,0,62,1.0,1186.0771934014099,False,0.016139681886919274,0,0.2,44342,0,0,0.0,0.0,False,0.01369361955055666,6,0.7370000000000001,43031,91,10,1.0,2071.406868842788,False,0.007400119663063739,15,0.8900000000000001,55684,0,7,0.7,223.43516474804545,False,-0.0416071046347517,13,0.7890000000000001,56770,37,10,1.0,1542.2341359533502,False,-0.011626695043170963,10,1.1190000000000002,81977,151,0,0.0,4819.815696707838,False,-0.037689779588173156,10,1.1010000000000002,82220,89,0,0.0,2840.8185232251494,False,-0.04620251263955012,0.5875,423523,0.0,0.0,14,0,0,9,16,15.375,27,36,31,213.0,86.0,15,19,31,844,5.146522521972656,112.43801018485101
14,31,0,0,0,10.000000000000002,20,10.0,19.130277312925966,0,,33.07786467338749,1,36.0,29.71678374010869,31,16.838709677419356,43.00000000000001,20,43.0,0,0.29000000000000004,30127,10,33,1.0,731.2991513265569,False,0.03818901554810117,0,0.2,29172,0,70,0.8,1339.1194119048175,False,0.01602123543469436,0,0.2,44342,0,0,0.0,0.0,False,0.01369361955055666,0,0.7310000000000001,43067,81,19,1.0,2178.0318911413656,False,0.009441875170214243,19,1.0650000000000002,55117,0,1,0.1,29.71678374010869,False,-0.05301009323800108,0,0.7760000000000002,56860,27,15,1.0,1338.8541022830925,False,-0.0118274923367078,10,1.2090000000000003,81297,182,0,0.0,5408.4546406997815,False,-0.04208790630445318,10,1.191,82064,89,0,0.0,2644.7937528696734,False,-0.049099155265761536,0.4875,422046,0.0,0.0,11,0,0,7,11,10.3,26,33,30,163.0,59.0,13,18,30,326,4.610411838977598,117.0484220238286
15,30,0,0,0,10.000000000000002,20,10.0,18.644098897681822,18,15.0,33.85826185565726,29,37.0,29.917855289060274,5,37.6,43.00000000000001,20,43.0,0,0.29000000000000004,30327,7,25,1.0,536.1024724420456,False,0.04167550428044742,0,0.2,29042,3,80,1.0,1521.5279118145459,False,0.014700349184817475,0,0.2,44342,0,0,0.0,0.0,False,0.01369361955055666,10,0.8310000000000002,43580,89,10,1.0,1997.907420450255,False,0.0191105710679452,0,1.046,54044,19,11,1.0,972.403383437151,False,-0.06334464097498066,0,0.7760000000000002,57048,17,20,1.0,1173.947557327379,False,-0.010014535390022148,9,1.2890000000000001,81162,182,0,0.0,5445.04966260897,False,-0.04341872883154123,11,1.2910000000000001,81678,94,0,0.0,2812.278397171666,False,-0.05254596544056658,0.625,421223,0.0,0.0,13,0,0,9,12,11.344827586206897,24,33,32,208.0,74.0,13,17,32,658,4.579004205996171,121.62742622982478
16,32,0,0,0,10.000000000000002,20,10.0,19.096507217899,18,22.555555555555557,33.85826185565726,0,,31.325195451063223,36,38.22222222222222,43.0,20,43.0,0,0.29000000000000004,30262,5,34,1.0,699.281245408566,False,0.04224032626414772,0,0.2,29313,5,73,1.0,1444.0450269066268,False,0.022608100284406858,0,0.2,44342,0,0,0.0,0.0,False,0.01369361955055666,0,0.8210000000000002,43174,97,20,1.0,2529.5264372493484,False,0.015905704195521054,0,1.046,54044,9,21,1.0,962.553461173243,False,-0.06342923613681985,16,0.9360000000000002,57768,7,10,1.0,550.2597875002331,False,-0.0030037120177587744,13,1.4100000000000001,79538,218,0,0.0,6828.892608331783,False,-0.054047731786640865,7,1.35,81585,94,0,0.0,2944.5683723999427,False,-0.052852207884413895,0.625,420026,0.0,0.0,16,0,0,10,11,10.666666666666666,26,36,34,270.0,63.0,16,16,34,806,4.687620564014651,126.31504679383943
17,34,0,0,0,10.000000000000002,20,10.0,19.519009280457038,17,23.0,32.49050099509767,9,12.555555555555555,30.360410183692444,29,24.0,43.00000000000001,20,43.0,0,0.29000000000000004,30543,6,27,1.0,587.01325057234,False,0.04989638164468928,0,0.2,29223,4,83,1.0,1660.0777702779342,False,0.023221507103570366,0,0.2,44342,0,0,0.0,0.0,False,0.01369361955055666,0,0.8210000000000002,42896,104,21,1.0,2712.277486064583,False,0.011639319274679236,0,1.0460000000000003,54353,8,18,1.0,806.4113912672453,False,-0.05946261129489808,6,0.9800000000000002,57796,0,7,0.7,212.52287128584712,False,-0.0054233839080194135,10,1.4970000000000003,79099,234,0,0.0,7104.335982984032,False,-0.05748337372289365,10,1.443,80995,107,0,0.0,3248.5638896550913,False,-0.057846987811573,0.5875,419247,0.0,0.0,16,0,0,9,12,11.857142857142858,27,36,32,217.0,95.0,14,20,32,1288,5.905604236002546,132.22065102984197
18,32,0,0,0,10.000000000000002,20,10.0,19.713144360082058,12,22.0,32.49050099509767,0,,29.591240123997594,43,26.046511627906977,43.00000000000001,20,43.0,0,0.29000000000000004,30433,7,37,1.0,799.3863413230362,False,0.04976654423279826,0,0.2,29397,3,81,1.0,1626.7646931666468,False,0.028578609736928363,0,0.2,44342,0,0,0.0,0.0,False,0.01369361955055666,0,0.8210000000000002,42632,106,31,1.0,3096.798833016726,False,0.009999300836896511,10,1.1460000000000001,54648,0,8,0.8,236.72992099198075,False,-0.059288107449654855,8,1.0540000000000003,57841,0,0,0.0,0.0,False,-0.006475660448658491,11,1.5970000000000002,78780,242,0,0.0,7161.080110007418,False,-0.0607975635747421,9,1.5230000000000004,79868,142,0,0.0,4201.956097607658,False,-0.06526276001455295,0.475,417941,0.0,0.0,13,0,0,11,13,11.553571428571429,29,40,37,248.0,51.0,18,14,37,784,6.221214087039698,138.44186511688167
19,37,0,0,0,10.000000000000002,20,10.0,19.95576408885757,11,23.0,33.447833151760605,34,37.0,29.453096169196925,11,26.727272727272727,43.00000000000001,20,43.0,0,0.29000000000000004,30363,4,47,1.0,977.9209121763058,False,0.05042254114902974,0,0.2,29520,6,80,1.0,1656.4611271086055,False,0.033271954089213907,0,0.2,44342,0,0,0.0,0.0,False,0.01369361955055666,3,0.851,43550,107,10,1.0,2469.745089025366,False,0.0238180404753374,0,1.1360000000000001,54109,7,13,1.0,617.0250822618842,False,-0.06528028202392831,6,1.1060000000000003,57170,7,10,1.0,528.6657937542934,False,-0.01346090733317624,9,1.6760000000000004,78557,247,0,0.0,7274.914753791641,False,-0.06269149549678624,11,1.624,79473,148,0,0.0,4359.058233041145,False,-0.06887140085161052,0.625,417084,0.0,0.0,14,0,0,13,11,10.176470588235293,26,39,34,273.0,72.0,18,19,34,1172,6.390823278983589,144.83268839586526
20,34,0,0,0,10.000000000000002,20,10.0,20.18151386009152,15,22.2,33.60291331883417,16,35.0,28.346816761936548,29,20.517241379310345,43.000000000000014,20,43.0,0,0.29000000000000004,30263,4,57,1.0,1190.3462900252166,False,0.05063406574555207,0,0.2,29753,6,75,1.0,1573.613539506864,False,0.03979458546707404,0,0.2,44342,0,0,0.0,0.0,False,0.01369361955055666,6,0.9080000000000001,43603,112,10,1.0,2596.358685518592,False,0.026476906996760464,15,1.286,53383,13,10,1.0,720.3060407642097,False,-0.07686363289047886,0,1.1,57236,0,16,0.7,453.54906819098477,False,-0.012972370502327572,12,1.7870000000000001,77903,272,0,0.0,7710.334159246741,False,-0.06766675318588507,8,1.6930000000000003,79193,152,0,0.0,4308.716147814355,False,-0.07235143372363298,0.5875,415676,0.0,0.0,14,0,0,7,13,12.208333333333334,23,30,31,147.0,69.0,11,23,31,860,4.671027551987208,149.50371594785247
21,31,0,0,0,10.000000000000002,20,10.0,20.33076692888554,12,22.0,33.13023474082969,24,30.291666666666668,28.346816761936548,0,,43.000000000000014,20,43.0,0,0.29000000000000004,30447,2,55,1.0,1138.1921810887047,False,0.056010898183390195,0,0.2,29633,8,85,1.0,1808.115188955271,False,0.039700983775752804,0,0.2,44342,0,0,0.0,0.0,False,0.01369361955055666,14,1.0420000000000003,43605,114,10,1.0,2649.009777301249,False,0.027124451652850205,0,1.2710000000000001,53347,4,20,1.0,699.4572742020498,False,-0.077661056080576,0,1.1000000000000003,56545,13,26,1.0,1167.7102874411362,False,-0.018708043152966987,12,1.8950000000000005,77694,272,0,0.0,7710.334159246741,False,-0.07005009488182085,8,1.765,79078,152,0,0.0,4308.716147814355,False,-0.07366284183383688,0.625,414691,0.0,0.0,12,0,0,5,11,10.529411764705882,30,35,26,183.0,67.0,13,18,26,536,4.673273554944899,154.17698950279737
22,26,0,0,0,10.000000000000002,20,10.0,20.63615834225434,17,23.0,33.309037641428716,16,35.0,28.866125819675666,26,33.07692307692307,43.000000000000014,20,43.0,0,0.29000000000000004,30357,1,65,1.0,1351.350292246532,False,0.05657536842883344,0,0.2,29914,9,78,1.0,1699.6203506958386,False,0.04742127184460592,0,0.2,44342,0,0,0.0,0.0,False,0.01369361955055666,6,1.0880000000000003,43600,121,10,1.0,2830.0655358270624,False,0.029079687445157622,0,1.2710000000000001,54015,0,6,0.4,173.196754918054,False,-0.07070668216944884,0,1.1000000000000003,56177,19,28,1.0,1441.1232381380642,False,-0.022680929968926546,8,1.9630000000000005,77334,277,0,0.0,7995.91685205016,False,-0.07252704435951872,12,1.8770000000000002,78250,173,0,0.0,4993.839766803891,False,-0.07919855992106523,0.55,413989,0.0,0.0,15,0,0,12,10,9.375,21,33,30,151.0,37.0,14,12,30,1451,4.592646477976814,158.76963598077418
23,30,0,0,0,10.000000000000002,20,10.0,20.756994091535365,13,22.0,34.05277810895415,38,37.0,28.379156930514014,10,18.0,43.000000000000014,20,43.0,0,0.29000000000000004,30267,0,75,1.0,1556.7745568651524,False,0.05700818080530373,0,0.2,30090,10,75,1.0,1656.7745568651524,False,0.05268418775093037,0,0.2,44342,0,0,0.0,0.0,False,0.01369361955055666,28,1.362,43699,124,10,1.0,2914.3950484399265,False,0.03230682678874248,0,1.2710000000000001,53402,9,11,1.0,618.6457292162415,False,-0.07741037368841047,0,1.1000000000000003,55564,28,33,1.0,1889.9899657576786,False,-0.029355268424218667,11,2.0650000000000004,76981,287,0,0.0,8144.818039057522,False,-0.07570349610536016,9,1.9550000000000003,78117,173,0,0.0,4909.594148978925,False,-0.08119558141575679,0.625,412462,0.0,0.0,14,0,0,11,10,9.473684210526315,23,34,29,187.0,64.0,14,16,29,666,5.156205148959998,163.92584112973418
24,29,0,0,0,10.000000000000002,20,10.0,20.756994091535365,0,,34.05277810895415,0,,28.379156930514014,0,,43.000000000000014,20,43.0,0,0.29000000000000004,30117,5,85,1.0,1814.3444977805061,False,0.05628586867625387,0,0.2,30040,5,85,1.0,1814.3444977805061,False,0.05366423509210624,0,0.2,44342,0,0,0.0,0.0,False,0.01369361955055666,0,1.3340000000000003,43699,114,20,1.0,3047.352888614115,False,0.033826588123975425,0,1.2710000000000001,53402,0,20,0.9,567.5831386102802,False,-0.07784892010537738,0,1.1,55564,18,43,1.0,1833.2537539732775,False,-0.029842542220848596,11,2.1640000000000006,76784,287,0,0.0,8144.818039057522,False,-0.07794999521588335,9,2.0360000000000005,77991,173,0,0.0,4909.594148978925,False,-0.08263242856258889,0.6125,411939,0.0,0.0,8,0,0,5,10,10.0,23,28,37,150.0,59.0,11,18,37,200,4.892042011022568,168.81788314075675
25,37,0,0,0,10.000000000000002,20,10.0,20.756994091535365,0,,34.075456560801555,2,36.0,33.204152270088144,54,51.148148148148145,43.000000000000014,20,43.0,0,0.29000000000000004,30027,4,95,1.0,2011.9144386958596,False,0.05658497222933945,0,0.2,29930,6,95,1.0,2031.9144386958596,False,0.05362286675114667,0,0.2,44342,0,0,0.0,0.0,False,0.01369361955055666,0,1.3340000000000003,43771,104,28,1.0,3112.8401692221214,False,0.03622111159753701,1,1.2810000000000004,54081,0,1,0.1,33.204152270088144,False,-0.07077532591062825,0,1.1000000000000003,57534,9,20,1.0,970.7621544489768,False,-0.0034116411208820197,11,2.263000000000001,76236,298,0,0.0,9894.837376486266,False,-0.0742209245057344,9,2.1170000000000004,75461,216,0,0.0,7172.096890339039,False,-0.09858312679412577,0.5125,411382,0.0,0.0,17,0,0,10,9,8.076923076923077,26,36,35,218.0,81.0,14,23,35,2592,8.51602392696077,177.33390706771752
