index,n_registered_negotiations_before,n_contracts_dropped,n_contracts_nullified_now,n_bankrupt,trading_price_0,sold_quantity_0,unit_price_0,trading_price_1,sold_quantity_1,unit_price_1,trading_price_2,sold_quantity_2,unit_price_2,trading_price_3,sold_quantity_3,unit_price_3,trading_price_4,sold_quantity_4,unit_price_4,spot_market_quantity_00Dec@0,spot_market_loss_00Dec@0,balance_00Dec@0,inventory_00Dec@0_input,inventory_00Dec@0_output,productivity_00Dec@0,assets_00Dec@0,bankrupt_00Dec@0,score_00Dec@0,spot_market_quantity_01Buy@0,spot_market_loss_01Buy@0,balance_01Buy@0,inventory_01Buy@0_input,inventory_01Buy@0_output,productivity_01Buy@0,assets_01Buy@0,bankrupt_01Buy@0,score_01Buy@0,spot_market_quantity_02Buy@1,spot_market_loss_02Buy@1,balance_02Buy@1,inventory_02Buy@1_input,inventory_02Buy@1_output,productivity_02Buy@1,assets_02Buy@1,bankrupt_02Buy@1,score_02Buy@1,spot_market_quantity_03Buy@1,spot_market_loss_03Buy@1,balance_03Buy@1,inventory_03Buy@1_input,inventory_03Buy@1_output,productivity_03Buy@1,assets_03Buy@1,bankrupt_03Buy@1,score_03Buy@1,spot_market_quantity_04Ind@2,spot_market_loss_04Ind@2,balance_04Ind@2,inventory_04Ind@2_input,inventory_04Ind@2_output,productivity_04Ind@2,assets_04Ind@2,bankrupt_04Ind@2,score_04Ind@2,spot_market_quantity_05Dec@2,spot_market_loss_05Dec@2,balance_05Dec@2,inventory_05Dec@2_input,inventory_05Dec@2_output,productivity_05Dec@2,assets_05Dec@2,bankrupt_05Dec@2,score_05Dec@2,spot_market_quantity_06Dec@3,spot_market_loss_06Dec@3,balance_06Dec@3,inventory_06Dec@3_input,inventory_06Dec@3_output,productivity_06Dec@3,assets_06Dec@3,bankrupt_06Dec@3,score_06Dec@3,spot_market_quantity_07MyA@3,spot_market_loss_07MyA@3,balance_07MyA@3,inventory_07MyA@3_input,inventory_07MyA@3_output,productivity_07MyA@3,assets_07MyA@3,bankrupt_07MyA@3,score_07MyA@3,productivity,market_size,production_failures,bankruptcy,n_contracts_executed,n_contracts_erred,n_contracts_nullified,n_contracts_cancelled,n_breaches,breach_level,n_contracts_signed,n_contracts_concluded,n_negotiations,n_negotiation_rounds_successful,n_negotiation_rounds_failed,n_negotiation_successful,n_negotiation_failed,n_registered_negotiations_after,activity_level,step_time,total_time
10,42,0,0,0,10.000000000000002,20,10.0,23.573289468839118,14,25.285714285714285,19.03369422595927,2,12.0,38.24133454098473,8,49.5,43.00000000000001,8,43.0,0,0.42500000000000004,42946,0,10,0.7,235.73289468839118,False,0.03441825676405075,0,0.2,40391,124,0,0.0,1240.0000000000002,False,-0.01489274819245274,1,0.255,50716,48,0,0.0,1131.5178945042776,False,-0.01455141437667642,1,0.28200000000000003,50310,63,0,0.0,1485.1172365368643,False,-0.018955809714475014,2,0.49900000000000005,73573,0,1,0.1,38.24133454098473,False,0.0029590550905688124,3,0.4640000000000001,73346,0,1,0.1,38.24133454098473,False,-0.00013464167263391356,0,0.272,95109,0,9,0.8,387.00000000000006,False,0.0007508059350421607,0,0.2,95231,0,0,0.0,0.0,False,0.0,0.2125,521622,0.0,0.0,11,0,0,22,4,3.25,13,35,40,345.0,102.0,24,18,40,898,2.4217067370191216,25.04815140645951
11,40,0,0,0,10.000000000000002,20,10.0,24.08457404140076,26,25.846153846153847,15.806289014238319,31,12.96774193548387,39.06865033581687,5,50.0,43.00000000000001,12,43.0,16,0.5850000000000001,43112,3,10,1.0,270.8457404140076,False,0.03882738512663648,0,0.2,40321,131,0,0.0,1310.0000000000002,False,-0.0157334678484783,16,0.41400000000000003,50074,63,0,0.0,1517.3281646082478,False,-0.023181381611788784,15,0.43100000000000005,49799,74,0,0.0,1782.2584790636563,False,-0.025920382030172936,0,0.4970000000000001,73233,20,10,1.0,706.8122836429351,False,0.0028811739941597228,3,0.4910000000000001,73417,0,1,0.1,39.06865033581687,False,0.0008386279409596604,3,0.30200000000000005,95222,0,5,0.5,215.00000000000003,False,0.0010343270573657738,0,0.2,95231,0,0,0.0,0.0,False,0.0,0.325,520409,0.0,0.0,10,0,0,20,8,6.840909090909091,12,32,38,360.0,96.0,20,20,38,637,2.085382228717208,27.13353363517672
12,38,0,0,0,10.000000000000002,20,10.0,24.08457404140076,0,,15.73506145631857,1,12.0,34.64457592192492,17,18.0,43.000000000000014,9,43.0,0,0.5690000000000001,43022,2,20,1.0,501.6914808280152,False,0.039438056746511164,0,0.2,40211,142,0,0.0,1420.0000000000002,False,-0.01705459873651846,1,0.40800000000000003,50058,63,0,0.0,1517.3281646082478,False,-0.023488843323197537,0,0.41600000000000004,49799,74,0,0.0,1782.2584790636563,False,-0.025920382030172936,7,0.5670000000000002,73254,11,10,1.0,519.5314352387534,False,0.0018911852486456588,0,0.4880000000000001,73417,0,1,0.0,34.64457592192492,False,0.0008084809262142081,4,0.3390000000000001,95092,7,10,1.0,672.5120314534745,False,0.0020713424801455777,0,0.2,95231,0,0,0.0,0.0,False,0.0,0.375,520084,0.0,0.0,9,0,0,24,4,3.475,10,34,36,303.0,75.0,21,17,36,491,2.393354305997491,29.52688794117421
13,36,0,0,0,10.000000000000002,20,10.0,24.17211950465858,11,25.0,15.585941100519912,2,12.0,35.09222124161731,15,37.266666666666666,43.000000000000014,13,43.0,0,0.5690000000000001,43197,2,19,1.0,479.270270588513,False,0.043372369995778585,0,0.2,40111,152,0,0.0,1520.0000000000002,False,-0.01825562681655497,1,0.41700000000000004,49767,74,0,0.0,1788.7368433447348,False,-0.0264730601727095,1,0.426,49783,74,0,0.0,1788.7368433447348,False,-0.026165598461300746,1,0.5700000000000002,73566,2,10,1.0,382.09409461721293,False,0.0052067740689417715,3,0.518,73484,0,1,0.1,35.09222124161731,False,0.001724648867063843,3,0.36500000000000005,94939,12,10,1.0,851.1066548994079,False,0.0014024144180959906,0,0.2,95231,0,0,0.0,0.0,False,0.0,0.3875,520078,0.0,0.0,10,0,0,18,5,3.840909090909091,15,33,37,315.0,153.0,20,16,37,905,1.9425639249384403,31.46945186611265
14,37,0,0,0,10.000000000000002,20,10.0,24.33313769876876,10,26.0,15.362216566350108,3,12.0,35.09222124161731,0,,43.000000000000014,7,43.0,0,0.5690000000000001,43357,2,19,1.0,482.32961627660643,False,0.04725240345267476,0,0.2,40011,162,0,0.0,1620.0000000000002,False,-0.019456654896591482,2,0.436,49474,84,0,0.0,2043.9835666965757,False,-0.029650996688093727,1,0.435,49767,74,0,0.0,1800.6521897088883,False,-0.026358575398173656,0,0.5690000000000002,73542,0,14,0.4,491.2910973826423,False,0.005623789419983895,0,0.5150000000000001,73472,0,2,0.1,70.18444248323462,False,0.0018002347017597134,0,0.36200000000000004,95240,2,13,1.0,629.1844424832349,False,0.0033979714719116565,0,0.2,95231,0,0,0.0,0.0,False,0.0,0.3125,520094,0.0,0.0,9,0,0,18,3,3.0,16,34,31,336.0,105.0,22,15,31,761,2.085758931003511,33.55521079711616
15,31,0,0,0,10.000000000000002,20,10.0,24.403230368802117,12,25.0,15.213697671098055,2,12.0,35.142809396531085,7,35.714285714285715,43.000000000000014,14,43.0,0,0.5690000000000002,43557,2,17,1.0,434.85491626963596,False,0.05148633129482392,0,0.2,39911,172,0,0.0,1720.0000000000002,False,-0.020657682976627994,1,0.44400000000000006,49158,96,0,0.0,2342.7101154050033,False,-0.03285314749125653,1,0.44400000000000006,49751,74,0,0.0,1805.8390472913566,False,-0.02661620085617172,0,0.5690000000000002,73572,0,13,0.2,456.8565221549041,False,0.005798000150970406,2,0.5350000000000001,73590,0,0,0.0,0.0,False,0.0029301533219761497,1,0.3720000000000001,95541,0,9,0.9,387.0000000000001,False,0.00528714389221997,0,0.2,95231,0,0,0.0,0.0,False,0.0,0.2625,520311,0.0,0.0,11,0,0,20,4,2.8333333333333335,10,30,32,261.0,87.0,17,14,32,1027,1.7241566255688667,35.27936742268503
16,32,0,0,0,10.000000000000002,20,10.0,24.4561583296982,10,25.0,14.115821221761179,15,11.133333333333333,32.09061659897641,16,17.3125,43.000000000000014,11,43.0,0,0.5690000000000002,43717,1,17,1.0,425.75469160486944,False,0.05522032489737064,0,0.2,39801,183,0,0.0,1830.0000000000002,False,-0.021978813864668156,13,0.5730000000000001,48812,101,0,0.0,2470.0719912995182,False,-0.038278291365134685,2,0.4630000000000001,49593,79,0,0.0,1932.036508046158,False,-0.02843985752948593,0,0.5690000000000002,73657,0,8,0.1,256.7249327918113,False,0.0055926741587176195,10,0.633,73225,4,10,1.0,377.3694508768088,False,0.0005272194267584969,2,0.39100000000000007,95635,6,10,1.0,622.5436995938586,False,0.007510913985959747,0,0.2,95231,0,0,0.0,0.0,False,0.0,0.3875,519671,0.0,0.0,14,0,0,21,5,5.0,10,31,37,294.0,87.0,18,14,37,934,2.0545903565362096,37.33395777922124
17,37,0,0,0,10.000000000000002,20,10.0,24.3950779988167,41,24.24390243902439,13.407792430269339,16,11.1875,32.52610897490285,14,35.142857142857146,43.000000000000014,7,43.0,24,0.8090000000000002,44007,3,10,1.0,273.950779988167,False,0.06036308015647196,0,0.2,39721,191,0,0.0,1910.0000000000002,False,-0.022939636328697364,14,0.7000000000000002,48432,106,0,0.0,2585.87826787457,False,-0.044467819636478764,2,0.4810000000000001,48696,115,0,0.0,2805.4339698639205,False,-0.03728517102688442,2,0.5890000000000002,73851,0,2,0.2,65.0522179498057,False,0.006930509151276272,0,0.623,73266,8,16,1.0,627.6800830406003,False,0.0027916871076021374,0,0.389,95444,10,13,1.0,884.2610897490288,False,0.006879383235233396,0,0.2,95231,0,0,0.0,0.0,False,0.0,0.4,518648,0.0,0.0,11,0,0,23,8,6.388888888888888,11,34,40,336.0,91.0,22,15,40,897,2.0016717854887247,39.33562956470996
18,40,0,0,0,10.000000000000002,20,10.0,24.52187772343026,11,26.0,13.362052698036578,2,12.0,33.23996153082369,4,49.0,43.000000000000014,15,43.0,1,0.7950000000000002,44172,3,10,1.0,275.21877723430265,False,0.0643417018235726,0,0.2,39621,201,0,0.0,2010.0000000000005,False,-0.024140664408733876,1,0.6960000000000002,48416,106,0,0.0,2599.3190386836077,False,-0.04464614002302497,1,0.4890000000000001,48394,126,0,0.0,3089.756593152213,False,-0.040356688318835765,2,0.6070000000000001,73957,0,1,0.1,33.23996153082369,False,0.008158364303446743,0,0.623,73254,0,25,0.9,830.9990382705923,False,0.004013622066579812,2,0.40900000000000003,95791,4,10,1.0,562.9598461232949,False,0.008836197488860225,0,0.2,95231,0,0,0.0,0.0,False,0.0,0.375,518836,0.0,0.0,9,0,0,22,5,2.9909090909090907,12,34,38,331.0,104.0,22,18,38,630,2.0096745947375894,41.34530415944755
19,38,0,0,0,10.000000000000002,20,10.0,24.52187772343026,0,,13.337903250715415,1,12.0,34.71209687070352,8,50.0,43.000000000000014,14,43.0,0,0.794,44042,6,20,1.0,550.4375544686053,False,0.06452448361159478,0,0.2,39551,208,0,0.0,2080.0000000000005,False,-0.024981384064759433,1,0.7050000000000001,48400,106,0,0.0,2599.3190386836077,False,-0.044953601734433725,0,0.4880000000000001,48394,126,0,0.0,3089.756593152213,False,-0.040356688318835765,3,0.6350000000000001,74028,0,1,0.1,34.71209687070352,False,0.009136027917347205,0,0.623,73454,0,21,0.0,728.9540342847739,False,0.006043979790696939,4,0.44700000000000006,95782,2,10,1.0,499.4241937414072,False,0.008408103420847227,0,0.2,95231,0,0,0.0,0.0,False,0.0,0.2625,518882,0.0,0.0,10,0,0,20,4,3.75,12,32,34,282.0,100.0,19,19,34,830,2.1548891812562943,43.500193340703845
20,34,0,0,0,10.000000000000002,20,10.0,24.66566964153345,18,25.666666666666668,13.263244706455321,3,12.0,35.579507750611604,5,49.8,43.00000000000001,9,43.0,0,0.794,44364,10,12,1.0,395.9880356984014,False,0.07040412235711857,0,0.2,39491,214,0,0.0,2140.0000000000005,False,-0.02570200091278134,1,0.7140000000000002,48234,112,0,0.0,2762.5549998517467,False,-0.04657511674079294,2,0.508,48049,138,0,0.0,3403.862410531616,False,-0.04396834671562086,3,0.6620000000000001,74099,0,1,0.1,35.579507750611604,False,0.010109570751281802,0,0.623,73479,0,22,0.2,782.7491705134553,False,0.006751272030756016,0,0.44300000000000006,95920,0,8,0.7,344.00000000000006,False,0.009041173567430774,0,0.2,95231,0,0,0.0,0.0,False,0.0,0.25,518867,0.0,0.0,12,0,0,19,4,3.75,10,29,35,273.0,79.0,16,18,35,1098,2.730401405133307,46.23059474583715
21,35,0,0,0,10.000000000000002,20,10.0,24.917469476776844,30,26.0,12.787400821310051,14,11.142857142857142,35.9250758770022,14,37.857142857142854,43.0,9,43.0,18,0.9740000000000002,44596,11,10,1.0,359.1746947677685,False,0.07553475408671152,0,0.2,39401,223,0,0.0,2230.0000000000005,False,-0.0267829261848142,1,0.7230000000000001,47906,124,0,0.0,3089.7662151203285,False,-0.04973417806721569,13,0.6360000000000001,47349,156,0,0.0,3887.1252383771875,False,-0.052776521086327625,0,0.6590000000000001,74087,0,2,0.1,71.8501517540044,False,0.010193186724047792,0,0.623,73865,3,18,1.0,685.0135682499698,False,0.011345918693355828,1,0.45300000000000007,95726,4,10,1.0,573.7003035080088,False,0.008210038241265963,0,0.2,95231,0,0,0.0,0.0,False,0.0,0.3875,518161,0.0,0.0,12,0,0,21,6,6.0,13,34,36,300.0,90.0,20,15,36,1386,2.5923082511872053,48.82290299702436
22,36,0,0,0,10.000000000000002,20,10.0,24.917469476776844,0,,12.851064134289587,24,13.0,34.38725236486688,7,16.142857142857142,42.99999999999999,6,43.0,0,0.9560000000000002,44516,9,20,1.0,588.349389535537,False,0.07636556159515187,0,0.2,39281,235,0,0.0,2350.0000000000005,False,-0.028224159880858014,0,0.7220000000000002,47906,124,0,0.0,3089.7662151203285,False,-0.04973417806721569,24,0.8630000000000002,46833,156,0,0.0,3887.1252383771875,False,-0.06269216127925985,5,0.7090000000000001,73992,0,0,0.0,0.0,False,0.008408858603066439,0,0.623,73553,17,28,1.0,1181.3111564991957,False,0.010475714865411921,0,0.452,95871,1,14,1.0,636.3872523648668,False,0.010061782677725008,0,0.2,95231,0,0,0.0,0.0,False,0.0,0.375,517183,0.0,0.0,9,0,0,21,5,4.333333333333334,12,33,37,318.0,104.0,21,15,37,458,2.3887102426961064,51.211613239720464
23,37,0,0,0,10.000000000000002,20,10.0,24.917469476776844,0,,12.839426714835295,1,12.0,33.80391822083842,19,31.31578947368421,42.99999999999999,8,43.0,0,0.9560000000000002,44406,10,30,1.0,847.5240843033054,False,0.07683606067958144,0,0.2,39191,244,0,0.0,2440.0000000000005,False,-0.029305085152890875,0,0.7220000000000002,47906,124,0,0.0,3089.7662151203285,False,-0.04973417806721569,1,0.8490000000000002,46817,156,0,0.0,3887.1252383771875,False,-0.0629996229906686,15,0.8540000000000001,73708,0,1,0.1,33.80391822083842,False,0.004768680873736493,0,0.623,73753,7,34,1.0,1239.2092065123534,False,0.013595974149998932,0,0.45200000000000007,95620,10,16,1.0,1026.039182208384,False,0.00947191136399067,0,0.2,95231,0,0,0.0,0.0,False,0.0,0.3875,516632,0.0,0.0,11,0,0,21,4,4.0,12,33,33,366.0,138.0,21,16,33,744,1.9637297932058573,53.17534303292632
24,33,0,0,0,10.000000000000002,20,10.0,24.929324641019086,24,25.0,12.814671626716441,2,12.0,33.981823602789646,1,50.0,42.99999999999999,9,43.0,0,0.9560000000000002,44896,11,16,1.0,508.8691942563054,False,0.08453879554005791,0,0.2,39101,253,0,0.0,2530.0000000000005,False,-0.030386010424923733,1,0.7320000000000002,47590,136,0,0.0,3390.3881511785958,False,-0.05291811765042947,1,0.8580000000000001,46501,168,0,0.0,4188.126539691207,False,-0.06617991756479558,0,0.8390000000000002,73758,0,0,0.0,0.0,False,0.005219761499148211,0,0.623,73729,0,43,0.9,1461.2184149199547,False,0.014781726847836086,0,0.45200000000000007,95957,1,17,1.0,764.9818236027895,False,0.011640021755535374,0,0.2,95231,0,0,0.0,0.0,False,0.0,0.3625,516763,0.0,0.0,13,0,0,13,2,2.0,15,28,36,237.0,101.0,14,19,36,1237,1.8983894139528275,55.07373244687915
