index,n_registered_negotiations_before,n_contracts_dropped,n_contracts_nullified_now,n_bankrupt,trading_price_0,sold_quantity_0,unit_price_0,trading_price_1,sold_quantity_1,unit_price_1,trading_price_2,sold_quantity_2,unit_price_2,trading_price_3,sold_quantity_3,unit_price_3,trading_price_4,sold_quantity_4,unit_price_4,spot_market_quantity_00MyA@0,spot_market_loss_00MyA@0,balance_00MyA@0,inventory_00MyA@0_input,inventory_00MyA@0_output,productivity_00MyA@0,assets_00MyA@0,bankrupt_00MyA@0,score_00MyA@0,spot_market_quantity_01Dec@0,spot_market_loss_01Dec@0,balance_01Dec@0,inventory_01Dec@0_input,inventory_01Dec@0_output,productivity_01Dec@0,assets_01Dec@0,bankrupt_01Dec@0,score_01Dec@0,spot_market_quantity_02Ind@1,spot_market_loss_02Ind@1,balance_02Ind@1,inventory_02Ind@1_input,inventory_02Ind@1_output,productivity_02Ind@1,assets_02Ind@1,bankrupt_02Ind@1,score_02Ind@1,spot_market_quantity_03Dec@1,spot_market_loss_03Dec@1,balance_03Dec@1,inventory_03Dec@1_input,inventory_03Dec@1_output,productivity_03Dec@1,assets_03Dec@1,bankrupt_03Dec@1,score_03Dec@1,spot_market_quantity_04Dec@2,spot_market_loss_04Dec@2,balance_04Dec@2,inventory_04Dec@2_input,inventory_04Dec@2_output,productivity_04Dec@2,assets_04Dec@2,bankrupt_04Dec@2,score_04Dec@2,spot_market_quantity_05Dec@2,spot_market_loss_05Dec@2,balance_05Dec@2,inventory_05Dec@2_input,inventory_05Dec@2_output,productivity_05Dec@2,assets_05Dec@2,bankrupt_05Dec@2,score_05Dec@2,spot_market_quantity_06Buy@3,spot_market_loss_06Buy@3,balance_06Buy@3,inventory_06Buy@3_input,inventory_06Buy@3_output,productivity_06Buy@3,assets_06Buy@3,bankrupt_06Buy@3,score_06Buy@3,spot_market_quantity_07Ran@3,spot_market_loss_07Ran@3,balance_07Ran@3,inventory_07Ran@3_input,inventory_07Ran@3_output,productivity_07Ran@3,assets_07Ran@3,bankrupt_07Ran@3,score_07Ran@3,productivity,market_size,production_failures,bankruptcy,n_contracts_executed,n_contracts_erred,n_contracts_nullified,n_contracts_cancelled,n_breaches,breach_level,n_contracts_signed,n_contracts_concluded,n_negotiations,n_negotiation_rounds_successful,n_negotiation_rounds_failed,n_negotiation_successful,n_negotiation_failed,n_registered_negotiations_after,activity_level,step_time,total_time
10,68,0,0,0,9.999999999999998,10,10.0,21.130187500792616,0,,22.37794954175855,2,33.0,38.879413516659476,13,34.76923076923077,43.99999999999999,20,44.0,0,0.2,22877,0,11,0.0,232.4320625087188,False,0.009936137007702382,0,0.5510000000000002,23389,16,20,1.0,582.6037500158523,False,0.04011516119857357,0,0.9200000000000002,31976,3,19,1.0,488.57160379579034,False,-0.03425094260414546,0,0.4610000000000001,32532,32,19,1.0,1101.347041318776,False,-0.008402316318694734,0,0.2,46176,14,37,1.0,1751.8295937010205,False,0.015735483385154524,0,0.2,45007,48,29,1.0,2201.644569987535,False,-0.004645159316241035,7,0.7560000000000002,62886,10,0,0.0,388.79413516659474,False,-0.018555270991189192,13,0.9240000000000002,60898,43,0,0.0,1671.8147812163575,False,-0.03950480931949379,0.625,325741,0.0,0.0,7,0,0,26,9,9.0,28,54,55,493.0,165.0,37,31,55,618,9.048423682979774,113.9065358969965
11,55,0,0,0,9.999999999999996,8,10.0,20.95111108155359,23,19.956521739130434,24.364315726952242,39,31.641025641025642,37.8521860931748,9,30.333333333333332,44.0,20,44.0,0,0.2,22877,0,11,0.0,230.4622218970895,False,0.009892876134253322,3,0.5810000000000001,23711,14,10,1.0,349.51111081553586,False,0.04913934885614118,0,0.9200000000000002,31676,11,23,1.0,790.8414836169911,False,-0.03871292324405793,14,0.601,33243,27,10,1.0,809.3231564714695,False,0.008532253641331207,0,0.2,46062,10,47,1.0,2022.695903648738,False,0.016198172653419884,0,0.2,44160,71,30,1.0,2865.431999408853,False,-0.015765041130660167,8,0.8290000000000002,62678,16,0,0.0,605.6349774907968,False,-0.02010459308348139,12,1.0310000000000001,60502,46,0,0.0,1741.2005602860409,False,-0.04512625394577782,0.625,324909,0.0,0.0,12,0,0,23,10,9.051612903225806,20,43,48,395.0,177.0,27,28,48,947,7.820919466030318,121.72745536302682
12,48,0,0,0,9.999999999999996,12,10.0,21.160415509552244,10,24.0,24.416754017304886,1,33.0,35.028484359084345,10,16.0,44.0,20,44.0,0,0.2,23117,0,1,0.0,21.160415509552244,False,0.01583784458886888,0,0.5780000000000001,23591,16,20,1.0,583.2083101910448,False,0.04900092919996149,0,0.9200000000000002,31436,11,33,1.0,1038.5174531761359,False,-0.04219468493276778,0,0.587,33276,17,19,1.0,823.645389991181,False,0.00973601579580953,0,0.2,46142,0,52,1.0,1821.481186672386,False,0.015753310306676923,0,0.2,44207,62,35,1.0,2739.835701640855,False,-0.016106084432777935,12,0.9410000000000003,62304,26,0,0.0,910.740593336193,False,-0.023550008609087892,8,1.0990000000000002,60387,46,0,0.0,1611.3102805178798,False,-0.04792595428470836,0.625,324460,0.0,0.0,9,0,0,23,9,9.0,21,44,45,406.0,100.0,27,21,45,553,7.174902578000911,128.90235794102773
13,45,0,0,0,9.999999999999996,10,10.0,20.28241568822616,11,9.818181818181818,23.237693585516073,20,14.5,35.57685123052004,17,37.8235294117647,44.0,20,44.0,0,0.2,23140,0,0,0.0,0.0,False,0.016383361883427768,0,0.5780000000000001,23576,16,20,1.0,565.6483137645232,False,0.04795643505434458,0,0.9200000000000002,31553,7,28,1.0,792.6323302120331,False,-0.042372803251925245,0,0.5870000000000002,33341,12,24,1.0,801.0936343110997,False,0.011346306302057596,0,0.2,45912,5,62,1.0,2321.953244219823,False,0.01619015655527303,0,0.2,44790,57,28,1.0,2320.7003688289774,False,-0.008044595893735464,10,1.0290000000000001,61818,33,0,0.0,1174.0360906071614,False,-0.02906324513709366,10,1.1910000000000003,59904,56,0,0.0,1992.3036689091223,False,-0.05247690578540659,0.625,324034,0.0,0.0,15,0,0,16,8,8.0,18,34,38,269.0,141.0,17,28,38,1141,6.252222262963187,135.15458020399092
14,38,0,0,0,9.999999999999996,11,10.0,21.196534687525883,31,24.967741935483872,22.878416350223954,5,12.0,33.864809969847606,11,21.727272727272727,44.0,20,44.0,0,0.2,23140,0,0,0.0,0.0,False,0.016383361883427768,11,0.6880000000000001,24031,17,10,1.0,381.9653468752588,False,0.06390752727358147,0,0.9200000000000002,31288,10,33,1.0,966.9530864326493,False,-0.04770324781295669,0,0.5870000000000002,32892,20,34,1.0,1201.796849658132,False,0.0038934875409605053,0,0.2,45948,0,66,1.0,2235.077458009942,False,0.01602959067860392,0,0.2,44933,47,33,1.0,2192.824297465497,False,-0.006337841920153051,9,1.1090000000000002,61584,39,0,0.0,1320.7275888240567,False,-0.031562805619591,11,1.2910000000000001,59567,61,0,0.0,2065.753408160704,False,-0.05714877625005289,0.625,323383,0.0,0.0,11,0,0,17,10,9.647058823529411,18,35,43,314.0,102.0,19,19,43,758,5.612461526994593,140.7670417309855
15,43,0,0,0,9.999999999999996,8,10.0,21.48884678438756,27,23.037037037037038,24.653106904121,34,32.0,37.3420114478323,22,50.0,44.0,20,44.0,0,0.2,23140,0,0,0.0,0.0,False,0.016383361883427768,17,0.8470000000000002,24195,15,10,1.0,364.88846784387556,False,0.0707358999394711,1,0.9300000000000002,32027,14,10,1.0,547.3749240226359,False,-0.03184103761618202,0,0.587,32593,23,44,1.0,1578.980179822238,False,0.0005841827746640359,0,0.2,45524,7,74,1.0,2935.880595468437,False,0.014440780988584891,0,0.2,45369,54,23,1.0,2190.1340361226767,False,0.0030452910662378922,8,1.1800000000000002,61388,44,0,0.0,1643.0485037046212,False,-0.03210486126597003,12,1.4000000000000001,58324,78,0,0.0,2912.676892930919,False,-0.06989967098991086,0.625,322560,0.0,0.0,9,0,0,18,14,12.289592760180994,16,34,41,288.0,135.0,18,25,41,1724,6.258431583992206,147.02547331497772
16,41,0,0,0,9.999999999999996,13,10.0,21.48884678438756,0,,22.484083421984582,54,16.166666666666668,33.99192174612405,25,21.68,44.0,20,44.0,0,0.2,23140,0,0,0.0,0.0,False,0.016383361883427768,0,0.8300000000000001,24065,18,20,1.0,609.7769356877511,False,0.0704040263470759,26,1.1890000000000003,31803,4,10,1.0,310.79622135739606,False,-0.04210058715706922,0,0.587,32773,13,36,1.0,1088.7820113884832,False,-0.0013670531518676244,0,0.2,45456,15,77,1.0,2954.6392257813204,False,0.013175304123020024,0,0.2,45106,80,15,1.0,2308.6054999506273,False,-0.0013534799133191884,10,1.272,61108,51,0,0.0,1733.5880090523265,False,-0.035756942969424735,10,1.4880000000000002,57724,96,0,0.0,3263.2244876279087,False,-0.07650782997815635,0.625,321175,0.0,0.0,11,0,0,15,13,12.526315789473685,17,32,30,212.0,171.0,14,27,30,885,5.160343933966942,152.18581724894466
17,30,0,0,0,9.999999999999996,10,10.0,21.639960718446083,17,23.0,21.244987966948866,27,12.518518518518519,34.46786402479757,2,59.5,44.0,20,44.0,0,0.2,23140,0,0,0.0,0.0,False,0.016383361883427768,0,0.8300000000000003,24356,18,13,1.0,461.319489339799,False,0.0799253193073263,15,1.3130000000000002,31630,0,4,0.4,84.97995186779546,False,-0.05067020424020925,0,0.5870000000000002,32448,20,44,1.0,1367.5786849146716,False,-0.0069301518910969044,0,0.2,45250,21,87,1.0,3444.8489174633146,False,0.014019481871460335,0,0.2,45093,81,23,1.0,2513.604897893202,False,0.0005785991612504431,8,1.342,60995,51,0,0.0,1757.8610652646762,False,-0.037326240682209674,12,1.5980000000000003,57399,98,0,0.0,3377.850674430162,False,-0.08067267223849707,0.55,320311,0.0,0.0,9,0,0,15,9,8.285714285714285,14,29,30,257.0,75.0,15,15,30,676,4.520264928985853,156.7060821779305
18,30,0,0,0,9.999999999999996,10,10.0,21.90309409799487,13,25.0,21.244987966948866,0,,31.88734772295957,36,24.97222222222222,44.0,20,44.0,0,0.2,23140,0,0,0.0,0.0,False,0.016383361883427768,0,0.8300000000000003,24581,18,10,1.0,399.03094097994864,False,0.08844008742873352,0,1.298,31630,0,4,0.0,84.97995186779546,False,-0.05067020424020925,0,0.5870000000000002,32123,23,54,1.0,1651.0005144691208,False,-0.012423934980830201,0,0.2,45642,11,85,1.0,2944.1194240880013,False,0.01707703974362627,1,0.21000000000000002,45564,71,10,1.0,1827.267622882965,False,0.0033381648736369187,12,1.4540000000000002,60526,66,0,0.0,2104.5649497153317,False,-0.041926120223769424,8,1.6660000000000004,56623,119,0,0.0,3794.594379032189,False,-0.08950419010290331,0.5,319829,0.0,0.0,10,0,0,17,11,10.2,13,30,31,229.0,85.0,15,15,31,1264,4.752162131015211,161.45824430894572
19,31,0,0,0,9.999999999999996,9,10.0,21.957771767336155,4,24.0,22.561287977165623,53,27.41509433962264,28.281825093299897,35,16.0,44.0,20,44.0,0,0.2,23140,0,0,0.0,0.0,False,0.016383361883427768,0,0.8300000000000003,24587,17,16,1.0,521.3243482773785,False,0.0913893870136025,25,1.5480000000000003,31546,0,3,0.3,67.68386393149687,False,-0.053447174056117625,0,0.587,32914,14,40,1.0,1209.860323829331,False,0.004673745224190406,0,0.2,45083,25,79,1.0,2798.2963817998325,False,0.003435619258250101,9,0.29900000000000004,44898,90,10,1.0,2313.334168877905,False,-0.005792649775728,8,1.522,59848,101,0,0.0,2856.4643344232895,False,-0.04662561001957828,12,1.7780000000000005,56399,119,0,0.0,3365.537186102688,False,-0.09632709546697141,0.5375,318415,0.0,0.0,12,0,0,18,13,11.952978056426332,14,32,35,272.0,101.0,16,15,35,1257,5.942135356017388,167.4003796649631
20,35,0,0,0,9.999999999999998,9,10.0,22.206339781224614,13,24.846153846153847,22.561287977165623,0,,28.342948286906726,19,28.789473684210527,44.0,20,44.0,0,0.2,23140,0,0,0.0,0.0,False,0.016383361883427768,0,0.8300000000000001,24820,16,13,1.0,448.68241715592,False,0.10002816394685114,0,1.5230000000000004,31522,0,4,0.1,90.24515190866249,False,-0.05382841543163593,0,0.587,32615,16,50,1.0,1483.365835357875,False,-0.0001893439535131822,0,0.2,45398,15,78,1.0,2549.169286036209,False,0.007546675366839465,0,0.29000000000000004,45130,80,12,1.0,2145.0184176161306,False,-0.0026011007748189085,13,1.6440000000000003,59591,101,0,0.0,2862.6377769775795,False,-0.050576153462748075,7,1.8360000000000003,55760,138,0,0.0,3911.326863593128,False,-0.10202319120320251,0.5125,317976,0.0,0.0,10,0,0,13,9,9.0,22,35,34,287.0,112.0,19,16,34,960,5.892832519020885,173.293212183984
21,34,0,0,0,9.999999999999998,9,10.0,22.206339781224614,0,,22.066352752220475,10,11.0,26.12132054636834,29,15.241379310344827,44.0,20,44.0,0,0.2,23140,0,0,0.0,0.0,False,0.016383361883427768,0,0.8300000000000003,24730,15,23,1.0,660.7458149681661,False,0.10073232782026974,6,1.583,31466,0,0,0.0,0.0,False,-0.05685939513832689,0,0.5870000000000002,32615,6,60,1.0,1457.219203820576,False,-0.0005811946794265644,0,0.2,45641,10,68,1.0,1996.913324675252,False,0.006831523483747234,0,0.29000000000000004,45219,75,13,1.0,1994.553623519324,False,-0.0023038919810965553,8,1.7110000000000005,59039,130,0,0.0,3395.7716710278846,False,-0.055017101496523495,12,1.949,55529,138,0,0.0,3604.7422353988313,False,-0.10800225417050055,0.5,317379,0.0,0.0,7,0,0,12,11,10.2,25,37,33,341.0,75.0,21,13,33,532,6.036838333995547,179.33005051797954
22,33,0,0,0,10.0,11,10.0,22.4906862678544,17,24.764705882352942,22.104289741656896,29,22.379310344827587,26.320641861443125,1,57.0,44.00000000000001,20,44.0,0,0.2,23140,0,0,0.0,0.0,False,0.016383361883427768,0,0.8300000000000003,25041,16,16,1.0,519.8509802856704,False,0.11129817236099775,0,1.5770000000000002,31069,6,10,1.0,355.98701502369534,False,-0.06342374763924562,0,0.5870000000000002,33240,0,38,0.7,839.9630101829621,False,0.008901522797454785,0,0.2,45082,28,77,1.0,2645.6095360975137,False,0.0017659643815978667,0,0.29000000000000004,45186,66,23,1.0,2064.2578857625467,False,-0.002263909011046904,13,1.8330000000000004,58792,130,0,0.0,3421.6834419876063,False,-0.05865850791166111,7,2.007,55379,139,0,0.0,3658.5692187405944,False,-0.10991731194482446,0.5875,316929,0.0,0.0,12,0,0,8,7,7.0,22,30,30,218.0,107.0,14,19,30,1237,5.394057746976614,184.72410826495616
23,30,0,0,0,10.0,9,10.0,22.617606658347444,30,23.2,23.938610735218045,48,32.166666666666664,26.453659959371727,1,45.0,44.00000000000001,20,44.0,0,0.2,23140,0,0,0.0,0.0,False,0.016383361883427768,14,0.9700000000000002,25360,15,10,1.0,376.17606658347444,False,0.12215434766511779,0,1.5770000000000002,30517,22,16,1.0,880.6051182471325,False,-0.07210674822037684,6,0.647,34484,0,4,0.4,95.75444294087218,False,0.03503513537363057,0,0.2,44379,40,86,1.0,3232.5591859146903,False,-0.007074680116630019,0,0.29000000000000004,44390,82,33,1.0,2835.936858947147,False,-0.01111826890586597,9,1.9100000000000004,58610,131,0,0.0,3465.4294546776964,False,-0.061149864992472,11,2.1100000000000003,55184,139,0,0.0,3677.05873435267,False,-0.11280740953158658,0.55,316064,0.0,0.0,12,0,0,11,13,12.195804195804197,24,35,41,215.0,82.0,18,12,41,1280,4.899029171967413,189.62313743692357
24,41,0,0,0,10.0,10,10.0,22.650073095930914,14,23.0,23.69192333305113,5,12.0,27.940061606724477,31,34.0,44.00000000000001,20,44.0,0,0.2,23140,0,0,0.0,0.0,False,0.016383361883427768,4,0.9960000000000002,25506,15,10,1.0,376.5007309593091,False,0.12857426826018592,0,1.5770000000000002,30255,26,21,1.0,1086.4322904882774,False,-0.07687509680651801,0,0.6410000000000001,34484,0,4,0.0,94.76769333220452,False,0.03502034729089421,0,0.2,45036,35,78,1.0,3008.542121981299,False,0.004690349523792713,0,0.29000000000000004,44727,72,30,1.0,2544.0203281814156,False,-0.00699414623209402,9,1.9910000000000005,58473,131,0,0.0,3660.1480704809064,False,-0.06176661996109636,11,2.2090000000000005,53945,170,0,0.0,4749.810473143161,False,-0.12373928031099243,0.5,315566,0.0,0.0,10,0,0,16,9,8.285714285714285,21,37,42,259.0,146.0,20,21,42,1214,6.2662453220109455,195.88938275893452
