index,n_registered_negotiations_before,n_contracts_dropped,n_contracts_nullified_now,n_bankrupt,trading_price_0,sold_quantity_0,unit_price_0,trading_price_1,sold_quantity_1,unit_price_1,trading_price_2,sold_quantity_2,unit_price_2,trading_price_3,sold_quantity_3,unit_price_3,trading_price_4,sold_quantity_4,unit_price_4,spot_market_quantity_00Buy@0,spot_market_loss_00Buy@0,balance_00Buy@0,inventory_00Buy@0_input,inventory_00Buy@0_output,productivity_00Buy@0,assets_00Buy@0,bankrupt_00Buy@0,score_00Buy@0,spot_market_quantity_01Ran@0,spot_market_loss_01Ran@0,balance_01Ran@0,inventory_01Ran@0_input,inventory_01Ran@0_output,productivity_01Ran@0,assets_01Ran@0,bankrupt_01Ran@0,score_01Ran@0,spot_market_quantity_02Ind@1,spot_market_loss_02Ind@1,balance_02Ind@1,inventory_02Ind@1_input,inventory_02Ind@1_output,productivity_02Ind@1,assets_02Ind@1,bankrupt_02Ind@1,score_02Ind@1,spot_market_quantity_03MyA@1,spot_market_loss_03MyA@1,balance_03MyA@1,inventory_03MyA@1_input,inventory_03MyA@1_output,productivity_03MyA@1,assets_03MyA@1,bankrupt_03MyA@1,score_03MyA@1,spot_market_quantity_04Dec@2,spot_market_loss_04Dec@2,balance_04Dec@2,inventory_04Dec@2_input,inventory_04Dec@2_output,productivity_04Dec@2,assets_04Dec@2,bankrupt_04Dec@2,score_04Dec@2,spot_market_quantity_05Buy@2,spot_market_loss_05Buy@2,balance_05Buy@2,inventory_05Buy@2_input,inventory_05Buy@2_output,productivity_05Buy@2,assets_05Buy@2,bankrupt_05Buy@2,score_05Buy@2,spot_market_quantity_06Buy@3,spot_market_loss_06Buy@3,balance_06Buy@3,inventory_06Buy@3_input,inventory_06Buy@3_output,productivity_06Buy@3,assets_06Buy@3,bankrupt_06Buy@3,score_06Buy@3,spot_market_quantity_07Ran@3,spot_market_loss_07Ran@3,balance_07Ran@3,inventory_07Ran@3_input,inventory_07Ran@3_output,productivity_07Ran@3,assets_07Ran@3,bankrupt_07Ran@3,score_07Ran@3,productivity,market_size,production_failures,bankruptcy,n_contracts_executed,n_contracts_erred,n_contracts_nullified,n_contracts_cancelled,n_breaches,breach_level,n_contracts_signed,n_contracts_concluded,n_negotiations,n_negotiation_rounds_successful,n_negotiation_rounds_failed,n_negotiation_successful,n_negotiation_failed,n_registered_negotiations_after,activity_level,step_time,total_time
12,12,0,0,0,10.000000000000002,20,10.0,10.42873925379295,9,7.888888888888889,40.042028641455055,1,16.0,35.93709934511601,73,30.89041095890411,55.0,20,55.0,5,0.8980000000000001,8770,132,0,0.0,1320.0000000000002,False,-0.16237342334340024,4,0.5640000000000001,9076,128,0,0.0,1280.0000000000002,False,-0.13696926629952033,0,0.2,20833,0,40,0.9,1601.6811456582022,False,0.10208051822868569,0,0.2,20797,0,0,0.0,0.0,False,0.05944982170147733,15,0.6560000000000001,24149,0,1,0.1,35.93709934511601,False,-0.012988827867161207,54,3.710000000000001,-2396.0,62,0,0.0,2482.6057757702133,False,-1.0471593674541513,12,1.0040000000000002,26857,241,0,0.0,8660.84094217296,False,-0.11434598537267905,8,1.036,23823,206,0,0.0,7403.0424650938985,False,-0.21836425192971695,0.125,131909,0.0,0.0,11,0,0,2,25,24.555555555555557,29,31,16,183.0,3.0,11,1,16,216,0.7678170629660599,20.355389572912827
13,16,0,0,0,10.000000000000002,20,10.0,10.302999346674062,1,1.0,40.603279613830615,5,47.0,35.66699352401068,55,34.43636363636364,55.00000000000001,20,55.0,0,0.893,8660,143,0,0.0,1430.0000000000002,False,-0.167258838159531,1,0.5700000000000001,8963,137,0,0.0,1370.0000000000002,False,-0.14300941552673654,0,0.2,21067,0,36,0.1,1461.7180660979022,False,0.11043601798517319,0,0.2,20797,0,0,0.0,0.0,False,0.05944982170147733,6,0.7010000000000001,24159,0,4,0.4,142.6679740960427,False,-0.010400899038267384,48,4.136000000000001,-9469.0,63,0,0.0,2558.0066156713287,False,-1.3344903692940304,12,1.1120000000000003,25326,282,0,0.0,10058.09217377101,False,-0.1379835836063638,8,1.108,23032,220,0,0.0,7846.738575282349,False,-0.23452691294254635,0.0625,122535,0.0,0.0,13,0,0,2,22,76.54255319148936,32,34,11,198.0,12.0,12,4,11,388,0.8483650640118867,21.203754636924714
14,11,0,0,0,10.000000000000002,20,10.0,10.351076681532408,5,11.0,40.603279613830615,0,,35.38628560222999,29,32.724137931034484,55.000000000000014,20,55.0,5,0.9430000000000001,8495,153,0,0.0,1530.0000000000002,False,-0.17747379641144076,0,0.5690000000000001,8863,147,0,0.0,1470.0000000000002,False,-0.14745070172321906,0,0.2,21012,0,41,0.5,1664.7344641670552,False,0.11280525889371006,0,0.2,20797,0,0,0.0,0.0,False,0.05944982170147733,0,0.6950000000000002,24159,0,4,0.0,141.54514240891996,False,-0.010423828008802967,29,4.378000000000002,-11633.0,63,0,0.0,2558.0066156713287,False,-1.4228710105029339,11,1.2100000000000002,24766,295,0,0.0,10438.954252657846,False,-0.14847852767851075,9,1.1900000000000002,22214,236,0,0.0,8351.163402126278,False,-0.2505940335928,0.0625,118673,0.0,0.0,12,0,0,0,17,17.0,30,30,13,122.0,19.0,8,3,13,200,0.8505059800227173,22.05426061694743
15,13,0,0,0,10.000000000000002,20,10.0,9.49398196010205,14,5.5,40.96433883986599,4,46.0,36.73469982484717,30,49.03333333333333,55.00000000000001,20,55.0,5,0.9880000000000002,8340,162,0,0.0,1620.0000000000002,False,-0.18724462604370226,9,0.659,8535,158,0,0.0,1580.0000000000002,False,-0.1717001243560135,0,0.2,21119,4,47,1.0,1963.2998533141097,False,0.1258609234160496,0,0.2,20797,0,0,0.0,0.0,False,0.05944982170147733,2,0.7150000000000001,24406,0,4,0.4,146.93879929938868,False,-0.0002258770818993868,24,4.589000000000001,-13482.0,63,0,0.0,2580.7533469115574,False,-1.4979221289174687,10,1.2990000000000002,24379,302,0,0.0,11093.879347103844,False,-0.1501692601365388,10,1.2810000000000001,20718,259,0,0.0,9514.287254635417,False,-0.27656205976833903,0.175,114812,0.0,0.0,11,0,0,8,20,19.666666666666668,25,33,12,162.0,15.0,12,1,12,666,1.0096493500168435,23.063909966964275
16,12,0,0,0,10.000000000000002,20,10.0,9.592653345313606,5,11.0,41.31277395650814,4,46.0,36.43960698678929,6,23.0,55.00000000000001,20,55.0,5,1.0330000000000001,8175,172,0,0.0,1720.0000000000002,False,-0.197459584295612,0,0.6500000000000001,8435,168,0,0.0,1680.0000000000002,False,-0.176141410552496,0,0.2,21248,0,52,0.9,2148.264245738423,False,0.13714376581096335,0,0.2,20797,0,0,0.0,0.0,False,0.05944982170147733,0,0.7130000000000001,24222,0,8,0.4,291.51685589431435,False,-0.004788301901280142,6,4.625000000000001,-14758.0,63,0,0.0,2602.704759260013,False,-1.5495874053653254,9,1.3790000000000002,24072,308,0,0.0,11223.398951931102,False,-0.15704834793077896,11,1.3810000000000002,20474,259,0,0.0,9437.858209578428,False,-0.28457633030075496,0.1625,112665,0.0,0.0,13,0,0,3,13,13.0,28,31,14,118.0,29.0,8,4,14,384,1.5558726720046252,24.6197826389689
17,14,0,0,1,10.000000000000002,20,10.0,9.43183321638753,14,8.642857142857142,41.31277395650814,0,,38.53448303454106,14,76.14285714285714,55.00000000000001,20,55.0,10,1.1280000000000001,7895,184,0,0.0,1840.0000000000002,False,-0.217001243560135,4,0.6900000000000002,8275,176,0,0.0,1760.0000000000002,False,-0.186800497424054,0,0.2,21127,4,62,1.0,2599.1193181690546,False,0.14246355879187605,0,0.2,20797,0,0,0.0,0.0,False,0.05944982170147733,6,0.7730000000000001,24952,0,0,0.0,0.0,False,0.019072901776597918,0,4.619000000000001,-17294.25,63,0,0.0,2602.704759260013,True,-1.6531712321980803,11,1.4800000000000002,23214,317,0,0.0,12215.431121949516,False,-0.1673278934237872,9,1.4600000000000002,19845,264,0,0.0,10173.103521118841,False,-0.2919988708877315,0.125,126105,0.0,0.1,12,0,0,5,19,103.44326241134752,26,31,11,147.0,49.0,10,4,11,645,0.8849875099840574,25.504770148952957
18,11,0,0,0,10.000000000000002,20,10.0,9.1711799180618,14,7.785714285714286,41.64740853500585,4,46.0,38.84194463516302,9,47.0,55.000000000000014,20,55.0,10,1.2180000000000002,7635,194,0,0.0,1940.0000000000005,False,-0.23565464558536153,4,0.7260000000000002,8083,186,0,0.0,1860.0000000000002,False,-0.1994137502220643,0,0.2,21202,8,68,1.0,2905.3932197248923,False,0.1540854105890192,0,0.2,20797,0,0,0.0,0.0,False,0.05944982170147733,9,0.8570000000000002,24687,0,4,0.4,155.36777854065207,False,0.011422662416594944,0,4.619000000000001,-17294.25,63,0,0.0,2623.7867377053685,True,-1.652740724163664,8,1.5490000000000004,23072,317,0,0.0,12312.896449346676,False,-0.16997648024441023,12,1.5710000000000002,19131,273,0,0.0,10603.850885399504,False,-0.3061587595075893,0.175,124607,0.0,0.1,12,0,0,2,15,15.0,29,31,11,103.0,31.0,7,4,11,384,0.7077654079766944,26.21253555692965
19,11,0,0,0,10.000000000000002,20,10.0,8.984435384946426,9,7.333333333333333,41.64740853500585,0,,38.84194463516302,0,,55.000000000000014,20,55.0,5,1.2580000000000002,7475,203,0,0.0,2030.0000000000005,False,-0.24586960383727127,4,0.7620000000000002,7893,197,0,0.0,1970.0000000000005,False,-0.21140522295256706,0,0.2,21136,7,78,1.0,3311.3889134250812,False,0.16106441450395004,0,0.2,20797,0,0,0.0,0.0,False,0.05944982170147733,0,0.8480000000000003,24687,0,4,0.0,155.36777854065207,False,0.011422662416594944,0,4.6190000000000015,-17294.25,63,0,0.0,2623.7867377053685,True,-1.652740724163664,9,1.6310000000000004,22902,317,0,0.0,12312.896449346676,False,-0.17480410562068102,11,1.6690000000000003,18880,273,0,0.0,10603.850885399504,False,-0.3132866063866715,0.125,123770,0.0,0.1,11,0,0,2,16,107.99069148936171,28,30,12,126.0,18.0,8,3,12,200,0.7187829840113409,26.931318540940993
20,12,0,0,0,10.000000000000002,20,10.0,8.784020695364529,14,7.642857142857143,41.73204781532009,1,46.0,39.45902701447972,3,85.33333333333333,55.000000000000014,20,55.0,5,1.3030000000000002,7295,214,0,0.0,2140.0000000000005,False,-0.25697281932847754,9,0.8480000000000001,7624,206,0,0.0,2060.0000000000005,False,-0.23130218511280867,0,0.2,21075,11,87,1.0,3727.3123875818574,False,0.1685510032496652,0,0.2,20797,0,0,0.0,0.0,False,0.05944982170147733,0,0.8480000000000001,24897,0,2,0.1,78.91805402895945,False,0.01843818774819195,0,4.6190000000000015,-17294.25,63,0,0.0,2629.1190123651654,True,-1.6526318355653429,9,1.7120000000000004,22654,318,0,0.0,12547.970590604551,False,-0.17850896531770674,11,1.768,18468,275,0,0.0,10851.232428981924,False,-0.32147395312969385,0.1375,122810,0.0,0.1,14,0,0,3,13,104.99069148936171,24,27,9,101.0,28.0,7,5,9,502,0.6556093449471518,27.586927885888144
21,9,0,0,0,10.000000000000002,20,10.0,8.431581473450242,4,1.0,41.84346181980074,1,47.0,39.85721590562198,7,51.42857142857143,55.00000000000002,20,55.0,0,1.298,7215,222,0,0.0,2220.0000000000005,False,-0.26052584828566355,4,0.8790000000000002,7412,218,0,0.0,2180.0000000000005,False,-0.24480369515011546,0,0.2,21118,5,96,1.0,4059.130242068122,False,0.1791933327067785,0,0.2,20797,0,0,0.0,0.0,False,0.05944982170147733,5,0.8980000000000001,24930,0,1,0.1,39.85721590562198,False,0.018988303367482546,0,4.6190000000000015,-17294.25,63,0,0.0,2636.1380946474465,True,-1.6524885012324395,11,1.8130000000000004,22422,318,0,0.0,12674.59465798779,False,-0.18329933182842345,9,1.8470000000000002,17933,282,0,0.0,11239.734885385398,False,-0.3311504673512609,0.1375,121827,0.0,0.1,13,0,0,0,13,472.95345744680856,26,26,11,64.0,27.0,4,5,11,427,0.539578627969604,28.12650651385775
22,11,0,0,0,10.000000000000002,20,10.0,8.204887747211776,5,4.6,41.84346181980074,0,,43.00902526281614,13,88.92307692307692,55.00000000000002,20,55.0,1,1.308,7102,232,0,0.0,2320.0000000000005,False,-0.2661218688932315,4,0.9150000000000003,7228,228,0,0.0,2280.0000000000005,False,-0.2567063421566886,0,0.2,21095,0,106,1.0,4435.406952898878,False,0.18760588265152514,0,0.2,20797,0,0,0.0,0.0,False,0.05944982170147733,12,1.0130000000000001,25351,0,0,0.0,0.0,False,0.03536859301613233,0,4.6190000000000015,-17294.25,63,0,0.0,2636.1380946474465,True,-1.6524885012324395,9,1.8920000000000001,22245,318,0,0.0,13676.870033575531,False,-0.17409453578725043,11,1.9480000000000006,16534,295,0,0.0,12687.662452530762,False,-0.35032000834141586,0.125,120352,0.0,0.1,11,0,0,3,15,14.75,22,25,14,109.0,32.0,7,4,14,200,0.6581460080342367,28.784652521891985
23,14,0,0,0,10.000000000000002,20,10.0,8.377299782750965,5,11.0,41.84346181980074,0,,43.7034511996095,5,69.0,55.00000000000002,20,55.0,5,1.3570000000000004,6957,240,0,0.0,2400.0000000000005,False,-0.2754485699058447,0,0.911,7108,240,0,0.0,2400.0000000000005,False,-0.2620358855924676,0,0.2,21040,0,111,0.5,4644.624261997882,False,0.1901330683137514,0,0.2,20797,0,0,0.0,0.0,False,0.05944982170147733,5,1.0510000000000002,25416,0,0,0.0,0.0,False,0.038023279558913624,0,4.6190000000000015,-17294.25,63,0,0.0,2636.1380946474465,True,-1.6524885012324395,8,1.9630000000000005,21753,323,0,0.0,14116.214737473869,False,-0.18182804087189938,12,2.0570000000000004,16245,295,0,0.0,12892.518103884804,False,-0.35561824694887256,0.0625,119316,0.0,0.1,11,0,0,5,15,474.95345744680856,27,32,15,174.0,17.0,12,2,15,200,0.7756312559940852,29.56028377788607
24,15,0,0,0,10.000000000000002,20,10.0,8.481381511880842,5,10.0,42.200595624199885,4,46.0,45.227187828042766,6,88.0,55.000000000000014,20,55.0,5,1.4020000000000001,6777,251,0,0.0,2510.0000000000005,False,-0.286551785397051,0,0.911,7018,249,0,0.0,2490.0000000000005,False,-0.2660330431693018,0,0.2,21174,0,112,0.5,4726.466709910387,False,0.19904398140372873,0,0.2,20797,0,0,0.0,0.0,False,0.05944982170147733,6,1.106,25424,0,4,0.4,180.90875131217106,False,0.04204428734556198,0,4.6190000000000015,-17294.25,63,0,0.0,2658.6375243245925,True,-1.6520290479002535,5,2.0050000000000003,21682,323,0,0.0,14608.381668457814,False,-0.17685605627793188,15,2.1950000000000003,15306,301,0,0.0,13613.383536240872,False,-0.37204828283863134,0.1125,118178,0.0,0.1,11,0,0,3,12,12.0,29,32,16,159.0,34.0,11,4,16,384,0.7108685030252673,30.271152280911338
