index,n_registered_negotiations_before,n_contracts_dropped,n_contracts_nullified_now,n_bankrupt,trading_price_0,sold_quantity_0,unit_price_0,trading_price_1,sold_quantity_1,unit_price_1,trading_price_2,sold_quantity_2,unit_price_2,trading_price_3,sold_quantity_3,unit_price_3,trading_price_4,sold_quantity_4,unit_price_4,spot_market_quantity_00Ind@0,spot_market_loss_00Ind@0,balance_00Ind@0,inventory_00Ind@0_input,inventory_00Ind@0_output,productivity_00Ind@0,assets_00Ind@0,bankrupt_00Ind@0,score_00Ind@0,spot_market_quantity_01Buy@0,spot_market_loss_01Buy@0,balance_01Buy@0,inventory_01Buy@0_input,inventory_01Buy@0_output,productivity_01Buy@0,assets_01Buy@0,bankrupt_01Buy@0,score_01Buy@0,spot_market_quantity_02Dec@1,spot_market_loss_02Dec@1,balance_02Dec@1,inventory_02Dec@1_input,inventory_02Dec@1_output,productivity_02Dec@1,assets_02Dec@1,bankrupt_02Dec@1,score_02Dec@1,spot_market_quantity_03Ran@1,spot_market_loss_03Ran@1,balance_03Ran@1,inventory_03Ran@1_input,inventory_03Ran@1_output,productivity_03Ran@1,assets_03Ran@1,bankrupt_03Ran@1,score_03Ran@1,spot_market_quantity_04Dec@2,spot_market_loss_04Dec@2,balance_04Dec@2,inventory_04Dec@2_input,inventory_04Dec@2_output,productivity_04Dec@2,assets_04Dec@2,bankrupt_04Dec@2,score_04Dec@2,spot_market_quantity_05Buy@2,spot_market_loss_05Buy@2,balance_05Buy@2,inventory_05Buy@2_input,inventory_05Buy@2_output,productivity_05Buy@2,assets_05Buy@2,bankrupt_05Buy@2,score_05Buy@2,spot_market_quantity_06MyA@3,spot_market_loss_06MyA@3,balance_06MyA@3,inventory_06MyA@3_input,inventory_06MyA@3_output,productivity_06MyA@3,assets_06MyA@3,bankrupt_06MyA@3,score_06MyA@3,spot_market_quantity_07Buy@3,spot_market_loss_07Buy@3,balance_07Buy@3,inventory_07Buy@3_input,inventory_07Buy@3_output,productivity_07Buy@3,assets_07Buy@3,bankrupt_07Buy@3,score_07Buy@3,productivity,market_size,production_failures,bankruptcy,n_contracts_executed,n_contracts_erred,n_contracts_nullified,n_contracts_cancelled,n_breaches,breach_level,n_contracts_signed,n_contracts_concluded,n_negotiations,n_negotiation_rounds_successful,n_negotiation_rounds_failed,n_negotiation_successful,n_negotiation_failed,n_registered_negotiations_after,activity_level,step_time,total_time
10,36,0,0,0,10.000000000000002,20,10.0,14.8954901421123,38,13.5,8.107440821508728,34,3.911764705882353,20.568579238545865,12,25.25,38.00000000000001,8,38.0,7,0.5940000000000001,17890,0,10,1.0,148.954901421123,False,0.01874092382389482,21,0.8240000000000003,15929.0,122,0,0.0,1220.0000000000002,False,-0.062095951003742766,0,0.2,22585,86,50,1.0,1686.384193297094,False,-0.03959202686527225,34,2.9070000000000014,14099.0,42,0,0.0,625.6105859687166,False,-0.4092069651150136,0,0.2,32401,3,57,1.0,1196.7313390616405,False,0.01843607399329744,7,1.3410000000000002,26992.0,237,0,0.0,1921.4634746975685,False,-0.13731461831526492,0,0.2,45847,0,5,0.0,190.00000000000003,False,0.0004355211009973433,8,0.901,42148,141,0,0.0,2900.169672634967,False,-0.0506057045355716,0.375,217891,0.0,0.0,10,0,0,16,11,10.411764705882353,19,35,41,286.0,188.0,18,18,41,405,2.218247157521546,53.05358604807407
11,41,0,0,0,10.000000000000002,20,10.0,14.656761986367801,27,13.25925925925926,7.891081650693045,26,6.076923076923077,19.506703338782092,22,14.772727272727273,38.00000000000001,5,38.0,0,0.5870000000000002,17790,0,20,1.0,293.135239727356,False,0.01715819552362931,27,1.0730000000000004,15608.0,132,0,0.0,1320.0000000000002,False,-0.07746399001928093,0,0.2,22347,93,60,1.0,1836.5437637737882,False,-0.04627072715065621,26,3.1330000000000013,13304.0,52,0,0.0,762.1516232911257,False,-0.43899828598649,0,0.2,32269,4,67,1.0,1338.5134503011723,False,0.016550111880457456,22,1.5540000000000003,26329.0,252,0,0.0,1988.5525759746474,False,-0.15674105647838643,0,0.2,45847,0,5,0.0,190.00000000000003,False,0.0004355211009973433,5,0.9430000000000001,41774,163,0,0.0,3179.592644221481,False,-0.05570758411848913,0.375,215268,0.0,0.0,10,0,0,17,11,11.0,28,45,35,356.0,198.0,25,16,35,200,2.4024316892027855,55.45601773727685
12,35,0,0,0,10.000000000000002,20,10.0,14.717220825020847,25,15.12,11.421228339575121,92,19.847826086956523,20.743356151285333,22,26.818181818181817,38.0,10,38.0,0,0.5870000000000002,17744,3,26,1.0,412.647741450542,False,0.017938293678420737,21,1.256,15475.0,139,0,0.0,1390.0000000000002,False,-0.08302143586253828,0,0.2,23612,108,17,1.0,1783.6207308750286,False,0.004501531747049087,39,3.497000000000001,12096.0,52,0,0.0,765.295482901084,False,-0.48845422065054755,0,0.2,31555,37,61,1.0,1687.9301737926849,False,-9.366437576866971e-05,6,1.592,25603.0,301,0,0.0,3437.7897302121114,False,-0.1567836903553467,0,0.2,45847,0,5,0.0,190.0,False,0.0004355211009973433,10,1.0380000000000003,41043,185,0,0.0,3837.5208879877864,False,-0.06446233953238328,0.375,212975,0.0,0.0,15,0,0,16,10,10.0,23,39,39,341.0,177.0,21,14,39,2427,2.178689363412559,57.63470710068941
13,39,0,0,0,10.000000000000002,20,10.0,14.590488774514052,37,14.0,11.056833079352753,21,6.190476190476191,20.921826518269018,37,21.486486486486488,38.0,9,38.0,0,0.5870000000000002,17604,7,36,1.0,595.2575958825058,False,0.015176862761781321,37,1.6050000000000002,15172.0,145,0,0.0,1450.0000000000002,False,-0.09850289214018373,0,0.2,23178,129,27,1.0,2180.7075450548373,False,-0.005150702118249644,21,3.668000000000001,11510.0,58,0,0.0,846.248348921815,False,-0.5108172429916821,0,0.2,31893,31,61,1.0,1618.9932430743454,False,0.009274014614442671,27,1.8560000000000003,24688.0,318,0,0.0,3516.0729192341755,False,-0.18381468861128672,0,0.2,45847,0,5,0.0,190.0,False,0.0004355211009973433,9,1.118,40123,222,0,0.0,4644.645487055722,False,-0.07570831532755846,0.375,210015,0.0,0.0,11,0,0,15,13,13.0,28,43,40,326.0,168.0,23,16,40,610,2.4539171056821942,60.088624206371605
14,40,0,0,0,10.000000000000002,20,10.0,14.875563289679892,46,16.043478260869566,10.815700426170167,14,6.142857142857143,21.18539041290961,51,21.901960784313726,38.0,11,38.0,10,0.687,18092,5,10,1.0,198.75563289679891,False,0.0316081329504593,0,1.5680000000000003,15052.0,157,0,0.0,1570.0000000000002,False,-0.10190541000340252,0,0.2,22440,165,37,1.0,2854.6488585654783,False,-0.021590373481891436,14,3.7870000000000013,11201.0,58,0,0.0,862.7826708014337,False,-0.5231453908583784,0,0.2,32548,26,51,1.0,1361.6631221388143,False,0.025517917445509672,31,2.1390000000000002,23521.0,327,0,0.0,3536.7340393576446,False,-0.21951215913589214,0,0.2,45847,0,5,0.0,190.0,False,0.0004355211009973433,11,1.219,38841,273,0,0.0,5783.611582724323,False,-0.09122412370188233,0.375,207542,0.0,0.0,13,0,0,19,13,12.32258064516129,22,41,42,330.0,186.0,22,18,42,1194,3.256956403143704,63.34558060951531
15,42,0,0,0,10.000000000000002,20,10.0,14.91559761214793,29,15.206896551724139,11.690964850438068,38,17.605263157894736,20.610346562225065,15,14.066666666666666,38.0,10,38.0,0,0.6770000000000002,18107,4,15,1.0,263.733964182219,False,0.03430117852393723,24,1.8080000000000003,14870.0,168,0,0.0,1680.0000000000002,False,-0.1091074061472156,0,0.2,22557,184,29,1.0,3083.507941297923,False,-0.012103223307003263,20,3.973000000000001,10674.0,58,0,0.0,865.10466150458,False,-0.5447014704127126,0,0.2,32467,26,61,1.0,1561.1962264071187,False,0.026097096265772467,15,2.258000000000001,22562.0,355,0,0.0,4150.292521905514,False,-0.23964118693436334,0,0.2,45847,0,5,0.0,190.0,False,0.0004355211009973433,10,1.308,38484,288,0,0.0,5935.7798099208185,False,-0.0973413635085491,0.375,205568,0.0,0.0,11,0,0,17,13,13.0,25,42,39,353.0,170.0,26,16,39,863,2.390635018236935,65.73621562775224
16,39,0,0,0,10.000000000000002,20,10.0,15.283134453039358,41,17.21951219512195,11.669379955532333,22,11.409090909090908,19.56246890227372,34,14.411764705882353,38.0,12,38.0,0,0.6770000000000002,18243,9,14,1.0,303.963882342551,False,0.04315424414036941,30,2.084000000000001,14730.0,173,0,0.0,1730.0000000000002,False,-0.11562889871838494,0,0.2,22197,204,37,1.0,3549.5264867747255,False,-0.01730904142873812,20,4.1530000000000005,9973.0,69,0,0.0,1054.5362772597157,False,-0.5695552948007765,0,0.2,32383,29,64,1.0,1590.4100284559559,False,0.023955466151101067,27,2.513000000000001,21631.0,364,0,0.0,4247.65430381377,False,-0.2668715773129164,0,0.2,45847,0,5,0.0,190.0,False,0.0004355211009973433,12,1.4180000000000004,37806,322,0,0.0,6299.114986532139,False,-0.1081495254286384,0.375,202810,0.0,0.0,15,0,0,12,14,14.0,27,39,44,339.0,192.0,20,19,44,651,2.508946491405368,68.24516211915761
17,44,0,0,0,10.000000000000002,20,10.0,15.404712187832994,59,15.881355932203387,11.2740919509163,19,5.894736842105263,18.979674025192853,25,14.76,38.0,9,38.0,30,0.9770000000000001,18278,8,10,1.0,234.04712187832996,False,0.043156604340431205,15,2.2040000000000006,14521.0,184,0,0.0,1840.0000000000002,False,-0.12436202790064647,0,0.2,21462,238,47,1.0,4196.203822397319,False,-0.03418455721904318,19,4.323000000000001,9332.0,84,0,0.0,1293.9958237779715,False,-0.5909240833037228,0,0.2,32326,27,74,1.0,1708.8963605390113,False,0.024024695397491146,25,2.736000000000001,20780.0,375,0,0.0,4227.784481593612,False,-0.293442002320943,0,0.2,45847,0,5,0.0,190.0,False,0.0004355211009973433,9,1.4960000000000004,37320,347,0,0.0,6585.94688674192,False,-0.1156096545583607,0.375,199866,0.0,0.0,11,0,0,17,16,15.357142857142858,19,36,37,266.0,222.0,20,24,37,305,2.3486855663359165,70.59384768549353
18,37,0,0,0,10.000000000000002,20,10.0,15.295619027675196,22,14.0,11.606711505055378,46,13.41304347826087,18.025475939395857,36,13.11111111111111,38.0,13,38.0,12,1.0670000000000002,18262,10,10,1.0,252.95619027675195,False,0.04278541993526009,0,2.1890000000000005,14441.0,192,0,0.0,1920.0000000000005,False,-0.12663037314279232,0,0.2,21154,250,57,1.0,4485.487312706955,False,-0.040881214382492446,46,4.764000000000001,8318.0,84,0,0.0,1284.8319983247166,False,-0.6326795113895893,0,0.2,31727,54,84,1.0,2140.9024001822427,False,0.012204530587343991,36,3.071000000000001,19322.0,384,0,0.0,4456.977217941265,False,-0.3349025180862097,0,0.2,45847,0,5,0.0,190.0,False,0.0004355211009973433,13,1.6170000000000002,36621,383,0,0.0,6903.757284788613,False,-0.1273707886765753,0.375,195692,0.0,0.0,10,0,0,13,17,16.545454545454547,20,33,36,250.0,166.0,16,21,36,200,1.9160892460495234,72.50993693154305
19,36,0,0,0,10.000000000000002,20,10.0,15.308196306618296,48,15.375,11.661891833085434,5,14.6,17.730041190635895,19,14.631578947368421,38.0,9,38.0,23,1.2850000000000001,18268,14,10,1.0,293.081963066183,False,0.04426341054401118,15,2.339000000000001,14306.0,198,0,0.0,1980.0000000000005,False,-0.1325847794034252,0,0.2,20626,273,66,1.0,4948.822452690433,False,-0.05302897325796445,4,4.758000000000001,8082.0,99,0,0.0,1515.5114343552113,False,-0.6376258212192504,0,0.2,31744,49,88,1.0,2131.676324597145,False,0.01258682063757102,13,3.165000000000001,19012.0,384,0,0.0,4478.166463904807,False,-0.3441428543931731,0,0.2,45847,0,5,0.0,190.0,False,0.0004355211009973433,9,1.6940000000000006,36218,402,0,0.0,7127.47655863563,False,-0.13371067725016744,0.375,194103,0.0,0.0,10,0,0,17,12,11.166666666666668,19,36,34,233.0,150.0,16,20,34,320,1.983457311987877,74.49339424353093
20,34,0,0,0,10.000000000000002,20,10.0,15.490072122900912,9,21.0,14.927915587535349,59,28.440677966101696,18.196548657667044,12,25.833333333333332,38.0,11,38.0,0,1.2620000000000002,18377,12,11,1.0,290.39079335191,False,0.050368345053643744,0,2.3240000000000007,14186.0,210,0,0.0,2100.0000000000005,False,-0.135987297266644,0,0.2,22015,272,25,1.0,4586.497507117432,False,-0.003515259754090473,8,4.834000000000001,7973.0,99,0,0.0,1533.5171401671903,False,-0.641725072965336,0,0.2,31049,71,93,1.0,2752.161031878045,False,0.0007123176328319859,7,3.222000000000001,18101.0,411,0,0.0,6135.373306477029,False,-0.3466858017024099,0,0.2,45847,0,5,0.0,190.0,False,0.0004355211009973433,11,1.7950000000000004,35741,414,0,0.0,7533.371144274156,False,-0.13967846408830015,0.375,193289,0.0,0.0,17,0,0,16,9,9.0,24,40,27,280.0,102.0,20,14,27,2172,2.239877972751856,76.73327221628278
21,27,0,0,0,10.000000000000002,20,10.0,15.621263987995318,35,16.571428571428573,14.724845921443416,24,12.416666666666666,18.01949675434135,11,15.0,38.0,11,38.0,24,1.502,18359,15,10,1.0,306.2126398799532,False,0.04979620732335125,0,2.3240000000000007,14116.0,217,0,0.0,2170.0000000000005,False,-0.13797209935352162,0,0.2,21667,297,27,1.0,5037.086244313582,False,-0.008545415997507896,16,4.9860000000000015,7595.0,99,0,0.0,1546.5051348115364,False,-0.6569544737474063,0,0.2,30757,79,103,1.0,3019.270993491189,False,-0.004177658886933046,11,3.3250000000000006,17886.0,417,0,0.0,6140.260749241905,False,-0.35324577573541904,0,0.2,45847,0,5,0.0,190.0,False,0.0004355211009973433,11,1.8940000000000003,35407,425,0,0.0,7658.286120595074,False,-0.14559158877449724,0.375,191634,0.0,0.0,12,0,0,11,10,9.266666666666666,21,32,29,219.0,93.0,15,12,29,432,1.8045295430347323,78.53780175931752
22,29,0,0,0,10.000000000000002,20,10.0,15.621263987995318,0,,14.724845921443416,0,,19.577597758867203,13,41.0,38.0,12,38.0,0,1.4780000000000002,18269,14,20,1.0,452.4252797599064,False,0.048838189853689006,0,2.3240000000000007,14006.0,228,0,0.0,2280.0000000000005,False,-0.14109107406147214,0,0.2,21667,287,37,1.0,5028.122063648063,False,-0.00872915340559021,0,4.9700000000000015,7595.0,99,0,0.0,1546.5051348115364,False,-0.6569544737474063,0,0.2,31290,69,100,1.0,2973.774144466316,False,0.01156987445939003,0,3.314000000000001,17886.0,417,0,0.0,6140.260749241905,False,-0.35324577573541904,0,0.2,45847,0,5,0.0,190.0,False,0.0004355211009973433,12,2.0030000000000006,34678,438,0,0.0,8574.987818383835,False,-0.1514852595881731,0.375,191238,0.0,0.0,10,0,0,11,6,6.0,25,36,35,216.0,113.0,16,13,35,733,2.274798948317766,80.81260070763528
23,35,0,0,0,10.000000000000002,20,10.0,15.86180736833984,25,18.36,14.745470211572812,2,17.5,20.883053749841405,28,28.928571428571427,38.0,12,38.0,0,1.4780000000000004,18603,13,10,1.0,288.6180736833984,False,0.06313423141894633,5,2.374000000000001,13846.0,239,0,0.0,2390.0000000000005,False,-0.14704548032210502,0,0.2,21382,296,46,1.0,5373.386610760942,False,-0.013335520809196056,1,4.980000000000001,7432.0,105,0,0.0,1665.4897736756832,False,-0.6611976352038271,0,0.2,31870,61,95,1.0,2883.363789140875,False,0.0280748686676883,13,3.4440000000000013,17639.0,417,0,0.0,6148.861078225863,False,-0.36073604903669737,0,0.2,45847,0,5,0.0,190.0,False,0.0004355211009973433,12,2.1110000000000007,33676,466,0,0.0,9731.503047426095,False,-0.16071269710132288,0.375,190295,0.0,0.0,17,0,0,17,9,9.0,26,43,29,335.0,147.0,21,14,29,1269,2.0425736401230097,82.8551743477583
24,29,0,0,0,10.000000000000002,20,10.0,15.91123762958166,30,16.333333333333332,13.97939305085208,22,5.545454545454545,21.256632112397256,10,28.0,38.0,7,38.0,0,1.4780000000000002,18661,14,13,1.0,346.8460891845616,False,0.0680743475440785,23,2.599000000000001,13687.0,248,0,0.0,2480.0000000000005,False,-0.1535102642622207,0,0.2,21090,309,55,1.0,5685.439045337597,False,-0.018909587494105182,21,5.189000000000002,6736.0,112,0,0.0,1782.0586145131458,False,-0.6873399480504807,0,0.2,32071,52,100,1.0,2852.591649884034,False,0.03380334006981109,5,3.481000000000001,17426.0,438,0,0.0,6122.974156273211,False,-0.3677091822067587,0,0.2,45847,0,5,0.0,190.0,False,0.0004355211009973433,7,2.1690000000000005,33313,476,0,0.0,10118.156885501094,False,-0.16440750745284288,0.375,188831,0.0,0.0,12,0,0,15,9,9.0,18,33,30,247.0,118.0,15,14,30,603,1.9894514866173267,84.84462583437562
