index,n_registered_negotiations_before,n_contracts_dropped,n_contracts_nullified_now,n_bankrupt,trading_price_0,sold_quantity_0,unit_price_0,trading_price_1,sold_quantity_1,unit_price_1,trading_price_2,sold_quantity_2,unit_price_2,trading_price_3,sold_quantity_3,unit_price_3,trading_price_4,sold_quantity_4,unit_price_4,spot_market_quantity_00Dec@0,spot_market_loss_00Dec@0,balance_00Dec@0,inventory_00Dec@0_input,inventory_00Dec@0_output,productivity_00Dec@0,assets_00Dec@0,bankrupt_00Dec@0,score_00Dec@0,spot_market_quantity_01Buy@0,spot_market_loss_01Buy@0,balance_01Buy@0,inventory_01Buy@0_input,inventory_01Buy@0_output,productivity_01Buy@0,assets_01Buy@0,bankrupt_01Buy@0,score_01Buy@0,spot_market_quantity_02Dec@1,spot_market_loss_02Dec@1,balance_02Dec@1,inventory_02Dec@1_input,inventory_02Dec@1_output,productivity_02Dec@1,assets_02Dec@1,bankrupt_02Dec@1,score_02Dec@1,spot_market_quantity_03Ran@1,spot_market_loss_03Ran@1,balance_03Ran@1,inventory_03Ran@1_input,inventory_03Ran@1_output,productivity_03Ran@1,assets_03Ran@1,bankrupt_03Ran@1,score_03Ran@1,spot_market_quantity_04Dec@2,spot_market_loss_04Dec@2,balance_04Dec@2,inventory_04Dec@2_input,inventory_04Dec@2_output,productivity_04Dec@2,assets_04Dec@2,bankrupt_04Dec@2,score_04Dec@2,spot_market_quantity_05Buy@2,spot_market_loss_05Buy@2,balance_05Buy@2,inventory_05Buy@2_input,inventory_05Buy@2_output,productivity_05Buy@2,assets_05Buy@2,bankrupt_05Buy@2,score_05Buy@2,spot_market_quantity_06Ind@3,spot_market_loss_06Ind@3,balance_06Ind@3,inventory_06Ind@3_input,inventory_06Ind@3_output,productivity_06Ind@3,assets_06Ind@3,bankrupt_06Ind@3,score_06Ind@3,spot_market_quantity_07MyA@3,spot_market_loss_07MyA@3,balance_07MyA@3,inventory_07MyA@3_input,inventory_07MyA@3_output,productivity_07MyA@3,assets_07MyA@3,bankrupt_07MyA@3,score_07MyA@3,productivity,market_size,production_failures,bankruptcy,n_contracts_executed,n_contracts_erred,n_contracts_nullified,n_contracts_cancelled,n_breaches,breach_level,n_contracts_signed,n_contracts_concluded,n_negotiations,n_negotiation_rounds_successful,n_negotiation_rounds_failed,n_negotiation_successful,n_negotiation_failed,n_registered_negotiations_after,activity_level,step_time,total_time
10,30,0,0,0,10.000000000000002,20,10.0,23.575431489161662,15,25.533333333333335,19.724733734677997,44,38.409090909090914,24.584057907245562,13,34.46153846153846,47.99999999999999,10,48.0,0,0.524,34520,5,19,1.0,497.9331982940716,False,0.057868579400220256,4,1.4280000000000004,29894,114,0,0.0,1140.0000000000002,False,-0.07311284875406943,0,0.20900000000000002,47413,87,29,1.0,2623.0798178627265,False,0.004050031094035712,4,1.9680000000000004,39416.0,77,0,0.0,1815.308224665448,False,-0.16906416682466358,0,0.2,53507,74,51,1.0,2713.417249635695,False,-0.0008066470310729638,4,0.861,50728,116,0,0.0,2288.0691132226475,False,-0.05529185989999044,0,0.2,76510,3,18,1.0,937.7521737217365,False,0.020926461013260646,0,0.2,75248,0,9,0.0,431.99999999999994,False,0.0008355326852429013,0.5,407236,0.0,0.0,14,0,0,15,5,5.0,9,24,33,216.0,138.0,14,16,33,3057,6.891411034972407,87.74622119002743
11,33,0,0,0,10.000000000000002,20,10.0,23.230756339142307,5,11.0,21.0383502214502,13,40.38461538461539,24.023407325666593,21,22.095238095238095,48.0,10,48.0,0,0.524,34495,3,24,1.0,587.5381521394154,False,0.05847108272947661,0,1.4240000000000002,29774,126,0,0.0,1260.0000000000002,False,-0.07493838804880275,0,0.20900000000000002,47883,82,26,1.0,2451.919125567374,False,0.011971636226172307,0,1.9640000000000004,39416.0,77,0,0.0,1788.7682381139575,False,-0.1693376170652617,0,0.2,53695,64,57,1.0,2715.788631735809,False,0.0026388561934126732,17,1.0270000000000001,49731,129,0,0.0,2713.947178567076,False,-0.06957139962694803,0,0.2,76526,14,18,1.0,1200.3277025593322,False,0.022879853732439403,0,0.2,75248,0,9,0.0,432.0,False,0.0008355326852429013,0.5,406768,0.0,0.0,11,0,0,17,3,3.0,10,27,37,234.0,157.0,17,16,37,1448,6.017316874000244,93.76353806402767
12,37,0,0,0,10.000000000000002,20,10.0,22.52616971693141,26,18.076923076923077,20.544363470746983,9,10.444444444444445,25.068983711761902,4,47.0,48.0,11,48.0,0,0.524,34385,4,34,1.0,805.8897703756679,False,0.058446006182122895,26,1.6840000000000004,29425,135,0,0.0,1350.0000000000002,False,-0.08418778714211823,0,0.20900000000000002,47413,98,36,1.0,2947.1617172061697,False,0.007389153861751638,9,2.0540000000000003,39194.0,77,0,0.0,1734.5150682037186,False,-0.1744712839164635,0,0.2,53793,59,63,1.0,2791.463418615072,False,0.005112765158219797,0,1.0100000000000002,49727,133,0,0.0,2732.4003416093487,False,-0.06947621164849069,0,0.2,76866,8,17,1.0,1016.5518696940952,False,0.026170421278856285,0,0.2,75248,0,9,0.0,432.0,False,0.0008355326852429013,0.5,406051,0.0,0.0,9,0,0,14,4,4.0,15,29,34,245.0,105.0,19,18,34,916,5.8045454830280505,99.56808354705572
13,34,0,0,0,10.000000000000002,20,10.0,22.077528950776742,36,19.944444444444443,22.477731813716215,38,31.31578947368421,25.068983711761902,0,,48.00000000000001,9,48.0,0,0.524,34605,6,28,1.0,678.1708106217487,False,0.0631966837652015,20,1.8580000000000003,29207,143,0,0.0,1430.0000000000002,False,-0.08960355371649374,0,0.20900000000000002,48283,103,16,1.0,2633.629190949464,False,0.02208651902972986,8,2.125000000000001,38510.0,98,0,0.0,2163.5978371761207,False,-0.1841452580244795,0,0.2,52623,79,73,1.0,3605.7766242422,False,-0.008780354190261956,0,1.0100000000000002,49707,141,0,0.0,3169.3601857339863,False,-0.06586143926446072,0,0.2,77298,0,16,0.8,768.0000000000001,False,0.03025158817522314,0,0.2,75248,0,9,0.0,432.00000000000006,False,0.0008355326852429013,0.475,405481,0.0,0.0,10,0,0,12,5,5.0,14,26,28,219.0,140.0,16,18,28,2142,4.834281357994769,104.40236490505049
14,28,0,0,0,10.000000000000002,20,10.0,22.28799139104174,20,24.25,21.862758863466112,6,2.3333333333333335,23.475263599279334,17,16.058823529411764,48.0,13,48.0,0,0.524,34960,4,23,1.0,552.62380199396,False,0.07208786627915482,5,1.8880000000000003,29017,155,0,0.0,1550.0000000000002,False,-0.09355888885508261,0,0.20900000000000002,47798,113,26,1.0,3086.974757637836,False,0.016763257888619237,6,2.1770000000000005,38320.0,98,0,0.0,2184.2231563220903,False,-0.187848013967997,0,0.2,52686,73,78,1.0,3427.0519577768146,False,-0.00926047244684915,12,1.1300000000000001,49414,143,0,0.0,3126.374517475654,False,-0.07158907156083223,0,0.2,77649,7,13,1.0,788.3268451949554,False,0.03504149046561034,0,0.2,75248,0,9,0.0,432.0,False,0.0008355326852429013,0.5,405092,0.0,0.0,10,0,0,17,5,5.0,11,28,30,248.0,60.0,18,10,30,1334,4.550409563002177,108.95277446805267
15,30,0,0,0,10.000000000000002,20,10.0,24.08372030038767,40,32.425,21.4541841014482,5,7.0,24.00690110717348,2,47.0,48.0,10,48.0,15,0.6740000000000002,35763,1,10,1.0,250.8372030038767,False,0.09192863971466629,2,1.9030000000000005,28877,168,0,0.0,1680.0000000000002,False,-0.09584081297349925,0,0.20900000000000002,46899,132,36,1.0,3951.401707303308,False,0.0071443466380574396,5,2.221000000000001,37797.0,109,0,0.0,2625.1255127422564,False,-0.19408253469396777,0,0.2,52745,68,86,1.0,3523.478014115397,False,-0.0073078785048136,0,1.118,49414,143,0,0.0,3067.9483265070926,False,-0.07212110870449581,0,0.2,78035,0,12,0.9,576.0,False,0.03875280168698028,0,0.2,75248,0,9,0.0,432.0,False,0.0008355326852429013,0.4875,404778,0.0,0.0,10,0,0,9,4,3.125,14,23,32,192.0,75.0,14,16,32,1134,4.700200530001894,113.65297499805456
16,32,0,0,0,10.000000000000002,20,10.0,25.64730374001973,39,33.794871794871796,20.615391462361842,7,1.0,25.59902757258247,12,36.166666666666664,48.0,8,48.0,19,0.8490000000000002,36257,1,10,1.0,266.4730374001973,False,0.10719677849210751,10,2.001000000000001,28727,178,0,0.0,1780.0000000000002,False,-0.09888337846472145,0,0.20900000000000002,46899,122,46,1.0,4077.279063551052,False,0.008441302583570788,7,2.2860000000000005,36248.0,148,0,0.0,3795.80095352292,False,-0.21394039571460888,0,0.2,53115,58,88,1.0,3448.4071312042443,False,-0.001252940088837231,4,1.1580000000000004,49317,150,0,0.0,3092.3087193542765,False,-0.07366587091722268,0,0.2,77985,2,14,1.0,723.198055145165,False,0.03906578198661262,0,0.2,75248,0,9,0.0,432.0,False,0.0008355326852429013,0.5,403796,0.0,0.0,10,0,0,9,7,6.375,14,23,29,189.0,128.0,14,18,29,954,4.347956728015561,118.00093172607012
17,29,0,0,0,10.000000000000002,20,10.0,25.962017818419707,16,30.250000000000004,22.311250060448238,24,33.166666666666664,25.484047566383314,1,16.0,48.0,8,48.0,0,0.8300000000000001,36527,1,10,1.0,269.6201781841971,False,0.11545958222813453,6,2.051,28588,188,0,0.0,1880.0000000000002,False,-0.1015912617519092,0,0.20900000000000002,47679,112,36,1.0,3710.950997839144,False,0.020740098477571127,4,2.3190000000000004,35652.0,164,0,0.0,4257.770922220832,False,-0.22146213606350112,0,0.2,53115,48,98,1.0,3568.37666440708,False,-0.00016048058200002162,1,1.1640000000000001,48500,174,0,0.0,3882.157510517993,False,-0.08135283100351502,0,0.2,78353,0,9,0.3,432.0,False,0.04201535788650018,0,0.2,75248,0,9,0.0,432.0,False,0.0008355326852429013,0.4125,403662,0.0,0.0,8,0,0,12,4,4.0,10,22,37,157.0,109.0,13,16,37,1734,4.715608441038057,122.71654016710818
18,37,0,0,0,10.000000000000002,20,10.0,25.796865070161104,6,20.0,24.50053729378471,20,42.0,25.94334707616023,9,29.77777777777778,48.0,7,48.0,0,0.8300000000000001,36387,5,20,1.0,565.9373014032221,False,0.11570781180824562,6,2.1050000000000004,28504,194,0,0.0,1940.0000000000005,False,-0.10323424711716919,0,0.20900000000000002,48519,102,26,1.0,3268.294206794835,False,0.03348885392757616,0,2.3150000000000004,35532.0,170,0,0.0,4385.4670619273875,False,-0.22261923980045148,0,0.2,52463,58,104,1.0,4119.139258960176,False,-0.0070195667392713755,5,1.2130000000000003,48389,174,0,0.0,4263.09348911854,False,-0.0799055375435406,0,0.2,78421,0,11,0.9,528.0,False,0.04355379902123314,0,0.2,75248,0,9,0.0,432.0,False,0.0008355326852429013,0.4875,403463,0.0,0.0,9,0,0,13,3,3.0,16,29,26,264.0,129.0,19,18,26,1564,5.772678793990053,128.48921896109823
19,26,0,0,0,10.000000000000002,20,10.0,24.71582835213542,15,10.666666666666666,22.95189595190769,48,17.729166666666668,25.69909318749562,5,22.0,48.0,11,48.0,0,0.8300000000000001,36247,9,30,1.0,831.4748505640626,False,0.11548779703903703,15,2.2490000000000006,28169,200,0,0.0,2000.0000000000005,False,-0.1125140718653969,0,0.20900000000000002,48974,107,21,1.0,3126.5834486685517,False,0.041404791549914985,33,2.6450000000000005,34220.0,170,0,0.0,4201.690819863022,False,-0.25154868509043204,0,0.2,51869,85,113,1.0,4854.908686099158,False,-0.011137642182385518,4,1.2480000000000002,48094,185,0,0.0,4246.100751102923,False,-0.08543289911212468,0,0.2,78839,0,5,0.5,240.0,False,0.047187703080860996,0,0.2,75248,0,9,0.0,432.0,False,0.0008355326852429013,0.4375,401660,0.0,0.0,11,0,0,10,11,11.0,11,21,36,165.0,151.0,11,15,36,1389,4.797175629995763,133.286394591094
20,36,0,0,0,10.000000000000002,20,10.0,23.33913029980188,21,10.952380952380953,22.721900979843593,2,1.0,28.979798036834197,17,43.0,48.00000000000001,10,48.0,0,0.8300000000000001,36207,8,35,1.0,896.8695604930658,False,0.11526560928124059,16,2.3940000000000006,27765,211,0,0.0,2110.0000000000005,False,-0.12313262542976237,0,0.20900000000000002,48764,117,31,1.0,3435.0571754519715,False,0.04025569954924968,2,2.6320000000000006,34136.0,171,0,0.0,3990.9912812661214,False,-0.2554505514211783,0,0.2,52566,77,108,1.0,4879.40456342605,False,0.0017793815420890824,2,1.2640000000000002,48052,185,0,0.0,4203.551681271065,False,-0.08658527280841526,5,0.25,78303,7,10,1.0,682.8585862578394,False,0.043015733121960234,0,0.2,75248,0,9,0.0,432.00000000000006,False,0.0008355326852429013,0.5,401041,0.0,0.0,11,0,0,12,8,8.0,16,28,29,223.0,186.0,18,18,29,1189,5.105253761983477,138.39164835307747
21,29,0,0,0,10.000000000000002,20,10.0,22.979888214403786,6,11.666666666666666,21.02015086552327,18,4.777777777777778,26.88232361062791,15,15.6,48.00000000000001,9,48.0,0,0.8300000000000001,36117,7,45,1.0,1104.0949696481703,False,0.11567978473313915,6,2.4380000000000006,27576,222,0,0.0,2220.0000000000005,False,-0.12720966318800012,0,0.20900000000000002,48714,112,41,1.0,3435.573665499678,False,0.03923068811304477,18,2.8100000000000005,33592.0,172,0,0.0,3952.540772877451,False,-0.2670567427786284,0,0.2,52480,85,118,1.0,4958.827009623571,False,0.0009363572669152461,15,1.4120000000000004,47611,185,0,0.0,3888.727910121805,False,-0.09748371903801084,0,0.24500000000000002,78501,12,11,1.0,850.5878833275351,False,0.04675394148172793,0,0.2,75248,0,9,0.0,432.00000000000006,False,0.0008355326852429013,0.5,399839,0.0,0.0,7,0,0,17,8,8.0,9,26,21,250.0,95.0,17,12,21,632,4.8010738720186055,143.19272222509608
22,21,0,0,0,10.000000000000002,20,10.0,23.147962272161905,44,23.818181818181817,20.189487167636408,10,6.0,27.93358829256433,8,39.25,48.000000000000014,13,48.0,0,0.8300000000000001,36940,9,21,1.0,576.1072077154,False,0.13268791200467633,10,2.5320000000000005,27336,230,0,0.0,2300.0000000000005,False,-0.1332947941704445,0,0.20900000000000002,48114,128,51,1.0,3992.6030163861806,False,0.03260594931159523,10,2.892000000000001,32840.0,190,0,0.0,4398.112831710762,False,-0.277962075176076,0,0.2,52706,83,122,1.0,5083.62520660667,False,0.006188763081943126,2,1.4170000000000003,47565,187,0,0.0,3775.434100348008,False,-0.09935315345352219,2,0.265,78697,10,10,1.0,759.3358829256434,False,0.0487482651617726,0,0.2,75248,0,9,0.0,432.0000000000001,False,0.0008355326852429013,0.5,399446,0.0,0.0,14,0,0,12,7,6.5,13,25,19,200.0,47.0,15,6,19,1857,4.419717968965415,147.6124401940615
23,19,0,0,0,10.000000000000002,20,10.0,23.389447697806638,47,24.404255319148938,20.189487167636408,0,,26.559168936130163,24,21.708333333333332,48.000000000000014,12,48.0,0,0.8300000000000001,37372,9,17,1.0,487.62061086271285,False,0.14448566359665788,33,2.8520000000000008,26919,240,0,0.0,2400.0000000000005,False,-0.14446100952323,0,0.20900000000000002,47499,151,61,1.0,4763.3653195946235,False,0.02787427175645632,0,2.8820000000000006,32308.0,204,0,0.0,4771.447330352554,False,-0.2850782297812339,0,0.2,52890,73,128,1.0,4873.406187062119,False,0.007625538965743813,20,1.6150000000000002,46972,187,0,0.0,3775.434100348008,False,-0.11015303689491505,2,0.28300000000000003,78635,24,10,1.0,1117.420054467124,False,0.05030052687939903,0,0.2,75248,0,9,0.0,432.0000000000001,False,0.0008355326852429013,0.5,397843,0.0,0.0,7,0,0,8,7,6.166666666666667,11,19,22,128.0,58.0,9,10,22,1156,3.73059586196905,151.34303605603054
24,22,0,0,0,10.000000000000002,20,10.0,24.03795203374554,34,28.235294117647058,18.291754373752813,20,2.85,30.249282546624727,28,43.142857142857146,48.00000000000002,10,48.0,17,1.0000000000000002,37717,11,10,1.0,350.3795203374554,False,0.15289468951132537,0,2.819000000000001,26839,248,0,0.0,2480.0000000000005,False,-0.14567803571971888,0,0.20900000000000002,47099,161,71,1.0,5168.824837969481,False,0.023809190961604488,20,3.082000000000001,30997.0,218,0,0.0,5240.273543356528,False,-0.3072630899340945,0,0.2,54039,66,114,1.0,4655.673998982905,False,0.02656875135665939,4,1.6350000000000002,46826,204,0,0.0,3731.517892245574,False,-0.11321193731108793,0,0.281,77907,42,10,1.0,1750.4698669582388,False,0.044843369895347825,0,0.2,75248,0,9,0.0,432.00000000000017,False,0.0008355326852429013,0.5,396672,0.0,0.0,8,0,0,12,7,6.15,14,26,21,233.0,45.0,17,5,21,1832,4.918821525003295,156.26185758103384
