index,n_registered_negotiations_before,n_contracts_dropped,n_contracts_nullified_now,n_bankrupt,trading_price_0,sold_quantity_0,unit_price_0,trading_price_1,sold_quantity_1,unit_price_1,trading_price_2,sold_quantity_2,unit_price_2,trading_price_3,sold_quantity_3,unit_price_3,trading_price_4,sold_quantity_4,unit_price_4,spot_market_quantity_00Buy@0,spot_market_loss_00Buy@0,balance_00Buy@0,inventory_00Buy@0_input,inventory_00Buy@0_output,productivity_00Buy@0,assets_00Buy@0,bankrupt_00Buy@0,score_00Buy@0,spot_market_quantity_01Dec@0,spot_market_loss_01Dec@0,balance_01Dec@0,inventory_01Dec@0_input,inventory_01Dec@0_output,productivity_01Dec@0,assets_01Dec@0,bankrupt_01Dec@0,score_01Dec@0,spot_market_quantity_02Ind@1,spot_market_loss_02Ind@1,balance_02Ind@1,inventory_02Ind@1_input,inventory_02Ind@1_output,productivity_02Ind@1,assets_02Ind@1,bankrupt_02Ind@1,score_02Ind@1,spot_market_quantity_03Dec@1,spot_market_loss_03Dec@1,balance_03Dec@1,inventory_03Dec@1_input,inventory_03Dec@1_output,productivity_03Dec@1,assets_03Dec@1,bankrupt_03Dec@1,score_03Dec@1,spot_market_quantity_04Ran@2,spot_market_loss_04Ran@2,balance_04Ran@2,inventory_04Ran@2_input,inventory_04Ran@2_output,productivity_04Ran@2,assets_04Ran@2,bankrupt_04Ran@2,score_04Ran@2,spot_market_quantity_05Ran@2,spot_market_loss_05Ran@2,balance_05Ran@2,inventory_05Ran@2_input,inventory_05Ran@2_output,productivity_05Ran@2,assets_05Ran@2,bankrupt_05Ran@2,score_05Ran@2,spot_market_quantity_06MyA@3,spot_market_loss_06MyA@3,balance_06MyA@3,inventory_06MyA@3_input,inventory_06MyA@3_output,productivity_06MyA@3,assets_06MyA@3,bankrupt_06MyA@3,score_06MyA@3,spot_market_quantity_07Buy@3,spot_market_loss_07Buy@3,balance_07Buy@3,inventory_07Buy@3_input,inventory_07Buy@3_output,productivity_07Buy@3,assets_07Buy@3,bankrupt_07Buy@3,score_07Buy@3,productivity,market_size,production_failures,bankruptcy,n_contracts_executed,n_contracts_erred,n_contracts_nullified,n_contracts_cancelled,n_breaches,breach_level,n_contracts_signed,n_contracts_concluded,n_negotiations,n_negotiation_rounds_successful,n_negotiation_rounds_failed,n_negotiation_successful,n_negotiation_failed,n_registered_negotiations_after,activity_level,step_time,total_time
13,21,0,0,0,10.000000000000002,20,10.0,25.46183210783744,15,21.0,42.53267242053162,17,53.76470588235294,5.603900445050738,85,3.776470588235294,44.999999999999986,13,45.0,0,0.776,14347,131,0,0.0,1310.0000000000002,False,-0.07435058925155796,0,0.398,18475,9,15,1.0,471.9274816175616,False,0.15449890422711052,1,0.786,21327,10,10,1.0,679.9450452836905,False,0.030729866449828506,0,0.43400000000000005,21107,37,21,1.0,1835.2739088211492,False,0.04774449143288028,56,2.956000000000001,4157.0,120,0,0.0,5103.920690463794,False,-0.7669690744969816,29,2.983000000000001,6336.0,104,0,0.0,4423.397931735289,False,-0.7031018073682651,0,0.2,38550,0,5,0.0,224.99999999999994,False,0.0026321931485179324,13,1.2210000000000003,33961,601,0,0.0,3367.9441674754935,False,-0.07562116947854708,0.375,158260,0.0,0.0,8,0,0,4,14,13.09090909090909,18,22,20,138.0,36.0,12,9,20,835,0.9416976943612099,24.44973193667829
14,20,0,0,0,10.000000000000002,20,10.0,25.25369339787877,2,11.0,42.53267242053162,0,,5.393567065727298,44,3.8636363636363638,44.999999999999986,7,45.0,2,0.796,14228,140,0,0.0,1400.0000000000002,False,-0.07891651755414326,0,0.398,18365,10,25,1.0,731.3423349469692,False,0.155714886621428,0,0.7850000000000001,21316,1,20,1.0,875.9071418085111,False,0.034867683312128535,0,0.43400000000000005,21096,28,31,1.0,2025.6162601770857,False,0.051748638508564884,12,3.020000000000001,3673.0,120,0,0.0,5103.920690463794,False,-0.7837804673417194,32,3.2740000000000005,4602.0,104,0,0.0,4423.397931735289,False,-0.7633310536343297,0,0.2,38550,0,5,0.0,224.99999999999994,False,0.0026321931485179324,7,1.2780000000000005,33701,645,0,0.0,3478.8507573941074,False,-0.08092566638061639,0.375,155531,0.0,0.0,5,0,0,4,10,10.0,18,22,21,146.0,24.0,12,8,21,200,1.0478363018482924,25.497568238526583
15,21,0,0,0,10.000000000000002,20,10.0,25.81717974936787,19,29.526315789473685,42.87933229349253,11,47.81818181818182,5.092979253202548,59,3.4237288135593222,44.99999999999999,13,45.0,2,0.8140000000000003,14109,149,0,0.0,1490.0000000000002,False,-0.08348244585672858,0,0.398,18794,11,18,1.0,574.7092354886217,False,0.17735266352466894,0,0.7850000000000001,20978,9,26,1.0,1347.2172573751168,False,0.02999898333512002,0,0.43400000000000005,21399,19,34,1.0,1948.4237132167357,False,0.0643267140767978,32,3.3280000000000007,1637.0,126,0,0.0,5402.795868980059,False,-0.8493088595175398,27,3.5120000000000013,2964.0,109,0,0.0,4673.8472199906855,False,-0.8158762205628572,0,0.2,38550,0,5,0.0,224.99999999999997,False,0.0026321931485179324,13,1.401,33286,704,0,0.0,3585.457394254594,False,-0.09030552379016886,0.375,151717,0.0,0.0,12,0,0,7,11,11.0,15,22,15,125.0,42.0,12,9,15,1265,0.9458154104650021,26.443383648991585
16,15,0,0,0,10.000000000000002,20,10.0,25.7037774917259,1,11.0,43.32394889948175,12,48.916666666666664,5.0279877051862245,22,4.0,44.999999999999986,9,45.0,0,0.812,14029,157,0,0.0,1570.0000000000002,False,-0.08595051520947738,0,0.398,18685,13,27,1.0,824.0019922765994,False,0.17831807219956194,0,0.7850000000000001,21222,0,31,1.0,1343.0424158839342,False,0.0415071218277896,0,0.43400000000000005,21731,9,37,1.0,1834.3201067063578,False,0.07740640565877828,0,3.296000000000001,1274.0,133,0,0.0,5762.0852036310725,False,-0.8556775754840037,22,3.705000000000001,1728.0,114,0,0.0,4938.930174540919,False,-0.8542040608798035,0,0.2,38550,0,5,0.0,224.99999999999994,False,0.0026321931485179324,9,1.4780000000000004,33073,726,0,0.0,3650.319073965199,False,-0.09498821252087335,0.375,150292,0.0,0.0,10,0,0,6,4,4.0,14,20,16,109.0,37.0,10,5,16,798,0.7559254840016365,27.19930913299322
17,16,0,0,0,10.000000000000002,20,10.0,26.62533034318022,17,33.0,43.71082177725837,6,53.166666666666664,4.852013108780824,23,2.3043478260869565,44.99999999999998,8,45.0,0,0.812,13899,170,0,0.0,1700.0000000000002,False,-0.0899611279076942,0,0.398,19176,10,20,1.0,632.5066068636044,False,0.20270582485542074,0,0.7850000000000001,20661,7,41,1.0,1978.5210052698546,False,0.029934850988769635,0,0.43400000000000005,22050,0,40,0.9,1748.4328710903346,False,0.0905388152583211,7,3.3660000000000005,954.0,134,0,0.0,5857.250118152621,False,-0.8651398034360434,16,3.8430000000000004,703.0,119,0,0.0,5201.5877914937455,False,-0.8852450887201503,0,0.2,38550,0,5,0.0,224.9999999999999,False,0.0026321931485179324,8,1.5490000000000004,32922,749,0,0.0,3634.157818476837,False,-0.09911364048550551,0.3625,148915,0.0,0.0,9,0,0,5,6,6.0,16,21,23,133.0,53.0,10,6,23,1080,0.9033933132886887,28.10270244628191
18,23,0,0,0,10.000000000000002,20,10.0,25.844401782280467,54,24.09259259259259,43.23804808030201,4,27.0,5.352730797306948,47,8.765957446808512,44.99999999999997,6,45.0,30,1.1120000000000003,13459,183,0,0.0,1830.0000000000002,False,-0.11309927808971432,4,0.43800000000000006,19728,7,10,1.0,328.44401782280465,False,0.227384587456741,0,0.7850000000000001,20417,8,47,1.0,2238.943474032438,False,0.024521751439808667,0,0.43400000000000005,21101,33,50,1.0,3014.7676628303557,False,0.07551419206579973,22,3.579000000000001,-12.0,138,0,0.0,5966.850635081677,False,-0.8967896728884739,25,4.077000000000001,-450.0,119,0,0.0,5145.327721555939,False,-0.9262707933039955,0,0.2,38550,0,5,0.0,224.99999999999986,False,0.0026321931485179324,6,1.6010000000000004,32438,796,0,0.0,4260.77371465633,False,-0.10354018678643798,0.375,145231,0.0,0.0,7,0,0,8,11,10.181818181818182,18,26,24,238.0,64.0,15,8,24,660,1.0975647866725922,29.200267232954502
19,24,0,0,0,10.000000000000002,20,10.0,26.162135083940047,18,28.944444444444443,44.90207329185713,28,52.464285714285715,5.52182127481591,50,6.64,44.99999999999998,9,45.0,1,1.0920000000000003,13355,192,0,0.0,1920.0000000000005,False,-0.11673968038501882,7,0.504,19953,8,10,1.0,341.62135083940046,False,0.2416740097130684,0,0.7850000000000001,21365,16,29,1.0,1720.7542868068974,False,0.05729399854447694,0,0.43400000000000005,21101,23,60,1.0,3295.8535044420487,False,0.0822000262699693,42,3.977000000000001,-4069.0,151,0,0.0,6780.213067070426,False,-1.0235808776125317,8,4.132,-3082.0,134,0,0.0,6016.877821108856,False,-1.0025550916792487,0,0.2,38550,0,5,0.0,224.9999999999999,False,0.0026321931485179324,9,1.6850000000000003,31981,846,0,0.0,4671.4607984942595,False,-0.1100663779661542,0.375,139154,0.0,0.0,5,0,0,10,12,12.052258174677709,18,28,25,261.0,58.0,18,6,25,200,1.1399199962615967,30.3401872292161
20,25,0,0,0,10.000000000000002,20,10.0,26.066811272505756,1,11.0,45.194325079351835,6,52.0,5.601424157093558,91,5.9010989010989015,44.99999999999998,11,45.0,1,1.1010000000000002,13241,202,0,0.0,2020.0000000000005,False,-0.12068859134941692,0,0.4970000000000001,19853,8,20,1.0,601.3362254501151,False,0.24351626536219262,0,0.7850000000000001,21365,6,39,1.0,1918.979545729756,False,0.062008932632361895,0,0.43400000000000005,21402,14,64,1.0,3257.372162893598,False,0.09560373347827403,55,4.485000000000001,-8457.0,151,0,0.0,6824.343086982127,False,-1.1752284979683547,36,4.484000000000001,-9983.0,140,0,0.0,6327.205511109257,False,-1.2368668719849034,0,0.2,38550,0,5,0.0,224.9999999999999,False,0.0026321931485179324,11,1.7860000000000005,31267,937,0,0.0,5248.534435196664,False,-0.12109988803199265,0.375,127238,0.0,0.0,6,0,0,10,15,25.666666666666664,17,27,26,246.0,61.0,17,8,26,200,1.1087644919753075,31.448951721191406
21,26,0,0,2,10.000000000000002,20,10.0,26.27032798507424,18,27.88888888888889,45.7241224848702,9,53.44444444444444,5.601424157093558,0,,44.99999999999998,11,45.0,2,1.12,13152,208,0,0.0,2080.0000000000005,False,-0.12432899364472141,0,0.4970000000000001,20193,12,14,1.0,487.78459179103936,False,0.26099168852320104,0,0.7850000000000001,21139,13,44,1.0,2353.375653140254,False,0.06159021105418996,0,0.43400000000000005,21607,5,70,1.0,3332.0402138662853,False,0.10713192079031167,0,4.430000000000001,-23474.25,155,0,0.0,7087.238985154881,True,-1.6922761551727183,0,4.448,-27020.75,145,0,0.0,6629.997760306179,True,-1.8234022618911745,0,0.2,38550,0,5,0.0,224.9999999999999,False,0.0026321931485179324,11,1.8850000000000002,31085,937,0,0.0,5248.534435196664,False,-0.12581968264312826,0.375,145726,0.0,0.2,7,0,0,8,19,518.9342229107953,18,26,12,199.0,33.0,16,10,12,680,1.0201275032013655,32.46907922439277
22,12,0,0,0,10.000000000000002,20,10.0,26.27032798507424,0,,45.7241224848702,0,,5.601424157093558,0,,44.99999999999998,13,45.0,0,1.118,13042,219,0,0.0,2190.0000000000005,False,-0.12772258900475103,0,0.49700000000000005,20103,11,24,1.0,740.4878716417818,False,0.26323464773375027,0,0.7850000000000001,21139,3,54,1.0,2547.9135981382133,False,0.06621743965887002,0,0.43400000000000005,21607,0,75,0.5,3429.309186365265,False,0.10944553509265179,0,4.4300000000000015,-23474.25,155,0,0.0,7087.238985154881,True,-1.6922761551727183,0,4.448000000000001,-27020.75,145,0,0.0,6629.997760306179,True,-1.8234022618911745,0,0.2,38550,0,5,0.0,224.9999999999999,False,0.0026321931485179324,13,2.0040000000000004,30848,937,0,0.0,5248.534435196664,False,-0.13196578881257406,0.3125,145289,0.0,0.2,5,0,0,4,7,655.9315975341918,9,13,11,50.0,68.0,3,9,11,200,0.5456803925335407,33.01475961692631
23,11,0,0,0,10.000000000000002,20,10.0,25.86049082221239,4,11.0,45.7241224848702,0,,5.601424157093558,0,,44.999999999999986,11,45.0,2,1.1380000000000003,12923,228,0,0.0,2280.0000000000005,False,-0.13228851730733635,0,0.4970000000000001,20015,12,32,1.0,947.5357063107965,False,0.2641925003489478,0,0.7850000000000001,21117,0,59,0.5,2697.723226607342,False,0.06873419976707437,0,0.43400000000000005,21585,0,77,0.2,3520.7574313350055,False,0.1105741266194521,0,4.430000000000001,-23474.25,155,0,0.0,7087.238985154881,True,-1.6922761551727183,0,4.448000000000001,-27020.75,145,0,0.0,6629.997760306179,True,-1.8234022618911745,0,0.2,38550,0,5,0.0,224.99999999999994,False,0.0026321931485179324,11,2.101000000000001,30671,937,0,0.0,5248.534435196664,False,-0.13655591873659056,0.2125,144861,0.0,0.2,7,0,0,2,6,179.88333333333333,12,14,5,54.0,39.0,3,8,5,222,0.5465849246829748,33.56134454160929
