index,n_registered_negotiations_before,n_contracts_dropped,n_contracts_nullified_now,n_bankrupt,trading_price_0,sold_quantity_0,unit_price_0,trading_price_1,sold_quantity_1,unit_price_1,trading_price_2,sold_quantity_2,unit_price_2,trading_price_3,sold_quantity_3,unit_price_3,trading_price_4,sold_quantity_4,unit_price_4,spot_market_quantity_00Ind@0,spot_market_loss_00Ind@0,balance_00Ind@0,inventory_00Ind@0_input,inventory_00Ind@0_output,productivity_00Ind@0,assets_00Ind@0,bankrupt_00Ind@0,score_00Ind@0,spot_market_quantity_01Buy@0,spot_market_loss_01Buy@0,balance_01Buy@0,inventory_01Buy@0_input,inventory_01Buy@0_output,productivity_01Buy@0,assets_01Buy@0,bankrupt_01Buy@0,score_01Buy@0,spot_market_quantity_02Ran@1,spot_market_loss_02Ran@1,balance_02Ran@1,inventory_02Ran@1_input,inventory_02Ran@1_output,productivity_02Ran@1,assets_02Ran@1,bankrupt_02Ran@1,score_02Ran@1,spot_market_quantity_03Dec@1,spot_market_loss_03Dec@1,balance_03Dec@1,inventory_03Dec@1_input,inventory_03Dec@1_output,productivity_03Dec@1,assets_03Dec@1,bankrupt_03Dec@1,score_03Dec@1,spot_market_quantity_04MyA@2,spot_market_loss_04MyA@2,balance_04MyA@2,inventory_04MyA@2_input,inventory_04MyA@2_output,productivity_04MyA@2,assets_04MyA@2,bankrupt_04MyA@2,score_04MyA@2,spot_market_quantity_05Buy@2,spot_market_loss_05Buy@2,balance_05Buy@2,inventory_05Buy@2_input,inventory_05Buy@2_output,productivity_05Buy@2,assets_05Buy@2,bankrupt_05Buy@2,score_05Buy@2,spot_market_quantity_06Dec@3,spot_market_loss_06Dec@3,balance_06Dec@3,inventory_06Dec@3_input,inventory_06Dec@3_output,productivity_06Dec@3,assets_06Dec@3,bankrupt_06Dec@3,score_06Dec@3,spot_market_quantity_07Buy@3,spot_market_loss_07Buy@3,balance_07Buy@3,inventory_07Buy@3_input,inventory_07Buy@3_output,productivity_07Buy@3,assets_07Buy@3,bankrupt_07Buy@3,score_07Buy@3,productivity,market_size,production_failures,bankruptcy,n_contracts_executed,n_contracts_erred,n_contracts_nullified,n_contracts_cancelled,n_breaches,breach_level,n_contracts_signed,n_contracts_concluded,n_negotiations,n_negotiation_rounds_successful,n_negotiation_rounds_failed,n_negotiation_successful,n_negotiation_failed,n_registered_negotiations_after,activity_level,step_time,total_time
10,33,0,0,0,10.000000000000002,20,10.0,17.18037188158931,22,18.181818181818183,13.913915816664522,36,20.72222222222222,24.94266942310148,25,22.4,51.00000000000001,20,51.0,0,0.272,37481,2,16,1.0,294.88595010542895,False,0.02437707170807482,19,1.2090000000000003,34847,112,0,0.0,1120.0000000000002,False,-0.036098331200827595,16,1.584,44558,56,0,0.0,962.1008253690013,False,-0.105960052947089,0,0.2,49217,72,39,1.0,1779.6294923243468,False,-0.005363266050734061,0,0.2,77535,0,1,0.0,24.94266942310148,False,0.008721351440763124,22,1.3920000000000001,70406,179,0,0.0,2490.5909311829496,False,-0.06797487589797364,10,0.7590000000000001,111459,0,3,0.3,153.00000000000003,False,-0.006789969545316924,10,0.7950000000000002,108432,126,0,0.0,3142.7763473107866,False,-0.02043323858256257,0.2875,533935,0.0,0.0,14,0,0,20,15,15.0,19,39,26,324.0,147.0,24,9,26,1148,2.068508026015479,41.79466491105268
11,26,0,0,0,10.000000000000002,20,10.0,16.94938583384285,12,14.0,11.629318382220301,34,2.0294117647058822,25.114733231574636,36,25.583333333333332,51.0,20,51.0,0,0.272,37371,3,26,1.0,470.6840316799141,False,0.023775406741620896,12,1.3100000000000003,34697,121,0,0.0,1210.0000000000002,False,-0.03895679634116462,34,1.9080000000000004,43469,68,0,0.0,1152.5582367013137,False,-0.12568673961628013,0,0.2,49217,62,49,1.0,1620.6985224270516,False,-0.006940682033199213,0,0.2,77589,0,0,0.0,0.0,False,0.009261547667052564,35,1.7200000000000002,68937,213,0,0.0,2477.044815412924,False,-0.0871714243830214,8,0.8290000000000002,110923,5,10,1.0,635.5736661578732,False,-0.009414354368920772,9,0.8750000000000002,107908,147,0,0.0,3691.8657850414716,False,-0.022654607450526835,0.375,530111,0.0,0.0,11,0,0,14,14,14.0,18,32,28,231.0,153.0,15,11,28,407,1.9724941530148499,43.76715906406753
12,28,0,0,0,10.000000000000002,20,10.0,17.568812925561463,42,19.761904761904763,13.247393602272513,26,23.153846153846153,24.276320519445427,15,17.533333333333335,51.0,20,51.0,16,0.43200000000000005,37807,2,10,1.0,195.68812925561463,False,0.03190167055856615,0,1.2980000000000003,34587,132,0,0.0,1320.0000000000002,False,-0.04045408760515068,8,1.9540000000000004,43238,68,0,0.0,1194.6792789381796,False,-0.1298541072420135,0,0.2,48981,94,41,1.0,2194.6115526959506,False,-0.005929178467396357,0,0.2,77589,0,0,0.0,0.0,False,0.009261547667052564,15,1.8350000000000002,67876,239,0,0.0,3166.1270709431305,False,-0.09649097213117626,0,0.8210000000000002,111195,6,11,1.0,706.6579231166726,False,-0.006675729206590194,11,0.9760000000000002,107604,151,0,0.0,3665.7243984362594,False,-0.025478083321001897,0.375,528877,0.0,0.0,13,0,0,11,10,9.727272727272727,22,33,26,232.0,152.0,17,11,26,1731,1.974242459051311,45.74140152311884
13,26,0,0,0,10.000000000000002,20,10.0,16.8434934547907,48,14.25,10.348373780386448,55,1.5636363636363637,22.63250767727781,39,17.487179487179485,51.0,20,51.0,14,0.556,37795,5,10,1.0,218.434934547907,False,0.03188461239958502,24,1.5380000000000003,34281,139,0,0.0,1390.0000000000002,False,-0.047831650014972915,55,2.496000000000001,40178,92,0,0.0,1549.6013978407443,False,-0.1870734521920644,0,0.2,48597,108,51,1.0,2346.864355917104,False,-0.01204057053896517,0,0.2,77589,0,0,0.0,0.0,False,0.009261547667052564,39,2.2100000000000004,65719,294,0,0.0,3042.4218914336157,False,-0.12535334435895246,4,0.861,111517,7,10,1.0,668.4275537409446,False,-0.003978576850251379,5,1.0150000000000003,107044,179,0,0.0,4051.218874232728,False,-0.028748424396548795,0.375,522720,0.0,0.0,11,0,0,13,18,17.083333333333336,18,31,26,246.0,168.0,15,11,26,710,1.8968025500071235,47.63820407312596
14,26,0,0,0,10.000000000000002,20,10.0,16.752168549908145,24,16.0,10.02650423450648,8,2.0,22.097490893125652,16,17.25,51.0,20,51.0,14,0.6820000000000002,37803,6,10,1.0,227.52168549908146,False,0.03222608669995762,0,1.5140000000000002,34191,148,0,0.0,1480.0000000000002,False,-0.049056706503688784,8,2.5210000000000004,39970,92,0,0.0,1541.1995065915494,False,-0.1912857106755905,0,0.2,48213,122,61,1.0,2655.381321393689,False,-0.016601015131968006,0,0.2,77589,0,0,0.0,0.0,False,0.009261547667052564,16,2.3310000000000004,65203,302,0,0.0,3028.0042788209566,False,-0.1321591355098341,0,0.857,112027,0,7,0.7,357.0,False,-0.0008237012235302499,10,1.1100000000000003,106574,195,0,0.0,4309.010724159502,False,-0.03178591460150888,0.3375,521570,0.0,0.0,13,0,0,14,9,8.583333333333334,19,33,24,248.0,150.0,16,10,24,710,2.873159821028821,50.51136389415478
15,24,0,0,0,10.000000000000002,20,10.0,17.1401907929038,47,18.78723404255319,10.430901697273695,22,13.863636363636363,21.268735977953266,30,17.266666666666666,51.0,20,51.0,5,0.7180000000000002,37995,4,10,1.0,211.40190792903803,False,0.03723357618393604,32,1.8340000000000003,33975,160,0,0.0,1600.0000000000002,False,-0.05330356899790379,17,2.6830000000000007,39564,92,0,0.0,1576.8975529471497,False,-0.19899063508201015,0,0.2,47505,159,66,1.0,3413.7298480917684,False,-0.02312831403128643,0,0.2,77589,0,0,0.0,0.0,False,0.009261547667052564,30,2.6150000000000007,63542,324,0,0.0,3379.612149916677,False,-0.15147825650118582,5,0.907,112132,1,10,1.0,531.2687359779533,False,0.0008872319007371751,8,1.1800000000000002,106103,214,0,0.0,4551.509499281999,False,-0.03490040116795493,0.375,518405,0.0,0.0,13,0,0,12,15,14.09090909090909,20,32,26,230.0,149.0,14,10,26,732,1.893432800017763,52.404796694172546
16,26,0,0,0,10.000000000000002,20,10.0,17.333919177548673,36,18.52777777777778,10.430901697273695,0,,20.869307643542015,24,18.25,51.00000000000001,20,51.0,26,0.9730000000000003,37979,6,10,1.0,233.3391917754867,False,0.03709660512040253,0,1.8020000000000005,33895,168,0,0.0,1680.0000000000002,False,-0.05439250809898456,0,2.666000000000001,39564,92,0,0.0,1594.7205643344778,False,-0.19881373876635688,0,0.2,46838,185,76,1.0,3999.5235768393054,False,-0.03055438417492801,0,0.2,77589,0,0,0.0,0.0,False,0.009261547667052564,24,2.8250000000000006,62618,324,0,0.0,3379.612149916677,False,-0.1634974560016866,1,0.9120000000000001,112632,0,1,0.1,51.00000000000001,False,0.0032013036741527006,9,1.2620000000000002,105504,238,0,0.0,4966.895219163,False,-0.03838494354679955,0.2625,516619,0.0,0.0,11,0,0,18,10,9.23076923076923,16,34,28,237.0,118.0,17,9,28,710,1.8471445119939744,54.25194120616652
17,28,0,0,0,10.000000000000002,20,10.0,17.28753792126023,27,16.88888888888889,9.705220052709725,26,4.461538461538462,20.817529120819295,3,18.0,51.000000000000014,20,51.0,17,1.1170000000000002,38052,2,10,1.0,192.8753792126023,False,0.038533136133893336,0,1.802,33755,182,0,0.0,1820.0000000000002,False,-0.05629815152587592,26,2.926000000000001,38814,92,0,0.0,1590.4534887559412,False,-0.21374383658459276,0,0.2,46382,202,86,1.0,4326.731584627603,False,-0.03635854075642055,0,0.2,77589,0,0,0.0,0.0,False,0.009261547667052564,3,2.8310000000000004,62427,350,0,0.0,3396.827018448404,False,-0.16586998049840396,11,1.0210000000000001,112468,0,0,0.0,0.0,False,0.001513829275677216,8,1.3330000000000002,105330,241,0,0.0,5017.02451811745,False,-0.039711194686826774,0.25,514817,0.0,0.0,7,0,0,16,12,11.375,19,35,24,282.0,120.0,18,10,24,272,1.7458589900052175,55.99780019617174
18,24,0,0,0,10.000000000000002,20,10.0,17.158366616845825,26,16.0,9.72016430343743,21,9.857142857142858,20.69305674592342,11,19.0,51.00000000000001,20,51.0,16,1.2600000000000002,38014,7,10,1.0,241.58366616845825,False,0.03816164846552771,0,1.8020000000000005,33705,187,0,0.0,1870.0000000000002,False,-0.056978738464051396,16,3.060000000000001,38398,92,0,0.0,1578.569728749816,False,-0.2221195215202392,0,0.2,46141,218,91,1.0,4625.058874085196,False,-0.03818152257890311,0,0.2,77589,0,0,0.0,0.0,False,0.009261547667052564,11,2.9380000000000006,61956,371,0,0.0,3606.1809565752865,False,-0.17063503416772707,9,1.1,112341,0,0,0.0,0.0,False,0.00038290975796541343,11,1.4350000000000003,104893,252,0,0.0,5214.650299972702,False,-0.04272270966547619,0.25,513037,0.0,0.0,8,0,0,10,11,10.615384615384615,22,32,23,234.0,147.0,15,9,23,375,1.6814063930069096,57.67920658917865
19,23,0,0,0,10.000000000000002,20,10.0,17.058524505510782,22,16.0,9.72016430343743,0,,20.496194301288313,11,17.90909090909091,51.00000000000001,20,51.0,12,1.3640000000000003,38018,9,10,1.0,260.5852450551078,False,0.03852918690353501,0,1.8020000000000005,33625,195,0,0.0,1950.0000000000005,False,-0.05806767756513217,0,3.0440000000000005,38398,92,0,0.0,1569.384254506992,False,-0.22221068886091874,0,0.2,45789,230,101,1.0,4905.19723091466,False,-0.042388419011506584,0,0.2,77589,0,0,0.0,0.0,False,0.009261547667052564,11,3.037000000000001,61625,371,0,0.0,3606.1809565752865,False,-0.17494061320957313,9,1.181,112191,0,0,0.0,0.0,False,-0.0009528219558674241,11,1.534,104468,263,0,0.0,5390.499101238826,False,-0.04572432678570046,0.25,511703,0.0,0.0,8,0,0,7,11,10.545454545454545,23,30,23,211.0,135.0,13,10,23,200,1.5242465880000964,59.203453177178744
20,23,0,0,0,10.000000000000002,20,10.0,17.737460696389547,57,20.473684210526315,10.690693729876857,8,34.0,20.402921552091275,20,19.75,51.000000000000014,20,51.0,29,1.6420000000000001,38112,8,10,1.0,257.3746069638955,False,0.04104449142411322,18,1.9820000000000004,33389,206,0,0.0,2060.0000000000005,False,-0.06299512699752266,0,3.044000000000001,38182,110,0,0.0,1951.1206766028502,False,-0.2227095631279865,0,0.2,45110,259,103,1.0,5695.143774542209,False,-0.0480264428752981,0,0.2,77589,0,0,0.0,0.0,False,0.009261547667052564,20,3.226000000000001,60753,379,0,0.0,4051.772923623329,False,-0.1833853238054078,13,1.3020000000000003,111800,0,5,0.5,255.00000000000006,False,-0.003299257333167109,7,1.5930000000000004,104074,278,0,0.0,5672.012191481374,False,-0.047979428879047874,0.3125,509009,0.0,0.0,10,0,0,6,14,13.333333333333332,23,29,24,191.0,125.0,11,12,24,472,1.5780901879770681,60.78154336515581
21,24,0,0,0,10.000000000000002,20,10.0,17.551120017623212,31,16.0,16.696266480951074,65,33.33846153846154,19.69279214722233,61,18.016393442622952,51.00000000000001,20,51.0,21,1.8230000000000004,38099,9,10,1.0,265.51120017623214,False,0.04080133939749315,0,1.9640000000000004,33299,215,0,0.0,2150.0000000000005,False,-0.06422018348623854,0,3.044000000000001,38182,110,0,0.0,1930.6232019385534,False,-0.22291300393097496,0,0.2,46781,280,48,1.0,5715.734396020151,False,-0.014652178613056016,0,0.2,77589,0,0,0.0,0.0,False,0.009261547667052564,61,3.816000000000001,54321,444,0,0.0,7413.142317542277,False,-0.2451894434125793,4,1.3290000000000002,111799,2,10,1.0,549.3855842944447,False,-0.0019974283411349856,11,1.6960000000000002,102958,327,0,0.0,6439.5430321417025,False,-0.054499888545914914,0.375,503028,0.0,0.0,13,0,0,10,15,14.07741935483871,19,29,23,220.0,100.0,16,8,23,2469,1.6955734419752844,62.4771168071311
22,23,0,0,0,10.000000000000002,20,10.0,17.70839718650469,34,18.91176470588235,15.838282765185266,23,7.608695652173913,19.465684233906824,32,18.15625,51.00000000000001,20,51.0,24,2.0420000000000003,38153,10,10,1.0,277.0839718650469,False,0.04242893272895017,0,1.9640000000000004,33209,224,0,0.0,2240.0000000000005,False,-0.0654452399749544,23,3.2740000000000005,37644,110,0,0.0,1947.923690515516,False,-0.23342077048538507,0,0.2,46138,304,58,1.0,6301.973145078171,False,-0.021597423972465914,0,0.2,77589,0,0,0.0,0.0,False,0.009261547667052564,32,4.075000000000001,52627,467,0,0.0,7396.478051341519,False,-0.267333025148344,0,1.3250000000000002,112258,0,3,0.2,153.00000000000003,False,0.0003250280503659905,11,1.795,102157,359,0,0.0,6988.18063997255,False,-0.059189920390512026,0.275,499775,0.0,0.0,11,0,0,12,13,12.09090909090909,20,32,22,225.0,96.0,16,7,22,659,1.7103001940413378,64.18741700117243
23,22,0,0,0,10.000000000000002,20,10.0,17.588395289377473,20,16.0,14.85703459006394,41,9.609756097560977,19.442951509455646,10,19.0,51.00000000000001,20,51.0,10,2.1180000000000008,38163,12,10,1.0,295.8839528937748,False,0.04295706793474217,0,1.9640000000000004,33129,232,0,0.0,2320.0000000000005,False,-0.06653417907603518,31,3.5610000000000013,36550,110,0,0.0,1934.7234818315221,False,-0.2552680441289525,0,0.2,46168,314,58,1.0,6384.464127088235,False,-0.020183177570238128,0,0.2,77589,0,0,0.0,0.0,False,0.009261547667052564,10,4.143000000000001,51948,508,0,0.0,7547.373571752481,False,-0.27518390694386824,10,1.4250000000000003,112130,0,5,0.5,255.00000000000003,False,-0.00036064756273486616,7,1.8540000000000003,101956,364,0,0.0,7077.234349441856,False,-0.060583294673806035,0.3125,497633,0.0,0.0,11,0,0,9,12,11.25,23,32,19,194.0,81.0,15,7,19,652,1.5535567270126194,65.74097372818505
24,19,0,0,0,10.000000000000002,20,10.0,18.511947893319046,28,26.964285714285715,13.737869907027651,30,5.0,18.961326575827183,57,17.40350877192983,51.0,20,51.0,18,2.2880000000000007,38374,15,10,1.0,335.1194789331905,False,0.04923528542364077,0,1.9640000000000004,33059,239,0,0.0,2390.0000000000005,False,-0.06748700078948085,30,3.830000000000001,35165,126,0,0.0,2332.5054345582,False,-0.2788126979121603,0,0.2,45868,316,68,1.0,6783.950687966699,False,-0.022173306390151235,0,0.2,77589,0,0,0.0,0.0,False,0.009261547667052564,57,4.703000000000001,47910,538,0,0.0,7390.974009980876,False,-0.3287265761542407,0,1.4150000000000003,112385,0,0,0.0,0.0,False,0.0007747243940230458,15,1.997,100592,421,0,0.0,7982.718488423244,False,-0.06869793545555913,0.25,490942,0.0,0.0,12,0,0,7,16,15.75,18,25,17,130.0,70.0,10,9,17,658,1.2081350130029023,66.94910874118796
