index,n_registered_negotiations_before,n_contracts_dropped,n_contracts_nullified_now,n_bankrupt,trading_price_0,sold_quantity_0,unit_price_0,trading_price_1,sold_quantity_1,unit_price_1,trading_price_2,sold_quantity_2,unit_price_2,trading_price_3,sold_quantity_3,unit_price_3,trading_price_4,sold_quantity_4,unit_price_4,spot_market_quantity_00Buy@0,spot_market_loss_00Buy@0,balance_00Buy@0,inventory_00Buy@0_input,inventory_00Buy@0_output,productivity_00Buy@0,assets_00Buy@0,bankrupt_00Buy@0,score_00Buy@0,spot_market_quantity_01Ran@0,spot_market_loss_01Ran@0,balance_01Ran@0,inventory_01Ran@0_input,inventory_01Ran@0_output,productivity_01Ran@0,assets_01Ran@0,bankrupt_01Ran@0,score_01Ran@0,spot_market_quantity_02Ind@1,spot_market_loss_02Ind@1,balance_02Ind@1,inventory_02Ind@1_input,inventory_02Ind@1_output,productivity_02Ind@1,assets_02Ind@1,bankrupt_02Ind@1,score_02Ind@1,spot_market_quantity_03Dec@1,spot_market_loss_03Dec@1,balance_03Dec@1,inventory_03Dec@1_input,inventory_03Dec@1_output,productivity_03Dec@1,assets_03Dec@1,bankrupt_03Dec@1,score_03Dec@1,spot_market_quantity_04Dec@2,spot_market_loss_04Dec@2,balance_04Dec@2,inventory_04Dec@2_input,inventory_04Dec@2_output,productivity_04Dec@2,assets_04Dec@2,bankrupt_04Dec@2,score_04Dec@2,spot_market_quantity_05Dec@2,spot_market_loss_05Dec@2,balance_05Dec@2,inventory_05Dec@2_input,inventory_05Dec@2_output,productivity_05Dec@2,assets_05Dec@2,bankrupt_05Dec@2,score_05Dec@2,spot_market_quantity_06MyA@3,spot_market_loss_06MyA@3,balance_06MyA@3,inventory_06MyA@3_input,inventory_06MyA@3_output,productivity_06MyA@3,assets_06MyA@3,bankrupt_06MyA@3,score_06MyA@3,spot_market_quantity_07Buy@3,spot_market_loss_07Buy@3,balance_07Buy@3,inventory_07Buy@3_input,inventory_07Buy@3_output,productivity_07Buy@3,assets_07Buy@3,bankrupt_07Buy@3,score_07Buy@3,productivity,market_size,production_failures,bankruptcy,n_contracts_executed,n_contracts_erred,n_contracts_nullified,n_contracts_cancelled,n_breaches,breach_level,n_contracts_signed,n_contracts_concluded,n_negotiations,n_negotiation_rounds_successful,n_negotiation_rounds_failed,n_negotiation_successful,n_negotiation_failed,n_registered_negotiations_after,activity_level,step_time,total_time
10,43,0,0,0,10.000000000000002,20,10.0,6.839984335692588,29,2.3793103448275863,38.586324520095594,10,44.0,45.02711844762716,23,50.0,48.0,7,48.0,2,0.274,51214,115,0,0.0,1150.0000000000002,False,-0.012997655847992224,27,0.8570000000000002,49605,105,0,0.0,1050.0000000000002,False,-0.04461512073335747,3,0.35600000000000004,80961,0,6,0.6,231.51794712057358,False,0.015312432358557886,0,0.4700000000000001,80476,13,12,1.0,551.9556906051508,False,0.011245245639574464,0,0.2,105728,0,17,1.0,765.4610136096617,False,0.00019540490908502147,0,0.20900000000000002,106427,0,2,0.0,90.05423689525432,False,0.003600971990268919,0,0.2,136096,0,0,0.0,0.0,False,0.0,7,0.8190000000000002,130979,76,0,0.0,3422.061002019664,False,-0.025026227802361287,0.325,741486,0.0,0.0,14,0,0,18,14,13.6,25,43,49,281.0,184.0,19,24,49,1570,2.537040869705379,41.83582325372845
11,49,0,0,0,10.000000000000002,20,10.0,6.130885978036003,11,1.5454545454545454,38.586324520095594,0,,44.41516949468037,8,38.0,48.0,10,48.0,0,0.272,51144,122,0,0.0,1220.0000000000002,False,-0.013664690972156049,11,0.9400000000000002,49204,118,0,0.0,1180.0000000000002,False,-0.05101865792533018,0,0.35300000000000004,80956,0,11,0.5,424.44956972105155,False,0.016457845378572557,0,0.4700000000000001,80464,9,22,1.0,904.0771132444271,False,0.013299754008843768,0,0.2,105978,0,12,0.0,532.9820339361645,False,0.0014562260059202627,1,0.21900000000000003,106440,0,0,0.0,0.0,False,0.00329908568196814,0,0.2,136096,0,0,0.0,0.0,False,0.0,10,0.9120000000000001,130491,84,0,0.0,3730.874237553151,False,-0.027477390086581684,0.1875,740773,0.0,0.0,10,0,0,22,9,8.333333333333334,24,46,50,383.0,209.0,25,24,50,450,2.5829184725880623,44.41874172631651
12,50,0,0,0,10.000000000000002,20,10.0,5.525135288159181,11,1.4545454545454546,37.87584526030483,9,31.555555555555557,45.23356853759062,10,52.0,48.0,10,48.0,0,0.272,51064,130,0,0.0,1300.0000000000002,False,-0.014427016828343275,11,1.0390000000000001,48812,130,0,0.0,1300.0000000000002,False,-0.05734596253168417,0,0.35300000000000004,81020,0,7,0.0,265.1309168221338,False,0.016261745916435744,0,0.4700000000000001,80668,10,27,1.0,1077.8991749098222,False,0.01694279043573168,0,0.2,106214,0,11,0.9,497.5692539134968,False,0.003513852643573877,0,0.21800000000000003,106440,0,0,0.0,0.0,False,0.00329908568196814,0,0.2,136096,0,0,0.0,0.0,False,0.0,10,1.0020000000000002,129782,94,0,0.0,4251.955442533518,False,-0.030772559654458846,0.2375,740096,0.0,0.0,15,0,0,21,9,9.0,26,47,49,328.0,164.0,21,29,49,1004,2.854397061280906,47.27313878759742
13,49,0,0,0,10.000000000000002,20,10.0,4.98045177469059,19,2.789473684210526,38.35286083255645,5,46.0,46.696085927410145,23,52.0,48.00000000000001,8,48.0,2,0.29200000000000004,50937,140,0,0.0,1400.0000000000002,False,-0.01589449410150369,17,1.1980000000000004,48255,140,0,0.0,1400.0000000000002,False,-0.06700844275885727,0,0.35300000000000004,80995,0,13,0.6,498.58719082323387,False,0.017410444002950522,0,0.4700000000000001,80870,13,32,1.0,1292.0374197127842,False,0.020813217996047677,0,0.2,106734,0,1,0.0,46.696085927410145,False,0.0062903953526599905,13,0.3480000000000001,106353,0,5,0.5,233.48042963705072,False,0.0035794157302151105,0,0.2,136096,0,0,0.0,0.0,False,0.0,8,1.0720000000000003,128454,117,0,0.0,5463.442053506987,False,-0.03607952455065922,0.2625,738694,0.0,0.0,13,0,0,23,13,13.0,23,46,57,311.0,174.0,21,28,57,950,2.4578036228194833,49.7309424104169
14,57,0,0,0,10.000000000000002,20,10.0,4.680474983653388,7,1.0,36.92263501270672,5,15.0,47.6123715036561,20,52.0,48.000000000000014,7,48.0,0,0.29000000000000004,50797,154,0,0.0,1540.0000000000002,False,-0.017228564349831336,7,1.2510000000000003,48029,146,0,0.0,1460.0000000000002,False,-0.07074383945417469,0,0.35300000000000004,81067,0,11,0.3,406.1489851397739,False,0.017733294419438998,0,0.4700000000000001,80866,7,42,1.0,1583.513995419256,False,0.022588185910657303,19,0.39,106770,0,5,0.5,238.0618575182805,False,0.00753163284719707,0,0.3350000000000001,106353,0,5,0.0,238.0618575182805,False,0.0036010079061093146,0,0.2,136096,0,0,0.0,0.0,False,0.0,7,1.1340000000000003,127304,137,0,0.0,6522.894896000886,False,-0.04063714254643455,0.225,737282,0.0,0.0,11,0,0,22,9,8.9,31,53,48,474.0,231.0,29,28,48,275,2.68313374184072,52.41407615225762
15,48,0,0,0,10.000000000000002,20,10.0,5.16520963101244,15,7.866666666666666,38.43689175244525,20,44.0,47.72170225919313,5,50.0,48.00000000000001,9,48.0,9,0.38000000000000006,50581,163,0,0.0,1630.0000000000002,False,-0.02048750738503173,6,1.3040000000000003,47807,157,0,0.0,1570.0000000000002,False,-0.07392654990375636,0,0.35300000000000004,81405,3,11,1.0,438.301438169935,False,0.022167339382935934,0,0.4700000000000001,81290,0,41,0.9,1575.912561850255,False,0.027850280273062362,0,0.37100000000000005,106550,0,10,0.5,477.2170225919313,False,0.006585055248336035,0,0.3350000000000001,105943,5,10,1.0,669.4014813541576,False,0.001769259503035835,0,0.2,136096,0,0,0.0,0.0,False,0.0,9,1.217,126909,142,0,0.0,6776.481720805425,False,-0.04260785871441692,0.425,736581,0.0,0.0,18,0,0,21,7,7.0,24,45,52,384.0,203.0,22,26,52,1330,2.7792074950411916,55.19328364729881
16,52,0,0,0,10.000000000000002,20,10.0,4.902210564538364,17,3.5294117647058822,38.748974356089526,5,44.0,48.2529333652402,15,51.733333333333334,48.00000000000001,12,48.0,2,0.39100000000000007,50455,173,0,0.0,1730.0000000000002,False,-0.021935926511787465,15,1.4480000000000002,47330,167,0,0.0,1670.0000000000002,False,-0.08206437841855502,0,0.35300000000000004,81579,3,16,1.0,634.6902213910475,False,0.02557599006556363,0,0.4700000000000001,81276,0,48,0.7,1859.9507690922974,False,0.0294534448436666,3,0.401,107103,0,0,0.0,0.0,False,0.009548496559524932,0,0.3350000000000001,105823,0,18,1.0,868.5528005743237,False,0.0015767405060529305,0,0.2,136096,0,0,0.0,0.0,False,0.0,12,1.3280000000000003,125885,157,0,0.0,7575.7105383427115,False,-0.047195690768491685,0.3375,735547,0.0,0.0,13,0,0,23,13,12.23076923076923,22,45,57,342.0,206.0,23,29,57,520,2.4015034176409245,57.59478706493974
17,57,0,0,0,10.000000000000002,20,10.0,4.698534079557149,12,3.0833333333333335,37.779192499724104,10,30.0,48.2529333652402,0,,48.00000000000001,11,48.0,0,0.389,50415,177,0,0.0,1770.0000000000002,False,-0.022317089439881078,12,1.5530000000000004,46886,183,0,0.0,1830.0000000000002,False,-0.08900154370985879,0,0.35300000000000004,81879,0,9,0.3,340.01273249751694,False,0.02748774471220918,0,0.4700000000000001,81239,2,58,1.0,2200.5902331431125,False,0.031122988410994434,0,0.398,107023,0,5,0.5,241.26466682620102,False,0.009931495272062411,0,0.3350000000000001,105603,0,23,0.5,1109.8174674005247,False,0.0006401049458031535,0,0.2,136096,0,0,0.0,0.0,False,0.0,11,1.4260000000000002,125668,157,0,0.0,7575.7105383427115,False,-0.04879015350068073,0.2875,734809,0.0,0.0,13,0,0,24,10,10.0,22,46,46,404.0,221.0,26,31,46,500,2.7424402879551053,60.33722735289484
18,46,0,0,0,10.000000000000002,20,10.0,4.765605383643923,2,8.0,37.29384271934454,15,34.666666666666664,48.867477332630074,20,52.0,48.000000000000014,10,48.0,1,0.3990000000000001,50272,190,0,0.0,1900.0000000000002,False,-0.02380362485944617,1,1.5510000000000002,46799,190,0,0.0,1900.0000000000002,False,-0.08999256732290217,1,0.36300000000000004,82127,0,2,0.2,74.58768543868908,False,0.028931472972166004,0,0.4700000000000001,81459,0,55,0.2,2051.1613495639494,False,0.03294237827512677,0,0.398,106583,0,15,1.0,733.0121599894511,False,0.008101669148786165,0,0.3350000000000001,106563,0,8,0.5,390.9398186610406,False,0.00630097001913964,0,0.2,136096,0,0,0.0,0.0,False,0.0,10,1.5150000000000001,124435,177,0,0.0,8649.543487875522,False,-0.05390480437384082,0.2375,734334,0.0,0.0,13,0,0,23,10,9.2,18,41,55,267.0,227.0,18,28,55,1680,2.576307425275445,62.91353477817029
19,55,0,0,0,10.000000000000002,20,10.0,4.452057945776231,15,2.6,37.29384271934454,0,,45.77251004617374,19,27.894736842105264,48.000000000000014,9,48.0,1,0.40800000000000003,50139,202,0,0.0,2020.0000000000005,False,-0.02519486954698786,14,1.6900000000000002,46363,198,0,0.0,1980.0000000000005,False,-0.09753959329915572,0,0.36200000000000004,82114,0,10,0.8,372.93842719344536,False,0.03063677728851053,0,0.4700000000000001,81433,0,62,0.7,2312.2182485993612,False,0.03425137280912261,0,0.398,106843,0,10,0.0,457.72510046173744,False,0.009254996231792548,6,0.395,106582,0,0,0.0,0.0,False,0.004637571872938072,0,0.2,136096,0,0,0.0,0.0,False,0.0,9,1.5950000000000002,123746,196,0,0.0,8971.411969050054,False,-0.05778490194770579,0.1875,733316,0.0,0.0,13,0,0,28,12,11.11111111111111,22,50,48,491.0,246.0,30,25,48,460,3.637121820822358,66.55065659899265
20,48,0,0,0,10.000000000000002,20,10.0,4.585949871675781,6,6.666666666666667,36.48681683843224,10,29.5,45.77251004617374,0,,48.00000000000001,9,48.0,1,0.41700000000000004,49986,216,0,0.0,2160.0000000000005,False,-0.026776695698576356,5,1.7260000000000002,46218,204,0,0.0,2040.0000000000005,False,-0.099731280135694,0,0.36200000000000004,82179,0,6,0.1,218.92090103059343,False,0.03048639329921227,0,0.4700000000000001,81623,0,62,0.5,2262.1826439827987,False,0.03631742081788505,0,0.398,106623,0,15,0.5,686.5876506926062,False,0.008259909749705977,0,0.38900000000000007,106507,0,5,0.5,228.86255023086872,False,0.005009249459095444,0,0.2,136096,0,0,0.0,0.0,False,0.0,9,1.6760000000000002,123588,196,0,0.0,8971.411969050054,False,-0.058945847162848036,0.2,732820,0.0,0.0,13,0,0,26,7,7.0,20,46,46,427.0,219.0,26,22,46,495,2.937582421116531,69.48823902010918
21,46,0,0,0,10.000000000000002,20,10.0,4.601606313814261,1,6.0,35.45535714761235,19,30.736842105263158,46.80665901399184,25,51.6,48.0,10,48.0,0,0.41600000000000004,49906,224,0,0.0,2240.0000000000005,False,-0.027539021554763583,1,1.7310000000000005,46081,216,0,0.0,2160.0000000000005,False,-0.10119875740885441,0,0.36200000000000004,82243,0,2,0.0,70.9107142952247,False,0.03036110097362203,0,0.4700000000000001,82137,0,48,0.1,1701.8571430853926,False,0.039245730602633505,0,0.398,106509,4,20,1.0,1077.9546088702862,False,0.009029854882035497,15,0.5390000000000001,106627,0,5,0.5,234.0332950699592,False,0.006164734164718478,0,0.2,136096,0,0,0.0,0.0,False,0.0,10,1.7670000000000001,122123,221,0,0.0,10344.271642092197,False,-0.06466658960552768,0.2,731722,0.0,0.0,16,0,0,17,7,6.666666666666666,23,40,46,254.0,210.0,17,29,46,1034,2.3210515612736344,71.80929058138281
22,46,0,0,0,10.000000000000002,20,10.0,4.514102390167985,8,3.625,35.45535714761235,0,,47.00369170290009,5,52.0,48.00000000000001,9,48.0,1,0.42600000000000005,49793,234,0,0.0,2340.0000000000005,False,-0.028739684778258466,7,1.8000000000000003,45827,226,0,0.0,2260.0000000000005,False,-0.10508661927540927,0,0.36200000000000004,82239,0,6,0.4,212.73214288567408,False,0.031199014093756614,0,0.4700000000000001,82112,0,52,0.4,1843.678571675842,False,0.03982066378438053,0,0.398,106769,0,19,0.4,893.0701423551018,False,0.010609247536785311,0,0.5240000000000001,106627,0,5,0.0,235.01845851450045,False,0.006169377219881721,0,0.2,136096,0,0,0.0,0.0,False,0.0,9,1.8470000000000002,121704,226,0,0.0,10622.834324855421,False,-0.0667218936454583,0.15000000000000002,731167,0.0,0.0,12,0,0,14,8,8.0,26,40,52,279.0,215.0,17,29,52,460,2.463915673084557,74.27320625446737
23,52,0,0,0,10.000000000000002,20,10.0,4.390802523496224,10,3.4,36.61709641689371,15,44.0,46.434782686507546,8,38.0,48.00000000000001,10,48.0,0,0.4250000000000001,49673,246,0,0.0,2460.0000000000005,False,-0.029883173562539306,10,1.8930000000000005,45520,234,0,0.0,2340.0000000000005,False,-0.11017514436545901,4,0.402,82517,0,8,0.8,292.9367713351497,False,0.03518256299831654,0,0.4700000000000001,82316,0,49,0.2,1794.2377244277918,False,0.042065755781975876,0,0.398,106853,0,16,0.5,742.9565229841207,False,0.010693545682835847,0,0.5240000000000001,106187,0,15,1.0,696.5217402976132,False,0.004197010746996004,0,0.2,136096,0,0,0.0,0.0,False,0.0,10,1.9380000000000004,121216,234,0,0.0,10865.739148642766,False,-0.06941519534504044,0.3125,730378,0.0,0.0,16,0,0,20,9,8.8,23,43,58,312.0,203.0,20,32,58,944,2.712023147381842,76.98522940184921
24,58,0,0,0,10.000000000000002,20,10.0,4.973037073181897,50,5.92,36.61709641689371,0,,46.66871571863825,5,52.0,48.00000000000001,11,48.0,25,0.675,49223,256,0,0.0,2560.0000000000005,False,-0.03750643212441158,25,2.1330000000000005,44870,244,0,0.0,2440.0000000000005,False,-0.12161003220826742,0,0.398,82515,0,10,0.2,366.1709641689371,False,0.035616067849881895,0,0.4700000000000001,82022,38,59,1.0,2349.384097377641,False,0.041860045191084064,0,0.398,107113,0,11,0.0,513.3558729050208,False,0.012062191879088639,0,0.5240000000000001,106187,0,15,0.0,700.0307357795738,False,0.004213548570928376,0,0.2,136096,0,0,0.0,0.0,False,0.0,11,2.0380000000000007,120737,239,0,0.0,11153.823056754543,False,-0.07187638484321898,0.15,728763,0.0,0.0,12,0,0,17,9,9.0,29,46,63,401.0,290.0,25,33,63,460,2.512653768993914,79.49788317084312
25,63,0,0,0,10.000000000000002,20,10.0,4.460392990260895,23,1.826086956521739,36.44861338144483,15,35.333333333333336,47.03874002599695,10,51.0,48.0,8,48.0,0,0.6500000000000001,49123,266,0,0.0,2660.0000000000005,False,-0.038459339444645614,23,2.3380000000000005,44106,254,0,0.0,2540.0000000000005,False,-0.13521754874120942,0,0.398,82782,4,10,1.0,382.3277057754919,False,0.03906083418348175,0,0.4700000000000001,82243,37,64,1.0,2497.7457970521223,False,0.04555655193886427,0,0.398,107053,0,16,1.0,752.6198404159512,False,0.012624280518502928,0,0.5240000000000001,106227,0,15,0.5,705.5811003899543,False,0.0046167456894615115,0,0.2,136096,0,0,0.0,0.0,False,0.0,8,2.1070000000000007,120091,249,0,0.0,11712.64626647324,False,-0.07456998638287218,0.4375,727721,0.0,0.0,13,0,0,29,10,10.0,25,54,58,448.0,216.0,29,34,58,1240,2.7863089544698596,82.28419212531298
