index,n_registered_negotiations_before,n_contracts_dropped,n_contracts_nullified_now,n_bankrupt,trading_price_0,sold_quantity_0,unit_price_0,trading_price_1,sold_quantity_1,unit_price_1,trading_price_2,sold_quantity_2,unit_price_2,trading_price_3,sold_quantity_3,unit_price_3,trading_price_4,sold_quantity_4,unit_price_4,spot_market_quantity_00Ran@0,spot_market_loss_00Ran@0,balance_00Ran@0,inventory_00Ran@0_input,inventory_00Ran@0_output,productivity_00Ran@0,assets_00Ran@0,bankrupt_00Ran@0,score_00Ran@0,spot_market_quantity_01Dec@0,spot_market_loss_01Dec@0,balance_01Dec@0,inventory_01Dec@0_input,inventory_01Dec@0_output,productivity_01Dec@0,assets_01Dec@0,bankrupt_01Dec@0,score_01Dec@0,spot_market_quantity_02Ind@1,spot_market_loss_02Ind@1,balance_02Ind@1,inventory_02Ind@1_input,inventory_02Ind@1_output,productivity_02Ind@1,assets_02Ind@1,bankrupt_02Ind@1,score_02Ind@1,spot_market_quantity_03Dec@1,spot_market_loss_03Dec@1,balance_03Dec@1,inventory_03Dec@1_input,inventory_03Dec@1_output,productivity_03Dec@1,assets_03Dec@1,bankrupt_03Dec@1,score_03Dec@1,spot_market_quantity_04MyA@2,spot_market_loss_04MyA@2,balance_04MyA@2,inventory_04MyA@2_input,inventory_04MyA@2_output,productivity_04MyA@2,assets_04MyA@2,bankrupt_04MyA@2,score_04MyA@2,spot_market_quantity_05Ran@2,spot_market_loss_05Ran@2,balance_05Ran@2,inventory_05Ran@2_input,inventory_05Ran@2_output,productivity_05Ran@2,assets_05Ran@2,bankrupt_05Ran@2,score_05Ran@2,spot_market_quantity_06Dec@3,spot_market_loss_06Dec@3,balance_06Dec@3,inventory_06Dec@3_input,inventory_06Dec@3_output,productivity_06Dec@3,assets_06Dec@3,bankrupt_06Dec@3,score_06Dec@3,spot_market_quantity_07Buy@3,spot_market_loss_07Buy@3,balance_07Buy@3,inventory_07Buy@3_input,inventory_07Buy@3_output,productivity_07Buy@3,assets_07Buy@3,bankrupt_07Buy@3,score_07Buy@3,productivity,market_size,production_failures,bankruptcy,n_contracts_executed,n_contracts_erred,n_contracts_nullified,n_contracts_cancelled,n_breaches,breach_level,n_contracts_signed,n_contracts_concluded,n_negotiations,n_negotiation_rounds_successful,n_negotiation_rounds_failed,n_negotiation_successful,n_negotiation_failed,n_registered_negotiations_after,activity_level,step_time,total_time
10,31,0,0,0,10.000000000000002,20,10.0,16.323531607135543,24,12.875,32.71197187782212,34,42.76470588235294,8.036782845025474,23,3.391304347826087,56.0,20,56.0,13,0.9780000000000002,37166,109,0,0.0,1090.0000000000002,False,-0.054079815386158976,1,0.45300000000000007,41231,5,10,1.0,213.23531607135544,False,0.0368880943646544,3,0.32000000000000006,72368,36,10,1.0,914.7668566351008,False,0.008843468052662569,0,0.2,71725,28,36,1.0,1634.6898726013915,False,0.004922561351776564,0,0.2,93687,0,0,0.0,0.0,False,0.0,23,2.7070000000000007,71392.0,112,0,0.0,3663.7408503160777,False,-0.21842016047948984,2,0.39100000000000007,134495,0,8,0.8,448.0,False,0.015222420666320017,11,0.8770000000000002,130174,223,0,0.0,1792.2025744406808,False,-0.012275139321167885,0.475,652238,0.0,0.0,12,0,0,14,12,10.690909090909091,20,34,29,296.0,60.0,20,11,29,1781,2.1101313307881355,41.544714570976794
11,29,0,0,0,10.000000000000002,20,10.0,15.999902085371252,30,14.333333333333334,38.24279223011136,37,54.32432432432432,7.784177920286571,31,6.354838709677419,56.0,20,56.0,25,1.215,36709,122,0,0.0,1220.0000000000002,False,-0.06391250909273334,0,0.45200000000000007,41291,2,15,1.0,259.9985312805688,False,0.038979588773679553,0,0.31700000000000006,72564,37,14,1.0,1127.3954683802954,False,0.013031400864285135,0,0.2,73109,37,15,1.0,1165.6382606104066,False,0.020846123683006645,0,0.2,93687,0,0,0.0,0.0,False,0.0,31,2.994000000000001,67421.0,149,0,0.0,5698.176042286593,False,-0.2499483597388827,3,0.41900000000000004,134908,0,1,0.1,56.0,False,0.016857700510177168,9,0.9560000000000002,129815,253,0,0.0,1969.3970138325026,False,-0.014312854603906229,0.3875,649504,0.0,0.0,16,0,0,11,12,11.75,20,31,23,188.0,64.0,17,12,23,2732,2.296948753297329,43.84166332427412
12,23,0,0,0,10.000000000000002,20,10.0,14.356708355390598,50,8.9,42.811096968584586,50,54.7,7.6657801011470585,6,4.0,56.0,20,56.0,37,1.5600000000000003,35628,131,0,0.0,1310.0000000000002,False,-0.08989891388867986,0,0.45200000000000007,41447,3,12,1.0,202.2805002646872,False,0.04216871723812543,10,0.41700000000000004,73299,44,10,1.0,1059.806137323032,False,0.022745135116593224,11,0.31000000000000005,73929,60,10,1.0,1289.5134710092818,False,0.03306352578032934,0,0.2,93687,0,0,0.0,0.0,False,0.0,6,3.023000000000001,64422.0,199,0,0.0,8519.408296748332,False,-0.266902514240245,11,0.526,134739,0,0,0.0,0.0,False,0.015373137702620216,8,1.0270000000000004,129646,259,0,0.0,1985.4370461970882,False,-0.015525975907139099,0.375,646797,0.0,0.0,10,0,0,11,14,12.839743589743591,18,29,28,174.0,49.0,14,9,28,988,2.1939341854304075,46.03559750970453
13,28,0,0,0,10.000000000000002,20,10.0,14.430768838675869,13,15.538461538461538,39.798632541008935,33,25.0,7.756761354195554,7,10.0,56.00000000000001,20,56.0,4,1.5630000000000004,35450,144,0,0.0,1440.0000000000002,False,-0.0927333383500138,0,0.45200000000000007,41543,0,13,1.0,187.5999949027863,False,0.04439260534907054,23,0.6370000000000001,73189,39,10,1.0,960.7863101184482,False,0.020535458670664027,0,0.29900000000000004,73857,58,20,1.0,1632.9572434633792,False,0.034444964075687964,0,0.2,93687,0,0,0.0,0.0,False,0.0,7,3.087000000000001,63331.0,232,0,0.0,9233.282749514074,False,-0.2747377824590708,11,0.6250000000000001,134516,0,0,0.0,0.0,False,0.013692642747873006,9,1.1090000000000002,129414,266,0,0.0,2063.298520216017,False,-0.016980917263068978,0.375,644987,0.0,0.0,10,0,0,10,10,9.696969696969697,19,29,21,227.0,47.0,16,12,21,366,2.2513694828376174,48.28696699254215
14,21,0,0,0,10.000000000000002,20,10.0,14.139104975231605,32,12.4375,39.798632541008935,0,,7.140261534954909,26,3.3076923076923075,56.00000000000001,20,56.0,18,1.7390000000000003,34927,153,0,0.0,1530.0000000000002,False,-0.10472320465547946,1,0.4620000000000001,41762,1,10,1.0,151.39104975231606,False,0.049431748686285866,0,0.6140000000000001,72836,44,20,1.0,1418.0932697303692,False,0.01881289754201148,0,0.29900000000000004,73812,65,30,1.0,2113.000799620322,False,0.03714658317716708,0,0.2,93687,0,0,0.0,0.0,False,0.0,26,3.3400000000000007,61691.0,232,0,0.0,9233.282749514074,False,-0.29224287921742576,7,0.6840000000000002,134386,0,9,0.9,504.00000000000006,False,0.014612016669304215,13,1.2300000000000002,129022,283,0,0.0,2020.694014392239,False,-0.020095501795822725,0.4875,642123,0.0,0.0,8,0,0,7,17,16.142857142857142,20,27,24,131.0,33.0,13,8,24,375,1.9183900523930788,50.205357044935226
15,24,0,0,0,10.000000000000002,20,10.0,15.226889104385148,26,23.46153846153846,39.125894142851095,9,26.0,7.126751019552535,18,7.0,56.00000000000001,20,56.0,2,1.7410000000000005,34785,164,0,0.0,1640.0000000000002,False,-0.10690546065668348,14,0.6010000000000001,41966,0,10,1.0,152.26889104385148,False,0.0545597723812156,0,0.6140000000000001,72766,47,21,1.0,1537.307564905975,False,0.01866892629494203,0,0.29900000000000004,73506,68,40,1.0,2600.4642248122336,False,0.03628398620812768,0,0.2,93687,0,0,0.0,0.0,False,0.0,18,3.4940000000000007,60565.0,241,0,0.0,9429.340488427113,False,-0.303215278061913,1,0.687,134879,0,0,0.0,0.0,False,0.016428156956721604,10,1.317,128690,301,0,0.0,2145.152056885313,False,-0.02212845591569906,0.375,640844,0.0,0.0,10,0,0,8,11,9.5,16,24,29,110.0,56.0,10,14,29,826,1.9913332043215632,52.19669024925679
16,29,0,0,0,10.000000000000002,20,10.0,15.735085597400834,11,25.0,39.31565996407587,11,42.18181818181818,6.233599426768827,48,3.1041666666666665,56.00000000000001,20,56.0,0,1.7390000000000003,34675,175,0,0.0,1750.0000000000002,False,-0.1082850477838814,1,0.5970000000000002,42130,0,9,0.9,141.61577037660751,False,0.05853984210470574,0,0.6140000000000001,72940,37,25,1.0,1565.0896662057276,False,0.021271764072518046,0,0.29900000000000004,73521,69,45,1.0,2854.925604604072,False,0.03825429512657451,0,0.2,93687,0,0,0.0,0.0,False,0.0,48,3.9560000000000013,56052.0,252,0,0.0,9907.546310947118,False,-0.3488341695702332,9,0.776,134701,0,8,0.8,448.00000000000006,False,0.01677480614021206,11,1.417,128311,341,0,0.0,2125.65740452817,False,-0.025057998159262036,0.4625,636017,0.0,0.0,9,0,0,10,14,13.09090909090909,17,27,26,138.0,78.0,13,16,26,664,2.2056732773780823,54.40236352663487
17,26,0,0,0,10.000000000000002,20,10.0,16.286507529604364,21,21.285714285714285,38.1755967725509,10,20.0,6.162069206060562,18,5.388888888888889,56.00000000000001,20,56.0,7,1.8090000000000004,34496,186,0,0.0,1860.0000000000002,False,-0.11139538967065493,5,0.646,42299,0,9,0.9,146.57856776643928,False,0.06284117901731305,0,0.6140000000000001,72940,36,25,1.0,1540.7041903795296,False,0.02110285917394775,0,0.29900000000000004,73274,71,55,1.0,3255.999857092209,False,0.03761064912721278,0,0.2,93687,0,0,0.0,0.0,False,0.0,18,4.088000000000001,54859.0,262,0,0.0,10002.006354408335,False,-0.36106393440707707,2,0.7870000000000001,135118,0,6,0.6,336.00000000000006,False,0.019495248645430636,10,1.5060000000000002,128014,353,0,0.0,2175.2104297393785,False,-0.027109434020831425,0.4375,634687,0.0,0.0,11,0,0,13,13,11.964285714285715,19,32,21,183.0,42.0,17,9,21,862,2.101799319498241,56.50416284613311
18,21,0,0,0,10.000000000000002,20,10.0,16.15466557589672,7,12.571428571428571,38.605318650154615,14,43.285714285714285,5.661203284954036,33,2.757575757575758,56.00000000000001,20,56.0,7,1.8720000000000006,34322,197,0,0.0,1970.0000000000005,False,-0.114380314545865,0,0.641,42209,0,18,0.9,290.78398036614095,False,0.06239225399912394,0,0.6140000000000001,72940,26,35,1.0,1771.2074577287262,False,0.022699429659971414,0,0.29900000000000004,73792,68,51,1.0,3067.3885103188622,False,0.043480048418128275,0,0.2,93687,0,0,0.0,0.0,False,0.0,33,4.400000000000001,51952.0,276,0,0.0,10655.067947442674,False,-0.3886074484856881,3,0.8150000000000002,135393,0,6,0.6,336.00000000000006,False,0.02156760789455836,11,1.606,127704,380,0,0.0,2151.2572482825335,False,-0.029535801896462974,0.4375,631999,0.0,0.0,11,0,0,12,12,11.2,18,30,22,152.0,32.0,16,5,22,918,1.798232744447887,58.302395590581
19,22,0,0,0,10.000000000000002,20,10.0,16.97972094264652,23,23.347826086956523,37.606417506677666,11,24.0,5.193641232315283,33,2.3333333333333335,56.00000000000001,20,56.0,3,1.8950000000000002,34225,202,0,0.0,2020.0000000000005,False,-0.11618631951237866,2,0.661,42537,5,10,1.0,219.7972094264652,False,0.06972931509050681,0,0.6140000000000001,72678,28,45,1.0,2167.7209741945976,False,0.021816400281176557,0,0.29900000000000004,73781,69,50,1.0,3051.921620376493,False,0.043220535694629886,0,0.2,93687,0,0,0.0,0.0,False,0.0,33,4.697000000000002,49385.0,287,0,0.0,10793.04182441649,False,-0.4152708389402132,1,0.8220000000000001,135718,0,0,0.0,0.0,False,0.022750736629514916,13,1.7250000000000003,127321,413,0,0.0,2144.973828946212,False,-0.032445708600116765,0.375,629332,0.0,0.0,10,0,0,10,14,12.7,17,27,19,178.0,43.0,14,8,19,1004,1.7264589201658964,60.028854510746896
20,19,0,0,0,10.000000000000002,20,10.0,15.788495618859718,19,4.473684210526316,40.408011963682824,33,52.696969696969695,5.160696470273263,6,4.0,56.00000000000001,20,56.0,19,2.0820000000000003,33756,209,0,0.0,2090.0000000000005,False,-0.127072516116086,0,0.659,42407,8,20,1.0,395.7699123771944,False,0.06867546984193931,0,0.6140000000000001,73364,29,40,1.0,2074.186851494245,False,0.030671636523849497,0,0.29900000000000004,74749,67,42,1.0,2754.96570893828,False,0.05457330065620044,0,0.2,93687,0,0,0.0,0.0,False,0.0,6,4.724000000000001,47382.0,320,0,0.0,12930.563828378505,False,-0.42524275604737843,11,0.931,135485,0,0,0.0,0.0,False,0.020994883156617607,9,1.8020000000000005,127142,419,0,0.0,2162.3318210444972,False,-0.03372922244687413,0.375,627972,0.0,0.0,10,0,0,10,12,12.0,16,26,20,220.0,12.0,15,4,20,1939,1.958202806301415,61.98705731704831
21,20,0,0,0,10.000000000000002,20,10.0,16.11659328492496,18,19.38888888888889,41.2603557840344,14,51.0,4.9544020481811994,14,2.0714285714285716,56.00000000000001,20,56.0,7,2.133000000000001,33582,218,0,0.0,2180.0000000000005,False,-0.13030827501442296,0,0.659,42583,9,19,1.0,396.2152724135742,False,0.07309573422145611,0,0.6140000000000001,73078,30,50,1.0,2546.515587749469,False,0.02998126801051078,0,0.29900000000000004,75400,64,38,1.0,2599.355490028505,False,0.06251371777486603,0,0.2,93687,0,0,0.0,0.0,False,0.0,14,4.858000000000001,45935.0,334,0,0.0,13780.95883186749,False,-0.43614931190097084,9,1.0100000000000002,135314,0,0,0.0,0.0,False,0.019706252496250912,11,1.9030000000000005,126872,433,0,0.0,2145.256086862459,False,-0.03582824253814094,0.375,626451,0.0,0.0,8,0,0,10,10,10.0,18,28,11,171.0,18.0,14,6,11,1200,1.8130613025277853,63.8001186195761
22,11,0,0,0,10.000000000000002,20,10.0,16.731190835649237,27,20.77777777777778,41.753432338703,13,47.69230769230769,4.679305200049367,19,1.9473684210526316,56.00000000000001,20,56.0,6,2.186000000000001,33422,225,0,0.0,2250.0000000000005,False,-0.13344370030350916,2,0.679,42936,12,10,1.0,287.3119083564924,False,0.08058434179091098,0,0.6140000000000001,73312,40,47,1.0,2631.6589533450106,False,0.03381259058656685,0,0.29900000000000004,75225,61,48,1.0,3024.767393232348,False,0.0630360549214703,0,0.2,93687,0,0,0.0,0.0,False,0.0,19,5.034000000000001,44212.0,347,0,0.0,14488.441021529941,False,-0.4507645616706163,10,1.1010000000000002,135086,0,6,0.6,336.00000000000006,False,0.019254101387350318,10,1.9920000000000007,126671,446,0,0.0,2086.9701192220177,False,-0.03756256596047442,0.45,624551,0.0,0.0,12,0,0,6,13,12.285714285714285,16,22,22,84.0,12.0,7,4,22,1170,1.6420342922210693,65.44215291179717
23,22,0,0,0,10.000000000000002,20,10.0,17.25325899979035,11,26.0,40.74205753068509,18,32.166666666666664,4.679305200049367,0,,56.00000000000001,20,56.0,0,2.1800000000000006,33352,232,0,0.0,2320.0000000000005,False,-0.1343216193844533,1,0.687,43071,15,10,1.0,322.53258999790353,False,0.08441232836679342,0,0.6140000000000001,73605,41,39,1.0,2296.323862688123,False,0.03554880977660881,0,0.29900000000000004,75225,51,58,1.0,3242.955545769043,False,0.06454732532013413,0,0.2,93687,0,0,0.0,0.0,False,0.0,0,5.0150000000000015,43633.0,365,0,0.0,14870.850998700058,False,-0.45490382337624186,4,1.1310000000000002,135368,0,0,0.0,0.0,False,0.02011318849426145,10,2.0820000000000007,126475,446,0,0.0,2086.9701192220177,False,-0.039039592916216365,0.375,624416,0.0,0.0,11,0,0,10,7,6.090909090909091,17,27,24,172.0,27.0,13,9,24,1115,1.8411313788965344,67.2832842906937
24,24,0,0,0,10.000000000000002,20,10.0,17.66362430516604,42,19.38095238095238,40.10776691429065,13,32.61538461538461,4.5187698434268615,27,3.407407407407408,56.00000000000001,20,56.0,15,2.3300000000000005,33038,244,0,0.0,2440.0000000000005,False,-0.1406928035718765,17,0.8560000000000001,43233,13,10,1.0,306.6362430516604,False,0.08827647230857175,0,0.6140000000000001,73770,38,39,1.0,2235.420633253645,False,0.037412696422164944,0,0.29900000000000004,74670,76,65,1.0,3949.440296621511,False,0.06175239514470402,0,0.2,93687,0,0,0.0,0.0,False,0.0,27,5.285000000000001,41473.0,378,0,0.0,15160.735893601866,False,-0.47641222424881857,8,1.207,135230,0,0,0.0,0.0,False,0.019073240943790083,12,2.192,126113,473,0,0.0,2137.3781359409054,False,-0.041577637601108886,0.375,621214,0.0,0.0,10,0,0,12,16,15.5,16,28,27,166.0,36.0,15,9,27,624,1.846840518526733,69.13012480922043
