index,n_registered_negotiations_before,n_contracts_dropped,n_contracts_nullified_now,n_bankrupt,trading_price_0,sold_quantity_0,unit_price_0,trading_price_1,sold_quantity_1,unit_price_1,trading_price_2,sold_quantity_2,unit_price_2,trading_price_3,sold_quantity_3,unit_price_3,trading_price_4,sold_quantity_4,unit_price_4,spot_market_quantity_00Dec@0,spot_market_loss_00Dec@0,balance_00Dec@0,inventory_00Dec@0_input,inventory_00Dec@0_output,productivity_00Dec@0,assets_00Dec@0,bankrupt_00Dec@0,score_00Dec@0,spot_market_quantity_01Dec@0,spot_market_loss_01Dec@0,balance_01Dec@0,inventory_01Dec@0_input,inventory_01Dec@0_output,productivity_01Dec@0,assets_01Dec@0,bankrupt_01Dec@0,score_01Dec@0,spot_market_quantity_02Buy@1,spot_market_loss_02Buy@1,balance_02Buy@1,inventory_02Buy@1_input,inventory_02Buy@1_output,productivity_02Buy@1,assets_02Buy@1,bankrupt_02Buy@1,score_02Buy@1,spot_market_quantity_03Buy@1,spot_market_loss_03Buy@1,balance_03Buy@1,inventory_03Buy@1_input,inventory_03Buy@1_output,productivity_03Buy@1,assets_03Buy@1,bankrupt_03Buy@1,score_03Buy@1,spot_market_quantity_04Dec@2,spot_market_loss_04Dec@2,balance_04Dec@2,inventory_04Dec@2_input,inventory_04Dec@2_output,productivity_04Dec@2,assets_04Dec@2,bankrupt_04Dec@2,score_04Dec@2,spot_market_quantity_05Buy@2,spot_market_loss_05Buy@2,balance_05Buy@2,inventory_05Buy@2_input,inventory_05Buy@2_output,productivity_05Buy@2,assets_05Buy@2,bankrupt_05Buy@2,score_05Buy@2,spot_market_quantity_06MyA@3,spot_market_loss_06MyA@3,balance_06MyA@3,inventory_06MyA@3_input,inventory_06MyA@3_output,productivity_06MyA@3,assets_06MyA@3,bankrupt_06MyA@3,score_06MyA@3,spot_market_quantity_07Ind@3,spot_market_loss_07Ind@3,balance_07Ind@3,inventory_07Ind@3_input,inventory_07Ind@3_output,productivity_07Ind@3,assets_07Ind@3,bankrupt_07Ind@3,score_07Ind@3,productivity,market_size,production_failures,bankruptcy,n_contracts_executed,n_contracts_erred,n_contracts_nullified,n_contracts_cancelled,n_breaches,breach_level,n_contracts_signed,n_contracts_concluded,n_negotiations,n_negotiation_rounds_successful,n_negotiation_rounds_failed,n_negotiation_successful,n_negotiation_failed,n_registered_negotiations_after,activity_level,step_time,total_time
10,22,0,0,0,10.000000000000002,20,10.0,24.42119876242689,32,26.0,19.914756397962808,2,14.0,36.8352355872612,5,20.0,48.99999999999999,13,49.0,0,0.389,14184,3,16,1.0,420.73918019883024,False,0.1053036619902799,0,0.3350000000000001,14265,5,17,1.0,465.16037896125715,False,0.11322891726028013,1,0.41700000000000004,17224,116,0,0.0,2832.8590564415194,False,-0.09530044999899241,1,0.399,17677,99,0,0.0,2417.698677480262,False,-0.08338917983206502,0,0.506,28711,0,4,0.2,147.3409423490448,False,0.019612145201180348,5,0.5830000000000002,26382,36,0,0.0,716.9312303266611,False,-0.05279778912672836,0,0.2,39243,0,3,0.0,146.99999999999997,False,0.0004198473282442748,3,0.32900000000000007,38682,17,10,1.0,1116.1990049834403,False,-0.0015241856872335606,0.4,196368,0.0,0.0,18,0,0,10,5,4.333333333333334,19,29,24,216.0,90.0,12,10,24,1424,1.2104938421398401,16.843998216092587
11,24,0,0,0,10.000000000000002,20,10.0,24.654161167588914,38,25.657894736842106,19.655723590421122,2,14.0,36.8352355872612,0,,48.99999999999999,13,49.0,10,0.48900000000000005,14502,4,10,1.0,286.54161167588916,False,0.12456966949535014,0,0.3350000000000001,14486,4,15,1.0,409.8124175138337,False,0.12807388533801092,1,0.42600000000000005,16820,131,0,0.0,3229.6951129541476,False,-0.1052782199341354,1,0.40800000000000003,17070,122,0,0.0,3007.8076624458477,False,-0.09852922581911648,0,0.506,28683,0,6,0.2,221.01141352356723,False,0.019925107391228984,0,0.5780000000000001,26382,36,0,0.0,707.6060492551604,False,-0.05296294765939637,0,0.2,39243,0,3,0.0,146.99999999999997,False,0.0004198473282442748,3,0.3560000000000001,39139,7,10,1.0,747.8466491108284,False,0.00541789629911993,0.4,196325,0.0,0.0,17,0,0,14,7,7.0,17,31,21,183.0,114.0,11,13,21,1413,1.176473954692483,18.02047217078507
12,21,0,0,0,10.000000000000002,20,10.0,24.73809335561482,20,25.5,19.655723590421122,0,,38.1033233544379,5,56.0,48.99999999999999,9,49.0,6,0.5390000000000001,14666,6,10,1.0,307.3809335561482,False,0.13796287082685055,0,0.3350000000000001,14506,2,21,1.0,539.4999604679111,False,0.13458880290516434,0,0.4250000000000001,16620,139,0,0.0,3438.5949764304596,False,-0.10991567228619539,0,0.40700000000000003,16760,134,0,0.0,3314.9045096523855,False,-0.10612248811754067,0,0.506,28963,0,1,0.0,38.1033233544379,False,0.026603792344487207,0,0.5780000000000001,26382,36,0,0.0,707.6060492551604,False,-0.05296294765939637,0,0.2,39243,0,3,0.0,146.99999999999997,False,0.0004198473282442748,0,0.35300000000000004,39300,2,11,1.0,615.2066467088757,False,0.007827056573904242,0.375,196440,0.0,0.0,19,0,0,11,1,1.0,15,26,24,150.0,77.0,10,11,24,1281,1.2425100049003959,19.262982175685465
13,24,0,0,0,10.000000000000002,20,10.0,24.817835026732805,30,25.3,19.52138721985769,1,14.0,39.465940565162015,5,58.0,48.99999999999999,0,,6,0.5930000000000001,14846,6,10,1.0,308.1783502673281,False,0.1518151866032146,0,0.3350000000000001,14759,2,17,1.0,441.90319545445766,False,0.150268877964158,0,0.42500000000000004,15939,166,0,0.0,4119.760614437646,False,-0.1264375700243242,1,0.41700000000000004,16664,137,0,0.0,3400.0433986623943,False,-0.10871570086724913,4,0.546,29059,0,1,0.1,39.465940565162015,False,0.03002844285652584,0,0.5780000000000001,26382,36,0,0.0,702.7699399148769,False,-0.0530486001219426,0,0.2,39243,0,3,0.0,146.99999999999997,False,0.0004198473282442748,0,0.35300000000000004,39010,0,18,0.7,881.9999999999999,False,0.003842239185750636,0.35,195902,0.0,0.0,12,0,0,8,3,2.4000000000000004,20,28,25,186.0,96.0,12,12,25,709,1.362860812805593,20.62584298849106
14,25,0,0,0,10.000000000000002,20,10.0,25.053958579563464,57,25.842105263157894,19.244564124567933,2,14.0,39.664132282373366,9,41.111111111111114,49.0,3,49.0,14,0.7270000000000001,15044,8,10,1.0,330.53958579563465,False,0.16787758526436442,16,0.49500000000000005,15117,0,10,1.0,250.53958579563465,False,0.17041156361036763,1,0.43500000000000005,15297,190,0,0.0,4760.252130117058,False,-0.14205367573973363,1,0.42600000000000005,15797,170,0,0.0,4259.172958525789,False,-0.1299462978420262,4,0.5820000000000001,29141,0,2,0.2,79.32826456474673,False,0.03363905395779017,4,0.6180000000000001,26282,36,0,0.0,692.8043084844456,False,-0.05676730706520409,0,0.2,39390,0,0,0.0,0.0,False,0.0022900763358778627,0,0.35300000000000004,38640,0,27,0.9,1323.0,False,3.816793893129771e-05,0.3875,194708,0.0,0.0,12,0,0,11,10,8.55,18,29,18,222.0,94.0,14,11,18,659,1.23151533305645,21.85735832154751
15,18,0,0,0,10.000000000000002,20,10.0,25.053958579563464,0,,18.967820574918136,2,14.0,39.09611115973233,2,20.0,49.0,11,49.0,0,0.7130000000000001,14974,5,20,1.0,551.0791715912693,False,0.17096979081591304,0,0.4790000000000001,14987,3,20,1.0,531.0791715912693,False,0.17120015248373152,1,0.44400000000000006,15279,190,0,0.0,4760.252130117058,False,-0.14292729251317568,1,0.43500000000000005,15779,170,0,0.0,4259.172958525789,False,-0.1308199146154682,0,0.5780000000000001,29113,0,4,0.2,156.38444463892932,False,0.03401198052918648,2,0.6340000000000001,26232,36,0,0.0,682.8415406970529,False,-0.05871486060187289,0,0.2,39390,0,0,0.0,0.0,False,0.0022900763358778627,0,0.35300000000000004,39139,0,18,0.2,882.0,False,0.0071246819338422395,0.3,194893,0.0,0.0,13,0,0,8,3,3.0,21,29,18,144.0,120.0,8,10,18,739,1.0164520051330328,22.87381032668054
16,18,0,0,0,10.000000000000002,20,10.0,25.053958579563464,0,,18.82633471461731,1,14.0,38.218983915368476,3,20.0,49.0,5,49.0,0,0.7130000000000001,14864,6,30,1.0,811.6187573869039,False,0.17252625191533835,0,0.47900000000000004,14897,2,30,1.0,771.6187573869039,False,0.17352448580921842,1,0.45300000000000007,15261,190,0,0.0,4760.252130117058,False,-0.14380090928661773,0,0.43400000000000005,15779,170,0,0.0,4259.172958525789,False,-0.1308199146154682,0,0.5780000000000001,29099,0,5,0.1,191.0949195768424,False,0.034130829931225265,3,0.6620000000000001,26157,36,0,0.0,677.7480497262231,False,-0.06146172559019832,0,0.2,39390,0,0,0.0,0.0,False,0.0022900763358778627,0,0.35300000000000004,39324,0,16,0.3,784.0,False,0.010585241730279898,0.3,194771,0.0,0.0,12,0,0,11,2,2.0,15,26,17,147.0,58.0,9,9,17,445,1.1597499996423721,24.033560326322913
17,17,0,0,0,10.000000000000002,20,10.0,25.125750418646707,32,25.625,18.539058042920182,2,14.0,36.433750537709386,16,29.875,49.0,0,,0,0.7130000000000001,15064,6,28,1.0,763.5210117221078,False,0.18603705028496148,0,0.4790000000000001,15317,2,20,1.0,522.5150083729342,False,0.19621112679002284,1,0.4620000000000001,14983,200,0,0.0,5025.1500837293415,False,-0.15086512124516252,1,0.44400000000000006,15201,192,0,0.0,4824.144080380168,False,-0.14516249076926405,0,0.5780000000000001,29351,0,2,0.2,72.86750107541877,False,0.04096325849377309,11,0.7690000000000001,25860,36,0,0.0,667.4060895451265,False,-0.07216524229490408,0,0.2,39390,0,0,0.0,0.0,False,0.0022900763358778627,0,0.35300000000000004,38846,6,26,1.0,1492.6025032262564,False,0.007437690880741158,0.4,194012,0.0,0.0,14,0,0,12,3,3.0,13,25,23,126.0,89.0,7,10,23,1300,1.0633762702345848,25.096936596557498
18,23,0,0,0,10.000000000000002,20,10.0,25.15073816381847,35,25.314285714285713,18.539058042920182,0,,39.223547464140275,10,58.0,49.0,11,49.0,0,0.7130000000000001,15544,8,14,1.0,432.1103342934586,False,0.2101708644050318,0,0.47900000000000004,15523,0,19,1.0,477.86402511255096,False,0.21031498215129196,0,0.4610000000000001,14683,212,0,0.0,5331.956490729515,False,-0.15798008904267344,0,0.44300000000000006,14615,215,0,0.0,5407.408705220972,False,-0.1594494101819799,8,0.6580000000000001,29541,0,0,0.0,0.0,False,0.04640289043958769,0,0.7580000000000002,25860,36,0,0.0,667.4060895451265,False,-0.07216524229490408,0,0.2,39390,0,0,0.0,0.0,False,0.0022900763358778627,0,0.35300000000000004,38805,6,25,1.0,1460.3412847848417,False,0.005983985811511929,0.375,193961,0.0,0.0,16,0,0,15,2,1.6,15,30,22,219.0,105.0,13,10,22,1625,1.4896192774176598,26.586555873975158
19,22,0,0,0,10.000000000000002,20,10.0,25.136912725588527,24,25.0,18.39376421522422,1,14.0,41.58318056131417,10,58.0,49.0,10,49.0,0,0.7130000000000001,15759,9,11,1.0,366.5060399814738,False,0.22416133148972878,0,0.4790000000000001,15708,0,17,0.9,427.32751633500493,False,0.22258033925881152,1,0.47100000000000003,14665,212,0,0.0,5329.025497824768,False,-0.15892483260957171,0,0.44300000000000006,14015,239,0,0.0,6007.7221414156575,False,-0.17400208354165067,10,0.7500000000000002,29607,0,1,0.1,41.58318056131417,False,0.04947722681735171,0,0.7580000000000002,25860,36,0,0.0,662.1755117480719,False,-0.07225788119889356,0,0.2,39390,0,0,0.0,0.0,False,0.0022900763358778627,0,0.35300000000000004,38715,6,25,1.0,1474.499083367885,False,0.0038740341395405776,0.375,193719,0.0,0.0,16,0,0,12,3,3.0,17,29,25,186.0,90.0,12,10,25,1290,1.488180773332715,28.074736647307873
20,25,0,0,0,10.000000000000002,20,10.0,25.24858600237834,35,26.0,18.242861258227496,1,14.0,41.95101464424789,7,45.714285714285715,49.00000000000001,12,49.0,2,0.7330000000000001,15985,6,10,1.0,312.4858600237834,False,0.2394412140069025,5,0.5290000000000001,16045,3,10,1.0,282.4858600237834,False,0.2428966390241796,0,0.47000000000000003,14041,236,0,0.0,5958.666296561288,False,-0.1739306373383497,1,0.45300000000000007,13711,250,0,0.0,6312.146500594585,False,-0.18136899387025368,4,0.7800000000000002,29693,0,1,0.1,41.95101464424789,False,0.0525300381609622,2,0.7780000000000002,25810,36,0,0.0,656.7430052961898,False,-0.07412519915525156,0,0.2,39390,0,0,0.0,0.0,False,0.0022900763358778627,0,0.35300000000000004,38983,3,23,1.0,1252.853043932744,False,0.007873448396090893,0.3875,193658,0.0,0.0,17,0,0,12,5,3.408391608391608,21,33,26,252.0,123.0,14,11,26,1074,1.1981632458046079,29.27289989311248
21,26,0,0,0,10.000000000000002,20,10.0,25.215990243868543,46,25.043478260869566,18.242861258227496,0,,42.418419607794185,7,47.142857142857146,49.00000000000001,0,,10,0.8310000000000002,16245,1,10,1.0,262.15990243868544,False,0.25747369663052616,16,0.6840000000000002,16127,8,10,1.0,332.15990243868544,False,0.251100357154215,0,0.47000000000000003,13681,250,0,0.0,6303.9975609671355,False,-0.18302277322444335,0,0.45200000000000007,12919,282,0,0.0,7110.9092487709295,False,-0.20042445037927278,4,0.8160000000000001,29803,0,0,0.0,0.0,False,0.05568346852750523,2,0.7960000000000003,25760,36,0,0.0,656.7430052961898,False,-0.07589630184378544,0,0.2,39390,0,0,0.0,0.0,False,0.0022900763358778627,0,0.35300000000000004,38653,0,33,1.0,1617.0000000000002,False,0.00410941475826972,0.375,192578,0.0,0.0,10,0,0,19,6,5.2444444444444445,15,34,31,207.0,141.0,14,12,31,460,1.2554844673722982,30.52838436048478
22,31,0,0,0,10.000000000000002,20,10.0,25.258675538905166,15,26.0,18.086901461741842,1,14.0,42.418419607794185,0,,49.0,8,49.0,5,0.8710000000000002,16427,1,10,1.0,262.5867553890517,False,0.27146535957110685,0,0.6680000000000001,16027,8,20,1.0,585.1735107781034,False,0.2531357410265723,1,0.48000000000000004,13351,262,0,0.0,6617.772991193154,False,-0.19142465076700754,0,0.45200000000000007,12841,285,0,0.0,7198.722528587972,False,-0.20207914655921258,0,0.8120000000000003,29789,0,1,0.1,42.418419607794185,False,0.05593883354482291,0,0.7940000000000003,25760,36,0,0.0,651.1284526227063,False,-0.07599574133713466,0,0.2,39390,0,0,0.0,0.0,False,0.0022900763358778627,0,0.35300000000000004,39045,0,25,0.0,1225.0,False,0.009096692111959287,0.2625,192630,0.0,0.0,12,0,0,15,3,2.166666666666667,21,36,26,291.0,148.0,17,14,26,592,2.0872232876718044,32.61560764815658
23,26,0,0,0,10.000000000000002,20,10.0,25.24391978704553,15,25.0,18.086901461741842,0,,41.795505449497476,2,20.0,49.0,0,,0,0.8660000000000001,16392,2,17,1.0,449.146636379774,False,0.2759405143353979,0,0.6680000000000001,16237,7,18,1.0,524.3905561668196,False,0.26692738064066734,0,0.47900000000000004,13051,274,0,0.0,6916.834021650476,False,-0.19872757664408675,0,0.45200000000000007,12766,288,0,0.0,7270.248898669113,False,-0.20398347654171237,0,0.812,29789,0,1,0.0,41.795505449497476,False,0.05592780109541809,2,0.8140000000000001,25710,36,0,0.0,651.1284526227063,False,-0.07776684402566854,0,0.2,39390,0,0,0.0,0.0,False,0.0022900763358778627,0,0.35300000000000004,39005,0,27,0.2,1323.0,False,0.009325699745547074,0.275,192340,0.0,0.0,12,0,0,12,1,1.0,20,32,24,219.0,159.0,13,13,24,575,1.037185238674283,33.652792886830866
24,24,0,0,0,10.000000000000002,20,10.0,25.31353466486734,24,26.0,17.92653242948173,1,14.0,38.47035840980956,20,27.7,49.00000000000001,9,49.0,0,0.8660000000000003,16650,0,14,1.0,354.38948530814275,False,0.29211354854135546,0,0.6680000000000001,16403,9,17,1.0,520.3300893027448,False,0.2795181636068014,0,0.47900000000000004,12427,298,0,0.0,7543.433330130468,False,-0.213807189620208,1,0.4620000000000001,12748,288,0,0.0,7290.297983481794,False,-0.20437055951558444,5,0.8620000000000001,29842,0,1,0.1,38.47035840980956,False,0.05774627817664641,14,0.9520000000000002,25308,36,0,0.0,645.3551674613423,False,-0.09210876045019055,0,0.2,39390,0,0,0.0,0.0,False,0.0022900763358778627,0,0.35300000000000004,38892,10,28,1.0,1756.703584098096,False,0.011968238983436349,0.3875,191660,0.0,0.0,13,0,0,13,5,4.8,17,30,17,219.0,123.0,13,11,17,1265,1.0725736217573285,34.725366508588195
