index,n_registered_negotiations_before,n_contracts_dropped,n_contracts_nullified_now,n_bankrupt,trading_price_0,sold_quantity_0,unit_price_0,trading_price_1,sold_quantity_1,unit_price_1,trading_price_2,sold_quantity_2,unit_price_2,trading_price_3,sold_quantity_3,unit_price_3,trading_price_4,sold_quantity_4,unit_price_4,spot_market_quantity_00Ind@0,spot_market_loss_00Ind@0,balance_00Ind@0,inventory_00Ind@0_input,inventory_00Ind@0_output,productivity_00Ind@0,assets_00Ind@0,bankrupt_00Ind@0,score_00Ind@0,spot_market_quantity_01Dec@0,spot_market_loss_01Dec@0,balance_01Dec@0,inventory_01Dec@0_input,inventory_01Dec@0_output,productivity_01Dec@0,assets_01Dec@0,bankrupt_01Dec@0,score_01Dec@0,spot_market_quantity_02Buy@1,spot_market_loss_02Buy@1,balance_02Buy@1,inventory_02Buy@1_input,inventory_02Buy@1_output,productivity_02Buy@1,assets_02Buy@1,bankrupt_02Buy@1,score_02Buy@1,spot_market_quantity_03Dec@1,spot_market_loss_03Dec@1,balance_03Dec@1,inventory_03Dec@1_input,inventory_03Dec@1_output,productivity_03Dec@1,assets_03Dec@1,bankrupt_03Dec@1,score_03Dec@1,spot_market_quantity_04Dec@2,spot_market_loss_04Dec@2,balance_04Dec@2,inventory_04Dec@2_input,inventory_04Dec@2_output,productivity_04Dec@2,assets_04Dec@2,bankrupt_04Dec@2,score_04Dec@2,spot_market_quantity_05Dec@2,spot_market_loss_05Dec@2,balance_05Dec@2,inventory_05Dec@2_input,inventory_05Dec@2_output,productivity_05Dec@2,assets_05Dec@2,bankrupt_05Dec@2,score_05Dec@2,spot_market_quantity_06MyA@3,spot_market_loss_06MyA@3,balance_06MyA@3,inventory_06MyA@3_input,inventory_06MyA@3_output,productivity_06MyA@3,assets_06MyA@3,bankrupt_06MyA@3,score_06MyA@3,spot_market_quantity_07Ran@3,spot_market_loss_07Ran@3,balance_07Ran@3,inventory_07Ran@3_input,inventory_07Ran@3_output,productivity_07Ran@3,assets_07Ran@3,bankrupt_07Ran@3,score_07Ran@3,productivity,market_size,production_failures,bankruptcy,n_contracts_executed,n_contracts_erred,n_contracts_nullified,n_contracts_cancelled,n_breaches,breach_level,n_contracts_signed,n_contracts_concluded,n_negotiations,n_negotiation_rounds_successful,n_negotiation_rounds_failed,n_negotiation_successful,n_negotiation_failed,n_registered_negotiations_after,activity_level,step_time,total_time
10,47,0,0,0,10.000000000000002,20,10.0,22.7539605138335,21,25.523809523809526,22.892433189761608,60,21.316666666666666,49.88821209796739,5,71.0,50.0,13,50.0,0,0.4880000000000001,48245,15,10,1.0,377.53960513833505,False,0.026813581008059622,0,0.2,47947,0,27,0.8,614.3569338735045,False,0.023006179205341544,60,2.3930000000000007,55145.0,95,0,0.0,2161.6262488141824,False,-0.12779515505697614,0,0.2,62109,23,82,1.0,2400.5206133786223,False,-0.017912938900947608,0,0.281,87732,95,35,1.0,3920.8685764562115,False,-0.007903875936286955,0,0.254,88884,57,36,1.0,3100.8443273432376,False,0.00030331903139828477,0,0.2,133644,0,0,0.0,0.0,False,0.0,13,0.8250000000000002,130574,29,0,0.0,1446.7581508410542,False,-0.017558745058360078,0.6,654280,0.0,0.0,12,0,0,21,9,9.0,18,39,49,306.0,81.0,22,25,49,1091,3.4983769499813206,74.21738343703328
11,49,0,0,0,10.000000000000002,20,10.0,23.00256555171828,36,24.0,22.596094068876912,61,21.60655737704918,55.22988134938073,14,72.21428571428571,50.0,9,50.0,0,0.4880000000000001,48135,16,20,1.0,620.0513110343657,False,0.02705220919496237,9,0.29000000000000004,48532,0,9,0.9,207.02308996546452,False,0.031090579511601588,61,2.943000000000001,52199.0,131,0,0.0,3013.3360872750945,False,-0.16688899162885415,0,0.2,62109,13,92,1.0,2377.8740065090137,False,-0.018088592031916963,0,0.281,87513,125,36,1.0,4812.78748718732,False,-0.005393456882833705,0,0.254,88796,68,41,1.0,3800.95953200824,False,0.003201961861405889,0,0.2,133644,0,0,0.0,0.0,False,0.0,9,0.9020000000000001,129418,43,0,0.0,2374.8848980233715,False,-0.02273620627179911,0.6125,650346,0.0,0.0,12,0,0,18,11,10.5,22,40,53,359.0,131.0,24,25,53,1643,2.9080991040100344,77.12548254104331
12,53,0,0,0,10.000000000000002,20,10.0,23.240880427181782,22,25.0,21.536058496720827,70,17.928571428571427,55.09024498950442,15,54.6,50.0,11,50.0,2,0.5080000000000001,48513,19,10,1.0,422.40880427181787,False,0.032970900424768614,0,0.281,48462,0,16,0.7,371.8540868349085,False,0.03135379260568284,70,3.582000000000001,48808.0,142,0,0.0,3300.2050206598133,False,-0.21726696279582552,0,0.2,61834,14,102,1.0,2522.0502926460695,False,-0.021236269137455976,0,0.281,87149,151,36,1.0,5235.193652627004,False,-0.00708355739806099,0,0.254,88724,92,46,1.0,4515.4686512155195,False,0.00635718833284766,0,0.2,133644,0,0,0.0,0.0,False,0.0,11,1.0030000000000001,128401,58,0,0.0,3195.234209391256,False,-0.027276816731797687,0.5875,645535,0.0,0.0,13,0,0,20,11,10.181818181818182,21,41,52,342.0,122.0,25,28,52,1294,2.930009723000694,80.055492264044
13,52,0,0,0,10.000000000000002,20,10.0,22.69505144202135,44,20.636363636363633,21.68747353673447,96,22.125,55.83722002715592,3,71.0,49.99999999999999,7,50.0,32,0.8260000000000001,48455,19,10,1.0,416.9505144202135,False,0.03168342040768526,0,0.281,48412,0,24,1.0,544.6812346085123,False,0.032125773650156945,91,4.422000000000001,44004.0,153,0,0.0,3472.342870629266,False,-0.29045402960854694,0,0.2,61271,37,107,1.0,3160.276571785378,False,-0.02501957238314892,0,0.281,86732,171,43,1.0,6109.558435949299,False,-0.006860318139362587,0,0.254,87230,148,56,1.0,6336.630404957434,False,-9.606333050856341e-05,0,0.2,133644,0,0,0.0,0.0,False,0.0,7,1.062,128087,61,0,0.0,3406.0704216565114,False,-0.028837544440242335,0.625,637835,0.0,0.0,12,0,0,21,10,9.88888888888889,18,39,54,335.0,144.0,23,29,54,758,2.7265627550077625,82.78205501905177
14,54,0,0,0,10.000000000000002,20,10.0,22.799843951582893,9,25.0,22.087477650244878,18,29.555555555555557,55.83722002715592,0,,50.0,11,50.0,0,0.7940000000000003,48580,19,11,1.0,440.79828346741186,False,0.034586256688369676,0,0.281,48312,0,34,1.0,775.1946943538184,False,0.03244922188676695,6,4.391000000000001,43902.0,153,0,0.0,3488.376124592183,False,-0.2919119498899217,0,0.2,61495,36,105,1.0,3139.9795355326964,False,-0.021702193972351288,0,0.281,86390,174,53,1.0,6802.593772581873,False,-0.006810347801708575,0,0.254,87040,143,66,1.0,6843.765825777309,False,0.0006070648610025474,0,0.2,133644,0,0,0.0,0.0,False,0.0,11,1.1650000000000003,127880,61,0,0.0,3406.0704216565114,False,-0.030386435524017142,0.625,637243,0.0,0.0,11,0,0,20,6,6.0,20,40,54,364.0,93.0,23,31,54,874,2.524348306003958,85.30640332505573
15,54,0,0,0,10.000000000000002,20,10.0,22.40638273401583,47,20.914893617021278,22.136998687305073,60,22.4,56.447661204492164,2,74.0,50.00000000000001,12,50.0,24,1.034,48629,22,10,1.0,444.06382734015835,False,0.03565968991647222,0,0.281,48542,0,29,0.7,649.7850992864591,False,0.035995941182624766,50,4.885000000000001,41822.0,176,0,0.0,3943.5233611867857,False,-0.3206477773549052,0,0.2,61457,50,105,1.0,3444.7039988678243,False,-0.019928145950702487,0,0.281,86377,165,63,1.0,7208.807439288343,False,-0.004707558931894891,0,0.254,85857,192,74,1.0,8427.430677094995,False,-0.0037196750412302614,0,0.2,133644,0,0,0.0,0.0,False,0.0,12,1.2740000000000002,127481,63,0,0.0,3556.202655883006,False,-0.03281029205993905,0.5875,633809,0.0,0.0,10,0,0,23,10,10.0,18,41,45,389.0,98.0,25,29,45,1293,2.509850044036284,87.81625336909201
16,45,0,0,0,10.000000000000002,20,10.0,22.61796635664148,18,25.0,22.01934012744215,5,14.0,57.8610294890606,5,73.0,50.00000000000001,8,50.0,8,1.09,48821,21,10,1.0,436.1796635664149,False,0.03964658635508937,0,0.281,48432,1,39,1.0,892.1006879090178,False,0.036232490490671974,5,4.885000000000001,41517.0,185,0,0.0,4184.323775978674,False,-0.3235113879376189,0,0.2,61232,49,115,1.0,3640.5044661312795,False,-0.021899785414097126,0,0.281,86742,155,68,1.0,7347.547725009654,False,9.704848634311855e-05,0,0.254,85787,187,84,1.0,8977.943080912772,False,-0.0014493176362849077,0,0.2,133644,0,0,0.0,0.0,False,0.0,8,1.342,126985,68,0,0.0,3934.5500052561206,False,-0.0351061401736849,0.625,633160,0.0,0.0,10,0,0,17,6,5.888888888888889,17,34,45,303.0,75.0,20,25,45,790,2.3991778289782815,90.21543119807029
17,45,0,0,0,10.000000000000002,20,10.0,22.886244616964944,20,25.55,22.485722565917456,10,37.0,54.25818085581247,15,41.6,50.00000000000001,10,50.0,0,1.0820000000000003,48946,21,11,1.0,461.7486907866144,False,0.0425676682862326,0,0.281,48618,1,38,1.0,879.6772954446678,False,0.04004406808968458,0,4.880000000000001,41231.0,196,0,0.0,4485.703944925129,False,-0.3256103876200272,0,0.2,61377,48,115,1.0,3684.397836694825,False,-0.01931001926117811,0,0.281,86946,145,75,1.0,7329.793336243966,False,0.002255319478823431,0,0.254,85837,187,82,1.0,8654.000950003187,False,-0.0026878397137213472,0,0.2,133644,0,0,0.0,0.0,False,0.0,10,1.4340000000000002,126198,83,0,0.0,4503.429011032435,False,-0.03886658207239973,0.625,632797,0.0,0.0,12,0,0,16,3,3.0,17,33,47,240.0,107.0,17,28,47,1705,2.39855980098946,92.61399099905975
18,47,0,0,0,10.000000000000002,20,10.0,23.098853890281795,22,25.0,23.194461922779983,16,36.0,56.9721250337715,13,69.6923076923077,50.0,11,50.0,0,1.0820000000000003,49076,23,11,1.0,484.08739279309975,False,0.045560510004378885,0,0.281,48838,0,35,0.9,808.4598861598628,False,0.04395323078886413,0,4.880000000000001,40931.0,208,0,0.0,4804.561609178613,False,-0.3277910026590143,0,0.2,61703,48,109,1.0,3636.9413363165445,False,-0.014621018426435288,0,0.281,86494,151,83,1.0,8231.050128142811,False,0.0022401480424237897,0,0.254,86619,177,81,1.0,8720.161888067549,False,0.006327839039386067,0,0.2,133644,0,0,0.0,0.0,False,0.0,11,1.5340000000000003,125088,96,0,0.0,5469.324003242064,False,-0.04355854358129781,0.6125,632393,0.0,0.0,13,0,0,15,4,4.0,16,31,50,236.0,124.0,16,31,50,2232,2.716133013018407,95.33012401207816
19,50,0,0,0,10.000000000000002,20,10.0,23.289966595972366,22,25.0,23.131230260516446,18,22.166666666666668,58.47639104951865,25,62.48,50.00000000000001,10,50.0,0,1.0820000000000003,49201,23,12,1.0,509.47959915166837,False,0.04847971760215049,0,0.281,49063,0,32,1.0,745.2789310711157,False,0.048053583190984635,11,4.990000000000001,40141.0,230,0,0.0,5356.6923170736445,False,-0.33576343139524667,0,0.2,61969,38,112,1.0,3475.716519824792,False,-0.011745187082520502,0,0.281,87630,146,73,1.0,7645.936164650262,False,0.011569547516510067,0,0.254,86646,180,86,1.0,9192.591077151563,False,0.009239279464817785,0,0.2,133644,0,0,0.0,0.0,False,0.0,10,1.6230000000000004,123348,121,0,0.0,7075.643316991756,False,-0.050568512926163,0.625,631642,0.0,0.0,17,0,0,16,7,7.0,19,35,54,286.0,125.0,19,31,54,2578,2.963762473955285,98.29388648603344
20,54,0,0,0,10.000000000000002,20,10.0,22.65130027554205,35,19.057142857142857,23.543961396777988,30,27.166666666666668,58.61459062340626,1,70.0,50.000000000000014,14,50.0,23,1.3120000000000003,49295,22,10,1.0,446.51300275542053,False,0.04980509447683252,0,0.281,48953,1,42,1.0,961.3546115727661,False,0.04801198468880796,20,5.179000000000002,39881.0,230,0,0.0,5209.799063374671,False,-0.3409360335739741,0,0.2,61682,63,112,1.0,4063.955593798283,False,-0.011634745022041136,0,0.281,86815,166,83,1.0,8773.308613607865,False,0.00878974312612886,0,0.254,86716,170,95,1.0,9570.859546675852,False,0.012105586661850529,0,0.2,133644,0,0,0.0,0.0,False,0.0,14,1.7530000000000003,122948,122,0,0.0,7150.980056055563,False,-0.05327968312810317,0.625,629934,0.0,0.0,10,0,0,19,9,8.884615384615385,21,40,52,348.0,112.0,24,30,52,875,6.142428362974897,104.43631484900834
21,52,0,0,0,10.000000000000002,20,10.0,22.560259651207822,25,21.8,23.425106052353353,15,21.333333333333332,60.96066360172481,27,67.4814814814815,50.00000000000001,7,50.0,0,1.2890000000000001,49425,24,10,1.0,465.60259651207826,False,0.05276349505514299,0,0.281,49168,0,36,0.9,812.1693474434816,False,0.05098867208806088,10,5.259000000000001,39421.0,240,0,0.0,5414.462316289877,False,-0.34648437642490476,0,0.2,61587,68,117,1.0,4274.835064407474,False,-0.011472798271845781,0,0.281,87532,161,81,1.0,8709.255826168599,False,0.016366298108379917,0,0.254,87501,170,90,1.0,9468.727753055304,False,0.020223698126557187,0,0.2,133644,0,0,0.0,0.0,False,0.0,7,1.809,121022,149,0,0.0,9083.138876656996,False,-0.060462351932533444,0.6125,629300,0.0,0.0,17,0,0,21,5,5.0,21,42,50,354.0,129.0,25,27,50,2757,2.43132188700838,106.86763673601672
22,50,0,0,0,10.000000000000002,20,10.0,22.68599631968845,11,25.09090909090909,23.22849131524367,41,22.024390243902438,61.76741988442563,9,70.0,50.00000000000001,10,50.0,0,1.2890000000000001,49565,25,10,1.0,476.85996319688456,False,0.055850876244958374,0,0.281,49104,0,44,0.9,998.1838380662917,False,0.05160363626604651,41,5.659000000000001,38611.0,241,0,0.0,5467.325113044916,False,-0.35863951109886977,0,0.2,61337,68,127,1.0,4492.666146774761,False,-0.013661375754104914,0,0.281,87392,161,91,1.0,9360.622311236963,False,0.018420157240241226,0,0.254,87368,191,91,1.0,10057.477050694273,False,0.022008677705787648,0,0.2,133644,0,0,0.0,0.0,False,0.0,10,1.9020000000000001,120216,158,0,0.0,9759.25234173925,False,-0.0639637681387146,0.6125,627237,0.0,0.0,10,0,0,14,8,8.0,24,38,42,329.0,114.0,22,28,42,1106,2.539079957001377,109.4067166930181
23,42,0,0,0,10.000000000000002,20,10.0,21.852762014956703,27,15.703703703703704,23.7296962364949,25,29.0,62.56165228659138,23,65.69565217391305,50.00000000000001,9,50.0,2,1.3090000000000002,49747,23,10,1.0,448.52762014956704,False,0.05940901460863674,0,0.281,49104,2,39,1.0,872.2577185833114,False,0.05026879644028183,10,5.718000000000001,38317.0,245,0,0.0,5353.926693664393,False,-0.36407974455770353,0,0.2,61602,81,122,1.0,4665.096664063871,False,-0.008213137068256195,0,0.281,87712,171,86,1.0,9438.080153087485,False,0.02238809026451201,0,0.254,87834,186,93,1.0,10231.95716264105,False,0.028128115979078206,0,0.2,133644,0,0,0.0,0.0,False,0.0,9,1.9820000000000002,118549,181,0,0.0,11323.65906387304,False,-0.07058431705174559,0.625,626509,0.0,0.0,19,0,0,17,7,6.5,16,33,43,316.0,81.0,20,22,43,2616,2.523047597031109,111.9297642900492
24,43,0,0,0,10.000000000000002,20,10.0,21.490953350814504,36,19.444444444444443,23.87859338584434,13,26.846153846153847,62.66262185445702,1,73.0,50.0,12,50.0,26,1.5670000000000002,49771,26,10,1.0,474.9095335081451,False,0.06019747645178137,0,0.281,49034,0,48,0.9,1031.5657608390961,False,0.050473465208495945,6,5.768000000000001,37940.0,256,0,0.0,5501.684057808513,False,-0.3687819243468563,0,0.2,61443,96,125,1.0,5047.955694908735,False,-0.007710073103524898,0,0.281,87446,168,96,1.0,10027.215386849723,False,0.0227040792574121,0,0.254,87824,182,102,1.0,10737.491425378286,False,0.030813385165851522,0,0.2,133644,0,0,0.0,0.0,False,0.0,12,2.0930000000000004,118231,182,0,0.0,11404.597177511178,False,-0.07266096054626033,0.6125,625333,0.0,0.0,11,0,0,17,8,7.090909090909091,17,34,36,256.0,154.0,18,25,36,539,2.7734444710076787,114.70320876105689
25,36,0,0,0,10.000000000000002,20,10.0,21.866267350199546,22,25.545454545454547,23.83435062868031,1,13.0,62.81702306328216,2,70.0,50.0,9,50.0,0,1.5410000000000001,49911,27,10,1.0,488.6626735019955,False,0.06331131329370981,0,0.281,49256,0,45,0.9,983.9820307589796,False,0.05467554994550429,1,5.772,37611.0,268,0,0.0,5860.159649853478,False,-0.3711051156470784,0,0.2,61193,96,135,1.0,5316.799000490998,False,-0.009502986159011267,0,0.281,87586,158,104,1.0,10298.797797912834,False,0.02575463071395383,0,0.254,87811,173,112,1.0,11158.849241849295,False,0.03299992944047085,0,0.2,133644,0,0,0.0,0.0,False,0.0,9,2.1710000000000003,117946,184,0,0.0,11558.332243643918,False,-0.07421832538818089,0.6125,624958,0.0,0.0,12,0,0,15,5,5.0,16,31,42,183.0,93.0,13,23,42,902,2.114894333994016,116.8181030950509
