index,n_registered_negotiations_before,n_contracts_dropped,n_contracts_nullified_now,n_bankrupt,trading_price_0,sold_quantity_0,unit_price_0,trading_price_1,sold_quantity_1,unit_price_1,trading_price_2,sold_quantity_2,unit_price_2,trading_price_3,sold_quantity_3,unit_price_3,trading_price_4,sold_quantity_4,unit_price_4,spot_market_quantity_00Dec@0,spot_market_loss_00Dec@0,balance_00Dec@0,inventory_00Dec@0_input,inventory_00Dec@0_output,productivity_00Dec@0,assets_00Dec@0,bankrupt_00Dec@0,score_00Dec@0,spot_market_quantity_01Ran@0,spot_market_loss_01Ran@0,balance_01Ran@0,inventory_01Ran@0_input,inventory_01Ran@0_output,productivity_01Ran@0,assets_01Ran@0,bankrupt_01Ran@0,score_01Ran@0,spot_market_quantity_02Ran@1,spot_market_loss_02Ran@1,balance_02Ran@1,inventory_02Ran@1_input,inventory_02Ran@1_output,productivity_02Ran@1,assets_02Ran@1,bankrupt_02Ran@1,score_02Ran@1,spot_market_quantity_03Dec@1,spot_market_loss_03Dec@1,balance_03Dec@1,inventory_03Dec@1_input,inventory_03Dec@1_output,productivity_03Dec@1,assets_03Dec@1,bankrupt_03Dec@1,score_03Dec@1,spot_market_quantity_04Ran@2,spot_market_loss_04Ran@2,balance_04Ran@2,inventory_04Ran@2_input,inventory_04Ran@2_output,productivity_04Ran@2,assets_04Ran@2,bankrupt_04Ran@2,score_04Ran@2,spot_market_quantity_05Ran@2,spot_market_loss_05Ran@2,balance_05Ran@2,inventory_05Ran@2_input,inventory_05Ran@2_output,productivity_05Ran@2,assets_05Ran@2,bankrupt_05Ran@2,score_05Ran@2,spot_market_quantity_06Ind@3,spot_market_loss_06Ind@3,balance_06Ind@3,inventory_06Ind@3_input,inventory_06Ind@3_output,productivity_06Ind@3,assets_06Ind@3,bankrupt_06Ind@3,score_06Ind@3,spot_market_quantity_07MyA@3,spot_market_loss_07MyA@3,balance_07MyA@3,inventory_07MyA@3_input,inventory_07MyA@3_output,productivity_07MyA@3,assets_07MyA@3,bankrupt_07MyA@3,score_07MyA@3,productivity,market_size,production_failures,bankruptcy,n_contracts_executed,n_contracts_erred,n_contracts_nullified,n_contracts_cancelled,n_breaches,breach_level,n_contracts_signed,n_contracts_concluded,n_negotiations,n_negotiation_rounds_successful,n_negotiation_rounds_failed,n_negotiation_successful,n_negotiation_failed,n_registered_negotiations_after,activity_level,step_time,total_time
10,18,0,0,0,10.000000000000002,20,10.0,21.25022884923223,15,20.333333333333332,29.317116977303243,26,41.84615384615385,8.968616896948706,15,3.2666666666666666,47.00000000000001,10,47.0,0,0.272,22623,7,11,1.0,303.75251734155455,False,0.0888213538590992,5,0.8890000000000002,18382,111,0,0.0,1110.0000000000002,False,-0.09465984605823015,5,0.9880000000000002,26852,53,0,0.0,1126.2621290093082,False,-0.09806780285219588,9,0.29000000000000004,31351,47,10,1.0,1291.9319256869471,False,0.05267028434147502,11,1.219,32019.0,71,0,0.0,2081.51530538853,False,-0.17763842559403337,4,0.8430000000000002,34605,90,0,0.0,2638.540527957292,False,-0.10638366548148942,0,0.21800000000000003,55719,79,10,1.0,1178.520734858948,False,0.06743493710885999,0,0.2,52701,0,14,0.0,658.0000000000001,False,0.005288999260677523,0.375,274252,0.0,0.0,12,0,0,11,10,10.0,16,27,17,126.0,50.0,13,5,17,1554,1.0173907530261204,22.899088693142403
11,17,0,0,0,10.000000000000002,20,10.0,20.919076748556744,3,6.333333333333333,27.96547237195529,18,18.11111111111111,8.5979589508696,9,4.0,47.00000000000001,9,47.0,0,0.272,22533,6,21,1.0,499.30061171969163,False,0.08919301553090053,3,0.9140000000000001,18220,122,0,0.0,1220.0000000000002,False,-0.09977530238561935,12,1.1030000000000002,26507,54,0,0.0,1129.6301444220642,False,-0.10936257822703536,0,0.281,31595,39,14,1.0,1207.3606064010871,False,0.05930649767076407,3,1.2380000000000002,31652.0,78,0,0.0,2181.3068450125124,False,-0.18552639430595616,6,0.8990000000000002,34276,101,0,0.0,2824.5127095674843,False,-0.11225451220656846,0,0.21800000000000003,56106,78,11,1.0,1187.640798167829,False,0.07485773538101491,0,0.2,52701,0,14,0.0,658.0000000000001,False,0.005288999260677523,0.375,273590,0.0,0.0,11,0,0,9,8,8.0,12,21,14,76.0,48.0,9,8,14,871,0.883517122012563,23.782605815154966
12,14,0,0,0,10.000000000000002,20,10.0,20.758178004982554,39,20.256410256410255,29.998273982768847,13,51.0,8.605230490604153,2,9.0,47.000000000000014,5,47.0,12,0.392,22936,2,10,1.0,227.58178004982554,False,0.10196447339603734,6,0.9710000000000003,17950,136,0,0.0,1360.0000000000002,False,-0.1093369029975618,0,1.0910000000000002,26199,65,0,0.0,1349.281570323866,False,-0.11588232711008246,0,0.281,31776,57,11,1.0,1513.197160094463,False,0.0702920969879994,0,1.235,31040.0,90,0,0.0,2699.8446584491962,False,-0.19430058134811076,2,0.9130000000000003,34157,102,0,0.0,3059.8239462424226,False,-0.11228795370460407,0,0.21800000000000003,56323,70,16,1.0,1354.366134342291,False,0.0805517064543069,0,0.2,52701,0,14,0.0,658.0000000000002,False,0.005288999260677523,0.375,273082,0.0,0.0,10,0,0,11,6,5.16,11,22,15,115.0,25.0,9,5,15,1098,0.9199609160423279,24.702566731197294
13,15,0,0,0,10.000000000000002,20,10.0,20.48855303098645,2,1.0,29.998273982768847,0,,8.423199340972175,5,4.8,47.00000000000001,8,47.0,0,0.38000000000000006,22836,2,20,1.0,429.771060619729,False,0.10201680596212957,2,0.9850000000000003,17806,146,0,0.0,1460.0000000000002,False,-0.11383085528517474,0,1.0910000000000002,26199,65,0,0.0,1331.755947014119,False,-0.11617061542613961,0,0.281,31774,49,21,1.0,1633.902852156482,False,0.07221185110140287,0,1.235,31040.0,90,0,0.0,2699.8446584491962,False,-0.19430058134811076,5,0.9610000000000003,33956,102,0,0.0,3059.8239462424226,False,-0.1172878293295885,0,0.21800000000000003,56675,65,18,1.0,1393.5079571631913,False,0.08759557124190247,0,0.2,52701,0,14,0.0,658.0000000000001,False,0.005288999260677523,0.375,272987,0.0,0.0,8,0,0,10,3,3.0,10,20,16,74.0,49.0,7,8,16,576,0.9790171420318075,25.6815838732291
14,16,0,0,0,10.000000000000002,20,10.0,20.05346459251733,26,17.846153846153847,29.20564621186951,15,22.2,8.136639483248096,7,4.285714285714286,47.00000000000001,9,47.0,0,0.38000000000000006,23134,4,15,1.0,340.8019688877599,False,0.11413687356905296,11,1.0930000000000002,17485,154,0,0.0,1540.0000000000002,False,-0.12726490414495387,10,1.1910000000000003,25638,74,0,0.0,1483.9563798462823,False,-0.1321233652479556,0,0.281,31849,56,26,1.0,1882.3408186895776,False,0.07876596951390945,2,1.2550000000000001,30657.0,103,0,0.0,3008.1815598225594,False,-0.1999927668488028,5,1.0060000000000002,33725,104,0,0.0,3037.3872060344293,False,-0.12331301203907329,0,0.21800000000000003,57068,62,19,1.0,1397.4716479613821,False,0.09508323679135358,0,0.2,52701,0,14,0.0,658.0000000000001,False,0.005288999260677523,0.375,272257,0.0,0.0,13,0,0,13,10,10.0,11,24,8,164.0,13.0,13,3,8,1286,0.9607258580508642,26.642309731279965
15,8,0,0,0,10.000000000000002,20,10.0,18.965236753565907,10,3.5,31.85316494213174,18,51.388888888888886,7.994171713850066,7,6.142857142857143,47.0,9,47.0,0,0.38000000000000006,23024,5,25,1.0,524.1309188391477,False,0.11326028873258942,10,1.1820000000000002,17175,163,0,0.0,1630.0000000000002,False,-0.1399340249557776,0,1.181,25638,74,0,0.0,1403.4275197638772,False,-0.13344802737590672,0,0.281,32739,56,18,1.0,1635.4102271580623,False,0.10398424508418976,6,1.3130000000000002,30077.0,110,0,0.0,3503.8481436344914,False,-0.2082554147454729,1,1.0110000000000001,33122,115,0,0.0,3663.11396834515,False,-0.13053016133497738,0,0.21800000000000003,57448,59,20,1.0,1411.656131117154,False,0.1024213392269071,0,0.2,52701,0,14,0.0,658.0,False,0.005288999260677523,0.375,271924,0.0,0.0,12,0,0,9,4,4.0,9,18,15,73.0,6.0,6,2,15,1548,0.7803661660291255,27.42267589730909
16,15,0,0,0,10.000000000000002,20,10.0,19.830971157291156,9,33.0,31.72659895209905,3,26.0,7.140800563972442,23,3.869565217391304,46.99999999999999,10,47.0,0,0.38000000000000006,23251,2,26,1.0,535.6052500895701,False,0.12438698785890824,0,1.1720000000000002,17045,176,0,0.0,1760.0000000000002,False,-0.1430415451546589,0,1.181,25341,83,0,0.0,1645.970606055166,False,-0.13922932941743701,0,0.281,32817,46,25,1.0,1705.3896470378695,False,0.10770150097114534,10,1.4070000000000003,29664.0,110,0,0.0,3489.9258847308956,False,-0.21870194914640312,13,1.1400000000000001,32418,118,0,0.0,3743.738676347688,False,-0.1470393935928499,0,0.21800000000000003,57829,72,20,1.0,1454.1376406060158,False,0.11004661182352955,0,0.2,52701,0,14,0.0,657.9999999999999,False,0.005288999260677523,0.375,271066,0.0,0.0,11,0,0,9,6,6.0,14,23,12,119.0,23.0,10,5,12,1045,0.8907224420108832,28.313398339319974
17,12,0,0,0,10.000000000000002,20,10.0,20.372181918627582,24,23.333333333333332,31.545314281222087,3,24.0,6.727354878667913,17,4.294117647058823,46.999999999999986,13,47.0,0,0.38000000000000006,23525,5,25,1.0,559.3045479656896,False,0.13805288874995666,13,1.3020000000000003,16792,183,0,0.0,1830.0000000000002,False,-0.15346368982167616,1,1.1910000000000003,24928,94,0,0.0,1914.9851003509928,False,-0.14839148078117204,0,0.281,32711,49,33,1.0,2039.2322852930802,False,0.10970575544961642,16,1.5570000000000004,28842.0,112,0,0.0,3533.0751994968737,False,-0.23861253203282412,1,1.1370000000000002,32369,119,0,0.0,3753.8923994654283,False,-0.1481319817981464,0,0.21800000000000003,58367,79,17,1.0,1330.4610354147649,False,0.11907320273942446,0,0.2,52701,0,14,0.0,657.9999999999998,False,0.005288999260677523,0.375,270235,0.0,0.0,13,0,0,10,7,7.0,12,22,14,110.0,9.0,9,3,14,1265,0.8440632050042041,29.15746154432418
18,14,0,0,0,10.000000000000002,20,10.0,20.894092126535487,9,29.0,31.687070107305836,1,48.0,6.694396527066766,5,6.0,46.999999999999986,9,47.0,0,0.38000000000000006,23696,4,26,1.0,583.2463952899227,False,0.14680036322823348,0,1.2890000000000001,16682,194,0,0.0,1940.0000000000005,False,-0.15609312998996033,0,1.1900000000000002,24928,94,0,0.0,1964.0446598943358,False,-0.14758447394567809,0,0.281,32498,48,42,1.0,2333.7733665805486,False,0.10754331765002867,0,1.5410000000000001,28794.0,113,0,0.0,3580.6389221255595,False,-0.23921495830793313,5,1.1860000000000004,32184,119,0,0.0,3770.7613427693946,False,-0.1525240498648118,0,0.21800000000000003,58760,74,18,1.0,1341.3853430029403,False,0.12662684444847436,0,0.2,52701,0,14,0.0,657.9999999999998,False,0.005288999260677523,0.375,270243,0.0,0.0,12,0,0,10,1,1.0,13,23,13,94.0,15.0,9,5,13,932,0.8956294959643856,30.053091040288564
19,13,0,0,0,10.000000000000002,20,10.0,19.57892654669372,33,14.242424242424244,32.43677780006742,13,38.46153846153846,6.621464079228299,2,3.0,46.99999999999999,15,47.0,0,0.38000000000000006,24082,1,12,1.0,244.9471185603246,False,0.15716754598078897,9,1.3790000000000002,16339,207,0,0.0,2070.0000000000005,False,-0.1693837548405603,3,1.2200000000000002,24847,94,0,0.0,1840.4190953892096,False,-0.15228288104702575,0,0.281,32516,71,42,1.0,2752.4484524180857,False,0.1150225104029821,2,1.5610000000000002,28212.0,126,0,0.0,4087.0340028084947,False,-0.2473939205143094,0,1.1810000000000003,32184,119,0,0.0,3859.9765582080227,False,-0.15141443548409209,0,0.21800000000000003,59459,66,13,1.0,1048.0166292290676,False,0.13709708469250884,0,0.2,52701,0,14,0.0,657.9999999999999,False,0.005288999260677523,0.375,270340,0.0,0.0,13,0,0,10,5,5.0,10,20,19,77.0,18.0,7,6,19,1849,0.878839434008114,30.931930474296678
20,19,0,0,0,10.000000000000002,20,10.0,19.859182438150086,22,21.772727272727273,29.292787454097304,15,7.133333333333334,6.814463506701835,14,8.071428571428571,46.99999999999999,9,47.0,5,0.43000000000000005,24346,0,9,0.9,178.73264194335076,False,0.16820606783820222,5,1.4200000000000004,16124,219,0,0.0,2190.0000000000005,False,-0.1767939953148157,15,1.3670000000000002,24389,94,0,0.0,1866.763149186108,False,-0.16691730574440536,0,0.281,32037,83,52,1.0,3171.537089979517,False,0.106157670252328,12,1.6790000000000003,27642.0,134,0,0.0,3925.233518849039,False,-0.2635850660574483,2,1.2010000000000003,32077,126,0,0.0,3690.89121921626,False,-0.15617905998338036,0,0.21800000000000003,59769,70,14,1.0,1135.0124454691284,False,0.14379833979895287,0,0.2,52701,0,14,0.0,657.9999999999999,False,0.005288999260677523,0.3625,269085,0.0,0.0,10,0,0,8,10,9.294117647058822,16,24,24,120.0,42.0,11,8,24,623,1.0603784779668786,31.992308952263556
21,24,0,0,0,10.000000000000002,20,10.0,18.93173035350886,33,14.575757575757576,32.07784942917363,18,48.888888888888886,6.77509380440293,19,6.578947368421052,47.0,9,47.0,0,0.42500000000000004,24421,0,12,0.8,227.18076424210633,False,0.17294977205722867,28,1.6950000000000003,15660,231,0,0.0,2310.0000000000005,False,-0.19610842855093943,0,1.3520000000000003,24234,99,0,0.0,1874.2413049973773,False,-0.17189364875316857,0,0.281,32591,101,44,1.0,3323.5301405880346,False,0.12688396730800156,8,1.7470000000000003,26442.0,152,0,0.0,4875.833113234392,False,-0.2816119858556455,11,1.3090000000000002,31632,126,0,0.0,4041.8090280758774,False,-0.16288389557379324,0,0.21800000000000003,60067,79,15,1.0,1240.2324105478315,False,0.15044484853886972,0,0.2,52701,0,14,0.0,658.0,False,0.005288999260677523,0.35,267748,0.0,0.0,13,0,0,11,7,7.0,17,28,26,160.0,60.0,14,10,26,1658,1.170520531013608,33.162829483277164
22,26,0,0,0,10.000000000000002,20,10.0,19.609471197257214,35,22.885714285714286,32.77590839922298,7,44.142857142857146,7.081051162629381,21,8.571428571428571,47.0,9,47.0,0,0.42500000000000004,24709,0,10,0.8,196.09471197257216,False,0.18597539589741777,25,1.9170000000000003,15290,243,0,0.0,2430.0000000000005,False,-0.2109289094994502,0,1.3520000000000003,23866,109,0,0.0,2137.4323605010363,False,-0.1796711350095237,0,0.281,32467,116,47,1.0,3815.166353645317,False,0.13089166919406028,15,1.8890000000000002,25794.0,152,0,0.0,4981.938076681892,False,-0.29641130722268233,6,1.358,31119,133,0,0.0,4359.195817096656,False,-0.17169727348701955,0,0.21800000000000003,60310,90,16,1.0,1389.2946046366442,False,0.15646428128980153,0,0.2,52701,0,14,0.0,658.0,False,0.005288999260677523,0.35,266256,0.0,0.0,14,0,0,13,6,6.0,20,33,26,226.0,54.0,19,7,26,1300,1.1710303879808635,34.33385987125803
23,26,0,0,0,10.000000000000002,20,10.0,18.408905798229473,26,9.923076923076923,34.53977774082426,11,52.0,7.081051162629381,0,,47.0,9,47.0,0,0.42500000000000004,24599,1,20,1.0,378.17811596458944,False,0.18506903752843598,26,2.1520000000000006,14696,252,0,0.0,2520.0000000000005,False,-0.2371755031792322,0,1.3520000000000003,23866,109,0,0.0,2006.5707320070126,False,-0.18182374766405096,0,0.281,32781,132,46,1.0,4018.8053414442065,False,0.14457174202928363,0,1.8740000000000003,25794.0,152,0,0.0,5250.046216605288,False,-0.29307671181556066,0,1.3520000000000003,30547,144,0,0.0,4973.727994678694,False,-0.17828253035150013,0,0.21800000000000003,60733,80,17,1.0,1365.4840930103505,False,0.16425739884561766,0,0.2,52701,0,14,0.0,658.0,False,0.005288999260677523,0.375,265717,0.0,0.0,10,0,0,8,3,3.0,19,27,25,183.0,60.0,15,11,25,1195,1.1318967620027252,35.46575663326075
24,25,0,0,0,10.000000000000002,20,10.0,17.555544896912007,20,9.500000000000002,36.07102286242272,11,51.09090909090909,7.081051162629381,0,,46.99999999999999,10,47.0,0,0.42500000000000004,24629,2,25,1.0,458.88862242280015,False,0.18843258169007976,15,2.2760000000000007,14238,261,0,0.0,2610.0000000000005,False,-0.2569202084428933,0,1.3520000000000003,23866,109,0,0.0,1913.5543937634088,False,-0.1833538229740195,0,0.281,33153,142,45,1.0,4116.0834041705275,False,0.15841037314400783,0,1.874,25794.0,152,0,0.0,5482.795475088254,False,-0.29018189255132637,0,1.3520000000000003,29985,155,0,0.0,5591.008543675522,False,-0.18458485431114252,0,0.21800000000000003,61203,70,17,1.0,1294.6735813840564,False,0.17249600558647277,0,0.2,52701,0,14,0.0,657.9999999999999,False,0.005288999260677523,0.375,265569,0.0,0.0,13,0,0,10,4,4.0,19,29,22,230.0,36.0,18,7,22,1372,1.054019413946662,36.519776047207415
