index,n_registered_negotiations_before,n_contracts_dropped,n_contracts_nullified_now,n_bankrupt,trading_price_0,sold_quantity_0,unit_price_0,trading_price_1,sold_quantity_1,unit_price_1,trading_price_2,sold_quantity_2,unit_price_2,trading_price_3,sold_quantity_3,unit_price_3,trading_price_4,sold_quantity_4,unit_price_4,spot_market_quantity_00Ran@0,spot_market_loss_00Ran@0,balance_00Ran@0,inventory_00Ran@0_input,inventory_00Ran@0_output,productivity_00Ran@0,assets_00Ran@0,bankrupt_00Ran@0,score_00Ran@0,spot_market_quantity_01Buy@0,spot_market_loss_01Buy@0,balance_01Buy@0,inventory_01Buy@0_input,inventory_01Buy@0_output,productivity_01Buy@0,assets_01Buy@0,bankrupt_01Buy@0,score_01Buy@0,spot_market_quantity_02Ind@1,spot_market_loss_02Ind@1,balance_02Ind@1,inventory_02Ind@1_input,inventory_02Ind@1_output,productivity_02Ind@1,assets_02Ind@1,bankrupt_02Ind@1,score_02Ind@1,spot_market_quantity_03Ran@1,spot_market_loss_03Ran@1,balance_03Ran@1,inventory_03Ran@1_input,inventory_03Ran@1_output,productivity_03Ran@1,assets_03Ran@1,bankrupt_03Ran@1,score_03Ran@1,spot_market_quantity_04MyA@2,spot_market_loss_04MyA@2,balance_04MyA@2,inventory_04MyA@2_input,inventory_04MyA@2_output,productivity_04MyA@2,assets_04MyA@2,bankrupt_04MyA@2,score_04MyA@2,spot_market_quantity_05Dec@2,spot_market_loss_05Dec@2,balance_05Dec@2,inventory_05Dec@2_input,inventory_05Dec@2_output,productivity_05Dec@2,assets_05Dec@2,bankrupt_05Dec@2,score_05Dec@2,spot_market_quantity_06Dec@3,spot_market_loss_06Dec@3,balance_06Dec@3,inventory_06Dec@3_input,inventory_06Dec@3_output,productivity_06Dec@3,assets_06Dec@3,bankrupt_06Dec@3,score_06Dec@3,spot_market_quantity_07Dec@3,spot_market_loss_07Dec@3,balance_07Dec@3,inventory_07Dec@3_input,inventory_07Dec@3_output,productivity_07Dec@3,assets_07Dec@3,bankrupt_07Dec@3,score_07Dec@3,productivity,market_size,production_failures,bankruptcy,n_contracts_executed,n_contracts_erred,n_contracts_nullified,n_contracts_cancelled,n_breaches,breach_level,n_contracts_signed,n_contracts_concluded,n_negotiations,n_negotiation_rounds_successful,n_negotiation_rounds_failed,n_negotiation_successful,n_negotiation_failed,n_registered_negotiations_after,activity_level,step_time,total_time
10,25,0,0,0,10.000000000000002,20,10.0,8.97973289561076,10,5.1,16.03357023411436,22,16.81818181818182,48.435628958464726,10,58.0,51.99999999999999,20,52.0,5,0.5740000000000001,15721,108,0,0.0,1080.0000000000002,False,-0.0712245830477496,5,0.7270000000000001,15732,112,0,0.0,1120.0000000000002,False,-0.06945396390221613,0,0.2,33501,0,53,1.0,849.7792224080612,False,0.032374463246425386,17,1.1440000000000001,29238,13,0,0.0,116.73652764293988,False,-0.10850318715168066,0,0.2,46422,0,0,0.0,0.0,False,0.019793062542562773,0,0.2,45920,42,38,1.0,2513.9638502544626,False,0.03637841710698875,7,0.5760000000000001,57915,0,5,0.5,259.99999999999994,False,-0.014867364776565231,5,0.6820000000000002,57798,0,5,0.5,259.99999999999994,False,-0.016853074455627025,0.375,302247,0.0,0.0,8,0,0,12,10,9.2,12,24,17,187.0,90.0,14,11,17,1193,1.3988974430249073,19.77627382503124
11,17,0,0,0,10.000000000000002,20,10.0,8.689453556752426,8,6.0,13.932616009791483,20,3.0,48.435628958464726,0,,51.99999999999999,20,52.0,3,0.5990000000000001,15587,116,0,0.0,1160.0000000000002,False,-0.07659355723098012,5,0.7720000000000002,15562,124,0,0.0,1240.0000000000002,False,-0.07573680603152845,0,0.2,33453,0,61,0.8,849.8895765972804,False,0.03091548865859176,20,1.327,28404,13,0,0.0,112.96289623778154,False,-0.13393946052830347,0,0.2,46422,0,0,0.0,0.0,False,0.019793062542562773,0,0.2,45860,52,48,1.0,3049.406222515464,False,0.040941611811202115,6,0.6290000000000002,58115,0,0,0.0,0.0,False,-0.013679333344647918,4,0.7170000000000001,58018,0,0,0.0,0.0,False,-0.015325605471733337,0.225,301421,0.0,0.0,8,0,0,4,9,9.0,16,20,15,125.0,66.0,10,7,15,720,1.1763851559953764,20.952658981026616
12,15,0,0,0,10.000000000000002,20,10.0,8.556902493223072,14,7.857142857142857,13.845824279685147,2,9.0,49.7289940086012,10,58.0,51.99999999999999,20,52.0,5,0.6460000000000001,15397,126,0,0.0,1260.0000000000002,False,-0.0845899017591958,9,0.857,15380,134,0,0.0,1340.0000000000002,False,-0.08327621658670323,0,0.2,33403,0,71,1.0,983.0535238576454,False,0.031420082829067636,2,1.327,28294,17,0,0.0,145.46734238479223,False,-0.1367922320250625,0,0.2,46422,0,0,0.0,0.0,False,0.019793062542562773,0,0.2,46422,44,48,1.0,2996.207980719004,False,0.05270323565737794,12,0.7430000000000001,57581,0,5,0.5,259.99999999999994,False,-0.020535971894570695,8,0.7930000000000001,57609,0,5,0.5,259.99999999999994,False,-0.020060759321803772,0.375,300508,0.0,0.0,7,0,0,4,9,9.0,14,18,13,129.0,63.0,9,6,13,780,0.9104425479890779,21.863101529015694
13,13,0,0,0,10.000000000000002,20,10.0,8.583240488675635,5,9.0,15.197027401638351,9,30.555555555555557,50.8094007403068,10,58.0,52.0,20,52.0,0,0.6410000000000001,15307,135,0,0.0,1350.0000000000002,False,-0.08716015535755084,5,0.8980000000000001,15220,145,0,0.0,1450.0000000000002,False,-0.08927347498286498,0,0.2,33633,0,67,0.5,1018.2008359097696,False,0.038953819547041676,0,1.3250000000000002,28294,17,0,0.0,145.9150883074858,False,-0.13678541950721984,0,0.2,46422,0,0,0.0,0.0,False,0.019793062542562773,0,0.2,46727,43,48,1.0,3092.3234138051757,False,0.06045916625079829,7,0.8010000000000002,57165,0,10,1.0,520.0,False,-0.025389928887832862,3,0.8150000000000002,57839,0,0,0.0,0.0,False,-0.018363571561921897,0.3125,300607,0.0,0.0,10,0,0,2,4,3.5,15,17,13,91.0,66.0,6,7,13,1419,0.9932475779787637,22.856349106994458
14,13,0,0,0,10.000000000000002,20,10.0,8.049634350470344,8,3.0,14.623212338636609,12,9.833333333333334,50.8094007403068,0,,52.0,20,52.0,8,0.7210000000000001,15079,145,0,0.0,1450.0000000000002,False,-0.09732693625771076,0,0.893,15120,155,0,0.0,1550.0000000000002,False,-0.09212931231437058,0,0.2,33609,0,75,0.8,1096.7409253977457,False,0.03941849134863601,12,1.4450000000000003,27950,17,0,0.0,136.84378395799584,False,-0.14739145846330118,0,0.2,46422,0,0,0.0,0.0,False,0.019793062542562773,0,0.2,46609,45,58,1.0,3604.9897981764416,False,0.06349805362554027,0,0.7940000000000003,57685,0,0,0.0,0.0,False,-0.020977240712139984,10,0.9120000000000001,57666,0,0,0.0,0.0,False,-0.021299706386517542,0.225,300140,0.0,0.0,8,0,0,5,7,7.0,14,19,14,93.0,53.0,7,6,14,720,1.0604708929895423,23.916819999984
15,14,0,0,0,10.000000000000002,20,10.0,7.75392319752328,7,4.571428571428571,14.623212338636609,0,,50.8094007403068,0,,52.0,20,52.0,7,0.7830000000000001,14870,155,0,0.0,1550.0000000000002,False,-0.10640849897189857,0,0.893,15020,165,0,0.0,1650.0000000000002,False,-0.09498514964587618,0,0.2,33599,0,80,0.5,1169.8569870909287,False,0.040226659775590756,0,1.4330000000000003,27928,19,0,0.0,147.3245407529423,False,-0.14790145851206654,0,0.2,46422,0,0,0.0,0.0,False,0.019793062542562773,0,0.2,46609,35,68,1.0,3966.851682193144,False,0.06747272338253928,9,0.8840000000000001,57579,0,0,0.0,0.0,False,-0.02277625973761477,11,1.012,57481,0,0,0.0,0.0,False,-0.024439503742299012,0.1875,299508,0.0,0.0,6,0,0,6,6,6.0,13,19,14,127.0,47.0,8,6,14,200,1.1421035100356676,25.058923510019667
16,14,0,0,0,10.000000000000002,20,10.0,7.530394930042294,35,7.057142857142857,15.867961687315383,5,41.0,51.720767162862984,10,58.0,52.0,20,52.0,9,0.8660000000000001,14617,165,0,0.0,1650.0000000000002,False,-0.11800319853781129,26,1.1530000000000002,14570,175,0,0.0,1750.0000000000002,False,-0.11783184829792095,0,0.2,33557,25,85,1.0,1537.036616672865,False,0.04453527808217491,0,1.4330000000000003,27928,19,0,0.0,143.0775036708036,False,-0.1479660777848153,0,0.2,46422,0,0,0.0,0.0,False,0.019793062542562773,0,0.2,46984,30,68,1.0,3993.0510176941443,False,0.07599845145860314,3,0.9050000000000002,57549,0,0,0.0,0.0,False,-0.023285416065579333,17,1.171,56493,0,10,1.0,520.0,False,-0.03679503063423906,0.375,298120,0.0,0.0,8,0,0,9,7,7.0,11,20,17,119.0,28.0,10,4,17,985,1.6462159299990162,26.705139440018684
17,17,0,0,0,10.000000000000002,20,10.0,7.553148983007203,5,8.0,17.254523324899044,7,36.142857142857146,50.37426564752718,15,44.0,52.0,20,52.0,0,0.857,14497,177,0,0.0,1770.0000000000002,False,-0.121430203335618,5,1.1770000000000003,14435,183,0,0.0,1830.0000000000002,False,-0.12325793922778158,0,0.2,33722,20,90,1.0,1703.970078901058,False,0.052096191328906534,2,1.453,27908,19,0,0.0,143.50983067713685,False,-0.14856810555235317,0,0.2,46422,0,0,0.0,0.0,False,0.019793062542562773,0,0.2,47391,27,63,1.0,3639.4508655664868,False,0.08105545644391032,12,1.022,57027,0,5,0.5,260.0,False,-0.029938392084316288,0,1.1540000000000004,56529,0,12,1.0,624.0,False,-0.03530150540554301,0.4375,297931,0.0,0.0,10,0,0,12,5,5.0,13,25,23,170.0,43.0,13,4,23,1481,1.721889969019685,28.42702940903837
18,23,0,0,0,10.000000000000002,20,10.0,7.317772688508777,9,4.888888888888889,16.360812890209175,12,9.5,51.61209870893178,15,58.0,52.0,20,52.0,4,0.897,14312,188,0,0.0,1880.0000000000002,False,-0.12885538039753255,5,1.2220000000000002,14290,192,0,0.0,1920.0000000000005,False,-0.12896961389079278,0,0.2,33753,19,95,1.0,1693.3149056515383,False,0.05287741016449911,7,1.5210000000000004,27694,19,0,0.0,139.03768108166676,False,-0.1551482307668178,0,0.2,46422,0,0,0.0,0.0,False,0.019793062542562773,0,0.2,48147,29,58,1.0,3467.9652989341093,False,0.0957795885298446,5,1.0600000000000003,56932,0,5,0.5,260.0,False,-0.03155072045620407,0,1.1540000000000004,56469,0,12,1.0,624.0,False,-0.036319818061472144,0.4375,298019,0.0,0.0,13,0,0,13,7,6.5,16,29,27,258.0,72.0,19,4,27,1821,1.6993066979921423,30.12633610703051
19,27,0,0,0,10.000000000000002,20,10.0,7.089836447469642,10,5.0,19.358737761467804,42,26.047619047619047,52.29773533361623,10,58.0,52.0,20,52.0,5,0.9430000000000001,14092,201,0,0.0,2010.0000000000005,False,-0.1377084761251999,5,1.2670000000000001,14170,199,0,0.0,1990.0000000000005,False,-0.1338245373543523,0,0.2,34468,19,80,1.0,1683.4059134193476,False,0.07448429665600621,17,1.684,27373,19,0,0.0,134.7068925019232,False,-0.16498224556475677,0,0.2,46422,0,0,0.0,0.0,False,0.019793062542562773,0,0.2,47633,61,58,1.0,4214.151652799277,False,0.09268416393312184,7,1.1250000000000002,57092,0,0,0.0,0.0,False,-0.031041564128239506,0,1.1540000000000004,56305,0,14,1.0,728.0,False,-0.038220668352539844,0.375,297555,0.0,0.0,11,0,0,12,6,5.666666666666667,18,30,28,244.0,84.0,19,8,28,2117,1.5582052379613742,31.684541344991885
20,28,0,0,0,10.000000000000002,20,10.0,7.811237634961998,16,11.9375,19.378010407862163,7,19.714285714285715,52.61862557991736,5,58.0,52.0,0,,1,0.9480000000000002,13944,214,0,0.0,2140.0000000000005,False,-0.1424491660954992,15,1.4120000000000001,13965,206,0,0.0,2060.0000000000005,False,-0.14353438428147133,0,0.2,34427,15,90,1.0,1861.1895012320247,False,0.07594165755632692,7,1.737,27117,29,0,0.0,226.52589141389794,False,-0.17137535920799254,0,0.2,46422,0,0,0.0,0.0,False,0.019793062542562773,0,0.2,47785,58,63,1.0,4438.898015190799,False,0.09849188303410299,0,1.118,57092,0,0,0.0,0.0,False,-0.031041564128239506,0,1.1540000000000004,56015,0,19,0.5,988.0,False,-0.04093616876835084,0.3125,296767,0.0,0.0,6,0,0,11,5,5.0,21,32,23,232.0,99.0,20,8,23,490,1.6874840089585632,33.37202535395045
21,23,0,0,0,10.000000000000002,20,10.0,7.795060078615091,7,7.571428571428571,18.766553574880263,4,1.0,52.61862557991736,0,,52.0,0,,2,0.9670000000000001,13824,223,0,0.0,2230.0000000000005,False,-0.1467329220927576,5,1.4470000000000003,13805,217,0,0.0,2170.0000000000005,False,-0.14953164267763308,0,0.2,34374,12,100,1.0,1970.1960784314074,False,0.07598740305567851,4,1.7700000000000002,26985,29,0,0.0,226.05674227983764,False,-0.17539929489562664,0,0.2,46422,0,0,0.0,0.0,False,0.019793062542562773,0,0.2,47781,52,73,1.0,4817.02045322774,False,0.10255728623303247,0,1.118,57092,0,0,0.0,0.0,False,-0.031041564128239506,0,1.1540000000000004,56015,0,19,0.0,988.0,False,-0.04093616876835084,0.25,296298,0.0,0.0,5,0,0,9,3,3.0,17,26,19,173.0,100.0,14,9,19,200,1.4393247760017402,34.81135012995219
22,19,0,0,0,10.000000000000002,20,10.0,7.899998403584237,18,8.444444444444445,18.008253897367617,6,4.333333333333333,52.61862557991736,0,,52.0,0,,12,1.0850000000000002,13604,230,0,0.0,2300.0000000000005,False,-0.1572995202193283,6,1.502,13615,230,0,0.0,2300.0000000000005,False,-0.15667123600639707,0,0.2,34312,10,110,1.0,2059.90791274628,False,0.07546570374210754,6,1.8260000000000003,26709,39,0,0.0,308.0999377397853,False,-0.1825497544619959,0,0.2,46422,0,0,0.0,0.0,False,0.019793062542562773,0,0.2,47755,48,83,1.0,5231.7421102067865,False,0.10654139968593385,0,1.118,57092,0,0,0.0,0.0,False,-0.031041564128239506,0,1.1540000000000004,56015,0,19,0.0,988.0,False,-0.04093616876835084,0.25,295524,0.0,0.0,5,0,0,7,5,5.0,12,19,17,117.0,74.0,8,11,17,200,0.8651187000214122,35.6764688299736
23,17,0,0,0,10.000000000000002,20,10.0,8.00917535944389,6,9.833333333333334,17.836310759019426,2,9.0,52.61862557991736,0,,52.0,0,,0,1.0730000000000004,13504,240,0,0.0,2400.0000000000005,False,-0.1601553575508339,6,1.5560000000000005,13456,240,0,0.0,2400.0000000000005,False,-0.16289696138907928,0,0.2,34267,5,120,1.0,2180.403167879551,False,0.07592969338262368,2,1.8400000000000003,26645,40,0,0.0,320.3670143777556,False,-0.18431064733768857,0,0.2,46422,0,0,0.0,0.0,False,0.019793062542562773,0,0.2,47737,40,93,1.0,5606.984609293091,False,0.11026761944259898,0,1.1180000000000003,57092,0,0,0.0,0.0,False,-0.031041564128239506,0,1.1540000000000004,56015,0,19,0.0,988.0,False,-0.04093616876835084,0.25,295138,0.0,0.0,6,0,0,5,3,3.0,12,17,19,103.0,70.0,7,10,19,200,1.7208095269743353,37.397278356947936
24,19,0,0,0,10.000000000000002,20,10.0,7.872130049391885,7,6.0,17.836310759019426,0,,50.33046521805363,9,30.0,52.0,0,,2,1.0930000000000002,13368,250,0,0.0,2500.0000000000005,False,-0.16506739776102353,5,1.6000000000000003,13301,250,0,0.0,2500.0000000000005,False,-0.16889421978524102,0,0.2,34225,2,130,1.0,2334.464658771309,False,0.07699568892293998,0,1.8380000000000003,26645,40,0,0.0,314.8852019756754,False,-0.1843940538924035,0,0.2,46422,0,0,0.0,0.0,False,0.019793062542562773,0,0.2,48007,30,94,1.0,5266.153053267624,False,0.11245527397539186,0,1.1180000000000003,56902,0,5,0.5,260.0,False,-0.032059876784168634,0,1.1540000000000004,55935,0,23,0.4,1196.0,False,-0.040528843705979194,0.3625,294805,0.0,0.0,7,0,0,4,2,2.0,14,18,18,103.0,69.0,7,12,18,470,0.9535499479970895,38.350828304945026
25,18,0,0,0,10.000000000000002,20,10.0,7.454775740086344,10,3.6,16.296354285161947,21,9.380952380952381,50.66369649278301,5,56.0,52.0,0,,10,1.191,13050,264,0,0.0,2640.0000000000005,False,-0.1792323509252913,0,1.5950000000000002,13241,256,0,0.0,2560.0000000000005,False,-0.17060772218414438,0,0.2,34343,1,135,1.0,2207.462604236949,False,0.07865410815283533,16,1.9980000000000002,26036,41,0,0.0,305.6458053435401,False,-0.2030666757144492,0,0.2,46422,0,0,0.0,0.0,False,0.019793062542562773,0,0.2,48090,41,99,1.0,5683.856478477158,False,0.11886663823814458,0,1.1180000000000003,56622,0,10,0.5,520.0,False,-0.034605658423991444,0,1.1540000000000004,55935,0,23,0.0,1196.0,False,-0.040528843705979194,0.3125,293739,0.0,0.0,8,0,0,8,6,6.0,12,20,21,152.0,72.0,9,9,21,620,1.140538909996394,39.49136721494142
