index,n_registered_negotiations_before,n_contracts_dropped,n_contracts_nullified_now,n_bankrupt,trading_price_0,sold_quantity_0,unit_price_0,trading_price_1,sold_quantity_1,unit_price_1,trading_price_2,sold_quantity_2,unit_price_2,trading_price_3,sold_quantity_3,unit_price_3,trading_price_4,sold_quantity_4,unit_price_4,spot_market_quantity_00Dec@0,spot_market_loss_00Dec@0,balance_00Dec@0,inventory_00Dec@0_input,inventory_00Dec@0_output,productivity_00Dec@0,assets_00Dec@0,bankrupt_00Dec@0,score_00Dec@0,spot_market_quantity_01Buy@0,spot_market_loss_01Buy@0,balance_01Buy@0,inventory_01Buy@0_input,inventory_01Buy@0_output,productivity_01Buy@0,assets_01Buy@0,bankrupt_01Buy@0,score_01Buy@0,spot_market_quantity_02Buy@1,spot_market_loss_02Buy@1,balance_02Buy@1,inventory_02Buy@1_input,inventory_02Buy@1_output,productivity_02Buy@1,assets_02Buy@1,bankrupt_02Buy@1,score_02Buy@1,spot_market_quantity_03Dec@1,spot_market_loss_03Dec@1,balance_03Dec@1,inventory_03Dec@1_input,inventory_03Dec@1_output,productivity_03Dec@1,assets_03Dec@1,bankrupt_03Dec@1,score_03Dec@1,spot_market_quantity_04Buy@2,spot_market_loss_04Buy@2,balance_04Buy@2,inventory_04Buy@2_input,inventory_04Buy@2_output,productivity_04Buy@2,assets_04Buy@2,bankrupt_04Buy@2,score_04Buy@2,spot_market_quantity_05Ran@2,spot_market_loss_05Ran@2,balance_05Ran@2,inventory_05Ran@2_input,inventory_05Ran@2_output,productivity_05Ran@2,assets_05Ran@2,bankrupt_05Ran@2,score_05Ran@2,spot_market_quantity_06Ind@3,spot_market_loss_06Ind@3,balance_06Ind@3,inventory_06Ind@3_input,inventory_06Ind@3_output,productivity_06Ind@3,assets_06Ind@3,bankrupt_06Ind@3,score_06Ind@3,spot_market_quantity_07MyA@3,spot_market_loss_07MyA@3,balance_07MyA@3,inventory_07MyA@3_input,inventory_07MyA@3_output,productivity_07MyA@3,assets_07MyA@3,bankrupt_07MyA@3,score_07MyA@3,productivity,market_size,production_failures,bankruptcy,n_contracts_executed,n_contracts_erred,n_contracts_nullified,n_contracts_cancelled,n_breaches,breach_level,n_contracts_signed,n_contracts_concluded,n_negotiations,n_negotiation_rounds_successful,n_negotiation_rounds_failed,n_negotiation_successful,n_negotiation_failed,n_registered_negotiations_after,activity_level,step_time,total_time
10,12,0,0,0,10.000000000000002,20,10.0,23.76599663405121,50,23.2,24.1177720974235,12,25.75,15.730336538503044,14,17.428571428571427,43.99999999999999,11,44.0,6,0.28700000000000003,29501,1,10,1.0,247.65996634051209,False,0.06483699303296996,15,1.2140000000000002,26018,115,0,0.0,1150.0000000000002,False,-0.04413931921929478,7,1.0530000000000004,33042,31,0,0.0,736.7458956555874,False,-0.07025537921725904,0,0.21800000000000003,33008,118,25,1.0,3407.33190525363,False,-0.03404296778553465,14,0.6910000000000001,44698,66,0,0.0,1591.7729584299511,False,-0.038082535591183506,0,0.7940000000000003,42693,70,0,0.0,1688.244046819645,False,-0.07945613651739461,0,0.2,61041,22,24,1.0,1402.0674038470668,False,0.04030385344437288,0,0.2,59273,0,7,0.0,307.99999999999994,False,0.0012973883740522326,0.375,329274,0.0,0.0,9,0,0,11,6,5.24,7,18,15,137.0,23.0,8,4,15,1209,0.7475836696103215,14.010700066573918
11,15,0,0,0,10.000000000000002,20,10.0,23.05538044356266,57,20.964912280701753,27.822390952290917,46,36.0,15.730336538503044,0,,43.999999999999986,5,44.0,7,0.3510000000000001,29716,3,10,1.0,260.5538044356266,False,0.07279669681959004,40,1.5990000000000002,25143,123,0,0.0,1230.0000000000002,False,-0.07415261852557421,10,1.1460000000000001,32411,48,0,0.0,1106.6582612910079,False,-0.08266789674007216,11,0.32800000000000007,33385,148,10,1.0,3690.4202151701834,False,-0.019612909208707525,0,0.6770000000000002,43270,103,0,0.0,2865.7062680859644,False,-0.054808052985664796,0,0.794,42465,79,0,0.0,2197.9688852309823,False,-0.07888816063821781,0,0.2,61261,12,29,1.0,1464.764038462036,False,0.044538871427649805,0,0.2,59273,0,7,0.0,307.9999999999999,False,0.0012973883740522326,0.375,326924,0.0,0.0,7,0,0,8,9,7.766603415559772,12,20,17,160.0,35.0,11,4,17,625,0.8522281423211098,14.862928208895028
12,17,0,0,0,10.000000000000002,20,10.0,22.92946904416298,36,22.22222222222222,27.181592341941496,6,13.0,15.805160134642312,2,19.0,43.999999999999986,13,44.0,10,0.44400000000000006,29986,5,10,1.0,279.29469044162977,False,0.08283840786531094,16,1.7190000000000005,24728,131,0,0.0,1310.0000000000002,False,-0.08763164516013083,6,1.1960000000000002,31977,58,0,0.0,1329.9092045614527,False,-0.09163894247166478,0,0.31700000000000006,32905,164,20,1.0,4304.064770081559,False,-0.02443210282340948,2,0.6970000000000003,43144,109,0,0.0,2962.7935652716233,False,-0.05644578110506791,0,0.794,42465,79,0,0.0,2147.345795013378,False,-0.07942334501518793,0,0.2,61795,4,26,1.0,1207.220640538569,False,0.051366643980948326,0,0.2,59273,0,7,0.0,307.9999999999999,False,0.0012973883740522326,0.375,326273,0.0,0.0,9,0,0,8,6,6.0,13,21,14,182.0,45.0,11,6,14,1092,0.8945676097646356,15.757495818659663
13,14,0,0,0,10.000000000000002,20,10.0,22.47335548223841,8,10.25,26.824070639767314,19,24.473684210526315,14.796321157098522,13,8.692307692307692,43.999999999999986,9,44.0,0,0.43400000000000005,29956,4,14,1.0,354.62697675133774,False,0.08311396025936049,2,1.7230000000000003,24590,142,0,0.0,1420.0000000000002,False,-0.09061500305524604,9,1.2800000000000002,31824,58,0,0.0,1303.4546179698277,False,-0.09626471938263768,0,0.31700000000000006,33153,162,20,1.0,4177.165000917968,False,-0.019296438000306497,5,0.7450000000000001,42669,123,0,0.0,3299.3606886913794,False,-0.06293095793750526,8,0.8740000000000001,41988,84,0,0.0,2253.2219337404545,False,-0.08838966134115178,0,0.2,62078,7,27,1.0,1291.5742480996892,False,0.05684561287362835,0,0.2,59273,0,7,0.0,307.9999999999999,False,0.0012973883740522326,0.375,325531,0.0,0.0,10,0,0,6,7,7.0,8,14,14,81.0,47.0,6,8,14,986,0.8066767137497663,16.56417253240943
14,14,0,0,0,10.000000000000002,20,10.0,22.47335548223841,0,,26.824070639767314,0,,14.945737910045073,6,17.0,43.999999999999986,11,44.0,0,0.43400000000000005,29806,9,24,1.0,629.3605315737218,False,0.08265987080934765,0,1.7210000000000005,24540,147,0,0.0,1470.0000000000002,False,-0.09151360483088315,0,1.2710000000000001,31824,58,0,0.0,1303.4546179698277,False,-0.09626471938263768,0,0.31700000000000006,33153,152,30,1.0,4220.672152493258,False,-0.01869107899689348,6,0.8,42497,123,0,0.0,3299.3606886913794,False,-0.06656770600812584,0,0.8660000000000001,41988,84,0,0.0,2253.2219337404545,False,-0.08838966134115178,0,0.2,62460,3,26,1.0,1188.8372137301349,False,0.06241648874246111,0,0.2,59273,0,7,0.0,307.9999999999999,False,0.0012973883740522326,0.375,325541,0.0,0.0,7,0,0,7,2,2.0,12,19,12,135.0,27.0,9,5,12,684,0.7325149616226554,17.296687494032085
15,12,0,0,0,10.000000000000002,20,10.0,22.416317329293534,1,11.0,26.82934125027486,4,27.0,14.65897429213142,21,13.571428571428571,43.99999999999999,11,44.0,0,0.43400000000000005,29716,8,34,1.0,842.1547891959801,False,0.08324925037194886,1,1.731,24416,158,0,0.0,1580.0000000000002,False,-0.09399374573164157,0,1.2710000000000001,31824,58,0,0.0,1300.146405099025,False,-0.09631074989426708,0,0.31700000000000006,33250,143,36,1.0,4171.38966309887,False,-0.01667747790317414,15,0.9440000000000002,41984,123,0,0.0,3300.008973783808,False,-0.07740766493515368,6,0.9260000000000002,41626,88,0,0.0,2360.9820300241877,False,-0.09490451390184813,0,0.2,62659,14,25,1.0,1305.2256400898395,False,0.0667500053925007,0,0.2,59273,0,7,0.0,307.99999999999994,False,0.0012973883740522326,0.375,324748,0.0,0.0,8,0,0,9,7,7.0,8,17,11,109.0,21.0,7,5,11,792,0.7286136606708169,18.025301154702902
16,11,0,0,0,10.000000000000002,20,10.0,23.209524923410953,21,30.047619047619047,26.82934125027486,0,,14.970689245009698,8,18.5,43.999999999999986,12,44.0,0,0.43400000000000005,30226,9,24,1.0,647.0285981618629,False,0.09807391176021468,1,1.7400000000000002,24312,167,0,0.0,1670.0000000000002,False,-0.09611444592214514,0,1.2710000000000001,31514,68,0,0.0,1578.247694791945,False,-0.10106793245036952,0,0.31700000000000006,32929,144,46,1.0,4576.321286483821,False,-0.01997605000022522,8,1.0090000000000001,41752,123,0,0.0,3300.008973783808,False,-0.08231304605366516,0,0.9200000000000002,41626,88,0,0.0,2360.9820300241877,False,-0.09490451390184813,0,0.2,63039,12,23,1.0,1191.6482709401162,False,0.07219585737944496,0,0.2,59273,0,7,0.0,307.9999999999999,False,0.0012973883740522326,0.375,324671,0.0,0.0,10,0,0,6,4,4.0,9,15,7,99.0,15.0,6,5,7,1348,0.7198233930394053,18.745124547742307
17,7,0,0,0,10.000000000000002,20,10.0,24.001340827289685,16,33.0,29.455867054594115,14,52.0,13.745572997655144,13,5.384615384615385,43.999999999999986,8,44.0,0,0.43400000000000005,30624,12,18,1.0,552.0241348912143,False,0.11067222844058834,0,1.7390000000000003,24242,174,0,0.0,1740.0000000000002,False,-0.0973724884080371,0,1.2710000000000001,30986,84,0,0.0,2016.1126294923336,False,-0.10966867080155376,0,0.31700000000000006,33657,134,42,1.0,4453.3260871497705,False,-0.0014286059948549203,0,1.0010000000000003,41752,123,0,0.0,3623.0716477150763,False,-0.0788976461812552,13,1.0500000000000003,40337,102,0,0.0,3004.4984395685997,False,-0.11535576234730305,0,0.2,63321,15,25,1.0,1306.1835949648266,False,0.07791224595589573,0,0.2,59273,0,7,0.0,307.9999999999999,False,0.0012973883740522326,0.375,324192,0.0,0.0,9,0,0,6,2,2.0,10,16,13,105.0,0.0,7,0,13,1808,0.7305662892758846,19.475690837018192
18,13,0,0,0,10.000000000000002,20,10.0,24.827537434524636,18,33.0,30.146666569141583,4,51.0,13.908493525933176,10,15.4,43.99999999999999,9,44.0,0,0.43400000000000005,31088,15,10,1.0,398.2753743452464,False,0.12458709921184084,0,1.7390000000000003,24172,181,0,0.0,1810.0000000000002,False,-0.09863053089392905,0,1.2710000000000004,30392,102,0,0.0,2532.408818321513,False,-0.119014765293982,0,0.31700000000000006,33861,124,48,1.0,4525.654637199851,False,0.005254690930845355,9,1.0910000000000002,41474,123,0,0.0,3708.0399880044147,False,-0.08387736559885386,1,1.0470000000000002,40091,106,0,0.0,3195.546656329008,False,-0.11853740716429845,0,0.2,63563,15,26,1.0,1352.6274028889975,False,0.08238102277075825,0,0.2,59273,0,7,0.0,307.99999999999994,False,0.0012973883740522326,0.375,323914,0.0,0.0,9,0,0,4,4,4.0,15,19,13,139.0,12.0,9,4,13,1394,0.7401999291032553,20.215890766121447
19,13,0,0,0,10.000000000000002,20,10.0,24.350483945811053,49,22.632653061224488,30.560942598195798,8,36.375,12.73273448750302,17,6.411764705882353,43.99999999999999,7,44.0,8,0.514,31376,13,10,1.0,373.50483945811055,False,0.13449381473451907,31,2.049000000000001,23568,193,0,0.0,1930.0000000000005,False,-0.11818410553179252,3,1.3010000000000002,30126,110,0,0.0,2678.553234039216,False,-0.12438356429610106,0,0.31700000000000006,33213,155,53,1.0,5394.054969305091,False,-0.0006949357269363399,4,1.1220000000000003,41218,127,0,0.0,3881.2397099708664,False,-0.0874591425100871,13,1.1760000000000002,39380,110,0,0.0,3361.7036858015376,False,-0.1318141062924037,0,0.2,63762,22,29,1.0,1556.1201587250662,False,0.08744835854022805,0,0.2,59273,0,7,0.0,307.99999999999994,False,0.0012973883740522326,0.375,321916,0.0,0.0,10,0,0,6,8,8.0,12,18,15,123.0,15.0,8,5,15,1041,0.7182769319042563,20.934167698025703
20,15,0,0,0,10.000000000000002,20,10.0,24.267489979077606,48,23.916666666666668,30.560942598195798,0,,12.489339475555694,24,11.5,44.0,11,44.0,10,0.6060000000000001,31627,10,10,1.0,342.67489979077607,False,0.14296169979135864,28,2.2980000000000005,23250,206,0,0.0,2060.0000000000005,False,-0.12727795550124008,0,1.298,29847,119,0,0.0,2887.831307510235,False,-0.12923568516056444,0,0.31700000000000006,32344,184,63,1.0,6390.5575398366145,False,-0.011012139420667595,11,1.2280000000000002,40932,127,0,0.0,3881.2397099708664,False,-0.09350629337170037,13,1.2930000000000001,38870,110,0,0.0,3361.7036858015376,False,-0.14259748719947632,0,0.2,63970,36,28,1.0,1681.6162211200049,False,0.09201024617624262,0,0.2,59273,0,7,0.0,308.0,False,0.0012973883740522326,0.375,320113,0.0,0.0,9,0,0,7,7,6.111111111111111,12,19,13,151.0,15.0,10,5,13,706,0.7891047596931458,21.72327245771885
21,13,0,0,0,10.000000000000002,20,10.0,24.267489979077606,0,,31.139091787480343,3,52.0,12.77389988717565,5,19.0,44.0,8,44.0,0,0.5960000000000001,31547,8,20,1.0,565.3497995815521,False,0.14408809531615593,0,2.2700000000000014,23130,218,0,0.0,2180.0000000000005,False,-0.12943459976276914,0,1.298,29847,119,0,0.0,2887.831307510235,False,-0.12923568516056444,0,0.31700000000000006,32500,174,70,1.0,6402.279681483127,False,-0.006507865848293814,5,1.2670000000000001,40812,127,0,0.0,3954.6646570100033,False,-0.0952673151812031,0,1.2800000000000002,38714,113,0,0.0,3518.7173719852785,False,-0.14423599353012714,0,0.2,64227,31,30,1.0,1715.9908965024451,False,0.09663008337407289,0,0.2,59273,0,7,0.0,308.0,False,0.0012973883740522326,0.375,320050,0.0,0.0,8,0,0,6,1,1.0,12,18,14,134.0,30.0,8,5,14,708,0.7113198405131698,22.43459229823202
22,14,0,0,0,10.000000000000002,20,10.0,24.267489979077606,0,,31.906795969784774,20,35.75,12.411178542497279,13,9.538461538461538,44.0,10,44.0,0,0.5960000000000001,31427,10,30,1.0,828.0246993723282,False,0.14449560942044368,0,2.270000000000001,23050,226,0,0.0,2260.0000000000005,False,-0.1308723626037885,0,1.298,29847,119,0,0.0,2887.831307510235,False,-0.12923568516056444,0,0.31700000000000006,33215,164,60,1.0,5894.276114755814,False,0.006320803043770968,4,1.3020000000000003,40131,142,0,0.0,4530.765027709438,False,-0.10357580053166893,9,1.37,38210,118,0,0.0,3765.0019244346036,False,-0.15228880511222534,0,0.2,64543,34,30,1.0,1741.9800704449076,False,0.10217337885800254,0,0.2,59273,0,7,0.0,308.0,False,0.0012973883740522326,0.375,319696,0.0,0.0,9,0,0,8,3,3.0,11,19,12,155.0,12.0,10,4,12,1355,0.7589106159284711,23.19350291416049
23,12,0,0,0,10.000000000000002,20,10.0,24.267489979077606,0,,32.3087595396093,5,41.0,12.411178542497279,0,,43.99999999999999,14,44.0,0,0.5960000000000001,31327,10,40,1.0,1070.6995991631043,False,0.14526256423498624,0,2.2700000000000005,22950,236,0,0.0,2360.0000000000005,False,-0.13266956615506273,0,1.2980000000000003,29847,119,0,0.0,2887.831307510235,False,-0.12923568516056444,0,0.31700000000000006,33420,154,65,1.0,5837.262826852555,False,0.01123226418328313,0,1.2980000000000003,39926,147,0,0.0,4749.387652322567,False,-0.10559903105695567,0,1.3610000000000002,38210,118,0,0.0,3812.433625673897,False,-0.15178735991464315,0,0.2,65159,24,26,1.0,1441.8682850199343,False,0.11002416415349571,0,0.2,59273,0,7,0.0,307.99999999999994,False,0.0012973883740522326,0.375,320112,0.0,0.0,8,0,0,6,0,0.0,9,15,14,95.0,18.0,6,6,14,1021,0.6315151676535606,23.82501808181405
24,14,0,0,0,10.000000000000002,20,10.0,24.267489979077606,0,,33.22231766025406,9,43.55555555555556,11.23706129964397,36,7.833333333333333,43.999999999999986,9,44.0,0,0.5960000000000001,31207,12,50,1.0,1333.3744989538802,False,0.14567007833927398,0,2.2700000000000005,22870,244,0,0.0,2440.0000000000005,False,-0.1341073289960821,0,1.2980000000000003,29847,119,0,0.0,2887.831307510235,False,-0.12923568516056444,0,0.31700000000000006,33812,144,66,1.0,5687.191522563943,False,0.02005275528821398,9,1.3880000000000003,39462,152,0,0.0,5049.7922843586175,False,-0.1122339329278083,27,1.6310000000000004,36433,122,0,0.0,4053.1227545509955,False,-0.18681549048999904,0,0.2,65273,50,27,1.0,1749.8530649821982,False,0.11453962144045654,0,0.2,59273,0,7,0.0,307.9999999999999,False,0.0012973883740522326,0.375,318177,0.0,0.0,9,0,0,6,9,9.0,10,16,13,93.0,49.0,6,8,13,988,0.7107146652415395,24.53573274705559
