index,n_registered_negotiations_before,n_contracts_dropped,n_contracts_nullified_now,n_bankrupt,trading_price_0,sold_quantity_0,unit_price_0,trading_price_1,sold_quantity_1,unit_price_1,trading_price_2,sold_quantity_2,unit_price_2,trading_price_3,sold_quantity_3,unit_price_3,spot_market_quantity_00MyA@0,spot_market_loss_00MyA@0,balance_00MyA@0,inventory_00MyA@0_input,inventory_00MyA@0_output,productivity_00MyA@0,assets_00MyA@0,bankrupt_00MyA@0,score_00MyA@0,spot_market_quantity_01Dec@0,spot_market_loss_01Dec@0,balance_01Dec@0,inventory_01Dec@0_input,inventory_01Dec@0_output,productivity_01Dec@0,assets_01Dec@0,bankrupt_01Dec@0,score_01Dec@0,spot_market_quantity_02Ind@1,spot_market_loss_02Ind@1,balance_02Ind@1,inventory_02Ind@1_input,inventory_02Ind@1_output,productivity_02Ind@1,assets_02Ind@1,bankrupt_02Ind@1,score_02Ind@1,spot_market_quantity_03Buy@1,spot_market_loss_03Buy@1,balance_03Buy@1,inventory_03Buy@1_input,inventory_03Buy@1_output,productivity_03Buy@1,assets_03Buy@1,bankrupt_03Buy@1,score_03Buy@1,spot_market_quantity_04Dec@2,spot_market_loss_04Dec@2,balance_04Dec@2,inventory_04Dec@2_input,inventory_04Dec@2_output,productivity_04Dec@2,assets_04Dec@2,bankrupt_04Dec@2,score_04Dec@2,spot_market_quantity_05Buy@2,spot_market_loss_05Buy@2,balance_05Buy@2,inventory_05Buy@2_input,inventory_05Buy@2_output,productivity_05Buy@2,assets_05Buy@2,bankrupt_05Buy@2,score_05Buy@2,productivity,market_size,production_failures,bankruptcy,n_contracts_executed,n_contracts_erred,n_contracts_nullified,n_contracts_cancelled,n_breaches,breach_level,n_contracts_signed,n_contracts_concluded,n_negotiations,n_negotiation_rounds_successful,n_negotiation_rounds_failed,n_negotiation_successful,n_negotiation_failed,n_registered_negotiations_after,activity_level,step_time,total_time
17,18,0,0,0,10.0,9,10.0,32.65241509889877,9,35.0,27.713081545069766,16,17.375,43.00000000000001,12,43.0,0,0.2,25044,0,0,0.0,0.0,False,0.021787025703794368,0,0.398,27677,0,30,0.9,979.5724529669632,False,0.1491956844750502,0,1.2260000000000002,32853,0,2,0.0,55.42616309013953,False,-0.06633974837308479,16,7.146000000000002,2904.0,96,0,0.0,3134.631849494282,False,-0.8730352975907334,0,0.3350000000000001,37746,393,40,1.0,12611.241047212417,False,-0.11760870693655813,12,1.562,39751,428,0,0.0,11861.19890128986,False,-0.08495884761242457,0.31666666666666665,165975,0.0,0.0,3,0,0,10,5,5.0,14,24,15,234.0,75.0,13,5,15,405,0.9755585029488429,28.042650296993088
18,15,0,0,0,10.0,12,10.0,32.999905431786594,22,34.45454545454545,27.409351291045475,21,21.047619047619047,43.0,11,43.0,0,0.2,25044,0,0,0.0,0.0,False,0.021787025703794368,0,0.398,28315,2,18,1.0,613.9982977721587,False,0.16776822312876702,0,1.2260000000000002,32581,0,10,0.8,274.09351291045476,False,-0.07095872003704952,21,7.340000000000002,1793.0,110,0,0.0,3629.989597496525,False,-0.897549626636333,0,0.3350000000000001,37304,404,50,1.0,13223.377921582372,False,-0.12033153134244362,11,1.6600000000000001,39588,428,0,0.0,11731.202352567463,False,-0.0895258462775929,0.4666666666666666,164625,0.0,0.0,7,0,0,8,7,7.0,11,19,10,162.0,63.0,9,6,10,878,0.7757117960136384,28.818362093006726
19,10,0,0,0,10.0,11,10.0,33.032524566792695,20,33.2,26.398801679857147,48,17.666666666666668,43.0,11,43.0,0,0.2,25044,0,0,0.0,0.0,False,0.021787025703794368,2,0.41800000000000004,28813,3,10,1.0,360.32524566792694,False,0.18291157171905192,0,1.2260000000000002,32045,10,12,1.0,647.1108658262127,False,-0.08088265800854404,40,7.719000000000001,-90.0,110,0,0.0,3633.5777023471965,False,-0.950967179169901,0,0.3350000000000001,36926,415,60,1.0,13535.502697140717,False,-0.12477712980849788,11,1.7590000000000003,38947,455,0,0.0,12011.454764335002,False,-0.09955877286686489,0.5,161685,0.0,0.0,4,0,0,5,9,8.5,12,17,12,116.0,54.0,7,3,12,766,0.7010774430236779,29.519439536030404
20,12,0,0,0,10.000000000000002,9,10.0,33.35940485900034,22,35.0,26.6136850004677,66,27.96969696969697,43.0,8,43.0,0,0.2,25044,0,0,0.0,0.0,False,0.021787025703794368,12,0.536,29146,2,10,1.0,353.5940485900034,False,0.1963605477068545,27,1.4960000000000004,31587,11,10,1.0,633.0903034536807,False,-0.09408680035985913,27,7.949000000000002,-2028.0,121,0,0.0,4036.4879879390414,False,-1.000277025471519,0,0.3350000000000001,35456,449,70,1.0,14959.544565209997,False,-0.13996009289095204,8,1.8280000000000003,38477,477,0,0.0,12694.727745223094,False,-0.10213000275200718,0.5,157682,0.0,0.0,2,0,0,6,10,9.82111801242236,14,20,16,147.0,54.0,9,3,16,90,0.82614578504581,30.345585321076214
21,16,0,0,0,10.000000000000002,9,10.0,33.52076449436753,13,35.0,26.289174159489964,17,18.0,42.99999999999999,20,43.0,0,0.2,25044,0,0,0.0,0.0,False,0.021787025703794368,3,0.5540000000000002,29427,1,10,1.0,345.20764494367535,False,0.20765417472345313,2,1.4890000000000003,31270,14,10,1.0,732.182444516045,False,-0.10168125557946382,5,7.972000000000002,-2295.0,121,0,0.0,4056.0125038184715,False,-1.0075813881957794,0,0.3350000000000001,35494,456,72,1.0,15083.863416727423,False,-0.13795381470737508,12,1.9400000000000004,38293,477,0,0.0,12539.936074076713,False,-0.10736598287285705,0.5,157233,0.0,0.0,5,0,0,10,6,4.916666666666666,10,20,17,165.0,108.0,10,6,17,749,1.044174265989568,31.389759587065782
22,17,0,0,0,10.000000000000004,7,10.0,33.568886282530194,4,35.0,25.79042379610073,26,18.0,42.99999999999999,20,43.0,0,0.2,25044,0,0,0.0,0.0,False,0.021787025703794368,0,0.5510000000000002,29497,0,14,0.8,469.9644079554227,False,0.21305516948093473,3,1.5170000000000001,31387,4,10,1.0,392.1797830911281,False,-0.10318624835887312,13,8.097000000000001,-6033.0,125,0,0.0,4196.110785316274,False,-1.1117342365148044,0,0.3350000000000001,35838,446,74,1.0,14684.529013060925,False,-0.13506270643730423,12,2.0480000000000005,37630,503,0,0.0,12972.583169438667,False,-0.11631329077340431,0.4666666666666666,153363,0.0,0.0,4,0,0,13,6,22.93076923076923,10,23,18,204.0,72.0,13,4,18,414,1.3430877369828522,32.732847324048635
23,18,0,0,0,10.000000000000004,14,10.0,33.39014107119389,2,23.5,25.76037349351705,18,25.11111111111111,42.99999999999999,20,43.0,0,0.2,25044,0,0,0.0,0.0,False,0.021787025703794368,0,0.5510000000000002,29404,4,22,1.0,774.5831035662655,False,0.21547497151297967,0,1.5140000000000002,31540,0,12,0.6,309.1244819222046,False,-0.10002094894621624,14,8.224,-6884.0,125,0,0.0,4173.767633899236,False,-1.1362159236462612,0,0.3350000000000001,36264,441,72,1.0,14456.32471064102,False,-0.12881512819100388,8,2.1160000000000005,37168,516,0,0.0,13292.352722654798,False,-0.12236491474215488,0.43333333333333335,152536,0.0,0.0,10,0,0,13,4,4.0,10,23,21,186.0,108.0,12,6,21,903,1.666317798953969,34.399165123002604
24,21,0,0,1,10.000000000000002,7,10.0,33.40193767290655,2,34.0,26.691352685767477,16,48.0,42.999999999999986,20,43.0,0,0.2,25044,0,0,0.0,0.0,False,0.021787025703794368,0,0.5510000000000002,29402,1,30,1.0,1012.0581301871964,False,0.2202378239532271,4,1.554,32152,0,0,0.0,0.0,False,-0.08703183121787773,0,8.21,-38249.47222222222,127,0,0.0,4242.046084459132,True,-2.025880943294223,0,0.3350000000000001,36522,431,76,1.0,14771.973007565783,False,-0.12048581808419179,14,2.2480000000000007,36168,532,0,0.0,14199.799628828298,False,-0.13330729694901847,0.3333333333333333,159288,0.0,0.125,4,0,0,13,10,711.1323529411765,13,26,11,288.0,90.0,16,5,11,328,1.4517432420398109,35.850908365042415
25,11,0,0,0,10.000000000000002,15,10.0,33.174393351609154,1,12.0,28.214810635033707,23,51.0,42.999999999999986,20,43.0,0,0.2,25044,0,0,0.0,0.0,False,0.021787025703794368,0,0.5510000000000002,29264,6,39,1.0,1353.801340712757,False,0.22157897471874252,23,1.7800000000000002,32416,0,1,0.1,28.214810635033707,False,-0.07913486653271097,0,8.210000000000003,-38249.47222222222,127,0,0.0,4213.147955654363,True,-2.026291229928587,0,0.3350000000000001,36909,421,77,1.0,15189.435277349188,False,-0.10855281856710149,11,2.3440000000000007,34835,555,0,0.0,15659.219902443707,False,-0.14539170420003106,0.35000000000000003,158468,0.0,0.125,7,0,0,7,7,131.99827523602033,10,17,6,126.0,57.0,7,4,6,549,0.8059754490386695,36.656883814081084
26,6,0,0,0,10.000000000000002,12,10.0,33.174393351609154,0,,28.214810635033707,0,,42.999999999999986,10,43.0,0,0.2,25044,0,0,0.0,0.0,False,0.021787025703794368,0,0.5510000000000002,29144,8,49,1.0,1705.5452742288485,False,0.22385853272600667,0,1.7570000000000003,32416,0,1,0.0,28.214810635033707,False,-0.07913486653271097,0,8.21,-38249.47222222222,127,0,0.0,4213.147955654363,True,-2.026291229928587,0,0.3350000000000001,36952,411,86,1.0,15294.287170998852,False,-0.10664135597821792,9,2.423000000000001,34719,555,0,0.0,15659.219902443707,False,-0.14771528251062938,0.3333333333333333,158275,0.0,0.125,4,0,0,6,6,6.0,11,17,2,107.0,0.0,6,0,2,163,0.7702734530321322,37.427157267113216
27,2,0,0,0,10.000000000000002,13,10.0,34.08112258770251,40,36.0,27.890804610544194,9,16.0,42.999999999999986,11,43.0,0,0.2,25044,0,0,0.0,0.0,False,0.021787025703794368,0,0.5510000000000002,30454,11,19,1.0,757.5413291663476,False,0.2579669793791585,8,1.8370000000000004,30808,30,10,1.0,1301.3417237365172,False,-0.10671917364147267,0,8.21,-38249.47222222222,127,0,0.0,4328.302568638219,True,-2.024656300590712,0,0.3350000000000001,36808,410,96,1.0,15563.229890323119,False,-0.1068322227197573,11,2.5240000000000005,34556,555,0,0.0,15479.396558852028,False,-0.15278131764064637,0.5,157670,0.0,0.125,5,0,0,6,7,284.1172064659197,6,12,4,36.0,0.0,2,0,4,1570,0.4459039210341871,37.8730611881474
28,4,0,0,0,10.000000000000004,9,10.0,33.81847595342023,36,33.0,27.254378648521055,21,18.0,42.999999999999986,12,43.0,0,0.2,25044,0,0,0.0,0.0,False,0.021787025703794368,17,0.7210000000000003,31076,10,10,1.0,438.1847595342024,False,0.2768295544580621,11,1.9390000000000003,29549,56,10,1.0,2166.3784398767434,False,-0.13018743163987923,0,8.209999999999999,-38249.47222222222,127,0,0.0,4294.946446084369,True,-2.025129880432179,0,0.3350000000000001,36430,421,106,1.0,16032.093411027363,False,-0.10970801623472781,12,2.6330000000000005,34371,555,0,0.0,15126.180149929185,False,-0.16002463644082696,0.5,156470,0.0,0.125,3,0,0,7,7,6.0353535353535355,7,14,4,72.0,0.0,4,0,4,684,0.5874198479577899,38.46048103610519
29,4,0,0,0,10.000000000000002,8,10.0,33.81847595342023,0,,26.781359488711498,14,16.857142857142858,42.999999999999986,9,43.0,0,0.2,25044,0,0,0.0,0.0,False,0.021787025703794368,0,0.7040000000000002,30996,8,20,1.0,756.3695190684047,False,0.28005649773701347,4,1.9680000000000006,29629,46,10,1.0,1823.4634887444456,False,-0.1327844011593201,0,8.21,-38249.47222222222,127,0,0.0,4294.946446084369,True,-2.025129880432179,0,0.3350000000000001,36322,417,116,1.0,16155.826906792692,False,-0.11063210437280724,9,2.7110000000000007,34126,563,0,0.0,15077.905392144574,False,-0.1654156862353567,0.5,156117,0.0,0.125,3,0,0,7,4,3.5,7,14,7,54.0,3.0,3,1,7,188,0.6789551650290377,39.13943620113423
30,7,0,0,0,10.0,10,10.0,33.89316828119347,9,35.0,26.509780746493433,22,23.09090909090909,42.99999999999998,20,43.0,0,0.2,25044,0,0,0.0,0.0,False,0.021787025703794368,9,0.7940000000000003,30959,8,30,1.0,1096.795048435804,False,0.2854915350558099,12,2.084000000000001,29354,45,10,1.0,1790.2903801186403,False,-0.1410641113649851,0,8.21,-38249.47222222222,127,0,0.0,4304.43237171157,True,-2.024995202213886,0,0.3350000000000001,36742,413,114,1.0,15850.539448301784,False,-0.10527673168377513,8,2.782000000000001,33617,579,0,0.0,15349.163052219697,False,-0.17289462720369675,0.5,155716,0.0,0.125,9,0,0,10,4,62.40374579124579,6,16,6,108.0,3.0,6,1,6,1223,0.819033173029311,39.95846937416354
31,6,0,0,0,10.0,10,10.0,33.89316828119347,0,,27.014288707360418,18,34.55555555555556,42.99999999999998,20,43.0,0,0.2,25044,0,0,0.0,0.0,False,0.021787025703794368,0,0.7850000000000001,30859,8,40,1.0,1435.7267312477388,False,0.28832571871170426,8,2.152,29664,35,10,1.0,1456.4037769153756,False,-0.1370019624483151,0,8.21,-38249.47222222222,127,0,0.0,4304.43237171157,True,-2.024995202213886,0,0.3350000000000001,37129,403,115,1.0,15831.758349066247,False,-0.09771289436666215,11,2.8840000000000003,32830,597,0,0.0,16127.530358294169,False,-0.18086322578476682,0.5,155526,0.0,0.125,7,0,0,7,4,4.0,8,15,4,90.0,3.0,5,1,4,981,0.5730323869502172,40.53150176111376
