index,n_registered_negotiations_before,n_contracts_dropped,n_contracts_nullified_now,n_bankrupt,trading_price_0,sold_quantity_0,unit_price_0,trading_price_1,sold_quantity_1,unit_price_1,trading_price_2,sold_quantity_2,unit_price_2,trading_price_3,sold_quantity_3,unit_price_3,trading_price_4,sold_quantity_4,unit_price_4,spot_market_quantity_00Dec@0,spot_market_loss_00Dec@0,balance_00Dec@0,inventory_00Dec@0_input,inventory_00Dec@0_output,productivity_00Dec@0,assets_00Dec@0,bankrupt_00Dec@0,score_00Dec@0,spot_market_quantity_01Dec@0,spot_market_loss_01Dec@0,balance_01Dec@0,inventory_01Dec@0_input,inventory_01Dec@0_output,productivity_01Dec@0,assets_01Dec@0,bankrupt_01Dec@0,score_01Dec@0,spot_market_quantity_02Buy@1,spot_market_loss_02Buy@1,balance_02Buy@1,inventory_02Buy@1_input,inventory_02Buy@1_output,productivity_02Buy@1,assets_02Buy@1,bankrupt_02Buy@1,score_02Buy@1,spot_market_quantity_03Dec@1,spot_market_loss_03Dec@1,balance_03Dec@1,inventory_03Dec@1_input,inventory_03Dec@1_output,productivity_03Dec@1,assets_03Dec@1,bankrupt_03Dec@1,score_03Dec@1,spot_market_quantity_04MyA@2,spot_market_loss_04MyA@2,balance_04MyA@2,inventory_04MyA@2_input,inventory_04MyA@2_output,productivity_04MyA@2,assets_04MyA@2,bankrupt_04MyA@2,score_04MyA@2,spot_market_quantity_05Dec@2,spot_market_loss_05Dec@2,balance_05Dec@2,inventory_05Dec@2_input,inventory_05Dec@2_output,productivity_05Dec@2,assets_05Dec@2,bankrupt_05Dec@2,score_05Dec@2,spot_market_quantity_06Ind@3,spot_market_loss_06Ind@3,balance_06Ind@3,inventory_06Ind@3_input,inventory_06Ind@3_output,productivity_06Ind@3,assets_06Ind@3,bankrupt_06Ind@3,score_06Ind@3,spot_market_quantity_07Ran@3,spot_market_loss_07Ran@3,balance_07Ran@3,inventory_07Ran@3_input,inventory_07Ran@3_output,productivity_07Ran@3,assets_07Ran@3,bankrupt_07Ran@3,score_07Ran@3,productivity,market_size,production_failures,bankruptcy,n_contracts_executed,n_contracts_erred,n_contracts_nullified,n_contracts_cancelled,n_breaches,breach_level,n_contracts_signed,n_contracts_concluded,n_negotiations,n_negotiation_rounds_successful,n_negotiation_rounds_failed,n_negotiation_successful,n_negotiation_failed,n_registered_negotiations_after,activity_level,step_time,total_time
10,24,0,0,0,10.000000000000002,20,10.0,25.94596046216358,11,26.0,31.116845270510893,80,35.9875,40.0660765747221,6,19.0,47.0,20,47.0,0,0.6140000000000001,45059,11,20,1.0,628.9192092432716,False,0.03855569146974386,0,0.4970000000000001,44976,0,15,0.9,389.1894069324537,False,0.033912305236243084,45,1.6130000000000004,55948.0,173,0,0.0,4488.651159954299,False,-0.08140103900650128,9,0.35300000000000004,63473,15,10,1.0,700.3578596375627,False,0.00748518413579977,0,0.2,86437,0,8,0.0,320.5286125977768,False,0.008398904307360539,0,0.3350000000000001,80094,148,34,1.0,5967.539703576163,False,-0.03258454222613911,9,0.6950000000000001,111491,0,6,0.6,282.0,False,-0.005284027623078637,11,0.8950000000000002,108964,32,0,0.0,1282.1144503911073,False,-0.023345446868384405,0.5625,596442,0.0,0.0,9,0,0,12,10,9.257142857142856,18,30,24,191.0,66.0,12,12,24,600,2.296046269009821,32.520517617987934
11,24,0,0,0,10.000000000000002,20,10.0,25.94596046216358,0,,30.329094150842366,51,27.470588235294116,40.0660765747221,0,,47.0,20,47.0,0,0.6140000000000001,44989,8,30,1.0,858.3788138649074,False,0.039579514452893295,0,0.49700000000000005,44846,3,25,1.0,678.6490115540895,False,0.03424945651713354,42,1.9880000000000004,54956.0,173,0,0.0,4488.651159954299,False,-0.0970603232888104,0,0.3440000000000001,63736,5,11,1.0,463.3498379700839,False,0.009766135518872362,0,0.2,86437,0,8,0.0,320.5286125977768,False,0.008398904307360539,0,0.3350000000000001,78693,189,44,1.0,7495.10616379698,False,-0.04000473843799799,2,0.7060000000000002,111755,0,0,0.0,0.0,False,-0.004188015148139898,12,1.0040000000000002,108754,32,0,0.0,1282.1144503911073,False,-0.025216687679255424,0.5,594166,0.0,0.0,13,0,0,10,8,7.4,19,29,32,179.0,86.0,14,10,32,604,2.2528512480203062,34.77336886600824
12,32,0,0,0,10.000000000000002,20,10.0,25.95477379803863,13,26.076923076923077,29.830691746003712,42,27.30952380952381,42.41789013582183,9,59.55555555555556,46.99999999999999,20,47.0,0,0.6140000000000001,44906,9,39,1.0,1102.2361781235065,False,0.040470555267041,0,0.4970000000000001,45068,2,23,1.0,616.9597973548885,False,0.038624823151764694,42,2.366000000000001,53629.0,186,0,0.0,4827.587926435185,False,-0.11533261830151081,0,0.3440000000000001,63736,0,16,0.5,477.2910679360594,False,0.009876170641494458,0,0.2,86437,0,8,0.0,339.3431210865746,False,0.008508448932685311,0,0.3350000000000001,78082,221,45,1.0,8501.387931978803,False,-0.04126072516198475,10,0.804,111384,0,4,0.4,187.99999999999997,False,-0.00665627088438405,10,1.0920000000000003,108250,37,0,0.0,1569.4619350254077,False,-0.028427436244039175,0.4875,591492,0.0,0.0,14,0,0,12,13,13.0,21,33,34,242.0,107.0,17,15,34,1075,2.457073681987822,37.23044254799606
13,34,0,0,0,10.000000000000002,20,10.0,26.180013147553364,38,27.210526315789473,29.50311530143273,6,17.0,39.0547275300707,32,32.0,47.0,20,47.0,0,0.6140000000000001,45456,11,25,1.0,764.5003286888341,False,0.04919430896437134,0,0.49700000000000005,45352,0,19,1.0,497.4202498035139,False,0.04375724152307807,6,2.384000000000001,53147.0,199,0,0.0,5209.82261636312,False,-0.11992436647490001,0,0.3440000000000001,63064,15,26,1.0,1159.7811950505513,False,0.004655015825431787,0,0.2,86437,0,8,0.0,312.4378202405656,False,0.008351796894595488,0,0.3350000000000001,79004,217,23,1.0,7300.434753602529,False,-0.03751668246307166,4,0.8340000000000003,111252,0,10,1.0,470.0,False,-0.006576074849632435,12,1.2020000000000004,107272,59,0,0.0,2304.2289242741713,False,-0.03386843874237388,0.625,590984,0.0,0.0,18,0,0,13,8,8.0,24,37,35,267.0,139.0,19,15,35,2446,2.799752207007259,40.03019475500332
14,35,0,0,0,10.000000000000002,20,10.0,26.604505764575226,58,28.0,28.66778327728147,13,15.076923076923077,41.16066465770515,7,68.0,47.0,20,47.0,5,0.6640000000000001,46056,14,10,1.0,406.0450576457523,False,0.05882539149037231,9,0.5870000000000002,45868,0,7,0.7,186.23154035202657,False,0.05200658678788749,13,2.508000000000001,52397.0,213,0,0.0,5666.759727854523,False,-0.12815703698673594,0,0.3440000000000001,61832,49,36,1.0,2335.6609804463187,False,-0.005511839330957692,0,0.2,86437,0,8,0.0,329.2853172616412,False,0.008449888893646916,0,0.3350000000000001,79284,220,26,1.0,7377.089602102257,False,-0.03380985605930491,0,0.8300000000000001,111628,0,2,0.0,94.0,False,-0.004900868790376476,12,1.3100000000000003,106551,66,0,0.0,2716.60386740854,False,-0.03845576356690342,0.4625,590053,0.0,0.0,16,0,0,12,11,9.976190476190476,24,36,35,243.0,152.0,17,18,35,1864,2.481882977997884,42.512077733001206
15,35,0,0,0,10.000000000000002,20,10.0,26.77907592934601,32,28.0,27.607100108017967,17,15.0,43.8106163692069,13,61.46153846153846,46.99999999999999,20,47.0,22,0.8790000000000002,46318,11,10,1.0,377.7907592934601,False,0.06449896723767383,0,0.5780000000000001,45738,3,17,1.0,485.24429079888216,False,0.05245306931720671,17,2.6650000000000005,51479.0,229,0,0.0,6132.408387820236,False,-0.13897292468846995,0,0.3440000000000001,61384,55,46,1.0,2742.775781082857,False,-0.009370504813944478,0,0.2,86669,0,4,0.0,175.2424654768276,False,0.010254567431394253,0,0.3350000000000001,79596,227,27,1.0,7449.698366488665,False,-0.02975395706315688,5,0.8800000000000001,111504,0,3,0.3,140.99999999999997,False,-0.005796391178436177,13,1.4280000000000004,105648,76,0,0.0,3329.606844059724,False,-0.0437709652748509,0.5375,588336,0.0,0.0,13,0,0,8,11,10.375,26,34,37,255.0,136.0,17,18,37,1093,2.8098484569927678,45.321926189993974
16,37,0,0,0,10.000000000000002,20,10.0,26.743549461099157,11,26.0,27.234757464400946,6,15.0,43.391502126770206,4,34.0,46.99999999999999,20,47.0,1,0.8670000000000002,46492,10,10,1.0,367.43549461099155,False,0.06836315199032933,0,0.5780000000000001,45628,4,27,1.0,762.0758354496772,False,0.05310347954232964,6,2.7080000000000006,51061.0,240,0,0.0,6418.451870663797,False,-0.14331361291682748,0,0.3440000000000001,61384,45,56,1.0,2728.6061437559147,False,-0.009482342706625905,0,0.2,86669,0,4,0.0,173.56600850708082,False,0.010244806514666905,0,0.3350000000000001,79642,223,33,1.0,7505.270484744828,False,-0.028894740761418597,4,0.9150000000000003,111603,0,0,0.0,0.0,False,-0.0055424370683893965,13,1.5450000000000002,105247,80,0,0.0,3471.3201701416165,False,-0.04671276377749338,0.5,587726,0.0,0.0,10,0,0,13,9,7.340909090909091,19,32,31,217.0,143.0,16,21,31,336,2.1848494629957713,47.506775652989745
17,31,0,0,0,10.000000000000002,20,10.0,26.811824564634062,15,27.8,26.60440217673563,12,17.0,43.391502126770206,0,,46.99999999999999,20,47.0,0,0.8660000000000001,46442,5,20,1.0,586.2364912926812,False,0.06972277336735432,0,0.5780000000000001,45895,9,22,1.0,679.8601404219494,False,0.05827393783815093,12,2.8220000000000005,50740.0,243,0,0.0,6515.273369206077,False,-0.1476165892973364,0,0.3440000000000001,61048,47,66,1.0,3016.046298202353,False,-0.012517590662817407,0,0.2,86669,0,4,0.0,173.56600850708082,False,0.010244806514666905,0,0.3350000000000001,79438,225,43,1.0,7851.825081216635,False,-0.029252497314636004,5,0.9610000000000003,111549,0,0,0.0,0.0,False,-0.006023613276899087,15,1.6820000000000004,104899,80,0,0.0,3471.3201701416165,False,-0.0498136771212225,0.5,586680,0.0,0.0,12,0,0,11,9,9.0,21,32,28,242.0,121.0,14,17,28,617,1.8348290889989585,49.341604741988704
18,28,0,0,0,10.000000000000002,20,10.0,26.67592261226591,42,26.0,26.38349066235333,28,25.0,43.01123140172001,4,35.0,47.0,20,47.0,0,0.8660000000000001,46332,6,30,1.0,860.2776783679773,False,0.0703412492660392,20,0.778,46373,8,10,1.0,346.75922612265913,False,0.06540272409671373,28,3.090000000000001,49324.0,273,0,0.0,7282.526873148594,False,-0.16391318826541382,0,0.3440000000000001,60736,49,76,1.0,3312.2654983398825,False,-0.015104693851995435,0,0.2,86669,0,4,0.0,172.04492560688004,False,0.010235950239920745,0,0.3350000000000001,78878,243,49,1.0,8518.73856963614,False,-0.03189052488683607,9,1.0460000000000003,111414,0,0,0.0,0.0,False,-0.007226553798173312,11,1.7770000000000004,104562,84,0,0.0,3612.943437744481,False,-0.05218559395079311,0.5,584288,0.0,0.0,10,0,0,11,11,10.444444444444445,20,31,30,199.0,77.0,14,14,30,652,1.858317514997907,51.19992225698661
19,30,0,0,0,10.000000000000002,20,10.0,26.601353406947727,28,26.0,28.054098485636114,97,31.20618556701031,43.01123140172001,0,,47.0,20,47.0,0,0.8660000000000001,46596,6,26,1.0,751.6351885806409,False,0.075140598189254,4,0.7980000000000003,46549,8,10,1.0,346.01353406947726,False,0.06942266398944223,67,3.7320000000000015,45695.0,287,0,0.0,7634.588427793998,False,-0.21842027160812333,0,0.3440000000000001,61812,53,56,1.0,2980.901245763852,False,-0.0007348083966294219,0,0.2,86669,0,4,0.0,172.04492560688004,False,0.010235950239920745,0,0.3350000000000001,75851,330,59,1.0,11795.515152961398,False,-0.04806048748799784,11,1.1470000000000002,111209,0,0,0.0,0.0,False,-0.009053241256404545,9,1.8560000000000005,104422,84,0,0.0,3612.943437744481,False,-0.053433087824707126,0.5,578803,0.0,0.0,10,0,0,8,13,12.285714285714285,24,32,33,176.0,102.0,13,17,33,2004,2.197386829997413,53.39730908698402
20,33,0,0,0,10.000000000000002,20,10.0,26.68343183782378,15,27.933333333333334,27.800144315137736,5,15.0,44.06162692803139,9,53.333333333333336,47.00000000000001,20,47.0,0,0.8660000000000001,46935,4,21,1.0,600.3520685942993,False,0.08116862446604745,0,0.794,46429,10,20,1.0,633.6686367564756,False,0.06996805416416568,5,3.7150000000000016,45558.0,288,0,0.0,7684.828369293248,False,-0.2201863615108901,0,0.3440000000000001,61420,57,66,1.0,3355.7651395550456,False,-0.003964031479936153,0,0.2,86669,0,4,0.0,176.24650771212555,False,0.010260413315199333,0,0.3350000000000001,76256,325,60,1.0,11678.744518101648,False,-0.04402426453199001,9,1.2260000000000002,111065,0,0,0.0,0.0,False,-0.010336377812430386,11,1.9570000000000005,103736,93,0,0.0,4097.731304306919,False,-0.057385915329441234,0.5,578068,0.0,0.0,14,0,0,13,10,10.0,23,36,28,224.0,90.0,18,15,28,1099,2.09356554801343,55.49087463499745
21,28,0,0,0,10.000000000000002,20,10.0,26.687708248111417,3,27.0,27.800144315137736,0,,41.13010904527252,18,28.166666666666668,47.0,20,47.0,0,0.8660000000000001,46906,5,28,1.0,797.2558309471196,False,0.08275831251513105,0,0.794,46339,9,30,1.0,890.6312474433425,False,0.07084885494567666,0,3.710000000000001,45477.0,291,0,0.0,7766.123100200422,False,-0.2208233508011143,0,0.3440000000000001,61420,47,76,1.0,3367.133255611704,False,-0.003874305390679429,0,0.2,86669,0,4,0.0,164.52043618109008,False,0.010192140040180467,0,0.3350000000000001,76763,315,52,1.0,10895.811129622558,False,-0.0426789141924253,13,1.347,110638,0,8,0.8,376.0,False,-0.012466028068612163,7,2.0160000000000005,103290,103,0,0.0,4236.40123166307,False,-0.06074225336750693,0.6,577502,0.0,0.0,13,0,0,8,8,8.0,22,30,21,193.0,79.0,13,15,21,788,1.9597802400239743,57.45065487502143
22,21,0,0,0,10.000000000000002,20,10.0,26.278804803339657,60,24.916666666666668,30.227020608134097,38,45.0,41.78865598452447,4,56.25,47.0,20,47.0,12,0.9860000000000002,47592,4,10,1.0,302.7880480333966,False,0.09280125487002906,0,0.794,46664,10,20,1.0,625.5760960667932,False,0.07525436718701273,0,3.710000000000001,44287.0,336,0,0.0,8829.678413922125,False,-0.23121376490613801,0,0.3440000000000001,62825,52,48,1.0,2817.394838964099,False,0.013965452011587404,0,0.2,86669,0,4,0.0,167.15462393809787,False,0.010207477199322768,0,0.3350000000000001,75278,343,58,1.0,12791.610115692416,False,-0.04893328685725682,0,1.334,110858,0,3,0.3,141.0,False,-0.011552684339496548,12,2.1290000000000004,102982,104,0,0.0,4346.020222390544,False,-0.06299835053512792,0.5375,577155,0.0,0.0,21,0,0,9,7,6.2,20,29,26,197.0,39.0,12,9,26,3466,1.7311792480177246,59.18183412303915
23,26,0,0,0,10.000000000000002,20,10.0,26.568346518203484,48,27.979166666666668,30.700212032633537,29,34.6551724137931,45.99937895964528,54,52.44444444444444,46.99999999999999,20,47.0,22,1.1940000000000002,47814,5,10,1.0,315.68346518203487,False,0.09803020743416008,0,0.794,47021,9,14,1.0,461.95685125484874,False,0.08155321535460691,10,3.810000000000001,43159.0,367,0,0.0,9750.583172180679,False,-0.24175138382468014,0,0.3440000000000001,63205,59,39,1.0,2764.8407138467137,False,0.019549169788368525,0,0.2,86669,0,4,0.0,183.9975158385811,False,0.010305542385757331,0,0.3350000000000001,77105,362,14,1.0,11757.468061248375,False,-0.03367956087120753,6,1.3940000000000003,110716,1,10,1.0,515.9993789596452,False,-0.011147251597417472,11,2.2270000000000003,100162,147,0,0.0,6761.908707067856,False,-0.07736284826434456,0.625,575851,0.0,0.0,14,0,0,8,11,9.775,24,32,34,146.0,51.0,14,12,34,4334,2.188423289975617,61.37025741301477
24,34,0,0,0,10.000000000000002,20,10.0,26.501230527951996,22,25.727272727272727,30.700212032633537,0,,44.9446225536861,5,19.0,46.99999999999999,20,47.0,0,1.1720000000000002,47744,2,20,1.0,550.02461055904,False,0.09910989734897839,8,0.8740000000000001,47271,12,10,1.0,385.01230527952,False,0.08639488550069267,0,3.8000000000000007,42683.0,384,0,0.0,10176.472522733566,False,-0.2459038617599839,0,0.3440000000000001,63115,54,49,1.0,2935.376838108451,False,0.019474473457421995,0,0.2,86669,0,4,0.0,179.7784902147444,False,0.010280977748234396,0,0.3350000000000001,77200,352,19,1.0,11660.422464007042,False,-0.03313834794350549,0,1.3880000000000003,110903,0,10,0.6,469.99999999999994,False,-0.009685898863889507,14,2.3560000000000008,99845,147,0,0.0,6606.859515391857,False,-0.08087832695303256,0.575,575430,0.0,0.0,13,0,0,6,9,8.176470588235293,27,33,35,212.0,102.0,15,19,35,577,1.9609287469647825,63.33118615997955
