index,n_registered_negotiations_before,n_contracts_dropped,n_contracts_nullified_now,n_bankrupt,trading_price_0,sold_quantity_0,unit_price_0,trading_price_1,sold_quantity_1,unit_price_1,trading_price_2,sold_quantity_2,unit_price_2,trading_price_3,sold_quantity_3,unit_price_3,trading_price_4,sold_quantity_4,unit_price_4,spot_market_quantity_00Ran@0,spot_market_loss_00Ran@0,balance_00Ran@0,inventory_00Ran@0_input,inventory_00Ran@0_output,productivity_00Ran@0,assets_00Ran@0,bankrupt_00Ran@0,score_00Ran@0,spot_market_quantity_01Buy@0,spot_market_loss_01Buy@0,balance_01Buy@0,inventory_01Buy@0_input,inventory_01Buy@0_output,productivity_01Buy@0,assets_01Buy@0,bankrupt_01Buy@0,score_01Buy@0,spot_market_quantity_02MyA@1,spot_market_loss_02MyA@1,balance_02MyA@1,inventory_02MyA@1_input,inventory_02MyA@1_output,productivity_02MyA@1,assets_02MyA@1,bankrupt_02MyA@1,score_02MyA@1,spot_market_quantity_03Buy@1,spot_market_loss_03Buy@1,balance_03Buy@1,inventory_03Buy@1_input,inventory_03Buy@1_output,productivity_03Buy@1,assets_03Buy@1,bankrupt_03Buy@1,score_03Buy@1,spot_market_quantity_04Dec@2,spot_market_loss_04Dec@2,balance_04Dec@2,inventory_04Dec@2_input,inventory_04Dec@2_output,productivity_04Dec@2,assets_04Dec@2,bankrupt_04Dec@2,score_04Dec@2,spot_market_quantity_05Buy@2,spot_market_loss_05Buy@2,balance_05Buy@2,inventory_05Buy@2_input,inventory_05Buy@2_output,productivity_05Buy@2,assets_05Buy@2,bankrupt_05Buy@2,score_05Buy@2,spot_market_quantity_06Ind@3,spot_market_loss_06Ind@3,balance_06Ind@3,inventory_06Ind@3_input,inventory_06Ind@3_output,productivity_06Ind@3,assets_06Ind@3,bankrupt_06Ind@3,score_06Ind@3,spot_market_quantity_07Dec@3,spot_market_loss_07Dec@3,balance_07Dec@3,inventory_07Dec@3_input,inventory_07Dec@3_output,productivity_07Dec@3,assets_07Dec@3,bankrupt_07Dec@3,score_07Dec@3,productivity,market_size,production_failures,bankruptcy,n_contracts_executed,n_contracts_erred,n_contracts_nullified,n_contracts_cancelled,n_breaches,breach_level,n_contracts_signed,n_contracts_concluded,n_negotiations,n_negotiation_rounds_successful,n_negotiation_rounds_failed,n_negotiation_successful,n_negotiation_failed,n_registered_negotiations_after,activity_level,step_time,total_time
10,15,0,0,0,10.000000000000002,20,10.0,6.844756971106119,42,8.19047619047619,22.490696142493068,23,22.82608695652174,34.28948874019453,71,33.49295774647887,43.99999999999999,20,44.0,17,1.4500000000000002,37513,123,0,0.0,1230.0000000000002,False,-0.09188777211451436,25,1.1700000000000002,39145,97,0,0.0,970.0000000000002,False,-0.056113942742819035,0,0.2,63668,0,0,0.0,0.0,False,0.01304735234215886,16,1.3860000000000003,58463,219,0,0.0,1499.00177667224,False,-0.05784589981644408,0,0.5690000000000001,76098,16,21,1.0,1079.930401823974,False,-0.003226007323674153,62,2.0620000000000007,71382.0,103,0,0.0,2316.541702676786,False,-0.056521722402798964,6,0.404,104147,0,2,0.2,87.99999999999999,False,0.005200092617605063,0,0.31700000000000006,98778,131,16,1.0,5195.923024965483,False,-0.021958461848466605,0.275,549194,0.0,0.0,20,0,0,16,9,8.25,13,29,12,165.0,30.0,10,5,12,1158,2.6498495660489425,73.95570475794375
11,12,0,0,0,10.000000000000002,20,10.0,7.123621916431807,13,11.0,22.99160000792118,20,26.05,34.2800721208542,89,34.258426966292134,44.0,20,44.0,0,1.4330000000000003,37443,130,0,0.0,1300.0000000000002,False,-0.09272138331824895,13,1.2750000000000001,38859,110,0,0.0,1100.0000000000002,False,-0.0613776020578288,0,0.2,63668,0,0,0.0,0.0,False,0.01304735234215886,20,1.5700000000000003,58092,232,0,0.0,1652.680284612179,False,-0.06252641066850041,0,0.5690000000000001,76160,26,20,1.0,1283.3830426230347,False,-0.0010965387546300561,78,2.7800000000000007,68406.0,103,0,0.0,2368.1348008158816,False,-0.09489286215425521,7,0.4680000000000001,103457,7,10,1.0,679.9605048459794,False,0.0013987212250896172,0,0.31700000000000006,96898,193,15,1.0,7276.0539193248605,False,-0.03006187087887906,0.375,542983,0.0,0.0,18,0,0,14,10,9.5,14,28,15,129.0,27.0,8,4,15,1311,2.9612269700155593,76.91693172795931
12,15,0,0,0,10.000000000000002,20,10.0,7.020028668961362,3,1.0,21.305798178813177,38,15.631578947368421,33.54547962283981,90,31.38888888888889,44.0,20,44.0,3,1.463,37267,141,0,0.0,1410.0000000000002,False,-0.0956032963368742,0,1.2620000000000002,38769,119,0,0.0,1190.0000000000002,False,-0.06244938789120183,0,0.2,63668,0,0,0.0,0.0,False,0.01304735234215886,38,1.93,56872,235,0,0.0,1649.70673720592,False,-0.08196198178775836,0,0.5690000000000001,76160,16,30,1.0,1347.257159546205,False,-0.0006811567805179599,90,3.6020000000000008,63693.0,141,0,0.0,3004.117543212658,False,-0.15205552673300302,0,0.4610000000000001,103688,8,10,1.0,708.3638369827185,False,0.003764345294749373,0,0.31700000000000006,94722,262,15,1.0,9448.91566118403,False,-0.040573671221085794,0.375,534839,0.0,0.0,21,0,0,17,8,8.0,15,32,10,150.0,37.0,9,6,10,1080,2.4298067259951495,79.34673845395446
13,10,0,0,0,10.000000000000002,20,10.0,6.297012577541707,35,3.0,19.954984312107047,29,13.0,32.34614006901196,27,18.185185185185187,44.0,20,44.0,35,1.8100000000000005,36447,153,0,0.0,1530.0000000000002,False,-0.11370456818939646,0,1.2620000000000002,38689,127,0,0.0,1270.0000000000002,False,-0.06340208640975563,0,0.2,63668,0,0,0.0,0.0,False,0.01304735234215886,29,2.182,55786,270,0,0.0,1700.193395936261,False,-0.09884011109393882,0,0.5690000000000001,76160,6,40,1.0,1413.5755086331208,False,-0.0002498796358691197,27,3.7820000000000014,62171.0,170,0,0.0,3392.3473330581983,False,-0.169326357639504,0,0.461,103875,9,11,1.0,775.1152606211076,False,0.005890456820037704,0,0.31700000000000006,94924,268,14,1.0,9284.765538495205,False,-0.03941667532466711,0.375,531720,0.0,0.0,22,0,0,15,8,8.0,16,31,6,142.0,3.0,9,1,6,1080,2.688846028991975,82.03558448294643
14,6,0,0,0,10.000000000000002,20,10.0,6.325691640624809,3,8.0,19.288805642170804,17,13.0,33.23631377528592,21,46.42857142857143,44.0,20,44.0,3,1.8050000000000002,36292,164,0,0.0,1640.0000000000002,False,-0.11608631448578098,0,1.2620000000000002,38599,136,0,0.0,1360.0000000000002,False,-0.06447387224312866,0,0.2,63668,0,0,0.0,0.0,False,0.01304735234215886,17,2.3230000000000004,55405,273,0,0.0,1726.913817890573,False,-0.1046897767797657,0,0.5690000000000001,77040,0,30,0.6,997.0894132585777,False,0.008487172003086175,5,3.8050000000000015,61830.0,187,0,0.0,3607.00665508594,False,-0.17236553693074205,0,0.46100000000000013,103208,20,14,1.0,1280.7262755057184,False,0.0018944462022234538,0,0.31700000000000006,95496,258,11,1.0,9058.968954023769,False,-0.03498741483992707,0.325,531538,0.0,0.0,22,0,0,14,3,3.0,13,27,6,90.0,2.0,5,1,6,1960,1.8619967550039291,83.89758123795036
15,6,0,0,0,10.000000000000002,20,10.0,6.164627535011416,5,1.0,19.288805642170804,0,,32.92004796148285,43,30.72093023255814,44.0,20,44.0,5,1.8520000000000005,36102,172,0,0.0,1720.0000000000002,False,-0.11965893393035774,0,1.2620000000000002,38479,148,0,0.0,1480.0000000000002,False,-0.06590292002095936,0,0.2,63668,0,0,0.0,0.0,False,0.01304735234215886,0,2.3060000000000005,55400,278,0,0.0,1713.7664547331735,False,-0.10487393031812324,0,0.5690000000000001,77845,0,15,0.0,493.80071942224276,False,0.015684264491729508,28,4.080000000000001,60584.0,187,0,0.0,3607.00665508594,False,-0.18857134813174092,0,0.4610000000000001,102649,45,14,1.0,2097.4021582667283,False,0.0004409088018886235,0,0.31700000000000006,95614,256,11,1.0,8911.53227813961,False,-0.03456020010159182,0.25,530341,0.0,0.0,26,0,0,10,7,7.0,13,23,10,54.0,24.0,3,3,10,1885,1.6970186110120267,85.59459984896239
16,10,0,0,0,10.000000000000002,20,10.0,6.607439405725515,15,11.0,19.133539597297514,6,15.0,32.16331438609344,24,22.458333333333332,44.0,20,44.0,0,1.8470000000000002,36002,182,0,0.0,1820.0000000000002,False,-0.12084980707854999,15,1.4120000000000001,38199,158,0,0.0,1580.0000000000002,False,-0.07138093650264374,0,0.2,63668,0,0,0.0,0.0,False,0.01304735234215886,6,2.366000000000001,55121,293,0,0.0,1935.9797458775759,False,-0.10754534952681412,0,0.5690000000000001,77845,0,15,0.0,482.4497157914016,False,0.015610447388285355,24,4.292000000000001,59641.0,193,0,0.0,3692.77314227842,False,-0.20027850881643974,0,0.4610000000000001,103062,44,11,1.0,1899.1858329881113,False,0.0034692327836805927,0,0.31700000000000006,95542,261,14,1.0,9010.625054770388,False,-0.03477682507442991,0.25,529080,0.0,0.0,18,0,0,9,6,6.0,14,23,14,108.0,42.0,6,4,14,1080,2.479096174996812,88.0736960239592
17,14,0,0,0,10.000000000000002,20,10.0,6.530961644309462,25,6.08,19.025586400272026,4,15.0,31.397269386896706,17,17.941176470588236,44.0,20,44.0,14,1.9870000000000005,35642,190,0,0.0,1900.0000000000002,False,-0.12847139522698042,11,1.5070000000000001,37902,170,0,0.0,1700.0000000000002,False,-0.07702567522507503,0,0.2,63668,0,0,0.0,0.0,False,0.01304735234215886,4,2.400000000000001,54893,318,0,0.0,2076.845802890409,False,-0.11005246147140392,0,0.5690000000000001,77785,0,19,0.4,596.5481183510374,False,0.015572068506301716,17,4.4380000000000015,59064.0,193,0,0.0,3671.938175252501,False,-0.2079186186350408,0,0.461,103306,42,12,1.0,1846.6853142496616,False,0.0055700098128818295,0,0.31700000000000006,95873,260,13,1.0,8735.290040593143,False,-0.03291161752502061,0.3,528133,0.0,0.0,22,0,0,9,8,8.0,18,27,17,140.0,31.0,9,5,17,1080,2.7532136839581653,90.82690970791737
18,17,0,0,0,10.000000000000002,20,10.0,6.832889871530617,41,7.975609756097561,18.804770973030614,8,15.0,30.771983114188064,28,24.428571428571427,44.0,20,44.0,6,2.0330000000000004,35416,200,0,0.0,2000.0000000000005,False,-0.13266326870861717,35,1.8460000000000005,37312,180,0,0.0,1800.0000000000002,False,-0.08988710522555138,0,0.2,63668,0,0,0.0,0.0,False,0.01304735234215886,8,2.4760000000000004,54414,359,0,0.0,2453.0074638794918,False,-0.11468139428558195,0,0.5690000000000001,77785,0,19,0.0,584.6676791695733,False,0.015494808412256877,28,4.7010000000000005,57924.0,201,0,0.0,3779.7589655791535,False,-0.2220445922171842,0,0.4610000000000001,103619,41,11,1.0,1745.6513076817107,False,0.008102358409300934,0,0.31700000000000006,95756,269,14,1.0,8893.66345771659,False,-0.03327642757632954,0.25,525894,0.0,0.0,21,0,0,11,7,7.0,20,31,12,177.0,36.0,10,7,12,1080,2.5680045299814083,93.39491423789877
19,12,0,0,0,10.000000000000002,20,10.0,6.904115116613894,6,9.0,17.7436414471186,34,13.647058823529411,31.209659218502363,91,32.56043956043956,44.0,20,44.0,0,2.0270000000000006,35326,209,0,0.0,2090.0000000000005,False,-0.1337350545419902,6,1.8710000000000004,37118,191,0,0.0,1910.0000000000002,False,-0.09319773257752584,0,0.2,63668,0,0,0.0,0.0,False,0.01304735234215886,34,2.8080000000000007,53108,365,0,0.0,2520.002017564071,False,-0.13492870085313718,0,0.5690000000000001,77990,0,18,0.4,561.7738659330425,False,0.018012212014755842,86,5.533,53687.0,231,0,0.0,4098.781174284396,False,-0.2750775097268398,0,0.4610000000000001,103799,44,11,1.0,1857.225005614104,False,0.01037715145686579,0,0.31700000000000006,93493,337,14,1.0,11133.655156635295,False,-0.044303751222189144,0.3,518189,0.0,0.0,21,0,0,13,8,8.0,15,28,12,139.0,27.0,8,4,12,1345,1.9499281559837982,95.34484239388257
20,12,0,0,0,10.000000000000002,20,10.0,7.2898515990969575,47,8.638297872340425,17.489036269158497,12,14.333333333333334,30.767555235242657,26,25.076923076923077,44.0,20,44.0,0,2.0270000000000006,35236,218,0,0.0,2180.0000000000005,False,-0.13480684037536322,47,2.3350000000000004,35649,202,0,0.0,2020.0000000000005,False,-0.12687562520840281,0,0.2,63668,0,0,0.0,0.0,False,0.01304735234215886,12,2.894000000000001,52426,412,0,0.0,3003.4188588279467,False,-0.14193435862057702,0,0.5690000000000001,78252,0,14,0.4,430.7457732933972,False,0.020567761187299367,18,5.627000000000002,52912.0,239,0,0.0,4179.879668328881,False,-0.2846299738032354,0,0.4610000000000001,103644,57,11,1.0,2237.7506484088317,False,0.010717355422031592,0,0.31700000000000006,93876,330,14,1.0,10769.293227630076,False,-0.04236631600147568,0.3,515663,0.0,0.0,19,0,0,16,11,11.0,15,31,14,160.0,21.0,10,2,14,1402,2.438536627974827,97.7833790218574
21,14,0,0,0,10.000000000000002,20,10.0,7.2898515990969575,0,,17.284681121569612,9,14.0,29.661093967210654,32,18.4375,44.0,20,44.0,0,2.0270000000000006,35166,225,0,0.0,2250.0000000000005,False,-0.1356404515790978,0,2.2880000000000007,35519,215,0,0.0,2150.0000000000005,False,-0.12842376030105274,0,0.2,63668,0,0,0.0,0.0,False,0.01304735234215886,9,2.9720000000000004,52246,412,0,0.0,3003.4188588279467,False,-0.14479841157373385,0,0.5690000000000001,78252,0,14,0.0,415.25531554094914,False,0.02046702465690074,32,5.929000000000001,51343.0,248,0,0.0,4286.600918149264,False,-0.3043427872554869,0,0.461,103948,57,10,1.0,2130.6823561310075,False,0.013133766623562504,0,0.31700000000000006,93862,342,15,1.0,10804.094136786043,False,-0.04233350954739881,0.25,514004,0.0,0.0,19,0,0,15,5,5.0,15,30,10,157.0,45.0,9,5,10,1080,2.6387198120355606,100.42209883389296
22,10,0,0,0,10.000000000000002,20,10.0,7.175456882907358,10,5.0,17.220457105687355,4,15.0,29.73658841534756,73,30.068493150684933,44.00000000000001,20,44.0,10,2.1270000000000007,34886,235,0,0.0,2350.0000000000005,False,-0.14111846806078215,0,2.2880000000000007,35419,225,0,0.0,2250.0000000000005,False,-0.12961463344924498,0,0.2,63668,0,0,0.0,0.0,False,0.01304735234215886,4,3.003000000000001,52120,422,0,0.0,3028.0428045869053,False,-0.14660734785047333,0,0.5690000000000001,78192,0,18,0.4,535.258591476256,False,0.020467045960748678,73,6.627000000000001,47907.0,248,0,0.0,4270.673362210464,False,-0.34913590665263855,0,0.46100000000000013,104344,47,11,1.0,1881.6196555213353,False,0.01575280580944567,0,0.31700000000000006,92151,405,14,1.0,12659.318308215761,False,-0.049891375428280385,0.3,508687,0.0,0.0,21,0,0,11,6,6.0,14,25,9,108.0,42.0,6,4,9,1080,2.4167405989719555,102.83883943286492
23,9,0,0,0,10.000000000000002,20,10.0,6.963074716737492,20,5.05,16.97271468166291,10,13.8,29.30386449650167,31,24.35483870967742,44.00000000000001,20,44.0,11,2.2270000000000008,34554,244,0,0.0,2440.0000000000005,False,-0.14795407993140572,9,2.3780000000000006,35174,236,0,0.0,2360.0000000000005,False,-0.13413995141237556,0,0.2,63668,0,0,0.0,0.0,False,0.01304735234215886,10,3.099000000000001,51785,442,0,0.0,3077.6790247979716,False,-0.15154277761585122,0,0.5690000000000001,78407,0,17,0.4,498.1656964405284,False,0.023022173714593856,26,6.814000000000003,46865.0,254,0,0.0,4311.069529142379,False,-0.36242573726593674,0,0.4610000000000001,104765,38,11,1.0,1597.5468508670635,False,0.018444153759054695,0,0.31700000000000006,91855,425,14,1.0,13070.14241101321,False,-0.05076533780817919,0.3,507073,0.0,0.0,21,0,0,12,8,8.0,14,26,9,108.0,39.0,6,3,9,1355,1.9081841629813425,104.74702359584626
24,9,0,0,0,10.000000000000002,20,10.0,6.81347739090055,11,4.363636363636363,16.97271468166291,0,,29.578869859610172,39,32.02564102564103,44.00000000000001,20,44.0,10,2.3160000000000007,34284,251,0,0.0,2510.0000000000005,False,-0.1535511837279093,1,2.3790000000000004,35031,249,0,0.0,2490.0000000000005,False,-0.13599771352355547,0,0.2,63668,0,0,0.0,0.0,False,0.01304735234215886,0,3.0890000000000013,51737,453,0,0.0,3086.5052580779493,False,-0.152236306182552,0,0.5690000000000001,79212,0,2,0.0,59.157739719220345,False,0.030637292483151876,24,7.028000000000001,46013.0,254,0,0.0,4311.069529142379,False,-0.3735070784723982,0,0.4610000000000001,104719,38,10,1.0,1563.9970546651866,False,0.017838522434034918,0,0.31700000000000006,91532,444,15,1.0,13793.018217666917,False,-0.050394501709243825,0.25,506196,0.0,0.0,26,0,0,12,5,5.0,12,24,14,78.0,26.0,6,3,14,1885,2.5416933260275982,107.28871692187386
