index,n_registered_negotiations_before,n_contracts_dropped,n_contracts_nullified_now,n_bankrupt,trading_price_0,sold_quantity_0,unit_price_0,trading_price_1,sold_quantity_1,unit_price_1,trading_price_2,sold_quantity_2,unit_price_2,trading_price_3,sold_quantity_3,unit_price_3,trading_price_4,sold_quantity_4,unit_price_4,spot_market_quantity_00Ran@0,spot_market_loss_00Ran@0,balance_00Ran@0,inventory_00Ran@0_input,inventory_00Ran@0_output,productivity_00Ran@0,assets_00Ran@0,bankrupt_00Ran@0,score_00Ran@0,spot_market_quantity_01Ran@0,spot_market_loss_01Ran@0,balance_01Ran@0,inventory_01Ran@0_input,inventory_01Ran@0_output,productivity_01Ran@0,assets_01Ran@0,bankrupt_01Ran@0,score_01Ran@0,spot_market_quantity_02Ind@1,spot_market_loss_02Ind@1,balance_02Ind@1,inventory_02Ind@1_input,inventory_02Ind@1_output,productivity_02Ind@1,assets_02Ind@1,bankrupt_02Ind@1,score_02Ind@1,spot_market_quantity_03Buy@1,spot_market_loss_03Buy@1,balance_03Buy@1,inventory_03Buy@1_input,inventory_03Buy@1_output,productivity_03Buy@1,assets_03Buy@1,bankrupt_03Buy@1,score_03Buy@1,spot_market_quantity_04Dec@2,spot_market_loss_04Dec@2,balance_04Dec@2,inventory_04Dec@2_input,inventory_04Dec@2_output,productivity_04Dec@2,assets_04Dec@2,bankrupt_04Dec@2,score_04Dec@2,spot_market_quantity_05MyA@2,spot_market_loss_05MyA@2,balance_05MyA@2,inventory_05MyA@2_input,inventory_05MyA@2_output,productivity_05MyA@2,assets_05MyA@2,bankrupt_05MyA@2,score_05MyA@2,spot_market_quantity_06Ran@3,spot_market_loss_06Ran@3,balance_06Ran@3,inventory_06Ran@3_input,inventory_06Ran@3_output,productivity_06Ran@3,assets_06Ran@3,bankrupt_06Ran@3,score_06Ran@3,spot_market_quantity_07Dec@3,spot_market_loss_07Dec@3,balance_07Dec@3,inventory_07Dec@3_input,inventory_07Dec@3_output,productivity_07Dec@3,assets_07Dec@3,bankrupt_07Dec@3,score_07Dec@3,productivity,market_size,production_failures,bankruptcy,n_contracts_executed,n_contracts_erred,n_contracts_nullified,n_contracts_cancelled,n_breaches,breach_level,n_contracts_signed,n_contracts_concluded,n_negotiations,n_negotiation_rounds_successful,n_negotiation_rounds_failed,n_negotiation_successful,n_negotiation_failed,n_registered_negotiations_after,activity_level,step_time,total_time
10,15,0,0,0,10.000000000000002,20,10.0,5.457420668761212,70,3.5428571428571427,31.726873768177356,0,,63.57561400848617,14,80.28571428571429,58.0,20,58.0,34,1.1520000000000001,41466,110,0,0.0,1100.0000000000002,False,-0.07351708930540242,36,0.8390000000000002,42677,110,0,0.0,1100.0000000000002,False,-0.04681367144432194,0,0.2,70304,70,57,1.0,2190.4512515993943,False,0.02156506647112248,0,0.5780000000000001,69347,20,0,0.0,109.14841337522424,False,-0.007016908849544842,0,0.29000000000000004,99906,3,12,1.0,858.0879894063661,False,0.01517725496740208,0,0.2,99423,0,0,0.0,0.0,False,0.005949309455152527,11,0.8860000000000001,133747,31,0,0.0,1970.8440342630713,False,-0.021188515593055346,4,0.5820000000000001,136326,0,5,0.5,290.0,False,-0.008557998968390617,0.3125,693196,0.0,0.0,11,0,0,11,12,11.666666666666668,15,26,21,134.0,24.0,12,3,21,1556,1.7702135069994256,28.293995910091326
11,21,0,0,0,10.000000000000002,20,10.0,5.501234381308564,4,7.0,31.075931021360365,35,29.857142857142858,63.57561400848617,0,,58.0,20,58.0,4,1.1580000000000004,41274,122,0,0.0,1220.0000000000002,False,-0.07642778390297685,0,0.8030000000000002,42597,118,0,0.0,1180.0000000000002,False,-0.047695700110253585,0,0.2,70276,64,67,1.0,2434.1663788348924,False,0.022907960702475933,35,0.9280000000000002,68822,20,0,0.0,110.02468762617127,False,-0.014522229385150187,0,0.29000000000000004,98861,28,22,1.0,2268.789576784786,False,0.011740727357640486,0,0.2,99423,0,0,0.0,0.0,False,0.005949309455152527,13,1.0050000000000001,133408,31,0,0.0,1970.8440342630713,False,-0.023651301374281508,2,0.5980000000000001,136594,0,0,0.0,0.0,False,-0.007664421826529797,0.25,691255,0.0,0.0,9,0,0,11,10,10.0,19,30,21,181.0,64.0,14,7,21,490,2.010806192003656,30.304802102094982
12,21,0,0,0,10.000000000000002,20,10.0,5.501234381308564,0,,30.311625947104616,39,28.53846153846154,64.41341712340117,9,70.22222222222223,58.00000000000001,20,58.0,0,1.1540000000000004,41184,131,0,0.0,1310.0000000000002,False,-0.07742006615214994,0,0.8030000000000002,42487,129,0,0.0,1290.0000000000002,False,-0.04890848952590959,0,0.2,71236,54,47,1.0,1721.7130761045794,False,0.0315466224754234,9,0.9830000000000001,68601,20,0,0.0,110.02468762617127,False,-0.01768425078960277,0,0.29000000000000004,98380,57,23,1.0,3209.27127282319,False,0.011631867621911193,0,0.2,99423,0,0,0.0,0.0,False,0.005949309455152527,6,1.0520000000000003,132677,40,0,0.0,2576.536684936047,False,-0.026761775657883353,14,0.7360000000000002,136209,0,0,0.0,0.0,False,-0.010461390929102282,0.25,690197,0.0,0.0,12,0,0,11,11,11.0,17,28,21,132.0,73.0,12,9,21,1792,1.827780145977158,32.13258224807214
13,21,0,0,0,10.000000000000002,20,10.0,5.608273102688014,4,9.0,29.86985962958799,4,17.0,64.41341712340117,0,,58.00000000000002,20,58.0,0,1.1540000000000004,41124,137,0,0.0,1370.0000000000002,False,-0.07808158765159867,4,0.8430000000000002,42283,143,0,0.0,1430.0000000000002,False,-0.051863285556780596,0,0.2,71200,48,57,1.0,1971.77910781554,False,0.032820488094599726,4,1.0140000000000002,68517,20,0,0.0,112.16546205376028,False,-0.01887079020450295,0,0.29000000000000004,98312,51,33,1.0,3649.0056061812265,False,0.013168440361113073,0,0.2,99423,0,0,0.0,0.0,False,0.005949309455152527,7,1.1160000000000003,132558,40,0,0.0,2576.536684936047,False,-0.027626293380496665,13,0.8520000000000001,135863,0,0,0.0,0.0,False,-0.01297503069401158,0.25,689280,0.0,0.0,9,0,0,15,11,11.0,17,32,13,230.0,27.0,17,4,13,200,1.827681367052719,33.96026361512486
14,13,0,0,0,10.000000000000002,20,10.0,5.9024028219611315,37,6.837837837837838,29.412174443707837,4,17.0,64.41341712340117,0,,58.000000000000014,20,58.0,1,1.1640000000000001,40961,151,0,0.0,1510.0000000000002,False,-0.08013230429988975,36,1.1990000000000005,41359,149,0,0.0,1490.0000000000002,False,-0.07157662624035281,0,0.2,71187,45,67,1.0,2236.223814716676,False,0.034526296390979504,4,1.0500000000000003,68193,50,0,0.0,295.1201410980566,False,-0.022197675405639824,0,0.29000000000000004,98244,45,43,1.0,4093.324786273103,False,0.014728207549314986,0,0.2,99423,0,0,0.0,0.0,False,0.005949309455152527,11,1.2190000000000003,132306,40,0,0.0,2576.536684936047,False,-0.029457036793089565,9,0.929,135680,0,0,0.0,0.0,False,-0.014304499124584995,0.25,687353,0.0,0.0,8,0,0,11,14,14.0,15,26,13,107.0,12.0,9,4,13,200,1.5563206800143234,35.51658429513918
15,13,0,0,0,10.000000000000002,20,10.0,5.84650569371197,34,5.617647058823529,28.940363422555667,4,17.0,64.81672019522722,5,70.0,58.00000000000002,20,58.0,30,1.463,40221,165,0,0.0,1650.0000000000002,False,-0.09490628445424476,4,1.203,41211,155,0,0.0,1550.0000000000002,False,-0.07417861080485116,0,0.2,71170,40,77,1.0,2462.268211285265,False,0.0359001617587511,4,1.086,67935,79,0,0.0,461.87394980324564,False,-0.02469614584070253,0,0.29000000000000004,98526,39,48,1.0,4239.876742850578,False,0.018322844856835035,0,0.2,99423,0,0,0.0,0.0,False,0.005949309455152527,13,1.3380000000000003,131970,40,0,0.0,2592.668807809089,False,-0.03183942924464011,7,0.9900000000000002,135209,0,5,0.5,290.0000000000001,False,-0.016672841793256763,0.3125,685665,0.0,0.0,9,0,0,10,12,12.0,14,24,17,66.0,27.0,8,5,17,550,1.3367924470221624,36.853376742161345
16,17,0,0,0,10.000000000000002,20,10.0,5.488315955968731,14,1.5,28.940363422555667,0,,64.47225103510777,1,43.0,58.00000000000002,20,58.0,8,1.5130000000000001,39903,176,0,0.0,1760.0000000000002,False,-0.10070562293274532,6,1.2590000000000001,40975,164,0,0.0,1640.0000000000002,False,-0.07839029768467475,0,0.2,71164,35,87,1.0,2709.9026762212484,False,0.03758586588036718,0,1.0820000000000003,67920,88,0,0.0,482.9718041252483,False,-0.02475983085242063,0,0.29000000000000004,98569,29,57,1.0,4514.188848255257,False,0.02014564095844215,0,0.2,99423,0,0,0.0,0.0,False,0.005949309455152527,13,1.4550000000000003,131603,41,0,0.0,2643.3622924394185,False,-0.034321490557724925,2,1.0030000000000003,135477,0,0,0.0,0.0,False,-0.015779264651395942,0.25,685034,0.0,0.0,10,0,0,11,11,10.666666666666668,19,30,9,194.0,9.0,14,3,9,475,1.4412474890123121,38.29462423117366
17,9,0,0,0,10.000000000000002,20,10.0,5.44043196929183,3,3.0,29.845998346818842,5,47.0,64.75674284258136,5,68.0,58.000000000000014,20,58.0,2,1.5250000000000001,39727,189,0,0.0,1890.0000000000002,False,-0.10315325248070563,1,1.2630000000000001,40885,171,0,0.0,1710.0000000000002,False,-0.07960308710033076,0,0.2,71395,27,92,1.0,2892.723511078213,False,0.04219884615605663,0,1.0820000000000003,67915,89,0,0.0,484.1984452669729,False,-0.02482259453680689,0,0.29000000000000004,98674,24,62,1.0,4731.222016563696,False,0.022305974687932904,0,0.2,99423,0,0,0.0,0.0,False,0.005949309455152527,13,1.572,131286,41,0,0.0,2655.0264565458356,False,-0.03658208030372228,7,1.0710000000000002,135016,0,5,0.5,290.00000000000006,False,-0.01807495877194894,0.3125,684321,0.0,0.0,11,0,0,8,9,9.0,14,22,16,30.0,9.0,6,3,16,775,1.6325362809584476,39.927160512132104
18,16,0,0,0,10.000000000000002,20,10.0,5.409007938368313,1,1.0,29.168011516248686,5,17.0,67.41652879942013,11,80.9090909090909,58.000000000000014,20,58.0,1,1.5330000000000004,39563,203,0,0.0,2030.0000000000005,False,-0.10522601984564499,0,1.262,40825,177,0,0.0,1770.0000000000002,False,-0.08026460859977949,0,0.2,71394,18,102,1.0,3072.4993175479954,False,0.04347063553445319,5,1.1320000000000001,67810,89,0,0.0,481.40170651477985,False,-0.026344919972852453,0,0.29000000000000004,99479,19,61,1.0,4666.600475573353,False,0.030123946352877823,0,0.2,99423,0,0,0.0,0.0,False,0.005949309455152527,7,1.6290000000000002,130619,47,0,0.0,3168.576853572746,False,-0.03956230392675304,8,1.1440000000000003,134809,0,5,0.5,290.00000000000006,False,-0.019578783718007396,0.3125,683922,0.0,0.0,12,0,0,8,10,9.333333333333334,16,24,15,142.0,43.0,10,6,15,1264,1.3492962889722548,41.27645680110436
19,15,0,0,0,10.000000000000002,20,10.0,5.274562573664777,4,1.0,28.59711685132661,43,27.46511627906977,68.42671113001228,10,74.5,58.00000000000001,20,58.0,4,1.572,39347,215,0,0.0,2150.0000000000005,False,-0.1086659316427784,0,1.2620000000000002,40745,185,0,0.0,1850.0000000000002,False,-0.08114663726571114,0,0.2,71458,12,108,1.0,3151.7833708272515,False,0.04495352379977134,39,1.5170000000000001,66977,89,0,0.0,469.4360690561652,False,-0.038348909252445496,0,0.29000000000000004,99043,52,61,1.0,5661.079455199732,False,0.030743559747051848,0,0.2,99423,0,0,0.0,0.0,False,0.005949309455152527,11,1.7320000000000004,129966,52,0,0.0,3558.1889787606387,False,-0.04289101635769014,4,1.1760000000000002,134703,0,5,0.5,290.00000000000006,False,-0.020348858328066315,0.3125,681662,0.0,0.0,11,0,0,5,10,9.666666666666666,21,26,22,98.0,36.0,9,6,22,1245,1.598390338011086,42.874847139115445
20,22,0,0,0,10.000000000000002,20,10.0,5.100069396427987,6,1.6666666666666667,26.81211381033207,21,17.0,68.42671113001228,0,,58.00000000000001,20,58.0,0,1.5680000000000003,39217,228,0,0.0,2280.0000000000005,False,-0.11009922822491731,6,1.3220000000000003,40530,192,0,0.0,1920.0000000000005,False,-0.08511576626240352,0,0.2,71669,8,105,1.0,2856.0725052562916,False,0.0458569829541026,8,1.558,66781,89,0,0.0,453.9061762820908,False,-0.04126433514363523,0,0.29000000000000004,98686,63,71,1.0,6547.459660281793,False,0.03161562027764358,0,0.2,99423,0,0,0.0,0.0,False,0.005949309455152527,11,1.8310000000000004,129719,52,0,0.0,3558.1889787606387,False,-0.044685435496223655,4,1.212,134940,0,0,0.0,0.0,False,-0.01968049168537367,0.25,680965,0.0,0.0,13,0,0,9,10,9.75,21,30,22,209.0,65.0,14,8,22,653,1.856596586003434,44.73144372511888
21,22,0,0,0,10.000000000000002,20,10.0,4.835669020618104,9,1.5555555555555556,26.81211381033207,0,,68.42671113001228,0,,58.000000000000014,20,58.0,5,1.6180000000000003,38982,240,0,0.0,2400.0000000000005,False,-0.11395810363836825,4,1.3560000000000003,40354,200,0,0.0,2000.0000000000005,False,-0.08811466372657112,0,0.2,71669,0,113,0.8,3029.768860567524,False,0.047099588368965946,0,1.5500000000000003,66767,98,0,0.0,473.89556402057417,False,-0.04132164221927701,0,0.29000000000000004,98686,53,81,1.0,6963.605633478594,False,0.033720876377187146,0,0.2,99423,0,0,0.0,0.0,False,0.005949309455152527,9,1.9100000000000006,129536,52,0,0.0,3558.1889787606387,False,-0.04601490392679707,11,1.318,134680,0,0,0.0,0.0,False,-0.02156935393646158,0.225,680097,0.0,0.0,8,0,0,17,11,11.0,19,36,16,234.0,45.0,18,4,16,200,1.546958860999439,46.27840258611832
22,16,0,0,0,10.000000000000002,20,10.0,4.8205557499123275,2,4.0,27.356081156385503,9,34.77777777777778,71.03560754272523,10,87.5,58.000000000000014,20,58.0,0,1.6130000000000004,38872,251,0,0.0,2510.0000000000005,False,-0.11517089305402425,2,1.372,40222,209,0,0.0,2090.0000000000005,False,-0.09003307607497243,0,0.2,71906,0,110,0.2,3009.1689272024055,False,0.05034316464833177,4,1.5900000000000003,66683,98,0,0.0,472.41446349140807,False,-0.042534092145800576,0,0.29000000000000004,99248,52,81,1.0,7176.40043109279,False,0.04048363652093286,0,0.2,99423,0,0,0.0,0.0,False,0.005949309455152527,6,1.9610000000000005,128562,62,0,0.0,4404.207667648964,False,-0.05001777104211085,14,1.4470000000000003,134305,0,0,0.0,0.0,False,-0.0242936744909153,0.15,679221,0.0,0.0,11,0,0,4,10,10.0,20,24,13,134.0,51.0,9,7,13,1320,1.362102754006628,47.640505340124946
23,13,0,0,0,10.000000000000002,20,10.0,4.669664722257252,6,2.1666666666666665,27.356081156385503,0,,71.03560754272523,0,,58.000000000000014,20,58.0,1,1.623,38749,261,0,0.0,2610.0000000000005,False,-0.11678059536934951,5,1.4200000000000002,40002,219,0,0.0,2190.0000000000005,False,-0.09378169790518191,0,0.2,71893,0,116,0.6,3173.3054141407183,False,0.05133137851356893,0,1.586,66683,98,0,0.0,457.62714278121075,False,-0.04263987907928506,0,0.29000000000000004,99248,42,91,1.0,7613.195694956187,False,0.042693356073031825,0,0.2,99423,0,0,0.0,0.0,False,0.005949309455152527,6,2.0150000000000006,128463,62,0,0.0,4404.207667648964,False,-0.050736991668486636,14,1.5730000000000004,133928,0,0,0.0,0.0,False,-0.027032524754992772,0.2,678389,0.0,0.0,7,0,0,4,12,12.0,20,24,10,112.0,28.0,8,5,10,200,1.150904480018653,48.7914098201436
24,10,0,0,0,10.000000000000002,20,10.0,4.593982676384797,2,1.0,28.231548499456565,5,49.0,69.85669131631087,3,44.0,58.00000000000001,20,58.0,2,1.6420000000000003,38631,268,0,0.0,2680.0000000000005,False,-0.11861080485115766,0,1.4150000000000003,39872,232,0,0.0,2320.0000000000005,False,-0.09521499448732083,0,0.2,72136,0,113,0.2,3190.164980438592,False,0.054928782839513794,0,1.586,66683,98,0,0.0,450.21030228571004,False,-0.04269293837430819,0,0.29000000000000004,99135,37,98,1.0,7890.523043478359,False,0.04295301787564311,0,0.2,99423,0,0,0.0,0.0,False,0.005949309455152527,15,2.1590000000000007,127915,65,0,0.0,4540.684935560207,False,-0.05422238833714659,5,1.609,133873,0,0,0.0,0.0,False,-0.027432091769645985,0.15,677668,0.0,0.0,11,0,0,3,7,7.0,20,23,10,94.0,20.0,7,3,10,577,0.9096749279997312,49.70108474814333
