index,n_registered_negotiations_before,n_contracts_dropped,n_contracts_nullified_now,n_bankrupt,trading_price_0,sold_quantity_0,unit_price_0,trading_price_1,sold_quantity_1,unit_price_1,trading_price_2,sold_quantity_2,unit_price_2,trading_price_3,sold_quantity_3,unit_price_3,trading_price_4,sold_quantity_4,unit_price_4,spot_market_quantity_00Ind@0,spot_market_loss_00Ind@0,balance_00Ind@0,inventory_00Ind@0_input,inventory_00Ind@0_output,productivity_00Ind@0,assets_00Ind@0,bankrupt_00Ind@0,score_00Ind@0,spot_market_quantity_01Dec@0,spot_market_loss_01Dec@0,balance_01Dec@0,inventory_01Dec@0_input,inventory_01Dec@0_output,productivity_01Dec@0,assets_01Dec@0,bankrupt_01Dec@0,score_01Dec@0,spot_market_quantity_02Buy@1,spot_market_loss_02Buy@1,balance_02Buy@1,inventory_02Buy@1_input,inventory_02Buy@1_output,productivity_02Buy@1,assets_02Buy@1,bankrupt_02Buy@1,score_02Buy@1,spot_market_quantity_03Buy@1,spot_market_loss_03Buy@1,balance_03Buy@1,inventory_03Buy@1_input,inventory_03Buy@1_output,productivity_03Buy@1,assets_03Buy@1,bankrupt_03Buy@1,score_03Buy@1,spot_market_quantity_04Dec@2,spot_market_loss_04Dec@2,balance_04Dec@2,inventory_04Dec@2_input,inventory_04Dec@2_output,productivity_04Dec@2,assets_04Dec@2,bankrupt_04Dec@2,score_04Dec@2,spot_market_quantity_05Ran@2,spot_market_loss_05Ran@2,balance_05Ran@2,inventory_05Ran@2_input,inventory_05Ran@2_output,productivity_05Ran@2,assets_05Ran@2,bankrupt_05Ran@2,score_05Ran@2,spot_market_quantity_06MyA@3,spot_market_loss_06MyA@3,balance_06MyA@3,inventory_06MyA@3_input,inventory_06MyA@3_output,productivity_06MyA@3,assets_06MyA@3,bankrupt_06MyA@3,score_06MyA@3,spot_market_quantity_07Buy@3,spot_market_loss_07Buy@3,balance_07Buy@3,inventory_07Buy@3_input,inventory_07Buy@3_output,productivity_07Buy@3,assets_07Buy@3,bankrupt_07Buy@3,score_07Buy@3,productivity,market_size,production_failures,bankruptcy,n_contracts_executed,n_contracts_erred,n_contracts_nullified,n_contracts_cancelled,n_breaches,breach_level,n_contracts_signed,n_contracts_concluded,n_negotiations,n_negotiation_rounds_successful,n_negotiation_rounds_failed,n_negotiation_successful,n_negotiation_failed,n_registered_negotiations_after,activity_level,step_time,total_time
10,40,0,0,0,10.000000000000002,20,10.0,27.26389135639649,13,28.0,26.447468474705705,57,25.105263157894736,13.909935801974468,15,5.4,52.0,9,52.0,0,0.398,50679,8,15,1.0,488.95837034594734,False,0.03629383771210776,0,0.3350000000000001,50649,0,19,0.9,518.0139357715333,False,0.035978977775453176,2,2.263000000000001,74802,136,0,0.0,3707.8892244699223,False,-0.10175832420629292,55,2.3970000000000007,77337,79,0,0.0,2153.8474171553225,False,-0.0811586160232288,0,0.2,112696,0,30,0.6,417.29807405923407,False,0.009194546078065208,15,2.501000000000001,84944,407,0,0.0,10764.119669205222,False,-0.19262344171580492,0,0.2,142830,0,4,0.0,208.0,False,0.0007001134183737765,9,0.8480000000000003,138608,280,0,0.0,3894.782024552851,False,-0.015952847275323555,0.3125,732545,0.0,0.0,7,0,0,17,9,9.0,19,36,43,417.0,147.0,26,14,43,564,6.4404758519958705,133.3896729509579
11,43,0,0,0,10.000000000000002,20,10.0,25.025639904175097,52,18.53846153846154,25.90870759358473,52,22.51923076923077,11.644241183442018,45,3.066666666666667,51.99999999999999,7,52.0,20,0.5980000000000001,50604,10,10,1.0,350.25639904175097,False,0.03335629221654207,0,0.3350000000000001,51028,0,10,0.8,250.25639904175097,False,0.04096719982744968,10,2.3610000000000007,73696,188,0,0.0,4704.820301984918,False,-0.10887731250301774,42,2.7620000000000005,76358,79,0,0.0,1977.0255524298327,False,-0.0936663607193002,0,0.2,112605,0,36,0.6,419.19268260391266,False,0.00838961297599095,45,2.936000000000001,80406,453,0,0.0,11736.644539893883,False,-0.22883976661708547,0,0.2,142830,0,4,0.0,207.99999999999997,False,0.0007001134183737765,7,0.9090000000000003,138374,325,0,0.0,3784.3783846186557,False,-0.017977588023094394,0.3,725901,0.0,0.0,7,0,0,16,14,13.8,19,35,40,377.0,143.0,25,18,40,939,5.995564065990038,139.38523701694794
12,40,0,0,0,10.000000000000002,20,10.0,23.295448800237224,53,17.339622641509433,25.746172983957024,10,20.2,12.498215818915895,13,25.23076923076923,51.99999999999999,8,52.0,32,0.8980000000000001,50348,12,10,1.0,352.9544880023723,False,0.028174140089564256,1,0.34500000000000003,51244,0,8,0.8,186.3635904018978,False,0.04471269424503361,6,2.4110000000000005,73253,199,0,0.0,4635.794311247208,False,-0.11447273077544402,4,2.7600000000000007,75706,121,0,0.0,2818.749304828704,False,-0.09637479901084661,0,0.2,112810,0,36,0.5,449.9357694809722,False,0.010359396874579773,8,2.971000000000001,79967,458,0,0.0,11791.747226652316,False,-0.23251748709887593,0,0.2,142830,0,4,0.0,207.99999999999997,False,0.0007001134183737765,8,0.9820000000000002,137926,338,0,0.0,4224.396946793572,False,-0.019573781638847904,0.2875,724084,0.0,0.0,7,0,0,15,8,7.090909090909091,19,34,36,353.0,136.0,24,16,36,760,5.758432561997324,145.14366957894526
13,36,0,0,0,10.000000000000002,20,10.0,22.90181084651103,6,9.0,25.291248576015068,68,23.176470588235293,13.35326706655607,42,17.142857142857142,52.0,12,52.0,0,0.8660000000000001,50252,17,14,1.0,490.6253518511544,False,0.02762134057642604,0,0.3440000000000001,51194,0,13,0.5,297.7235410046434,False,0.04482828185800408,44,2.8450000000000006,71901,205,0,0.0,4694.871223534761,False,-0.12996911633738722,24,2.9960000000000004,74983,121,0,0.0,2771.1191124278344,False,-0.1051258547432163,0,0.2,113214,1,36,1.0,506.00886297203357,False,0.014221141544978489,32,3.283000000000001,76549,515,0,0.0,13024.99301664776,False,-0.2575575055568319,0,0.2,142830,0,4,0.0,208.0,False,0.0007001134183737765,12,1.094,136987,380,0,0.0,5074.241485291306,False,-0.023172908812708188,0.3125,717910,0.0,0.0,8,0,0,13,14,14.0,18,31,39,309.0,137.0,21,15,39,824,5.019939228019211,150.16360880696448
14,39,0,0,0,10.000000000000002,20,10.0,22.949323468648306,26,23.307692307692307,25.351097680931975,55,25.727272727272727,13.21275636017773,4,6.0,52.00000000000001,9,52.0,2,0.8859999999999999,50440,16,10,1.0,389.4932346864831,False,0.030418124081059022,0,0.3440000000000001,51366,1,13,1.0,308.34120509242797,False,0.04843652019833561,36,3.161000000000001,70873,214,0,0.0,4911.155222290738,False,-0.14074786019281257,19,3.162000000000001,74257,138,0,0.0,3167.006638673466,False,-0.11131353035696359,0,0.2,113107,0,44,0.8,581.3612798478201,False,0.013601493080945994,4,3.291000000000001,75085,563,0,0.0,14272.667994364701,False,-0.26506727093226123,0,0.2,142830,0,4,0.0,208.00000000000003,False,0.0007001134183737765,9,1.1720000000000002,136823,384,0,0.0,5073.698442308249,False,-0.0243229957772371,0.35,714781,0.0,0.0,8,0,0,14,12,11.222222222222221,18,32,34,358.0,168.0,23,16,34,545,5.110236996028107,155.27384580299258
15,34,0,0,0,10.000000000000002,20,10.0,23.862328410316305,40,28.425,25.00791731411348,96,23.71875,14.370667285838936,5,58.0,52.0,14,52.0,16,1.044,50651,17,10,1.0,408.6232841031631,False,0.03490662682237647,1,0.35400000000000004,51645,0,10,1.0,238.62328410316306,False,0.05340479532054497,31,3.435000000000001,69885,221,0,0.0,5273.574578679903,False,-0.1502016956955713,65,3.793000000000001,70158,171,0,0.0,4080.458158164088,False,-0.1539930972687832,0,0.2,113306,0,45,0.6,646.6800278627521,False,0.0156721728872267,0,3.2870000000000013,72899,653,0,0.0,16330.170006116103,False,-0.27541130355877896,0,0.2,142830,0,4,0.0,208.0,False,0.0007001134183737765,14,1.3030000000000004,136209,389,0,0.0,5590.189574191346,False,-0.026813680306539946,0.325,707583,0.0,0.0,9,0,0,18,15,14.0,11,29,36,318.0,130.0,20,14,36,854,3.905983838951215,159.1798296419438
16,36,0,0,0,10.000000000000002,20,10.0,24.040630356522623,37,25.08108108108108,24.99421794832182,64,24.90625,13.357408601381845,29,7.275862068965517,52.0,11,52.0,16,1.1880000000000004,50719,20,10,1.0,440.40630356522627,False,0.036613820752596886,1,0.36300000000000004,51860,0,7,0.7,168.28441249565836,False,0.057064350961494315,57,3.9740000000000006,68765,237,0,0.0,5697.629394495862,False,-0.16084116830035236,7,3.798000000000001,69480,192,0,0.0,4615.801028452343,False,-0.15880125950051355,0,0.2,113274,0,47,0.2,627.7982042649468,False,0.015301754640248815,29,3.577000000000001,69712,715,0,0.0,17870.8658330501,False,-0.29701246990842495,0,0.2,142830,0,4,0.0,208.0,False,0.0007001134183737765,11,1.3990000000000002,135785,418,0,0.0,5583.396795377611,False,-0.0298059397784225,0.2375,702425,0.0,0.0,6,0,0,17,13,12.09090909090909,15,32,36,350.0,136.0,22,14,36,480,4.692693889024667,163.87252353096846
17,36,0,0,0,10.000000000000002,20,10.0,24.488075170772095,29,28.0,25.05914127955975,38,25.789473684210527,11.390942862160362,47,3.74468085106383,51.99999999999999,9,52.0,0,1.1720000000000002,50881,19,11,1.0,459.3688268784931,False,0.04010346791695655,13,0.49200000000000005,51981,1,10,1.0,254.88075170772095,False,0.06040782205644813,28,4.197000000000001,67559,256,0,0.0,6268.947243717656,False,-0.17162557274597115,10,3.891000000000001,69120,202,0,0.0,4946.591184495964,False,-0.16108160777773625,0,0.2,113124,0,57,1.0,649.2837431431407,False,0.014057008398330026,47,4.018000000000001,65308,743,0,0.0,18618.941970712895,False,-0.333034154015549,0,0.2,142830,0,4,0.0,207.99999999999997,False,0.0007001134183737765,9,1.4780000000000004,135474,465,0,0.0,5296.7884309045685,False,-0.03298658431849363,0.375,696277,0.0,0.0,6,0,0,14,13,12.3,15,29,36,299.0,170.0,19,17,36,452,3.0640541239990853,166.93657765496755
18,36,0,0,0,10.000000000000002,20,10.0,23.97913985551107,22,18.636363636363637,24.95208067094626,24,23.083333333333332,9.85012507391799,36,1.0,52.0,7,52.0,0,1.1720000000000004,50851,17,16,1.0,553.6662376881771,False,0.04045244442092157,7,0.549,52060,3,10,1.0,269.79139855511073,False,0.06216718964748792,13,4.299,67397,261,0,0.0,6258.55550228839,False,-0.1735847462954746,11,3.9910000000000005,68463,219,0,0.0,5251.431628356925,False,-0.16699419013149214,0,0.2,112942,2,67,1.0,709.8625412943978,False,0.01270094810904213,36,4.331000000000001,62429,755,0,0.0,18838.820906564426,False,-0.35778531183379625,0,0.2,142830,0,4,0.0,208.0,False,0.0007001134183737765,7,1.5390000000000004,135336,501,0,0.0,4934.912662032913,False,-0.03521951124370621,0.375,692308,0.0,0.0,7,0,0,12,12,11.7,18,30,31,321.0,167.0,20,16,31,320,2.4844059990136884,169.42098365398124
19,31,0,0,0,10.000000000000002,20,10.0,24.012237448894492,38,24.210526315789473,24.78133530574921,18,21.0,11.654354469982426,18,33.55555555555556,51.99999999999999,12,52.0,14,1.3120000000000003,51029,21,10,1.0,450.12237448894496,False,0.04302118818161318,0,0.542,52232,0,11,0.9,264.1346119378394,False,0.06560983528630283,0,4.286000000000001,67089,272,0,0.0,6531.328586099302,False,-0.17559568440298048,18,4.16,67563,246,0,0.0,5907.010412428045,False,-0.173699259360042,0,0.2,113522,0,59,0.2,687.6069137289631,False,0.017785793707895167,8,4.375000000000001,61715,773,0,0.0,19155.97219134414,False,-0.3627499544525004,0,0.2,142830,0,4,0.0,207.99999999999997,False,0.0007001134183737765,12,1.6520000000000004,134491,519,0,0.0,6048.609969920879,False,-0.03723689748266909,0.2625,690471,0.0,0.0,10,0,0,13,7,6.545454545454545,13,26,27,255.0,150.0,16,15,27,1320,2.223340830008965,171.6443244839902
20,27,0,0,0,10.000000000000002,20,10.0,24.187633456074504,11,28.0,24.312038232979354,64,21.5625,11.96319405033043,20,15.25,51.99999999999999,7,52.0,1,1.308,51174,25,10,1.0,491.87633456074514,False,0.04639678810094367,0,0.542,52172,0,17,0.6,411.18976875326655,False,0.06588512178218622,22,4.506000000000001,66666,272,0,0.0,6579.036300052265,False,-0.18027281286587604,42,4.562000000000001,66008,257,0,0.0,6216.221798211148,False,-0.19010884814734497,0,0.2,113770,0,56,0.2,669.938866818504,False,0.01992357103765999,15,4.517000000000002,59617,835,0,0.0,20300.55192453776,False,-0.37638746503031145,0,0.2,142830,0,4,0.0,207.99999999999997,False,0.0007001134183737765,7,1.7100000000000002,134091,539,0,0.0,6448.161593128101,False,-0.03863869389246219,0.225,686328,0.0,0.0,7,0,0,11,11,10.09090909090909,16,27,27,245.0,93.0,16,11,27,480,4.011052710993681,175.65537719498388
21,27,0,0,0,10.000000000000002,20,10.0,24.067825202086002,29,23.137931034482758,24.435457061835173,35,25.82857142857143,10.956358994437336,23,1.7826086956521738,51.99999999999999,13,52.0,0,1.3070000000000002,51334,27,10,1.0,510.6782520208601,False,0.049844101058413366,2,0.562,52437,0,8,0.8,192.54260161668802,False,0.06905314002458984,16,4.644000000000001,66048,291,0,0.0,7003.737133807027,False,-0.18502614756382096,19,4.710000000000001,65320,267,0,0.0,6426.109328956963,False,-0.19694100463465578,0,0.2,113679,0,62,0.6,679.2942576551148,False,0.019151981915938757,23,4.732000000000001,57471,864,0,0.0,21112.23490142559,False,-0.39194181548578066,0,0.2,142830,0,4,0.0,207.99999999999997,False,0.0007001134183737765,13,1.8330000000000004,133785,562,0,0.0,6157.473754873783,False,-0.04179861323328553,0.3,682904,0.0,0.0,7,0,0,15,13,12.181818181818182,11,26,30,252.0,108.0,16,11,30,552,2.676411055959761,178.33178825094365
22,30,0,0,0,10.000000000000002,20,10.0,23.505670797717556,9,9.222222222222221,24.448200214758007,18,24.72222222222222,10.7707294802371,5,3.0,51.99999999999999,9,52.0,0,1.307,51284,22,20,1.0,690.1134159543511,False,0.05065235465969025,1,0.5700000000000002,52347,5,10,1.0,285.05670797717556,False,0.06816297016663789,7,4.698,65970,291,0,0.0,6840.150202135809,False,-0.18689858095772313,11,4.801000000000001,65037,276,0,0.0,6487.565140170045,False,-0.19989708729687108,0,0.2,113588,0,68,0.6,732.4096046561227,False,0.018575966269155725,5,4.759000000000001,56907,876,0,0.0,21416.623388128013,False,-0.39562272789459757,0,0.2,142830,0,4,0.0,207.99999999999997,False,0.0007001134183737765,9,1.9100000000000004,133630,567,0,0.0,6107.003615294435,False,-0.043060463141498494,0.325,681593,0.0,0.0,6,0,0,17,8,7.5,12,29,34,298.0,110.0,18,12,34,263,2.8058620750089176,181.13765032595256
23,34,0,0,0,10.000000000000002,20,10.0,21.57522401093841,59,14.576271186440678,24.205187146422514,37,21.81081081081081,10.018411299035293,60,7.6,51.99999999999999,11,52.0,33,1.637,50887,23,10,1.0,445.75224010938416,False,0.04008701913013216,0,0.5690000000000001,52425,4,14,1.0,342.05313615313776,False,0.0703302109905691,6,4.751000000000001,65390,322,0,0.0,6947.222131522168,False,-0.19306759941690785,31,5.100000000000001,63701,304,0,0.0,6558.8680993252765,False,-0.21513435610894494,0,0.2,113777,0,69,0.6,691.2703796334353,False,0.020081475828745393,55,5.304000000000001,51510,907,0,0.0,21954.10474180522,False,-0.4414615076432603,0,0.2,142830,0,4,0.0,207.99999999999997,False,0.0007001134183737765,11,2.0110000000000006,132962,627,0,0.0,6281.543884495129,False,-0.04712623085366525,0.325,673482,0.0,0.0,8,0,0,15,18,17.5,15,30,34,307.0,115.0,20,14,34,900,2.5181363729643635,183.65578669891693
24,34,0,0,0,10.000000000000002,20,10.0,22.099050249091054,64,24.109375,24.381338652508777,14,28.928571428571427,10.795351621902118,48,14.479166666666666,51.99999999999999,10,52.0,25,1.8540000000000003,50772,23,10,1.0,450.99050249091056,False,0.037800066162911164,15,0.7190000000000001,52723,4,10,1.0,260.99050249091056,False,0.07556970393254894,2,4.7650000000000015,64471,363,0,0.0,8021.955240420052,False,-0.19753951698839894,12,5.189000000000002,62907,327,0,0.0,7226.389431452774,False,-0.22052736447473173,0,0.2,114341,0,60,0.1,647.7210973141271,False,0.024928139624736848,38,5.629000000000001,48518,920,0,0.0,22430.831560308074,False,-0.46607479906187177,0,0.2,142830,0,4,0.0,207.99999999999997,False,0.0007001134183737765,10,2.1000000000000005,132094,675,0,0.0,7286.862344783929,False,-0.04968403060621454,0.2625,668656,0.0,0.0,10,0,0,18,17,16.244444444444444,14,32,34,309.0,133.0,20,14,34,1293,2.519751521991566,186.1755382209085
