index,n_registered_negotiations_before,n_contracts_dropped,n_contracts_nullified_now,n_bankrupt,trading_price_0,sold_quantity_0,unit_price_0,trading_price_1,sold_quantity_1,unit_price_1,trading_price_2,sold_quantity_2,unit_price_2,trading_price_3,sold_quantity_3,unit_price_3,trading_price_4,sold_quantity_4,unit_price_4,spot_market_quantity_00Dec@0,spot_market_loss_00Dec@0,balance_00Dec@0,inventory_00Dec@0_input,inventory_00Dec@0_output,productivity_00Dec@0,assets_00Dec@0,bankrupt_00Dec@0,score_00Dec@0,spot_market_quantity_01Ind@0,spot_market_loss_01Ind@0,balance_01Ind@0,inventory_01Ind@0_input,inventory_01Ind@0_output,productivity_01Ind@0,assets_01Ind@0,bankrupt_01Ind@0,score_01Ind@0,spot_market_quantity_02MyA@1,spot_market_loss_02MyA@1,balance_02MyA@1,inventory_02MyA@1_input,inventory_02MyA@1_output,productivity_02MyA@1,assets_02MyA@1,bankrupt_02MyA@1,score_02MyA@1,spot_market_quantity_03Buy@1,spot_market_loss_03Buy@1,balance_03Buy@1,inventory_03Buy@1_input,inventory_03Buy@1_output,productivity_03Buy@1,assets_03Buy@1,bankrupt_03Buy@1,score_03Buy@1,spot_market_quantity_04Dec@2,spot_market_loss_04Dec@2,balance_04Dec@2,inventory_04Dec@2_input,inventory_04Dec@2_output,productivity_04Dec@2,assets_04Dec@2,bankrupt_04Dec@2,score_04Dec@2,spot_market_quantity_05Buy@2,spot_market_loss_05Buy@2,balance_05Buy@2,inventory_05Buy@2_input,inventory_05Buy@2_output,productivity_05Buy@2,assets_05Buy@2,bankrupt_05Buy@2,score_05Buy@2,spot_market_quantity_06Dec@3,spot_market_loss_06Dec@3,balance_06Dec@3,inventory_06Dec@3_input,inventory_06Dec@3_output,productivity_06Dec@3,assets_06Dec@3,bankrupt_06Dec@3,score_06Dec@3,spot_market_quantity_07Ran@3,spot_market_loss_07Ran@3,balance_07Ran@3,inventory_07Ran@3_input,inventory_07Ran@3_output,productivity_07Ran@3,assets_07Ran@3,bankrupt_07Ran@3,score_07Ran@3,productivity,market_size,production_failures,bankruptcy,n_contracts_executed,n_contracts_erred,n_contracts_nullified,n_contracts_cancelled,n_breaches,breach_level,n_contracts_signed,n_contracts_concluded,n_negotiations,n_negotiation_rounds_successful,n_negotiation_rounds_failed,n_negotiation_successful,n_negotiation_failed,n_registered_negotiations_after,activity_level,step_time,total_time
10,30,0,0,0,10.000000000000002,20,10.0,26.155340697752994,39,29.76923076923077,21.468186692510294,30,16.533333333333335,42.164827839504724,78,40.97435897435897,57.0,20,57.0,7,0.27,27001,0,10,1.0,261.55340697752996,False,0.07465349164212641,0,0.2,26085,4,28,1.0,772.3495395370838,False,0.048487930041927446,0,0.2,41645,0,0,0.0,0.0,False,0.013137087945505412,30,1.2740000000000002,32497.0,170,0,0.0,4446.407918618009,False,-0.15532893907531928,0,0.37100000000000005,58331,3,28,1.0,1245.0197395836633,False,0.013887625456468704,77,2.7700000000000005,47265,82,0,0.0,1760.391308785844,False,-0.17199470893280847,10,0.552,70082,68,10,1.0,3437.208293086321,False,-0.019318389038541793,9,0.8390000000000002,62838,204,0,0.0,8601.624879258963,False,-0.08299102042437359,0.5,365744,0.0,0.0,14,0,0,14,17,16.5,24,38,20,229.0,42.0,16,14,20,1077,2.5993014313280582,77.29989658948034
11,20,0,0,0,10.000000000000002,20,10.0,25.813934833880776,59,24.949152542372882,21.945481717640494,43,23.186046511627907,42.07592494896836,9,40.0,57.0,20,57.0,21,0.4730000000000001,27242,2,10,1.0,278.13934833880774,False,0.08452765374774843,0,0.2,26517,2,10,1.0,278.13934833880774,False,0.055811370625001175,0,0.2,41645,0,0,0.0,0.0,False,0.013137087945505412,43,1.6740000000000004,29477.0,229,0,0.0,5911.391076958697,False,-0.21097930815036256,0,0.37100000000000005,57755,19,34,1.0,1847.5456009000936,False,0.009162673278472224,5,2.7430000000000003,46949,99,0,0.0,2172.602690046409,False,-0.17388468088908604,0,0.542,70431,61,12,1.0,3250.63142188707,False,-0.015825777355138407,12,0.9500000000000002,62301,210,0,0.0,8835.944239283355,False,-0.08872536885007608,0.5,362317,0.0,0.0,18,0,0,11,13,12.333333333333332,22,33,23,202.0,46.0,13,7,23,1318,2.22475269343704,79.52464928291738
12,23,0,0,0,10.000000000000002,20,10.0,25.813934833880776,0,,21.799042555543114,3,15.0,42.39533892981219,86,43.127906976744185,57.0,20,57.0,0,0.45200000000000007,27142,2,20,1.0,536.2786966776155,False,0.0856790647735893,0,0.2,26417,2,20,1.0,536.2786966776155,False,0.05696278165084205,0,0.2,41645,0,0,0.0,0.0,False,0.013137087945505412,3,1.6610000000000005,29411.0,229,0,0.0,5911.391076958697,False,-0.212584952232591,0,0.37100000000000005,58116,9,37,1.0,1764.818923402939,False,0.0146598125701075,79,3.528000000000001,43779,102,0,0.0,2223.5023406653977,False,-0.2279649301700427,0,0.542,68234,118,10,1.0,5572.649993717839,False,-0.02997575637698665,8,1.0180000000000002,61328,229,0,0.0,9708.532614926991,False,-0.0960559133037835,0.5,356072,0.0,0.0,19,0,0,15,8,8.0,22,37,24,222.0,39.0,15,8,24,1245,2.030762452632189,81.55541173554957
13,24,0,0,0,10.000000000000002,20,10.0,25.622272360382688,16,23.375,21.799042555543114,0,,42.56096198609084,21,44.57142857142857,57.00000000000001,20,57.0,0,0.45200000000000007,27042,2,30,1.0,788.6681708114806,False,0.08671660337488568,0,0.2,26691,2,14,1.0,378.71181304535764,False,0.06469504917505763,0,0.2,41645,0,0,0.0,0.0,False,0.013137087945505412,0,1.6580000000000004,29037.0,245,0,0.0,6277.456728293759,False,-0.21723079031390638,0,0.37100000000000005,58537,0,41,0.9,1744.9994414297244,False,0.021729778844888085,16,3.6090000000000004,43286,102,0,0.0,2223.5023406653977,False,-0.23644358734336504,0,0.542,68600,115,11,1.0,5521.510628400446,False,-0.025326021796076913,11,1.12,60329,243,0,0.0,10342.313762620073,False,-0.10537243896319008,0.4875,355167,0.0,0.0,19,0,0,10,8,8.0,25,35,27,228.0,59.0,14,10,27,1508,2.1189309945330024,83.67434273008257
14,27,0,0,0,10.000000000000002,20,10.0,26.069987610959064,28,29.0,21.75410916447555,1,16.0,44.19573855585048,36,55.47222222222222,57.0,20,57.0,0,0.45200000000000007,27357,4,25,1.0,691.7496902739766,False,0.09727392740274039,0,0.2,26988,0,11,1.0,286.7698637205497,False,0.07463797409039781,0,0.2,41645,0,0,0.0,0.0,False,0.013137087945505412,1,1.6680000000000004,28204.0,273,0,0.0,7117.106617791825,False,-0.22728248853190822,0,0.37100000000000005,59857,0,25,0.0,1104.8934638962621,False,0.03892695511209943,20,3.7930000000000006,42658,103,0,0.0,2240.6732439409816,False,-0.24709633298987907,0,0.542,68966,112,12,1.0,5633.922718255254,False,-0.01955936134497537,11,1.2190000000000003,58215,272,0,0.0,12021.240887191332,False,-0.12278057169165242,0.375,353890,0.0,0.0,20,0,0,13,11,11.0,23,36,32,221.0,96.0,15,12,32,2845,2.81726155616343,86.491604286246
15,32,0,0,0,10.000000000000002,20,10.0,23.14563971737585,41,9.585365853658537,21.31889641134071,8,15.0,43.83872579050141,97,42.896907216494846,56.99999999999999,20,57.0,0,0.45200000000000007,27247,5,35,1.0,860.0973901081547,False,0.09625098804032464,30,0.5,26319,0,9,0.9,208.31075745638265,False,0.046585946002621774,0,0.2,41645,0,0,0.0,0.0,False,0.013137087945505412,8,1.747,27635.0,314,0,0.0,7267.730871256017,False,-0.23929289780737115,0,0.37100000000000005,59922,0,24,0.0,1052.1294189720338,False,0.03959111047167506,96,4.733000000000001,37633,111,0,0.0,2366.397501658819,False,-0.33243561464538557,2,0.562,66120,183,10,1.0,8592.486819661757,False,-0.03822654633844331,6,1.2680000000000002,57462,288,0,0.0,12625.553027664406,False,-0.128938379924439,0.3625,343983,0.0,0.0,17,0,0,13,15,14.5,30,43,25,319.0,79.0,21,11,25,991,2.846041925251484,89.33764621149749
16,25,0,0,0,10.000000000000002,20,10.0,22.41897712638015,29,17.20689655172414,20.699639410179273,16,16.375,44.72720367054882,8,80.0,56.99999999999999,20,57.0,0,0.45200000000000007,27097,10,45,1.0,1108.8539706871068,False,0.09523614628841266,20,0.6700000000000002,26269,0,5,0.5,112.09488563190075,False,0.04270002150021589,0,0.2,41645,0,0,0.0,0.0,False,0.013137087945505412,16,1.8990000000000002,26718.0,343,0,0.0,7689.709154348391,False,-0.2564686880629073,0,0.37100000000000005,60487,0,21,0.5,939.2712770815251,False,0.04833755784646861,0,4.637000000000001,37446,122,0,0.0,2525.3560080418715,False,-0.33428476586487577,3,0.5900000000000001,66519,175,10,1.0,8397.260642346042,False,-0.03411008234415043,7,1.3320000000000003,56825,294,0,0.0,13149.797879141352,False,-0.13405860903406852,0.375,343006,0.0,0.0,16,0,0,13,11,9.6,18,31,26,176.0,69.0,12,13,26,1353,2.353333548642695,91.69097976014018
17,26,0,0,0,10.000000000000002,20,10.0,22.806680804110417,45,24.644444444444446,19.436926061663698,37,15.513513513513514,43.411784751291215,108,39.842592592592595,56.99999999999999,20,57.0,0,0.45200000000000007,28019,7,23,1.0,594.5536584945396,False,0.12156996194586558,8,0.7300000000000002,26064,3,10,1.0,258.0668080411042,False,0.03747112148059383,0,0.2,41645,0,0,0.0,0.0,False,0.013137087945505412,37,2.2530000000000006,24064.0,388,0,0.0,8848.992151994842,False,-0.3069335585452519,0,0.37100000000000005,60341,3,30,1.0,1360.6643207237275,False,0.049450214294394466,107,5.707000000000001,30659,146,0,0.0,2837.7912050029,False,-0.44832154228147336,2,0.6070000000000001,63171,263,10,1.0,11987.299389589589,False,-0.05532131810701647,8,1.4050000000000002,56264,304,0,0.0,13197.18256439253,False,-0.14139737373220976,0.5,330227,0.0,0.0,19,0,0,12,16,15.282051282051281,25,37,31,196.0,46.0,16,10,31,1770,2.5479030730202794,94.23888283316046
18,31,0,0,0,10.000000000000002,20,10.0,21.22862435095675,30,9.0,18.676010354558798,43,16.25581395348837,42.51617265300996,47,35.638297872340424,57.0,20,57.0,0,0.45200000000000007,28128,5,12,1.0,304.743492211481,False,0.12014780948650304,0,0.7220000000000002,26025,5,11,1.0,283.51486786052425,False,0.03643036534757645,0,0.2,41645,0,0,0.0,0.0,False,0.013137087945505412,43,2.646000000000001,21772.0,418,0,0.0,8873.564978699922,False,-0.3623942953570135,0,0.37100000000000005,60266,0,38,0.8,1615.6145608143784,False,0.05035268600432003,47,6.07,27397,184,0,0.0,3436.385905238819,False,-0.4992743619059022,5,0.655,62720,281,10,1.0,12517.044515495798,False,-0.057863521713475384,5,1.4470000000000003,55463,323,0,0.0,13732.723766922218,False,-0.14868043592896113,0.475,323416,0.0,0.0,18,0,0,16,16,16.0,23,39,26,241.0,64.0,15,16,26,1040,2.3416473791003227,96.58053021226078
19,26,0,0,0,10.000000000000002,20,10.0,21.035333310159167,47,20.06382978723404,18.60650370098201,7,17.0,42.423749766050925,14,40.0,56.99999999999999,20,57.0,0,0.45200000000000007,28098,0,20,0.8,420.7066662031833,False,0.12125612283049841,36,1.0820000000000003,25511,12,10,1.0,330.3533331015917,False,0.016999115401861473,0,0.2,41645,0,0,0.0,0.0,False,0.013137087945505412,7,2.673000000000001,20689.0,465,0,0.0,9781.429989224012,False,-0.3776982120274418,0,0.37100000000000005,60266,0,38,0.0,1612.102491109935,False,0.05032248556315084,14,6.163000000000001,27019,191,0,0.0,3553.842206887564,False,-0.5047652271275104,2,0.6700000000000002,63268,271,10,1.0,12066.836186599801,False,-0.05345328015707299,8,1.5220000000000005,54751,337,0,0.0,14296.803671159161,False,-0.15455300367985278,0.35,321247,0.0,0.0,15,0,0,12,11,10.549019607843137,23,35,27,223.0,39.0,13,13,27,974,1.7587605649605393,98.33929077722132
20,27,0,0,0,10.000000000000002,20,10.0,21.65834307969542,17,31.0,18.15602717968885,22,15.045454545454545,42.14384992420716,14,35.285714285714285,57.00000000000001,20,57.0,0,0.45200000000000007,28485,4,13,1.0,321.55846003604046,False,0.1346211126081522,0,1.046,25451,8,20,1.0,513.1668615939084,False,0.01824309544884353,0,0.2,41645,0,0,0.0,0.0,False,0.013137087945505412,22,2.8860000000000006,19444.0,482,0,0.0,10439.321364413192,False,-0.3999839269624962,0,0.37100000000000005,60247,1,46,1.0,1956.7731236932182,False,0.052959559760716264,12,6.269000000000001,26526,202,0,0.0,3667.5174902971476,False,-0.51226638556137,0,0.6680000000000001,63346,270,15,1.0,12233.839479535933,False,-0.051247425530725026,15,1.6640000000000004,54033,342,0,0.0,14413.196674078848,False,-0.16356486598320802,0.5,319177,0.0,0.0,15,0,0,11,12,12.0,24,35,31,207.0,56.0,13,14,31,1170,1.8119597742334008,100.15125055145472
21,31,0,0,0,10.000000000000002,20,10.0,22.599868495603964,36,29.0,17.421742187224105,52,15.211538461538462,41.62635391231171,26,35.230769230769226,57.00000000000001,20,57.0,11,0.562,28867,0,9,0.9,203.39881646043568,False,0.1474115502131033,0,1.046,25649,13,18,1.0,536.7976329208714,False,0.026553603060182767,0,0.2,41645,0,0,0.0,0.0,False,0.013137087945505412,52,3.3840000000000012,15606.0,518,0,0.0,11706.731880722853,False,-0.4779378192346083,0,0.37100000000000005,60500,0,46,0.6,1914.8122799663386,False,0.056949852784080934,20,6.457000000000001,25103,249,0,0.0,4338.013804618802,False,-0.5309736370118426,0,0.6680000000000001,63654,269,16,1.0,12109.489202411849,False,-0.04788985042401253,11,1.7590000000000003,53069,359,0,0.0,14943.861054519903,False,-0.17310755272471554,0.4375,314093,0.0,0.0,18,0,0,11,16,15.916666666666666,23,34,30,236.0,74.0,15,16,30,1737,2.054921017959714,102.20617156941444
22,30,0,0,0,10.000000000000002,20,10.0,23.331059996652357,28,29.928571428571427,17.01950300001804,25,14.0,41.53128176317738,7,37.285714285714285,57.00000000000001,20,57.0,4,0.5910000000000001,29064,1,10,1.0,243.31059996652357,False,0.15600488374790114,0,1.046,25994,12,13,1.0,423.30377995648064,False,0.03797092288106463,0,0.2,41645,0,0,0.0,0.0,False,0.013137087945505412,25,3.582000000000001,14193.0,546,0,0.0,12738.758758172187,False,-0.4997596550520352,0,0.37100000000000005,60500,0,46,0.0,1910.4389611061597,False,0.05691224642371069,7,6.5070000000000014,24629,274,0,0.0,4663.343822004943,False,-0.5363280034567731,0,0.6680000000000001,64281,259,15,1.0,11611.601976662942,False,-0.04272620380616723,9,1.8380000000000003,52632,366,0,0.0,15200.449125322923,False,-0.17732398330039664,0.375,312938,0.0,0.0,18,0,0,18,8,7.3076923076923075,21,39,30,223.0,62.0,16,14,30,1262,1.866675858385861,104.0728474278003
23,30,0,0,0,10.000000000000002,20,10.0,23.331059996652357,0,,16.670671953903817,25,14.0,41.13461145656921,23,36.17391304347826,57.00000000000001,20,57.0,0,0.5870000000000002,28994,0,18,0.8,419.9590799397424,False,0.15673068245612828,0,1.046,25864,15,23,1.0,686.6143799230042,False,0.03803648710585426,0,0.2,41645,0,0,0.0,0.0,False,0.013137087945505412,25,3.8070000000000013,13618.0,546,0,0.0,12738.758758172187,False,-0.5137482209199344,0,0.37100000000000005,60758,0,43,0.0,1768.788292632476,False,0.060131292716889224,20,6.700000000000001,23585,299,0,0.0,4984.530914217241,False,-0.5515209050130943,0,0.6680000000000001,64621,259,15,1.0,11508.864367251426,False,-0.03878396252645339,10,1.9290000000000003,51813,379,0,0.0,15590.01774203973,False,-0.18584977298340694,0.35,310898,0.0,0.0,15,0,0,15,9,9.0,24,39,34,308.0,33.0,19,11,34,1028,3.7194844018667936,107.79233182966709
24,34,0,0,0,10.000000000000002,20,10.0,23.16284097246746,3,9.0,16.55787823879197,34,15.911764705882353,41.130185318795334,94,41.11702127659574,57.00000000000001,20,57.0,0,0.5870000000000002,28884,1,28,1.0,658.5595472290889,False,0.15709905230778087,0,1.046,25801,14,30,1.0,834.8852291740238,False,0.03847754642480346,0,0.2,41645,0,0,0.0,0.0,False,0.013137087945505412,34,4.122000000000001,12211.0,549,0,0.0,12716.399693884636,False,-0.5482496083945427,0,0.37100000000000005,61052,0,43,0.5,1768.5979687081995,False,0.06518589385949335,89,7.570000000000001,16806,328,0,0.0,5430.984062323767,False,-0.6642676704990561,0,0.6680000000000001,62717,312,14,1.0,13630.617819464143,False,-0.05029968026043738,9,2.0090000000000003,50304,410,0,0.0,16863.37598070609,False,-0.19776428340704716,0.4375,299420,0.0,0.0,18,0,0,9,14,14.0,27,36,30,244.0,54.0,16,18,30,1223,2.3443082189187407,110.13664004858583
