index,n_registered_negotiations_before,n_contracts_dropped,n_contracts_nullified_now,n_bankrupt,trading_price_0,sold_quantity_0,unit_price_0,trading_price_1,sold_quantity_1,unit_price_1,trading_price_2,sold_quantity_2,unit_price_2,trading_price_3,sold_quantity_3,unit_price_3,trading_price_4,sold_quantity_4,unit_price_4,spot_market_quantity_00Buy@0,spot_market_loss_00Buy@0,balance_00Buy@0,inventory_00Buy@0_input,inventory_00Buy@0_output,productivity_00Buy@0,assets_00Buy@0,bankrupt_00Buy@0,score_00Buy@0,spot_market_quantity_01Buy@0,spot_market_loss_01Buy@0,balance_01Buy@0,inventory_01Buy@0_input,inventory_01Buy@0_output,productivity_01Buy@0,assets_01Buy@0,bankrupt_01Buy@0,score_01Buy@0,spot_market_quantity_02Ran@1,spot_market_loss_02Ran@1,balance_02Ran@1,inventory_02Ran@1_input,inventory_02Ran@1_output,productivity_02Ran@1,assets_02Ran@1,bankrupt_02Ran@1,score_02Ran@1,spot_market_quantity_03Buy@1,spot_market_loss_03Buy@1,balance_03Buy@1,inventory_03Buy@1_input,inventory_03Buy@1_output,productivity_03Buy@1,assets_03Buy@1,bankrupt_03Buy@1,score_03Buy@1,spot_market_quantity_04MyA@2,spot_market_loss_04MyA@2,balance_04MyA@2,inventory_04MyA@2_input,inventory_04MyA@2_output,productivity_04MyA@2,assets_04MyA@2,bankrupt_04MyA@2,score_04MyA@2,spot_market_quantity_05Buy@2,spot_market_loss_05Buy@2,balance_05Buy@2,inventory_05Buy@2_input,inventory_05Buy@2_output,productivity_05Buy@2,assets_05Buy@2,bankrupt_05Buy@2,score_05Buy@2,spot_market_quantity_06Ind@3,spot_market_loss_06Ind@3,balance_06Ind@3,inventory_06Ind@3_input,inventory_06Ind@3_output,productivity_06Ind@3,assets_06Ind@3,bankrupt_06Ind@3,score_06Ind@3,spot_market_quantity_07Dec@3,spot_market_loss_07Dec@3,balance_07Dec@3,inventory_07Dec@3_input,inventory_07Dec@3_output,productivity_07Dec@3,assets_07Dec@3,bankrupt_07Dec@3,score_07Dec@3,productivity,market_size,production_failures,bankruptcy,n_contracts_executed,n_contracts_erred,n_contracts_nullified,n_contracts_cancelled,n_breaches,breach_level,n_contracts_signed,n_contracts_concluded,n_negotiations,n_negotiation_rounds_successful,n_negotiation_rounds_failed,n_negotiation_successful,n_negotiation_failed,n_registered_negotiations_after,activity_level,step_time,total_time
10,4,0,0,0,10.000000000000002,20,10.0,15.426601571174848,16,11.0,13.059529024752058,21,11.333333333333334,34.172939891809094,45,44.0,53.99999999999999,20,54.0,0,0.9560000000000002,48945,110,0,0.0,1100.0000000000002,False,-0.031882640586797066,16,1.116,48598,110,0,0.0,1100.0000000000002,False,-0.03866992665036675,6,1.0430000000000004,72377,142,0,0.0,2190.5774231068285,False,-0.059578779275366894,15,1.3580000000000003,74230,42,0,0.0,647.9172659893436,False,-0.04573375871344508,0,0.2,116571,0,0,0.0,0.0,False,0.0091678786619572,45,2.0000000000000004,106338,201,0,0.0,2624.9653339751635,False,-0.06805801417179534,0,0.2,154578,9,15,1.0,1117.5564590262818,False,0.010426077464002887,0,0.227,153323,35,18,1.0,2168.052896213318,False,0.005673108900236134,0.25,774960,0.0,0.0,18,0,0,9,5,5.0,12,21,3,70.0,0.0,4,0,3,1280,1.082203502766788,58.09271187707782
11,3,0,0,0,10.000000000000002,20,10.0,15.426601571174848,0,,12.16847442041573,16,3.625,33.12549891384729,13,21.0,53.99999999999999,20,54.0,0,0.9560000000000002,48855,119,0,0.0,1190.0000000000002,False,-0.03276283618581907,0,1.1,48488,121,0,0.0,1210.0000000000002,False,-0.03974572127139364,15,1.1870000000000003,71817,142,0,0.0,2190.5774231068285,False,-0.0667465957792644,1,1.3530000000000002,74210,42,0,0.0,647.9172659893436,False,-0.04598975216001285,0,0.2,116571,0,0,0.0,0.0,False,0.0091678786619572,13,2.0850000000000004,105752,217,0,0.0,2640.5589492302133,False,-0.07306358235841207,0,0.2,154845,12,15,1.0,1207.5059869661673,False,0.012458009805407828,0,0.227,153863,25,18,1.0,1800.137472846182,False,0.007992058777245063,0.25,774401,0.0,0.0,18,0,0,8,7,7.0,12,20,4,47.0,0.0,3,0,4,1280,1.0573985604569316,59.15011043753475
12,4,0,0,0,10.000000000000002,20,10.0,15.426601571174848,0,,12.248871037102933,7,14.0,31.738833458116094,19,21.0,53.99999999999999,20,54.0,0,0.9560000000000002,48775,127,0,0.0,1270.0000000000002,False,-0.033545232273838634,0,1.1,48368,133,0,0.0,1330.0000000000002,False,-0.04091931540342298,0,1.1720000000000002,71817,142,0,0.0,2190.5774231068285,False,-0.0667465957792644,7,1.4220000000000004,74063,42,0,0.0,647.9172659893436,False,-0.047871303992285945,0,0.2,116571,0,0,0.0,0.0,False,0.0091678786619572,19,2.2620000000000005,104820,224,0,0.0,2743.747112311057,False,-0.08068535255076942,0,0.2,155088,11,17,1.0,1267.127168039277,False,0.014234860775450928,0,0.227,154301,25,16,1.0,1657.4708364529024,False,0.010380206715209811,0.25,773803,0.0,0.0,18,0,0,10,4,4.0,13,23,6,71.0,0.0,4,0,6,1280,1.1363685289397836,60.28647896647453
13,6,0,0,0,10.000000000000002,20,10.0,14.309592090403687,51,11.156862745098039,11.421168870592476,28,7.178571428571429,30.471927624798376,20,21.0,54.00000000000001,20,54.0,17,1.1260000000000003,48487,137,0,0.0,1370.0000000000002,False,-0.038200488997555015,34,1.4400000000000002,47610,143,0,0.0,1430.0000000000002,False,-0.05476772616136919,28,1.4520000000000002,70439,153,0,0.0,2189.3675898317642,False,-0.08439228698252998,0,1.4150000000000003,73703,82,0,0.0,1173.3865514131023,False,-0.04911626869447756,0,0.2,116571,0,0,0.0,0.0,False,0.0091678786619572,20,2.443000000000001,103704,252,0,0.0,2878.134555389304,False,-0.08976498305202364,0,0.2,155262,21,16,1.0,1503.910480120766,False,0.016139245779884664,0,0.227,154787,15,17,1.0,1375.0789143719758,False,0.012625960407891176,0.25,770563,0.0,0.0,18,0,0,10,11,11.0,15,25,6,106.0,0.0,6,0,6,1280,1.1656148387119174,61.45209380518645
14,6,0,0,0,10.000000000000002,20,10.0,14.031678891469843,24,12.0,11.890266546628226,22,15.181818181818182,29.242518451259087,23,21.08695652173913,54.00000000000001,20,54.0,16,1.2690000000000001,48143,149,0,0.0,1490.0000000000002,False,-0.04375550122249389,8,1.4860000000000002,47490,151,0,0.0,1510.0000000000002,False,-0.056332518337408315,0,1.4240000000000004,70295,161,0,0.0,2259.1003015266447,False,-0.08578916186768575,22,1.6350000000000002,72952,98,0,0.0,1375.1045313640445,False,-0.057437860590038976,0,0.2,116571,0,0,0.0,0.0,False,0.0091678786619572,23,2.653000000000001,102329,274,0,0.0,3257.933033776134,False,-0.10002452977276767,0,0.2,155887,12,14,1.0,1106.9102214151092,False,0.018917095083287,0,0.227,154757,27,19,1.0,1815.5479981839956,False,0.013864982799421598,0.25,768424,0.0,0.0,18,0,0,11,7,7.0,14,25,6,100.0,0.0,6,0,6,1280,1.146057490259409,62.59815129544586
15,6,0,0,0,10.000000000000002,20,10.0,13.601064837819278,92,12.76086956521739,11.890266546628226,0,,28.61331030869503,17,22.764705882352942,54.0,20,54.0,24,1.493,47683,157,0,0.0,1570.0000000000002,False,-0.051970660146699266,68,2.1580000000000004,44978,163,0,0.0,1630.0000000000002,False,-0.10429339853300733,0,1.4240000000000002,69627,205,0,0.0,2788.218291752952,False,-0.0909530745340731,0,1.6130000000000004,72446,146,0,0.0,1985.7554663216147,False,-0.06000642885096299,0,0.2,116571,0,0,0.0,0.0,False,0.0091678786619572,17,2.8000000000000007,101672,274,0,0.0,3257.933033776134,False,-0.10571225052905274,0,0.2,156172,9,16,1.0,1121.5197927782554,False,0.0208209142897374,0,0.227,155165,27,17,1.0,1690.5593783347658,False,0.016115306437365785,0.25,764314,0.0,0.0,17,0,0,12,11,11.0,13,25,8,97.0,0.0,6,0,8,1280,1.2018882231786847,63.800039518624544
16,8,0,0,0,10.000000000000002,20,10.0,13.417161117887558,43,12.372093023255815,11.725953979369484,7,8.0,27.522789233911524,34,22.470588235294116,54.00000000000001,20,54.0,22,1.6890000000000003,47226,168,0,0.0,1680.0000000000002,False,-0.05983374083129584,21,2.3000000000000007,44556,172,0,0.0,1720.0000000000002,False,-0.11166748166259169,7,1.4940000000000002,69214,217,0,0.0,2911.5239625816,False,-0.09545020311427811,0,1.6130000000000004,72120,177,0,0.0,2374.8375178660976,False,-0.061689060645704376,0,0.2,116571,0,0,0.0,0.0,False,0.0091678786619572,34,3.1230000000000007,99619,281,0,0.0,3294.993068202825,False,-0.12332487937096218,0,0.2,156104,23,17,1.0,1551.024152379965,False,0.02177673038368835,0,0.227,155549,27,16,1.0,1607.1153093156113,False,0.018344607483963427,0.25,760959,0.0,0.0,18,0,0,12,15,15.0,14,26,4,130.0,0.0,8,0,4,1280,1.2941739726811647,65.09421349130571
17,4,0,0,0,10.000000000000002,20,10.0,13.28091296605307,40,12.4,11.747757857516634,1,15.0,27.395289505200186,5,23.0,54.00000000000001,20,54.0,28,1.9470000000000003,46736,178,0,0.0,1780.0000000000002,False,-0.068440097799511,12,2.3990000000000005,44396,182,0,0.0,1820.0000000000002,False,-0.11381907090464548,0,1.4870000000000003,68998,229,0,0.0,3041.329069226153,False,-0.09738420092140895,1,1.6230000000000004,71820,205,0,0.0,2722.5871580408793,False,-0.06330342162094493,0,0.2,116571,0,0,0.0,0.0,False,0.0091678786619572,5,3.1390000000000007,99450,282,0,0.0,3312.8677158196906,False,-0.12471055944049242,0,0.2,156529,18,17,1.0,1411.1152110936034,False,0.0240891882395452,0,0.227,156089,17,16,1.0,1329.7199215884034,False,0.020958341762154907,0.25,760589,0.0,0.0,20,0,0,9,6,6.0,11,20,4,72.0,0.0,4,0,4,1280,1.0476549193263054,66.14186841063201
18,4,0,0,0,10.000000000000002,20,10.0,13.326547483460683,39,13.64102564102564,11.747757857516634,0,,27.125123501487085,9,22.333333333333332,54.00000000000001,20,54.0,23,2.1490000000000005,46242,187,0,0.0,1870.0000000000002,False,-0.07722249388753057,16,2.5470000000000006,44079,193,0,0.0,1930.0000000000005,False,-0.11894376528117359,0,1.487,68666,248,0,0.0,3304.9837758982494,False,-0.09994634520781381,0,1.6220000000000003,71620,225,0,0.0,2998.4731837786535,False,-0.06409773072191005,0,0.2,116571,0,0,0.0,0.0,False,0.0091678786619572,9,3.224000000000001,99141,282,0,0.0,3312.8677158196906,False,-0.1273856061888822,0,0.2,156760,17,19,1.0,1487.1270995252808,False,0.02584125905170546,0,0.227,156737,7,14,1.0,945.8758645104097,False,0.023928837095242888,0.25,759816,0.0,0.0,20,0,0,12,9,9.0,13,25,4,68.0,0.0,4,0,4,1280,1.0648060608655214,67.20667447149754
19,4,0,0,0,10.000000000000002,20,10.0,13.427681924796847,14,15.428571428571429,11.503420213372712,6,6.0,26.4599027816053,26,22.576923076923077,54.000000000000014,20,54.0,9,2.2160000000000006,46116,196,0,0.0,1960.0000000000005,False,-0.07880684596577017,5,2.5810000000000004,43899,204,0,0.0,2040.0000000000005,False,-0.12138875305623471,6,1.5470000000000002,68321,257,0,0.0,3450.91425467279,False,-0.10342830100558836,0,1.6220000000000003,71575,230,0,0.0,3088.366842703275,False,-0.06409841128737004,0,0.2,116571,0,0,0.0,0.0,False,0.0091678786619572,26,3.475000000000001,97878,288,0,0.0,3312.985021451341,False,-0.13831902736749713,0,0.2,156713,33,19,1.0,1899.176791792975,False,0.02687700862271053,0,0.227,157277,0,11,0.7,594.0000000000001,False,0.026300020842017508,0.2125,758350,0.0,0.0,20,0,0,10,6,6.0,14,24,4,72.0,0.0,4,0,4,1280,1.0497030392289162,68.25637751072645
20,4,0,0,0,10.000000000000002,20,10.0,13.123771270549668,29,10.379310344827585,11.17331640663178,40,10.125,25.880323886879253,19,21.0,54.000000000000014,20,54.0,0,2.2070000000000007,46016,206,0,0.0,2060.0000000000005,False,-0.07978484107579462,29,2.866000000000001,43333,214,0,0.0,2140.0000000000005,False,-0.13148166259168703,12,1.6609999999999998,67784,261,0,0.0,3425.3043016134634,False,-0.11046562454968528,28,1.9020000000000004,70422,255,0,0.0,3346.561673990165,False,-0.07720402886332407,0,0.2,116571,0,0,0.0,0.0,False,0.0091678786619572,19,3.639000000000001,96684,328,0,0.0,3664.847781375224,False,-0.14713255860267668,0,0.2,157199,23,20,1.0,1675.2474493982231,False,0.029313149519976472,0,0.227,157472,9,10,1.0,772.9229149819134,False,0.028152755428635306,0.25,755481,0.0,0.0,18,0,0,10,11,11.0,11,21,6,64.0,0.0,4,0,6,1280,1.0601710053160787,69.31654851604253
21,6,0,0,0,10.000000000000002,20,10.0,13.13695777093809,4,14.0,10.348104188972254,26,5.576923076923077,25.862553976940294,1,23.0,54.000000000000014,20,54.0,1,2.2170000000000005,45893,217,0,0.0,2170.0000000000005,False,-0.08111491442542787,3,2.8670000000000013,43218,223,0,0.0,2230.0000000000005,False,-0.13285085574572128,19,1.839,66955,263,0,0.0,3455.0198937567175,False,-0.12088637798868049,7,1.9440000000000004,70262,257,0,0.0,3376.1981471310887,False,-0.07906230786327965,0,0.2,116571,0,0,0.0,0.0,False,0.0091678786619572,1,3.630000000000001,96510,354,0,0.0,3663.2288828961778,False,-0.14864590309709733,0,0.2,157716,14,20,1.0,1442.0757556771644,False,0.031921099141820765,0,0.227,158012,0,9,0.9,486.0000000000001,False,0.03073546269278866,0.2375,755137,0.0,0.0,20,0,0,9,8,8.0,15,24,6,96.0,0.0,6,0,6,1280,1.0990937780588865,70.41564229410142
22,6,0,0,0,10.000000000000002,20,10.0,13.072732735273943,5,10.0,10.406553346453975,19,10.894736842105264,25.34607744857895,27,22.555555555555557,54.00000000000002,20,54.0,5,2.2660000000000005,45718,228,0,0.0,2280.0000000000005,False,-0.08346210268948655,0,2.864000000000001,43128,232,0,0.0,2320.0000000000005,False,-0.13373105134474328,6,1.8800000000000003,66763,263,0,0.0,3438.128709377047,False,-0.12345201588838013,13,2.0670000000000006,69886,262,0,0.0,3425.055976641773,False,-0.08356230255454726,0,0.2,116571,0,0,0.0,0.0,False,0.0091678786619572,27,3.8990000000000014,94974,373,0,0.0,3881.6443982273327,False,-0.16099779937050984,0,0.2,158280,10,17,1.0,1171.46077448579,False,0.03471322938752403,0,0.227,157919,11,12,1.0,926.8068519343688,False,0.03156525782856903,0.25,753239,0.0,0.0,21,0,0,10,7,7.0,14,24,8,99.0,0.0,6,0,8,1280,1.1762072900310159,71.59184958413243
23,8,0,0,0,10.000000000000002,20,10.0,12.876429202165173,15,10.0,10.434816288248946,54,10.518518518518519,24.993508641106004,22,22.5,54.00000000000002,20,54.0,2,2.281000000000001,45612,236,0,0.0,2360.0000000000005,False,-0.08475305623471882,13,2.9940000000000007,42819,244,0,0.0,2440.0000000000005,False,-0.13860146699266504,23,2.104,65887,263,0,0.0,3386.5008801694407,False,-0.13499493849649002,31,2.3640000000000003,68768,277,0,0.0,3566.770888999753,False,-0.09696538399657133,0,0.2,116571,0,0,0.0,0.0,False,0.0091678786619572,22,4.0920000000000005,93482,427,0,0.0,4455.6665550823,False,-0.17142952007115145,0,0.2,158820,0,17,1.0,918.0000000000003,False,0.03740490829512297,0,0.227,157964,23,12,1.0,1222.8506987454384,False,0.032822434799478495,0.25,749923,0.0,0.0,18,0,0,14,10,10.0,14,28,3,135.0,0.0,8,0,3,1280,2.4779648166149855,74.06981440074742
24,3,0,0,0,10.000000000000002,20,10.0,12.390453298753469,53,10.452830188679245,9.75288498912587,15,1.0,24.92138180108507,6,23.0,54.00000000000002,20,54.0,43,2.7090000000000005,44486,243,0,0.0,2430.0000000000005,False,-0.10609290953545232,10,3.081000000000001,42559,257,0,0.0,2570.0000000000005,False,-0.1424156479217604,15,2.2310000000000008,65067,290,0,0.0,3593.231456638506,False,-0.14416762798623703,0,2.3330000000000006,68524,303,0,0.0,3754.307349522301,False,-0.09888830142254082,0,0.2,116571,0,0,0.0,0.0,False,0.0091678786619572,6,4.130000000000001,93293,442,0,0.0,4310.775165193635,False,-0.173692884006884,0,0.2,159384,0,10,0.6,540.0000000000002,False,0.03984733222175907,0,0.227,158342,13,15,1.0,1133.9779634141062,False,0.03499497825726247,0.2,748226,0.0,0.0,18,0,0,9,6,6.0,12,21,2,54.0,0.0,3,0,2,1280,1.005420956760645,75.07523535750806
