index,n_registered_negotiations_before,n_contracts_dropped,n_contracts_nullified_now,n_bankrupt,trading_price_0,sold_quantity_0,unit_price_0,trading_price_1,sold_quantity_1,unit_price_1,trading_price_2,sold_quantity_2,unit_price_2,trading_price_3,sold_quantity_3,unit_price_3,trading_price_4,sold_quantity_4,unit_price_4,spot_market_quantity_00Ind@0,spot_market_loss_00Ind@0,balance_00Ind@0,inventory_00Ind@0_input,inventory_00Ind@0_output,productivity_00Ind@0,assets_00Ind@0,bankrupt_00Ind@0,score_00Ind@0,spot_market_quantity_01Ran@0,spot_market_loss_01Ran@0,balance_01Ran@0,inventory_01Ran@0_input,inventory_01Ran@0_output,productivity_01Ran@0,assets_01Ran@0,bankrupt_01Ran@0,score_01Ran@0,spot_market_quantity_02Dec@1,spot_market_loss_02Dec@1,balance_02Dec@1,inventory_02Dec@1_input,inventory_02Dec@1_output,productivity_02Dec@1,assets_02Dec@1,bankrupt_02Dec@1,score_02Dec@1,spot_market_quantity_03Ran@1,spot_market_loss_03Ran@1,balance_03Ran@1,inventory_03Ran@1_input,inventory_03Ran@1_output,productivity_03Ran@1,assets_03Ran@1,bankrupt_03Ran@1,score_03Ran@1,spot_market_quantity_04MyA@2,spot_market_loss_04MyA@2,balance_04MyA@2,inventory_04MyA@2_input,inventory_04MyA@2_output,productivity_04MyA@2,assets_04MyA@2,bankrupt_04MyA@2,score_04MyA@2,spot_market_quantity_05Ran@2,spot_market_loss_05Ran@2,balance_05Ran@2,inventory_05Ran@2_input,inventory_05Ran@2_output,productivity_05Ran@2,assets_05Ran@2,bankrupt_05Ran@2,score_05Ran@2,spot_market_quantity_06Buy@3,spot_market_loss_06Buy@3,balance_06Buy@3,inventory_06Buy@3_input,inventory_06Buy@3_output,productivity_06Buy@3,assets_06Buy@3,bankrupt_06Buy@3,score_06Buy@3,spot_market_quantity_07Dec@3,spot_market_loss_07Dec@3,balance_07Dec@3,inventory_07Dec@3_input,inventory_07Dec@3_output,productivity_07Dec@3,assets_07Dec@3,bankrupt_07Dec@3,score_07Dec@3,productivity,market_size,production_failures,bankruptcy,n_contracts_executed,n_contracts_erred,n_contracts_nullified,n_contracts_cancelled,n_breaches,breach_level,n_contracts_signed,n_contracts_concluded,n_negotiations,n_negotiation_rounds_successful,n_negotiation_rounds_failed,n_negotiation_successful,n_negotiation_failed,n_registered_negotiations_after,activity_level,step_time,total_time
10,24,0,0,0,10.000000000000002,20,10.0,14.930165412275251,41,12.78048780487805,17.823383405375896,16,18.75,10.312940079676151,30,3.3,48.0,20,48.0,0,0.21800000000000003,19993,0,8,0.8,119.44132329820201,False,0.06601034828818787,26,1.1260000000000001,15983,119,0,0.0,1190.0000000000002,False,-0.11870713943968954,0,0.254,26515,75,76,1.0,2474.3395447292123,False,-0.027263590172989603,11,1.237,25352,30,0,0.0,447.90496236825754,False,-0.10354179876676729,0,0.2,40872,0,0,0.0,0.0,False,0.012184249628528975,29,2.3530000000000006,25410.0,123,0,0.0,2192.276158861235,False,-0.34358251412999957,14,0.9430000000000003,46978,153,0,0.0,1577.8798321904512,False,-0.030781999916905618,0,0.2,51062,13,22,1.0,1190.06822103579,False,0.0481501929737419,0.35,252165,0.0,0.0,20,0,0,16,15,15.0,21,37,21,177.0,33.0,15,9,21,1107,1.5524296471849084,34.024534391239285
11,21,0,0,0,10.000000000000002,20,10.0,13.203038093501211,30,5.1,20.143298237677755,23,31.17391304347826,9.520470733175095,26,4.730769230769231,48.0,20,48.0,0,0.21800000000000003,19947,0,15,0.8,198.04557140251816,False,0.06565428662491403,29,1.3900000000000001,15132,131,0,0.0,1310.0000000000002,False,-0.1607570038807081,0,0.254,26929,94,73,1.0,2711.54635213959,False,-0.008595402170704753,10,1.3260000000000003,25160,31,0,0.0,409.29418089853755,False,-0.11094822676308212,0,0.2,40872,0,0,0.0,0.0,False,0.012184249628528975,26,2.5840000000000005,23302.0,146,0,0.0,2940.921542700952,False,-0.3865165732701714,9,1.0190000000000001,46697,175,0,0.0,1666.0823783056417,False,-0.03558880794674093,0,0.2,51586,7,21,1.0,1074.6432951322256,False,0.05761142860900313,0.35,249625,0.0,0.0,17,0,0,16,17,17.0,25,41,21,153.0,41.0,16,5,21,1295,1.5044941855594516,35.52902857679874
12,21,0,0,0,10.000000000000002,20,10.0,13.901104380776882,23,18.565217391304348,20.901204720534498,13,27.846153846153847,9.348215408139101,4,2.25,48.0,20,48.0,4,0.258,20162,1,10,1.0,149.01104380776883,False,0.07578042219466717,4,1.4010000000000002,14974,140,0,0.0,1400.0000000000002,False,-0.16676412737228216,0,0.254,27041,92,74,1.0,2825.590752351026,False,-0.0026710348343668942,4,1.3560000000000003,24852,46,0,0.0,639.4508015157365,False,-0.11771029089527281,0,0.2,40872,0,0,0.0,0.0,False,0.012184249628528975,4,2.5980000000000008,22775.0,159,0,0.0,3323.2915505649853,False,-0.39483294266264257,10,1.11,46498,179,0,0.0,1673.330558056899,False,-0.03955309473605126,0,0.2,52066,0,18,0.7,864.0,False,0.0652138625111598,0.3375,249240,0.0,0.0,22,0,0,12,14,13.666666666666666,23,35,16,131.0,58.0,12,9,16,1304,1.5929227154701948,37.12195129226893
13,16,0,0,0,10.000000000000002,20,10.0,13.48360440265986,7,4.0,24.58080935281657,18,48.888888888888886,8.683890415239471,16,2.375,48.00000000000001,20,48.0,0,0.254,20052,2,20,1.0,289.6720880531972,False,0.07367157748267487,7,1.4670000000000003,14765,149,0,0.0,1490.0000000000002,False,-0.17548243049279677,0,0.254,27921,82,66,1.0,2727.988978304002,False,0.026463178729477836,0,1.3520000000000003,24824,53,0,0.0,714.6310333409726,False,-0.11737414943321116,0,0.2,40872,0,0,0.0,0.0,False,0.012184249628528975,16,2.754000000000001,21159.0,177,0,0.0,4350.803255448533,False,-0.4221297269013307,12,1.2200000000000002,46203,195,0,0.0,1693.3586309716968,False,-0.0453356197653225,0,0.2,52450,0,10,0.0,480.00000000000006,False,0.06910965019073127,0.25,248246,0.0,0.0,18,0,0,12,11,11.0,23,35,15,136.0,21.0,13,3,15,1464,1.5273728398606181,38.64932413212955
14,15,0,0,0,10.000000000000002,20,10.0,13.968273651315567,13,19.53846153846154,24.61227542312223,10,25.0,8.067627125863646,17,2.588235294117647,48.0,20,48.0,0,0.254,20186,2,21,1.0,313.3337466776269,False,0.08142400049645496,4,1.5000000000000002,14601,159,0,0.0,1590.0000000000002,False,-0.18154271436925204,0,0.254,27667,85,76,1.0,3057.836192519113,False,0.023340977786875446,10,1.4520000000000004,24764,53,0,0.0,740.318503519725,False,-0.11902701536067782,0,0.2,40872,0,0,0.0,0.0,False,0.012184249628528975,17,2.908000000000001,20075.0,187,0,0.0,4602.495504123857,False,-0.44585815373794135,11,1.3180000000000003,45947,212,0,0.0,1710.3369506830932,False,-0.05035775352362741,0,0.2,52882,0,1,0.0,48.0,False,0.07349241133024917,0.25,246994,0.0,0.0,16,0,0,11,10,10.0,26,37,15,123.0,15.0,10,5,15,866,1.4856566451489925,40.13498077727854
15,15,0,0,0,10.000000000000002,20,10.0,14.740384200390515,11,25.0,24.621739976287504,3,25.0,7.4600869566054415,39,5.102564102564102,48.0,20,48.0,0,0.254,20331,5,20,1.0,344.8076840078103,False,0.0899688396153265,0,1.4960000000000004,14531,166,0,0.0,1660.0000000000002,False,-0.18340332784009356,0,0.254,27392,86,86,1.0,3385.1426791943095,False,0.01943818225016314,3,1.4720000000000004,24746,53,0,0.0,781.2403626206973,False,-0.11894075775287953,0,0.2,40872,0,0,0.0,0.0,False,0.012184249628528975,39,3.281000000000001,17528.0,190,0,0.0,4678.130595494626,False,-0.5079973923291898,7,1.3770000000000004,45700,238,0,0.0,1775.5006956720952,False,-0.054708417583068644,12,0.32000000000000006,52624,3,10,1.0,502.3802608698163,False,0.07286726179764039,0.375,243724,0.0,0.0,13,0,0,11,17,16.8,21,32,10,133.0,9.0,12,3,10,475,1.198256105184555,41.3332368824631
16,10,0,0,0,10.000000000000002,20,10.0,16.68603524580318,58,21.43103448275862,27.50506359826766,16,47.4375,6.939960694335866,15,1.0,48.0,20,48.0,21,0.4640000000000001,20929,6,10,1.0,226.8603524580318,False,0.1186236870038284,17,1.6660000000000004,14101,175,0,0.0,1750.0000000000002,False,-0.2038700760193504,0,0.254,27676,111,80,1.0,4052.555000145566,False,0.04108929197591243,0,1.4690000000000003,23978,76,0,0.0,1268.1386786810417,False,-0.13732669683349036,0,0.2,40872,0,0,0.0,0.0,False,0.012184249628528975,15,3.392000000000001,16069.0,206,0,0.0,5666.043101243138,False,-0.5318964450068953,9,1.4600000000000002,45524,253,0,0.0,1755.8100556669742,False,-0.05847932335375597,1,0.31800000000000006,53095,0,3,0.3,144.0,False,0.07878824770716662,0.2875,242244,0.0,0.0,22,0,0,9,12,11.875,20,29,13,77.0,9.0,7,3,13,1897,1.0838094027712941,42.41704628523439
17,13,0,0,0,10.000000000000002,20,10.0,17.177527236444334,10,26.0,26.32948649480468,12,15.166666666666666,7.165736822361767,25,8.68,48.0,20,48.0,0,0.44300000000000006,21049,10,10,1.0,271.77527236444337,False,0.12619678040413707,0,1.6490000000000002,14041,181,0,0.0,1810.0000000000002,False,-0.205464887565786,0,0.254,27416,111,90,1.0,4276.359307777742,False,0.035898340479806175,12,1.5890000000000002,23728,76,0,0.0,1305.4920699697693,False,-0.1454347691908558,0,0.2,40872,0,0,0.0,0.0,False,0.012184249628528975,25,3.627000000000001,14708.0,218,0,0.0,5739.8280558674205,False,-0.5646876169407203,14,1.5910000000000004,45127,266,0,0.0,1906.08599474823,False,-0.0650100844620138,3,0.3470000000000001,53062,2,10,1.0,494.33147364472353,False,0.08167287023825907,0.375,240003,0.0,0.0,14,0,0,8,15,14.333333333333334,21,29,14,84.0,21.0,9,4,14,508,1.1303977351635695,43.54744402039796
18,14,0,0,0,10.000000000000002,20,10.0,17.84490761830616,44,20.431818181818183,28.796525143663338,13,50.30769230769231,6.789883637035829,42,5.238095238095238,48.0,20,48.0,33,0.7730000000000001,21011,8,10,1.0,258.4490761830616,False,0.12382247291964968,1,1.6590000000000003,13914,193,0,0.0,1930.0000000000005,False,-0.20902663335282548,0,0.254,27185,144,87,1.0,5074.964384534797,False,0.041797483079824685,0,1.5770000000000002,23714,77,0,0.0,1374.0578866095743,False,-0.14472383654732607,0,0.2,40872,0,0,0.0,0.0,False,0.012184249628528975,42,4.022,11286.0,231,0,0.0,6651.997308186231,False,-0.6381377252577238,12,1.6970000000000005,44764,289,0,0.0,1962.2763711033547,False,-0.07180549091892553,0,0.3440000000000001,53342,11,12,1.0,650.6887200073941,False,0.08894051538032016,0.375,236088,0.0,0.0,18,0,0,6,14,14.0,24,30,14,131.0,29.0,9,5,14,1498,1.1442575957626104,44.69170161616057
19,14,0,0,0,10.000000000000002,20,10.0,17.906103872294203,30,18.3,31.47945660329091,29,42.0,6.605639948915709,21,4.904761904761905,48.0,20,48.0,9,0.8300000000000003,21196,9,10,1.0,269.06103872294204,False,0.13393921212915152,11,1.7680000000000005,13644,202,0,0.0,2020.0000000000005,False,-0.22098771995109245,0,0.254,27814,164,73,1.0,5234.601367096486,False,0.06664215504900962,5,1.6270000000000002,23599,77,0,0.0,1378.7699981666535,False,-0.14867209957646949,0,0.2,40872,0,0,0.0,0.0,False,0.012184249628528975,21,4.19,9055.0,260,0,0.0,8184.658716855636,False,-0.6744098722529019,10,1.7850000000000004,44566,295,0,0.0,1948.6637849301342,False,-0.07596112546739171,0,0.3440000000000001,53725,16,12,1.0,681.6902391826513,False,0.09702631928397294,0.375,234471,0.0,0.0,19,0,0,6,14,13.9,28,34,17,109.0,28.0,9,5,17,2092,1.2093327669426799,45.90103438310325
20,17,0,0,0,10.000000000000002,20,10.0,17.72852208075428,16,15.499999999999998,32.8426171748282,26,39.57692307692308,6.365752926586724,12,2.5,48.0,20,48.0,0,0.8210000000000002,21321,9,11,1.0,285.0137428882971,False,0.14100828618596287,7,1.8270000000000002,13412,212,0,0.0,2120.0000000000005,False,-0.2306629099994684,0,0.254,28486,170,63,1.0,5082.933635742404,False,0.08753826911570985,6,1.6820000000000002,23515,77,0,0.0,1365.0962002180797,False,-0.15185600770735924,0,0.2,40872,0,0,0.0,0.0,False,0.012184249628528975,12,4.2890000000000015,7490.0,286,0,0.0,9392.988512000866,False,-0.6982046989598704,10,1.8750000000000002,44376,299,0,0.0,1903.3601250494305,False,-0.0802759503586415,0,0.3440000000000001,54181,14,12,1.0,665.1205409722141,False,0.10611071078820933,0.375,233653,0.0,0.0,19,0,0,8,12,12.0,31,39,17,163.0,12.0,13,4,17,1825,1.3209694670513272,47.22200385015458
21,17,0,0,0,10.000000000000002,20,10.0,17.153148141588996,67,15.477611940298507,34.83905235157451,28,44.75,6.118634039321101,31,4.645161290322581,48.00000000000001,20,48.0,30,1.1210000000000002,21091,10,10,1.0,271.53148141588997,False,0.1284230365588191,26,2.0800000000000005,13095,221,0,0.0,2210.0000000000005,False,-0.24512253468715114,0,0.254,28622,227,50,1.0,5635.717245719428,False,0.10199294156535971,5,1.7260000000000002,23440,77,0,0.0,1320.7924069023527,False,-0.15526126170868645,0,0.2,40872,0,0,0.0,0.0,False,0.012184249628528975,31,4.5870000000000015,4451.0,314,0,0.0,10939.462438394396,False,-0.7543157201783754,9,1.9550000000000003,44069,330,0,0.0,2019.1492329759633,False,-0.08533043956480842,0,0.3440000000000001,54709,4,11,1.0,552.4745361572845,False,0.1156813016004919,0.375,230349,0.0,0.0,20,0,0,6,17,16.541666666666664,29,35,18,86.0,33.0,10,7,18,1901,2.1469660503789783,49.36896990053356
22,18,0,0,0,10.000000000000002,20,10.0,17.1443959480518,42,17.095238095238095,34.83905235157451,0,,6.0231170897937805,24,5.250000000000001,48.000000000000014,20,48.0,12,1.2110000000000003,21312,11,10,1.0,281.443959480518,False,0.14043495719208215,20,2.2540000000000004,12660,230,0,0.0,2300.0000000000005,False,-0.2658550847908139,0,0.254,28201,248,60,1.0,6342.153336211316,False,0.09961712821961652,0,1.721,23143,88,0,0.0,1508.7068434285582,False,-0.16237807845375812,0,0.2,40872,0,0,0.0,0.0,False,0.012184249628528975,24,4.796000000000002,3210.0,314,0,0.0,10939.462438394396,False,-0.7850487563348886,8,2.0260000000000002,43812,354,0,0.0,2132.183449786998,False,-0.08939834987230134,1,0.3540000000000001,55228,0,4,0.4,192.00000000000006,False,0.12255498741985228,0.3,228438,0.0,0.0,18,0,0,5,14,13.09090909090909,29,34,18,109.0,29.0,11,7,18,728,1.3041236698627472,50.673093570396304
23,18,0,0,0,10.000000000000002,20,10.0,17.111079736168463,21,16.714285714285715,34.94157326094948,7,37.142857142857146,6.067151378186124,35,6.314285714285714,48.000000000000014,20,48.0,1,1.2090000000000003,21522,12,10,1.0,291.11079736168466,False,0.15185558442830477,10,2.3340000000000005,12350,239,0,0.0,2390.0000000000005,False,-0.2799425867843283,0,0.254,28421,248,65,1.0,6514.750036531495,False,0.11035313768895008,2,1.741,22770,99,0,0.0,1693.9968938806778,False,-0.17220475124639542,0,0.2,40872,0,0,0.0,0.0,False,0.012184249628528975,35,5.122000000000002,840.0,321,0,0.0,11216.245016764784,False,-0.8403139547205944,9,2.1080000000000005,43429,389,0,0.0,2360.1218861144025,False,-0.09485713531658956,7,0.42300000000000004,55323,0,0,0.0,0.0,False,0.12253469685902119,0.25,225527,0.0,0.0,15,0,0,6,20,19.09090909090909,27,33,20,104.0,31.0,11,7,20,622,1.2349658086895943,51.9080593790859
24,20,0,0,0,10.000000000000002,20,10.0,16.87347284663032,16,13.25,34.4260547499104,7,24.0,5.533283664029136,36,2.4444444444444446,48.00000000000001,20,48.0,1,1.2180000000000002,21618,9,10,1.0,258.73472846630324,False,0.15609841923518963,5,2.3740000000000006,12140,252,0,0.0,2520.0000000000005,False,-0.2876508425921004,0,0.254,28209,254,75,1.0,6867.816209287382,False,0.10910999315260046,7,1.8090000000000004,22721,99,0,0.0,1670.4738118164018,False,-0.1743344933085103,0,0.2,40872,0,0,0.0,0.0,False,0.012184249628528975,36,5.447000000000002,-1628.0,328,0,0.0,11291.74595797061,False,-0.9004984403421173,7,2.1690000000000005,43285,401,0,0.0,2218.8467492756836,False,-0.09921225195524216,13,0.546,54979,14,10,1.0,557.4659712964079,False,0.12121039253405168,0.375,222196,0.0,0.0,13,0,0,6,20,19.09090909090909,30,36,16,163.0,21.0,13,7,16,200,1.2588657587766647,53.16692513786256
